"MENU_LEFT_MOUSE": "Left Mouse"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} AIRBORNE AFTERTOUCH"
"CONTROL_L_STICK": "LEFT STICK"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (HOLD)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   MOVE RIGHT"
"PC_CLIP_ACTIONS": "CHOOSE AN ACTION TO PERFORM ON THIS CLIP"
"PC_CA_CLONE": "CREATE A COPY"
"PC_DOF_WIDE": "WIDE"
"PC_EDIT_WARNING": "WARNING"
"PC_SHOW_KEYS": "SHOW KEYS"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "SWAP %ls WITH %ls"
"PCACTION_ACCELERATE": "ACCELERATE"
"PCACTION_CONSUME_RIGHT": "CONSUME AT RIGHT"
"PC_RECORD_MODE_QUALITY_MED": "720p (MED)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO SAVED.  SOME CONTENT MAY HAVE BEEN LOST.  RECORD VIDEO AT LOWER QUALITY SETTING TO PREVENT DATA LOSS."
"CBA_OFC_ATTACK_SECONDARY": "   THROW GRENADE"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPIC 16X"
"PC_PROPS_EXIT_HINT": "CLOSE THE PROPERTIES DIALOG"
"HASH_342C548B": "INVITATION"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Using cheats prevents you from earning achievements and autosaves are disabled. \n\nWould you still like to activate this cheat?"
"CBA_VDC_PLANE_TURN_LEFT2": "   YAW LEFT"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "SINGLE FRAME OR ACCUMULATIVE"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "CHOOSE YOUR MACHINE PERFORMANCE LEVEL"
"PC_UNBOUND_KEY": "UNBOUND"
"PLT_MENU_STANDARD": "STANDARD"
"MULTI_MENU_SYSLINK": "LAN GAME"
"PC_CAM_MODE_HINT": "HOW THE CAMERA BEHAVES WHILE IN THIS CAMERA ZONE"
"PCACTION_WEAPON_1": "WEAPON 1"
"SAVE_CLIP_NAME": "Enter a name for this clip"
"PLT_MENU_VIEW_GAMERCARD": "VIEW STEAM PROFILE"
"CBA_GAC_WEAPON_SELECT_1": "   WEAPON SLOT 1"
"CBA_OFC_WALK_TOGGLE": "   WALK (TOGGLE)"
"CBA_OFC_CROUCH": "   CROUCH (HOLD)"
"CBA_VDC_BRAKE_REVERSE": "   BRAKE / REVERSE"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "This will replace your settings with defaults and choose a performance preset based on your video card. Are you sure you want to do this?"
"PLT_MENU_DISPLAY_3": "TERTIARY"
"PLT_MENU_AUDIO_VOICE_ENABLE": "VOICE CHAT"
"PC_EASE_HINT": "CYCLE THROUGH THE BLEND ANIMATION TYPES"
"PC_DELETE_CZ_HINT": "DELETE THE CURRENT CAMERA ZONE"
"BTN_A_TXT": "THE A BUTTON"
"MENU_VIDEO_RECORD_MODE": "VIDEO RECORD MODE"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Unable to enable Video Record Mode.  More memory is needed."
"COMMUNITY_BLURB_HEADER": "Join the Saints Row Community at SaintsRow.com "
"SAVING_CONTENT_TITLE": "Saving content."
"MENU_CONTROLS_STICK": "LEFT STICK ACCEL/BRAKE"
"PLT_MENU_REFLECTIONS_TOOLTIP": "TURNS ON REGULAR OR GEOMETRY SHADER REFLECTIONS"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "CONTROLS AMOUNT AND DETAIL OF SCENE ELEMENTS"
"MULTI_GAMETYPE_1": "LAN GAME"
"PC_TOD_NOON": "NOON"
"PC_TOD": "TIME OF DAY"
"PC_GS_PEOPLE": "PEOPLE"
"PC_POSITION_CAMERA_HINT": "USE THE CONTROLS TO POSITION THE CAMERA"
"BTN_LTHUMB_TXT": "LEFT STICK"
"PC_RECORD_MODE_ERROR_NO_CODEC": "The video codec required for this mode is currently missing.  Please reference the readme for information on how to install."
"MENU_PRIMARY_ASSIGNMENT": "PRIMARY BUTTON ASSIGNMENT"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   BRAKE / REVERSE"
"PLT_MENU_SCENE_DETAIL": "    SCENE DETAIL"
"PC_OUTPUT_ONLY": "SHOW OUTPUT ONLY"
"PC_GS_PLAYER": "PLAYER"
"PC_CM_FOLLOW": "FOLLOW"
"PC_CAMERA_LOCKED": "CAMERA LOCKED"
"MENU_CHANGES_MADE_TITLE": "APPLY CHANGES?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   SHARPER TURNS"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   PITCH UP"
"PLT_PRESS_START": "PRESS START"
"PC_W_CLEAR": "CLEAR"
"PC_CAMERA_ZONE": "CAMERA ZONE"
"BTN_Y_TXT": "THE A BUTTON"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "TURN SUBTITLES ON OR OFF"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} MOVE\nMOVE MOUSE TO LOOK\n{SKYDIVE_FLIP_IMG} FLIP UP OR DOWN"
"MENU_RESTORE_ALL_DEFAULTS": "RESTORE DEFAULTS ALL CATEGORIES"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   MOVE LEFT"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "The hard drive does not have enough space.\nIf you continue you will not be allowed to save.\nContinue?"
"PC_ZT_BLEND": "BLEND"
"PC_SAVE_HINT": "SAVE THE CLIP EDITS"
"PC_COPY_NEXT_HINT": "CREATE A NEW CAMERA ZONE BASED ON THE NEXT ZONE"
"PCACTION_STRAFE_RIGHT": "STRAFE RIGHT"
"MENU_GAMEPLAY": "GAMEPLAY"
"MENU_MOUSE_CONTROLS_VERT_SENS": "VERTICAL SENSITIVITY"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Do you wish to keep these settings?\nThey will be automatically reverted in 15 seconds."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "WHICH MONITOR TO USE FOR FULLSCREEN"
"PC_DOF": "DEPTH OF FIELD"
"RECORD_MODE_WARNING_TEXT": "Recording Cinema Clips will disable all missions, activities, shops, and in-game music until you return to the main menu. Begin recording a Cinema Clip?"
"PC_HIDE_KEYS": "HIDE KEYS"
"TUT_TITLE_SPRINT": "AWESOME BUTTON"
"PC_COMMUNITY_AGE_FIELD": "AGE (MM.DD.YYYY)"
"MENU_OPTIONS_REMAP": "SET KEYS & BUTTONS"
"CBA_OFC_ZOOM_OUT": "   SCOPE ZOOM OUT"
"PLT_MENU_RESOLUTIONS": "RESOLUTIONS"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "THE A BUTTON"
"PCACTION_WEAPON_5": "WEAPON 5"
"PCACTION_ATTACK_SECONDARY": "ATTACK SECONDARY"
"HUD_ZOMBIE_BITE_ESCAPE": "Mash any button to escape!"
"MENU_AIRPLANE_HANDLING": "AIRPLANE HANDLING"
"MENU_MOUSE_BUTTON_4": "Mouse 4"
"CBA_GAC_GRENADE_SELECT_1": "   GRENADE SLOT 1"
"CBA_OFC_JUMP_CLIMB": "   JUMP / CLIMB"
"PC_ROTATION_SENSITIVITY": "ROTATION SENS."
"PC_SLOWMO": "PLAYBACK SPEED"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "TOGGLE DIFFERENT CONTROLS CATEGORIES"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "VIEW PLAYER STEAM PROFILE"
"MENU_CONTROLLER_OPTIONS": "GAMEPAD OPTIONS"
"PC_EDIT_PROPS_HINT": "SHOW THE CAMERA ZONE PROPERTIES DIALOG"
"PC_ADDITIONAL_PROPS": "ADDITIONAL PROPERTIES"
"PC_NEW_ZONE": "NEW ZONE"
"MENU_OPTIONS_MOUSE": "CONTROLS"
"CBA_GAC_WEAPON_SELECT_5": "   WEAPON SLOT 5"
"CBA_VDC_PLANE_ACCELERATE": "   ACCELERATE"
"MENU_CATEGORY": "CATEGORY"
"PLT_MENU_ASPECT_TOOLTIP": "ASPECT RATIO CAN ONLY BE TOGGLED IN THE MAIN MENU"
"PC_CM_DEFAULT": "DEFAULT"
"PC_COPY_CURRENT": "COPY CURRENT"
"COMMUNITY_EXISTING_FOUND_TEXT": "We found a THQ ID associated with your Steam Account. Please login to your existing account."
"CBA_VDC_PREV_RADIO": "   PREV RADIO STATION"
"PLT_MENU_POST_PROCESSING_DETAIL": "    POST PROCESSING DETAIL"
"BTN_RTHUMB_TXT": "RIGHT STICK"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "MOVE BACKWARD"
"HASH_0AEDCF17": "A network error has occurred.\nReturning to the Main Menu."
"PC_VIDEO_QUALITY": "VIDEO QUALITY"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Now The Real Game Begins >:) \n\nPress Any Key to Continue"
"CBA_VDC_LOOK_BEHIND": "   REVERSE CAMERA"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   TURN OVERRIDE"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   YAW OVERRIDE"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "PAUSE AUTOMATICALLY IF GAME IS NOT IN FOCUS"
"PC_ROTATION_SENSITIVITY_HINT": "THE CAMERA ROTATION SENSITIVITY"
"PCACTION_ATTACK_PRIMARY": "ATTACK PRIMARY"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nSprinting modifies actions in Awesome ways; try different combinations of buttons with Sprint to find them all!"
"NOT_LOGGED_IN": "You must Go Online in Steam to use this feature or re-connect to the Internet to use this feature."
"CBA_GAC_GRENADE_SWITCH": "   NEXT GRENADE"
"CBA_GAC_MAP_MENU": "   CELL PHONE"
"PLT_MENU_VSYNC_TOOLTIP": "VERTICAL SYNC TO ELIMINATE TEARING IN FULLSCREEN"
"MENU_OFF": "OFF"
"PLT_MENU_VOICE_ALWAYS_ON": "ALWAYS ON"
"PLT_QUIT_GAME_WARNING": "Are you sure you want to quit to the desktop?"
"PC_TOD_NIGHT": "NIGHT"
"PC_TOD_HINT": "THE LIGHTING SETTINGS"
"PC_DOF_CLOSEUP": "CLOSE-UP"
"PC_OPTIONS_HINT": "SHOW THE GENERAL OPTIONS DIALOG"
"PC_SHOW_HUD": "SHOW HUD"
"PCACTION_HORN": "HORN"
"CONTROLS_FORCE_FEED": "VIBRATION"
"STATS_CORRUPT_BODY": "Your stats were damaged and must be reset.\nThis will not affect any Achievements you may have earned."
"PC_PLAY_SLOW_HINT": "SLOW PLAYBACK OF RECORDED GAMEPLAY"
"HASH_C407C71A": "Connection to GOG lost.\nReturning to main menu."
"TUT_COMBAT_MELEE_2": "During a HEAVY ATTACK press the displayed button to cause increased damage and earn more respect."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "SET IF MINIMAP ROTATES WITH CAMERA VIEW"
"CONTROL_R_STICK": "RIGHT STICK"
"MENU_CHANGES_MADE_BODY": "Changes have been made. Do you want to apply the current changes?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RESOLUTION OF SHADOW MAPS"
"PLT_MENU_REFLECTIONS": "    REFLECTIONS"
"PLT_MENU_DISPLAY_2": "SECONDARY"
"PC_CREATE_CHAR_HINT": "CREATE OR IMPORT A NEW CHARACTER MODEL"
"PC_CAM_TILT": "CAMERA TILT"
"HUD_PICK_UP_MESSAGE": "PICK UP  %ls"
"MENU_DISCARD": "DISCARD"
"PC_CM_STATIC": "STATIC"
"PC_FOV": "FIELD OF VIEW"
"PCACTION_FINE_AIM": "FINE AIM"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (RIGHT)"
"CBA_GAC_GRENADE_SELECT_4": "   GRENADE SLOT 4"
"CBA_VDC_FIREARM": "   FIRE WEAPON"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "DOF DISTANCE"
"PLAYBACK_MODE_WARNING": "EDIT CINEMA CLIPS"
"BTN_B_TXT": "THE A BUTTON"
"PCACTION_BREAK": "HANDBREAK"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Unable to Save Video.  More disk space is required."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   MOVE RIGHT"
"MENU_CATEGORY_ONFOOT": "ON FOOT"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "DUAL WIELD %ls"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "THE A BUTTON"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "SET HOW QUICKLY THE CAMERA WILL RETURN TO DEFAULT VIEW"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Your Steam Account is not linked with a THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} MOVE \n{ATTACK_PRIMARY_IMG} PUNCH \nPunch Killbane to keep him moving in the steered direction."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ACCEPT SETTINGS?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "VERTICAL SYNC DURING GAMEPLAY"
"PLT_MENU_WINDOWED": "WINDOWED"
"PLT_MENU_DISPLAY_PRESET": "PRESET"
"PC_DOF_RANGE": "DOF FOCAL RANGE"
"PC_FOV_HINT": "THE CAMERA FIELD OF VIEW"
"PC_HANDYCAM_HINT": "THE HANDYCAM SHAKE STRENGTH"
"BTN_BACK_TXT": "THE A BUTTON"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "under"
"CBA_VDC_BIKE_LEAN_BACK": "   BIKE LEAN BACK"
"CBA_VDC_PLANE_TURN_RIGHT": "   ROLL RIGHT"
"MENU_CATEGORY_CAR": "CAR / BIKE / BOAT"
"PC_W_DEFAULT": "DEFAULT"
"PC_WEATHER_HINT": "THE WEATHER SETTINGS"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "PAUSE PLAYBACK"
"COMMUNITY_SUCCESS_LINK_EXT": "Your current Steam Account was successfully linked to your THQ ID."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "The Steam Account you are using is linked to a different THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   WEAPON SLOT 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   FIRE WEAPON 2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   FLY UP"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   PITCH DOWN"
"PLT_MENU_DISPLAY_1": "PRIMARY"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Hard drive is full.\nPlease select a different location to save."
"PC_VOICE_HINT": "TURN ON/OFF ALL VOICE"
"PC_ZT_CUT": "CUT"
"CBA_MENU_PC_TEXT_CHAT": "   TEXT CHAT"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RESOLUTION OF LIGHTING"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Failed to change video settings.  Your changes have been reverted."
"PLT_MENU_VOICE_DISABLED": "DISABLED"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "You are out of save slots.  In order to save you will need to save over a previous save slot or save to a new location."
"PC_EXPORT_LOCK": "EXPORT LOCK"
"PC_EXPORT_SETTINGS": "EXPORT SETTINGS"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Are you sure you want to delete this clip? You will not be able to undo this action."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} SWITCH TO NEXT WEAPON\n{PREV_WEAPON_IMG} SWITCH TO PREVIOUS WEAPON"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (TOGGLE)"
"CBA_VDC_PLANE_TURN_LEFT": "   ROLL LEFT"
"PLT_ANISOTROPIC_TWO": "ANISOTROPIC 2X"
"PLT_MENU_MED_DX10_ONLY": "MEDIUM (DX10 OR ABOVE)"
"PC_WATERMARK": "WATERMARK"
"PC_SELECT_TARGET_HINT": "USE THE CONTROLS TO SELECT A TARGET"
"PC_DOF_OFF": "OFF"
"PC_AV_OPTIONS_HINT": "SHOW THE ENVIRONMENT OPTIONS DIALOG"
"PC_PLAY_FAST_HINT": "FAST PLAYBACK OF RECORDED GAMEPLAY"
"PCACTION_CONSUME_DOWN": "CONSUME AT DOWN"
"PCACTION_RELOAD": "RELOAD WEAPON"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "PAUSE AUTOMATICALLY IF GAME WINDOW IS NOT IN FOCUS"
"CBA_OFC_SPRINT": "   SPRINT (HOLD)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPIC 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "PUSH TO TALK"
"PC_SM_FAST": "FAST"
"PC_CAMERA_DONE": "DONE"
"PLAYBACK_MODE_WARNING_TEXT": "This will stop your current recording and allow you to edit it, save it, and export it to video. To record a new Cinema Clip, you will need to return to the main menu. Proceed to the Cinema Clip Editor?"
"PCACTION_FORWARD": "MOVE FORWARD"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (HIGH)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "SAVE CANCELED."
"STATS_CORRUPT_TITLE": "DAMAGED STATS"
"COMMUNITY_SITE_BLURB": "Upload your first character to earn an achievement.\n\nBrowse characters online and play with them in game.\n\nParticipate in challenges to earn in-game content.\n\nTrack community activity on the real-time community map and view your own personalized map.\n\nReceive community-only deals on Saints Row merchandise and game content."
"CBA_OFC_TAUNT_TWO": "   TAUNT"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   MOVE RIGHT"
"PC_PLAY_HINT": "PLAYBACK RECORDED GAMEPLAY"
"PC_EXPORTING_VIDEO": "EXPORTING VIDEO"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   RECRUIT / DISMISS"
"CBA_OFC_ATTACK_PRIMARY": "   ATTACK"
"CBA_VDC_HELI_UP": "   MOVE UP"
"MENU_CATEGORY_TANK": "TANK"
"PC_W_THUNDERSTORM": "THUNDERSTORM"
"PC_FADE_HUD": "FADE HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "ACTION"
"CBA_OFC_CROUCH_TOGGLE": "   CROUCH (TOGGLE)"
"CBA_VDC_NEXT_RADIO": "   NEXT RADIO STATION"
"PLT_MENU_ASPECT": "ASPECT RATIO"
"PC_ENVIRONMENT": "ENVIRONMENT"
"PC_GS_BACKGROUND_HINT": "TOGGLE THE BACKGROUND RENDERING"
"PC_DOF_RANGE_HINT": "THE DEPTH OF FIELD FOCAL RANGE"
"PC_COPY_NEXT": "COPY NEXT"
"PC_EXPORT_EXPLANATION": "Stop editing and begin exporting to video?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_8DFAAC67": "You must Go Online in GOG to use this feature or re-connect to the Internet to use this feature."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]This game has an autosave feature. Whenever this indicator is on screen your game is saving to the autosave slot.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   PICKUP / RELOAD"
"CBA_VDC_HANDBRAKE": "   DRIFT"
"PC_SLOWMO_HINT": "SLOW MOTION SETTING"
"RECORD_MODE_WARNING": "RECORD CINEMA CLIPS"
"PCACTION_RADIO_PREVIOUS": "PREVIOUS RADIO"
"PCACTION_WEAPON_3": "WEAPON 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "The Steam Account you are using is already linked to a THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "GAMEPAD"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERT VERTICAL AXIS"
"CBA_GAC_WEAPON_SELECT_8": "   WEAPON SLOT 8"
"PC_EDIT_PROPERTIES": "EDIT PROPERTIES"
"BTN_START_TXT": "THE A BUTTON"
"PCACTION_WEAPON_6": "WEAPON 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (LOW)"
"MAIN_MENU_MATCHMAKING_FAIL": "Steam matchmaking was unable to find any connectable games."
"CBA_GAC_GRENADE_SELECT_2": "   GRENADE SLOT 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   MOVE LEFT"
"CBA_VDC_CRUISE_CONTROL_B": "   TOGGLE CRUISE CONTROL"
"PLT_MENU_SHADOW_DETAIL": "    SHADOW DETAIL"
"PC_OPTIONS_EXIT_HINT": "CLOSE THE OPTIONS DIALOG"
"BTN_BLACK_TXT": "THE A BUTTON"
"PRESS_ANY_KEY_TEXT": "Press any new key or ESC to cancel."
"PCACTION_RADIAL_MENU": "RADIAL MENU"
"PC_RECORD_MODE_FAILED_EXPORT": "AN INTERNAL ERROR CAUSED VIDEO SAVING TO FAIL."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} THROW GRENADE \n{GRENADE_SWITCH_IMG} CHANGE EQUIPPED GRENADE"
"MENU_MIDDLE_MOUSE": "Middle Mouse"
"CBA_VDC_NITRO": "   NITROUS"
"PLT_MENU_FULL_SCREEN": "FULLSCREEN"
"PC_OPTIONS": "OPTIONS"
"PC_ZONE_TYPE": "ZONE TYPE"
"PC_CZ_EXIT_HINT": "CLOSE THE CAMERA ZONE DIALOG"
"BTN_RTRIGGER_TXT": "THE A BUTTON"
