"CUST_ITEM_CF_HAIR_MED": "露肩"
"VEHICLE_COLOR_DRAGON_BLUE": "龙蓝"
"CUST_COLOR_BRIGHT_BLUE": "亮蓝"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "Z 式潮男帽"
"CUST_TATTOO_LFORARM_6": "装甲皮肤"
"SLOT_ROOF": "车顶"
"SLOT_LOGO": "徽标"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "增加弹药容量。 "
"CUST_VARIANT_LIGHT_STEEL": "亮钢"
"CUST_ITEM_CM_UBDY_M_VOLITION": "Volition"
"CUST_COLOR_CLOTHING_VIOLET_5": "紫罗兰 5"
"CUST_COMP_EYES_GREY": "灰色"
"SLOT_REAR_WHEELS": "后轮"
"CUST_COLOR_AUBURN": "红棕发"
"CUST_VARIANT_08_DEFAULT": "变体 8"
"CUST_WEAR_BACK_LEFT": "左后"
"CUST_COLOR_CLOTHING_YELLOWS_6": "黄色 6"
"CUST_TATTOO_RUPPARM_6": "爱妈妈"
"LOGO_RHOMBUS_1": "菱形 1"
"CUST_VARIANT_HORIZONTAL": "横条纹"
"VEHICLE_COLOR_WET_LEAF_BROWN": "湿叶棕"
"SLOT_MUDFLAP": "挡泥板"
"CUST_ITEM_FEMALE_LL_BRA_1": "坠入爱河"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "华尔街"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "超亮白"
"CUST_WEAR_TATTOO_BARBED_WIRE": "铁丝网"
"SLOT_CASKET": "棺材"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "塞衣，系扣，低腰裤，无背带"
"CUST_ITEM_CF_RING_F_EYEBALL": "私家侦探戒指"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "激光瞄准镜提高腰射精度。穿甲弹可穿透护甲。"
"CUST_COMP_MUSTACHE_20": "山羊胡"
"VEHICLE_PAINT_SHINY_MATERIAL": "亮面材质"
"LOGO_DRAGON": "龙"
"CUST_VARIANT_FADEUP_JEANS": "褪色"
"CUST_WEAR_HOOP": "圆环"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "蒸汽朋克发明家"
"CUST_GANG_DECKER": "赛博帮"
"CUST_TATTOO_LFORARM_2": "花之钥"
"COLOR_SLOT_TRIM_1": "饰条 1"
"SLOT_FRONT_MODS": "前部改装"
"CUST_COLOR_BRIGHT_PURPLE": "亮紫"
"CUST_COLOR_CLOTHING_YELLOWS_2": "黄色 2"
"CUST_TATTOO_RUPPARM_2": "8 位盖特"
"CUST_VARIANT_LOOPS": "环状"
"CUST_VARIANT_FLAMES": "火焰"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "猫装"
"CUST_COLOR_CLOTHING_VIOLET_1": "紫罗兰 1"
"HAIR_COLOR_PURPLE_MATTE": "哑光紫"
"CUST_ITEM_CF_HAIR_PIGTAILS": "初成年"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "增加弹药容量。双脚架降低后坐力。"
"COLOR_SLOT_WINDOW_TINT": "车窗染色"
"LOGO_COFFEE": "咖啡"
"CUST_COLOR_CLOTHING_RED_9": "红色 9"
"CUST_VARIANT_TRACK_A2": "样式 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "塞衣，系扣，低腰裤，无背带，领带"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "蓝紫 7"
"SLOT_KNEECAPPERS_DESC": "轮胎内藏伸缩刀刃，贴近车辆与行人行驶可造成伤害。"
"CUST_VARIANT_TRACK_PANTS": "纯色"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "提升伤害。"
"CUST_TATTOO_STOMACH_5": "无政府蝙蝠"
"CUST_COMP_MUSTACHE_3": "卧底须"
"RIM_200": "RBP 打击者 三件式"
"SLOT_HUBCAPS_FRONT": "前轮毂盖"
"COMPONENT_ADD_SUSPENSION": "可调悬架"
"SLOT_KNEECAPPERS": "撞膝器"
"SLOT_SPEED_UPGRADE": "速度升级"
"VEHICLE_COLOR_TOREADOR_RED": "斗牛士红"
"RIM_SET_010": "轮辋套组 10"
"VEHICLE_COLOR_PLATINUM": "铂金"
"RIM_154": "LX-9"
"VEHICLE_PAINT_MATTE_PAINT": "哑光漆"
"SLOT_REINFORCED_FRAME_DESC": "强化车架是载具在炸成废铁前承受惊人冲击的关键。"
"SLOT_ANTENNA": "天线"
"COMPONENT_NONE": "无"
"CUST_VARIANT_MULTICOLOR_SMALL": "多彩小图"
"SLOT_EXTRAS": "额外配件"
"Cornhole": "玉米辫"
"STRAWBERRY_BLONDE": "草莓金发"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "淡粉染"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "哑光浅棕"
"UNLOCALIZED_WHITE": "白色"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "提升射速。科技瞄具提高精瞄精度。"
"CUST_TATTOO_UPPBACK_2": "越界者死"
"LOGO_SECTION9": "第 9 区"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "盛装出席"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "起床烘焙"
"CUST_COMP_EYE_MAKEUP_7": "羽翼"
"HAIR_COLOR_ORANGE": "橙色"
"LOGO_NUMBER5": "5 号"
"LOGO_KBOOM": "KBOOM WMD108"
"CUST_TATTOO_LCALF_7": "挣脱锁链"
"CUST_VARIANT_STRIPED_TIE": "条纹领带"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "猫步围巾"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "元气女孩耳环"
"CUST_COLOR_CLOTHING_GREYS_5": "灰色 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "影响范围更大。"
"CUST_COMP_CHEEK_MAKEUP_3": "默剧"
"VEHICLE_PAINT_CANDY_PAINT": "糖果漆"
"CUST_TATTOO_RCALF_8": "死神之面"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "喷漆 1 与喷漆 2"
"RIM_129": "R129"
"VEHICLE_COLOR_TINT_5": "染色 5%%"
"LOGO_89GENX": "89 Gen X"
"CUST_VARIANT_DUAL_STRIPES_SMALL": "细小双条纹"
"CUST_COLOR_CLOTHING_VIOLET-RED_5": "紫红 5"
"CUST_COLOR_CLOTHING_BROWNS_4": "棕色 4"
"CUST_COMP_MUSTACHE_13": "佩恩之须"
"COMPONENT_DECAL_6": "贴花 6"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_9": "黄橙 9"
"CUST_TATTOO_FACE_3": "部落之刃"
"PAINT_AND_TRIM": "喷漆与饰条"
"CUST_VARIANT_FRONT_STRIPES_SMALL": "细小前条纹"
"CUST_WEAR_TATTOO_AZTEC_BUG": "阿兹特克虫"
"CUST_COMP_FACE_MAKEUP_4": "战面具"
"CUST_COLOR_BRIGHT_YELLOW": "亮黄"
"CUST_VARIANT_21_DEFAULT": "变体 21"
"CUST_TATTOO_RHAND_4": "仪式"
"LOGO_DART": "飞镖盘"
"CUST_ITEM_CF_DLC_HAND_F_BCGLOVE": "猩红女院长手套"
"CUST_COMP_EYE_MAKEUP_10": "凌厉眼线"
"SLOT_BED_MODS": "货箱改装"
"CUST_VARIANT_SKIRTB": "样式 2"
"CUST_VARIANT_ZEBRA_1": "斑马 1"
"CUST_ITEM_CM_FPIC_SETC": "双耳洞"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_2": "锁定更快，携弹更多。"
"CUST_TATTOO_NECK_4": "安特卫普特调"
"CUST_COMP_BODY_MASK_4": "农夫晒痕"
"VEHICLE_COLOR_TINT_30": "染色 30%%"
"LOGO_PMS": "Pi Mu Sigma"
"CUST_VARIANT_THIN": "细"
"RIM_SET_006": "轮辋套组 6"
"COMPONENT_OPTION_4": "选项 4"
"COLOR_SLOT_RIM": "轮辋"
"CUST_TATTOO_FACE_7": "双蛇"
"VEHICLE_COLOR_SILVER": "银"
"CUST_SKIN_PURPLE_4": "公主紫"
"CUST_COLOR_CLOTHING_VIOLET-RED_1": "紫红 1"
"CUST_COMP_MUSTACHE_17": "查克须"
"OPTION_37": "选项 37"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_8": "黄绿 8"
"CUST_COMP_EYES_DARK_BROWN": "深棕"
"VEHICLE_PAINT_LICENSE_PLATES": "车牌"
"HAIR_COLOR_GREEN_MATTE": "哑光绿"
"VEHICLE_COLOR_ATLANTIC_TEAL": "大西洋青"
"CUST_WEAR_TUCKED": "塞衣"
"CUST_ITEM_IMPRESSIONS_FEMALE_K": "印象·女 K"
"CUST_COMP_EYE_MAKEUP_14": "斯芬克斯"
"SLOT_MIRRORS": "后视镜"
"HAIR_COLOR_YELLOW_MATTE": "哑光黄"
"SK03": "皮肤 03"
"CUST_VARIANT_SMALL_FLOWERS": "小花"
"CUST_WEAR_BUTTONED_HOOD_DOWN": "系扣，帽放下"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_2": "携带更多导弹。"
"CUST_TATTOO_LOWBACK_4": "弧形高纹"
"CUST_COLOR_FLESH_4": "肉色 4"
"CUST_WEAR_HALF OPEN": "半开"
"CUST_TATTOO_UPPBACK_6": "双圣鸽"
"CUST_COMP_FACE_MOLE_8": "痣 8"
"CUST_COLOR_WHITE": "白色"
"CUST_ITEM_CM_PSJ_EYES_M_SHTRGLS": "炫目墨镜"
"CUST_COMP_EYE_MAKEUP_3": "右眼罩"
"RIM_188": "C-X 502"
"SLOT_DECAL_10": "贴花 10"
"BRIGHT_GREEN": "亮绿"
"VEHICLE_COLOR_JET_BLACK": "亮黑"
"CUST_VARIANT_CLEAR": "透明"
"CUST_VARIANT_BAND": "带状"
"CUST_COLOR_CLOTHING_GREYS_1": "灰色 1"
"VEHICLE_COLOR_YELLOW_DARK_TINT": "深黄染"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_ZIPPED": "左卷，低腰"
"CUST_TATTOO_LCALF_3": "继续游"
"LOGO_PEACE": "和平"
"CUST_VARIANT_WIDOWS_PEAK": "尖头顶"
"CUST_VARIANT_MATERIAL_9": "材质 #9"
"CUST_INSULT_O": "角色扮演"
"CUST_MORPH_CAT_CHIN": "下巴"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_3": "提升射速与伤害。"
"RIM_STANDARD": "标准"
"CUST_VARIANT_SMALL_3_STRIPES": "细条纹"
"CUST_TATTOO_RHAND_8": "手部纹身 R8"
"CUST_TATTOO_CHEST_3": "万能软体动物"
"PAINT_TRIM_AND_RIMS": "喷漆、饰条与轮辋"
"CUST_COMP_FACE_MAKEUP_8": "豹纹"
"LOGO_BAT_1": "蝙蝠 1"
"CUST_VARIANT_BELT": "素面"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_5": "小巧圆环"
"CUST_ITEM_CF_IMPQ_WRST_F_LATEXBRACE": "惊艳乳胶手镯"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_5": "黄橙 5"
"CUST_TATTOO_LHAND_7": "手部纹身 L7"
"CUST_COLOR_INDIGO_3": "靛蓝 3"
"CUST_COLOR_PURPLE_2": "紫色 2"
"CUST_ITEM_TOILET": "马桶"
"CUST_COLOR_CLOTHING_VIOLET-RED_9": "紫红 9"
"CUST_COLOR_CLOTHING_BROWNS_8": "棕色 8"
"VEHICLE_COLOR_BRETON_GREEN": "布列塔尼绿"
"LOGO_FUZZ": "《警况》"
"CUST_COMP_MALE_EYEBROWS_5": "邪恶天才"
"HAIR_COLOR_ORANGE_MATTE": "哑光橙"
"LOGO_RUSTY_S_NEEDLE_2": "拉斯蒂之针 2"
"CUST_WEAR_UNBUTTONED_HOOD_UP": "解扣，戴帽"
"CUST_ITEM_CM_IMPE_HAT_M_PAN_FEDORA": "南滩软呢帽"
"CUST_ITEM_CF_LLK_FOOT_F_LATEXBOOTS": "火辣长靴"
"CUST_TATTOO_NECK_8": "黑天鹅"
"HAIR_COLOR_BLACK_MATTE": "哑光黑"
"LOGO_NUMBER_13": "13 号"
"CUST_ITEM_CF_SUIT_CYPHERSUIT": "乌托尔刺客"
"CUST_COLOR_CLOTHING_ORANGE_2": "橙色 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_UNZIPPED": "双面开拉，高腰"
"CUST_ITEM_CF_DLC_WP_UBDY_F_UPPER": "战士公主上装"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_2": "提升伤害。红点瞄具提高精瞄精度。"
"VEHICLE_COLOR_RED_DARK_TINT": "深红染"
"RIM_180": "SD DCY15"
"LOGO_NUMBER9": "9 号"
"CUST_VARIANT_STRETCH_TOP": "样式 1"
"CUST_TATTOO_LEFT_LEG": "左腿"
"CUST_MENU_COLOR": "颜色"
"CUST_TATTOO_RFORARM_1": "寻找平衡"
"VEHICLE_COLOR_WILDLIFE_GREEN": "野性绿"
"SLOT_SEATS": "座椅"
"CUST_VARIANT_PATTERN2": "样式 2"
"CUST_ITEM_BLOWUPDOLL": "充气人偶"
"CUST_VARIANT_PATTERN_1": "样式 1"
"CUST_INSULT_G": "海军陆战队员"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_2": "提升伤害。"
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_3": "增大弹匣容量。 "
"CUST_TATTOO_RCALF_4": "记住我"
"CUST_TATTOO_LARM_3": "兄弟会"
"CUST_TATTOO_LUPPARM_1": "引信已燃"
"CUST_COMP_FACE_FRECKLES": "雀斑"
"CUST_COMP_FEMALE_EYEBROWS_3": "描眉"
"CUST_COLOR_CLOTHING_GREYS_9": "灰色 9"
"BRIGHT_YELLOW-GREEN": "亮黄绿"
"CUST_VARIANT_CMSHO_UUTIBOOT01": "帆布"
"CUST_VARIANT_STRIPES_1": "条纹 1"
"CUST_VARIANT_09_DEFAULT": "变体 9"
"CUST_VARIANT_PLAID_1": "格纹 1"
"CUST_VARIANT_MATERIAL_1": "材质 #1"
"CUST_WEAR_FINGER_RI": "右手食指"
"CUST_ITEM_CF_LPH_UBDY_F_VARSITYCHEER": "校队精神衫"
"VEHICLE_COLOR_BAY_YELLOW": "海湾黄"
"RIM_184": "V-F 603"
"CUST_VARIANT_MATERIAL_24": "材质 #24"
"CUST_ITEM_CM_PSE_EYES_M_SHADES": "碰不得墨镜"
"VEHICLE_COLOR_BELIZE_GREEN": "伯利兹绿"
"MALE_OVERWEIGHT": "男·超重"
"CUST_RACE_ASIAN": "亚裔"
"CUST_ITEM_CF_IMPR_FOOT_F_HEELS": "甜心高跟鞋"
"CUST_TATTOO_RFORARM_5": "紫色仙女"
"CUST_COMP_FACE_MOLE_4": "痣 4"
"CUST_VARIANT_MATTE": "哑光"
"CUST_VARIANT_THE_FADE": "褪色"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_2": "增大弹匣容量并提升伤害。红点瞄具提高精瞄精度。"
"CUST_TATTOO_LARM_7": "忍者缠带"
"CUST_TATTOO_LUPPARM_5": "永属我"
"SLOT_SIDE_SKIRT": "侧裙"
"CUST_VARIANT_CHILD_RWRIST": "样式 2"
"CUST_VARIANT_LARGE_PLAID": "大格纹"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ROLLED": "左开拉，右卷，低腰"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_3": "增大弹匣容量。增设第三根枪管以造成更高伤害。"
"VEHICLE_PAINT_INTERIORS": "内饰"
"COMPONENT_OPTION_11": "选项 11"
"SLOT_DECAL": "贴花"
"CUST_COLOR_GREEN_1": "绿色 1"
"LOGO_FISH": "鱼"
"CUST_VARIANT_BONES": "巫术"
"CUST_VARIANT_01_DEFAULT": "变体 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "老太摩托靴"
"SLOT_LIGHT_COVERS": "灯罩"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "摩托辣妹夹克"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "黄绿 4"
"CUST_TATTOO_CHEST_7": "快乐彩虹"
"LEVEL_2": "等级 2"
"CUST_VARIANT_BABYT_OG": "元老"
"CUST_ITEM_MALE_GATSUIT": "强尼·盖特吉祥物"
"CUST_COMP_EYES_BLUE": "蓝色"
"SLOT_INTERIOR": "内饰"
"PAINT_4": "喷漆 4"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "黄橙 1"
"CUST_TATTOO_LHAND_3": "仇恨熔炉"
"VEHICLE_COLOR_FROSTED_BLUE": "磨砂蓝"
"CUST_TATTOO_LOWBACK_8": "弧形低纹"
"SLOT_TRUNK": "后备箱"
"CUST_VARIANT_CHILD_HEMP": "样式 1"
"CUST_VARIANT_WITH_DECALS": "贴花"
"CUST_COMP_MALE_EYEBROWS_1": "浓密男眉"
"COMPONENT_EXTRA_HIGH_PROFILE": "超高轮廓"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "塞衣，系扣"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "猩红女院长墨镜"
"CUST_COLOR_CLOTHING_ORANGE_6": "橙色 6"
"CUST_COMP_EYE_MAKEUP_18": "哥特之夜"
"CUST_VARIANT_MIXED": "混搭"
"CUST_COMP_TEST_CHEEK_MAKEUP": "盛装打扮"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "圣徒奢华手表"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "紧身短裤"
"CUST_COLOR_CLOTHING_BLUES_7": "蓝色 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "红橙 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "不锈钢"
"CUST_VARIANT_TRACK_B": "样式 3"
"SLOT_DECAL_7": "贴花 7"
"LOGO_BOOT": "靴"
"HAIR_COLOR_BLUE": "蓝色"
"VEHICLE_COLOR_BLACK": "黑色"
"CUST_COLOR_CLOTHING_GREENS_6": "绿色 6"
"CUST_TATTOO_STOMACH_8": "艺术之花"
"CUST_COMP_FACE_SCAR_2": "大伤疤 2"
"COLOR_SLOT_WINDOW_NET": "车窗网格"
"VEHICLE_COLOR_DEEP_GRAY": "深灰"
"CUST_VARIANT_SHIRT_B": "样式 2"
"CUST_VARIANT_SANDAL": "凉鞋"
"CUST_VARIANT_FLOWER_BAND": "花环"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "曼巴高跟鞋"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "清爽短发"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "蓝绿 1"
"VEHICLE_COLOR_TITANIUM": "钛"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "亮日橙"
"LOGO_GUITAR": "吉他"
"LOGO_FEEDDOGS": "喂狗"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "太空公主打底裤"
"CUST_COMP_EYES_DARK_BLUE": "深蓝"
"CUST_COLOR_ORANGE_4": "橙色 4"
"CUST_COLOR_CLOTHING_RED_4": "红色 4"
"VEHICLE_COLOR_TINT_40": "染色 40%%"
"CUST_COMP_FACE_WART_1": "疣 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "朦胧日灰"
"COLOR_SLOT_PAINT_2_AND_TRIM": "喷漆 2 与饰条"
"CUST_VARIANT_PLAID": "格纹"
"LOGO_SQD": "Sigma Theta Delta"
"CUST_ITEM_FEMALE_LP_BRA_5": "大红"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "商务休闲裤"
"COLOR_SLOT_PAINT_2": "喷漆 2"
"COLOR_SLOT_INTERIOR_2": "内饰 2"
"HAIR_COLOR_BLONDE": "金发"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "侦探帽"
"CUST_INSULT_LINE": "越线"
"COLOR_SLOT_RIMS_1": "轮辋 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "山姆设计 2"
