"HITMAN_TARGET_33_SHORT_DESC": "黑帮头目头目不愿向圣徒低头"
"CHOPSHOP_LONG_2_3": "这辆火炬可是钢埠的街头竞速冠军。如今那个输不起的亚军想要它。你在灰木区能找到。"
"HITMAN_TARGET_H12_DESCRIPTION": "杰拉德当摔跤手时就不干净，离开擂台后更脏。摔跤手帮不少见不得光的买卖都经他的手。[format][color:em]开一辆他中意的肌肉车停到他的加油站……他好这口[/format]，然后杀了他。不必低调，整座加油站炸了都行。"
"STORE_HOLDUP_MOVE": "押着店主去拿钱"
"CHOPSHOP_LONG_3_5": "因为有时候你就想清理一下垃圾。这些市政钢铁巨兽总在凌晨的街头游荡。"
"CHOPSHOP_SHORT_2_6": "急需一辆超稀有的妖姬"
"HITMAN_LOC_5_3": "洛伦广场"
"HITMAN_TARGET_61_DESCRIPTION": "地方检察官赫斯打算竞选市长。这座城市只需要一位，而那位已经就位。去[format][color:em]亨利米尔斯的联邦法院[/format]堵他，你的能耐定能让他改主意。"
"HITMAN_TARGET_34_SHORT_DESC": "杀了我丈夫！急！！！"
"CHOPSHOP_SHORT_4_4": "有客户要一辆指挥官"
"HITMAN_LOC_3_1": "卡马诺广场"
"HITMAN_TARGET_5_1": "伯尼"
"DIVERSION_CHALLENGES_NO_WEAPON_KILLS": "空手击杀"
"DIVERSION_CHALLENGES_VEHICLE_MODDING_D": "想在钢埠混出名堂，宝贝，你得学会给座驾加装扮！这事儿还有谁比钢埠头号老鸨更懂？"
"TUT_DIV_INTRO_HITMAN": "你已答应替某人除掉一个目标。阅读对方对任务的说明，从中找出在指定地点引出目标的线索。"
"DIVERSION_CHALLENGES_GANG_OPS_DESTROYED_D": "钱能让世界转起来。要是断了对手的财路，咱们离掌控这座城市就更近一步。"
"CHOPSHOP_SHORT_5_2": "布拉沃目标代号：N-FORCER"
"CHOPSHOP_LONG_4_1": "我们专营飞行器与水上载具，正缺个收购人手。咱们可以从小的来。弄一艘鲨鱼号送到码头，再细谈。去卡马诺广场码头区附近试试。"
"DIVERSION_CHALLENGES_BRUTE_GRABS": "被猛男抓起"
"HITMAN_TARGET_63_SHORT_DESC": "突发新闻！"
"HITMAN_TARGET_21_DESCRIPTION": "卢瑟是个变态色魔。嘿，这世上多的是这种人，对吧？可他每次在[format][color:em]洛伦广场[/format]见到我就来撩。帮我个忙，把他从世上除名。这扭曲的家伙会主动搭讪任何看似友善的人，所以你只要[format][color:em]多夸几个人[/format]就行。"
"PAUSE_ACT_HITMAN_SWITCH_SELECT": "切换活动 / 选择地点"
"DIVERSION_DRIVEBY_DIVERSION_SILVER_LEVEL_REWARD_NAME": "[format][color:silver]银色[/format]"
"CHOPSHOP_SHORT_3_4": "给我弄一辆洗地车"
"TUT_DIVERSION_RESPECT_CAP": "该支线活动的声望已达上限。此后将以现金代替声望作为奖励。"
"HITMAN_LOC_4_1": "落日公园"
"HITMAN_TARGET_2_1": "卢瑟"
"HITMAN_TARGET_73_SHORT_DESC": "扳倒那个销赃者"
"CHOPSHOP_LONG_3_1": "我开的是咱劳动人民的拆车坊，正缺一辆马力大、刹车差的狠货。这辆改装过的私酒贩若是能弄到，论斤卖铬都值了。车主常在罗森橡树区晃悠。"
"CHOPSHOP_SHORT_2_2": "抓一辆神经原来拆零件"
"TUT_DIV_INTRO_COOP_CAT_AND_MOUSE": "一名玩家（猫）追逐并试图击杀另一名玩家（鼠），后者要尽快逃向检查点。"
"CHOPSHOP_LONG_3_4": "这些街头清洁车让钢埠的街道与游乐场停车场远离垃圾、血迹和呕吐物。深夜的市中心哪儿都能碰见。"
"HITMAN_LOC_5_2": "普赖尔角"
"HITMAN_TARGET_3_2": "杰克"
"DIVERSION_CHALLENGES_ONCOMING_LANE": "逆向车道距离"
"HITMAN_LOC_H1_1": "落日公园"
"HITMAN_TARGET_H21_DESCRIPTION": "迈克尔曾是地方检察官，如今为赛博帮卖命。他不光彻底的坏，还简直写了本身份伪装教科书。我弄了本复印的，其实写得不赖……我知道他开车上班，所以你不妨[format][color:em]弄辆警车[/format]，在[format][color:em]灰木区[/format]某处把他拦下。  "
"HITMAN_TARGET_H1_1": "亚历杭德罗"
"DIVERSION_CHALLENGES_RESPECT_EARNED": "获得声望"
"CHOPSHOP_SHORT_3_1": "你有才，我有活。咱们搞一辆私酒贩"
"CHOPSHOP_LONG_2_2": "街头竞速少了神经原就不算数，这也让它的零件成了抢手货。去亨利米尔斯钢铁厂区一带找找。"
"HITMAN_LOC_4_4": "洛伦广场"
"HITMAN_TARGET_52_DESCRIPTION": "兰德尔在[format][color:em]三秒压制[/format]当保安。他还顺手揩油。在那家游乐场附近闹点动静……[format][color:em]揍几个客人什么的[/format]……把他引出来，算是替钢埠老实常客除害。"
"HITMAN_TARGET_21_SHORT_DESC": "反盯那个跟踪狂"
"HITMAN_TARGET_2_4": "钱德勒"
"HITMAN_TARGET_H11_SHORT_DESC": "去接货"
"PHOTO_OP_USE_MESSAGE": "参与拍照活动"
"HITMAN_TARGET_64_DESCRIPTION": "我受够了！！！咱们的披萨外卖员是个蠢货！！！每单都送错！！！[format][color:em]你去试试，先到厄尔伍德，再用手机点个单！！！[/format]简直气死人！！！我要我的披萨！！！快结束这场闹剧，在我发疯前[format][color:em]干掉这个白痴[/format]！！！"
"HITMAN_TARGET_64_SHORT_DESC": "立刻制止这个公害！！！"
"CHOPSHOP_LONG_4_4": "这玩意儿是海上执法者。追水面嫌犯和巡航湄公河一样在行。走私贩也爱它。你总能在塞拉角外找到停靠的指挥官——就是大雕像北边的警卫基地。"
"TUT_TITLE_CHOP_SHOP": "拆车坊"
"HITMAN_LOC_2_2": "罗森橡树区"
"HITMAN_TARGET_4_2": "布莱兹"
"DIVERSION_CHALLENGES_2_WHEEL_DISTANCE": "双轮距离"
"DIVERSION_STUNT_JUMPING_NORMAL_STATS_FEET": "距离 %.0f 英尺，高度 %.0f 英尺"
"DIVERSION_CHOP_SHOP_SEARCH": "搜寻目标载具"
"CHOPSHOP_LONG_5_2": "这里「人道主义援助公司」，我们觉得 STAG 有这些怪兽而客户没有，太不公平。帮我们拉平差距。要是你到现在还不知道怎么弄来一辆 N-FORCER，那你可真笨。"
"CHOPSHOP_SHORT_4_1": "里格海空补给缺一条真鲨鱼号"
"HITMAN_LOC_3_4": "洛伦广场"
"HITMAN_TARGET_53_DESCRIPTION": "你的活儿我很满意，但还有得做。迪克森先生是组织里的大人物，傲慢得很，除了豪车绝不坐别的。你要在[format][color:em]洛伦广场[/format]他办公室附近[format][color:em]开辆豪车等他[/format]。务必让迪克森先生提前退休。"
"CHOPSHOP_SHORT_3_2": "弄辆补偿者来还债"
"CHOPSHOP_LONG_2_1": "我的店给钢埠的改装客备着最好的零件。你先弄辆戟来。头顶空间是局促了点，但入门改装客也能让它飞起来，懂吧？去布里斯顿区找找。"
"HITMAN_TARGET_H32_DESCRIPTION": "有个叫克洛维斯的牛气修车匠，老欺负我的女孩，这可不行。伤士气，懂我意思吧？你倒是帮我让女孩们能安生干活？不过这么好的修车匠没了也可惜。你最好先[format][color:em]在他那儿做点活儿[/format]再撂倒他。他常泡在[format][color:em]卡马诺广场[/format]的边缘工坊。"
"DIVERSION_CHALLENGES_FIND_SHORTCUTS_D": "孙子曾言：「地形者，兵之助也。」钢埠亦然。在全城找出近道吧。"
"CHOPSHOP_SHORT_2_4": "抢下这辆漩涡稳赚不赔"
"HITMAN_LOC_5_1": "罗森橡树区"
"HITMAN_TARGET_41_DESCRIPTION": "辛迪加造出了一只……敏感的猛男。这瑕疵必须清除。你只要表现得友善，[format][color:em]别亮武器靠近[/format]，趁他在[format][color:em]市中心公园[/format]嗅花时就能贴上去。后续再联系。"
"HITMAN_LOC_H1_2": "新巴拉内克"
"HITMAN_TARGET_H1_2": "杰拉德"
"DIVERSION_COOP_CLIENT_CONTINUE": "{MENU_SELECT_IMG} 继续"
"HITMAN_TARGET_H33_DESCRIPTION": "安德烈是晨星帮的大管家。城里一半女孩都给他卖身。要引他出来可得下血本。[format][color:em]在埃斯皮纳放倒他一大票混蛋——在那儿见到的女孩都归他管——[/format]还要把[format][color:em]晨星帮惹得火冒三丈[/format]，就成了。"
"HITMAN_TARGET_12_SHORT_DESC": "让这个 DJ 停转"
"DIVERSION_CHALLENGES_SHOTS_FIRED": "开枪数"
"CHOPSHOP_LONG_5_1": "我们向专属的第三世界客户供应警用与军规装备。我们可是大买卖，但你若能偷一辆封锁车来证明自己，我们另有重用。激怒执法部门，从路障处抢一辆。"
"CHOPSHOP_SHORT_4_2": "给我弄一艘迈阿密快艇"
"HITMAN_TARGET_H22_SHORT_DESC": "顺路买点阿司匹林"
"DIVERSION_CHALLENGES_SMART_MOTORCYCLE_KILLS": "摩托车摧毁数"
"DIVERSION_CHALLENGES_GRENADE_KILLS_D": "我们队友火力正考虑在即将到来的节日旺季推一款榴弹试用装。你试试看，告诉我值不值。"
"DIVERSION_TWO_WHEELS": "双轮"
"CHOPSHOP_SHORT_5_4": "德尔塔目标代号：兀鹫"
"HITMAN_LOC_2_1": "洛伦广场"
"HITMAN_TARGET_4_1": "布鲁图斯"
"CHOPSHOP_SHORT_5_1": "人道主义援助公司——扣押叛乱分子"
"CHOPSHOP_LONG_4_2": "这艘迈阿密曾在 80 年代一部热门警匪剧的首集亮相，有收藏家眼红得很。你在落日公园的码头一带能找到。"
"TUT_DIV_SURVIVAL_STARTED": "尽力抵挡一波波敌人。有些波次限时，有些需达成一定击杀数。每完成一波都有奖励。祝好运！"
"HITMAN_LOC_2_4": "落日公园"
"HITMAN_TARGET_4_4": "王医生"
"DIVERSION_CHALLENGES_GIVE_COMPLIMENTS_D": "虽说「攻心为上」这词被用烂了，其内核却不假。或许你该为圣徒攒点民心。"
"HITMAN_TARGET_33_DESCRIPTION": "卡尔在机场扛包。他也借机走私违禁品，还对手下地盘的人毫不留情。[format][color:em]在机场偷辆推车[/format]，他准会来盘你。"
"DIVERSION_NEAR_MISS_TITLE": "擦身而过"
"DIVERSION_FLASHING_RAN_OUT_OF_TIME_TEXT": "时间到！"
"CHOPSHOP_LONG_5_4": "杀霸一时兴起给手下订了一架，却没人会开。这兀鹫咱们另有妙用。它就停在三秒压制附近的码头上。"
"HITMAN_LOC_3_2": "卡马诺广场"
"HITMAN_TARGET_5_2": "兰德尔"
"DIVERSION_CHALLENGES_STUNT_JUMP_DISTANCE": "大腾空距离"
"TUT_TITLE_SURVIVAL": "生存战"
"DIVERSION_CHALLENGES_2_WHEEL_DISTANCE_D": "四轮贴地跑的车最叫我犯困。咱俩这就给钢埠开开眼，什么叫真正的飙车！"
"DIVERSION_SURVIVAL_HIT_CAMERAMAN_TEXT": "在[format][color:green]摄像师[/format]周围小心点"
"HITMAN_TARGET_32_DESCRIPTION": "叫我拉斯普京吧。我在晨星帮位高权重，却有理由想让现任领导丢脸。杰克是开水泥罐车的，专帮着埋尸。你在[format][color:em]萨兰德[/format]一带能找到他。除掉他，我便敢把更大的事交给你。"
"CHOPSHOP_LONG_3_2": "有人还不上欠债，咱们就拿他的补偿者抵……呃……债。去厄尔伍德找。"
"CHOPSHOP_SHORT_2_1": "给我偷一辆戟"
"HITMAN_LOC_5_4": "落日公园"
"TUT_DIV_CHOP_SHOP_VEHICLE_DAMAGE": "把载具开回拆车坊。小心驾驶，车损越重，报酬越少！"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_START_MESSAGE_TEXT": "载具冲浪"
"DIVERSION_STUNT_JUMPING_STATS_ROLL": "翻滚 %.0f{temp_degrees}"
"CAT_MOUSE_PLAY_AGAIN": "再玩一次"
"CHOPSHOP_LONG_2_4": "漩涡号兼具欧式跑车造型与高保值，宝贝，这笔稳赚。市中心内外都能找到。"
"HITMAN_LOC_4_2": "卡弗岛"
"HITMAN_TARGET_2_2": "迈克"
"DIVERSION_WHORING_START_MESSAGE": "开始皮肉生意支线"
"DIVERSION_DRIVER_BAILOUT_TITLE": "司机弹射"
"CHOPSHOP_SHORT_5_5": "回声目标代号：挑战者"
"CHOPSHOP_LONG_4_6": "平时我可不让你把飞机降停机坪上，但有人把这架啄木鸟塞满了咱们要找回的违禁品。去卡特国际机场的停机坪找它。"
"HITMAN_TARGET_44_DESCRIPTION": "亲爱的！王医生把我的拉皮手术搞砸了，现在我丑得吓人，还一直咧着嘴笑！[format][color:em]去他市中心的诊所做你自己的整容[/format]，并确保你是他这辈子最后一个病人。"
"HITMAN_TARGET_73_DESCRIPTION": "尤利西斯是个高端销赃犯，也是辛迪加的重要资金来源。他还迷各种飞行器。你只要[format][color:em]绕着他的楼飞[/format]，他准会出来看热闹。他一露面，就干掉他。"
"CHOPSHOP_SHORT_4_3": "不再是压迫者了"
"DIVERSION_COOP_SUCCESS_HOST_TIE": "平局。按 {PICKUP_RELOAD_IMG} 进入下一轮，或按 {ACTION_IMG} 退出。"
"DIVERSION_COOP_SURVIVAL_TRIGGER_USE_MESSAGE": "开始合作生存战"
"HITMAN_CALL_DISPLAY_2B": "紧急响应"
"CHOPSHOP_LONG_3_6": "油可不便宜，油价又涨，彼得莱纳正适合拉回一罐车的黑市燃油。你在埃斯皮纳能找到。"
"CHOPSHOP_SHORT_2_5": "想帮我搞一辆金田吗？"
"TUT_DIV_HITMAN_GPS": "已接受职业杀手委托。完成当前任务或活动后，GPS 将启用。"
"DIVERSION_CHALLENGES_CARS_JACKED_D": "听着，甜心，我直说。《警况》急需犯罪画面，所以有时候你得给罪犯一点推力。「推一把，推一把！」"
"HITMAN_LOC_H1_3": "机场"
"HITMAN_TARGET_H1_3": "惠特尼"
"DIVERSION_CHALLENGES_MULTI_KILLS_D": "想在钢埠活下去就得保持锋利。又快又狠地放倒对手，正是法门。"
"DIVERSION_CHALLENGES_DO_NUTSHOTS_D": "强尼爱爆头，但能敲到真正疼的地方，何必要下死手？"
"CHOPSHOP_SHORT_3_3": "掀起一场沙暴"
"DIVERSION_CHALLENGES_LAW_NOTORIETY": "高恶名：警方"
"DIVERSION_CHALLENGES_DESTROY_DECKER_VEHICLES": "摧毁赛博帮载具"
"DIVERSION_YOU_DIED": "你死了。"
"HITMAN_TARGET_72_DESCRIPTION": "STAG 有个突击兵——斯坦纳中士，简直是单兵杀戮机器。咱们的人碰他都够呛。不过这傲慢的狗娘养的想跟你单挑。他们说你可以去[format][color:em]那座巨雕像[/format]，再[format][color:em]打这个电话[/format]。带上最好的装备，撂倒这混蛋。"
"HITMAN_TARGET_42_SHORT_DESC": "把这屎……"
"HITMAN_CALL_TEXT_2B": "把当地消防员叫到你所在位置，准备结果你的目标。"
"DIVERSION_CHALLENGES_STOPPIE_DISTANCE_D": "翘头谁都会。可停车翘尾……那完全是另一种野兽，老兄。看看你有没有本事当钢埠的车王。"
"CHOPSHOP_SHORT_3_6": "拉大件还是彼得莱纳最稳"
"CHOPSHOP_LONG_2_5": "九成新的金田在地下机车竞速圈能卖大价钱，前提是你能逮到。去桥港区碰碰运气。"
"TUT_DIV_INTRO_CHOP_SHOP": "在全城搜寻目标载具。有些指定具体车辆（跟着 GPS！），其余只要型号对就行。"
"HITMAN_LOC_4_3": "伯恩斯山"
"DIVERSION_CHALLENGES_ONCOMING_LANE_D": "要说有什么能让观众锁定《警况》，莫过于一个杀人狂坐上驾驶座。怎么样，你当不当这杀人狂？"
"CHOPSHOP_LONG_3_3": "那帮「极限」越野疯子对沙暴号爱不释手，所以才总被偷。那就去偷一辆。不妨在伯恩斯山附近找找。"
"DIVERSION_CHALLENGES_WHEELIE_DISTANCE_D": "你挺稳，可没人像「极速怪胎」那样把翘头玩到极致！我敢说你连我一半水准都不到！"
"DIVERSION_COOP_DEATH_TAG_START_MESSAGE": "在死亡标签支线中按住 {ATTACK_SECONDARY_IMG} 复活"
"PAUSE_ACT_HITMAN_SELECT_TARGET": "查看目标"
"CHOPSHOP_LONG_5_5": "没错，我们要你偷一辆挑战者坦克。要是容易，也不会出这么高的价。去军械库附近试试，守卫会多得多。"
"CHOPSHOP_SHORT_4_6": "再跑一趟机场弄架啄木鸟"
"HITMAN_LOC_3_3": "机场"
"HITMAN_TARGET_5_3": "迪克森先生"
"DIVERSION_HOSTAGE_RANSOM_TEXT": "赎金：[format][color:orange]%s[/format]"
"CHOPSHOP_LONG_4_3": "压迫者多年来是警察的空中之眼，也是老实罪犯的肉中刺。它既能载警察……也能栽赃警察。懂我意思吧？警察通常在落日公园老电厂旁停着一辆待命。"
"DIVERSION_CHALLENGES_SMART_CAR_KILLS_D": "虽说不理性，可这些小车对我这种块头实在不实用，叫我恼火。何不劝大伙开点别的？"
"DIVERSION_CHALLENGES_DESTROY_BOATS_D": "轻度受损的船越来越有市场。你弄几艘出来，我少不了你的好处。不过「轻度」那部分我可能吹了点……"
"TUT_DIV_INTRO_SURVIVAL": "是否响应生存战呼叫随你……置之不理它很快会消失。想帮圣徒的，就把 GPS 设到地点，速速赶去！"
"DIVERSION_SURVIVAL_WAVE_TAG": "波次："
"HITMAN_LOC_H2_1": "灰木区"
"HITMAN_TARGET_H2_1": "迈克尔"
"DIVERSION_CHALLENGES_MORNINGSTAR_NOTORIETY": "高恶名：晨星帮"
"TUT_TITLE_DIV_INTRO_COOP_DEATH_TAG": "[format][color:yellow]合作死亡标签[/format]"
"HITMAN_LOC_6_2": "卡马诺广场"
"HITMAN_TARGET_62_DESCRIPTION": "我对你的信任没有错付。是时候领取你的奖赏了。晨星帮正在转移一大笔现金。去[format][color:em]卡马诺广场码头[/format]附近找到他们的信使格里高尔，取回本属于你的东西。"
"DIVERSION_EXPLORATION_JUMP_COMPLETE": "你已找到所有跳跃点！漂亮！"
"HITMAN_TARGET_H11_DESCRIPTION": "摔跤手帮靠进口类固醇起家。这小子每周给他们送新货。他会在[format][color:em]落日公园[/format]附近的码头，等一辆摔跤手帮的车来接货。[format][color:em]确保你开着那辆车[/format]，然后终结这整桩买卖。"
"HITMAN_TARGET_51_SHORT_DESC": "八卦记者"
"CHOPSHOP_LONG_1_2": "迪特尔是艺术的赞助人，亲爱的。奥特豪斯委托创作一件「浮夸垃圾」装置，主角就是这款中城代步小车。既然小人物都开它，去布里斯顿区找吧。"
"HITMAN_TARGET_1_4": "迪利警官"
"DIVERSION_CHALLENGES_POWERSLIDE_TIME_D": "老兄，我就爱橡胶尖叫的声音！给我来几个漂亮的漂移，你就能赢得「怪胎」的敬意！"
"DIVERSION_HOLDUP_SHIELD_HOLD_CLERK": "继续挟持店员以取得现金"
"HITMAN_LOC_1_2": "萨兰德"
"HITMAN_TARGET_63_DESCRIPTION": "奥利弗那个「空中之眼」新闻佬想抢我的观众。我想，一则直升机坠毁的新闻，正好能赢回粉丝。你有啥办法安排？这会儿他通常在[format][color:em]布里斯顿区[/format]上空播报路况，你要是想[format][color:em]抢架飞机[/format]去拜访他，正合适。"
"HITMAN_TARGET_14_SHORT_DESC": "撂倒这个硬骨头"
"CAT_MOUSE_QUIT_DIVERSION": "退出合作支线"
"HITMAN_CALL_TEXT_5A": "只要你许诺给伯尼·史密斯-琼斯一个劲爆内幕，他准会来见你。放心，这没听起来那么脏。"
"DIVERSION_CHALLENGES_DECKER_SPECIALISTS": "击杀赛博帮专家"
"DIVERSION_CHALLENGES_GANG_TAUNTS": "帮派成员被挑衅"
"HITMAN_CALL_DISPLAY_5D": "钢埠有线电视调度"
"HITMAN_TARGET_6_4": "丹尼"
"DIVERSION_SURVIVAL_COMPLETED": "完成！"
"HITMAN_TARGET_54_DESCRIPTION": "你敢信我被一个装机佬骗了？这混蛋自称吉姆，说包我终身无限电视，结果钱到手，我满屏都是那公营广播的破玩意儿。把这骗子引出来：[format][color:em]去他们总部用手机下个假单[/format]，然后终结他的狗屁把戏。"
"HITMAN_TARGET_41_SHORT_DESC": "清除叛逃猛男"
"DIVERSION_CHALLENGES_HUMAN_SHIELDS": "使用者盾次数"
"DIVERSION_ONCOMING_BEST_FEET": "逆向车道纪录：%.0f 英尺"
"HITMAN_CALL_DISPLAY_5A": "新闻编辑室市内台"
"DIVERSION_CHALLENGES_UNITS": "{0}/{1} {2:text_tag_crc}"
"HITMAN_TARGET_6_1": "赫斯先生"
"DIVERSION_CHALLENGES_KILL_BRUTES_D": "我对那些假兄弟可有半点亲情？没有。一点都没有。劳烦你尽可能多地清除他们。"
"DIVERSION_SURVIVAL_TIMER_TAG": "时间："
"HITMAN_CALL_TEXT_5D": "装机佬吉姆给这帮蠢货干活。打电话叫他们派他到你这儿来。"
"HITMAN_TARGET_H23_SHORT_DESC": "请替我浇浇花"
"DIVERSION_CHALLENGES_NEAR_MISSES_GROUND_D": "观众锁定《警况》可不是来看煽情社会剧的：他们要看的是有人危害公共安全，最好还开着车。"
"HITMAN_TARGET_13_SHORT_DESC": "去他的城市道德……"
"DIVERSION_CHALLENGES_GET_SMOKED": "被烧次数"
"TUT_TITLE_DIVERSION_RESPECT_CAP": "支线声望上限"
"TUT_TITLE_HITMAN": "职业杀手"
"HITMAN_LOC_7_1": "洛伦广场"
"HITMAN_TARGET_1_1": "戈尔欣中尉"
"DIVERSION_CHALLENGES_HUMAN_SHIELDS_D": "对威尔梅克实验室而言，每个受惊的市民都是潜在客户。这能让咱们的卡塔托尼克斯销量飙升。利润自会分给伙伴。"
"HITMAN_LOC_H3_2": "卡马诺广场"
"HITMAN_TARGET_H3_2": "克洛维斯"
"DIVERSION_CHALLENGES_SMART_CAR_KILLS": "鸸鹋车摧毁数"
"CHOPSHOP_SHORT_1_2": "迪特尔必须有一辆鸸鹋！为了艺术！"
"DIVERSION_CHALLENGES_VEHICLE_MODDING": "载具改装花费"
"DIVERSION_CHALLENGES_DECKER_NOTORIETY": "高恶名：赛博帮"
"DIVERSION_STREAKING_HELP_TEXT_MESSAGE": "尽可能贴着更多人天体！"
"HITMAN_TARGET_11_DESCRIPTION": "辛迪加在钢埠警局里的金童，是驻[format][color:em]新科尔文……也就是钢埠东北角[/format]的戈尔欣中尉。总之，[format][color:em]在那儿闹出点动静[/format]，他多半会自己送上门。然后崩了他，咱们都好过。"
"HITMAN_TARGET_H33_SHORT_DESC": "大场面，宝贝"
"HITMAN_TARGET_H31_SHORT_DESC": "抓个女孩他就现身"
"HITMAN_LOC_1_3": "灰木区"
"HITMAN_TARGET_H23_DESCRIPTION": "咱们有内鬼！一个叫卢卡斯的圣徒一直在向赛博帮告密。接近他的最好办法是入乡随俗。我已把[format][color:em]一套体面的赛博帮服装[/format]放进你的衣橱。[format][color:em]穿上它，去核电站附近[/format]。你或许得先打退几个自己人，但盯紧他。"
"HITMAN_TARGET_54_SHORT_DESC": "给咱退订电视"
"HITMAN_TARGET_7_3": "尤利西斯"
"DIVERSION_CHALLENGES_PARACHUTE_LANDINGS": "定点跳伞完成数"
"TUT_DIV_HITMAN_STARTED": "你已引目标现身。现在除掉他以领取报酬。小心！目标可能有替身，或有对家杀手抢功！"
"HITMAN_TARGET_51_DESCRIPTION": "你看了那个八卦渣滓伯尼·史密斯-琼斯写的玩意儿没？等他抹黑完我，听说下一个就是你。我说，最好的防守就是进攻。你何不给他爆个「料」？[format][color:em]用手机通讯录打给他，再约个地方见[/format]。当然，别提我的名字。"
"HITMAN_TARGET_11_SHORT_DESC": "腐败警察"
"DIVERSION_CHALLENGES_MILES_DRIVEN_D": "想跟我这般成为街头竞速传奇，唯有多跑多记钢埠的街巷。"
"CHOPSHOP_LONG_1_3": "今夜有场盛大派对，迪特尔在受邀之列。无论你是要敲定十亿大单，还是带着五个小姐招摇（迪特尔两样都干），你都需要一辆现状！去新巴拉内克那条街找迪特尔。"
"HITMAN_TARGET_H21_SHORT_DESC": "又被拦下了……:("
"DIVERSION_ONCOMING": "逆向车道"
"DIVERSION_COMBAT_TRICKS_STAG_KILL": "击杀 STAG"
"DIVERSION_TEXT_PROGRESS": "{0:text_tag_crc} {1}"
"DIVERSION_COOP_SUCCESS_CLIENT_LOSE": "你输了。按 {PICKUP_RELOAD_IMG} 继续。"
"DIVERSION_HOLDUP_SHIELD_GOTO_REGISTER": "押着店员走向收银台"
"DIVERSION_SURVIVAL_GOAL_NAME_BRONZE": "青铜"
"CHOPSHOP_SHORT_1_6": "替我找一辆泰坦，好吗？"
"HITMAN_LOC_6_3": "布里斯顿区"
"HITMAN_TARGET_H22_DESCRIPTION": "柯尔斯滕是赛博帮的监控专家，搞不好这会儿正监听你！她在盯圣徒的已知据点。你若[format][color:em]去萨兰德的圣徒星球[/format]，再[format][color:em]用榴弹炸点东西[/format]……她会头疼欲裂，说不定就现身了。"
"HITMAN_TARGET_44_SHORT_DESC": "我丑爆了！"
