"ACT_WHORED_Z_AGRIZOOPHOBIA": "这可是个大麻烦。"
"ACT_WHORED_GIMPS_FAIL": "你本该惩罚他们的。"
"ACT_WHORED_A_4TH_JULY": "火箭弹。烈酒。这才是国民消遣。"
"ACT_WHORED_MINICANS_FAIL": "你被回收了。"
"CHOP_STYLISH_1_RIMS": "时尚 1 号轮毂"
"ACT_WHORED_HOBO_SHOTGUN": "你该多给点零钱的……"
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "连击："
"CELL_PHONE_MUST_ADD_VEHICLES": "你的车库里没有可供兄弟取用的载具。把载具开回据点停进车库，才能呼叫取用。"
"ACT_WHORED_Z_KIRBY": "送他们去梦乡。"
"ACT_TANK_MAYHEM_STRAYING_AWAY": "回到目标点去！"
"ACT_WHORED_Z_UNDEAD_MARATHON": "亡灵马拉松。"
"MISSION_FAILURE_PARTNER_DIED": "你的搭档被击杀"
"ACT_EARNED_RESPECT_AND_MONEY": "你获得了 %d 声望和 %d 现金！"
"ACT_VANDAL_TEAM_PENALTY_MSG": "击杀 %ls 赚不到钱。"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "死神找错人了……"
"ACT_WHORED_BRUTEBOOM": "把他们推下悬崖。"
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "你还没到出口时间就耗尽了。你押下的 %ls 已输掉。"
"ACT_RUNNING_MAN_COMBO_TOTAL": "连击总计：%ls"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACTIVITY_COMPLETED": "已完成"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "真是残暴。"
"ACT_FRAUD_BONUS_VEHICLE": "撞车奖励"
"ACT_WHORED_D_CANGELS": "他们瞄准的是你的心。"
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "保护你的 [format][color:green]兄弟[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "连击总计"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "碰瓷距离纪录：%.2f 英尺"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "SUV 奖励"
"ACT_VANDAL_BONUS_TEAM": "团队奖励"
"ACT_WHORED_BIG_FAIL": "或许还不够强。"
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "出口已解锁！\n 继续游玩赚取更多现金，或前往出口撤离！"
"ACT_ESCORT_TIGER_ATTACK": "老虎在乱抓方向盘"
"ACTIVITY_NAME_TANK_MAYHEM": "坦克大破坏"
"ACT_ESCORT_CALM_TIGER": "安抚老虎"
"ACT_TANK_MAYHEM_FAIL": "用连击拿高分，并靠维修站活下去"
"STRONGHOLD_SUCCESS_SUB_TEXT": "根据地已完成"
"ACT_ZOMBIE_SURVIVOR_DEAD": "一名幸存者死亡"
"ACT_WHORED_D_WAVE_OF_DEAD": "一旦被咬，便再无回头路。"
"ACT_WHORED_GRENADIERS_FAIL": "别想着接住它们。"
"ACT_WHORED_SWAG_BAG": "兽迷大会的赠品真有意思。"
"MISSION_FAILURE_CANCEL_TEXT": "任务已取消"
"ACT_HITMAN_NAME": "职业杀手"
"ACT_ESCORT_TIGER_NAME": "老虎护驾"
"ACT_WHORED_D_31DAYS": "在丧尸末日中活下去。"
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "这么大，这么怒，这么不死。"
"ACT_TRAFFICKING_TITLE": "黑货押运关卡选择"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "拦截 [format][color:red]车辆[/format] 并带走 [format][color:green]联络人[/format]"
"ACT_WHORED_A_MEAN_GIRLS": "总有个大姐大。"
"ACT_WHORED_D_PORKCHOP": "给我滚出去！"
"ACT_FRAUD_START": "开始碰瓷索赔"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]买家[/format] 没付钱就溜了。干掉他们。"
"ACT_WHORED_D_YKANO": "3、2、1……开整……"
"HORDE_CHARACTER_CYRIL": "西里尔"
"MISSION_FAILURE_PARTNER_BUSTED": "你的搭档被逮捕"
"GAMEPLAY_PASSED_OUT": "哥们儿，灯灭了。"
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "回到 %ls 区去！"
"ACT_WHORED_A_END": "游戏即艺术。"
"ACT_WHORED_DILDO": "当行家不一定要当小姐。"
"HORDE_LEVEL_ANGELS": "安吉尔的游乐场"
"ACTIVITY_NAME_MAYHEM": "大破坏"
"CTS_MESSAGE_GO_FRONT_DOOR": "前往正门"
"ACT_WHORED_Z_RITA": "让我的怪兽变大！"
"ACT_WHORED_D_LILLIPUTIANS": "小问题需要大手段。"
"ACT_RUNNING_MAN_START": "开始元气博士的超伦理真人秀狂欢"
"ACTIVITY_NAME_FRAUD": "碰瓷索赔"
"ACT_WHORED_D_BE_GUILED": "关键时刻查理跑哪去了。"
"ACT_WHORED_BRUTES": "放猛男出场！"
"ACT_WHORED_AYDIOSMIO": "两个壮汉、两门榴弹发射器，还有一支迷你摔角军团。"
"ACT_WHORED_STARPOWER_FAIL": "力量太大驾驭不住。"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "帮派全员到齐。"
"ACT_WHORED_D_ITSATRAP": "阿卡巴就爱这帮女孩。"
"ACT_WHORED_COMM_SERVICE_FAIL": "你被酒灌趴下了。"
"ACT_WHORED_GAT_ATTACK_FAIL": "个子越大，摔得越惨。"
"ACT_WHORED_MINIZOMBIES_FAIL": "它们又小又死，省了一半功夫……"
"ACT_WHORED_D_WEENIE_ROAST": "把篝火点起来。"
"ACT_WHORED_STRIPPERS": "舞娘来袭！"
"ACT_WHORED_ROUND1_FAIL": "什么！？第一波就翻车？"
"CONTROL_SELECT_LEVEL": "选择关卡"
"ACT_WHORED_D_SAUSAGE_FEST": "暗号是“嗷”。"
"ACT_WHORED_OLD_SCHOOL_FAIL": "需要回血？想当年我们只有急救包！"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "载具已交付"
"ACT_WHORED_A_GENKI_GAMES": "超伦理真人爆炸欢乐冲！"
"ACT_WHORED_BIG": "你更大、更硬、更强！"
"HORDE_CHARACTER_SUPER": "超级"
"CHOP_MUSCLE_HOOD": "肌肉引擎盖"
"GARAGE_FULL": "你的车库已满"
"ACT_WHORED_Z_HOW_ROMANTIC": "火箭弹才是女孩最好的朋友。"
"ACT_WHORED_A_EYE_BEHOLDER": "别问她的体重。"
"YOU_VE_BEEN_CRITICALLY_HIT": "你受到了致命重创！"
"ACT_WHORED_BEERMUSCLES_FAIL": "出拳是一门值得钻研的艺术。"
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "残存丧尸： "
"ACT_TRAFFIC_CHASE_HELICOPTER": "你被 [format][color:red]新闻直升机[/format] 盯上了！"
"ACT_WHORED_Z_ONE_SIDED": "这真的不公平。"
"ACT_WHORED_ZOMBIESATV": "把他们碾成渣。"
"ACT_WHORED_ZOMBIEBRUTES": "这才叫大块头丧尸！"
"ACT_WHORED_NINJAS": "你听到那声响了吗？"
"ACT_WHORED_MEGA_TRANNY_FAIL": "她得手了。哦，她真的得手了……"
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "低底盘轮毂"
"ACT_VANDAL_SUMMARY_CARS": "车辆"
"ACT_WHORED_A_WRATH_CARDINAL": "给夜刃露一手。"
"OPPONENT_CRITICALLY_HIT": "对手受到致命重创！"
"ACT_HOSTAGE_RANSOM": "赎金：[format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "你未能保护好货车"
"ACT_WHORED_Z_FOOD_TRUCK": "把他们剖了。"
"ACT_RUNNING_MAN_FAILURE_TIME": "你还没到出口时间就耗尽了。"
"TUT_ACT_INTRO_TANK_MAYHEM": "在时间耗尽前造成 $%ls 财产损失。连续快速破坏可获得连击奖励。"
"ACT_HELI_BOAT_HUD_TEXT": "剩余货物运送次数"
"ACT_WHORED_D_DRINKING_GAME": "每打碎一个酒瓶，就喝一口。"
"ACT_WHORED_D_WELCOME": "让拉尔斯骄傲。"
"CHOP_SHOP_VIEW_LIST": "查看拆车坊清单"
"ACT_WHORED_A_WELL_DONE": "享受肉类的最佳方式。"
"ACT_WHORED_DILDO_FAIL": "是不是体力不够？"
"ACT_RUNNING_MAN_HEALTH_TARGET": "满血沸腾！"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "维修"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "你还有 %d 秒返回 [format][color:green]载具[/format]"
"ACT_WHORED_D_CYPRIAN_ORDER": "为主上建功立业。"
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "在目标完成任务时保护他们免受敌人攻击。"
"ACT_VANDAL_CIVILIAN_MSG": "平民"
"ACT_WHORED_A_TINY_PROBLEMS": "它们可不好对付。"
"ACT_WHORED_A_BOOM_HEADSHOT": "一发爆头。这是唯一保险的办法。"
"ACT_WHORED_NUTSHOOT_FAIL": "出手不够快。"
"ACT_PIMP_START": "开始拐人救美"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]买家[/format] 要跑掉了"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "中计了！招募 [format][color:green]联络人[/format] 并撤离。"
"ACT_WHORED_Z_GATS_WET": "我们都懂的。"
"ACT_WHORED_TANK_FAIL": "没你的坦克份儿！"
"ACT_WHORED_STRIPPERS_FAIL": "你不是有火箭弹吗？"
"ACT_VANDAL_TRAILERS_MSG": "半挂卡车"
"ACT_VANDAL_START_MSG": "前往 [format][color:teal]%ls 区[/format]"
"ACT_WHORED_Z_START_YOUNG": "从脚趾吃起，一路吃到脑浆。"
"ACT_WHORED_SQUEAKY_CLEAN_FAIL": "充气娃娃摆对角度可是奇效。 "
"ACT_WHORED_SWAG_BAG_FAIL": "你让这些毛茸茸的小可爱赢了，真丢人。"
"MISSION_FAILURE_BUSTED_TEXT": "你被逮捕了"
"ACT_WHORED_Z_OUTMATCHED": "给我动脑子。"
"ACT_WHORED_MINIFURRIES": "别被可爱骗了，这帮家伙可是带火箭弹的！"
"ACT_VANDALISM_START": "开始大破坏"
"CHOPSHOP_REQ_MODS": "所需改装："
"ACT_WHORED_DRUNKENROCKETS": "酒和火箭弹本不该混在一起，那就混给他看！"
"ACT_TANK_MAYHEM_LEFT_HOOD": "回到你负责的区域！"
"TUT_ACT_TANK_MAYHEM_HVT_FOUND": "某些高价值目标被摧毁时奖励更多现金。"
"HOSTAGE_FAILURE": "人质任务失败"
"ACT_WHORED_ZOMBIES_EXPLODE_FAIL": "让它们炸，别炸到自己。"
"ACT_WHORED_D_ROMERO_REVENGE": "电锯狂欢时间。"
"ACT_WHORED_MEGACAN": "他来了！"
"HORDE_CHARACTER_CYRUS": "赛勒斯"
"SUCCESS_RESPECT_TEXT": "声望"
"ACT_WHORED_A_BATH_TOY": "比橡皮小鸭还带劲。"
"ACT_RUNNING_MAN_TITLE_SHORT": "元气博士的超伦理真人秀狂欢"
"ACT_WHORED_STARPOWER2": "敌人一碰就炸！"
"ACT_WHORED_MINIZOMBIES": "一支不死军团……就是小了点。"
"HORDE_CHARACTER_BOBERT": "博伯特"
"ACT_WHORED_COMM_SERVICE": "让那些酒看看你用不着它们！"
"CHOP_RACING_EXHAUST": "竞速排气"
"ACT_ACTIVITY_DESCRIPTION_2": "现在就去试试「拐人救美」活动，赚点声望吧。"
"CRITICAL_VEHICLE_ABANDONED_VEHICLE_TEXT": "你遗弃了载具"
"ACT_VANDAL_SUMMARY_FAVORITE_WEAPON": "最爱武器"
"ACT_VANDAL_START_NO_DISTRICT_MSG": "尽情搞破坏吧。"
"ACT_WHORED_A_ICON": "他可是个大人物。"
"ACT_WHORED_NUTSHOOT": "瞄准裆部开火！"
"ACT_WHORED_MONEYSHOTS_FAIL": "“瞄准头部”可不只是个建议。"
"ACT_WHORED_ZOMBIE_UPRISING_FAIL": "嗯……脑浆。"
"ACT_WHORED_ZOMBIE_SLAYER_FAIL": "起来吧勇士！握紧你的利刃，继续净化这股邪恶！"
"ACT_WHORED_NUTSHOTS_FAIL": "别害羞，开始敲那些「传家宝」吧。"
"ACT_VANDAL_TIME_SUCCESS_MSG": "干得漂亮。回去领你的报酬。"
"ACT_DEMO_DERBY_CASH": "额外现金："
"ACT_VANDAL_TIME_FAIL_MSG": "时间耗尽"
"ACT_VANDAL_SHOTGUN_MSG": "霰弹枪"
"ACT_WHORED_DRINKING_GAME_FAIL": "你血脉里酒劲儿太冲。"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS": "你未能达到目标分数。"
"ACT_TRAFFICKING_DEAL_COUNT_UPDATED": "交易完成"
"ACT_WHORED_SQUEAKY_CLEAN": "终极社死现场。"
"ACT_WHORED_MINI_SAMURAI_FAIL": "那把刀是不是太大了握不住？"
"ACTIVITY_NAME_GUARDIAN": "天使护卫"
"CHOP_RACING_CONVERTIBLE_ROOF": "竞速敞篷车顶"
"ACT_VANDAL_JETSKI_MSG": "水上摩托"
"ACT_WHORED_MALLCOP_FAIL": "某个商场保安正在哭泣……"
"ACT_PIMPING_HOS_NEEDED_COUNT_UPDATED": "女孩：%i"
"ACT_ZOMBIE_USE_MESSAGE_TEXT": "开始丧尸"
"ACT_WHORED_MEGA_ZOMBIE": "丧尸 2.0：更大、更强、更易燃。 "
"ACT_LEVEL_2": "第 2 关"
"ACT_VANDAL_COMBO_MSG": "连击："
"ACT_WHORED_MEGA_ZOMBIE_FAIL": "我们可警告过你了。"
"TUT_ACT_TANK_MAYHEM_TUTORIAL_TANK_REPAIR": "地图上标记的维修点可修复坦克。"
"ACT_TORCH_RACE_INSTRUCTIONS2": "烧毁行人与载具来赚分。"
"STICK_ROTATION_UTIL_CLOCKWISE_MESSAGE": "顺时针"
"HASH_6A5B3243": "活动不可用"
"ACT_WHORED_BRUTEBOOM_FAIL": "先下手为强，把他们推开。"
"ACT_RUNNING_MAN_TITLE": "元气博士的超伦理真人秀狂欢"
"ACT_VANDAL_SUCCESS_MSG": "返回标记地点。"
"CUSTOMIZATION_GARAGE_FULL": "你需要从车库删掉一辆载具才能使用定制。"
"ACT_WHORED_Z_BOARDER_GUARD": "钢埠的外星人非法入境成灾了。"
"ACT_WHORED_Z_THEME_PARK": "不，我可不想拍照。"
"ACT_WHORED_BAT_FAIL": "挥空了！"
"HOSTAGE_SUCCESS": "人质任务完成"
"ACT_TANK_MAYHEM_TITLE": "坦克大破坏"
"ACT_HOSTAGE_FAILURE_REASON": "人质逃走了"
"ACT_PIMPING_GET_CLOSER_TO_CONTACTS": "靠近 [format][color:green]联络人[/format]"
"ACT_VANDAL_OBJECTIVE_1": "在时间耗尽前造成 $%d 损失"
"ACT_TRAFFIC_POLICE_STING_UNCUFF": "{ACTION_IMG} 给货主松绑"
"ACT_HELI_NEWS_VAN_HUD_TEXT": "待摧毁的新闻车"
"ACT_WHORED_QUESTION_MARKS_FAIL": "毫无悬念。"
"ACTIVITY_NAME_SNATCH": "拐人救美"
"ACT_GUARDIAN_ANGEL_FOLLOW_IN_HELI": "登上直升机去跟随你的兄弟"
"TEMP_LAST_MINUTE_1": "开启拆车坊"
"ACT_RUNNING_MAN_INTRO_L_1": "在时间耗尽前，通过摧毁目标、击杀敌人与撤离竞技场来获得 $1,000。连续快速破坏可获得连击奖励。"
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "你有 %d 秒复活一名幸存者！"
"ACT_WHORED_A_FISTING": "这可是门技术。"
"ACT_WHORED_WEENIEROAST": "炭火烤制的美味。"
"ACT_VANDAL_MOTORCYCLE_MSG": "摩托车"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "回到车上去"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "你杀死了协助者"
"ACT_WHORED_A_RECYCLE": "看吧？我们的游戏可是有正能量的。"
"ACT_WHORED_QUESTION_MARKS": "问号来袭！"
"ACT_WHORED_TANK": "这坦克是给你的。"
"ACT_WHORED_THE_END_FAIL": "再。来。一。波。干就完了！"
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "你已与另一名玩家断开连接，必须退出狂潮模式。你将返回主菜单。"
"ACTIVITY_NAME_TRAIL_BLAZING": "烈火流星"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "拖车"
"ACT_WHORED_D_CAAN_COOLJ": "轮滑德比从此变了味。"
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "提示：远离自爆丧尸，把他们当炸弹用。 "
"HORDE_CHARACTER_ZIMOS": "齐莫斯"
"MISSION_FAILURE_PASSED_OUT_TEXT": "你昏过去了"
"ACT_WHORED_RESTART_WARNING": "开始新游戏将重置本图的进度。继续吗？"
"ACT_WHORED_MEGAFURRIES_FAIL": "兽人的怒火。"
"ACT_VANDAL_PENALTY_MSG": "惩罚"
"ACT_WHORED_Z_TEXAS_ZOMB": "看来那句老话是真的……"
"ACT_WHORED_D_7INNING": "红辣肠，快去买红辣肠！"
"ACT_WHORED_Z_ERECTILE_DYS": "这种事谁都可能摊上。"
"ACT_WHORED_Z_WELCOME": "当老大就是爽。"
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "摧毁物体"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "大卡车奖励"
"ACT_WHORED_D_STEELPORT_CONNECTION": "兽拳"
"ACT_WHORED_FLAMEBRUTE": "火焰猛男来势汹汹！"
"ACT_WHORED_ZOMBIE_SLAYER": "用你的圣器，净化这世界的亡灵瘟疫！"
"ACT_WHORED_Z_BRUTE_ACTION": "我们只是在逗你玩。"
"ACT_WHORED_HITNRUN_FAIL": "这可得点车技。"
"ACT_ZOMBIE_TRIGGER_FAIL": "你未能阻止丧尸进攻"
"ACT_WHORED_D_IRONY": "一点都不“迷你”。"
"ACT_WHORED_APOC": "净化街道……的方式是让人爆炸。"
"ACT_WHORED_ROUND1": "欢迎来到狂潮模式！"
"ACT_VANDALISM_NAME": "大破坏"
"ACT_VANDAL_BONUS_BASE_VALUE": "基础数值"
"ACT_WHORED_MEGAFURRIES": "最大只、最可爱、最致命！"
"ACT_WHORED_AYDIOSMIO_FAIL": "怎么会这样？"
"CHOP_SHOP_START": "获取拆车坊载具清单"
"ACT_THEFT_SAFE_OPEN": "打开保险箱"
"ACT_WHORED_A_SELF_CONSCIOUS": "人们都说尺寸不重要……"
"ACT_WHORED_MEGACAN_FAIL": "现在罐子回收你了。"
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "我们早知道流浪汉起义迟早要来。 "
"ACT_WHORED_D_APOTHEOSIS": "杀戮时刻，欢乐时光！"
"ACT_WHORED_MINICANS": "迷你机枪、迷你罐子，大大乐趣！"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "金钱储物柜"
"ACT_ZOMBIE_START_WAVES": "消灭剩余丧尸，阻止丧尸进攻"
"ACT_WHORED_MEGA_TRANNY": "猛男芭比想要点。"
"ACT_WHORED_Z_ROLL_OVER": "给我安分死去。"
"ACT_WHORED_A_VINTAGE_HORROR": "你正用一把无限弹药的枪打丧尸。你没有冲刺，也不会回血。"
"ACT_TANK_MAYHEM_NAME": "坦克大破坏"
"ACT_WHORED_GAT_ATTACK": "操控巨大的盖特吉祥物，碾碎你的敌人！"
"ACT_LEVEL_6": "第 6 关"
"ACT_WHORED_A_TANK": "我们得换条更大的船。"
"ACT_WHORED_D_TARGET_PRACTICE": "乡村打靶场，加点现代花样。"
"ACT_WHORED_WEAKSAUCE": "你的体型和造成的伤害都变小了！"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "全部交易完成"
"ACT_YOU_HAVENT_COMPLETED": "（你尚未完成）"
"PUSHBACK_GSI_TITLE": "反推"
"ACT_WHORED_A_LITTLE_NIKITA": "性感又致命。"
"CHOP_SPORT_SPOILER": "运动尾翼"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "紧凑型车奖励"
"ACT_WHORED_BOWLING": "全部击倒！"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "皮卡奖励"
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "回到货车上去！"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "将 {ANALOG_RS_IMG} 保持在热点区域，并用 {ANALOG_LS_IMG} 找准动作时机。"
"ACT_WHORED_D_ANKLE_BITERS": "致命的东西都长在小包装里。"
"CHOP_SHOP_NAME": "拆车坊"
"CELL_PHONE_NO_VEHICLES": "无载具"
"ACT_WHORED_GRENADIER_STRIPPERS": "用榴弹给迷你舞娘赏钱。"
"ACT_WHORED_WEAKSAUCE_FAIL": "弱爆了！！！！"
"ACT_RUNNING_MAN_NAME": "元气博士的超伦理真人秀狂欢"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "在时间耗尽前，通过摧毁目标、击杀敌人与撤离竞技场来赚钱。连续快速破坏可获得连击奖励。"
"ACT_LEVEL_8": "第 8 关"
"ACT_VANDAL_RIFLE_MSG": "步枪"
"ACT_VANDAL_BONUS_MULTI_TEAM": "奖励：击杀 %s（X%d）"
"ACT_HELI_TITLE": "武直突击关卡选择"
"STRONGHOLD_RESTART_TITLE": "根据地失败"
"MISSION_FAILURE_SUB_TEXT": "任务失败"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "碰瓷跳水纪录：%.2f 英尺"
"ACTIVITY_NAME_HELI": "武直突击"
"LOCALIZE_CHOP_SHOP": "拆车坊"
"ACT_HITMAN_START": "开始职业杀手"
"ACT_WHORED_Z_MS_SEBERT": "马上就要……"
"ACT_WHORED_A_GOOD_VIBRATIONS": "把它绑上。"
"ACT_WHORED_GIMPS": "把受虐狂们带出来！"
"ACT_WHORED_A_AW_NUTS": "想撂倒别人？瞄准那玩意儿。"
"ACT_WHORED_A_WELCOME": "虽然明显，但这是第一波……"
"ACT_WHORED_APOC_FAIL": "我们要不要假装那没发生过？"
"ACT_VANDAL_KNIFE_MSG": "匕首"
"ACT_WHORED_THE_END": "祝好运！"
"HORDE_CHARACTER_COWGIRL": "牛仔女郎"
"CTS_MESSAGE_PLACE_BOMBS": "安放炸弹"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "逆时针"
"ACT_WHORED_D_TOKYO_BEWARE": "每个人心里都住着个小圣徒。"
"ACT_WHORED_GRENADIERS": "女孩们懂得怎么自卫……用榴弹！"
"ACT_WHORED_MEGA_WHORE_FAIL": "大并不一定更好。"
"ACT_WHORED_ZOMBIESATV_FAIL": "先下手为强。"
"ACT_TRAFFIC_PROTECT_DRIVER": "将 [format][color:green]货主[/format] 护送到 [format][color:teal]买家[/format] 处"
"ACT_WHORED_A_COYOTE_UGLY": "是时候赶紧醒酒了。"
"ACT_WHORED_D_FEVER_DREAM": "事情开始超现实了。"
"ACT_WHORED_Z_HANK_EAST": "他可是经历过战争的，你知道的。"
"ACT_WHORED_A_LEAF_BLOWER": "把这儿清理干净。"
"ACT_WHORED_MINISNIPERS": "一枪一个。"
"ACT_RUNNING_MAN_TARGET_SHOT": "目标命中"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "丧尸关卡选择"
"ACT_WHORED_D_RUNNING_DEAD": "永远给自己留最后一颗子弹。"
"ACT_WHORED_MINI_BRUTES_FAIL": "小包装照样疼。"
"SUCCESS_CASH_TEXT": "现金"
"CHOP_STREET_SPOILER": "街尾翼"
"ACT_WHORED_ROLLERHOS_FAIL": "她们又快又致命。"
"ACT_ESCORT_COURAGE": "勇气"
"CHOPCHOP_NONE": "无"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "奖励：使用 %s（X%d）"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "否则你以为自己有神力。"
"ACT_TRAFFICKING_DAMAGE": "损失 "
"BUTTON_MASHING_UTIL_MESSAGE": "再连按 %ls 键 %d 次，限时 %d 秒！"
"ACT_ZOMBIE_TRIGGER_WARNING": "如果你离开，丧尸进攻将席卷整个世界！"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "这就是给舞娘赏钱的重要性，迷你版的也是。"
"ACT_WHORED_MEGA_WHORE": "批发级尺寸。"
"ACTIVITY_FAILURE_CANCEL_TEXT": "活动已取消"
"ACT_MAYHEM_FAIL": "时间耗尽！多用破坏连击来拿高分"
