"COMMUNITY_SUCCESS_LINK_EXT": "你当前的玩家档案已成功关联到你的 THQ ID。"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "正在搜索系统链接游戏……"
"USER_CONTENT_PRIV_DENIED": "此玩家档案无权访问成员内容。请检查你的家长设置"
"MULTI_MATCHMAKING": "匹配中"
"COMMUNITY_EXISTING_FOUND_TEXT": "我们发现你的 Gamertag 关联着一个 THQ ID，请登录你已有的账号。"
"HUD_DROP_ITEM_MESSAGE": "丢弃 %ls"
"ANALOG_LS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls][/format]"
"MAINMENU_SYSLINK_TITLE": "系统链接"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "拾取 %ls"
"NOT_LOGGED_IN": "你必须登录 Xbox LIVE 才能使用此功能。"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "存档失败：默认\n存储设备已不可用。"
"MP_NO_MULT_PLAYERS": "不支持同一主机多人游玩。"
"CONTROL_R_STICK": "右摇杆"
"SAVELOAD_LOG_IN_CONFIRM_EXPOSITION": "若登录玩家档案，你将丢失所有进度。"
"DPAD_TXT": "方向键"
"MUST_LOG_IN_CONFIRM": "你必须登录 Xbox LIVE 才能使用此功能。\n要登录吗？"
"HUD_DUAL_WIELD_MESSAGE": "双持 %ls"
"ANALOG_RS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs][/format]"
"COOP_REMOTE_CHEAT_STARTING": "你的合作搭档正在使用作弊。任何新建的存档都会启用作弊。\n自动保存已禁用，你将无法再获得任何成就。"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "你的 Gamertag 未关联 THQ ID。"
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "你必须登录玩家档案才能保存游戏并获得成就。\n要登录吗？"
"BTN_RTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs][/format]"

"MULTI_MENU_SYSLINK_SIGN_IN_FULL": "你必须登录玩家档案\n才能使用系统连线。"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "正在保存内容。请不要关闭主机。"
"BTN_BLACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rb][/format]"
"BTN_WHITE_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lb][/format]"
"SAVELOAD_IMPORT_LOADING": "正在导入内容。\n请不要关闭主机。"
"BTN_LTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls][/format]"
"DPAD_UP_TXT": "THE A BUTTON"
"BTN_A_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_a][/format]"
"BTN_Y_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_y][/format]"
"COOP_JOIN_CHEAT": "你的合作队友正在使用作弊。之后新建的存档都会默认开启作弊。\n自动存档已停用，你也无法再获得任何成就。"
"BTN_START_TXT": "THE A BUTTON"
"BTN_LTRIGGER_TXT": "THE A BUTTON"
"BTN_WHITE_TXT": "THE A BUTTON"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "将 %ls 与 %ls 互换"
"BTN_BLACK_TXT": "THE A BUTTON"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "登录状态发生了变化。你已返回标题画面。"
"MULTI_MENU_SYSLINK": "局域网联机"
"BTN_A_TXT": "THE A BUTTON"
"MULTI_GAMETYPE_1": "系统连线"
"BTN_LTHUMB_TXT": "左摇杆"
"DPAD_UP_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_u][/format]"
"MULTI_LOST_CONNECTION": "发生网络错误。\n正在返回主菜单。"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "默认存储设备的剩余空间不足，\n无法完成存档。"
"BTN_Y_TXT": "THE A BUTTON"
"MAINMENU_SYSLINK": "局域网联机"
"DPAD_DOWN_TXT": "THE A BUTTON"
"OPT_CONTROL_OVERRIDE_FEEDBACK_TEXT": "你必须在玩家档案的个人设置中开启震动选项。"
"DPAD_LEFT_TXT": "THE A BUTTON"
"DPAD_RIGHT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_r][/format]"
"BTN_B_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_b][/format]"
"BTN_RTHUMB_TXT": "右摇杆"
"BTN_X_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_x][/format]"
"BTN_BACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_back][/format]"
"DPAD_LR_TXT": "方向键左/右"
"HUD_PICKUP_UNNAMED_OBJECT": "拾取"
"STATS_CORRUPT_BODY": "你的统计数据已损坏，必须重置。\n这不会影响你已获得的任何成就。"
"HUD_PICK_UP_MESSAGE": "拾取  %ls"
"DPAD_DOWN_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_d][/format]"
"BTN_B_TXT": "THE A BUTTON"
"DPAD_LEFT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_l][/format]"
"DPAD_RIGHT_TXT": "THE A BUTTON"
"BTN_BACK_TXT": "THE A BUTTON"
"DPAD_LR_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_lr][/format]"
"BTN_X_TXT": "THE A BUTTON"


