"DROP_SPHERE": "给予能量球"
"CONTROL_BTN_START": "开始"
"DROP_MIAMI": "召唤迈阿密"
"ACHIEVES_GAIN_BLANK": "%s 已达成！"
"CUST_GANG_NAME_CROSS": "变装者"
"BLOODY_MESS_DESC": "你杀死的人都会炸开。"
"REPAIR_CAR_DESC": "修复载具的全部损伤。"
"PURCHASEABLE_PROPERTEY_PAWN2": "B 计划当铺"
"PAUSE_MAP_ICONS_ON_OFF": "图标 开/关"
"GANG_NEUTRAL": "中立"
"TAT_REG_L_FOREARM": "左前臂"
"CELL_RIM": "边缘工坊"
"GIVE_CYBER": "召唤赛博克星"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "退出前你要保存改动吗？\n"
"STORE_EXIT": "退出"
"CONTROL_NO": "否"
"GIVE_SNIPER": "召唤麦克马纳斯 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "重试活动会让你失去在活动中获得的武器或声望。"
"VEHICLE_PRICE": "价格"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "你只能持有一把“%s”。"
"STAT_COOP_REVIVES": "合作：队员复活数"
"COMERCIAL_5": "队友火力店 15% 折扣"
"CUST_ICON_NECKLACES": "项链"
"GARAGE_CUSTOMIZE_VEHICLE": "改装"
"STORE_PLASTIC_SURGEON_MSG": "前往整形医生处"
"RESTORE_PLAYER": "角色恢复正常"
"MUSIC_CLASSICAL": "古典乐"
"PURCHASEABLE_PROPERTEY_PAWN": "斯努基杂货铺"
"CUST_GANG_NAME_COWBOY": "牛仔"
"GIVE_SHEPERD": "召唤 45 牧羊人"
"GIVE_MOLOTOV": "召唤燃烧瓶"
"Infinite_Ammo": "无限弹药"
"GIVE_CASH": "给予现金"
"CUST_GANG_NAME_80S": "80 年代风"
"TATTOO_CONFIRM_PURCHASE_FULL": "你愿意在 %s 处花 %s 纹一个“%s”纹身吗？"
"STORE_SWITCHING_TITLE": "切换到 {0}"
"CONTROL_SAVE_AND_QUIT": "保存并退出"
"CONTROL_RAISE_LOWER_CAMERA": "升降镜头"
"DROP_KNOXVILLE": "召唤诺克斯维尔"
"GOLDEN_GUN_DESC": "单发即可击杀。"
"GARAGE_REMOVE_VEHICLE": "删除"
"STAT_UNARMED_KILLS": "徒手击杀数"
"MAP_ICON_CHOP_SHOP": "拆车厂"
"GIVE_PIMPSLAP": "召唤老鸨巴掌"
"RAINING_PEDS": "行人雨"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "你确定要离开武器库吗？"
"GIVE_BASEBALL": "召唤棒球棍"
"CUST_ICON_OUTFITS": "套装"
"GANG_CUST_VEHICLE_TITLE": "载具"
"PURCHASEABLE_PROPERTEY_CASINO": "卓柏卡布拉游乐场"
"CELL_EMERGENCY": "紧急"
"GIVE_RESPECT_DESC": "立即给予你声望。"
"GIVE_MINIGUN": "召唤迷你枪"
"ACCEPT_GAME_INVITE_TEXT_FULL": "你确定要接受游戏邀请吗？\n（未保存的进度将丢失） "
"GANG_CUST_GANG_TAG_OPT": "涂鸦"
"CONTROL_SIGN_IN": "登录"
"PAUSE_MAP_PAN": "平移"
"GIVE_LAUNCHER": "召唤 GL G20 发射器"
"CHEAT_CHARACTER_RESTORE_DESC": "将角色还原为正常状态。"
"MILK_BONES": "牛奶骨"
"STORE_BRA_SUB_WARNING": "你无法脱下身上正穿着的胸罩。"
"VCUST_HUBCAP_OPTION": "轮毂盖"
"MAP_ICON_CLOTHING": "服装店"
"NO_GANG_NOTORIETY": "无帮派声望"
"TIME_SET_NOON": "时间设为正午"
"VCUST_AXLES_TITLE": "车轴"
"TAXI_TITLE": "的士服务"
"DROP_WOODPECKER": "召唤啄木鸟"
"GIVE_DIGGER": "召唤掘墓者"
"PIMPS_AND_HOS_PEDS": "妈咪与女孩"
"WEATHER_DESC": "改变当前天气。"
"PURCHASEABLE_PROPERTEY_APARTMENTS": "迪克森避难所"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "无法预览"
"NO_GANG_NOTORIETY_DESC": "清除所有现有帮派声望。"
"GIVE_STUNGUN": "召唤电击枪"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "你要拿走一把“%s”吗？"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "新纪录"
"CRIB_SR_NAME": "黑道圣徒 LOFT 公寓"
"NEVER_DIE_DESC": "你永远不会死。"
"STORE_UPGRADES_REQUIRED": "必需"
"GANG_POLICE": "警察"
"DROP_VTOL": "召唤垂直起降机"
"DROP_EAGLE": "召唤雄鹰"
"DROP_POCKETBIKE": "小不点摩托"
"EVIL_CARS_DESC": "所有车都试图撞翻你。"
"STORE_PRIMARY_COLOR": "主色"
"STORE_ITEM_OWNED": "已拥有"
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "召唤炸药包"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "你要把“%s”换成“%s”吗？"
"CRIB_HUD_DOCK_PURCHASE": "购买龙迪尼船坞：${0}"
"GANG_CUST_GANG_TAG_TITLE": "帮派涂鸦"
"NO_COP_NOTORIETY_DESC": "清除所有现有警方声望。"
"ELEVATOR_TO_HEAVEN": "直上天堂"
"HITMAN_LOCATION": "目标位置"
"CONTROL_JOIN_GAME": "加入游戏"
"MAP_ICON_HUMAN_TORCH": "烈火流星"
"DROP_ESTRADA": "召唤埃斯特拉达"
"UNLIMITED_CLIP": "无限弹匣"
"MUSIC_EASYLISTENING": "轻音乐"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "你愿意花 %s 购买“%s”吗？"
"MENU_SWAP_WARDROBE": "衣橱"
"VCUST_WHEELS_TITLE": "轮胎"
"PURCHASEABLE_PROPERTEY_CRACK": "秘密窝点"
"MAP_ICON_GUARDIAN_ANGEL": "天使护卫"
"REPAIR_CAR": "修车"
"SAVELOAD_FILE_NOT_LOADABLE": "无法读取该存档，因为文件已损坏或格式无效。"
"STORE_DETAIL_COLOR": "细节色"
"GANG_CUST_GANG_STYLE_TITLE": "帮派风格"
"PURCHASEABLE_PROPERTEY_COLA": "乔可乐工厂"
"TATTOO_REMOVE": "你要移除 %s 上的纹身吗？"
"CONTROL_CONTINUE": "继续"
"GIVE_HAMMER": "召唤 S3X 大锤"
"DROP_GYRO": "陀螺老爹"
"STORE_SECONDARY_COLOR": "副色"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "你的现金不足以修复这辆载具。\n仍要取回吗？"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "你愿意花 ${1} 购买这个 {0} 吗？"
"ZOMBIE_PEDS_DESC": "所有路人都是僵尸。"
"MUSIC_DANCE": "舞曲"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "你愿意花 %s 购买“%s”吗？"
"PURCHASEABLE_PROPERTEY_SERVICE2": "放屁加油站"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "你要购买该物品吗？"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "召唤的士"
"CUST_ICON_LOWER_BODY": "下半身"
"STORE_ZOOM": "缩放"
"GARAGE_REMOVE_PROMPT": "你确定要删除这辆载具吗？"
"STAT_WEAPON_SPECIAL": "特殊类"
"CUST_ICON_TATTOO_ARMS": "手臂纹身"
"CUST_ICON_TATTOO_TORSO": "躯干纹身"
"CUST_ICON_HEAD": "头部"
"STORE_NAME_GAS_STATION": "加油站"
"PURCHASEABLE_PROPERTEY_HOSTEL": "奥德赛旅舍"
"PAUSE_MAP_WAYPOINT_SET": "设置路点"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "无敌模式"
"MUSIC_ROCK": "摇滚"
"GANG_CUST_SLOT": "槽位 {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "霰弹枪"
"CONTROL_START": "开始"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "你愿意花 %s 把“%s”换成“%s”吗？"
"CUST_GANG_NAME_GANGSTER": "歹徒"
"GIVE_FLASHBANG": "召唤闪光弹"
"PURCHASEABLE_PROPERTEY_METH": "秘密实验室"
"GANG_CIVILIAN": "平民"
"GIVE_AR55": "召唤 AR 55"
"DROP_TORNADO": "召唤龙卷风"
"STORE_EXIT_TELEVISiON": "退出电视？"
"HORDE_MODE_TITLE_HIGHSCORE": "最高分"
"CELL_FRIENDLY_FIRE": "队友火力"
"GIVE_ULTIMAX": "召唤 AS3 终极者"
"POC2_DROP_HELICOPTER": "空投直升机"
"VCUST_COLOR_PALETTE_TITLE": "涂装"
"MAP_ICON_MAYHEM": "大破坏"
"CRIB_GARAGE_PURCHASED_TEXT": "这个车库现在是你的了。\n你可以在此存放并取用部分已存载具。"
"PURCHASEABLE_PROPERTEY_MOTEL": "粘滞旅馆"
"STORE_DISCARD_ITEM": "丢弃物品"
"DROP_KANEDA": "召唤金田"
"STORE_UPGRADES_TITLE": "升级"
"MENU_SWAP_CLOTHING_STORE": "服装店"
"VCUST_TIRE_TREAD_NUMBER": "轮胎花纹 #{0}"
"TAT_REG_R_FOREARM": "右前臂"
"CELL_IMPRESSION": "印象店"
"GIVE_APOCA": "召唤末日神拳"
"HIDE_HUD": "无 HUD"
"MASCOT_PEDS_DESC": "所有路人都是吉祥物。"
"CUST_ICON_UPPER_BODY": "上半身"
"QUIT_GAME_TEXT_SHORT": "你确定要退出吗？"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "你愿意花 %s 购买“%s”吗？"
"STORE_OWNED": "已拥有"
"CONTROL_CHANGE_LB": "切换排行榜"
"CUST_GANG_NAME_PREPHOP": "预备嘻哈"
"SWITCH_TO_STORE": "切换到商店"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% 控制力提升"
"BUILDING_PURCHASE_CRIB": "花费 ${1} 购买这处据点吗？"
"WPN_STORE_AMMO_TITLE": "弹药"
"TATTOO_REMOVE_SAVE": "你要移除 %s 上的纹身并保存吗？"
"CONTROL_SELECT_COLOR": "选择颜色"
"CONTROL_START_GAME": "开始游戏"
"MAP_ICON_UNDEFINED": "未定义"
"CUST_GANG_NAME_STRIPPER": "舞娘"
"PIMPS_AND_HOS_PEDS_DESC": "所有路人都是妈咪与女孩。"
"MAINMENU_NEW_GAME_DIFF_HDR": "难度"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "你当前未登录玩家档案。\n将无法保存进度或解锁成就。\n继续吗？"
"GANG_CUST_TITLE": "帮派自定义"
"GARAGE_REPAIR_NAME": "修车厂"
"GARAGE_REPAIR_RETRIEVE": "修复并取回载具：${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "你的钱不够"
"VCUST_EXTRA_LOW_PROFILE": "超低扁平"
"GIVE_SLM8": "召唤蝰蛇激光步枪"
"LIGHT_RAIN": "小雨"
"VCUST_LOW_PROFILE": "低扁平"
"CUST_ITEM_STYLE": "风格"
"CONTROL_EXIT_PURCHASE_CLOTHING": "退出购买衣物"
"DROP_SPECTER": "召唤幽灵"
"TINY_PLAYER": "迷你小不点"
"SAVELOAD_AUTOSAVE_LABEL": "自动存档"
"HASH_CC5A26DE": "宽衣？"
"WPN_STORE_SPECIAL_TITLE": "特殊"
"VEHICLE_CUSTOMIZATION_TITLE": "载具自定义"
"TAT_REG_L_SHOULDER": "左肩"
"MAP_ICON_WEAPON": "武器店"
"GENERIC_LEAVE_BLANK_FULL": "你确定要离开 %s 吗？"
"HUD_TRIGGER_CASH_STASH": "从藏金处取走 %ls"
"CONTROL_CHANGE_BOARD": "切换面板"
"GANG_CUST_GANG_TITLE": "帮派"
"TAT_REG_L_LEG": "左腿"
"CUST_BROWSER_BROWSE": "浏览"
"STORE_CRIB_WEAPONS_MSG": "取用你的武器库"
"GIVE_ROCKET": "召唤电击锤"
"GIVE_AIRSTRIKE": "召唤 SA-3 空袭"
"OVL_SHOP_PURCHASED_TEXT": "你现在分到了这家店的红利，每小时可获得 [format][color:highlight]${0}[/format] 存入藏金处，并能享受全部商品折扣。"
"VCUST_NORMAL_PROFILE": "标准扁平"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "召唤蟾蜍"
"GIVE_CASH_DESC": "立即给予你现金。"
"PED_WAR_DESC": "仇恨、愤怒、苦难，大家互相看不顺眼。"
"DRUNK_PEDS": "醉酒路人"
"ELEVATOR_TO_HEAVEN_DESC": "死者全都上了天堂。"
"GIVE_FLAMETHROWER": "召唤火焰喷射器"
"GIVE_CHAINSAW": "召唤链锯"
"SURGEON_MP_EXPORT_FULL": "导出到多人模式会覆盖\n之前保存的多人角色！"
"STORE_STRENGTH": "力量 {0}%%%%"
"CONTROL_SELECT_EQUIPPED": "选择已装备"
"DROP_QUASAR": "召唤类星体"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "当前存储设备已被移除。\n请选择新的存储设备以继续存档或读档。"
"STORE_LEVEL": "等级"
"CONTROL_SELECT": "选择"
"MAP_ICON_INSURANCE_FRAUD": "碰瓷索赔"
"GIVE_KRUKOV": "召唤 K-8 库鲁科夫"
"SAVELOAD_SIGN_IN_NOW": "该功能需登录玩家档案。\n是否现在登录？"
"STAT_TEAM_DECKERS": "迪克帮"
"CELL_SUICIDE": "心理援助热线"
"CUST_GANG_NAME_SPORTY": "运动风"
"ADD_COP_NOTORIETY": "增加警方声望 "
"CUST_REMOVE_ITEM_TITLE": "移除物品"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "摔角手声望最高时时长"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "帮派声望最高时时长"
"HORDE_MODE_TITLE_SCORE": "得分"
"STAT_DRIVING_BACKSEAT_DISTANCE": "最长辗轧距离"
"TAXIMAP_FARE": "车费："
"CELL_FORGIVE": "宽恕与遗忘"
"MAP_ICON_TSS_STRONGHOLD": "第3街圣徒根据地"
"CELL_PIMP_VAN": "妈咪货车"
