// extra_dumps: menu - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"INFO_UNLOCKABLES_STRONGHOLDS": "STRONGHOLDS"
"CONTROL_SCHEME_C": "SCHEME C"
"SAVELOAD_SAVE_GAME_CONFIRM_EXPOSITION": "Are you sure you want to overwrite this save?\nAll previous save game progress will be overwritten."
"CONTROL_DESC_VEH_HANDBRAKE": "DRIFT"
"MENU_OPTIONS_TITLE": "OPTIONS"
"COMPLETION_RETRY_STRONGHOLD": "RETRY STRONGHOLD"
"HELP_TEXT_SKYDIVE_STEER_CONTROL": "USE {ANALOG_RS_IMG} TO STEER LEFT/RIGHT"
"CONTROL_DESC_VEH_LOOK_RIGHT": "LOOK RIGHT"
"CONTROL_CHEAT_NO": "BACK"
"COMPLETION_COOP_DISCONNECT": "DISCONNECT"
"HASH_2ABD9695": "FPS LOCK"
"SAVELOAD_FAILED_TO_SAVE_PROFILE": "Not enough space on HDD.\nPlease delete saves to make room or return to the XMB."
"INFO_COLLECTIONS_STUNT_JUMPS": "STUNT JUMPS"
"CONTROL_DESC_VEH_ACTION": "ACTION/EXIT VEHICLE"
"DLT_DESC_HARDCORE": "You like to feel the rush of danger."
"CONTROL_DESC_CLICK": "PRESS"
"COMPLETION_MISSION_COMPLETE": "{0} COMPLETE"
"MENU_CONTROLS_INVERT_ROTATION": "INVERT CAMERA ROTATION"
"CONTROLS_SETUP_DRIVING_SCHEMES": "DRIVING CONTROL  SCHEMES"
"CONTROL_DESC_VEH_HELI_UP": "(HELI) UP"
"HELP_TEXT_WIELDABLE_PROP": "PRESS {ATTACK_PRIMARY_IMG} TO SWING THE PROP OR {ATTACK_SECONDARY_IMG} TO THROW IT"
"HASH_C6C7161A": "    FILM GRAIN"
"MAP_SALE_PERCENT_OFF": "SALE - %d%%%% OFF"
"MAINMENU_START_DEMO": "PLAY DEMO"
"MAINMENU_MULTI": "MULTIPLAYER"
"CONTROLS_SENSE_H": "HORIZONTAL SENSITIVITY"
"CONTROL_DESC_FOOT_CROUCH": "CROUCH"
"COMMUNITY_INVALID_PASSWORD_CHARACTERS": "A password must consist of only alphanumeric characters and the symbols -_.@"
"HUMAN_TEAM_LUCHADORES": "LUCHADORES"
"MENU_GPS": "GPS"
"COOP_MENU_FRIENDLY_FIRE": "FRIENDLY FIRE"
"DIALOG_PAUSE_DISCONNECT_PROMPT": "Are you sure you want to disconnect?"
"GAMER_PROFILE_REINSERT_TEXT": "The Storage Device associated with your Gamer Profile has been removed."
"CONTROLS_SETUP_VCAM_NEAR": "NEAR"
"CONTROLS_SETUP_CROUCH_TOG": "CROUCH TOGGLE"
"HASH_26CC161D": "PAPER WHITE"
"INFO_ACTIVITIES_TITLE": "ACTIVITIES"
"COMPLETION_COOP_WAITING": "WAITING FOR {0}"
"COMPLETION_FAILED": "FAILED"
"CACHING_PERCENT": "% COMPLETE"
"AUTOSAVING": "Saving..."
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_LINE2": "Storage Device is no longer available."
"MENU_RADIO": "RADIO"
"Hidden": "HIDDEN"
"COMPLETION_EXIT_ACTIVITY_CONFIRMATION": "Do you want to exit the activity?"
"SAVELOAD_DEFAULT_NAME": "DEFAULT"
"MENU_STYLE_DIALOG_HEADER": "STYLE INCREASED"
"CONTROL_DESC_VEH_PLANE_BRAKE_REV": "(PLANE) BRAKE/REVERSE"
"CONTROL_DESC_VEH_TOGGLE_CAM_2": "HOLD TO TOGGLE CAMERA"
"HASH_16D897A0": "Adjust color vibrance to match display's color gamut"
"HASH_BBDB05A0": "SATURATION"
"CRIB_NAME_DOCK": "RONDINI'S BOAT DOCK"
"OPTIONS_MENU_DEFAULTS_DESC": "Are you sure you would like to reset to the default options?"
"SAVELOAD_NEW_SAVE_GAME": "NEW SAVE GAME"
"MAP_RESPECT_BLANK": "RESPECT: %d"
"CONTROL_DESC_VEH_PLANE_ACCELERATE": "(PLANE) ACCELERATE"
"CONTROL_DESC_CANCEL_ACT": "QUIT GAMEPLAY MODE"
"INFO_COLLECTIONS_SECRET_AREAS": "SECRET AREAS"
"CONTROL_DESC_FOOT_NXT_TRK": "NEXT TRACK (AUDIO PLAYER)"
"HASH_3BA42DA3": "TAA"
"COOP_LOBBY_QUIT": "RETURN TO MAIN MENU"
"MENU_AUDIO_SPEAKERS": "SPEAKERS"
"HASH_A91AEAA3": "PRESS [format][scale:0.5][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"CONTROLS_DESC_CHANGE_RADIO": "CHANGE RADIO STATION"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_LINE1": "THE LOAD PROCESS HAS FAILED BECAUSE THE DEFAULT"
"CHEAT_CATEGORY_WEAPONS": "WEAPONS"
"SB_CAT_ASSASSINATION": "ASSASSINATIONS"
"MENU_REFRESH_SYSLINK": "REFRESH"
"PAUSE_MENU_QUIT_TEXT": "Do you really want to quit?\n(Any unsaved progress will be lost.)"
"INFO_DIVERSIONS_GAMES": "MINIGAMES"
"SAVELOAD_CONFIRM_QUERY": "Continue?"
"RADIO_STATION_GENRE_KRHYME": "HIP HOP AND RAP MUSIC"
"DLT_DESC_CASUAL": "You like to kick ass at your own pace."
"CONTROL_DESC_FOOT_QUICKTHROW": "THROW HUMAN SHIELD"
"INFO_UNLOCKABLES": "UNLOCKABLE REWARDS"
"INFO_OBJECTIVES": "OBJECTIVES"
"COMPLETION_RESPECT": "RESPECT"
"OPTIONS_MENU_DEFAULTS_TITLE": "RESTORE DEFAULTS?"
"MENU_OPTIONS_WIRELESS": "WIRELESS"
"MAP_ICON_SAVE": "SAVE POINT"
"CONTROL_DESC_MP_FAST_WEAPON_SWITCH": "WEAPON SWITCH"
"SAVELOAD_CANCEL_JOIN": "CANCEL JOIN IN PROGRESS"
"PAUSE_OBJECTIVES_NONE": "NO OBJECTIVES"
"INFO_STATS": "STATISTICS"
"HELP_TEXT_MELEE_LOCK": "HOLD {SHOULDER_CAMERA_IMG} WHILE UNARMED, TO LOCK ONTO A SINGLE TARGET"
"CONTROL_DESC_FOOT_FINEAIM": "FINE AIM"
"SAVELOAD_IMPORT_CORRUPT_ABORT": "RETURN TO PLAYER CUSTOMIZATION"
"PHONE_OPTION_1": "HOMIES"
"MENU_CHECK_UPDATES_TITLE": "CHECK UPDATES"
"DOWNLOADABLE_REMOVED_CONFIRM_QUERY": "RECONNECT STORAGE DEVICE AND CONTINUE"
"HASH_D751C22C": "HDR"
"MUSIC_STORE_DISCOUNT": "100%% MUSIC STORE DISCOUNT"
"PAUSE_MENU_QUIT_NO_SAVE_CONFIRM_TEXT": "Quit without saving.\n \nAre you sure?"
"SAVELOAD_LOAD_FAILED": "LOAD FAILED"
"OPT_UPDATE_KEEP": "KEEP"
"CELL_HEADER_DEACTIVATED": "DEACTIVATED"
"DISCONNECT_SCREEN_QUIT": "PRESS %s TO QUIT"
"CONTROL_DESC_SEC_ATTACK": "SECONDARY ATTACK"
"ACHIEVE_NOW": "Accomplishment Unlocked!  "
"INFO_ACTIVITIES": "ACTIVITIES"
"CONTROL_DESC_MP_SCORE": "SCOREBOARD"
"CONTROL_DESC_FOOT_CLICK_CROUCH": "CROUCH"
"SAVELOAD_DURING_MISSION_ABORT": "RESUME WITHOUT SAVING"
"SAVELOAD_DURING_ACTIVITY_ABORT": "RESUME WITHOUT SAVING"
"MAP_PLAYER_CASH": "CASH"
"DLT_EXPERIENCED": "EXPERIENCED"
"CONTROL_DESC_VEH_ACCELERATE": "ACCELERATE"
"COMPLETION_COMPLETE": "COMPLETE"
"RADIO_STATION_GENRE_GEN_X": "MODERN ROCK MUSIC"
"PAUSE_ACTIVITIES_NONE": "NO ACTIVITIES AVAILABLE"
"GAMER_PROFILE_REINSERT_TITLE": "STORAGE DEVICE UNAVAILABLE"
"HASH_32E0BB33": "QUALITY OF VOLUMETRIC GOD RAYS"
"VCUST_PERFORMANCE_WARNING": "You can not equip both hydraulics and nitrous.\nPurchase anyway?"
"SAVELOAD_IMPORT_DEVICE_UNAVAILABLE_FULL": "The Import Process has failed because the default\nStorage Device is no longer available."
"SAVELOAD_DURING_MISSION_EXPOSITION": "Progress made during the current mission will not be saved!\nContinue?"
"HELP_TEXT_SKYDIVE_MOVE_CONTROL": "USE {ANALOG_LS_IMG} TO MOVE FORWARD/BACK AND TO STRAFE LEFT/RIGHT"
"COMMUNITY_ERROR_AGE_GATE": "The age your entered does not pass the restrictions."
"SAVELOAD_SAVE_FAILED": "SAVE FAILED"
"MENU_CONTROLS_TITLE": "CONTROLS"
"DLT_DESC_NORMAL": "You like it the way it was meant to be played."
"CONTROL_DESC_VEH_HELI_DOWN": "(HELI) DOWN"
"SAVELOAD_LOAD_GAME": "LOAD GAME"
"MENU_AUDIO_MIC_NONE": "NO MIC"
"GAME_CACHING": "CACHING"
"CONTROL_DESC_VEH_LOOK_LEFT": "LOOK LEFT"
"CONTROL_DESC_FOOT_SPRINT": "SPRINT"
"INVITE_ONLY": "The game has been set to invite only."
"HASH_5DB182B7": "Game has not finished downloading. Saving game and returning to main menu."
"SB_CAT_CHOP_SHOP": "VEHICLE THEFTS"
"RADIO_ALWAYS_ON": "ALWAYS"
"MP3_CONFIRM_DELETE_LIST_BODY": "Once deleted, this playlist cannot be recovered. Are you sure?"
"CONTROL_DESC_FOOT_PRV_TRK": "PREVIOUS TRACK (AUDIO PLAYER)"
"CONTROLS_TITLE": "CONTROLS"
"CONTROL_DESC_VEH_RUDDER_LEFT": "TURN LEFT"
"CONTROL_DESC_CHANGE_CAMERA_VIEW": "CHANGE CAMERA VIEW"
"HASH_768EAF39": "LOCK MAXIMUM FRAMERATE TO ACHIEVE STABLE PERFORMANCE"
"MENU_PLAYLIST": "MIXTAPE"
"INFO_STATS_TITLE": "STATISTICS"
"GAMER_PROFILE_REINSERT_TRY_AGAIN": "RECONNECT STORAGE DEVICE AND TRY AGAIN"
"CONTROLS_DESC_CHANGE_AUDIO": "CHANGE AUDIO TRACK"
"CELL_CHEAT_ACTIVIATE_DIALOG_HEADER": "Activate Cheat?"
"MAP_ACTIVITY_NOT_STARTED": "NOT STARTED"
"REPLAY_LEVEL_REPLAY": "REPLAY LEVEL"
"CELL_HEADER_GARAGE": "GARAGE"
"MENU_STATS": "STATS"
"PAUSE_ACT_CHOP_TITLE": "CHOP SHOP"
"OBJECTIVES_NEED_RESPECT": "PLAY ACTIVITIES AND DIVERSIONS TO EARN ENOUGH RESPECT TO PLAY MISSIONS"
"INFO_STORY": "STORY"
"CONTROL_DESC_VEH_RADIO_NEXT": "CHANGE RADIO"
"CELL_OPTION_DIAL": "DIAL"
"HASH_02DA883D": "HDR SETTINGS"
"SAVELOAD_NOTHING_TO_LOAD": "NO SAVE GAMES"
"SAVELOAD_ERROR": "WARNING"
"SAVELOAD_DATE_DEFAULT": "NOW!"
"PAUSE_MAP_FILTER_MISSIONS": "MISSIONS"
"MENU_QUICKMATCH_TYPE": "GAME TYPE"
"CONTROL_SCHEME_A": "SCHEME A"
"COMPLETION_EXIT": "EXIT"
"COMPLETION_EXIT_MISSION_CONFIRMATION": "Do you want to exit the mission?"
"AUTOSAVING_NOW": "Updating Profile..."
"COOP_LOBBY_WAVE": "WAVE {0}"
"MENU_RESTORE_DEFAULTS": "RESTORE TO DEFAULTS"
"COMPLETION_EXIT_STRONGHOLD": "EXIT STRONGHOLD"
"HASH_7BC8E8C1": "Defines how bright a paper white surface is"
"SAVELOAD_LOAD_GAME_TITLE": "LOAD GAME"
"SAVELOAD_CHECK_FREE_SPACE": "There is insufficient space on your HDD\nfor a master game save and user profile.\nPlease return to the system menu to\nmake room for approximately %iKB."
"MAP_PLAYER_INCOME": "HOURLY INCOME"
"MAINMENU_QUIT_DEMO": "QUIT DEMO"
"HASH_A4A446C2": "FILM GRAIN"
"RADIO_STATION_GENRE_MIX": "80S AND 90S POP AND ROCK"
"PHONE_OPTION_CHEATS": "CHEATS"
"MSGLOG_TITLE_TUT": "TUTORIAL"
"MAP_SALE_CASH_OFF": "SALE - $%d OFF"
"INFO_ACHIEVE": "ACHIEVEMENTS"
"HELP_TEXT_MELEE_BLOCK": "PRESS {ATTACK_SECONDARY_IMG} TO BLOCK ENEMY ATTACKS"
"CONTROL_DESC_VEH_HYDRAULICS": "HORN/HYDRAULICS"
"HASH_5A242A44": "Enable HDR to get higher contrast ratio and color accuracy"
"HASH_331ED6C4": "FILM GRAIN DURING GAMEPLAY"
"SAVELOAD_SAVEFILE_CORRUPT_EXPOSITION": "This saved game is damaged and may no longer be used."
"SAVELOAD_DEVICE_UNAVAILABLE_OPEN_DEVICE_SELECTOR": "SELECT ANOTHER DEVICE"
"MAINMENU_LOAD": "LOAD GAME"
"CONTROLS_CONFIRM2": "Are you sure?"
"CONTROL_DESC_FOOT_MV_CAM": "CAMERA"
"RADIO_STATION_GENRE_EZZZY": "EASY LISTENING"
"MAINMENU_DOWNLOADABLE_CONTENT_REMOVED_EXPOSITION": "You have been returned to the Main Menu\nbecause a storage device containing\ndownloadable content was removed."
"CANCEL_JOIN_IN_PROGRESS": "CANCEL JOIN IN PROGRESS"
"MAP_ICON_COLLECTIBLE_MONEY": "MONEY PALLET"
"CONTROL_DESC_PAUSE_MP": "OPTIONS"
"CANCEL_LOAD_SAVEGAME": "CANCEL LOAD SAVEGAME"
"RANDOM_WARNING_BODY": "Randomizing may change some or all of your changes.\nThis action cannot be reverted.\n\nContinue?"
"SAVELOAD_IMPORT_FAILED": "IMPORT FAILED"
"MENU_XBOX_LIVE_OFFLINE": "APPEAR OFFLINE"
"DIRTY_DISK_TEXT": "CANNOT READ FILE FROM DISK"
"CONTROLS_SETUP_FOOT": "ON FOOT CONTROLS"
"HASH_BA599A49": "DEPTH OF FIELD DURING GAMEPLAY"
"MECHANIC_UNAVAILABLE": "UNAVAILABLE DUE TO NOTORIETY"
"MAP_STORE_CLOSED": "CLOSED"
"DLT_NORMAL": "NORMAL"
"DEVICE_FULL_OR_REMOVED_TEXT": "The Storage Device associated with your Gamer Profile has been removed or is full."
"OPTIONS_TITLE": "OPTIONS"
"OPT_PAUSE_AUDIO_W_GAME": "PAUSE AUDIO PLAYER WITH GAME"
"MENU_GAME_PAUSED": "GAME PAUSED"
"HASH_A995724B": "UI/VIDEO BRIGHTNESS"
"HASH_48877ECB": "PEAK DISPLAY BRIGHTNESS"
"HASH_85D59E4B": "GAME INSTALL INCOMPLETE"
"CHEAT_NOT_FOUND": "CHEAT NOT FOUND"
"MAP_COLLECTIBLE": "COLLECTIBLE"
"SAVELOAD_LOAD_GAME_NO_CLIENT": "You cannot load a game if you are not the host in a co-op game and you are playing a mission, stronghold or activity."
"REPLAY_LEVEL_SKIP": "SKIP LEVEL"
"DLT_SAINTS": "GIVE ME SAINTS ROW"
"MENU_AUDIO_OVERALL": "OVERALL VOLUME"
"INFO_COLLECTIONS_BARNSTORMING": "BARNSTORMING"
"CONTROLS_CROUCH_TOGGLE": "CROUCH TOGGLE"
"COMPLETION_CONTINUE": "CONTINUE"
"SAVELOAD_AUTOSAVE_DEVICE_FULL": "There is not enough room on the current device. You must select a different device to perform auto save.\nSelect a different device now?"
"RADIO_STATION_GENRE_KLASSIC": "CLASSICAL MUSIC"
"CONTROL_DESC_NOT_USED": "NOT USED"
"INFO_COLLECTIONS_HITMAN": "HITMAN"
"CONTROL_DESC_VEH_CLICK_HORN": "HORN"
"SAVE_BEFORE_JOINING_TITLE": "JOINING NEW GAME"
"MENU_OPTIONS_GAMEPLAY": "GAMEPLAY"
"INFO_UNLOCKABLES_PLAYER_ABILITIES": "ABILITIES"
"CELL_OPTION_CHEATS": "CHEATS"
"SAVELOAD_SIGN_IN": "SIGN IN"
"SAVELOAD_SAVE_GAME_TOO_MANY_ABORT": "RESUME WITHOUT SAVING"
"MENU_DISPLAY_BRIGHTNESS": "BRIGHTNESS"
"MAP_ADD_BOOKMARK": "ADD BOOKMARK"
"COMPLETION_RESTART_CHECKPOINT": "RETRY FROM CHECKPOINT"
"PAUSE_MAP_FILTERS": "CHANGE FILTERS"
"PAUSE_ACT_CHOP_SWITCH_SELECT": "SWITCH ACTIVITY / SELECT SHOP"
"PLAYLIST_MOVE_TRACK": "MOVE"
"CONTROL_DESC_FOOT_TAUNT": "TAUNT"
"PLAYLIST_REMOVE_TRACK": "DELETE"
"CONTROLS_MINIMAP_VIEW": "MINI MAP VIEW"
"COMPLETION_RESTART_BEGINNING": "RETRY FROM MISSION START"
"GAMER_PROFILE_REINSERT_EXIT": "EXIT TO THE MAIN MENU"
"CONTROL_DESC_VEH_RADIO_PREV": "CHANGE RADIO"
"CONTROL_DESC_MP_HEAL": "HEAL"
"CONTROL_CHANGE_OPTION": "CHANGE OPTION"
"COMPLETION_MISSION_FAILED": "{0} FAILED"
"COMPLETION_CONTINUE_ACTIVITY": "CONTINUE ACTIVITY"
"MENU_QUICKMATCH_OVERSIZED": "INCLUDE OVERSIZED"
"HELP_TEXT_CHARGED_MELEE_ATTACK": "HOLDING {ATTACK_PRIMARY_IMG} LONGER WILL BUILD A MORE POWERFUL CHARGED MELEE ATTACK"
"CONTROL_DESC_GRENADE": "GRENADE"
"CONTROL_DESC_JUMP": "JUMP"
"MENU_BACK": "BACK"
"MAP_ICON_COLLECTIBLE_PHOTO_OP": "PHOTO OP"
"MAINMENU_QUIT_DEMO_CONFIRM_TEXT": "Are you sure you want to quit Saints Row?"
"CONTROL_SETUP_CHANGE_SCHEME": "CHANGE SCHEME"
"CONTROL_DESC_VEH_STEER": "STEER"
"CONTROL_DESC_FOOT_RELOAD": "RELOAD"
"COMMUNITY_ERROR_OTHER": "An error has occurred with community features.  Please try accessing this feature at a later time."
"CRIB_CASH_PLAYER_CASH": "YOUR CASH"
"PAUSE_MAP_FILTER_STORES": "STORES"
"MAINMENU_WIRELESS": "WIRELESS"
"JOIN_IN_PROGRESS": "JOIN IN PROGRESS"
"INFO_HELP_TITLE": "HELP"
"CONTROL_DESC_MP_TAUNT_1": "TAUNT"
"HASH_9CB6005A": "FXAA"
"RANDOM_WARNING_HEADING": "WARNING"
"SAVELOAD_MUST_SELECT_DEVICE": "You must select a storage device to use save/load."
"SAVELOAD_HDR_DIFFICULTY": "DIFFICULTY: {0}"
"CONTROL_DESC_PAUSE": "PAUSE MENU"
"CELL_OPTION_OK": "OK"
"HASH_407EA65B": "Adjust the output brightness so that shape is barely visible to match output brightness to display capabilities"
"PLAYLIST_HEADER_TRACKS": "TRACKS"
"MENU_DISPLAY_TITLE": "DISPLAY"
"MAP_ICON_TRAILBLAZING": "TRAIL BLAZING"
"DLT_CASUAL": "CASUAL"
"CONTROLS_INVERT_Y": "INVERT CAMERA Y AXIS"
"CELL_OPTION_HOMIES": "HOMIES"
"HASH_F5B78E5C": "    MOTION BLUR"
"COOP_CLIENT_GANG_CUST_TRIGGER": "CLIENTS CANNOT CUSTOMIZE THE SERVER'S GANG"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_LINE1": "THE SAVE PROCESS HAS FAILED BECAUSE THE DEFAULT"
"PLAYLIST_NO_STATION_ITEMS": "NO TRACKS IN STATION LIST"
"MENU_VSYNC_CUTSCENE_TEXT": "V-SYNC (CUTSCENE)"
"MAP_ICON_COLLECTIBLE_DRUG": "DRUG PACKAGE"
"CONTROL_DESC_FOOT_DISMISS": "(HOLD) DISMISS FOLLOWERS"
"INFO_ACHIEVE_TITLE": "ACHIEVEMENTS"
"CONTROL_DESC_VEH_NOS": "NITROUS"
"NO_NETWORK_CONNECTION": "A network connection is needed to access this feature."
"SAVELOAD_CHEATS_ENABLED": "Cheats are currently enabled.\nAre you sure you want to save while they are enabled?"
"PAUSE_MENU_DRIVEUP_HOMIE": "STORED VEHICLE DELIVERY"
"HASH_B08AF75F": "    VOLUMETRIC FOG"
"COOP_DISCONNECT": "Press {MAP_MENU_CLOSE_IMG} to disconnect."
"MAP_ICON_COLLECTIBLE_SEX_DOLL": "SEX DOLL"
"COMPLETION_CASH_PER_DAY": "CASH PER HOUR"
"HASH_89D87AE0": "GAME INSTALL INCOMPLETE"
"MENU_MAP": "MAP"
"SAVELOAD_SAVE_ABORT": "RESUME WITHOUT SAVING"
"PAUSE_MESSAGES_NONE": "NO MESSAGES"
"PAUSE_INFO_UNKNOWN_HOOD": "UNKNOWN HOOD"
"CONTROL_SETUP_RETURN": "RETURN TO CONTROLS"
"MENU_AUDIO_VOICE": "VOICE"
"MAP_ICON_RUNNING_MAN": "PROF. GENKI"
"CUTSCENE_TITLE_DEFAULT": "CUTSCENE PLAY"
"CONTROL_CHEAT_YES": "ACTIVATE CHEAT"
"HASH_ED68EA62": "MOTION BLUR DURING GAMEPLAY"
"PAUSE_ACT_CHOPSHOP_EMPTY": "NO CHOP SHOP VEHICLES"
"MENU_XBOX_LIVE_TITLE": "Xbox Live"
"INFO_STORY_TITLE": "STORY"
"CONTROLS_SETUP_TITLE": "CONTROL SETUP"
"CONTROL_DESC_PRIM_ATTACK": "PRIMARY ATTACK"
"CONTROL_DESC_MP_TAUNT_2": "TAUNT"
"CELL_CHEAT_ACTIVATE_INSTRUCTIONS": "Go to the Cheats option in the cellphone to activate unlocked cheats."
"HASH_7AD27A64": "MOTION BLUR"
"SAVE_BEFORE_JOINING_BODY": "Joining a new game will cause you to leave the current one.  Would you like to save first?"
"MENU_TITLE_WARNING": "WARNING"
"MENU_OPTIONS_DISPLAY": "DISPLAY"
"MENU_AUDIO_SFX": "EFFECTS"
"MAINMENU_CONTINUE": "CONTINUE"
"CONTROL_DESC_VEH_VTOL_TRANSFORM": "(VTOL) SWITCH FLIGHT MODE"
"COMMUNITY_EMAIL_FIELD": "E-MAIL ADDRESS"
"MENU_EXTRAS": "EXTRAS"
"HUMAN_TEAM_PLAYERS": "SAINTS"
"PAUSE_MENU_CONTROL_CLICK": "(PRESS)"
"COMPLETION_CONTROL_PER_DAY": "${0} PER HOUR"
"HASH_57487C66": "The color saturation of the displayed picture"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_TITLE": "DEVICE FULL"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_LINE2": "Storage Device is no longer available."
"PAUSE_MAP_FILTER_SAVE": "SAVE POINTS"
"MENU_TITLE_CONFIRM": "CONFIRM"
"INFO_UNLOCKABLES_SPECIALS": "SPECIALS"
"PAUSE_MENU_QUIT_TITLE": "QUIT GAME?"
"DOWNLOADABLE_REMOVED_EXPOSITION": "You have removed a storage device that\n contains downloadable content."
"CONTROLS_SETUP_VCAM_FAR": "FAR"
"COMPLETION_EXIT_ACTIVITY": "EXIT ACTIVITY"
"PAUSE_MENU_SECONDS": "{0} SECONDS"
"PAUSE_MAP_FILTER_COLLECTIBLES": "COLLECTIBLES"
"PAUSE_ACHIEVES_TITLE": "ACHIEVEMENTS"
"MM_LOAD_LOADING": "LOADING"
"MAP_REMOVE_BOOKMARK": "REMOVE BOOKMARK"
"CONTROL_DESC_VEH_CLICK_HYDRAULICS": "NITROUS/HYDRAULICS"
"PAUSE_MENU_STATION_SELECTION": "STATION SELECTION"
