// extra_dumps ref: menu - JP/CZ reference for keys in extra_menu_us.txt
"INFO_UNLOCKABLES_STRONGHOLDS": "JP: アジト || CZ: PEVNOSTI"
"CONTROL_DESC_FOOT_MOVE": "JP: 移動 || CZ: POHYB"
"PAUSE_MENU_COOP": "JP: 協力プレイ || CZ: KOOPERATIVNÍ HRA"
"PHONE_OPTION_3": "JP: ダイヤル || CZ: VYTOČIT"
"CONTROL_SCHEME_B": "JP: タイプB || CZ: SCHÉMA B"
"CONTROL_DESC_VEH_RUDDER_RIGHT": "JP: 右旋回 || CZ: ZATOČENÍ DOPRAVA"
"MENU_DISPLAY_MONITOR_ADJUSTMENT": "JP: 画面設定 || CZ: NASTAVENÍ OBRAZU"
"CELL_VEHICLE_DIALOG_NO_CASH_HEADER": "JP: キャッシュが足りません || CZ: NEDOSTATEK PENĚZ"
"MENU_OPTIONS_QUIT_GAME": "JP: ゲームを終了 || CZ: UKONČIT HRU"
"MENU_OPTIONS_GAMMA": "JP: ガンマ || CZ: JAS"
"INVALID_SAVE_TITLE": "JP: 無効なデータ || CZ: NEPLATNÁ ULOŽENÁ POZICE"
"COMPLETION_NEIGHBORHOODS_OWNED": "JP: 支配済みの縄張り || CZ: OVLÁDANÉ OBLASTI"
"HASH_F6F93B8A": "JP: シャープニング || CZ: OSTŘENÍ"
"HASH_8F4F040A": "JP: 別名、ペーパーホワイトと呼ばれる、最大となるUIの明るさです。 || CZ: Maximální jas rozhraní (bělostný)"
"DLT_CHALLENGE": "JP: チャレンジをよこせ || CZ: CHCI VÝZVU"
"CONTROL_DESC_PRESS": "JP: 押す || CZ: STISKNOUT"
"COMPLETION_CASH": "JP: キャッシュ || CZ: PENÍZE"
"COMMUNITY_EXISTING_USER_NAME_EXT": "JP: THQ IDを入力してください || CZ: Zadej prosím své THQ ID."
"HELP_TEXT_THROW_PUNCH": "JP: {ATTACK_PRIMARY_IMG}：パンチ || CZ: STISKEM {ATTACK_PRIMARY_IMG} UDEŘÍŠ PĚSTÍ"
"DOWNLOADABLE_REMOVED_CANCEL": "JP: 終了してメインメニューに戻る || CZ: ÚLOŽNÉ ZAŘÍZENÍ SPOJENÉ S TÍMTO PROFILEM HRÁČE BYLO ODPOJENO."
"AMMO_MAX_REACHED": "JP: 最大 || CZ: MAX"
"HASH_6143AB8C": "JP: 高周波数ディテールのためコントラストを調整 || CZ: ÚPRAVOU KONTRASTU DOSÁHNETE VYSOKOFREKVENČNÍCH DETAILŮ"
"HASH_D7B70F8C": "JP: ロードしています{0}%%% || CZ: NAČÍTÁNÍ {0} %%%"
"MENU_XBOX_LIVE_STARTUP": "JP: 自動的にサインインする || CZ: PŘIHLÁSIT NA ZAČÁTKU"
"MAINMENU_NEW": "JP: ニューゲーム || CZ: NOVÁ HRA"
"INFO_HELP": "JP: ヘルプ || CZ: NÁPOVĚDA"
"CRIB_CASH_INCOME": "JP: 毎時収入 || CZ: HODINOVÝ PŘÍJEM"
"OPT_UPDATE_TITLE": "JP: オプションの更新 || CZ: AKTUALIZACE NASTAVENÍ"
"PAUSE_MENU_OF": "JP: {0}／{1} || CZ: {0} Z {1}"
"OPT_UPDATE_DISCARD": "JP: 破棄 || CZ: ZRUŠIT"
"CONTROL_DESC_VEH_CRUISE_CONTROL": "JP: クルーズコントロール || CZ: TEMPOMAT"
"COMMUNITY_AGE_FIELD": "JP: 生年月日 || CZ: DATUM NAROZENÍ"
"MAP_ACTIVITY_HARD": "JP: 難易度：Hard || CZ: OBTÍŽNOST: TĚŽKÁ"
"SAVELOAD_DURING_MISSION_CONTINUE": "JP: 続行しますか？ || CZ: Pokračovat?"
"CONTROLS_RESET_DEFAULT": "JP: 初期設定に戻す || CZ: VRÁTIT NA PŮVODNÍ"
"MENU_AUDIO_MUSIC": "JP: BGM || CZ: HUDBA"
"CONTROL_DESC_FOOT_ACTION": "JP: アクション／乗物に乗る || CZ: AKCE/NASTOUPIT DO VOZU"
"CELL_OPTION_END": "JP: 終了 || CZ: KONEC"
"HASH_1FEFDA11": "JP: オンライン機能を使用するにはインターネットに接続し、GOGがオフラインモードになっていないことを確認してください。 || CZ: Pokud chceš mít přístup k online funkcím, musíš se připojit na internet a přihlásit se na GOG."
"SAVELOAD_LOAD_ABORT": "JP: 読み込まずに続行 || CZ: OBNOVIT BEZ NAČÍTÁNÍ"
"SAVELOAD_CORRUPT_DISPLAY_NAME": "JP: 破損したデータ || CZ: POŠKOZENÁ ULOŽENÁ POZICE"
"PHONE_OPTION_2": "JP: 電話帳 || CZ: TELEFONNÍ SEZNAM"
"MENU_AUDIO_AMBIENCE": "JP: 環境音 || CZ: PROSTŘEDÍ"
"INFO_OBJECTIVES_TITLE": "JP: 目標 || CZ: ÚKOLY"
"CONTROL_SCHEME_C": "JP: タイプC || CZ: SCHÉMA C"
"SAVELOAD_SAVE_GAME_CONFIRM_EXPOSITION": "JP: 本当にこのセーブデータに上書きしますか？\n既存の進行状況は上書きされます || CZ: Opravdu chceš přepsat tuto pozici?\nPřepíšeš tak veškerý postup z předchozí hry."
"CONTROL_DESC_VEH_HANDBRAKE": "JP: ドリフト || CZ: RUČNÍ BRZDA"
"MENU_OPTIONS_TITLE": "JP: オプション || CZ: NASTAVENÍ"
"COMPLETION_RETRY_STRONGHOLD": "JP: 拠点制圧をやり直す || CZ: ZOPAKOVAT PEVNOST"
"HELP_TEXT_SKYDIVE_STEER_CONTROL": "JP: {ANALOG_RS_IMG}：左右に方向指定 || CZ: POMOCÍ {ANALOG_RS_IMG} ZAHÝBÁŠ DOLEVA A DOPRAVA"
"CONTROL_DESC_VEH_LOOK_RIGHT": "JP: 右を見る || CZ: POHLED VPRAVO"
"CONTROL_CHEAT_NO": "JP: 戻る || CZ: ZPĚT"
"COMPLETION_COOP_DISCONNECT": "JP: 切断 || CZ: ODPOJIT"
"HASH_2ABD9695": "JP: フレームレートロックを有効にする || CZ: ZÁMEK SNÍMKOVÉ FREKVENCE"
"SAVELOAD_FAILED_TO_SAVE_PROFILE": "JP: HDDの空き容量が足りません。\nデータを削除して空き容量を確保するか、XMB™（クロスメディアバー）に戻ってください || CZ: Na pevném disku není dostatek místa.\nSmaž některé uložené hry a uvolni tak místo, nebo se vrať do XMB."
"INFO_COLLECTIONS_STUNT_JUMPS": "JP: スタントジャンプ || CZ: KASKADÉRSKÉ SKOKY"
"CONTROL_DESC_VEH_ACTION": "JP: アクション／乗物から降りる || CZ: AKCE/VYSTOUPIT Z VOZU"
"DLT_DESC_HARDCORE": "JP: 襲い来る危険を体験したい人向け || CZ: Chceš pořádný nával adrenalinu."
"CONTROL_DESC_CLICK": "JP: 押す || CZ: STISKNOUT"
"COMPLETION_MISSION_COMPLETE": "JP: {0}クリア || CZ: {0} DOKONČENO"
"MENU_CONTROLS_INVERT_ROTATION": "JP: 視点左右反転 || CZ: INVERTOVAT OTÁČENÍ KAMERY"
"CONTROLS_SETUP_DRIVING_SCHEMES": "JP: 運転操作方法 || CZ: SCHÉMATA OVLÁDÁNÍ VOZIDEL"
"CONTROL_DESC_VEH_HELI_UP": "JP: （ヘリ）上昇 || CZ: (VRTULNÍK) NAHORU"
"HELP_TEXT_WIELDABLE_PROP": "JP: {ATTACK_PRIMARY_IMG}：オブジェクトを振り回す／{ATTACK_SECONDARY_IMG}：オブジェクトを投げる || CZ: STISKNUTÍM {ATTACK_PRIMARY_IMG} PŘEDMĚTEM UDEŘÍŠ, ZMÁČKNUTÍM {ATTACK_SECONDARY_IMG} HO MŮŽEŠ ODHODIT"
"HASH_C6C7161A": "JP:     フィルム粒子 || CZ:     ZRNITOST"
"MAP_SALE_PERCENT_OFF": "JP: セール－%d%%%%割引 || CZ: VÝPRODEJ - %d%%%% SLEVA"
"MAINMENU_START_DEMO": ""
"MAINMENU_MULTI": "JP: マルチプレイヤー || CZ: VÍCE HRÁČŮ"
"CONTROLS_SENSE_H": "JP: 視点の横方向感度 || CZ: HORIZONTÁLNÍ CITLIVOST"
"CONTROL_DESC_FOOT_CROUCH": "JP: しゃがむ || CZ: PŘIKRČIT SE"
"COMMUNITY_INVALID_PASSWORD_CHARACTERS": "JP: パスワードは半角英数と -_.@ の記号のみで作成してください || CZ: Heslo může obsahovat pouze alfanumerické znaky a symboly -_.@"
"HUMAN_TEAM_LUCHADORES": "JP: ルチャドール || CZ: LUCHADOROVÉ"
"MENU_GPS": "JP: GPS || CZ: GPS"
"COOP_MENU_FRIENDLY_FIRE": "JP: 味方への攻撃 || CZ: STŘELBA DO SPOJENCŮ"
"DIALOG_PAUSE_DISCONNECT_PROMPT": "JP: 切断してもよろしいですか？ || CZ: Opravdu se chceš odpojit?"
"GAMER_PROFILE_REINSERT_TEXT": "JP: ご指定のゲーマー プロフィールが保存されているデータ保存機器が取り外されました || CZ: Úložné zařízení spojené s tímto profilem hráče bylo odpojeno."
"CONTROLS_SETUP_VCAM_NEAR": "JP: 近景 || CZ: BLÍZKO"
"CONTROLS_SETUP_CROUCH_TOG": "JP: しゃがみ状態固定 || CZ: PŘEPÍNÁNÍ PLÍŽENÍ"
"HASH_26CC161D": "JP: ペーパーホワイト || CZ: PAPÍROVĚ BÍLÁ"
"INFO_ACTIVITIES_TITLE": "JP: アクティビティ || CZ: AKTIVITY"
"COMPLETION_COOP_WAITING": "JP: {0}を待っています || CZ: ČEKÁ SE NA: {0}"
"COMPLETION_FAILED": "JP: 失敗 || CZ: NEÚSPĚCH"
"CACHING_PERCENT": "JP: %完了 || CZ: % DOKONČENO"
"AUTOSAVING": "JP: セーブ中... || CZ: Ukládání..."
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_LINE2": "JP: データ保存機器が利用できなくなりました || CZ: úložné zařízení již není k dispozici."
"MENU_RADIO": "JP: ラジオ || CZ: RÁDIO"
"Hidden": "JP: 隠し要素 || CZ: SKRYTÉ"
"COMPLETION_EXIT_ACTIVITY_CONFIRMATION": "JP: アクティビティを終了しますか？ || CZ: Opravdu chceš ukončit akci?"
"SAVELOAD_DEFAULT_NAME": "JP: デフォルト || CZ: PŮVODNÍ"
"MENU_STYLE_DIALOG_HEADER": "JP: スタイル上昇 || CZ: STYL ZVÝŠEN"
"CONTROL_DESC_VEH_PLANE_BRAKE_REV": "JP: (飛行機)減速／バック || CZ: (LETADLO) BRZDA/ZPÁTEČKA"
"CONTROL_DESC_VEH_TOGGLE_CAM_2": "JP: カメラの切り替えをキープ || CZ: PŘIDRŽENÍM ZAPNEŠ KAMERU"
"HASH_16D897A0": "JP: ディスプレイの色域に合うように、彩度を調整してください。 || CZ: Upravte živost barev, aby odpovídala barevné škále obrazovky."
"HASH_BBDB05A0": ""
"CRIB_NAME_DOCK": "JP: RONDINI'S BOAT DOCK || CZ: RONDINIHO LODNÍ DOK"
"OPTIONS_MENU_DEFAULTS_DESC": "JP: 本当に初期設定に戻しますか？ || CZ: Opravdu chceš obnovit původní nastavení?"
"SAVELOAD_NEW_SAVE_GAME": "JP: 新規セーブデータ || CZ: NOVÁ ULOŽENÁ HRA"
"MAP_RESPECT_BLANK": "JP: リスペクト：%d || CZ: RESPEKT: %d"
"CONTROL_DESC_VEH_PLANE_ACCELERATE": "JP: (飛行機)加速 || CZ: (LETADLO) ZRYCHLENÍ"
"CONTROL_DESC_CANCEL_ACT": "JP: プレイ中のミッションなどを終了する || CZ: UKONČIT HERNÍ REŽIM"
"INFO_COLLECTIONS_SECRET_AREAS": "JP: 隠しエリア || CZ: TAJNÉ OBLASTI"
"CONTROL_DESC_FOOT_NXT_TRK": "JP: 次の曲（オーディオプレイヤー） || CZ: DALŠÍ SKLADBA (PŘEHRÁVAČ)"
"HASH_3BA42DA3": "JP: TAA || CZ: TAA"
"COOP_LOBBY_QUIT": "JP: メインメニューに戻る || CZ: NÁVRAT DO HLAVNÍHO MENU"
"MENU_AUDIO_SPEAKERS": "JP: スピーカー || CZ: REPRODUKTORY"
"HASH_A91AEAA3": "JP: [format][scale:0.5][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format] ボタンを押してください || CZ: STISKNI [format][scale:0.5][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"CONTROLS_DESC_CHANGE_RADIO": "JP: ラジオ局を選ぶ || CZ: ZMĚNIT RÁDIOSTANICI"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_LINE1": "JP: 現在までのデータのロードに失敗しました：指定された || CZ: PROCES NAČÍTÁNÍ SELHAL, NEBOŤ PŮVODNÍ"
"CHEAT_CATEGORY_WEAPONS": "JP: 武器 || CZ: ZBRANĚ"
"SB_CAT_ASSASSINATION": "JP: ヒットマン || CZ: ATENTÁTY"
"MENU_REFRESH_SYSLINK": "JP: 更新 || CZ: OBNOVIT"
"PAUSE_MENU_QUIT_TEXT": "JP: 終了してもよろしいですか？\n保存していない進行状況は失われます || CZ: Skutečně chceš skončit?\n(Neuložený postup bude ztracen.)"
"INFO_DIVERSIONS_GAMES": "JP: ミニゲーム || CZ: AKTIVITY"
"SAVELOAD_CONFIRM_QUERY": "JP: 続行しますか？ || CZ: Pokračovat?"
"RADIO_STATION_GENRE_KRHYME": "JP: ヒップホップ／ラップ || CZ: HIP HOP A RAP"
"DLT_DESC_CASUAL": "JP: 自分のペースで楽しみたい人向け || CZ: Chceš mlátit lidi svým vlastním tempem."
"CONTROL_DESC_FOOT_QUICKTHROW": "JP: ヒューマンシールドを投げる || CZ: ODHODIT LIDSKÝ ŠTÍT"
"INFO_UNLOCKABLES": "JP: アンロックボーナス || CZ: DOSTUPNÉ ODMĚNY"
"INFO_OBJECTIVES": "JP: 目標 || CZ: ÚKOLY"
"COMPLETION_RESPECT": "JP: リスペクト || CZ: RESPEKT"
"OPTIONS_MENU_DEFAULTS_TITLE": "JP: 初期設定に戻しますか？ || CZ: VRÁTIT NA PŮVODNÍ?"
"MENU_OPTIONS_WIRELESS": "JP: ワイヤレス || CZ: BEZDRÁTOVÉ ZAŘÍZENÍ"
"MAP_ICON_SAVE": "JP: セーブポイント || CZ: MÍSTO UKLÁDÁNÍ"
"CONTROL_DESC_MP_FAST_WEAPON_SWITCH": "JP: 武器の交換 || CZ: PROHOZENÍ ZBRANĚ"
"SAVELOAD_CANCEL_JOIN": "JP: 途中参加のキャンセル || CZ: ZRUŠIT PŘIPOJOVÁNÍ"
"PAUSE_OBJECTIVES_NONE": "JP: 目標なし || CZ: ŽÁDNÉ ÚKOLY"
"INFO_STATS": "JP: プレイデータ || CZ: STATISTIKY"
"HELP_TEXT_MELEE_LOCK": "JP: 武器を持たずに{SHOULDER_CAMERA_IMG}長押し：ターゲットをロックオン || CZ: POKUD NEJSI OZBROJENÝ A PODRŽÍŠ {SHOULDER_CAMERA_IMG}, ZAMĚŘÍŠ SE NA JEDEN CÍL"
"CONTROL_DESC_FOOT_FINEAIM": "JP: エイムモード || CZ: PŘESNÉ MÍŘENÍ"
"SAVELOAD_IMPORT_CORRUPT_ABORT": "JP: プレイヤーのカスタマイズに戻る || CZ: NÁVRAT DO ÚPRAV HRÁČE"
"PHONE_OPTION_1": "JP: 仲間 || CZ: PŘÁTELÉ"
"MENU_CHECK_UPDATES_TITLE": "JP: 更新を確認 || CZ: ZKONTROLOVAT AKTUALIZACE"
"DOWNLOADABLE_REMOVED_CONFIRM_QUERY": "JP: データ保存機器を再接続して続行 || CZ: ZNOVU PŘIPOJIT ÚLOŽNÉ ZAŘÍZENÍ A POKRAČOVAT"
"HASH_D751C22C": "JP: HDR || CZ: HDR"
"MUSIC_STORE_DISCOUNT": "JP: レコード店の割引100%%  || CZ: SLEVA 100%% NA HUDBU"
"PAUSE_MENU_QUIT_NO_SAVE_CONFIRM_TEXT": "JP: セーブせずに終了します。\n\nよろしいですか？ || CZ: Skončit bez uložení.\n\nVíš to jistě?"
"SAVELOAD_LOAD_FAILED": "JP: ロード失敗 || CZ: NAČÍTÁNÍ SE NEZDAŘILO"
"OPT_UPDATE_KEEP": "JP: セーブ || CZ: ZACHOVAT"
"CELL_HEADER_DEACTIVATED": "JP: 無効にする || CZ: DEAKTIVOVÁNO"
"DISCONNECT_SCREEN_QUIT": "JP: %sで終了する || CZ: SKONČÍŠ STISKNUTÍM %s"
"CONTROL_DESC_SEC_ATTACK": "JP: サブ攻撃 || CZ: ALTERNATIVNÍ ÚTOK"
"ACHIEVE_NOW": "JP: 実績が解除された！    || CZ: Výsledek zpřístupněn!   "
"INFO_ACTIVITIES": "JP: アクティビティ || CZ: AKTIVITY"
"CONTROL_DESC_MP_SCORE": "JP: スコアボード || CZ: NEJLEPŠÍ VÝSLEDKY"
"CONTROL_DESC_FOOT_CLICK_CROUCH": "JP: しゃがむ || CZ: PŘIKRČENÍ"
"SAVELOAD_DURING_MISSION_ABORT": "JP: セーブせずに続行 || CZ: OBNOVIT BEZ ULOŽENÍ"
"SAVELOAD_DURING_ACTIVITY_ABORT": "JP: セーブせずに続行 || CZ: OBNOVIT BEZ ULOŽENÍ"
"MAP_PLAYER_CASH": "JP: キャッシュ || CZ: HOTOVOST"
"DLT_EXPERIENCED": "JP: EXPERIENCED || CZ: ZKUŠENÝ"
"CONTROL_DESC_VEH_ACCELERATE": "JP: アクセル || CZ: PLYN"
"COMPLETION_COMPLETE": "JP: クリア || CZ: DOKONČENO"
"RADIO_STATION_GENRE_GEN_X": "JP: モダンロック || CZ: MODERNÍ ROCK"
"PAUSE_ACTIVITIES_NONE": "JP: 選択可能なアクティビティなし || CZ: ŽÁDNÉ AKCE NEJSOU K DISPOZICI"
"GAMER_PROFILE_REINSERT_TITLE": "JP: データ保存機器利用不可 || CZ: ÚLOŽNÉ ZAŘÍZENÍ NENÍ K DISPOZICI"
"HASH_32E0BB33": "JP: ボリューメトリクゴッドレイ(薄明光線)の質です || CZ: KVALITA VOLUMETRICKÝCH PAPRSKŮ SVĚTLA"
"VCUST_PERFORMANCE_WARNING": "JP: ハイドロとニトロは両方同時に装備できません。\nそれでも購入しますか？ || CZ: Hydrauliku a nitro nemůžeš používat najednou.\nChceš je přesto koupit?"
"SAVELOAD_IMPORT_DEVICE_UNAVAILABLE_FULL": "JP: 初期設定のデータ保存機器が利用できなくなったため\nインポートに失敗しました || CZ: Importování se nepodařilo, neboť původní úložné zařízení již není k dispozici."
"SAVELOAD_DURING_MISSION_EXPOSITION": "JP: 現在のミッションの進行状況はセーブされません\n続行しますか？ || CZ: Postup v aktuální misi nebude uložen!\nPokračovat?"
"HELP_TEXT_SKYDIVE_MOVE_CONTROL": "JP: {ANALOG_LS_IMG}：前後左右に移動 || CZ: POMOCÍ {ANALOG_LS_IMG} SE POHYBUJEŠ DOPŘEDU, DOZADU A DO STRAN"
"COMMUNITY_ERROR_AGE_GATE": "JP: 規定の年齢に達していません || CZ: Zadal jsi nedostatečný věk."
"SAVELOAD_SAVE_FAILED": "JP: セーブに失敗しました || CZ: UKLÁDÁNÍ SE NEZDAŘILO"
"MENU_CONTROLS_TITLE": "JP: 操作設定 || CZ: OVLÁDÁNÍ"
"DLT_DESC_NORMAL": "JP: 普通に楽しみたい人向け || CZ: Chceš si hru zahrát tak, jak by se hrát měla."
"CONTROL_DESC_VEH_HELI_DOWN": "JP: （ヘリ）下降 || CZ: (VRTULNÍK) DOLŮ"
"SAVELOAD_LOAD_GAME": "JP: ロード || CZ: NAČÍST HRU"
"MENU_AUDIO_MIC_NONE": "JP: マイクなし || CZ: BEZ MIKROFONU"
"GAME_CACHING": "JP: キャッシュしています || CZ: NAČÍTÁNÍ DO DOČASNÉ PAMĚTI"
"CONTROL_DESC_VEH_LOOK_LEFT": "JP: 左を見る || CZ: POHLED VLEVO"
"CONTROL_DESC_FOOT_SPRINT": "JP: ダッシュ／スペシャル || CZ: SPRINT"
"INVITE_ONLY": "JP: アクセスが「招待のみ」に限定されています || CZ: Tato hra je jen pro zvané."
"HASH_5DB182B7": "JP: ゲームのダウンロードが終わっていません。ゲームをセーブしてメインメニューへ戻ります。 || CZ: Stahování Hry Nebylo Dokončeno. Probíhá Ukládání Hry A Návrat Do Hlavní Nabídky."
"SB_CAT_CHOP_SHOP": "JP: ヤミ改造工場 || CZ: KRÁDEŽE VOZIDEL"
"RADIO_ALWAYS_ON": "JP: 常にオン || CZ: VŽDY"
"MP3_CONFIRM_DELETE_LIST_BODY": "JP: 消去されたプレイリストは復元することができません。\nよろしいですか？ || CZ: Jakmile tento seznam skladeb smažeš, už jej nebudeš moci obnovit. Chceš to skutečně udělat?"
"CONTROL_DESC_FOOT_PRV_TRK": "JP: 前の曲（オーディオプレイヤー） || CZ: PŘEDCHOZÍ SKLADBA (PŘEHRÁVAČ)"
"CONTROLS_TITLE": "JP: 操作設定 || CZ: OVLÁDÁNÍ"
"CONTROL_DESC_VEH_RUDDER_LEFT": "JP: 左旋回 || CZ: ZATOČENÍ DOLEVA"
"CONTROL_DESC_CHANGE_CAMERA_VIEW": "JP: 視点の切り替え || CZ: ZMĚNIT POHLED KAMERY"
"HASH_768EAF39": "JP: 安定したパフォーマンスのため、最大フレームレートをロックする || CZ: UZAMKNOUT MAXIMÁLNÍ SNÍMKOVOU FREKVENCI PRO DOSAŽENÍ STABILNÍHO VÝKONU"
"MENU_PLAYLIST": "JP: ミックス\nテープ || CZ: SEZNAM SKLADEB"
"INFO_STATS_TITLE": "JP: プレイデータ || CZ: STATISTIKY"
"GAMER_PROFILE_REINSERT_TRY_AGAIN": "JP: データ保存機器を再接続してやり直してください || CZ: ZNOVU PŘIPOJIT ÚLOŽNÉ ZAŘÍZENÍ A POKRAČOVAT"
"CONTROLS_DESC_CHANGE_AUDIO": "JP: 選曲する || CZ: ZMĚNIT SKLADBU"
"CELL_CHEAT_ACTIVIATE_DIALOG_HEADER": "JP: チートを有効にしますか？ || CZ: Aktivovat cheat?"
"MAP_ACTIVITY_NOT_STARTED": "JP: 開始前 || CZ: NESPUŠTĚNO"
"REPLAY_LEVEL_REPLAY": "JP: ステージをもう一度プレイする || CZ: OPAKOVAT ÚROVEŇ"
"CELL_HEADER_GARAGE": "JP: ガレージ || CZ: GARÁŽ"
"MENU_STATS": "JP: データ || CZ: STATISTIKY"
"PAUSE_ACT_CHOP_TITLE": "JP: ヤミ改造工場 || CZ: OBCHOD S KRADENÝMI AUTODÍLY"
"OBJECTIVES_NEED_RESPECT": "JP: アクティビティやデバージョンをプレイしてリスペクトを集めろ || CZ: RESPEKT ZÍSKÁVÁŠ ZA RŮZNÉ AKTIVITY A BOKOVKY. POTŘEBUJEŠ HO KE HRANÍ MISÍ."
"INFO_STORY": "JP: ストーリー || CZ: PŘÍBĚH"
"CONTROL_DESC_VEH_RADIO_NEXT": "JP: 次のラジオ局 || CZ: DALŠÍ STANICE"
"CELL_OPTION_DIAL": "JP: ダイヤル || CZ: VYTOČIT"
"HASH_02DA883D": "JP: HDR設定 || CZ: NASTAVENÍ HDR"
"SAVELOAD_NOTHING_TO_LOAD": "JP: セーブデータはありません || CZ: ŽÁDNÉ ULOŽENÉ HRY"
"SAVELOAD_ERROR": "JP: 警告 || CZ: UPOZORNĚNÍ"
"SAVELOAD_DATE_DEFAULT": "JP: 今だ！ || CZ: TEĎ!"
"PAUSE_MAP_FILTER_MISSIONS": "JP: ミッション || CZ: MISE"
"MENU_QUICKMATCH_TYPE": "JP: ゲームの種類 || CZ: TYP HRY"
"CONTROL_SCHEME_A": "JP: タイプA || CZ: SCHÉMA A"
"COMPLETION_EXIT": "JP: 終了 || CZ: UKONČIT"
"COMPLETION_EXIT_MISSION_CONFIRMATION": "JP: ミッションを終了しますか？ || CZ: Chceš ukončit misi?"
"AUTOSAVING_NOW": "JP: プロフィールを更新中... || CZ: Aktualizování profilu..."
"COOP_LOBBY_WAVE": "JP: ウェーブ{0} || CZ: VLNA {0}"
"MENU_RESTORE_DEFAULTS": "JP: 初期設定に戻す || CZ: OBNOVIT VÝCHOZÍ"
"COMPLETION_EXIT_STRONGHOLD": "JP: 拠点制圧を終了 || CZ: ODEJÍT Z PEVNOSTI"
"HASH_7BC8E8C1": "JP: ペーパーホワイトの表面の明るさを定義します || CZ: URČUJE, JAK SVĚTLÝ JE PAPÍROVĚ BÍLÝ POVRCH"
"SAVELOAD_LOAD_GAME_TITLE": "JP: ロード || CZ: NAČÍST HRU"
"SAVELOAD_CHECK_FREE_SPACE": "JP: HDDにマスターデータとユーザープロフィール用の\n空き容量が足りません。\nホームメニューに戻って\n%iKB以上の空き容量を確保してください || CZ: Na pevném disku není dostatek místa pro záznam hlavního souboru s herní pozicí a profilem.\nV systémové nabídce prosím uvolni min. %ikB."
