// extra_dumps ref: static - JP/CZ reference for keys in extra_static_us.txt
"STAT_DRIVING_TWOWHEELS": "JP: 片輪走行 || CZ: JÍZDA PO DVOU KOLECH"
"STAT_COMBAT_THROWN_RESPECT": "JP: 投てきキルで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABITÍ ODHOZENÍM"
"ESCORT_NAME_22B": "JP: スペランカー || CZ: JESKYŇÁŘ"
"GARAGE_RETRIEVE_TEXT": "JP: この車両に乗りますか？ || CZ: Opravdu si chceš vzít tento vůz?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "JP: キャット&マウス：最高連続キル数 || CZ: NA KOČKU A NA MYŠ: NEJDELŠÍ SÉRIE ZABITÍ"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "JP: クリアしたヘリアサルト || CZ: DOKONČENÉ MISE ÚTOK ZE VZDUCHU"
"STAT_DIVERSION_RESPECT_EARNED": "JP: デバージョンで獲得したリスペクト || CZ: RESPEKT ZA DIVERZE"
"STAT_ENEMY_GANG_KILLED": "JP: ギャングキル || CZ: ZABITO GANGSTERŮ"
"PCS_RETURN_MAIN": "JP: メインメニューに戻る || CZ: ZPĚT DO HLAVNÍHO MENU"
"STAT_HUMAN_SHIELD_KILLS": "JP: ヒューマンシールドによるキル || CZ: ZABITÉ LIDSKÉ ŠTÍTY"
"ESCORT_NAME_30A": "JP: ブレージング || CZ: PLANOUCÍ"
"RADIO_STATION_GENX": "JP: GENERATION X || CZ: GENERATION X"
"STORE_GARAGE_MSG": "JP: ガレージを見る || CZ: OTEVŘÍT GARÁŽ"
"STAT_GRENADE_KILLS": "JP: 手榴弾によるキル || CZ: ZABITÍ GRANÁTEM"
"STAT_MAX_HUMAN_THROWN_DIST": "JP: 人間の最長投てき距離 || CZ: NEJDELŠÍ ODHOZENÍ"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "JP: 協力プレイ：クリアした連携デバージョン || CZ: KOOPERATIVNÍ REŽIM: DOKONČENÉ TANDEMOVÉ HRY"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "JP: 最長フロントガラス砲 || CZ: NEJDELŠÍ AUTODĚLO"
"STAT_DRIVING_WINDSHIELD": "JP: フロントガラス砲 || CZ: AUTODĚLO"
"ESCORT_NAME_32A": "JP: ブラッディ || CZ: KRVÁCEJÍCÍ"
"STORE_TEXT_DISCARD": "JP: このアイテムをクローゼットから削除しますか？ || CZ: Chceš tento předmět odstranit z šatníku?"
"HORDE_MODE_TITLE_FINAL_FAIL": "JP: 最終ウェーブ失敗 || CZ: POSLEDNÍ VLNA NEBYLA DOKONČENA"
"STAT_SEX_DOLLS_FOUND": "JP: 見つけたエクササイズドール || CZ: NALEZENÉ NAFUKOVACÍ PANNY"
"STAT_RIFLE_HIT_PCT": "JP: ライフル命中率 || CZ: PROCENTO ZÁSAHŮ S PUŠKOU"
"STAT_DRIVING_WRONGWAY": "JP: 逆走 || CZ: JÍZDA V PROTISMĚRU"
"ESCORT_NAME_28B": "JP: ダブル・スタッフ || CZ: DVOJITÁ NÁLOŽ"
"HORDE_MODE_INVULNERABILITY": "JP: 無敵！ || CZ: Nesmrtelnost!"
"ESCORT_NAME_34A": "JP: グリーク || CZ: JARNÍ"
"VCUST_GARAGE_EXIT_PROMPT": "JP: ガレージから出ます\nよろしいですか？ || CZ: Opravdu chceš odejít z garáže?"
"STAT_DRIVING_NEARMISS_RESPECT": "JP: ニアミスで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA NÁJEZDY"
"STAT_FAVORITE_WEAPON": "JP: お気に入りの武器 || CZ: OBLÍBENÁ ZBRAŇ"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "JP: この衣服セットを作成しますか？ || CZ: Opravdu chceš vytvořit tento komplet?"
"STAT_COOP_ACTIVITIES_COMPLETED": "JP: 協力プレイ：クリアしたアクティビティ || CZ: KOOPERATIVNÍ REŽIM: DOKONČENÉ AKTIVITY"
"STAT_MILES_BY_CAR": "JP: 車で走った距離 || CZ: MÍLE NAJETÉ V AUTĚ"
"STAT_FRAUD_DIVES_TAKEN": "JP: 保険金詐欺：飛び込んだ回数 || CZ: POJISTNÝ PODVOD: CELKOVÝ POČET POTOPENÍ"
"STAT_BARN_FOUND": "JP: 見つけたアクロバットスポット || CZ: NALEZENÁ MÍSTA PRO AKROBACII"
"ESCORT_NAME_36A": "JP: ファイアリー || CZ: ŽHNOUCÍ"
"STAT_TOTAL_CASH_EARNED": "JP: 獲得金額総額 || CZ: CELKOVÝ PŘÍJEM"
"STAT_DRIVING_BIGAIR_DISTANCE": "JP: 最長距離 || CZ: NEJVĚTŠÍ VZDÁLENOST"
"STAT_SHOTS_FIRED": "JP: 発射弾数 || CZ: VYPÁLENÉ RÁNY"
"STAT_POLICE_NOTORIETY_TIME": "JP: 警察悪評度MAX || CZ: CELKOVÝ ČAS POZORNOSTI POLICIE"
"ACT_HITMAN_LEAVE_FULL": "JP: ヒットマンを終了しますか？ || CZ: Skutečně chceš ukončit hru 'zabiják'?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "JP: CURLY'S CHOP BLOCK || CZ: CURLYHO AUTODÍLY"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "JP: ヘリアサルト：破壊したターゲット || CZ: ÚTOK ZE VZDUCHU: ZNIČENÉ CÍLE"
"STAT_THROWN_HIT_PCT": "JP: 投てき武器命中率 || CZ: PROCENTO ZÁSAHŮ S VRHACÍMI ZBRANĚMI"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "JP: クリアしたガーディアンエンジェル || CZ: DOKONČENÉ MISE STRÁŽNÝ ANDĚL"
"STAT_COMBAT_CAR": "JP: ギャングの車 || CZ: ZABITÍ GANGSTERŮ VOZEM"
"GARAGE_CAT_2": "JP: 色 || CZ: BARVA"
"STAT_SNIPER_SHOTS_FIRED": "JP: スナイパーライフル発砲回数 || CZ: VYPÁLENÉ RÁNY Z ODSTŘELOVACÍ PUŠKY"
"STAT_MISSIONS_COMPLETED": "JP: クリアしたミッション || CZ: DOKONČENÉ MISE"
"WPN_STORE_RIFLE_TITLE": "JP: ライフル || CZ: PUŠKY"
"STORE_ITEM_STYLE_AWARD": "JP: +{0}スタイル || CZ: + {0} STYL"
"IMAGE_DESIGNED_NAME": "JP: IMAGE AS DESIGNED || CZ: IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "JP: 車両に乗る || CZ: VYJET"
"STAT_TEAM_MORNINGSTAR": "JP: モーニングスター || CZ: MORNINGSTAROVÉ"
"ESCORT_NAME_19B": "JP: ジミー || CZ: JIMMY"
"STORE_EXIT_WARNING_BODY": "JP: 店を出ます\nよろしいですか？ || CZ: Odejít z obchodu?"
"PLAYER_CREATION_SAVE_CHANGES": "JP: 変更をセーブしますか？ || CZ: Chceš uložit změny?"
"STAT_WHEELIE_LONGEST_DISTANCE": "JP: 最長ウィリー距離 || CZ: NEJDELŠÍ JÍZDA PO PŘEDNÍM KOLE"
"STAT_CIVILIANS_KILLED": "JP: 始末した一般市民 || CZ: ZABITÍ CIVILISTÉ"
"STAT_DISTANCE_BY_VEHICLE": "JP: 乗り物での移動距離合計 || CZ: VZDÁLENOST UJETÁ VOZIDLY CELKEM"
"STAT_CASH_EARNED_PER_DAY": "JP: 1時間あたりの獲得金額 || CZ: PŘÍJEM ZA HODINU"
"STAT_FRAUD_BEST_DIVE": "JP: 保険金詐欺：ベストダイブ || CZ: POJISTNÝ PODVOD: NEJLEPŠÍ POTOPENÍ:"
"STAT_ACTIVITY_RESPECT_EARNED": "JP: アクティビティで獲得したリスペクト || CZ: RESPEKT ZA AKTIVITY"
"STAT_HOSPITAL_BILLS": "JP: 医療費 || CZ: PENÍZE UTRACENÉ ZA ÚČTY V NEMOCNICI"
"ESCORT_NAME_8B": "JP: コークスクリュー || CZ: VÝVRTKA"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "JP: クリアしたデリバリー || CZ: DOKONČENÉ MISE PŘEKUPNICTVÍ"
"STAT_COMBAT_ENEMY": "JP: ギャングキル || CZ: ZABITO GANGSTERŮ"
"STAT_HOLDUP_CASH": "JP: 銃で脅して稼いだ金額 || CZ: PENÍZE ZÍSKANÉ Z LOUPEŽNÝCH PŘEPADENÍ"
"STAT_BASE_JUMP": "JP: パラシュート降下 || CZ: SKOKY NA CÍL"
"RADIO_STATION_THE_MIX": "JP: THE MIX || CZ: THE MIX"
"STORE_TATTOO_PARLOR_MSG": "JP: タトゥーを入れる || CZ: SE NECHAT TETOVAT"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "JP: 警察悪評度MAX連続最長 || CZ: NEJDELŠÍ DOBA POZORNOSTI POLICIE"
"ESCORT_NAME_15B": "JP: ロリポップ || CZ: LÍZÁTKO"
"ESCORT_NAME_6B": "JP: タトゥー || CZ: TETOVÁNÍ"
"STAT_TOTAL_DISTANCE_TRAVELLED": "JP: 移動距離合計 || CZ: CELKOVÁ PŘEKONANÁ VZDÁLENOST"
"STAT_DIVERSIONS_COMPLETED": "JP: クリアしたデバージョン || CZ: DOKONČENÉ DIVERZE"
"STAT_TOTAL_DAMAGE_TAKEN": "JP: 受けたダメージ合計 || CZ: CELKOVÉ UTRŽENÉ ZRANĚNÍ"
"STAT_MILES_BY_AIRCRAFT": "JP: 飛行機で飛行した距離 || CZ: MÍLE URAŽENÉ VE VZDUCHU"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "JP: カスタマイズアイテムに費やした金額 || CZ: NÁKLADY NA VYLEPŠENÍ PŘEDMĚTŮ"
"STAT_MAX_STUNT_JUMP_SPIN": "JP: ジャンプ最高スピン || CZ: MAXIMÁLNÍ OBRÁTKA"
"HORDE_MODE_TITLE_KILLS": "JP: キル || CZ: ZABITÍ"
"HORDE_MODE_WAVE_TAG": "JP: ウェーブ || CZ: VLNA"
"STAT_RUNNING_MAN_CASH_EARNED": "JP: ゲンキ博士：獲得したキャッシュ || CZ: PROF. GENKI: VYDĚLANÉ PENÍZE"
"STAT_PISTOL_SHOTS_FIRED": "JP: ピストル発砲回数 || CZ: VYPÁLENÉ RÁNY Z PISTOLE"
"STAT_ACTIVITIES_COMPLETED": "JP: クリアしたアクティビティ || CZ: DOKONČENÉ AKTIVITY"
"ESCORT_NAME_17B": "JP: バイス・グリップ || CZ: KLEŠTĚ"
"ESCORT_NAME_4B": "JP: ドラゴン || CZ: DRAK"
"CUST_DIALOG_DISROBE_BODY": "JP: 現在の衣服を下着以外消去します。\n下着になるとストリーキングができるようになります。\nよろしいですか？ || CZ: Vysvlečeš si vše, co máš na sobě. \nNahý můžeš hrát hru naháč. \nPřeješ si pokračovat?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "JP: 次の武器の弾薬はこれ以上アジトから持ち出せません：「%s」 || CZ: Další munici pro zbraň \"%s\" už si ze skrýše vzít nemůžeš."
"STAT_STAG_COMMANDOS_KILLED": "JP: 倒したSTAGコマンドー || CZ: ZABITÁ KOMANDA STAGU"
"STAT_FBI_KILLED": "JP: 倒したFBI || CZ: ZABITÍ AGENTI FBI"
"STORE_TITLE_INSUFFICIENT_FUNDS": "JP: 資金不足 || CZ: NEDOSTATEK PENĚZ"
"STAT_NEIGHBORHOODS_CONTROLLED": "JP: 制圧した縄張り || CZ: OVLÁDANÉ ČTVRTI"
"ESCORT_NAME_11B": "JP: ショッカー || CZ: ŠUKÉR"
"ESCORT_NAME_2B": "JP: トランペット || CZ: TRUMPETA"
"STAT_COOP_KILLS": "JP: 協力プレイ：プレイヤーキル || CZ: KOOPERATIVNÍ REŽIM: ZABITÍ HRÁČŮ"
"STAT_MAYHEM_BEST_ROUND": "JP: メイヘム：ベストラウンド || CZ: VANDALSTVÍ: NEJLEPŠÍ KOLO"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "JP: ガーディアンエンジェル：護衛したセレブ || CZ: STRÁŽNÝ ANDĚL: OCHRÁNĚNÉ CELEBRITY"
"STAT_COMBAT_MOTORCYCLE": "JP: めった切り || CZ: ZABITÍ MEČEM NA MOTORCE"
"STAT_MILES_BY_VEHICLE": "JP: 乗り物での移動距離 || CZ: NAJETÉ MÍLE CELKEM"
"VCUST_EXIT_PROMPT": "JP: 車両カスタマイズを終了します\nよろしいですか？ || CZ: Opravdu chceš ukončit úpravu vozu?"
"VCUST_EXTRA_HIGH_PROFILE": "JP: 超厚型 || CZ: EXTRA VYSOKÝ PROFIL"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "JP: キャット&マウス：最高獲得ポイント || CZ: NA KOČKU A NA MYŠ: NEJVÍCE DOSAŽENÝCH BODŮ"
"STAT_SHOTGUN_HIT_PCT": "JP: ショットガン命中率 || CZ: PROCENTO ZÁSAHŮ S BROKOVNICÍ"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "JP: ガーディアンエンジェル：始末した敵 || CZ: STRÁŽNÝ ANDĚL: ZABITÍ ÚTOČNÍCI"
"STAT_MUGGINGS_COMPLETED": "JP: 路上強盗の成功回数 || CZ: DOKONČENÁ PŘEPADENÍ"
"ESCORT_NAME_13B": "JP: ツイスター || CZ: TORNÁDO"
"CUST_ITEM_VIEW_OUTFITS": "JP: 衣服セットを見る || CZ: PROHLÉDNOUT DOSTUPNÉ KOMPLETY"
"STAT_COMBAT_MELEE": "JP: 格闘キル || CZ: ZABITÍ ZBLÍZKA"
"STAT_MUGGINGS_CASH": "JP: 路上強盗で稼いだ金額 || CZ: PENÍZE ZÍSKANÉ Z PŘEPADENÍ"
"STAT_MILES_ON_FOOT": "JP: 徒歩での移動距離 || CZ: UŠLÉ MÍLE CELKEM"
"NO_OUTFITS_DISPLAY_NAME": "JP: 衣服がありません || CZ: ŽÁDNÉ KOMPLETY"
"VEHICLE_COLOR_ADVANCED": "JP: 基本 || CZ: ZÁKLADNÍ"
"STORE_CRIB_CLOTHING_MSG": "JP: クローゼットを見る || CZ: OTEVŘÍT ŠATNÍK"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "JP: マルチキル合計 || CZ: HROMADNÁ ZABITÍ"
"STAT_FLASHPOINTS_COMPLETED": "JP: クリアした抗争スポット || CZ: ZMAŘENÉ OPERACE GANGU"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "JP: 挑発した人数 || CZ: URÁŽKY CELKEM"
"ESCORT_NAME_17A": "JP: ヘアリー || CZ: ZARŮSTAJÍCÍ"
"ESCORT_NAME_4A": "JP: アングリー || CZ: ZLOBÍCÍ"
"PLANET_SAINTS_NAME": "JP: PLANET SAINTS || CZ: PLANET SAINTS"
"GARAGE_REPAIR_COST": "JP: %sドル払いますか？ || CZ: Chceš zaplatit %s?"
"STAT_HOLDUPS_STORES_ROBBED": "JP: 強盗に入った店舗 || CZ: VYKRADENÉ OBCHODY"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "JP: 車のカスタマイズに使った金額 || CZ: NÁKLADY NA VYLEPŠENÍ AUT"
"STAT_CAT_MOUSE_LOSSES": "JP: キャット&マウス：敗北 || CZ: NA KOČKU A NA MYŠ: PROHRY"
"STAT_DRIVING_BURNOUT_TIME": "JP: 最長バーンアウト || CZ: NEJDELŠÍ SPÁLENÍ"
"ESCORT_NAME_15A": "JP: ブラウン || CZ: PRDELNÍ"
"ESCORT_NAME_6A": "JP: マッシュルーム || CZ: PLESNIVĚJÍCÍ"
"STAT_TAUNT": "JP: 挑発 || CZ: URÁŽKY"
"STAT_WATERCRAFT_DESTROYED": "JP: 破壊した船舶 || CZ: ZNIČENÁ PLAVIDLA"
"STAT_CARS_UNLOCKED": "JP: 解除した車 || CZ: ODEMČENÁ AUTA"
"STAT_COMBAT_HEADSHOT": "JP: ヘッドショット || CZ: ZÁSAHY DO HLAVY"
"HASH_ABE420A4": "JP: 利用可能オプションなし || CZ: ZATÍM NENÍ NIC K DISPOZICI"
"VCUST_HUBCAP_NUMBER": "JP: ホイールキャップ{0} || CZ: POKLICE #{0}"
"STAT_MILES_BY_WATERCRAFT": "JP: 船舶で航行した距離 || CZ: MÍLE URAŽENÉ PO VODĚ"
"STATS_NO": "JP: いいえ || CZ: NE"
"STAT_SHOT_HIT_PERCENTAGE": "JP: 命中率 || CZ: PŘESNOST ZÁSAHŮ"
"ESCORT_NAME_13A": "JP: バックドア || CZ: ANÁLNÍ"
"STAT_DRIVING_WHEELIE": "JP: ウィリー || CZ: JÍZDA PO ZADNÍM KOLE"
"STAT_UNIQUE_VEHICLES_OWNED": "JP: 所有改造車 || CZ: RŮZNÝCH VOZIDEL V GARÁŽI"
"STATS_BLANK_OF_BLANK": "JP: %d／%d || CZ: %d Z %d"
"GARAGE_CAT_4": "JP: ホイール || CZ: KOLA"
"STAT_THROWN_WEAPON_USES": "JP: 投てき武器使用回数 || CZ: POUŽITÉ VRHACÍ ZBRANĚ"
"ESCORT_NAME_11A": "JP: ドリッピング || CZ: KAPAJÍCÍ"
"ESCORT_NAME_2A": "JP: ラスティ || CZ: REZAVĚJÍCÍ"
"HORDE_MODE_ALL_ENEMIES_KILLED": "JP: 敵を消去した！ || CZ: Nepřátelé byli pobiti!"
"STAT_WEAPON_RIFLE": "JP: ライフル || CZ: PUŠKA"
"STAT_COOP_STRONGHOLDS_COMPLETED": "JP: 協力プレイ：クリアした拠点制圧 || CZ: KOOPERATIVNÍ REŽIM: DOKONČENÉ PEVNOSTI"
"GENERAL_YOU": "JP: お前 || CZ: TY"
"STAT_CAT_MOUSE_KILLS": "JP: キャット&マウス：キル || CZ: NA KOČKU A NA MYŠ: ZABITÍ"
"STAT_RIFLE_SHOTS_FIRED": "JP: ライフル発砲回数 || CZ: VYPÁLENÉ RÁNY Z PUŠKY"
"GARAGE_CAT_1": "JP: ボディ改造 || CZ: VZHLED"
"STORE_CLOTHING_STORE_MSG": "JP: 服を購入 || CZ: KOUPIT OBLEČENÍ"
"MENU_SWAP_WEAPONS_CACHE": "JP: 武器庫 || CZ: SKLADIŠTĚ ZBRANÍ"
"STORE_TITLE_PURCHASING": "JP: 購入 || CZ: NÁKUP"
"STAT_VEHICLES_HIJACKED": "JP: 強奪した車両 || CZ: UKRADENÁ VOZIDLA"
"STAT_HOSTAGE_CASH": "JP: 人質で稼いだ金額 || CZ: PENÍZE ZÍSKANÉ Z ÚNOSŮ"
"TIME_SET_MIDNIGHT": "JP: 時間設定 深夜 || CZ: NASTAVENÍ ČASU NA PŮLNOC"
"STORE_CHOOSE_A_CATEGORY": "JP: カテゴリーを選択 || CZ: VYBER SI KATEGORII"
"STORE_ZOOM_ROTATE": "JP: ズーム／回転 || CZ: PŘIBLÍŽENÍ/NATOČENÍ"
"STAT_DRUG_PACKAGES_FOUND": "JP: 見つけたサプリパッケージ || CZ: NALEZENÉ BALÍČKY S DROGAMI"
"STORE_EXIT_CLIPBOARD": "JP: 切り抜きの閲覧を終了しますか？ || CZ: Zavřít schránku?"
"STAT_HITMAN_TARGETS_ELIMINATED": "JP: 始末したヒットマンのターゲット || CZ: DOKONČENÉ ATENTÁTY"
"STAT_BIKES_DESTROYED": "JP: 破壊したバイク || CZ: ZNIČENÉ MOTORKY"
"STAT_MELEE_KILLS": "JP: 格闘で倒した人数 || CZ: ZABITÍ ZBLÍZKA"
"STATS_YES": "JP: はい || CZ: ANO"
"ESCORT_NAME_8A": "JP: ゴールデン || CZ: TŘPYTÍCÍ"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "JP: 終了する前に変更をセーブ\nしますか？  || CZ: Chceš před ukončením uložit změny?"
"STAT_SMG_SHOTS_FIRED": "JP: サブマシンガン発砲回数 || CZ: VYPÁLENÉ RÁNY ZE SAMOPALU"
"STAT_SWAT_KILLED": "JP: 倒したSWAT隊員 || CZ: ZABITÍ PŘÍSLUŠNÍCI SWAT"
"COMPLETION_STYLE_BONUS": "JP: スタイルボーナス || CZ: BONUS ZA STYL"
"PURCHASEABLE_PROPERTEY_THUNDER": "JP: THUNDER PUMP || CZ: THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "JP: タンクメイヘム：与えた損害額 || CZ: TANKOVÝ MASAKR: ZPŮSOBENÉ ŠKODY"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "JP: 最大警察悪評度（時間） || CZ: DOBA PŘI MAXIMÁLNÍ POZORNOSTI POLICIE"
"STAT_LONGEST_POWERSLIDE_TIME": "JP: ドリフトの最長時間 || CZ: NEJDELŠÍ JÍZDA SMYKEM"
"STAT_TOTAL_MONEY": "JP: 取得金額総計 || CZ: VYDĚLANÉ PENÍZE"
"ESCORT_NAME_19A": "JP: スピッティング || CZ: PLIVAJÍCÍ"
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "JP: セーブデータが見つかりませんでした。\n新たにゲームを開始しますか？ || CZ: Nebyly nalezeny žádné dříve uložené soubory.\nChceš spustit novou hru?"
"STORE_UNDERWEAR_WARNING": "JP: 警告 || CZ: POZOR"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "JP: FRIENDLY FIRE || CZ: FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "JP: メイン武器がアップグレードされた！ || CZ: Primární zbraň byla vylepšena!"
"GARAGE_CAT_5": "JP: 詳細 || CZ: DETAILY"
"STAT_CAT_MOUSE_TIME": "JP: キャット&マウス：プレイ時間 || CZ: NA KOČKU A NA MYŠ: CELKOVÝ ČAS"
"STAT_FRAUD_CASH_CLAIMED": "JP: 保険金詐欺：請求金額 || CZ: POJISTNÝ PODVOD: POŽADOVANÁ ČÁSTKA"
"STAT_DIVERSION_CASH_EARNED": "JP: デバージョンで稼いだ金額 || CZ: PENÍZE ZA DIVERZE"
"STAT_BASE_OWNED": "JP: 所有パラシュート || CZ: VLASTNÍ PADÁK"
"STORE_CAR_MECHANIC_MSG": "JP: 車両を整備 || CZ: NAVŠTÍVIT MECHANIKA"
"STAT_NEIGHBORHOODS_EXPLORED": "JP: 探索した縄張り || CZ: PROZKOUMANÉ ČTVRTI"
"ESCORT_NAME_32B": "JP: メイトリアーク || CZ: MATRONA"
"STAT_MISSIONS_FAILED": "JP: 失敗したミッション || CZ: NEÚSPĚŠNÉ MISE"
"STAT_CAT_MOUSE_DEATHS": "JP: キャット&マウス：デス || CZ: NA KOČKU A NA MYŠ: ÚMRTÍ"
"STAT_COOP_TIME_PLAYED": "JP: 協力プレイ：プレイ時間 || CZ: KOOPERATIVNÍ REŽIM: DOBA HRANÍ"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "JP: 日本刀で倒して獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABITÍ MEČEM NA MOTORCE"
"STAT_MAX_STUNT_JUMP_DISTANCE": "JP: ジャンプ最長距離 || CZ: MAXIMÁLNÍ VZDÁLENOST SKOKU"
"ESCORT_NAME_30B": "JP: ノリス || CZ: NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "JP: 作成の確認 || CZ: POTVRZENÍ VYTVOŘENÍ"
"GARAGE_REPAIR_MUST": "JP: 車両を修理しないとカスタマイズできません || CZ: VŮZ NEMŮŽEŠ UPRAVIT, DOKUD NEBUDE ÚPLNĚ OPRAVENÝ"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "JP: 最大デッカー悪評度（時間） || CZ: DOBA PŘI MAXIMÁLNÍ POZORNOSTI DECKERŮ"
"STAT_SURFING_RESPECT": "JP: カーサーフィンで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA SURFOVÁNÍ"
"STAT_COMBAT_NUTSHOT": "JP: 急所攻撃 || CZ: ZÁSAHY DO ROZKROKU"
"HORDE_MODE_NEW_TEXT": "JP: 千人切りモードのメニューに戻りますか？ || CZ: Opravdu chceš kurví režim restartovat?"
"STAT_SNATCH_LEVELS_COMPLETED": "JP: クリアしたスカウト || CZ: DOKONČENÉ MISE SOUBOJ PASÁKŮ"
"ESCORT_NAME_36B": "JP: ビショップ || CZ: BISKUP"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "JP: 最終ウェーブクリア || CZ: POSLEDNÍ VLNA BYLA DOKONČENA"
"STAT_BRUTES_KILLED": "JP: 倒したブルート || CZ: ZABITÁ MONSTRA"
"ESCORT_NAME_28A": "JP: ウィッキド || CZ: HŘEŠÍCÍ"
"STAT_STRONGHOLDS_COMPLETED": "JP: クリアした拠点 || CZ: DOKONČENÉ PEVNOSTI"
"STAT_DRIVING_DRIFTING_DISTANCE": "JP: 最長ドリフト || CZ: NEJDELŠÍ JÍZDA SMYKEM"
"STAT_DRIVING_BIGAIR": "JP: ビッグエアジャンプ || CZ: VELKÉ SKOKY"
"STAT_CUSTOM_ITEMS_OWNED": "JP: 所有カスタマイズアイテム || CZ: POČET NABYTÝCH PŘEDMĚTŮ"
"STAT_CHOPSHOP_COMPLETED": "JP: クリアした「ヤミ改造工場」 || CZ: DOKONČENÉ AUTODÍLNY"
"ESCORT_NAME_34B": "JP: マンティス || CZ: KUDLANKA"
"HORDE_MODE_NEW_WAVE_MESSAGE": "JP: ウェーブ%i || CZ: VLNA %i"
