// extra_dumps: activity - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CHOPSHOP_VIEW_DETAILS": "VIEW DETAILS"
"ACT_FRAUD_BONUS_AIR_TIME": "AIRTIME BONUS"
"ACT_ESCORT_IRS_SPAWNED": "EVADE THE [format][color:red]IRS[/format]"
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "YOU UNCOVERED A TRAP! KILL ALL THE [format][color:red]MORNINGSTAR[/format] BEFORE RECRUITING THE [format][color:green]HOS[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]CLIENT[/format] WANTS THE ENTERTAINER TO DO THE WICKED WICK"
"ACT_WHORED_MINIGUNBRUTE": "Mini-gun brutes incoming!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "YOU GET A BONUS FOR DESTROYING [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONUS: DESTROY %s  (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Bonus Seconds Earned!"
"ACT_VANDAL_CAR_SPORTS_MSG": "SPORTS CARS"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]YOUR HOMIE'S CAR[/format] IS NEARLY DESTROYED"
"ACT_FRAUD_GOAL": "EARN %ls BEFORE TIME RUNS OUT"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "The cars needed are indicated."
"CHOP_RETRO_SPOILER": "RETRO SPOILER"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Some [format][color:green]Saints[/format] are pinned down in a firefight.  Help them fight off their [format][color:red]attackers[/format]."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "DESTROY THE [format][color:red]AIRPLANE[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "KEEP THE TIGER DISTRACTED!"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "WAITING ON HOST"
"GAME_COMBO_TEXT": "COMBO: "
"ACT_HELI_BOAT_DELIVER_TEXT": "DELIVER THE DRUGS FROM THE BOAT TO YOUR HOMIES"
"ACT_ESCORT_TRIP_THEATER_MSG": "BRING THE [format][color:green]CLIENT[/format] TO THE [format][color:teal]XXX THEATER[/format]"
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "COMPLETE ALL %d TASKS"
"ACT_ESCORT_CAR_SWITCH_MSG": "THAT CAR IS LOOKING A LITTLE OLD, GET A NEW CAR AT THE [format][color:teal]STRIP CLUB[/format]"
"ACT_TRAFFIC_DEAL_SUCCESS": "DEAL COMPLETED.  HEAD TO THE NEXT [format][color:teal]LOCATION[/format]."
"ACT_TORCH_START_TEXT3": "CASH IN YOUR BONUS TIME BY CROSSING CHECKPOINTS"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "TOO MANY CONTACTS DIED, RECRUIT THEM {RECRUIT_DISMISS_IMG} THEN QUICKLY FLEE THE SCENE"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "The %s has a shipment of weapons coming in on the freeway.  Destroy the [format][color:red]trucks[/format] before they get to their destination."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "A list of cars needed can be found in the pause menu."
"ACT_TANK_MAYHEM_COMBO_GSI": "COMBO"
"CHOPSHOP_VEHICLES": "VEHICLES"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "CROSS ALL THE [format][color:teal]CHECKPOINTS[/format] BEFORE TIME RUNS OUT"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "MOTORCYCLE BONUS"
"ACT_FRAUD_TOTAL_LAST_HIT": "LAST HIT TOTAL"
"ACT_ESCORT_FAST_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO DRIVE AT 55 MPH FOR %d SECONDS"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "WARM THINGS UP BY MOVING {ANALOG_RS_IMG} TO THE HOT SPOT"
"ACT_ZOMBIE_TITLE": "ZOMBIE LEVEL SELECTION"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "THE DEALER WILL BE ARRESTED IN 10 SECONDS!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "THE HELICOPTER IS FULL, TAKE THE PASSENGERS TO A [format][color:blue]SAFE SPOT[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Attacker coming from [format][color:red]underneath[/format] us."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "EVADE THE [format][color:red]IRATE CLIENT[/format]"
"ACT_ZOMBIE_HUD_HIGH_SCORE": "HIGH SCORE: "
"ACT_HELI_NEWS_VAN_KILL_TEXT": "DESTROY THE NEWS VANS"
"ACT_PIMPING_CONTACT_OBJECTIVE": "RESCUE %d KINZIE'S CONTACTS AND BRING THEM BACK"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "DRIVE QUICKLY TO KEEP THE TIGER HAPPY AS YOU BUILD UP YOUR COURAGE."
"ACT_VANDAL_BONUS_COMBO_MULT": "COMBO BONUS"
"ACT_FRAUD_BONUS_WITNESS": "PEDESTRIAN WITNESS BONUS"
"ACT_ESCORT_ESCORTING_MSG": "DRIVE AROUND AND LET THE [format][color:green]CLIENT[/format] HAVE SOME FUN"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "YOUR [format][color:green]HOMIES[/format] ARE HEADING OUT ON SOME DEALS, PROTECT THEM FROM ATTACKERS"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "Your [format][color:green]homies'[/format] car ran out of gas, recruit them, and fly them [format][color:teal]home.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "VEHICLE SURFING BONUS"
"ACT_ESCORT_STOP_MSG": "STOP FOR %d SECONDS"
"ACT_ESCORT_START": "START ESCORT"
"CHOP_HOT_ROD_HOOD": "HOT ROD HOOD"
"ACT_TRAFFIC_OBJECTIVE_1": "PROTECT THE [format][color:green]DEALER[/format] WHILE THEY MAKE THEIR DELIVERIES"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "YOUR HOMIES HAVE DIED"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "THE ENTERTAINER IS WORN OUT, GET A FRESH GIRL AND A NEW CAR AT THE [format][color:teal]STRIP CLUB[/format]"
"ACT_ZOMBIE_CANT_REVIVE": "You need at least 1 food item to revive someone!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "FAVORITE TARGET"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} RECRUIT [format][color:green]HOS[/format]"
"ACT_FRAUD_BONUS_DONE": "MOVE ON TO ANOTHER [format][color:teal]BONUS AREA[/format]"
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "GUARDIAN ANGEL"
"ACT_TORCH_RACE_TARGETS": "KILL THE [format][color:red]MARKED TARGETS[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "RECRUIT THE [format][color:green]HOS[/format] AND BRING THEM BACK TO [format][color:teal]ZIMOS[/format]"
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "WAITING FOR HOST TO PLACE ANY WAGER ON THE NEXT ROUND"
"ACT_TANK_MAYHEM_START": "START TANK MAYHEM"
"GAMEPLAY_BUSTED": "YOU'RE BUSTED!"
"ACT_VANDAL_SUMMARY_TOTAL": "TOTAL"
"ACT_FRAUD_OBJECTIVE": "Throw your self into harms way and rack up $%d in injuries before time runs out."
"ACT_TRAFFIC_DRIVER_LOST": "THE DEALER WAS ABANDONED."
"ACT_ESCORT_PLEASURE": "PLEASURE "
"ACT_ESCORT_KILL_MSG": "KILL THE [format][color:red]TARGET[/format]"
"CHOP_LUXERY_BODY_KIT": "LUXURY BODY KIT"
"ACT_VANDAL_CAR_LUXURY_MSG": "LUXURY CARS"
"ACT_ESCORT_FAIL_LEFT_CAR": "YOU ABANDONED THE CAR"
"ACT_TRAFFIC_OBJECTIVE_2": "THE [format][color:green]DEALER[/format] MUST SUCCESSFULLY COMPLETE %d DEALS"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "They got her!  She's gone."
"ACT_ESCORT_TRIP_MOTEL_MSG": "BRING THE [format][color:green]CLIENT[/format] FOR SOME HOURLY FUN AT THE [format][color:teal]MOTEL[/format] "
"ACT_PIMPING_FAIL_KILLED_CONTACT": "YOU KILLED ONE OF THE CONTACTS"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "STRONGHOLD CANCELLED"
"ACT_FRAUD_NAME": "INSURANCE FRAUD"
"ACT_FRAUD_GO_SCORING_AREA": "GO TO THE [format][color:teal]%ls DISTRICT[/format]"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "THE HELPER DIED"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Your client didn't like being a human shield."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "DON'T LET THOSE NEWS VANS GET ANY FOOTAGE"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format] seconds earned!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "THE [format][color:green]CONTACTS[/format] HAVE BEEN TAKEN AWAY, RESCUE THEM"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "FRAUD CRAZY CARS RECORD"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]CLIENT[/format] WANTS THE SAINTS ROW SPECIAL"
"ACT_ESCORT_RETURN_MSG": "RETURN TO THE STRIP CLUB"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO CAUSE %d POINTS OF DAMAGE TO OTHER CARS WITH YOUR VEHICLE"
"CHOP_MUSCLE_RIMS": "MUSCLE RIMS"
"ACT_TRAFFIC_DRIVE_HOME": "PROTECT THE [format][color:green]DEALER[/format] WHILE DRIVING [format][color:teal]HOME[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "CRAZY DRIVER BONUS"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "You killed the celeb, the enemy rejoices!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "FRAUD AIRTIME RECORD"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "GANGBANG BONUS"
"ACT_CHOP_LIST": "Bring cars from the list back to the [format][color:green]chop shop[/format]."
"ACT_HELI_KILL_CARS_START_MESSAGE": "DESTROY THE [format][color:red]CARS[/format]"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO {HANDBRAKE_IMG} POWERSLIDE FOR %d SECONDS"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PICKUP TRUCKS"
"ACT_VANDAL_COMBO_BREAKER_MSG": "COMBO BREAKER!"
"ACT_TRAFFIC_DRIVER_DEAD": "THE DEALER WAS KILLED."
"ACT_TORCH_OBJECTIVE_02": "EARN EXTRA TIME BY DOING DAMAGE, THEN CROSSING CHECKPOINTS"
"ACT_HUMAN_TORCH_START": "START TRAIL BLAZING"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "THE [format][color:red]COPS[/format] ARE TAILING YOU!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "YOU RAN OUT OF TIME"
"ACTIVITY_SUCCESS_SUB_TEXT": "COMPLETED"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "DESTRUCTION"
"ACT_HELI_LIBERATOR_START_MESSAGE": "A NUMBER OF SAINTS HAVE BEEN ARRESTED, DAMAGE THE [format][color:red]BUSES[/format] TO STOP THEM, THEN FLY THE SAINTS TO SAFETY"
"ACT_FRAUD_CHANGE_LOCATION": "THE [format][color:teal]SCORING AREA[/format] HAS MOVED"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "Use {ANALOG_RS_IMG} to find the Tiger's itch.  Then carefully scratch it with {ANALOG_LS_IMG}"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "CLOSE CHAOS BONUS"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "KILL THE [format][color:red]COPS[/format] AND RESCUE THE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "A [format][color:red]DECKER[/format] IS GRABBING ONE OF THE [format][color:green]CONTACTS[/format], GET THEM BACK!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "YOU NEED MORE [format][color:green]HOS[/format]"
"ACT_ESCORT_AIR_MSG": "Get %.2f seconds of air time"
"ACT_PIMPING_TRAP_GET_CONTACTS": "GOOD JOB, NOW GET THE [format][color:green]CONTACTS[/format]!"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "ATTACKER COMING FROM [format][color:red]BEHIND[/format] THE CLIENT"
"ACT_FRAUD_DONT_KILL": "YOU WILL BE PENALIZED FOR EACH PERSON YOU KILL"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "TAKE THE [format][color:green]CLIENT[/format] FOR EXTRA FUN AT THE [format][color:teal]BROTHEL[/format]"
"ACT_VANDAL_HELICOPTER_MSG": "HELICOPTERS"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "BONUS SECONDS ARE ADDED TO REMAINING TIME AT CHECKPOINTS"
"ACT_FRAUD_BONUS_LOCATION": "IF YOU TAKE A DIVE WITHIN THE AREA INDICATED ON THE MINI MAP, YOU WILL RECEIVE A BONUS"
"ACT_ESCORT_FOOTAGE": "FOOTAGE "
"ACT_VANDAL_COMBO_TOTAL": "COMBO TOTAL: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "IT'S A TRAP! KILL ALL [format][color:red]DECKERS[/format] BEFORE RECRUITING THE [format][color:green]CONTACTS[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "SET CHARGES TO DESTROY THIS [format][color:blue]STRUCTURE[/format]"
"GAMEPLAY_SMOKED": "YOU'RE SMOKED!"
"ACTIVITY_FAILURE_SUB_TEXT": "FAILED"
"ACT_TRAFFICKING_NAME": "TRAFFICKING"
"CHOP_SPORT_FRONT_BUMPER": "SPORT FRONT BUMPER"
"ACT_ESCORT_NEWS_WARNING_MSG": "IF YOU GET TOO CLOSE TO A NEWS VAN, THE PLEASURE METER WILL STOP INCREASING"
"CHOP_OFF_ROAD_1_BUMPERS": "OFF ROAD 1 BUMPERS"
"ACT_VANDAL_START_3_MSG": "IF YOU DESTROY THINGS IN QUICK SUCCESSION, YOU WILL EARN A COMBO BONUS"
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "WOULD YOU LIKE TO BET YOU CURRENT WINNINGS FOR DOUBLE OR NOTHING ON THE NEXT LEVEL?\n\nFINISH THE NEXT LEVEL SUCCESSFULLY, AND DOUBLE YOUR MONEY!!!  JUST DON'T MESS IT UP OR YOU'LL WALK AWAY WITH NOTHING.\n\nWHAT DO YOU SAY?"
"ACTIVITY_NAME_ESCORT": "ESCORT"
"ACT_ZOMBIE_FAIL": "YOU FAILED TO FIGHT OFF THE ZOMBIES"
"ACT_VANDAL_BONUS_TOTAL": "TOTAL"
"ACT_VANDAL_PROPERTY": "PROPERTY"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "THE [format][color:red]NEWS HELICOPER[/format] IS RAISING YOUR POLICE NOTORIETY!"
"ACT_TORCH_START_TEXT1": "HIT GASOLINE TRAILS AND BARRELS TO MAKE HUGE EXPLOSIONS"
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "Deliver the car to the chop shop."
"ACT_PIMPING_RESCUE_KILL_COPS": "KILL THE [format][color:red]COPS[/format] AND RESCUE THE [format][color:green]HOS[/format]"
"ACT_HELI_START": "START HELI ASSAULT"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "PICK UP THE SAINTS AND FLY THEM TO A [format][color:blue]SAFE SPOT[/format]"
"ACT_VANDAL_SMG_MSG": "SUBMACHINE GUN"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "VERTICAL DISTANCE BONUS"
"ACT_TRAFFIC_DEALING_PROTECT": "PROTECT THE [format][color:green]DEALER[/format] AND THE [format][color:green]BUYER[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "KILL THE [format][color:red]DECKERS[/format] AND RESCUE THE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]HOS[/format]"
"ACT_TRAFFIC_DEALER_ATTACK": "THE [format][color:green]DEALER[/format] IS UNDER ATTACK"
"ACT_PIMPING_RECAPTURE_START": "A [format][color:red]MORNINGSTAR[/format] IS GRABBING ONE OF YOUR [format][color:green]HOS[/format], GET HER BACK"
"ACT_FRAUD_BONUSES": "YOUR BONUS(ES) ARE:"
"ACT_VANDAL_BONUS_MSG": "BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "GOOD JOB, NOW GET THE [format][color:green]HOS[/format]!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "ATTACKER COMING FROM [format][color:red]RIGHT[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "PINBALL BONUS"
"ACT_ESCORT_FAIL_FOOTAGE": "TOO MUCH FOOTAGE WAS TAKEN, USE SIDE STREETS TO EVADE"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "Use {ANALOG_RS_IMG} to find the special spot, then hit it with {ANALOG_LS_IMG}"
"ACT_ESCORT_OBJECTIVE_MSG": "Please the [format][color:green]client[/format] by driving them around town with an escort and avoiding the paparazzi."
"ACT_VANDAL_CAR_STANDARD_MSG": "SEDANS"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "GET CLOSER TO THE [format][color:green]HOS[/format]"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "SEMIS"
"ACT_VANDAL_AIRPLANE_MSG": "AIRPLANES"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "THE [format][color:green]HOS[/format] HAVE BEEN TAKEN, GO RESCUE THEM"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "YOUR CAR WAS DESTROYED"
"HASH_6A5B3243": "ACTIVITY NOT AVAILABLE"
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "Turkeys wouldn't fear you."
"ACT_WHORED_SAUSAGE_FEST": "A nice, hearty supply of sausage."
"ACT_PIMPING_CONTACTS_COLON": "CONTACTS:"
"ACT_GUARDIAN_ANGEL_NAME": "GUARDIAN ANGEL"
"ACT_TRAFFIC_DEALER_WAITING": "THE [format][color:green]DEALER[/format] IS READY TO DRIVE."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "SHOOT AT THE [format][color:red]BUSES[/format] TO STOP THEM"
"ACT_ESCORT_SPOUSE_SPAWNED": "EVADE THE [format][color:green]CLIENT'S[/format] [format][color:red]SIGNIFICANT OTHER[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "CHAIN BONUS"
"ACT_ESCORT_ALMOST_LOSE_MSG": "THE MEDIA ALMOST HAS ENOUGH FOOTAGE"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "ACCOMMODATE ALL THE CLIENT'S NEEDS"
"ACT_FRAUD_VISIT_BONUS_AREA": "SPECIALLY MARKED [format][color:teal]LOCATIONS[/format] ON THE MAP WILL EARN YOU EXTRA ADRENALINE"
"ACT_FRAUD_HUD_MULT_X": "X"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "PEOPLE KILLED"
"ACT_HELI_PROTECTION_HUD_TEXT": "STOPS MADE"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO GET %d VEHICLE NEAR MISSES IN A ROW"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "KILL THE [format][color:red]MORNINGSTAR[/format] AND RESCUE THE [format][color:green]HOS[/format]"
"ACT_HUMAN_TORCH_TITLE": "TRAIL BLAZING LEVEL SELECTION"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "Spotter has seen a [format][color:red]helicopter[/format] coming."
"ACT_FRAUD_NO_SCORE": "YOU TOOK A DIVE OUTSIDE OF THE [format][color:teal]SCORING AREA[/format], YOU EARNED NO MONEY"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "FRAUD WITNESS RECORD"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "FRAUD DISTANCE RECORD"
"ACT_VANDAL_BONUS_WEAPON": "WEAPON BONUS"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "YOU NEED MORE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "IT'S A TRAP! KILL ALL [format][color:red]MORNINGSTAR[/format] BEFORE RECRUITING THE [format][color:green]HOS[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]YOUR HOMIE'S CAR[/format] IS BADLY DAMAGED"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Time ran out."
"ACT_VANDAL_PEDESTRIAN": "PEDESTRIAN"
"ACT_VANDAL_IN_DISTRICT_MSG": "Using the weapons provided destroy objects, vehicles, and people to earn money."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "RAM AND DESTROY PEOPLE AND CARS FOR BONUS TIME AS YOU RACE TO THE FINISH"
"ACT_FRAUD_ADRENALINE_READY": "ADRENALINE MODE ACTIVE"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "BIG CARS"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} HASN'T COMPLETED)"
"ACT_LEVEL_7": "LEVEL 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "Spotter has seen a [format][color:red]car[/format] driving up."
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "THE HELICOPTER IS FULLY LOADED, TAKE THE PASSENGER TO [format][color:blue]SAFETY[/format]"
"ACT_FRAUD_HITS_HUD": "HITS:"
"ACT_ESCORT_LIMO_MSG": "TAKE THE [format][color:green]CAR[/format] AND PICK UP THE CLIENT"
"ACT_WHORED_OLD_SCHOOL": "No sprint, no health regeneration; only a shotgun and your will to live."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "IT'S A TRAP! RECRUIT THE [format][color:green]HOS[/format] AND GET AWAY."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "THE AIRPORT"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONUS: DESTROY %s  (+$%d)"
"ACT_TRAFFIC_PROTECT_M": "PROTECT THE [format][color:green]DEALER[/format] DURING TODAY'S DELIVERIES"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]HO[/format]"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "YOU HAVE %d SECONDS TO GET AWAY FROM THE TARGET"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "WINDSHIELD CANNON BONUS"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} POWERSLIDE FOR %0.1f SECONDS TO CALM THE TIGER"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "YOU SUNK THE CAR"
"ACT_VANDAL_TEAM_BONUS_MSG": "Killing %ls will give you a bonus."
"ACT_ESCORT_CLIENT_MSG": "PICK UP THE [format][color:green]CLIENT[/format]"
