// extra_dumps: customize - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"CUST_ITEM_LEATHER_LACE_MALE_K": "LADIES' MAN"
"CUST_CAT_BACKPACK": "BACKPACK"
"STORE_WEAPON_LEVEL": "LEVEL {0}"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "URBAN SAFARI TANK TOP"
"CUST_FACIAL_ITEMS": "ITEMS"
"CUST_INSULT_S": "NECK SLICE"
"CUST_EYE_COLOR": "EYE COLOR"
"LOGO_MUSEUM_ART": "ART MUSEUM"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI WITH TEE"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "RAWK WRISTBAND"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "DEATHCORE BOOTS"
"CUST_ITEM_BANK_HEIST": "BANK HEIST"
"CUST_MENU_GLOBAL": "BODY"
"PLAYER_MORPH_EAR_LOBE_TEXT": "EAR LOBE"
"CUST_ITEM_CM_BASIC_PARACHUTE": "BASIC PARACHUTE"
"PLAYER_FAT_TEXT": "FAT"
"CUST_VARIANT_LEOPARD": "LEOPARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "ZERO TO SIXTY SUIT"
"SLOT_JUNK/CLUTTER": "JUNK/CLUTTER"
"CUST_COLOR_BLUE_2": "BLUE 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAG HELMET"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "LEATHER BIKER PANTS"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "LEATHER AND LACE WRISTBAND"
"CUST_ITEM_CF_CURLERS": "50'S HOUSEWIFE"
"CUST_SAMEDI_COMPLIMENT_B": "SAMEDI COMPLIMENT 2"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "NOSTRIL HEIGHT"
"CUST_SKIN_SMURF": "BLUE ELF"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "BRIDGE DEPTH"
"SURGEON_CAT_EXPORT": "EXPORT"
"CUST_SKIN_RED_YELLOW_3": "PRINCESS PINK"
"CUST_SKIN_METAL_4": "EMERALD"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "IRIS SIZE"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "BROW DEPTH"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "THE MARSHA"
"PLAYER_CREATION_COLOR": "COLOR"
"STORE_WEAPON_AVAILABLE": "AVAILABLE"
"PLAYER_CREATION_ADVANCED": "ADVANCED"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "HAT 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND MALE B"
"FACIAL_EXPRESSION_SURPRISED": "SURPRISED"
"CUST_WEAR_AGAINST SKIN": "SKIN"
"CUST_ITEM_CF_HAIR_LONGASYM": "LOPSIDED"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "CASUAL SKIRT"
"CUST_GENDER": "GENDER"
"CUST_TATTOO_LEGS": "LEGS"
"CUST_COMPLIMENT_T": "APACHE"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "CHEEK SPACING"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BOWLER HAT"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "SAINTS STYLE RINGS"
"CUST_VARIANT_PATTERN_B": "STYLE 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ACID HOUSE HAT"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "POCKET ROCKET JACKET"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "MOUTH ELEVATION"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "OG HOODIE"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "CANDY GIRL TANK TOP"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "FOREHEAD WIDTH"
"CUST_ITEM_CF_RING_F_RAVERSET": "ACID HOUSE RINGS"
"CUST_TATTOO_UPPER_ARM_LEFT": "UPPER LEFT ARM"
"CUST_VARIANT_THICK_EYESHADOW": "THICK"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "RIGHT UNZIPPED, HIGH"
"CUST_SKIN_ASIAN_02": "ASIAN 2"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSCULARITY"
"PLAYER_MORPH_ASIAN_TEXT": "ASIAN"
"CUST_SKIN_CAUCASIAN_03": "CAUCASIAN 3"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "FRONT SPINNERS"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "GYM RAT"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "MAMBA LEATHER JACKET"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "CHIN HEIGHT"
"HAIR_COLOR_REDHEAD": "REDHEAD"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DRUG DEALER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "STEELPORT HEROINE GLOVES"
"CUST_TATTOO_TORSO_BACK": "WHOLE BACK"
"PLAYER_MORPH_CROWN_TEXT": "CROWN"
"WARDROBE_NONE": "NONE"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "DISCO BISCUIT BEADS"
"CUST_ITEM_SHADES_11": "FUGLY SHADES"
"CUST_CAT_FINGERNAILS": "FINGERNAILS"
"CUST_TATTOO_HEAD_TOP": "HEAD TOP"
"CUST_BRO_COMPLIMENT_D": "BROTHERHOOD COMPLIMENT 4"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO DESIGN"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "STEELPORT STREET CAP"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BEEP BOOP BRACELET"
"PLAYER_CREATION_AGE_MIDDLE": "MIDDLE AGED"
"PLAYER_MORPH_NOSE_YAW_TEXT": "NOSE YAW"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "NOSE LENGTH"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "BARELY THERE SAINTS G STRING"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "SWEATBAND"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "UNTUCKED, TOP BUTTON TIE"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "OG SWEATSHIRT"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "STREET FIGHTER"
"CUST_ITEM_6_LOOPS_LEFT": "6 LOOPS"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "EYELID FOLD"
"COMPONENT_PAINT_3": "PAINT 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "FLAWLESS BEAUTY"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS MALE C"
"CUST_ITEM_BASEBALL_CAP": "BASEBALL CAP"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "CAPTAIN'S HAT"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "UPPER LID SLANT"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "NOSE SHAPE"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "BRIDGE WIDTH"
"FACIAL_EXPRESSION_PAIN_B": "ANGUISH"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "BROW WIDTH"
"LOGO_SHARKS_1": "SHARKS 1"
"CUST_WEAR_FORWARD_LEFT": "FORWARD LEFT"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "WRISTBAND"
"CUST_ITEM_FEMALE_LL_BRA_5": "COVER YOUR NIPS"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "SAINTS STREETWALKS"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "MALE MODEL SHOES"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "TIP SIZE"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "CHIN LENGTH"
"CUST_COLOR_BRIGHT_RED": "BRIGHT RED"
"LOGO_FIST": "FIST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "DARK SKINNIES"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "FLEUR DE SAINTS CAP"
"CUST_COMPLIMENT_P": "THE SILVER BULLET"
"CUST_COLOR_ROSE_1": "ROSE 1"
"CUST_VARIANT_HEARTS_BIG": "BIG HEARTS"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "SUPERHERO MASK"
"CUST_VARIANT_THIN_STRIPES": "THIN STRIPES"
"CUST_MENU_EXIT": "START GAME"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "WILD RUNWAY SWEATER"
"CUST_VARIANT_SEMI_GLOSSY": "SEMI-GLOSSY"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "FOREHEAD HEIGHT"
"PLAYER_MORPH_CHEEKBONES_TEXT": "CHEEKBONES"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "HILLS PARISIAN STYLE"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "NOSE HEIGHT"
"COLOR_SLOT_RIM_1": "COLOR SLOT RIM 1 (SHOULD NOT BE USED)"
"CUST_VARIANT_BADGELESS": "NO BADGE"
"CUST_VARIANT_STRIPES": "HORIZONTAL STRIPES"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "BE MY VALENTINE G STRING"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "WOMENS STYLISH JACKET"
"CUST_ITEM_CM_HAIR_DREADS": "THE MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "WORK ZONE BOOTS"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "MURDERBRAWL WRAPS"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "MOUTH HEIGHT"
"STORE_WEAPON_BUY_UPGRADE": "BUY/UPGRADE WEAPONS"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "PETALS"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "LEATHER AND LACE WRISTBAND"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "NOT SO INNOCENT BOOTIE"
"CUST_COMPLIMENT_D": "IT'S NOT UNUSUAL"
"CUST_VARIANT_15_DEFAULT": "STYLE 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "STRIPED"
"CUST_VARIANT_HAT": "PLAIN"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "UPPER LIP NOTCH"
"SLOT_COCKPIT": "COCKPIT"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "AZTEC SNAKE"
"CUST_SKIN_OILED_3": "OILED HISPANIC 1"
"CUST_ITEM_CM_PSG_UBDY_M_TRACKJACKET": "TRACK JACKET"
"CUST_INSULT_K": "NATURE BOY"
"CUST_VARIANT_3COLOR_THIN": "TRI-COLOR THIN"
"CUST_VARIANT_GRADIENT": "GRADIENT"
"CUST_SKIN_BLACK_03": "AFRICAN AMERICAN 3"
"PLAYER_MORPH_CHEEKBONES_DEPTH_TEXT": "CHEEKBONE DEPTH"
"CUST_ITEM_CM_DLC_FOOT_M_PLATFORMS": "Z STYLE SHOES"
"CUST_ITEM_CF_RING_F_BIGHEART": "TRUE LOVE SET"
"CUST_EYESHADOW": "EYESHADOW"
"CUSTOM_WALK_13": "THUG STYLE 8"
"HAIR_SALON_HAIR_LENGTH": "HAIR LENGTH"
"CUST_SKIN_HISPANIC_04": "HISPANIC 4"
"PLAYER_CREATION_PRESET_ASIAN": "ASIAN"
"CUST_RONIN_COMPLIMENT_C": "RONIN COMPLIMENT 3"
"CUST_CAT_HAIR_COLOR_EYEBROWS": "EYEBROW COLOR"
"PLAYER_MORPH_EYE_STYLE_TEXT": "EYE STYLE"
"FACIAL_EXPRESSION_SCARED": "SCARED"
"PLAYER_MORPH_CROWN_HEIGHT_TEXT": "CROWN HEIGHT"
"CUST_MENU_TOTAL_LIMIT_REACHED": "You have reached the maximum number of items allowed in your wardrobe."
"CUST_ITEM_IMPRESSIONS_FEMALE_O": "URBAN SAFARI OUTFIT"
"CUST_ITEM_CM_IMPE_LBDY_M_DRESSPANTS": "HIGH CLASS SLACKS"
"FACIAL_EXPRESSION_QUIZZICAL": "QUIZZICAL"
"PLAYER_MORPH_CHIN_TEXT": "CHIN"
"CUST_ITEM_COWBOY_HAT_1": "WILD WEST HAT"
"CUST_VARIANT_KNIT": "KNIT"
"CUST_ITEM_CM_CNC_UBDY_M_WHTLOGOA": "CROOKS & CASTLES T-SHIRT D"
"CUSTOM_WALK_7": "THUG STYLE 3"
"CUSTOM_WALK_FEMALE_02": "DEFAULT FEMALE 2"
"CUSTOM_WALK_17": "THUG STYLE 12"
"COMPONENT_DECAL_2": "DECAL 2"
"CUST_VARIANT_SLEEVES": "PLAIN"
"PLAYER_MORPH_EYE_FOLDS_ELEVATION_TEXT": "EYE FOLDS HEIGHT"
"LOGO_PHEASANT": "PHEASANT HUNTER"
"CUST_VARIANT_ULTOR2": "ULTOR 2"
"CUST_VARIANT_LARGE_STRIPES": "LARGE STRIPES"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOC": "CROOKS & CASTLES T-SHIRT C"
"CUST_MORPH_CAT_JAW": "JAW"
"CUST_WEAR_UNZIPPED_HOOD_DOWN": "UNZIPPED, HOOD DOWN"
"CUST_ITEM_CF_NLMF_FOOT_F_VICTORIANBOOTS": "STEAMPUNK VICTORIAN BOOTS"
"STORE_WEAPON_NAVIGATE": "NAVIGATE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOWV": "HILLS JACKET WITH T SHIRT"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO": "STRATAGEM COMBO"
"CUSTOM_WALK_3": "THUG STYLE 2"
"CUST_ITEM_CM_UBDY_M_THEROW": "MEMBER OF THE ROW"
"CUST_ITEM_CM_HAIR_SHORT": "SLICK EXECUTIVE"
"CUST_ITEM_MINER_HAT": "MURDERBRAWL MASK"
"PLAYER_MORPH_FACE_DEPTH_TEXT": "FACE DEPTH"
"CUST_VARIANT_TWO_COLOR": "TWO COLOR"
"CUST_VARIANT_LEATHERLEATHER": "PATENT LEATHER"
"CUST_ITEM_CF_PSE_UBDY_F_GFXJERSEYCOMBO": "WOMEN'S SPORTS JERSEY"
"PLAYER_MORPH_BROW_ELEVATION_TEXT": "BROW ELEVATION"
"LOGO_NUMBER1": "NUMBER 1"
"LOGO_FEEDSUCK": "FEED DOGS SUCK"
"CUST_ITEM_CF_PSG_LWRST_F_SBAND": "SWEATBAND"
"HAIR_CAT_BALD": "BALD"
"CUST_ITEM_CF_IMPO_LBDY_F_SHORTS": "URBAN SAFARI SHORTS"
"CUST_ITEM_CF_NLMD_LBDY_F_PANTS": "HIPSTER JEANS"
"SURGEON_CAT_MORPHS": "MORPHS"
"CUST_WEAR_FINGER_LR": "LEFT RING FINGER"
"CUST_TATTOO_RIGHT_SHOULDER": "RIGHT SHOULDER"
"CUST_ITEM_FEMALE_NLM_EARRINGS_1": "FLOWER POWER EARRINGS"
"PLAYER_CREATION_FIGURE_OVERWEIGHT": "OVERWEIGHT"
"PLAYER_MORPH_CROWN_LENGTH_TEXT": "CROWN LENGTH"
"PLAYER_MORPH_CAUCASIAN_TEXT": "CAUCASIAN"
"STORE_WEAPON_OWNED_NOT_EQUIPPED": "{0} LEVEL {1}"
"CUSTOM_WALK_FEMALE_5": "LADY BOUNCE"
"CLOTHES_IMPRESS": "IMPRESSIONS"
"RIMS_AND_TRIM": "RIMS AND TRIM"
"CUST_ITEM_CM_LPE_PACK_M_MBACKPACK": "EMPIRE PACK"
"FACIAL_EXPRESSION_INSANE": "INSANE"
"CUST_COMPLIMENT_KING": "THE KING"
"CUST_MENU_MOVEMENT": "PERSONALITY"
"CANT_WEAR_BELTS": "BELTS CAN ONLY BE WORN WITH SPECIFIC PANTS"
"PLAYER_CREATION_MENU_4": "HAIR"
"CUST_ITEM_LEATHER_LACE_FEMALE_S": "DARK MAIDEN"
"CUST_ITEM_CM_PSF_LBDY_M_BSHORTS": "FREE THROW SHORTS"
"PLAYER_MORPH_SATURATION_TEXT": "SATURATION"
"CUSTOMIZATION_TITLE": "PLAYER CUSTOMIZATION"
"CUST_VARIANT_CAMOUFLAGE": "CAMO"
"CUST_ITEM_CF_HAIR_CORNROWS_1": "CORN ROWS_SKIN_FIT"
"CUST_ITEM_CM_NLMA_HAT_M_SPHAT": "HONEST ABE HAT"
"CUST_SKIN_GOLD": "GOLD"
"COMPONENT_OPTION_8": "OPTION 8"
"CUST_ITEM_CM_LPG_MASK_M_MASKAPE": "MONKEY BUSINESS"
"PLAYER_OLD_TEXT": "OLD"
"PLAYER_MORPH_CHIN_CREASE_TEXT": "CHIN CREASE"
"PLAYER_MORPH_BROW_HEIGHT_TEXT": "BROW HEIGHT"
"CUST_ITEM_CF_NLMC_LBDY_M_SKIRTPANTS": "GOTH LYFE PANTS"
"CUST_ITEM_CM_HAIR_CAESAR": "THE ROMAN"
"CUST_FACIAL_EXP_BASHFUL": "BASHFUL"
"CUST_ITEM_CF_NLMH_PACK_F_CATBACKPACK": "BAD KITTY"
"PLAYER_MORPH_NOSTRIL_ELEVATION_TEXT": "NOSTRIL ELEVATION"
"PLAYER_MORPH_LOWER_LIP_SHAPE_TEXT": "LOWER LIP SHAPE"
"LOGO_SAINTSBEER": "SAINTS BEER"
"CUST_VARIANT_HEARTS": "HEARTS"
"CUST_VOICE_ZOMBIE": "ZOMBIE"
"CUST_SEX_APPEAL": "SEX APPEAL"
"PLAYER_CREATION_FIGURE_SLENDER": "SLENDER"
"PLAYER_MORPH_EAR_INSIDE_TEXT": "EAR INSIDE"
"CUST_VARIANT_NAILS_B": "NAILS 2"
"CUST_ITEM_CM_SUIT_NORMALTESTSUIT": "NORMAL TEST SUIT"
"CUST_ITEM_MALE_NLM_OUTFIT_C": "SLACKER CHIC"
"PLAYER_MORPH_NOSTRILS_ELEVATION_TEXT": "NOSTRIL ELEVATION"
"PLAYER_MORPH_CHIN_BULGE_TEXT": "CHIN BULGE"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_SIZE_TEXT": "UPPER LIP MIDDLE SIZE"
"COMPONENT_ADD_TIRE_DURABILITY": "TIRE DURABILITY"
"SLOT_FAIRINGS": "FAIRINGS"
"LOGO_RHOMBUS": "RHOMBUS"
"CUST_VARIANT_THICK_TRI_COLOR": "THICK TRI-COLOR"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR": "STRAPPED"
"CUST_CAT_RING": "RINGS"
"CUST_INSULT_JERK": "JERK OFF"
"CUST_VARIANT_BEADS": "BEADS"
"CUST_ITEM_CM_LLK_UBDY_M_BATHROBE": "THE BATH ROBE"
"CUST_UNDERWEAR": "UNDERWEAR"
"CUST_SKIN_ORC": "GREEN ORC"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHRTTIE": "HIGH CLASS"
"CUST_ITEM_FEMALE_PS_EARRINGS_1": "FLEUR DE SAINTS EARRINGS"
"CUST_COMPLIMENT_H": "HOUSE PARTY"
"CUST_ITEM_BIKER_HELMET": "THUG HAT"
"FACIAL_EXPRESSION_ROGUISH": "ROGUISH "
"FACIAL_EXPRESSION_FEARFUL": "FEARFUL"
"CUST_BRO_TAUNT_A": "BROTHERHOOD TAUNT 1"
"CUST_ITEM_MALE_NLM_OUTFIT_G": "DEPRESSED INDIE KID"
"CUST_ITEM_CF_BOBINEYE": "BOB IN EYE"
"FACIAL_EXPRESSION_SNEER": "SNEERING"
"PLAYER_CREATION_FIGURE_BODYBUILDER": "BODYBUILDER"
"CUST_ITEM_CM_LPC_UBDY_M_HEROFALCON": "FALCONMAN"
"CUST_CAT_NECKLACE": "NECKLACE"
"CUST_SKIN_GREY_4": "STONE GOLEM GREY"
"PLAYER_MORPH_CHIN_DIMPLE_TEXT": "CHIN DIMPLE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_3": "BRITE AND TITE THONG"
"CUST_ITEM_CM_PSC_LBDY_M_DICKIES": "WORK IT PANTS"
"CUST_INSULT_C": "WESTBOUND AND UP"
"PLAYER_MORPH_NOSTRIL_THICKNESS_TEXT": "NOSTRIL THICKNESS"
"PLAYER_MORPH_CHEEKBONE_ELEVATION_TEXT": "CHEEKBONE ELEVATION"
"CUST_VARIANT_MATERIAL_5": "CUST_VARIANT_MATERIAL#5"
"CUST_ITEM_CF_DLC_SUIT_F_BCAN": "BLOODY CANONESS SUIT"
"CUST_ITEM_CF_RING_F_ROCKERSET": "HEAVY METAL RINGS"
"CUST_ITEM_CM_NLMG_LBDY_M_LOOSEPANTS": "OG PANTS"
"CUST_COMPLIMENT_L": "I STILL BELIEVE"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "CHEEK CREASE"
"CUST_CAT_MAKEUP_FOREHEAD": "FOREHEAD"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMOND STUDS"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "LOVE2RAVE BEADZ"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "TRU LOVE STUDS"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "SWASHBUCKLER"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "FACE WIDTH"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "PARTY TIME BRACELETS"
"CUST_VOICE_FEMALE_BLACK": "FEMALE 2"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "FACE GLOBAL"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "BOTTOM LIP EDGES SIZE"
"CLOTHES_RAG": "ON THE RAG"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADER"
"CUST_CAT_FACE": "FACE"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "You do not have enough money\nto purchase \"%s\"."
"CUST_SKIN_GREEN_4": "CLOVER SHAKE"
"CUST_MOVEMENT_FACE": "FACIAL EXPRESSION"
"CUST_RONIN_TAUNT_A": "RONIN TAUNT 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "CHEEKBONE SIZE"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMOND IN THE ROUGH"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALACTIC HELMET"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "UPPER EYELID HEIGHT"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "DISCO FEVER"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "EAR ELEVATION"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "URBAN LOAFERS"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "DOUBLE CHIN HEIGHT"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "CHEEK HEIGHT"
"SLOT_GAS_TANKS": "GAS TANKS"
"SLOT_BODY_COLOR": "BODY COLOR"
"LOGO_UNIVERSITY_1": "STILWATER U 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI WITH STRAIGHT NECK"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "SPACE PRINCESS TOP"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DOUBLE CHIN"
"PLAYER_GENDER_TEXT": "BODY SHAPE"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "UPPER LIP WIDTH"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "EFF YOU TWO"
"SURGEON_CAT_PRESETS": "PRESETS"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "STEELPORT HERO"
"PRESET_WARNING_BODY": "Selecting this preset will discard your current settings.\nAre you sure you want to do this?"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "BONDAGE PANTS"
"CUST_TATTOO_UPPER_CHEST": "UPPER CHEST"
"SLOT_EXHAUST_TIPS": "EXHAUST TIPS"
