// extra_dumps: hud - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"TUT_TITLE_RECRUITING": "RECRUITING"
"TUT_PAUSE_MAP": "{MAP_MENU_IMG} ACCESS CELL PHONE MAP\nAccess your Cell Phone Map now and set a GPS path to Friendly Fire."
"TUT_WHORED_MINI_SAMURAI": "TINIEST WARRIOR"
"ACHIEVE_SR3_YOURE_THE_BEST": "YOU'RE THE BEST..."
"WPN_STUNGUN_DESCRIPT": "For quick incapacitation of your target."
"RIFLE_AMMO": "RIFLE AMMO"
"PISTOL_AMMO": "PISTOL AMMO"
"CS_TITLE_SYNDICATE_BOARDROOM": "SYNDICATE BOARDROOM"
"ACHIEVE_SR3_PIMPED_OUT_PAD": "PIMPED OUT PAD"
"TEMP_SHIELD": "RIOT SHIELD"
"TUT_WHORED_SWAG_BAG": "SWAG BAG"
"USE_TRIGGER_HE_CRIB_ENTER": "TAKE THE ELEVATOR UP"
"HUD_ACT_CONTINUE": "%ls CONTINUE ACTIVITY"
"ACHIEVE_SR3_DEAD_PRESIDENTS": "DEAD PRESIDENTS"
"WPN_PISTOLPOLICE_DESCRIPT": "What you're usually dodging when the cops show up."
"SPECIAL_SNIPERRIFLE": "MCMANUS 2015"
"HUD_UNLOAD_VEHICLE_MESSAGE": "PRESS %ls TO UNLOAD VEHICLE"
"TUT_CHALLENGES": "Challenges provide bonuses for accomplishing difficult tasks. Track your progress through SaintsBook {MAP_MENU_IMG}."
"HUD_FEAR": "FEAR"
"STRONGHOLD_COOP_TITLE": "CO-OP STRONGHOLD"
"S_FOUND_A_COLLECTIBLE_YOU_MISSED": "%ls FOUND A COLLECTIBLE YOU MISSED"
"TUT_HELICOPTER_ENTRY": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} QUICK TURNING"
"SATELLITE_RC_MODE_DESTRUCT": "SELF DESTRUCT"
"HOOD_OWNED_FRACTION": "TOTAL OWNED %d/%d"
"HUD_LOAD_VEHICLE_MESSAGE": "%ls LOAD VEHICLE"
"UNL_UPGRADE_AMMO_SHOTGUN_3": "AMMO - SHOTGUN 3"
"TUT_NAG_IMPROV_WEAPONS": "REMEMBER: USE {PICKUP_RELOAD_IMG} TO PICK UP OBJECTS FROM THE WORLD AND USE THEM AS IMPROVISED WEAPONS"
"TUT_WHORED_SAUSAGEFEST": "SAUSAGE FEST"
"SATELLITE_EXIT_RC_MODE": "EXIT RC MODE"
"HOMIES_HOSPITAL_BILL": "HOSPITAL BILL FOR %ls COST %ls"
"HUD_RESPECT_RANK_005": "HOMIE"
"GENERAL_LIGHT": "LIGHT DAMAGE"
"PLAYER_CHOICE_M06_OPTION1_BODY": "REWARD: Permanent Respect Bonus"
"TUT_TITLE_BARNSTORMING_NEW": "BARNSTORMING"
"ACHIEVE_SR3_I_HEART_NYTE_BLAYDE": "I HEART NYTE BLAYDE"
"SHOTGUN_GANG": "GRAVE DIGGER"
"HUD_DOWNED_REVIVE": "REVIVE"
"UNL_DESC_RESPECT_BONUS_PURCHASE2": "10%% bonus to ALL Respect earned"
"UNL_WEEKLY_PAYMENTS_4": "BONUS - HOURLY CITY INCOME VIP"
"TUT_TITLE_GANG_CUSTOMIZE": "GANG CUSTOMIZATION"
"TUT_CITY_TAKEOVER": "{MAP_MENU_IMG} ACCESS MAP \nCheck your map to find City Takeover gameplay to increase your hourly income."
"TUT_TITLE_STORE_OWNERSHIP": "PROPERTY OWNERSHIP"
"HUD_HANGAR_NEED_VEHICLES": "ADD AIRPLANES TO ACCESS HANGAR"
"WPN_MOLOTOV_DESCRIPT": "Handy way to light things on fire."
"TUT_SHORTCUT_SPLINES": "Discovering shortcuts updates your GPS with newer/shorter paths."
"GARAGE_WATERCRAFT_ONLY": "YOU CAN ONLY STORE WATERCRAFT HERE"
"UNL_DAMAGE_VEHICLE_4": "DAMAGE - VEHICLE 4"
"FLAME_AMMO": "FLAME AMMO"
"HUD_TAUNT": "TAUNTS"
"TUT_WHORED_A_T_BIRD": "T BIRD'S WAVE"
"TUT_TITLE_RANK_UP": "RANK UP"
"TUT_TITLE_GENERAL_BUSTED": "BUSTED"
"TUT_TITLE_THROW_KILL": "HUMAN SHIELD - THROW"
"TUT_ACT_TANK_MAYHEM": "Destroy Syndicate High Value Targets around Steelport."
"TUT_TITLE_STRONGHOLD_RESPECT": "NOT ENOUGH RESPECT!"
"TUT_WHORED_HUMANTORCH": "LIGHT 'EM UP"
"HUD_CRUISE_CONTROL_ACTIVE": "CRUISE CONTROL ACTIVE"
"COOP_PLAYER_KICKED": "%ls HAS BEEN KICKED FROM THE GAME"
"CANT_STORE_PARTNERS_CAR": "YOU CAN'T STORE YOUR PARTNER'S VEHICLES"
"TUT_WHORED_PICKUPS_BODY": "Find Pick-Ups across the level to get new weapons, upgrades, and ammo."
"TUT_TITLE_OLEG_FOLLOW": "ABANDONING OLEG"
"FORMAT_TIME_MINS": "{0} mins"
"HUD_TRIGGER_DISABLED_OTHER": "YOU CAN'T VISIT HERE RIGHT NOW"
"WEP_HELI_FIGHTER_01": "MINIGUN/ROCKETS"
"HUD_TAP_BUTTON": "TAP"
"HUD_HOLD_BUTTON": "HOLD"
"HUD_PRESS_BACK_CANCEL_DIVERSION": "PRESS %ls AGAIN TO CANCEL THE DIVERSION"
"UNL_DESC_HOMIE_VTOL": "VTOL Homie can be found in your Cell Phone \"PHONE\" menu. He will deliver a VTOL to you in combat."
"UNLOCKABLE_VIEW_MAP_TEXT": "Press %s during gameplay to check your map."
"TUT_M16_CHARGE_CYBERCANNON": "{ATTACK_PRIMARY_IMG} HOLD TRIGGER"
"TUT_RECIEVE_CRIB": "You now own a crib {MAP_IMG_CRIB}.\nCribs are used to store weapons, clothes, and access Gang Customization."
"HUD_CANCEL_ACTIVITY": "RETRY OR EXIT ACTIVITY"
"HUD_METERS": "METERS"
"UNL_DEPRECATED_SR2": "MY TEXT IS FROM SR2 AND OLD, I SHOULD NOT SHOW UP IN-GAME AS THIS REWARD IS NOT VALID"
"TUT_TITLE_ACT_INTRO_ESCORT_TIGER": "TIGER ESCORT"
"TUT_OLEG_FOLLOW": "Oleg will catch up to you if you leave him behind, you don't need to wait for him."
"TUT_RECRUITING": "When a follower has joined you an icon will appear in the upper right corner. As your rank increases you will be able to recruit more followers using {RECRUIT_DISMISS_IMG}."
"WPNCAT_SHOTGUN": "SHOTGUN"
"MAP_HIDDENNAME_PROPERTY": "PROPERTY"
"UNL_WEP_DILDO_BAT": "WEAPON - PENETRATOR"
"TUT_COMBAT_GRENADES": "{ATTACK_SECONDARY_IMG} THROW GRENADE \n{WEAPON_MENU_IMG} + {DPAD_IMG} CHANGE EQUIPPED GRENADE"
"PLAYER_HAS_FULL_HEALTH": "YOU NOW HAVE FULL HEALTH"
"TUT_TITLE_COMBAT_RANGED": "RANGED COMBAT"
"WPNCAT_SPECIAL": "SPECIAL"
"TUT_TITLE_ACT_FRAUD_ADRENALINE": "ADRENALINE MODE"
"TUT_TITLE_CRIB_CASH": "MONEY STASH"
"WPN_SHOTGUNCHUM_DESCRIPT": "Avast!  There be nothin' like shootin' lubbers with fish guts to lure the elusive Steelport Sewer Shark.  Yarrr!"
"SMG_SPREAD": "CYBER BUSTER"
"SMG_CYBERSPACE": "CYBER BLASTER"
"FRIENDLY_FIRE_TURNED_ON__NYOU_CAN_NOW_DAMAGE_YOUR_PARTNER": "FRIENDLY FIRE TURNED ON\\NYOU CAN NOW DAMAGE YOUR PARTNER"
"TUT_NAG_UPGRADE_STORE": "Upgrades are available in the Cell Phone Upgrade store; purchase them to improve yourself and your gang."
"TUT_TITLE_CITY_TAKEOVER": "CITY TAKEOVER"
"TUT_TITLE_NP_TANK_CONTROLS": "TANK CONTROLS"
"TUT_CRIB_CLOSET": "This is your wardrobe. \nChange clothes here."
"WPN_SATELLITE_DRONE_DESCRIPT": "Watch from the air as you direct a missile to it's exact target."
"HUD_TRIGGER_DISABLED_NOT_UNLOCKED": "YOU CAN'T VISIT HERE UNTIL YOU'VE UNLOCKED IT"
"VEHICLE_ADDED_TO_GARAGE": "%ls ADDED TO YOUR GARAGE"
"TUT_WHORED_A_TANK": "TANK!"
"WPN_VTOL02": "LASER BEAM"
"EXPLOSIVE_SATCHEL": "SATCHEL CHARGES"
"UNL_DAMAGE_EXPLOSIVE_1": "DAMAGE - EXPLOSIVE"
"TUT_TITLE_RESPECT_DIVERSIONS": "DIVERSION HUD"
"TUT_TITLE_FLASHING": "FLASHING"
"ACHIEVE_SR3_GELLIN_LIKE_MAGELLAN": "GELLIN' LIKE MAGELLAN"
"ACHIEVE_SR3_MOURNING_STARS": "MOURNING STARS"
"UNL_DESC_DAMAGE_EXPLOSIVE_2": "10%% reduction in damage taken from Explosives"
"TUT_WHORED_MEGANINJA": "MEGA NINJA"
"TUT_AIRSTRIKE": "The Airstrike must have fully painted the target before it will rain down a missile strike."
"TUT_TITLE_GAME_WIN": "CONGRATULATIONS!"
"TUT_TITLE_DLC_BLING_SHOTGUN": "BLING SHOTGUN"
"TUT_NAG_CRIB_STASH": "Remember: Collect cash from your owned properties on your Cell Phone."
"TUT_TITLE_DIVERSION_COMPLETE": "DIVERSION COMPLETE"
"TUT_STORE_INTRO_MECHANIC_LARGE": "Large Car Mechanics let you customize and repair your larger than average vehicles. Large vehicles can only be retrieved from this mechanic or your crib garages."
"MAP_BOOKMARK": "MAP BOOKMARK"
"TUT_WHORED_Z_TEXAS_ZOMBIES": "TEXAS ZOMBIES"
"TUT_WHORED_A_TINY_PROBLEMS": "TINY PROBLEMS"
"TUT_WHORED_A_BOOM_HEADSHOT": "BOOM, HEADSHOT"
"TUT_WHORED_A_GENKI_GAMES": "GENKI GAMES"
"TUT_WHORED_D_LILLIPUTIANS": "LILLIPUTIANS"
"WPN_SHARK": "SHARK"
"EXPLOSIVE_GRENADELAUNCHER": "M2 GRENADE LAUNCHER"
"HOOD_MONEY_EARN_RATE": "MONEY EARNED PER HOUR: %s"
"UNL_DESC_UNLIMITED_SPRINT": "Unlimited Sprint, forever, no stopping"
"UNL_AMMO_DECKER_2": "WEAPON CACHE AMMO"
"UNL_DESC_CASH_MULTIPLIER_1": "Increase all Cash received by 5%%"
"SGI_RETRY": "Retry?"
"MISSION_CANCEL_SUB_TEXT": "MISSION CANCELED"
"TUT_NP_CAR_CONTROLS": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE\n{HANDBRAKE_IMG} DRIFT"
"HUD_DIVERSION_CASH": "CASH "
"TUT_UNDERCOVER": "Don't attack anyone or otherwise call attention to yourself or you'll be discovered and fail."
"TUT_TITLE_VTOL_CONTROL": "VTOL CONTROLS"
"TUT_TITLE_CRIB_CLOSET": "WARDROBE"
"TUT_TITLE_CRIB_RECEIVE": "CRIBS"
"TUT_TITLE_PUSHBACK": "PUSHBACK"
"TUT_TITLE_DIV_INTRO_MUGGING": "MUGGING"
"STRONG_CANCEL_TITLE": "RETRY OR EXIT STRONGHOLD?"
"TUT_TITLE_TAUNTING": "TAUNTS / COMPLIMENTS"
"TUT_WHORED_Z_BIG_BONED": "SHE'S BIG BONED"
"UNL_HIDDEN": "HIDDEN"
"Molotov": "MOLOTOVS"
"UNL_DESC_FOLLOWER2": "Recruit Two Saint followers. Press {RECRUIT_DISMISS_IMG}  to recruit nearby Saints."
"TUT_HUMAN_SHIELD": "{ACTION_IMG} GRAB HUMAN SHIELD\nHuman Shields block bullets and can allow recovery time."
"TUT_WHORED_A_ENDING_DEBATE": "ENDING THE DEBATE"
"SHOTGUN_CHUM": "SHARK-O-MATIC"
"SATELLITE_GUIDED_MISSILES": "GUIDED MISSILES"
"CS_TITLE_3_COUNT_SB": "3 COUNT CASINO SPORT BOOK"
"HITMAN_DISPLAY_DISTRICT_UNKNOWN": "UNKNOWN"
"CUTSCENE_REMOTE_SKIPPING": "{SKIP_MODAL_SEQUENCE_IMG} VOTE TO SKIP"
"UNL_DESC_VEHICLE_CUSTOMIZATION": "Customize vehicles"
"TUT_TITLE_M16_AVATAR_ATTACKS": "AVATAR ATTACKS"
"WPN_RIFLESTAG_DESCRIPT": "STAG's rifle utilizes laser technology to eliminate the need for reloading clips.  Watch out for overheating."
"HUD_JUMP_ON_KILLBANE": "JUMP ON KILLBANE"
"PLAYER_CHOICE_M09_OPTION2_BODY": "REWARD: Increased Hourly Cash Income"
"TUT_COMBAT_WEAPONS": "Running over weapons you don't have automatically picks them up.\nTo change your equipped weapon press and hold {WEAPON_MENU_IMG} then use {WEAPON_SELECT_IMG} to select a weapon."
"SWITCH_MODE": "SWITCH MODE"
"Temp_Flamethrower": "INCINERATOR"
"UNL_UPGRADE_AMMO_RIFLE_1": "AMMO - RIFLE"
"UNL_DAMAGE_BULLET_2": "DAMAGE - BULLET 2"
"TUT_TITLE_WEAPON_UPGRADES": "WEAPON UPGRADES"
"ACHIEVE_SR3_WHO_LOVES_YA_BABY": "WHO LOVES YA BABY"
"TUT_ACT_INTRO_HUMAN_TORCH": "Race to the finish for cash and respect. Bonus seconds earned through ramming people and cars are added to your timer at each checkpoint."
"SPECIAL_SONICGUN": "SONIC BOOM"
"USE_TRIGGER_HE_CRIB_EXIT": "TAKE THE ELEVATOR DOWN"
"HASH_EBC06667": "RESOLUTION"
"HASH_54FEDA67": "PERFORMANCE"
"TUT_TITLE_WAYPOINT": "GPS WAYPOINTS"
"ACHIEVE_SR3_TITANIC_EFFORT": "TITANIC EFFORT"
"HUD_ATTACK_KILLBANE": "ATTACK KILLBANE"
"USE_TRIGGER_GRAB_PARACHUTE": "PICK UP A PARACHUTE"
"TUT_HUMAN_SHIELD_GENERAL": "{ACTION_IMG} THROW SHIELD \nPRESS {CBA_OFC_HS_EXECUTE_IMG} EXECUTE SHIELD"
"TUT_TITLE_PAUSE_MAP": "PAUSE MAP"
"TUT_GANG_CUSTOMIZE": "Gang customization allows you to choose what the Saints wear, what vehicles they drive, and their taunts and compliments."
"WPN_SHOTGUNSTAG_DESCRIPT": "STAG's version of the shotgun.  No reload time, but watch out for overheating."
"HUD_ACT_EXIT": "%ls EXIT ACTIVITY"
"ACHIEVE_SR3_HI_JACK_IT": "HI JACK IT"
"WPN_DILDOBAT_DESCRIPT": "The absurdity of a sex toy with the lethality of a baseball bat."
"TUT_VTOL_CONTROL_B": "{ACCELERATE_IMG} accelerates/goes up. \n{BRAKE_REVERSE_IMG} brakes/goes down. \nPress {VTOL_TRANSITION_IMG} to switch between hover and airplane modes."
"HUD_START_FREEFALL": "START FREEFALL"
"ITEM_COMPLETE": "You have completed the set!"
"WPNCAT_SUB_MACHINE_GUN": "SMG"
"TUT_WHORED_Z_WELCOME": "TOPS AND BOTTOMS"
"HUD_WAIT_FOR_PARTNER_TO_JOIN": "You must wait for your partner to finish joining."
"PLAYER_CHOICE_M21_OPTION1_BODY": "REWARD: Killbane's mask"
"PLAYER_CHOICE_M21_OPTION1_TITLE": "[format][color:red]UNMASK KILLBANE[/format]"
"TUT_TITLE_DLC": "DOWNLOADABLE CONTENT"
"HYDRAULICS_OFF": "HYDRAULICS OFF"
"MISSION_COOP_CONFIRM_MISSION": "CONFIRMING MISSION START WITH %ls"
"STRONGHOLD_UPGRADE1": "UPGRADE 1"
"TUT_ACT_INTRO_DRUG_TRAFFICKING": "Provide protection for your Contacts' deals around Steelport."
"ACHIEVE_SR3_KUH_BOOM": "KUH, BOOM."
"HUD_DOCK_NEED_VEHICLES": "ADD WATERCRAFT TO ACCESS DOCK"
"UNL_DESC_DAMAGE_BULLET_4": "You will not take any damage from bullets"
"ACHIEVE_SR3_PARTNERS_IN_CRIME": "PARTNERS IN CRIME"
"SATELLITE_MODE_EXIT": "EXIT SATELLITE"
"TUT_WHORED_MUSCLESNDILDOS": "MEASURING CONTEST"
"TUT_WHORED_APACOFISTS": "BEWARE THE APOCA-FIST"
"TUT_TITLE_STORE_INTRO_WEAPONS": "WEAPON STORES"
