// extra_dumps: dlc2 - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "VEHICLE - AEGEAN"
"UNL_DESC_DLC2_GANG_ALIENS": "You can now have space aliens in your gang."
"DLC2_M02_BOARD_SAUCER": "GET ON THE [format][color:use]SHIP[/format]"
"DLC2_M02_PROGRESS_02": "REWIRING"
"DLC2_M02_RETURN_TO_HOMIE": "RETURN TO KWILANNA"
"DLC2_M01_OBJ_GO_TO_CRIB": "ESCAPE TO [format][color:location]CRIB[/format]"
"CUST_ITEM_MSFEM02_GLOVES": "MORNINGSTAR GLOVES"
"DLC2_M03_BARNSTORM_UNDER_BRIDGE": "FLY UNDER THE [format][color:location]BRIDGE[/format]"
"DLC2_M01_FAIL_ESCAPE_CAR_DESTROYED": "YOUR ESCAPE VEHICLE WAS DESTROYED!"
"DLC2_M01_NAME": "FASTER, MORE INTENSE!"
"CUST_ITEM_LUSPEC_OUTFIT": "LUCHADOR SPECIALIST"
"DLC2_M02_GET_PISTOL": "GET THE [format][color:use]LASER PISTOL[/format]"
"DLC2_M01_OBJ_DEFEND_BULLDOG": "DEFEND [color:defend][format]VEHICLE[/format]"
"CUST_ITEM_LUSPEC_MASK": "LUCHADOR SPECIALIST MASK"
"DLC2_M03_TUT_TITLE_NEAR_CRASH": "NEAR CRASH"
"DLC2_M02_SEARCH_CODE": "SEARCH FOR THE [format][color:use]CODE[/format]"
"DLC2_M02_PLAYER_DESTROY_MACHINE": "DESTROY [format][color:kill]MIND CONTROL MACHINE[/format]"
"DLC2_M01_HUD_JUMP": "JUMP"
"DLC2_M03_TUT_TITLE_ALIEN_AIRCRAFT": "ALIEN AIRCRAFT"
"DLC2_M03_DESTROY_SHIELD": "DESTROY THE [format][color:kill]TRANSMITTER SHIELD[/format]"
"DLC2_M02_GO_TO_SERVER": "GO TO THE [format][color:location]SERVER[/format]"
"DLC2_M02_MISSION_FAIL_HOMIE_DIED": "KWILANNA DIED!"
"DLC2_M01_PRE_MISSION_OBJ": "GO TO [format][color:location]STUDIO[/format]"
"UNL_DESC_DLC2_ASSET05_OUTFITS01": "Join the undead with this mask and outfit."
"UNL_DESC_DLC2_ASSET06_VEHICLES": "Genki Girl Vehicles."
"CUST_ITEM_MSFEM02_SUIT": "MORNINGSTAR SOLDIER"
"DLC2_M02_SELF_DESTRUCT": "SELF DESTRUCT ACTIVATED"
"DLC2_M01_FAIL_KWILANNA_DISMISSED": "KWILANNA WAS DISMISSED!"
"DLC2_M01_OBJ_PREPARE_JUMP": "PREPARE FOR [color:location][format]JUMP[/format]"
"DLC2_M01_OBJ_BREACH_HELIPORT": "BREACH [format][color:location]GUARD HELIPORT[/format]"
"UNL_DLC2_HOMIE_KWILANNA": "HOMIE - JENNY"
"CUST_ITEM_ZOMBIE_LBDY_M_PANTS": "ZOMBIE PANTS"
"DLC2_M02_WAIT_FOR_HOMIE": "WAIT FOR [format][color:location]KWILANNA[/format]"
"DLC2_M02_PROGRESS_01": "HACKING"
"DLC2_M02_APPROACH_MACHINE_COOP": "GO TO THE[format][color:location]MIND CONTROL MACHINE[/format]"
"DLC2_M02_MISSION_NAME": "HANGAR 18 1/2"
"DLC2_M02_GET_FINAL_WEAPON": "GET THE [format][color:use]LASER CANNON[/format]"
"DLC2_M02_GO_TO_CONSOLE": "GO TO THE [format][color:location]SECURITY CONSOLE[/format]"
"DLC2_M02_GET_SMG": "GET THE [format][color:use]AUTO LASER[/format]"
"DLC2_M01_OBJ_GO_TO_HELICOPTER": "GET TO [format][color:use]HELICOPTER[/format]"
"UNL_DESC_DLC2_ASSET05_OUTFITS02": "The perfect horror flick villian ensemble with multiple masks and gloves."
"DLC2_M02_GO_TO_HANGER": "GO TO THE [format][color:location]HANGAR[/format]"
"DLC2_M02_PROTECT_HOMIE": "PROTECT [format][color:protect]KWILANNA[/format]"
"DLC2_M01_HUD_UNTIE_ALIEN": "UNTIE ALIEN"
"UNL_DLC2_ASSET05_OUTFITS01": "OUTFIT - FLESH EATING ZOMBIE"
"CUST_ITEM_DLC_HAT_HOCKEY": "HOCKEY MASK"
"DLC2_M03_TUT_NEAR_CRASH": "Fly close to buildings to perform a Near Crash."
"DLC2_M02_USE_REWIRE": "REWIRE"
"CUST_ITEM_DLC_OUTFIT_WEREWOLF": "WEREWOLF"
"DLC2_M03_GOTO_THIRD_TRANSMITTER": "GO TO [format][color:location]THIRD TRANSMITTER[/format]"
"DLC2_M01_FAIL_KWILANNA_DIED": "KWILANNA DIED!"
"DLC2_M02_SECURITY_ACTIVATING": "SECURITY ACTIVATING"
"DLC2_M01_OBJ_KILL_NAT_GUARD": "KILL [format][color:kill]STEELPORT GUARD[/format]"
"DLC2_INTRO_PC_10": "No, it's cool, I'm just... I'm gonna need cue cards like a motherfucker."
"DLC2_M03_BARNSTORM_THROUGH_BRIDGE": "FLY THROUGH THE [format][color:location]BRIDGE[/format]"
"DLC2_M03_PRE_CALL_OBJ": "GO TO [format][color:location]MOVIE SET[/format]"
"DLC2_M02_GO_TO_CONTROL_ROOM": "GO TO THE [format][color:location]CONTROL ROOM[/format]"
"DLC2_M02_GO_TO_SERVER_ROOM": "GO TO THE [format][color:location]SERVER ROOM[/format]"
"DLC2_M02_REWIRE_EXPLOSIVES": "REWIRE THE [format][color:use]EXPLOSIVES[/format]"
"DLC2_M01_FAIL_DIRECTOR_UNHAPPY": "THE DIRECTOR WAS UNHAPPY WITH THE TAKE!"
"DLC2_M02_PROGRESS_LABEL": "PROGRESS"
"DLC2_M02_APPROACH_MACHINE_LOCAL": "GO TO THE [format][color:location]MIND CONTROL MACHINE[/format]"
"DLC2_M01_OBJ_GO_TO_BULLDOG": "GET TO [format][color:use]VEHICLE[/format]"
"CUST_ITEM_MSFEM02_EAR": "MORNINGSTAR EARRINGS"
"DLC2_M03_GET_TO_AIRCRAFT": "ENTER THE [format][color:use]ALIEN AIRCRAFT[/format]"
"DLC2_M01_OBJ_RESCUE_ALIEN": "RESCUE [format][color:use]KWILANNA[/format]"
"DLC2_M02_PROGRESS_03": "SEARCHING..."
"DLC2_M02_GO_TO_SET": "GO TO THE [format][color:location]SET[/format]"
"DLC2_M02_MISSION_FAIL_OUT_OF_TIME": "YOU RAN OUT OF TIME!"
"DLC2_M01_OBJ_ESCAPE_NG": "ESCAPE [format][color:location]STEELPORT GUARD[/format]"
