// extra_dumps ref: hud - JP/CZ reference for keys in extra_hud_us.txt
"TUT_TITLE_RECRUITING": "JP: 勧誘 || CZ: NAJÍMÁNÍ"
"TUT_COMBAT_MELEE_1": "JP: {MELEE_POWER_ATTACK_IMG}攻撃（強）\n{ATTACK_PRIMARY_IMG}攻撃（弱） || CZ: {MELEE_POWER_ATTACK_IMG} SILNÝ ÚTOK\n{ATTACK_PRIMARY_IMG} LEHKÝ ÚTOK"
"COOP_KICK_PLAYER_CONFIRM": "JP: %lsを\nゲームから追放してもよろしいですか？\n保存していないミッションやアクティビティの進行状況は失われます || CZ: Opravdu chceš ze hry vyhodit hráče %ls?\nVeškerý neuložený postup misí či aktivitou bude ztracen"
"UNL_DESC_HOMIE_SHAUNDI": "JP: ショーンディの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる || CZ: Mezi kontakty v telefonu najdeš Shaundi. Pomůže ti v boji."
"HUD_HOLD_BACK_CANCEL_TAGGING": "JP: タギングを終了 || CZ: SKONČIT TAGOVÁNÍ"
"HYDRAULICS_TOGGLE": "JP: %ls：切り替え || CZ: POMOCÍ %ls PŘEPNEŠ"
"TUT_TITLE_LOW_AMMO": "JP: 弾薬不足 || CZ: NEDOSTATEK MUNICE"
"PLAYER_CHOICE_M19_OPTION1_BODY": "JP: 報酬：ゾンビが仲間になる || CZ: ODMĚNA: Parťáci zombíci"
"TUT_TITLE_ACT_INTRO_DRUG_TRAFFICKING": "JP: デリバリー || CZ: KŠEFTOVÁNÍ"
"TUT_DIV_INTRO_HOSTAGE": "JP: 人質が金を払うまで高速スピードでとばし、警察から逃げ続けろ。速度を落とすと人質に逃げられてしまうぞ || CZ: Jeď co nejrychleji a vyhýbej se policajtům, než se tví rukojmí zhroutí a zaplatí. Pokud zpomalíš, rukojmí se pokusí utéci."
"ACHIEVE_SR3_GOTTA_BREAK_EM_IN": "JP: エステスクール || CZ: MUSÍME JE ZAUČIT"
"HUD_RESPECT_RANK_001": "JP: ニューブラッド || CZ: NOVÁ KREV"
"TUT_WHORED_A_LITTLE_NIKITA": "JP: 小さなスナイパー || CZ: MALÁ NIKITA"
"TUT_WHORED_ZOMBIE_SLAYER": "JP: ゾンビスレイヤー || CZ: ZABÍJEČ ZOMBIÍ"
"TUT_WHORED_BIG": "JP: トーキョーのピンチ！ || CZ: TOKYO, DEJ SI POZOR!"
"WPN_SONIC_WAVE_GUN_DESCRIPT": "JP: 音波を集中的に浴びせて、行く手をふさぐ障害物を吹き飛ばす。発射前にチャージするのを忘れずに！ || CZ: Tyto zvukové vlny srazí k zemi skoro všechno, co se jim připlete do cesty. Nabij zbraň naplno a vyzkoušej, co to udělá!"
"WPN_SMGCYBER_DESCRIPT": "JP: デッカーのネットワーク上で使われるSMGをリアルに再現 || CZ: Funkční model deckerského samopalu z deckerské sítě."
"RESTRICTED_ZONE_ENTER": "JP: 監視区域に入ります || CZ: VSTUPUJEŠ DO ZAKÁZANÉ ZÓNY"
"UNL_DESC_NOTORIETY_LUCHA_3": "JP: ルチャドールの悪評度が\nかなり速く低下する || CZ: Pozornost Luchadorů bude klesat mnohem rychleji"
"TUT_TITLE_HOMIE_REVIVE": "JP: 仲間の蘇生 || CZ: OŽIVENÍ PARŤÁKA"
"Flashbang": "JP: 閃光手榴弾 || CZ: OMRAČUJÍCÍ GRANÁTY"
"TUT_WHORED_Z_BRUTE_ACTION": "JP: ブルートアクションフィギュア || CZ: BRUTÁLNÍ AKČNÍ FIGURKY"
"ACHIEVE_SR3_KILL_DECKERS_EXE": "JP: KILL-DECKERS.EXE || CZ: ZABIJ-DECKERY.EXE"
"PISTOL_POLICE": "JP: KA1 コブラ || CZ: KA-1 KOBRA"
"TUT_NP_TANK_CONTROLS": "JP: {ANALOG_LS_IMG}移動\n{ANALOG_RS_IMG}照準\n{TANK_FIRE_SECONDARY_IMG}メイン武器で攻撃\n{TANK_FIRE_PRIMARY_IMG}サブ武器で攻撃 || CZ: {ANALOG_LS_IMG} OVLÁDÁ POHYB \n{ANALOG_RS_IMG} OVLÁDÁ MÍŘENÍ\n{TANK_FIRE_SECONDARY_IMG} VYPÁLÍ Z HLAVNÍ ZBRANĚ \n{TANK_FIRE_PRIMARY_IMG} VYPÁLÍ ZE SEKUNDÁRNÍ ZBRANĚ"
"PLAYER_ALL_HEALED": "JP: 完治した！ || CZ: Všichni vyléčeni!"
"TUT_WHORED_A_KEEP_AWAY": "JP: ゾンビの猛襲 || CZ: RUCE PRYČ"
"TUT_WHORED_BRUTES": "JP: オレグ家の再会 || CZ: OLEGOVA RODINKA"
"HUD_TARGET_ELIMINATED": "JP: ターゲットは殺された || CZ: CÍL ODSTRANĚN"
"HASH_C7FCA82B": "JP: 続けるには、コントローラーを再接続して、{PAUSE_MENU_IMG}を押してください。 || CZ: PŘIPOJTE ZNOVU OVLADAČ A POKRAČUJTE STISKNUTÍM {PAUSE_MENU_IMG}"
"UNL_DESC_CASH_FOR_RESPECT_1": "JP: キャッシュを支払い\n4,000リスペクト獲得する || CZ: Za peníze si můžeš koupit 4000 bodů respektu."
"TUT_TITLE_STORE_INTRO_TATTOO": "JP: タトゥーパーラー || CZ: TETOVACÍ SALÓNY"
"CS_TITLE_SYNDICATE_JET": "JP: シンジケートジェット機 || CZ: TRYSKÁČ SYNDIKÁTU"
"USE_TRIGGER_PENTHOUSE": "JP: ペントハウスに行く || CZ: DOJDI DO APARTMÁ"
"RADIO_OFF": "JP: OFF || CZ: VYPNUTO"
"UNL_DESC_WEP_AIRSTRIKE": "JP: アジトの武器庫で\nSA-3 空爆照準器を装備できる || CZ: Mezi zbraněmi v bejváku na tebe čeká označovač A3 pro přivolávání náletů."
"USE_TRIGGER_GARAGE": "JP: ガレージに行く || CZ: SJEĎ DO GARÁŽE"
"WPN_EGRENADE_DESCRIPT": "JP: 電撃で周囲にいるヤツにダメージと衝撃を与えよう || CZ: Elektrický výboj působí poškození a dokáže omráčit všechny okolní nepřátele."
"WPN_VTOL_MISSILES": "JP: スワームミサイル || CZ: ROJ RAKET"
"USE_TRIGGER_DROP_HELI": "JP: ヘリを入手する || CZ: SE ZBAVIT VRTULNÍKU"
"UNL_DESC_POLICE_CUSTOMIZATION": "JP: 警察のカスタマイズアイテム || CZ: Upravitelné policejní předměty"
"EXPLOSIVE_GENKI": "JP: タコランチャー || CZ: VRHAČ MĚKKÝŠŮ"
"ACT_CANCEL_TEXT": "JP: このアクティビティを終了しますか？\n現在までの進行状況は失われます || CZ: Opravdu chceš tuto aktivitu ukončit?\nPřijdeš o veškerý dosažený postup od začátku aktivity."
"SATELLITE_SLOW_DOWN": "JP: 減速 || CZ: ZPOMALIT"
"SATLLITE_SPEED_UP": "JP: 加速 || CZ: ZRYCHLIT"
"ACT_CANCEL_TITLE": "JP: やり直しまたは終了 || CZ: OPAKOVAT NEBO ZRUŠIT AKTIVITU?"
"UNL_WEAPON_KILLBANES_GLOVES": "JP: アポカフィスト || CZ: ZBRAŇ - APOKAPĚSTI"
"ACHIEVE_SR3_FLASH_THE_PAN": "JP: 成金 || CZ: ČISTO, VŠUDE ČISTO"
"WPN_SNIPER_DESCRIPT": "JP: 長距離ターゲットへの攻撃は、精度の善し悪しが\nカギ || CZ: Pro střelbu na velkou vzdálenost, kde je klíčem přesnost."
"UNL_SPRINT_1": "JP: スタミナアップ1 || CZ: SPRINT - PRODLOUŽENÍ"
"TUT_NAG_TAUNTING": "JP: 敵を倒す前に相手を挑発{MENU_DP_LEFT_IMG}すればさらに多くのリスペクトを獲得できる || CZ: TIP: ZA NEPŘÁTELE, KTERÉ URAZÍŠ {MENU_DP_LEFT_IMG}, DOSTANEŠ RESPEKT NAVÍC."
"UNL_DAMAGE_FIRE_2": "JP: 炎ダメージ軽減2 || CZ: ZRANĚNÍ - OHEŇ 2"
"TUT_PAUSE_MAP": "JP: {MAP_MENU_IMG}携帯電話のマップを開く\nFRIENDLY FIREまでの道をGPSで検索しろ || CZ: {MAP_MENU_IMG} UKÁŽE MOBILNÍ TELEFON \nPodívej se do svého mobilu a nastav si na GPS cestu k obchodu Friendly Fire."
"TUT_WHORED_MINI_SAMURAI": "JP: ミニサムライ || CZ: NEJMENŠÍ VÁLEČNÍK"
"ACHIEVE_SR3_YOURE_THE_BEST": "JP: 心から感謝... || CZ: TY JSI TEN NEJLEPŠÍ..."
"WPN_STUNGUN_DESCRIPT": "JP: ターゲットの能力を奪う手軽な方法 || CZ: Pro rychlé znehybnění cíle."
"RIFLE_AMMO": "JP: ライフル弾薬 || CZ: MUNICE DO PUŠKY"
"PISTOL_AMMO": "JP: ピストル弾薬 || CZ: MUNICE DO PISTOLE"
"CS_TITLE_SYNDICATE_BOARDROOM": "JP: シンジケート重役会議室 || CZ: KONFERENČNÍ MÍSTNOST SYNDIKÁTU"
"ACHIEVE_SR3_PIMPED_OUT_PAD": "JP: セレブ暮らし || CZ: VYMAZLENÝ BYDLENÍ"
"TEMP_SHIELD": "JP: ライオットシールド || CZ: ŠTÍT PROTI DEMONSTRANTŮM"
"TUT_WHORED_SWAG_BAG": "JP: 着ぐるみ地獄 || CZ: PYTEL PENĚZ"
"USE_TRIGGER_HE_CRIB_ENTER": "JP: 上りエレベーターに乗る || CZ: JET VÝTAHEM NAHORU"
"HUD_ACT_CONTINUE": "JP: アクティビティを続ける：%ls || CZ: V MINIHŘE POKRAČUJ STISKNUTÍM TLAČÍTKA %ls"
"ACHIEVE_SR3_DEAD_PRESIDENTS": "JP: 札束 || CZ: TĚŽKÝ PRACHY"
"WPN_PISTOLPOLICE_DESCRIPT": "JP: 警察の標準装備 || CZ: Proti tomuhle většinou stojíš, když na místo dorazí policajti."
"SPECIAL_SNIPERRIFLE": "JP: マクマヌス 2015 || CZ: MCMANUS 2015"
"HUD_UNLOAD_VEHICLE_MESSAGE": "JP: %lsで車両を手放す || CZ: STISKNUTÍM TLAČÍTKA %ls VOZIDLO VYLOŽÍŠ"
"TUT_CHALLENGES": "JP: 難易度の高いチャレンジを達成するとボーナスが出る。進捗状況はセインツブック{MAP_MENU_IMG}で確認できる || CZ: Výzvy ti poskytují bonusy za plnění obtížných úkolů. Svůj postup v plnění výzev si můžeš prohlédnout v zápisníku {MAP_MENU_IMG}."
"HUD_FEAR": "JP: 恐怖 || CZ: STRACH"
"STRONGHOLD_COOP_TITLE": "JP: 協力プレイ 拠点制圧 || CZ: KOOPERATIVNÍ PEVNOST"
"S_FOUND_A_COLLECTIBLE_YOU_MISSED": "JP: 見逃したコレクションを\n%lsが見つけた || CZ: PŘEDMĚT, KTERÝ JSI MINUL, ZVEDÁ %ls"
"TUT_HELICOPTER_ENTRY": "JP: {HELI_UP_IMG}高度を上げる\n{HELI_DOWN_IMG}高度を下げる\n{HELI_STRAFE_LEFT_IMG}／{HELI_STRAFE_RIGHT_IMG}高速旋回 || CZ: POMOCÍ {HELI_UP_IMG} NABÍRÁŠ VÝŠKU \nPOMOCÍ {HELI_DOWN_IMG} NAOPAK KLESÁŠ\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} SLOUŽÍ K RYCHLÉMU OTÁČENÍ"
"SATELLITE_RC_MODE_DESTRUCT": "JP: 自爆 || CZ: AUTODESTRUKCE"
"HOOD_OWNED_FRACTION": "JP: 縄張り獲得数%d／%d || CZ: CELKEM OVLÁDNUTO %d/%d"
"HUD_LOAD_VEHICLE_MESSAGE": "JP: %ls：車両に積み込む || CZ: STISKEM TLAČÍTKA %ls NAPLNÍŠ VOZIDLO"
"UNL_UPGRADE_AMMO_SHOTGUN_3": "JP: ショットガン弾薬アップ3 || CZ: MUNICE - BROKOVNICE 3"
"TUT_NAG_IMPROV_WEAPONS": "JP: {PICKUP_RELOAD_IMG}で街にあるオブジェクトを拾えば、即席の武器として使える || CZ: TIP: POMOCÍ TLAČÍTKA {PICKUP_RELOAD_IMG} MŮŽEŠ SBÍRAT PŘEDMĚTY V OKOLÍ A POUŽÍVAT JE JAKO IMPROVIZOVANÉ ZBRANĚ."
"TUT_WHORED_SAUSAGEFEST": "JP: ソーセージフェスティバル || CZ: PÁRKOVÉ ORGIE"
"SATELLITE_EXIT_RC_MODE": "JP: リモコンモードを終了 || CZ: UKONČIT OVLÁDÁNÍ"
"HOMIES_HOSPITAL_BILL": "JP: %lsの治療費は%lsドルだ || CZ: NEMOCNIČNÍ ÚČET ZA PARŤÁKA %ls STÁL %ls"
"HUD_RESPECT_RANK_005": "JP: ホーミー || CZ: PARŤÁK"
"GENERAL_LIGHT": "JP: 軽微なダメージ || CZ: LEHKÉ POŠKOZENÍ"
"PLAYER_CHOICE_M06_OPTION1_BODY": "JP: 報酬：永久リスペクトボーナス || CZ: ODMĚNA: Permanentní bonus k respektu"
"TUT_TITLE_BARNSTORMING_NEW": "JP: アクロバット飛行 || CZ: AKROBACIE"
"ACHIEVE_SR3_I_HEART_NYTE_BLAYDE": "JP: ナイトブレイドファン || CZ: MILUJU NYTE BLAYDA"
"SHOTGUN_GANG": "JP: グレイブディガー || CZ: HROBNÍK"
"HUD_DOWNED_REVIVE": "JP: 蘇生 || CZ: OŽIVIT"
"UNL_DESC_RESPECT_BONUS_PURCHASE2": "JP: 獲得するリスペクト -\n10%%アップ || CZ: 10%% bonus k veškerému získanému respektu"
"UNL_WEEKLY_PAYMENTS_4": "JP: 毎時収入アップ VIP || CZ: BONUS - HODINOVÝ PŘÍJEM VIP"
"TUT_TITLE_GANG_CUSTOMIZE": "JP: ギャングカスタマイズ || CZ: ÚPRAVA GANGU"
"TUT_CITY_TAKEOVER": "JP: {MAP_MENU_IMG}マップを開く\n占拠できるスポットをマップで確認して、1時間ごとの収入アップを目指せ || CZ: {MAP_MENU_IMG} OTEVŘE MAPU \nPodívej se na mapu a najdi způsoby, jak ovládnout město, čímž budeš navíc zvyšovat svoje pravidelné příjmy."
"TUT_TITLE_STORE_OWNERSHIP": "JP: 店舗所有権 || CZ: VLASTNICTVÍ NEMOVITOSTI"
"HUD_HANGAR_NEED_VEHICLES": "JP: 飛行機を追加すると格納庫が見られるようになる || CZ: DO HANGÁRU MUSÍŠ NEJDŘÍV UMÍSTIT LETADLA"
"WPN_MOLOTOV_DESCRIPT": "JP: 手軽に火をつけられる || CZ: Šikovný způsob, jak něco zapálit."
"TUT_SHORTCUT_SPLINES": "JP: 近道が見つかるとGPSを更新し一番近い経路が表示される || CZ: Objevené zkratky aktualizují tvou navigaci a přidávají nové, kratší cesty při použití navigačních bodů."
"GARAGE_WATERCRAFT_ONLY": "JP: ここは船舶専用だ || CZ: ZDE MOHOU PARKOVAT POUZE LODĚ"
"UNL_DAMAGE_VEHICLE_4": "JP: 交通事故ダメージ軽減4 || CZ: ZRANĚNÍ - VOZIDLA 4"
"FLAME_AMMO": "JP: 火炎放射器燃料 || CZ: PLAMENOMET"
"HUD_TAUNT": "JP: 挑発 || CZ: URÁŽKY"
"TUT_WHORED_A_T_BIRD": "JP: サンダーバード || CZ: T BIRDOVA VLNA"
"TUT_TITLE_RANK_UP": "JP: ランクアップ || CZ: NOVÁ ÚROVEŇ"
"TUT_TITLE_GENERAL_BUSTED": "JP: 逮捕 || CZ: ZABÁSLI TĚ"
