// extra_dumps: diversion - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"DIVERSION_VEHICLE_SURFING_BEST_TIME": "RECORD SURFING"
"DIVERSION_CHALLENGES_MORNINGSTAR_SPECIALISTS_D": "I figure if you cut off the Morningstars' head, the chickens'll...  come home to roost?  Man, screw this metaphor shit... just kill these suckers!"
"DIVERSION_CHALLENGES_FIND_SHORTCUTS": "SHORTCUTS FOUND"
"DIVERSION_CHALLENGES_DESTROY_BOATS": "BOATS DESTROYED"
"DIVERSION_BEST_STOPPIE": "RECORD STOPPIE"
"DIVERSION_CHOP_COLLECTION_TITLE": "%ls: %ls"
"DIVERSION_WHEELS_TITLE": "WHEELS"
"DIVERSION_EXPLORATION_SECRET_SUBTITLE": "LOCATIONS FOUND"
"DIVERSION_BEST_JUMP_SPIN": "RECORD BIG AIR SPIN"
"DIVERSION_CHALLENGES_DO_HEADSHOTS": "HEADSHOTS"
"DIVERSION_SURVIVAL_OUT_OF_HOOD_TEXT": "YOU HAVE %d SECONDS TO GET BACK TO THE HOOD"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE_FEET": "Record! Distance: %.1fft"
"TUT_TITLE_BARNSTORMING": "BARNSTORMING"
"DIVERSION_CHALLENGES_WHEELIE_DISTANCE": "WHEELIE DISTANCE"
"DIVERSION_CHALLENGES_STUNT_JUMP_DISTANCE_D": "You know what I like to see, dude?  Fast cars and big air.  So you gonna go hit some jumps or what?"
"DIVERSION_CHALLENGES_STREAKING_TIME_D": "The Saints need to run a few deals in Steelport that need a... nonviolent distraction.  Now I'm not saying you have to do this, but it might be fun."
"DIVERSION_BARNSTORMING_KNIFE_EDGE": "KNIFE-EDGE"
"DIVERSION_CHALLENGES_STOPPIE_DISTANCE": "STOPPIE DISTANCE"
"DIVERSION_SURVIVAL_TITLE": "SURVIVAL"
"DIVERSION_COMBAT_TRICKS_PLAYER_KILL": "CO-OP KILL"
"DIVERSION_BEST_TWO_WHEELS_FEET": "Record Two wheels: %.0fft"
"DIVERSION_BEST_STOPPIE_FEET": "Record Stoppie: %.0fft"
"DIVERSION_WHORING_SUCCESS": "Well done hot stuff!"
"DIVERSION_SURVIVAL_GOAL_TAG": "GOAL"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS_D": "When it comes to blunt-force trauma analysis, you can never have a large enough sample size.  That's my opinion at least."
"DIVERSION_LOW_FLYING_TITLE": "NEAR CRASH"
"DIVERSION_CHALLENGES_STAG_CARJACKS": "STAG VEHICLES CARJACKED"
"DRUG_PACKAGE_COLLECTED": "DRUG PACKAGE"
"DIVERSION_COMBAT_TRICKS_MP_PLAYER_KILL": "PLAYER KILL"
"ACT_HITMAN_COMPLETE BONUS_MSG": "Excellent work.  Return to receive your bonus."
"DIVERSION_BASE_JUMPING_TITLE": "BASE JUMPING"
"HITMAN_TARGET_31_SHORT_DESC": "RE: CONCERNED IN STEELPORT"
"HITMAN_TARGET_5_4": "JIM"
"DIVERSION_SURVIVAL_ACTIVATE_MESSAGE": "Survive!"
"HITMAN_TARGET_H32_SHORT_DESC": "MESS WITH MY HO, YOU GOTTA GO"
"DIVERSION_COOP_SUCCESS_CLIENT_WIN": "You won $%.0f!  Press {PICKUP_RELOAD_IMG} to continue."
"DIV_STREAKING_COMPLETE": "All levels of Streaking Diversion Completed!"
"HITMAN_TARGET_3_1": "TONY"
"DIVERSION_CHALLENGES_NO_WEAPON_KILLS_D": "In the ring, you can't count on guns, or knives.  Hell, you can't even count on your partner.  So you learn to count on your only friends: your fists."
"DIVERSION_CHALLENGES_DESTROY_TANKS_D": "I pay for scrap steel by the ton, so it stands to reason the heaviest steel things out there pay the most.  Time's a wastin'!"
"DIVERSION_SURVIVAL_START_MESSAGE": "START SURVIVAL DIVERSION"
"DIVERSION_STUNT_JUMPING_TITLE": "STUNT JUMPING "
"DIV_COMBAT_TRICKS_DISPLAY_NAME": "COMBAT TRICKS"
"PAUSE_ACT_HITMAN_TITLE": "HITMAN"
"DIVERSION_EXPLORATION_LOCATION": "%ls FOUND"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN_D": "Wellmake Labs has a stress-relief drug we call 'Catatonex'.  Sales are down.  The citizens of Steelport are too at ease.  Naturally, we're turning to you for help"
"DIVERSION_THEFT_UNLOCK_DOOR": "UNLOCK DOOR"
"DIVERSION_SURVIVAL_KILLS_TAG": "KILLS:"
"DIVERSION_STUNTJUMP_SUBTITLTE": "STUNT JUMPS"
"DIVERSION_CHALLENGES_NEAR_MISSES_AIR": "AERIAL NEAR MISSES"
"DIVERSION_CHALLENGES_DESTROY_TANKS": "TANKS DESTROYED"
"DIVERSION_CHALLENGES_DESTROY_HELICOPTERS": "HELICOPTERS DESTROYED"
"DIVERSION_CHALLENGES_TAKE_DAMAGE": "DAMAGE TAKEN"
"DIVERSION_HOSTAGE_ESCAPED": "HOSTAGE ESCAPED"
"DIVERSION_COMBAT_TRICKS_HUMAN_SHIELD_KILL": "SHIELD KILL"
"ACT_HITMAN_WARN NOTORIETY_MSG": "Lose the cops first!"
"DIVERSION_EXPLORATION_FOUND": "FOUND"
"DIVERSION_DRIVEBY_DIVERSION_ILLEGAL_KILL_STRING": "[format][color:red]Gang members[/format] must be killed with drive-bys to count!"
"DIVERSION_CHALLENGES_FREEFALL": "PARACHUTE FALLING"
"DIVERSION_CHALLENGES_KILL DECKERS": "KILL DECKERS"
"ACT_HOLDUP_START_MSG_2": "KEEP YOUR RETICLE OVER THE SHOPKEEPER"
"DIVERSION_DRIVER_BAILOUT": "CAR TORPEDO"
"DIVERSION_DRIVEBY_GANG_MEMBERS_FLEE": "You scared them off, head to the next location!"
"ACT_HITMAN_FAIL_MSG": "You ran out of time."
"DIVERSION_BEST_JUMP_HEIGHT_FEET": "Record Height: %.0fft"
"HITMAN_TARGET_3_4": "HARRY"
"DIVERSION_WINDSHIELD_CANNON": "WINDSHIELD CANNON"
"DIVERSION_HYDRAULICS_STYLE_1": "HYDRAULICS"
"ACT_HITMAN_KILL_MSG": "[format][color:red]TARGET[/format] KILLED SUCCESSFULLY"
"DIVERSION_CHALLENGES_DECKER_SPECIALISTS_D": "There's some Deckers who must be neutralized, because they're on the brink of cracking The Ouroboros Protocols.  You... really don't want to know what that means."
"DIVERSION_FLASHING_TITLE": "FLASHING"
"DIVERSION_HITMAN_SEARCH": "Follow the contact's instructions to draw out the target"
"DIVERSION_CHOP_SHOP_TITLE": "CHOP SHOP"
"DIVERSION_CHALLENGES_MULTI_KILLS": "MULTI-KILLS"
"DIVERSION_COOP_DEATH_TAG_TITLE": "DEATH TAG"
"DIVERSION_DRIVEBY_DIVERSION_GOLD_LEVEL_REWARD_NAME": "[format][color:gold]GOLD[/format]"
"HITMAN_TARGET_52_SHORT_DESC": "BAD FOR BUSINESS"
"DIVERSION_HOSTAGES_RETURNED": "RANSOM FOR HOSTAGES COLLECTED"
"DIVERSION_HOSTAGE_RETURN_HIM": "TAKE THE HOSTAGE TO THE DROP-OFF LOCATION"
"DIVERSION_DRIVEBY_DIVERSION_BODY_COUNT_STRING": "BODY COUNT:"
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE_FEET": "Personal Best! Distance: %.1f ft"
"DIVERSION_NEAR_MISS": "NEAR MISS"
"DIVERSION_HOSTAGE_KIDNAPPED": "YOU'VE KIDNAPPED A HOSTAGE"
"DIVERSION_EXPLORATION_TITLE": "EXPLORATION"
"DIVERSION_BEST_JUMP_DISTANCE_FEET": "Record Distance: %.0fft"
"DIVERSION_STUNT_JUMPING_STATS_FLIP": "Flipped %.0f{temp_degrees}"
"DIVERSION_HOSTAGES_SPEED_EXPLAIN": "DON'T SLOW DOWN OR HOSTAGES CAN ESCAPE"
"DIVERSION_HOSTAGE_NAME": "HOSTAGE"
"DIVERSION_WHEELIE": "WHEELIE"
"DIVERSION_COMBAT_TRICKS_MP_NOTORIETY_KILL": "NOTORIETY %d KILL"
"DIVERSION_CHOP_SHOP_RETURN": "Return the vehicle to the chop shop."
"DIVERSION_DRIVEBY_DIVERSION_DRIVE_BY_GANG_MEMBERS_STRING": "KILL THE RIVAL [format][color:teal]GANG MEMBERS[/format]"
"DIVERSION_WHORING_TITLE": "HO-ING"
"DIVERSION_FLASHING_LEVEL_COMPLETE_MESSAGE": "Flashing level %d complete!  Earned %d respect."
"HITMAN_TARGET_2_3": "ALMONZO"
"DIVERSION_STREAKING_START_HELP_MESSAGE": "PRESS %ls AGAIN TO START STREAKING"
"ACT_HITMAN_START CAR AND GUN_MSG": "THE CLIENT HAS REQUESTED YOU PERFORM THE HIT WITH A DRIVEBY USING THE PROVIDED %s"
"DIVERSION_COMBAT_TRICKS_ONE_HIT_KILL": "ONE HIT KILL"
"HITMAN_TARGET_KILLED_BY_RIVAL": "The target was killed by another hitman!"
"DIVERSION_WINDSHIELD_CANNON_MAX_DISTANCE": "RECORD WINDSHIELD CANNON"
"DIVERSION_DRIFTING": "POWERSLIDE"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS_D": "Luchadore ringleaders fight real dirty, which is all the more reason we need to get them off the street."
"DIVERSION_CHALLENGES_WINDSHIELD_CANNON_D": "I'm writing a paper for a conference, 'Characteristics of Laceration in Relation to Human Ballistics', but I need more data!  Care to volunteer?"
"DIVERSION_SURVIVAL_COMPLETE_TEXT": "SURVIVAL DIVERSION COMPLETE"
"ACT_HOLDUP_START_MSG_3": "FOLLOW THE SHOPKEEPER TO THE SAFE"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_STRING": "YOU DIDN'T KILL THE [format][color:red]GANG MEMBERS[/format]"
"DIVERSION_SURVIVAL_CAMERAMAN_OUT_OF_RANGE_TEXT": "GET CLOSER TO THE CAMERAMAN SO HE CAN FILM YOU"
"TUT_DIV_INTRO_BARNSTORMING": "Get respect by piloting your aircraft through interesting/challenging spots. Earn an additional bonus for doing it while upside down or knife-edge."
"ACT_HITMAN_COMP NOTORIETY_MSG": "LOSE THE COPS BEFORE YOU COLLECT YOUR PAYMENT  "
"DIVERSION_MUGGING_TITLE": "MUGGING"
"DIVERSION_WHORING_LEVEL": "LEVEL"
"DIVERSION_DRIVEBY_TITLE": "DRIVE-BY"
"DIVERSION_COMBAT_TRICKS_HEAD_SHOT_KILL": "HEAD SHOT"
"DIVERSION_BARNSTORMING_DONT_CRASH": "You found an aerial stunt!  Fly through without crashing to get Respect"
"DIVERSION_COMBAT_TRICKS_TANK_KILL": "TANK KILL"
"DIVERSION_STORE_HOLDUP_COMPLETE_TEXT": "COMPLETED"
"DIVERSION_COOP_HOST_QUIT": "{MENU_ABORT_IMG} QUIT CO-OP DIVERSION"
"DIVERSION_COMBAT_TRICKS_GANG_VEHICLE_KILL": "GANG VEHICLE"
"HITMAN_SUCCESS": "%ls ELIMINATED"
"DIVERSION_DRIVEBY_VEHICLE_HEALTH_WARNING": "YOUR VEHICLE IS IN BAD SHAPE, GRAB A NEW ONE"
"DIVERSION_CHOP_SHOP_NAME_2": "CHOP SHOP BY DAE"
"HITMAN_TARGET_7_2": "SGT. STEINER"
"DIVERSION_CHALLENGES_KILL_BRUTES": "KILL BRUTES"
"DIVERSION_STUNT_JUMPING": "BIG AIR"
"HITMAN_SUCCESS_SUBTITLE": "TARGETS ELIMINATED"
"DIVERSION_STREAKING_LEVEL_COMPLETE_CASH": "Streaking level %d complete!  Earned $%.0f"
"DIVERSION_DRIVER_BAILOUT_MAX_DAMAGE_DONE": "RECORD CAR TORPEDO DAMAGE"
"DIVERSION_DRIVEBY_DIVERSION_COMPLETE_MESSAGE_PARAMETERIZED": "Killed %i/%i total gang members, for [format][color:green]$%i[/format] total. You're %s"
"DIVERSION_DRIVEBY_DIVERSION_BRONZE_LEVEL_REWARD_NAME": "[format][color:bronze]BRONZE[/format]"
"DIVERSION_COMBAT_TRICKS_THROWING_BEST": "LONGEST THROW"
"PHOTO_OP_COLLECTED": "PHOTO OP"
"DIVERSION_COOP_CAT_AND_MOUSE_START_MESSAGE": "HOLD {ATTACK_PRIMARY_IMG} TO REVIVE IN CAT & MOUSE DIVERSION"
"DIVERSION_CHOP_RETURNED_CAR": "DELIVERED %d OF %d CARS FOR THE %ls LIST"
"DIVERSION_ONCOMING_BEST": "RECORD ONCOMING LANE"
"DIVERSION_CHOP_SHOP_PARTNER_TOOK_CONTRACT": "Your partner took the contract for this chop shop target!"
"DIVERSION_BURNOUT_RECORD_TIME": "RECORD BURNOUT TIME"
"ACT_HITMAN_START BONUS_MSG": "YOU WILL RECEIVE A CASH BONUS IF THE HIT IS PERFORMED AS REQUESTED"
"DIVERSION_NEAR_MISS_BEST": "RECORD NEAR MISS CHAIN"
"DIVERSION_HOSTAGES_SPEED_WARN": "SPEED UP BEFORE THE HOSTAGES ESCAPE"
"DIVERSION_SURVIVAL_DEATH_TEXT": "YOU DIED"
"DIVERSION_FLASHING_START_HELP_TEXT": "PRESS %ls AGAIN TO START FLASHING"
"DIVERSION_CHALLENGES_STORES_HELD_UP_D": "It never hurts to get back to basics, y'know?  Holding up a few stores keeps you sharp, and brings in the petty cash."
"HITMAN_VIEW_LIST": "VIEW HITMAN TARGET LIST"
"DIVERSION_HOSTAGE_RETURNED": "HOSTAGE COMPLETE"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE": "RECORD CAR TORPEDO DISTANCE"
"DIVERSION_BEST_JUMP_FALL_FEET": "Record Drop: %.0fft"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT": "Throw Distance: %.1fm"
"DIVERSION_BEST_JUMP_FLIP": "RECORD BIG AIR FLIP"
"DIVERSION_DRIVEBY_DIVERSION_GET_TO_VEHICLE_MESSAGE": "YOU HAVE %d SECONDS TO RETURN TO ANY VEHICLE"
"DIVERSION_CHOP_COLLECTION_SUBTITLE": "%ls COLLECTED!"
"DIVERSION_CHOP_SHOP_FAILED": "The target vehicle was destroyed!"
"DIVERSION_BARNSTORMING_INVERTED": "INVERTED"
"DIVERSION_CHALLENGES_KILL_LUCHADORES": "KILL LUCHADORES"
"TUT_DIV_INTRO_COOP_DEATH_TAG": "Two enter, one wins.\nKill your partner before they kill you. Weapons change each round so try everything out."
"DIVERSION_EXPLORATION_EXPLORED": "EXPLORED"
"DIVERSION_CHALLENGES_STAG_COMMANDO_KILLS": "STAG COMMANDOS KILLED"
"DIVERSION_CHALLENGES_DESTROY_CARS_D": "Sloan's Scrapyard pays good money for wrecked steel.  Car wrecks, that is.  Find me some junk, will ya?"
"ACT_HITMAN_FIRST KILL BONUS_MSG": "WELL DONE"
"ACT_HITMAN_COMPLETE_MSG": "RETURN TO RECEIVE YOUR PAYMENT"
"DIVERSION_CHALLENGES_POWERSLIDE_TIME": "POWERSLIDE TIME"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_TITLE_TEXT": "VEHICLE SURFING"
"DIVERSION_DRIVEBY_DIVERSION_PARAMETERIZED_REWARD_STRING": "BODY COUNT: %I/%I, YOU EARNED [format][color:green]$%I[/format] FOR A %ls LEVEL PERFORMANCE"
"DIVERSION_COMBAT_TRICKS_CLOSE_KILL": "CLOSE KILL"
"DIVERSION_CHOP_SHOP_NAME_3": "GRIEVES' CHOP SHOP"
"ACT_HITMAN_FINISH WITNESS_MSG": "THAT'S ALL OF THEM, RETURN TO COLLECT YOUR BONUS"
"DIVERSION_QTE": "BEATDOWN"
"DIVERSION_COMBAT_TRICKS_SPECIALIST_KILL": "SPECIALIST KILL"
"DIVERSION_BEST_JUMP_ROLL": "RECORD BIG AIR ROLL"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_HANDSTAND_USE_TEXT": "HANDSTAND"
"DIVERSION_DRIVEBY_DIVERSION_ONLY_KILLS_FROM_CAR_COUNT": "ONLY KILLS FROM A CAR COUNT"
"DIVERSION_DRIVEBY_DIVERSION_KILL_BEFORE_ESCAPE_STRING": "DON'T LET THE [format][color:red]GANG MEMBERS[/format] ESCAPE"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT_FEET": "Throw Distance: %.1fft"
"COLLECTION_FOUND_SUBTITLE": "FOUND"
"DIVERSION_HOSTAGE_START_MESSAGE": "START HOSTAGE DIVERSION"
"DIVERSION_COMBAT_TRICKS_TESTICLE_KILL": "TESTICULAR MANSLAUGHTER"
"ACT_HITMAN_COMPLICATION_CAR_TYPE": "YOU WILL RECEIVE A BONUS FOR USING A %s TO PERFORM THE HIT"
"DIVERSION_CANCELED": "DIVERSION CANCELED"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS": "LUCHADORE SPECIALISTS KILLED"
"DIVERSION_COMBAT_TRICKS_MULTI_KILL": "MULTI KILL"
"DIVERSION_SAFECRACKING_TITLE": "STORE HOLD-UPS"
"DIVERSION_HOSTAGE_EXPLAINATION": "EVADE THE POLICE"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN": "HOSTAGES TAKEN"
"DIVERSION_CHALLENGES_GET_MELEE_KILLS": "MELEE KILLS"
"DIVERSION_STOPPIE": "STOPPIE"
"ACT_HITMAN_START_MSG": "TAKE OUT THE [format][color:red]TARGETS[/format]"
"DIVERSION_COMPLETED": "DIVERSION COMPLETED"
"DIVERSION_COMBAT_TRICKS_SPRINT_ATTACK": "TAKEDOWN"
"ACT_HITMAN_TARGET_LEFT_COUNT": "TARGETS: %I/%I"
"HITMAN_TARGET_DECOY_KILLED": "It was a trap, that was just a decoy.  Kill the real target!"
"DIVERSION_EXPLORATION_SECRET_TITLE": "SECRET LOCATION"
"TUT_TITLE_DIV_INTRO_COOP_CAT_AND_MOUSE": "CO-OP CAT & MOUSE"
"DIVERSION_COOP_SURVIVAL_TITLE": "CO-OP SURVIVAL"
"DIVERSION_FLASHING_HELP_TEXT": "Press %ls to flash your stuff!"
"DIVERSION_CHOP_SHOP_NAME_5": "HUMANITARIAN AID, INC. "
"DIVERSION_COOP_GSI_OTHER_SCORE": "%s'S SCORE:"
"DIVERSION_TAUNTING": "TAUNTING"
"DIVERSION_HIJACKING_TITLE": "BO-DUKE-EN!"
"DIV_FLASHING_COMPLETE": "All levels of Flashing Diversion Completed!"
"CHOP_SHOP_CASH": "CASH"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_4_STRING": "A PETTY CROOK"
"DIVERSION_STORE_HOLDUP_TEXT": "STORE HOLD-UP"
"ACT_HITMAN_FIRST KILL_MSG": "TAKE OUT THE REST OF THE [format][color:red]TARGETS[/format]"
"ACT_HITMAN_COMP WITNESS_MSG": "Don't leave any witnesses!"
"DIVERSION_COMBAT_TRICKS_BRUTE_KILL": "BRUTE KILL"
"DIVERSION_COMBAT_TRICKS_BEAT_DOWN_KILL": "BEAT DOWN"
"DIVERSION_COOP_SUCCESS_HOST_LOSE": "You lost. Press {PICKUP_RELOAD_IMG} to play another round, or {ACTION_IMG} to quit."
"DIVERSION_COMBAT_TRICKS_NUT_SHOT_KILL": "NUT SHOT"
"DIVERSION_FAILED": "DIVERSION FAILED"
"DIVERSION_DRIVEBY_TITLE_TEXT": "DRIVE-BY DIVERSION"
"DIVERSION_COMBAT_TRICKS_THROWING": "THROWING"
"DIVERSION_BARNSTORMING_SUBTITLE": "LOCATIONS FOUND"
"DIVERSION_HOSTAGES_KIDNAPPED": "YOU'VE KIDNAPPED HOSTAGES"
"DIVERSION_EXPLORATION_DISTRICT": "%ls EXPLORED"
"DIVERSION_WHORING_TIME_UP_TEXT": "YOU SHOULD BE ASHAMED OF YOURSELF"
"DIVERSION_SURVIVAL_WAVE_COMPLETED": "WAVES COMPLETED!"
"DIVERSION_COMBAT_TRICKS_PROP_KILL": "BRUTALITY"
"DIVERSION_BASE_JUMPING": "BASE JUMPING "
"DIVERSION_DRIVEBY_DIVERSION_OUT_OF_TIME": "YOU RAN OUT OF TIME"
"DIVERSION_SURVIVAL_CAMERAMAN_DEATH_TEXT": "Your camerman died."
"DIVERSION_BASE_JUMPING_USE_MESSAGE": "TO OPEN PARACHUTE"
"DIVERSION_CHALLENGES_KILL_MORNINGSTAR": "KILL MORNINGSTAR"
"DIVERSION_COMBAT_TRICKS_EXPLOSIVE_KILL": "EXPLOSIVE KILL"
"DIVERSION_COMBAT_TRICKS_REGULAR_KILL": "KILL"
"DIVERSION_BEST_JUMP_HEIGHT": "RECORD BIG AIR HEIGHT"
"DIVERSION_BARNSTORMING": "BARNSTORMING"
"DIVERSION_HOSTAGES_ESCAPED": "All the hostages got away."
"DIVERSION_BURNOUT_TITLE": "BURNOUT"
"PAUSE_ACT_HITMAN_VIEW_TARGET": "SELECT TARGET"
"DIVERSION_HYDRAULICS_STYLE_1_TITLE": "HYDRAULICS"
"DIVERSION_BACK_SEAT_DRIVER_DISTANCE": "ROADKILL RECORD DISTANCE"
"DIVERSION_CHALLENGES_PARACHUTE_MOVES": "PARACHUTING TRICKS"
"DIVERSION_STUNT_JUMPING_STATS_SPIN": "Spun %.0f{temp_degrees}"
"DIVERSION_BEST_JUMP_DISTANCE": "RECORD BIG AIR DISTANCE"
"DIVERSION_CHALLENGES_KILL_MASCOTS_D": "These foam-rubber assholes just creep me out.  Ever since I was a kid, man.  This hot dog guy, he... never mind.  Just thin 'em out for me?"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_FROM_CAR": "YOU MUST KILL GANG MEMBERS FROM A VEHICLE"
"DIVERSION_COOP_SUCCESS_CLIENT_TIE": "You tied. Press {PICKUP_RELOAD_IMG} to continue."
"DIVERSION_DRIVEBY_DIVERSION_NUM_SPOTS_COMPLETE_PARAMETERIZED": "%i/%i drive-bys complete!"
"DIVERSION_DRIFTING_BEST": "RECORD POWERSLIDE"
"DIVERSION_QTE_TITLE": "BEATDOWN"
"DIVERSION_CHOP_DELIVERED": "%s\nDELIVERED"
"DIVERSION_BASE_JUMPING_RECORD_FALL": "HIGHEST BASE JUMP"
"DIVERSION_BARNSTORMING_COMPLETE": "You have found all aerial stunts! Boosh!"
"DIVERSION_CHALLENGES_CHAINSAW_KILLS": "CHAINSAW KILLS"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS": "PEOPLE RUN OVER"
"DIVERSION_CHOP_SHOP_NAME_4": "RIGG'S SEA-AIR SUPPLIES"
"DIVERSION_CHALLENGES_DESTROY_STAG_VEHICLES": "DESTROY STAG VEHICLES"
"HITMAN_START": "COLLECT HITMAN TARGET LIST"
"DIVERSION_CHOP_SHOP_COOP_COLLECTION_REWARD": "You received $%d and %d respect for helping your co-op partner."
"ACT_HITMAN_WARN WITNESS_MSG": "TAKE CARE OF THE WITNESSES"
"DIVERSION_SURVIVAL_NEXT_LOCATION_TAG": "FOLLOW THE INDICATOR MINIMAP TO THE NEXT LOCATION"
"DIVERSION_DRIFTING_TITLE": "POWERSLIDE"
"DIVERSION_CHOP_SHOP_NAME_1": "DIETER'S CHOP SHOP"
"DIVERSION_VEHICLE_SURFING_BEST_HANDSTAND_TIME": "RECORD HANDSTAND"
"DIVERSION_BEST_WHEELIE_FEET": "Record Wheelie: %.0fft"
"DIVERSION_BASE_JUMPING_START": "SET A BASEJUMPING TARGET"
"DIVERSION_CHALLENGES_SURVIVAL_COMPLETED": "SURVIVAL COMPLETED"
"DIVERSION_CHALLENGES_MINUTE_SURF": "VEHICLE SURFED"
"DIVERSION_COMBAT_TRICKS_HELI_KILL": "AIRCRAFT KILL"
"ACT_HITMAN_KILL WRONG_MSG": "The [format][color:red]target[/format] wasn't killed as ordered. You won't receive a bonus."
"DIVERSION_CHALLENGES_GRENADE_KILLS": "GRENADE KILLS"
"DIVERSION_BEST_WHEELIE": "RECORD WHEELIE"
"DIVERSION_BACK_SEAT_DRIVER_TITLE": "ROADKILL"
