​‍‍​​‍​‍​‍‍‍‍​​‍​‍​​‍​‍​​‍​​​​‍​​‍​‍​​‍‍​‍​‍​‍​‍​‍‍​​‍​​​‍​​​‍​​​‍​​‍​​‍​‍‍​‍​‍​​‍‍‍​​​​​​‍‍​‍‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍‍‍‍​​​​‍‍​‍​​​​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍​​‍‍‍​​‍‍‍​‍‍​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍‍​‍‍​​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍​‍​​​‍​‍‍​​​‍‍​‍‍​‍‍​‍​​‍‍‍​​‍​‍‍​‍​‍‍​‍‍​​‍​​​‍​‍​‍‍‍​‍​​‍‍‍​​‍‍​‍‍​​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​​‍‍​​​‍​‍​‍‍​​‍​​‍‍​​‍​​‍​‍​‍‍​​‍​​‍​‍​​‍​‍​​‍​​‍​​​​‍‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​‍​‍‍‍​‍​‍​‍‍​​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍‍​​​‍‍​​‍‍​‍​‍​‍​​‍‍​​​‍​‍​‍​​​‍​‍​​​‍​‍‍‍‍​‍​​‍​​‍‍‍‍​‍​‍​‍‍‍​‍​‍​‍​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍‍​​‍‍‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​‍‍​​​​​​‍‍​‍​‍​‍​​‍‍‍​​‍‍​‍​‍​​‍‍​‍​‍‍​​‍‍​‍​​​‍​​‍‍​​​‍​‍​‍​​​‍​‍‍​​‍​‍‍‍‍​​‍​‍​‍‍​‍​​‍‍​‍​‍​​‍​​‍‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍‍‍​‍​​‍​‍​​‍‍​‍​‍‍​‍​‍‍​‍​​‍‍​‍​‍​​‍‍​‍​​​​‍‍​‍​‍​​‍​​‍‍​‍​‍​​​​‍‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​‍​‍​​‍‍​‍‍​​​‍‍​​​‍‍​​‍‍​​‍​​‍​‍​‍‍​​‍‍‍‍​​‍​‍‍​​‍​​​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍​‍​‍‍​‍​‍​​​‍​​‍‍​​‍​​​‍‍‍​​‍​‍‍​‍​‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍​​​‍​‍​‍‍​‍​​‍​‍​​‍‍‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​​‍​​‍​​‍‍​‍​‍​​​‍​​​‍‍​​​‍‍​​‍‍​​‍​​‍​​‍‍​‍​​‍‍​​‍​​‍​​‍‍​‍​​‍‍​​​‍​‍​​‍‍‍​​‍‍‍‍​​‍​​‍‍​​​​​​‍‍​​‍​​‍​‍‍​‍​​‍‍​‍​‍​​‍​​‍‍​‍​‍‍‍‍​​​​‍​​‍‍​​​‍​‍​‍​​​‍​‍​​​‍​​‍‍​​​‍​‍​‍‍​​‍​‍‍‍‍​‍​​‍‍​​​‍‍​‍‍‍​‍​​​‍​‍‍​​‍​‍​‍​‍‍‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​‍‍‍‍​‍​‍​​‍‍​​‍‍​​​​​‍‍‍​‍‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍‍​‍​​​​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍​‍​‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​​​‍​​​‍‍​​‍​​​‍‍​‍​​​​‍​​‍‍‍​​‍‍​‍‍​‍​‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​​‍​​​​‍‍​‍​​‍​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​​‍‍​‍​‍​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍‍‍​​‍‍​‍​‍​​‍‍​​​​​‍​‍​‍​‍​‍​​‍​​​​‍​​‍​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍​​​‍‍‍​‍​​​‍‍​​‍‍​‍‍‍​​‍​‍‍​​‍​‍​‍‍​​​​‍​‍​​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍‍​‍​​​​‍​​‍‍​‍​​​​‍​‍‍​‍​​​‍‍​​‍​​‍​​​‍‍​​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍​‍​‍‍​‍‍​​​‍​​​‍​‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍‍‍‍​‍​​‍‍​‍​‍‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍​​‍‍​‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​‍‍​​​​​​‍‍​​​​​‍​​‍‍‍‍​‍​​​‍​​​‍‍​‍‍​​​‍‍​‍‍​​​‍​​‍‍​​​‍​‍​‍​​​‍‍​‍​‍‍​​‍‍​​‍​​‍​​‍‍‍‍​‍​‍​‍​​​‍‍​​‍‍‍​‍‍‍​‍​​​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍​‍​​‍‍​‍‍​‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​​‍​​‍‍​‍‍​‍​‍​​‍‍‍‍​‍​​​‍‍‍​‍​​‍‍​‍​‍‍‍​‍‍‍​‍​​‍​​‍​‍‍​‍​​‍​‍‍‍​‍‍‍​‍‍​‍​​‍​‍​‍​‍​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍‍​‍​​‍​‍‍​‍​​‍​‍‍​​​​‍​​‍​‍​​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​‍​​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​‍‍​‍‍​​​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍​‍‍‍​‍​​‍‍‍​​‍‍‍‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍​‍​‍​​‍‍​​‍‍​‍​​‍‍​​​‍​‍​‍​​​‍​‍‍​‍​​‍‍​‍‍​‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​​‍​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍​‍​‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍‍‍‍​​‍​​‍‍​​​‍​‍‍​‍​​​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​​‍‍​‍​​‍‍​‍​‍​‍​​‍‍​​​‍​‍​‍​​​‍​​​​‍​​‍‍​‍‍​​​‍​​‍‍‍‍​‍​​​‍‍‍​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍‍​‍​‍‍​‍​​‍‍‍​​​‍‍​​‍​​‍​​​‍​‍​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​​‍‍​‍​​‍​‍​​​‍‍‍​​‍​‍‍​​‍‍​​‍​‍​​​‍​​‍‍‍‍​‍​​‍‍‍‍​‍// extra_dumps: keys present in JP tables but absent in US tables
// format: "MODULE\KEY": "JP"  [CZ: ...]   (JP text decoded via charlist_jp)

// ===== activity =====
"activity\HASH_6F9BAA83": "始末したギャング幹部："  [CZ: ZABITÍ KAPITÁNI:]
"static\HASH_D5C46250": "デスタグ：キル"  [CZ: TAG SMRTI: ZABITÍ]
"static\HASH_9B93BC50": "デバージョンで獲得したブロンズスター"  [CZ: BRONZOVÉ HVĚZDY ZA HRY]
"static\Max Notoriety Col2_NAME": "悪評度ランキング"  [CZ: NEJLEPŠÍ HRÁČI KLIDU]
"static\BasicSP": "{C10}をプレイしています"  [CZ: HRAJE: {C10}]
"static\VOLITION": "VOLITION"  [CZ: VOLITION]
"static\Diversion Silver Stars_NAME": "シルバースター"  [CZ: STŘÍBRNÉ HVĚZDY]
"static\Escort": "エスコート"  [CZ: ESKORTA]
"static\DrugTrafficking": "デリバリー"  [CZ: OBCHODOVÁNÍ S DROGAMI]
"static\InsFraud": "保険金詐欺"  [CZ: POJISTNÝ PODVOD]
"static\HASH_E66AA7D9": "デスタグ：稼いだ金額"  [CZ: TAG SMRTI: VYDĚLANÉ PENÍZE]
"static\HASH_336F665B": "デスタグ：敗北"  [CZ: TAG SMRTI: PROHRY]
"static\Time at Highest Police Notoriety_NAME": "最大警察悪評度時間"  [CZ: DOBA S MAXIMÁLNÍ POZORNOSTÍ POLICIE]
"static\HASH_CE3F7EDD": "アジトのアップグレードに費やしたキャッシュ"  [CZ: PENÍZE VYNALOŽENÉ NA VYLEPŠENÍ BEJVÁKŮ]
"static\HASH_A885535E": "ハイドロ"  [CZ: HYDRAULIKA]
"static\HASH_FB3AF7E0": "デスタグ：1ラウンド最多デス"  [CZ: TAG SMRTI: NEJVÍCE ÚMRTÍ V KOLE]
"static\HASH_7A3484E1": "デバージョンで獲得したシルバースター"  [CZ: STŘÍBRNÉ HVĚZDY ZA HRY]
"static\HASH_F85DA761": "デバージョンで獲得したゴールドスター"  [CZ: ZLATÉ HVĚZDY ZA HRY]
"static\HumanTorch": "ファイアレース"  [CZ: ŽIVÁ POCHODEŇ]
"static\Total Civilian Kills_NAME": "市民キル合計"  [CZ: ZABITÝCH CIVILISTŮ]
"static\Partners in Crime_DESC": "協力プレイでストーリーミッションをすべてクリアした"  [CZ: KOOPERATIVNĚ DOKONČENY VŠECHNY MISE RONINŮ]
"static\SinglePlayer": "シングルプレイヤー"  [CZ: HRA JEDNOHO HRÁČE]
"static\HASH_646BCE68": "協力プレイ メタゲーム：稼いだ金額"  [CZ: KOOPERATIVNÍ METAHRA: ZÍSKANÉ BONUSOVÉ PENÍZE]
"static\HASH_719A436A": "ハイドロで獲得したリスペクト"  [CZ: RESPEKT ZÍSKANÝ ZA HYDRAULIKU]
"static\Human Thrown Distance_NAME": "最大投てき距離"  [CZ: NEJDELŠÍ HOD]
"static\Total Gang Kills_NAME": "ギャングキル合計"  [CZ: CELKOVÝ POČET ZABITÝCH ČLENŮ GANGU]
"static\HASH_937C34EF": "スタイル評価"  [CZ: HODNOCENÍ STYLU]
"static\Time at Highest Gang Notoriety_NAME": "最大ギャング悪評度時間"  [CZ: DOBA S MAXIMÁLNÍ POZORNOSTÍ GANGŮ]
"static\Matchmaking": "ゲームを探しています"  [CZ: HLEDÁ ZÁPASY]
"static\Diversion Bronze Stars_NAME": "ブロンズスター"  [CZ: BRONZOVÉ HVĚZDY]
"static\HASH_A166F6F5": "マッサージで獲得したリスペクト"  [CZ: RESPEKT ZÍSKANÝ ZA PASÁCTVÍ]
"static\Max Notoriety Col1_NAME": "悪評度ランキング"  [CZ: NEJLEPŠÍ HRÁČI KLIDU]
"static\SPActivity": "{C10}をプレイしています アクティビティ：{C3}"  [CZ: HRAJE: {C10}  AKTIVITA: {C3}]
"static\HASH_CC9E7A7D": "デスタグ：プレイ時間"  [CZ: TAG SMRTI: CELKOVÝ ČAS]

// ===== voice_script =====
"voice_script\BMPLAYER_ANGEL_HIGHEND_6": "待て あいつらは自ら始末―"  [CZ: Moment, oni tě chtěj za-]
"voice_script\HASH_1FD32060": "ちょっと　ヒッピーって―"  [CZ: Hele, já nejsem vys-]
"voice_script\HASH_38ED2F80": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_8B0F1FA0": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_1BAE1380": "　"  [CZ: Křičí v agónii.]
"voice_script\HASH_715FFE20": "そんなに経ったか"  [CZ: Nemůžu uvěřit, že je to už tak dlouho.]
"voice_script\HASH_C39278C1": "フィード・ドッグスのライブの後 港を調べるように指示を出したでしょ　あんた―"  [CZ: Po koncertě Feed Dogs jsem ti volal, ať zajdeš do doků, a tys ře-]
"voice_script\WFPLAYER_SNATCH_DTOWN_5": "私ははただ―"  [CZ: Ne, já jen-]
"voice_script\WMPLAYER_SNATCH_DTOWN_5": "俺はただ―"  [CZ: Ne, já jen-]
"voice_script\HASH_4E292342": "いつでもいいぜ"  [CZ: Si piš.]
"voice_script\HASH_2ABD4183": "　"  [CZ: Výkřiky]
"voice_script\HASH_85CA8623": "　"  [CZ: Křičí v agónii.]
"voice_script\HASH_AE2FC704": "バカなガキが―"  [CZ: Mladej, právě jsi udělal hlou-]
"voice_script\WMPLAYER_CC_SUBURBS_2": "どういう意味―"  [CZ: Co tím my-]
"voice_script\HASH_FF1E8064": "時間があるなら　俺たちが―"  [CZ: Když vám dám trochu času, můžem-]
"voice_script\HASH_680D6FE4": "時間があるなら　俺たちが―"  [CZ: Když vám dám trochu času, můžem-]
"voice_script\HASH_DD52FF84": "　"  [CZ: *mluví mandarínsky*]
"voice_script\HASH_6D48F1E4": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_683821A5": "荒い息遣い"  [CZ: Těžce dýchá]
"voice_script\HASH_6D135BE5": "よく聞いて このクソ―"  [CZ: Poslouchej, ty podělaná kur-]
"voice_script\HASH_DB429505": "バカなガキが―"  [CZ: Mladej, právě jsi udělal hlou-]
"voice_script\HASH_4C517A85": "バカなガキが―"  [CZ: Mladej, právě jsi udělal hlou-]
"voice_script\HASH_8A73D265": "時間があるなら　俺たちが―"  [CZ: Jestli máte lidi čas, tak může-]
"voice_script\HASH_74C69205": "待て あいつらは自ら始末―"  [CZ: Počkat, jsou ochotní za-]
"voice_script\HASH_C1990CE5": "てめえを見つけたら―"  [CZ: Až tě najdu, tak-]
"voice_script\HASH_E4317D25": "やるしかなかったん―"  [CZ: Neměl jsem na vyb-]
"voice_script\HASH_7DBA5505": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_03B5B425": "　"  [CZ: Zmučeně křičí.]
"voice_script\HASH_D6120945": "何も知らねえ―\n1250"  [CZ: Nevím pro-]
"voice_script\HASH_B8115BE6": "万に一つも望みはねえぞ..."  [CZ: Nemáš žádnou zkurvenou šanci.]
"voice_script\HFPLAYER_SNATCH_DTOWN_5": "私ははただ―"  [CZ: Ne, já jen-]
"voice_script\HASH_F2E998C6": "出ていきな　ヴォーゲル"  [CZ: Zmiz odsud, Vogele.]
"voice_script\HASH_7477C846": "ありがとよ　ローラ\n2000"  [CZ: Díky za pomoc, Lauro.]
"voice_script\HMPLAYER_SNATCH_DTOWN_5": "俺はただ―"  [CZ: Ne, já jsem-]
"voice_script\HMPLAYER_CC_SUBURBS_2": "どういう意味―"  [CZ: Co mi chc-]
"voice_script\HASH_72D21386": "出ていけ　ヴォーゲル"  [CZ: Vypadni odsud, Vogele.]
"voice_script\HASH_E3DEC0A6": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_BC6A6206": "　"  [CZ: Křičí.]
"voice_script\HASH_3575E3E6": "　"  [CZ: Japonsky: \"Ještě není konec!\"]
"voice_script\HASH_6FC9BC67": "荒い息遣い"  [CZ: Těžce dýchá]
"voice_script\HASH_6AE2C627": "よく聞いて このクソ―"  [CZ: Poslouchej, ty podělaná kur-]
"voice_script\HASH_9DB44987": "それぐらいにしておいた―"  [CZ: Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu.]
"voice_script\HASH_C6689127": "てめえを見つけたら―"  [CZ: Až tě naj-]
"voice_script\HASH_011A9A47": "ありがとよ　ローラ\n2000"  [CZ: Dík za pomoc, Lauro.]
"voice_script\HASH_461D1067": "　"  [CZ: *mluví mandarínsky*]
"voice_script\HASH_7C119447": "もうだいぶ経つぜ　そろそろ―"  [CZ: Jo, už jsou pryč pěkně dlouho, snad bych mohl-]
"voice_script\HASH_0555ED08": "フィード・ドッグスのライブの後 港を調べるように指示を出したでしょ　あんた―"  [CZ: Po koncertě Feed Dogs jsem ti volal, ať zajdeš do doků, a tys ře-]
"voice_script\HASH_8A17BC68": "すぐに戻るわ　さっさと―\n3000"  [CZ: Moc dlouho ne, takže radši běž-]
"voice_script\HASH_AC2768C8": "あのタトゥー職人は―"  [CZ: A co jejich tet-]
"voice_script\HASH_B9BB2108": "　"  [CZ: Japonsky: \"Proč bych se o to měl starat?\"]
"voice_script\HASH_7FF4FC48": "猛烈に叫ぶ"  [CZ: Agresivně křičí.]
"voice_script\HASH_1FC60809": "出ていきな　ヴォーゲル"  [CZ: Zmiz odsud, Vogele.]
"voice_script\BFPLAYER_SNATCH_DTOWN_5": "私ははただ―"  [CZ: Ne, já jen-]
"voice_script\HASH_9FFD8349": "出ていけ　ヴォーゲル"  [CZ: Vypadni odsud, Vogele.]
"voice_script\HASH_0A3F1C09": "セインツのせいなんだ　あいつら―"  [CZ: To svatí, ti -]
"voice_script\BMPLAYER_SNATCH_DTOWN_5": "俺はただ―"  [CZ: Ne, já jsem-]
"voice_script\HASH_20560409": "任せてください...　父上　私がジュンイチの後を引き継いで ギャットを始末し―"  [CZ: Budeš na mě hrdý, otče, dokončím, co začal Jyunichi, zabiju Gata a-]
"voice_script\HASH_0C5F6BA9": "ピアースのヤツ　またなにか言ってんの？"  [CZ: Pierce už zase žvaní nesmysly, páč mě je jedno, co-]
"voice_script\HASH_71990EE9": "買い物に行かせたわ　すぐに戻るはずよ―"  [CZ: Poslala jsem ho pro něco do obchodu, za chvíli je zpě-]
"voice_script\HASH_02A470CA": "フィード・ドッグスのライブの後 港を調べるように指示を出したでしょ　あんた―"  [CZ: Po koncertě Feed Dogs jsem ti volal, ať zajdeš do doků, a tys ře-]
"voice_script\HASH_9EE49CEA": "待ってよ あいつらは自ら始末―"  [CZ: Počkat, jsou ochotní za-]
"voice_script\HASH_923BFE0A": "お守りなんて―"  [CZ: Nemusíš mě opečo-]
"voice_script\HASH_4BF7560A": "もしもし"  [CZ: *mluví japonsky*]
"voice_script\KAZUO_RON11_ATTACK_9": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_1D196BCB": "ああ"  [CZ: Jo.]
"voice_script\BMPLAYER_RO11_ATTACK_03": "ウォンには手を出させねえ..."  [CZ: Na Wonga nikdo sahat nebude!]
"voice_script\HASH_5C82418C": "それぐらいにしておいた―"  [CZ: Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu.]
"voice_script\HASH_AEFFB46C": "荒い息遣い"  [CZ: Těžce dýchá]
"voice_script\HASH_ABD4CE2C": "よく聞いて このクソ―"  [CZ: Poslouchej, ty podělaná kur-]
"voice_script\HASH_81E91C8C": "叫ぶ"  [CZ: Křičí]
"voice_script\HASH_65017E8C": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_17451C6C": "聞いてくれ　私は君の味方だ 前向きに考えよう　ヤツらは死んだんだ これからはセインツの支持者がアルターを経営し―"  [CZ: Věř mi, 100% s tebou souhlasím, ale musíš to brát i z tý lepší stránky: jsi naživu, oni prdí do hlíny a Ultor vede největší obdivovatel Svatých.]
"voice_script\HASH_FBF6020C": "ジョニー！"  [CZ: Johnny, je to pa-]
"voice_script\HASH_68B455CD": "出ていきな　ヴォーゲル"  [CZ: Zmiz odsud, Vogele.]
"voice_script\HASH_E88FDE8D": "出ていけ　ヴォーゲル"  [CZ: Zmiz odsud, Vogele.]
"voice_script\HASH_0690D88D": "そいつだ"  [CZ: Dobrý nápad]
"voice_script\HASH_6AF91AED": "そういえば―"  [CZ: A k tomu -]
"voice_script\HASH_09299C2D": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_3D6C128D": "どちら様でしょうか？"  [CZ: Koho mám ohlá-]
"voice_script\HASH_5B73DC4E": "それぐらいにしておいた―"  [CZ: Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu.]
"voice_script\HASH_E6641EEE": "何のことだか―"  [CZ: Nechápu, co-]
"voice_script\HASH_7177F16E": "何のことだか―"  [CZ: Nechápu, co -]
"voice_script\HASH_00AF04EE": "てめえを見つけたら―"  [CZ: Až tě najdu, tak-]
"voice_script\HASH_93094CEF": "何のことだか―"  [CZ: Nechápu, co-]
"voice_script\HASH_0161454F": "そいつだ"  [CZ: Dobrej nápad.]
"voice_script\HASH_36679C2F": "　"  [CZ: Křičí.]
"voice_script\HASH_183E92EF": "ヴァルデラマさ―"  [CZ: Slečno Valdera-]
"voice_script\HASH_D49F59F0": "時間があるなら　私たちが―"  [CZ: Jestli máte lidi čas, tak může-]
"voice_script\HFPLAYER_SNATCH_DTOWN_4": "もしかしたらあんたが―"  [CZ: To jen zna-]
"voice_script\HASH_37277670": "フィード・ドッグスのライブの後 港を調べるように指示を出しただろ　お前―"  [CZ: Po koncertě Feed Dogs jsem ti volal, ať zajdeš do doků, a tys ře-]
"voice_script\HASH_85AE1E90": "バカなガキが―"  [CZ: Tak tohle byla blb-]
"voice_script\HMPLAYER_SNATCH_DTOWN_4": "もしかしたらお前が―"  [CZ: Ještě ten ma-]
"voice_script\HASH_12BDF110": "バカなガキが―"  [CZ: Tak tohle byla blb-]
"voice_script\HASH_CB6D5290": "　"  [CZ: Škube sebou]
"voice_script\HASH_A1F20BF1": "時間があるなら　私たちが―"  [CZ: Jestli máte lidi čas, tak může-]
"voice_script\HASH_36E1E471": "時間があるなら　私たちが―"  [CZ: Jestli máte lidi čas, tak může-]
"voice_script\HASH_F0C34C91": "バカなガキが―"  [CZ: Mladej, právě jsi udělal hlou-]
"voice_script\HASH_E8B8E6F1": "待て あいつらは自ら始末―"  [CZ: Moment, oni tě chtěj za-]
"voice_script\HASH_5FF611D2": "ありがとよ　ローラ\n2000"  [CZ: Díky za pomoc, Lauro.]
"voice_script\HASH_C8E5FE52": "ありがとよ　ローラ\n2000"  [CZ: Díky za pomoc, Lauro.]
"voice_script\HASH_30D6EBB2": "フィード・ドッグスのライブの後 港を調べるように指示を出しただろ　お前―"  [CZ: Po koncertu Feed Dogs jsem ti volal, ať se koukneš do doků, a tys řík-]
"voice_script\HASH_11EC9692": "よく来てくださいました"  [CZ: Těší mě, že jsi mohl přijít.]
"voice_script\HASH_AF7EB552": "　"  [CZ: *mluví mandarínsky*]
"voice_script\HASH_CCE4E232": "泣き叫ぶ"  [CZ: Výkřiky.]
"voice_script\HASH_2D258A92": "　"  [CZ: Křičí]
"voice_script\HASH_2A9B43D3": "ありがとよ　ローラ\n2000"  [CZ: Díky za pomoc, Lauro.]
"voice_script\HASH_8A2CF3F3": "そんなに経ってたのか"  [CZ: Nechce se mi věřit, že už je to tak dlouho.]
"voice_script\HASH_A11539D3": "言ってるだろ　知らね―\n1250"  [CZ: Čéče, povídám, že nevím.]
"voice_script\HASH_589E3D13": "　"  [CZ: Vzteklý křik]
"voice_script\SUNSHINE_SOS09_USEDOLL_5": "サンズ・オブ・サムディの前にひざまずけ..."  [CZ: Poklekni před Synem Samediho.]
"voice_script\WFPLAYER_SNATCH_DTOWN_4": "もしかしたらあんたが―"  [CZ: To jen zna-]
"voice_script\WMPLAYER_SNATCH_DTOWN_4": "もしかしたらお前が―"  [CZ: To jen zna-]
"voice_script\HASH_6EF0DAF4": "それぐらいにしておけ―"  [CZ: Radím ti zavřít klapačku, než...]
"voice_script\HASH_9C8D2F14": "荒い息遣い"  [CZ: Těžce dýchá]
"voice_script\HASH_99A65554": "よく聞け このクソ―"  [CZ: Tak hele, ty zasraná dě-]
"voice_script\HASH_15CC6354": "ドニー　どこ行って―"  [CZ: Hej, Donnie, kde jsi-]
"voice_script\HASH_43D54035": "信じられねえ　あのカートをいただくぜ..."  [CZ: Ale hovno utíkaj, sebereme tamten vozík..]
"voice_script\HASH_34E243F5": "そいつよ"  [CZ: Dobrý nápad]
"voice_script\BFPLAYER_CC_SUBURBS_2": "どういう意味―"  [CZ: Co tím my-]
"voice_script\HASH_D18E8AB5": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_5DBA7115": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_32DD9F96": "あんたを見つけたら―"  [CZ: Až tě naj-]
"voice_script\HASH_69014736": "それぐらいにしておけ―"  [CZ: Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu.]
"voice_script\HASH_68D410F6": "ごめんなさい..."  [CZ: Hele, je mi to...]
"voice_script\HASH_FC082F36": "　"  [CZ: *mluví japonsky*]
"voice_script\HASH_6CA92316": "　"  [CZ: Dýchá rychleji a mělce.]
"voice_script\HASH_3313DE37": "そいつよ"  [CZ: Dobrý nápad]
"voice_script\HASH_FDA26D37": "数日中に―"  [CZ: V nadcházejících dnech...]
"voice_script\HASH_C0749FD7": "雰囲気変わったな　お前―"  [CZ: Vypadáš nějak jinak, máš-]
