// extra_dumps: static - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"STAT_DRIVING_TWOWHEELS": "TWO WHEELS"
"STORE_GARAGE_MSG": "ACCESS YOUR GARAGE"
"STAT_GRENADE_KILLS": "GRENADE KILLS"
"STAT_MAX_HUMAN_THROWN_DIST": "MAX HUMAN THROWN DISTANCE"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "CO-OP: TANDEM DIVERSIONS COMPLETED"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "LONGEST WINDSHIELD CANNON"
"STAT_DRIVING_WINDSHIELD": "WINDSHIELD CANNON"
"ESCORT_NAME_32A": "BLOODY"
"STORE_TEXT_DISCARD": "Do you want to discard this item from your Wardrobe?"
"HORDE_MODE_TITLE_FINAL_FAIL": "FINAL WAVE FAILED"
"STAT_SEX_DOLLS_FOUND": "SEX DOLLS FOUND"
"STAT_RIFLE_HIT_PCT": "RIFLE HIT PERCENTAGE"
"STAT_DRIVING_WRONGWAY": "ONCOMING LANE"
"ESCORT_NAME_28B": "DOUBLE-STUFF"
"HORDE_MODE_INVULNERABILITY": "Invulnerability!"
"ESCORT_NAME_34A": "GREEK"
"VCUST_GARAGE_EXIT_PROMPT": "Are you sure you want to exit the garage?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPECT EARNED FROM NEAR MISSES"
"STAT_FAVORITE_WEAPON": "FAVORITE WEAPON"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Are you sure you want to create this outfit?"
"STAT_COOP_ACTIVITIES_COMPLETED": "CO-OP: ACTIVITIES COMPLETED"
"STAT_MILES_BY_CAR": "MILES TRAVELED BY CAR"
"STAT_FRAUD_DIVES_TAKEN": "INSURANCE FRAUD: DIVES TAKEN"
"STAT_BARN_FOUND": "BARNSTORM LOCATIONS FOUND"
"ESCORT_NAME_36A": "FIERY"
"STAT_TOTAL_CASH_EARNED": "TOTAL CASH EARNED"
"STAT_DRIVING_BIGAIR_DISTANCE": "MOST DISTANCE"
"STAT_SHOTS_FIRED": "SHOTS FIRED"
"STAT_POLICE_NOTORIETY_TIME": "TIME AT HIGHEST POLICE NOTORIETY"
"ACT_HITMAN_LEAVE_FULL": "Do you really want to leave Hitman?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "HELI ASSAULT: TARGETS DESTROYED"
"STAT_THROWN_HIT_PCT": "THROWN WEAPON HIT PERCENTAGE"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "GUARDIAN ANGEL COMPLETED"
"STAT_COMBAT_CAR": "GANG VEHICLE KILLS"
"GARAGE_CAT_2": "COLORS"
"STAT_SNIPER_SHOTS_FIRED": "SNIPER RIFLE SHOTS FIRED"
"STAT_MISSIONS_COMPLETED": "MISSIONS COMPLETED"
"WPN_STORE_RIFLE_TITLE": "RIFLES"
"STORE_ITEM_STYLE_AWARD": "+ {0} STYLE"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "RETRIEVE"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAR"
"ESCORT_NAME_19B": "JIMMY"
"STORE_EXIT_WARNING_BODY": "Exit Store\n\nAre you sure?"
"PLAYER_CREATION_SAVE_CHANGES": "Do you want to save your changes?"
"STAT_WHEELIE_LONGEST_DISTANCE": "LONGEST WHEELIE DISTANCE"
"STAT_CIVILIANS_KILLED": "CIVILIANS KILLED"
"STAT_DISTANCE_BY_VEHICLE": "DISTANCE BY VEHICLE"
"STAT_CASH_EARNED_PER_DAY": "EARNED PER HOUR"
"STAT_FRAUD_BEST_DIVE": "INSURANCE FRAUD: BEST DIVE"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPECT EARNED THROUGH ACTIVITIES"
"STAT_HOSPITAL_BILLS": "HOSPITAL BILLS"
"ESCORT_NAME_8B": "CORKSCREW"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "TRAFFICKING COMPLETED"
"STAT_COMBAT_ENEMY": "GANG KILLS"
"STAT_HOLDUP_CASH": "CASH EARNED AS A STICK-UP MAN"
"STAT_BASE_JUMP": "BASE JUMPING"
"RADIO_STATION_THE_MIX": "THE MIX"
"STORE_TATTOO_PARLOR_MSG": "GET A TATTOO"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "LONGEST STREAK AT HIGHEST POLICE NOTORIETY"
"ESCORT_NAME_15B": "LOLLIPOP"
"ESCORT_NAME_6B": "TATTOO"
"STAT_TOTAL_DISTANCE_TRAVELLED": "TOTAL DISTANCE TRAVELLED"
"STAT_DIVERSIONS_COMPLETED": "DIVERSIONS COMPLETED"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTAL DAMAGE TAKEN"
"STAT_MILES_BY_AIRCRAFT": "MILES TRAVELED BY AIRCRAFT"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "SPENT ON CUSTOMIZATION ITEMS"
"STAT_MAX_STUNT_JUMP_SPIN": "MAX JUMP SPIN"
"HORDE_MODE_TITLE_KILLS": "KILLS"
"HORDE_MODE_WAVE_TAG": "WAVE"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: CASH EARNED"
"STAT_PISTOL_SHOTS_FIRED": "PISTOL SHOTS FIRED"
"STAT_ACTIVITIES_COMPLETED": "ACTIVITIES COMPLETED"
"ESCORT_NAME_17B": "VICE GRIP"
"ESCORT_NAME_4B": "DRAGON"
"CUST_DIALOG_DISROBE_BODY": "This will remove all your current clothes. \nBeing nude allows you to Streak. \nAre you sure?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "You can't take any more ammo for the following item from your crib: \"%s.\""
"STAT_STAG_COMMANDOS_KILLED": "STAG COMMANDOS KILLED"
"STAT_FBI_KILLED": "FBI KILLED"
"STORE_TITLE_INSUFFICIENT_FUNDS": "INSUFFICIENT FUNDS"
"STAT_NEIGHBORHOODS_CONTROLLED": "NEIGHBORHOODS CONTROLLED"
"ESCORT_NAME_11B": "SHOCKER"
"ESCORT_NAME_2B": "TRUMPET"
"STAT_COOP_KILLS": "CO-OP: PLAYER KILLS"
"STAT_MAYHEM_BEST_ROUND": "MAYHEM: BEST ROUND"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "GUARDIAN ANGEL: NUMBER OF CELEBRITIES PROTECTED"
"STAT_COMBAT_MOTORCYCLE": "SLICE 'N DICE KILLS"
"STAT_MILES_BY_VEHICLE": "TRAVELED BY VEHICLE"
"VCUST_EXIT_PROMPT": "Are you sure you want to exit vehicle customization?"
"VCUST_EXTRA_HIGH_PROFILE": "EXTRA HIGH PROFILE"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "CAT & MOUSE: MOST POINTS EARNED"
"STAT_SHOTGUN_HIT_PCT": "SHOTGUN HIT PERCENTAGE"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "GUARDIAN ANGEL: NUMBER OF ATTACKERS KILLED"
"STAT_MUGGINGS_COMPLETED": "MUGGINGS COMPLETED"
"ESCORT_NAME_13B": "TWISTER"
"CUST_ITEM_VIEW_OUTFITS": "VIEW OUTFITS"
"STAT_COMBAT_MELEE": "BEAT DOWN KILLS"
"STAT_MUGGINGS_CASH": "CASH EARNED AS MUGGER"
"STAT_MILES_ON_FOOT": "TRAVELED ON FOOT"
"NO_OUTFITS_DISPLAY_NAME": "NO OUTFITS"
"VEHICLE_COLOR_ADVANCED": "BASIC"
"STORE_CRIB_CLOTHING_MSG": "ACCESS YOUR WARDROBE"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTAL MULTI-KILLS"
"STAT_FLASHPOINTS_COMPLETED": "GANG OPERATIONS COMPLETED"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTAL TAUNTS GIVEN"
"ESCORT_NAME_17A": "HAIRY"
"ESCORT_NAME_4A": "ANGRY"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Do you want to pay %s?"
"STAT_HOLDUPS_STORES_ROBBED": "STORES ROBBED"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "SPENT ON CAR CUSTOMIZATION"
"STAT_CAT_MOUSE_LOSSES": "CAT & MOUSE: LOSSES"
"STAT_DRIVING_BURNOUT_TIME": "LONGEST BURNOUT"
"ESCORT_NAME_15A": "BROWN"
"ESCORT_NAME_6A": "MUSHROOM"
"STAT_TAUNT": "TAUNTING"
"STAT_WATERCRAFT_DESTROYED": "NUMBER OF WATERCRAFT DESTROYED"
"STAT_CARS_UNLOCKED": "CARS UNLOCKED"
"STAT_COMBAT_HEADSHOT": "HEADSHOTS"
"HASH_ABE420A4": "NONE AVAILABLE YET "
"VCUST_HUBCAP_NUMBER": "HUBCAPS #{0}"
"STAT_MILES_BY_WATERCRAFT": "MILES TRAVELED BY WATERCRAFT"
"STATS_NO": "NO"
"STAT_SHOT_HIT_PERCENTAGE": "SHOTS HIT"
"ESCORT_NAME_13A": "BACKDOOR"
"STAT_DRIVING_WHEELIE": "WHEELIES"
"STAT_UNIQUE_VEHICLES_OWNED": "UNIQUE VEHICLES OWNED"
"STATS_BLANK_OF_BLANK": "%d OF %d"
"GARAGE_CAT_4": "WHEELS"
"STAT_THROWN_WEAPON_USES": "THROWN WEAPONS USED"
"ESCORT_NAME_11A": "DRIPPING"
"ESCORT_NAME_2A": "RUSTY"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Killed enemies!"
"STAT_WEAPON_RIFLE": "RIFLE"
"STAT_COOP_STRONGHOLDS_COMPLETED": "CO-OP: STRONGHOLDS COMPLETED"
"GENERAL_YOU": "YOU"
"STAT_CAT_MOUSE_KILLS": "CAT & MOUSE: KILLS"
"STAT_RIFLE_SHOTS_FIRED": "RIFLE SHOTS FIRED"
"GARAGE_CAT_1": "BODY MODS"
"STORE_CLOTHING_STORE_MSG": "PURCHASE CLOTHING"
"MENU_SWAP_WEAPONS_CACHE": "WEAPONS CACHE"
"STORE_TITLE_PURCHASING": "PURCHASING"
"STAT_VEHICLES_HIJACKED": "VEHICLES HIJACKED"
"STAT_HOSTAGE_CASH": "CASH EARNED AS KIDNAPPER"
"TIME_SET_MIDNIGHT": "TIME SET MIDNIGHT"
"STORE_CHOOSE_A_CATEGORY": "CHOOSE A CATEGORY"
"STORE_ZOOM_ROTATE": "ZOOM / ROTATE"
"STAT_DRUG_PACKAGES_FOUND": "DRUG PACKAGES FOUND"
"STORE_EXIT_CLIPBOARD": "Exit Clipboard?"
"STAT_HITMAN_TARGETS_ELIMINATED": "HITMAN TARGETS ELIMINATED"
"STAT_BIKES_DESTROYED": "NUMBER OF MOTORCYCLES DESTROYED"
"STAT_MELEE_KILLS": "BEATDOWN KILLS"
"STATS_YES": "YES"
"ESCORT_NAME_8A": "GOLDEN"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Do you want to save your changes\nbefore exiting?"
"STAT_SMG_SHOTS_FIRED": "SMG SHOTS FIRED"
"STAT_SWAT_KILLED": "SWAT KILLED"
"COMPLETION_STYLE_BONUS": "STYLE BONUS"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "TANK MAYHEM: DAMAGE DONE"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "MAX POLICE NOTORIETY TIME"
"STAT_LONGEST_POWERSLIDE_TIME": "LONGEST POWERSLIDE TIME"
"STAT_TOTAL_MONEY": "TOTAL MONEY EARNED"
"ESCORT_NAME_19A": "SPITTING"
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "No previous save files were found.\nStart a new game?"
"STORE_UNDERWEAR_WARNING": "WARNING"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Primary Weapon Upgraded!"
"GARAGE_CAT_5": "DETAILS"
"STAT_CAT_MOUSE_TIME": "CAT & MOUSE: TIME SPENT"
"STAT_FRAUD_CASH_CLAIMED": "INSURANCE FRAUD: MONEY CLAIMED"
"STAT_DIVERSION_CASH_EARNED": "EARNED IN DIVERSIONS"
"STAT_BASE_OWNED": "PARACHUTE OWNED"
"STORE_CAR_MECHANIC_MSG": "VISIT THE MECHANIC"
"STAT_NEIGHBORHOODS_EXPLORED": "NEIGHBORHOODS EXPLORED"
"ESCORT_NAME_32B": "MATRIARCH"
"STAT_MISSIONS_FAILED": "MISSIONS FAILED"
"STAT_CAT_MOUSE_DEATHS": "CAT & MOUSE: DEATHS"
"STAT_COOP_TIME_PLAYED": "CO-OP: TIME PLAYED"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPECT EARNED FROM SLICE 'N DICE KILLS"
"STAT_MAX_STUNT_JUMP_DISTANCE": "MAX JUMP DISTANCE"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CREATION CONFIRMATION"
"GARAGE_REPAIR_MUST": "YOU CANNOT CUSTOMIZE YOUR VEHICLE UNLESS IT IS FULLY REPAIRED"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "MAX DECKER NOTORIETY TIME"
"STAT_SURFING_RESPECT": "RESPECT EARNED FROM VEHICLE SURFING"
"STAT_COMBAT_NUTSHOT": "NUTSHOTS"
"HORDE_MODE_NEW_TEXT": "Are you sure you want to restart Whored Mode?"
"STAT_SNATCH_LEVELS_COMPLETED": "SNATCH COMPLETED"
"ESCORT_NAME_36B": "BISHOP"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "FINAL WAVE COMPLETE"
"STAT_BRUTES_KILLED": "BRUTES KILLED"
"ESCORT_NAME_28A": "WICKED"
"STAT_STRONGHOLDS_COMPLETED": "STRONGHOLDS COMPLETED"
"STAT_DRIVING_DRIFTING_DISTANCE": "LONGEST POWERSLIDE"
"STAT_DRIVING_BIGAIR": "BIG AIR JUMPS"
"STAT_CUSTOM_ITEMS_OWNED": "CUSTOMIZATION ITEMS OWNED"
"STAT_CHOPSHOP_COMPLETED": "CHOP SHOPS COMPLETED"
"ESCORT_NAME_34B": "MANTIS"
"HORDE_MODE_NEW_WAVE_MESSAGE": "WAVE %i"
"STAT_BEST_WEAPON": "BEST WEAPON"
"STAT_HOSTAGES_EXTORTED": "HOSTAGES EXTORTED"
"ESCORT_NAME_26A": "SUBMISSIVE"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "REMAINING ENEMIES"
"STAT_LAW_ENFORCEMENT_KILLED": "TOTAL LAW ENFORCEMENT KILLED"
"MENU_SWAP_WEAPONS_STORE": "WEAPONS STORE"
"STAT_WEAPON_PISTOL": "PISTOL"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "CO-OP: TANDEM DIVERSION RECORDS"
"STAT_TIME_PLAYED": "TOTAL TIME PLAYED"
"ESCORT_NAME_24A": "RISING"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "INSURANCE FRAUD: TOTAL DIVE DISTANCE"
"STAT_HIGHEST_RANK_ACHIEVED": "HIGHEST RANK ACHIEVED"
"STAT_CAT_MOUSE_CASH_EARNED": "CAT & MOUSE: CASH EARNED"
"STAT_COMBAT_MULTI": "MULTI KILLS"
"STAT_TOTAL_CASH_SPENT": "TOTAL CASH SPENT"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAX DRIVER BAILOUT DAMAGE DONE"
"ESCORT_NAME_22A": "SHOOTING"
"WARDROBE_REMOVE_CLOTHING": "Do you want to remove the other clothes?"
"GANG_CUST_GANG_SIGN_POSE": "MOVE"
"STAT_COMBAT_ENEMY_RESPECT": "RESPECT EARNED FROM KILLING ENEMY GANGS"
"STAT_MAX_WHEELIE_DISTANCE": "MAX WHEELIE DISTANCE"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "PARACHUTE DISTANCE"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPECT EARNED FROM WINDSHIELD CANNONS"
"STAT_MAX_STOPPIE_DISTANCE": "MAX STOPPIE DISTANCE"
"ESCORT_NAME_20A": "KING'S"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "You can't take any more of the following item from your crib: \"%s.\""
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "MAX MORNINGSTAR NOTORIETY TIME"
"STAT_DRIVING_DRIFTING": "POWERSLIDING"
"WARDROBE_REMOVE_CLOTHING_TITLE": "REMOVE OTHER CLOTHING"
"VCUST_SPINNER_NUMBER": "SPINNERS #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "REMOVE ALL CURRENT CLOTHING"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "LUCHADOR SPECIALISTS KILLED"
"STAT_MISSIONS_ATTEMPTED": "MISSIONS ATTEMPTED"
"STAT_SNIPER_HIT_PCT": "SNIPER RIFLE HIT PERCENTAGE"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "INSURANCE FRAUD: LONGEST DIVE DISTANCE"
"STAT_SURFING": "VEHICLE SURFING"
"ESCORT_NAME_25B": "PHOENIX"
"STORE_TITLE_DISCARD": "DISCARD ITEM"
"HORDE_MODE_RETRY_TEXT": "Are you sure you want to retry this wave of Whored Mode?"
"HORDE_MODE_UNLIMITED_AMMO": "Bottomless Magazine!"
"STAT_TAUNT_GANG": "GANG MEMBERS TAUNTED"
"STAT_SPECIAL_AMMO_USED": "SPECIAL WEAPON SHOTS FIRED"
"ESCORT_NAME_39_A": "DOUBLE-FISTED"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ZOMBIE WAVE"
"STAT_RPG_HIT_PCT": "RPG HIT PERCENTAGE"
"STAT_MAX_STUNT_JUMP_FLIP": "MAX JUMP FLIP"
"ESCORT_NAME_27B": "MILKSHAKE"
"NO_ITEMS_DISPLAY_NAME": "NO ITEMS"
"HORDE_MODE_TITLE_PLAYER_SCORES": "PLAYER SCORES"
"STAT_DRIVING_BAILOUT_DISTANCE": "LONGEST BAILOUT"
"STAT_SHOTGUN_SHOTS_FIRED": "SHOTGUN SHOTS FIRED"
"STAT_MAYHEM_LEVELS_COMPLETED": "MAYHEM: COMPLETED"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPECT EARNED FROM POWERSLIDING"
"STAT_MANUALLY_AWARDED": "-"
"STAT_VEHICLES_DESTROYED": "VEHICLES DESTROYED"
"ESCORT_NAME_21B": "CORNHOLE"
"CONFIRM_DELETE_OUTFIT": "Are you sure you want to delete this outfit?\nYour clothes will remain in your wardrobe."
"STORE_AMBULANCE_MSG": "REQUEST HEALING"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "CAT & MOUSE: LONGEST DEATH STREAK"
"STAT_GANG_NOTORIETY_TIME": "TIME AT HIGHEST GANG NOTORIETY"
"WARDROBE_REMOVE_OUTFIT": "Do you want to remove this outfit from your wardrobe?"
"DEALER_NO_PALETTE": "No palette selection available."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "MORNINGSTAR SPECIALISTS KILLED"
"ESCORT_NAME_23B": "DILLOW"
"CONTROL_QUIT_WITHOUT_SAVING": "QUIT WITHOUT SAVING"
"GARAGE_NONE": "NO VEHICLES IN THE GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "WHORED MODE"
"STAT_CARS_DESTROYED": "NUMBER OF CARS DESTROYED"
"STAT_CHOPSHOP_CASH": "CASH EARNED IN CHOP SHOP"
"STAT_TOTAL_RESPECT": "TOTAL RESPECT EARNED"
"STAT_BEAT_COPS_KILLED": "BEAT COPS KILLED"
"ESCORT_NAME_31A": "CREEPING"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "New Wave!"
"STAT_MASCOTS_KILLED": "MASCOTS KILLED"
"STAT_DRIVING_STOPPIE_TIME": "LONGEST STOPPIE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "LONGEST CONTINUOUS VEHICLE SURF HANDSTAND"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "LONGEST TIME VEHICLE SURFED"
"STAT_BAIL_MONEY": "BAIL PAID"
"VCUST_WHEEL_WIDTH_OPTION": "WHEEL WIDTH"
"TAT_REG_BACK": "BACK"
"STAT_WEAPON_SNIPER": "SNIPER"
"STAT_COMBAT_MELEE_RESPECT": "RESPECT EARNED FROM BEAT DOWN KILLS"
"STAT_MAX_TWO_WHEELS_DISTANCE": "MAX TWO WHEELS DISTANCE"
"ESCORT_NAME_33A": "ROMAN"
"HORDE_MODE_TEAM_SCORE": "SCORE"
"STAT_VEHICLE_BIKE": "BIKE"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPECT EARNED FROM BIG AIR JUMPS"
"STAT_HOMIES_RECRUITED": "HOMIES RECRUITED"
"VEHICLE_TYPE_TITLE": "VEHICLE TYPE"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "CAT & MOUSE: MOST DEATHS IN A ROUND"
"STAT_CAT_MOUSE_WINS": "CAT & MOUSE: WINS"
"ESCORT_NAME_35A": "SITTING"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPECT EARNED FROM BURNOUTS"
"ESCORT_NAME_29B": "PRINCESS"
"CUST_ITEM_DELETE_OUTFIT": "DELETE OUTFIT"
"HORDE_MODE_MENU_NEW_GAME": "NEW GAME"
"STAT_DRIVING_STOPPIE": "STOPPIES"
"ESCORT_NAME_37A": "INVERTED"
"DUMMY_CHARACTERS_RUSSIAN": "AB"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTAL COPS TAUNTED"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCORT: NUMBER OF CLIENTS SERVICED"
"STAT_SURFING_TIME": "LONGEST VEHICLE SURF"
"STAT_HITMAN_TARGETS": "TARGETS ELIMINATED"
"ESCORT_NAME_38_B": "MONKEY WRENCH"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Challenge Wave!"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "MISSIONS/STRONGHOLDS EARNINGS"
"STAT_HOSTAGES_TAKEN": "HOSTAGES TAKEN"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "CO-OP: LONGEST STREAK AT HIGHEST POLICE NOTORIETY"
"RADIO_STATION_K12": "K12"
"STAT_COMBAT_THROWN": "THROWING"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "You cannot customize your vehicle unless it is fully repaired\nYou don't have enough money to repair your vehicle."
"STAT_BASE_HIGH": "HIGHEST JUMP"
"BODY_TITLE": "BODY"
"CONTROL_CANCEL": "CANCEL"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "EXIT DEMO"
"STORE_PLANET_SAINTS_MSG": "!!purchase items"
"HORDE_MODE_MENU_EXIT": "EXIT TO MAIN MENU"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "TRAIL BLAZING COMPLETED"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "TRAIL BLAZING: NUMBER OF OBJECTS TORCHED"
"STAT_LEVELS_COMPLETED": "LEVELS COMPLETED"
"STORE_NO_ITEMS_IN_CATEGORY": "THERE ARE NO ITEMS AVAILABLE IN THIS CATEGORY"
"UNLOCKABLE_TITLE_TEXT": "UNLOCKED"
"STAT_HITMAN_COMPLETED": "HITS COMPLETED"
"ESCORT_NAME_9B": "DRAGON"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "STORES OWNED"
"STAT_MAX_STUNT_JUMP_ROLL": "MAX JUMP ROLL"
"SURGEON_INSUFFICIENT_FUNDS": "You do not have enough money to visit the plastic surgeon."
"STAT_VEHICLE_AIRCRAFT": "AIRCRAFT"
"STAT_WEAPON_RPG": "RPG"
"STAT_COOP_DEATHS": "CO-OP: PLAYER-CAUSED DEATHS"
"STAT_SNATCH_PIMPS_KILLED": "SNATCH: NUMBER OF PIMPS KILLED"
"STAT_DRIVING_NEARMISS_CHAIN": "LONGEST NEAR MISS CHAIN"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "NECKLACE"
"GIANT_PLAYER_DESC": "You ate your green beans, you grow big."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Do you wish to purchase and save a \"%s\" for %s?"
"TUT_CRIB_GARAGE": "PRESS {ACTION_IMG} TO STORE THIS VEHICLE IN YOUR GARAGE"
"STAT_AIRCRAFT_DESTROYED": "NUMBER OF AIRCRAFT DESTROYED"
"STAT_SMG_HIT_PCT": "SMG HIT PERCENTAGE"
"ESCORT_NAME_16B": "SWIRL"
"ESCORT_NAME_5B": "SHOWER"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPECT EARNED FROM BAILOUTS"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPECT EARNED FROM DRIVING IN ONCOMING LANE"
"ESCORT_NAME_10B": "KNUCKLER"
"ESCORT_NAME_3B": "PUNCH"
