"MENU_LEFT_MOUSE": "Mouse sinistro"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "FURGONE DELLE TRASMISSIONI DISTRUTTO!\nAVVICINATI E BERSAGLIA IL FURGONE CON LA TELECAMERA."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   SINISTRA"
"PLT_MENU_PAUSE_FOCUS": "FOCALIZZAZIONE PERSA"
"PC_DOF_NORMAL": "NORMALE"
"PC_CAMERA_UNLOCKED": "VISUALE SBLOCCATA"
"DPAD_UP_TXT": "PULSANTE A"
"PCACTION_WEAPON_4": "ARMA 4"
"HASH_AEB9EE85": "Il matchmaking di GOG non ha trovato nessuna partita a cui collegarsi."
"MENU_CAMERA_SMART": "INTELLIGENTE"
"PC_RECORD_VIDEO": "REGISTRA VIDEO"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Collegamento interrotto."
"MENU_MOUSE_WHEEL_DOWN": "Rotella giù"
"MENU_MOUSE_BUTTON_5": "Mouse 5"
"MENU_CONTROLLER_SCHEMES": "MAPPA DEI CONTROLLI"
"PLT_MENU_DISPLAY_MODE": "MODALITÀ DISPLAY"
"PCACTION_RADIO_NEXT": "STAZIONE RADIO PREC."
"PC_RECORD_MODE_PROGRESS": "SALVATAGGIO VIDEO: %d%%%% COMPLETO"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Questo tasto è in conflitto con le seguenti azioni che verranno automaticamente non assegnate:"
"MENU_STEAM_STORE": "NEGOZIO STEAM"
"CBA_GAC_TAKE_SCREENSHOT": "   SCREENSHOT CONDIVISO"
"PLT_MENU_HIGH_DX10_ONLY": "ALTI (DX10 O SUPERIORI)"
"PC_EXIT_EXPLANATION": "Uscire dall'Editor cinematografico? Tutte le modifiche non salvate andranno perse."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "SCIOGLI GRUPPO"
"PLT_MENU_APPLY": "APPLICA"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ACCELERA \n{BRAKE_REVERSE_IMG} FRENA + MARCIA INDIETRO \nUsa {LEAN_BACK_IMG} per spostare il peso ed eseguire impennate e {LEAN_FORWARD_IMG} per eseguire impennate posteriori."
"CBA_MENU_PC_PUSH_TO_TALK": "   PREMI PER PARLARE"
"CBA_OFC_WALK": "   CAMMINA (MANTIENI)"
"CBA_OFC_TAUNT_THREE": "   COMPLIMENTO"
"CBA_VDC_TANK_FIRE_SECONDARY": "   FUOCO ARMA SECONDARIA"
"COOP_JOIN_CHEAT": "Il tuo compagno nella modalità Coop sta usando trucchi. Tutti i salvataggi creati avranno trucchi abilitati.\nIl salvataggio automatico è stato disabilitato e non potrai ottenere altri obiettivi."
"PC_TOD_DEFAULT": "PREDEFINITO"
"PC_CAM_MODE": "MODALITÀ VISUALE"
"PAUSE_MENU_RECORD_MODE": "REGISTRA FILMATI"
"GAME_PROFILE_SAVING": "Salvataggio in corso. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   FUOCO ARMA SECONDARIA"
"MULTI_LOBBY_TITLE_SYSLINK": "SALA D'ATTESA LAN"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Caricamento del contenuto. Attendere."
"PC_ADVANCED_MODE_HINT": "ACCEDI A TECNICHE DI MODIFICA AVANZATE"
"BTN_LTRIGGER_TXT": "PULSANTE A"
"BTN_WHITE_TXT": "PULSANTE A"
"PCACTION_JUMP": "SALTA"
"HASH_D889CE89": "SCEGLI RISOLUZIONE"
"HASH_70DB6EC9": "ONLINE"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} MANICHINO \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} LANCIATI IN ARIA"
"CONTROL_L_STICK": "LEVETTA SINISTRA"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (MANTIENI)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   DESTRA"
"PC_CLIP_ACTIONS": "SCEGLI UN'AZIONE DA EFFETTUARE SU QUESTO CLIP"
"PC_CA_CLONE": "CREA UNA COPIA"
"PC_DOF_WIDE": "AMPIA"
"PC_EDIT_WARNING": "ATTENZIONE"
"PC_SHOW_KEYS": "MOSTRA TASTI"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "SCAMBIA %ls CON %ls"
"PCACTION_ACCELERATE": "ACCELERA"
"PCACTION_CONSUME_RIGHT": "USA CON DESTRA"
"PC_RECORD_MODE_QUALITY_MED": "720p (MEDIO)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO SALVATO. ALCUNI CONTENUTI POTREBBERO ESSERE STATI PERDUTI. REGISTRA I VIDEO IN BASSA QUALITÀ PER PREVENIRE LA PERDITA DI DATI."
"CBA_OFC_ATTACK_SECONDARY": "   LANCIA GRANATA"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPICO 16X"
"PC_PROPS_EXIT_HINT": "CHIUDI LA FINESTRA DELLE PROPRIETÀ"
"HASH_342C548B": "INVITO"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Usando i trucchi non puoi ottenere gli obiettivi e disattivi i salvataggi automatici.\n\nVuoi attivare questo trucco?"
"CBA_VDC_PLANE_TURN_LEFT2": "   VIRA A SINISTRA"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "FRAME SINGOLO O ACCUMULATIVO"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "SCEGLI IL LIVELLO DI PERFORMANCE DEL TUO SISTEMA"
"PC_UNBOUND_KEY": "NON ASSEGNATO"
"PLT_MENU_STANDARD": "STANDARD"
"MULTI_MENU_SYSLINK": "PARTITA LAN"
"PC_CAM_MODE_HINT": "COMPORTAMENTO DELLA TELECAMERA IN QUESTA ZONA VISUALE"
"PCACTION_WEAPON_1": "ARMA 1"
"SAVE_CLIP_NAME": "Dai un nome al filmato"
"PLT_MENU_VIEW_GAMERCARD": "VISUALIZZA PROFILO STEAM"
"CBA_GAC_WEAPON_SELECT_1": "   SLOT ARMA 1"
"CBA_OFC_WALK_TOGGLE": "   CAMMINA (ATTIVA)"
"CBA_OFC_CROUCH": "   ACCOVACCIATI (MANTIENI)"
"CBA_VDC_BRAKE_REVERSE": "   FRENA / RETROMARCIA"
"PLT_MENU_VSYNC": "V-SYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Questo ripristinerà le tue impostazioni predefinite e le prestazioni saranno basate sulla tua scheda video. Sei sicuro?"
"PLT_MENU_DISPLAY_3": "TERZIARIO"
"PLT_MENU_AUDIO_VOICE_ENABLE": "CHAT VOCALE"
"PC_EASE_HINT": "SCORRI I TIPI DI ANIMAZIONE SFUMATA"
"PC_DELETE_CZ_HINT": "ELIMINA LA ZONA VISUALE ATTUALE"
"BTN_A_TXT": "PULSANTE A"
"MENU_VIDEO_RECORD_MODE": "MODALITÀ REGISTRAZIONE VIDEO"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Impossibile attivare la modalità di registrazione Video. Memoria insufficiente."
"COMMUNITY_BLURB_HEADER": "Unisciti alla community di Saints Row al sito SaintsRow.com "
"SAVING_CONTENT_TITLE": "Salvataggio del contenuto."
"MENU_CONTROLS_STICK": "LEVETTA SINISTRA ACCEL./FRENA"
"PLT_MENU_REFLECTIONS_TOOLTIP": "ATTIVA SHADER REFLECTION NORMALE O GEOMETRICO"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "CONTROLLA LA QUANTITÀ DI DETTAGLI DEGLI ELEMENTI SCENICI"
"MULTI_GAMETYPE_1": "PARTITA LAN"
"PC_TOD_NOON": "MEZZOGIORNO"
"PC_TOD": "ORA DEL GIORNO"
"PC_GS_PEOPLE": "PERSONE"
"PC_POSITION_CAMERA_HINT": "USA I COMANDI PER POSIZIONARE LA VISUALE"
"BTN_LTHUMB_TXT": "LEVETTA SINISTRA"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Il codec video richiesto per questa modalità è al momento assente. Si prega di consultare il file Leggimi per informazioni relative all'installazione."
"MENU_PRIMARY_ASSIGNMENT": "ASSEGNA PULSANTE PRIMARIO"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   FRENA / RETROMARCIA"
"PLT_MENU_SCENE_DETAIL": "    DETTAGLI AMBIENTE"
"PC_OUTPUT_ONLY": "MOSTRA SOLO RISULTATO"
"PC_GS_PLAYER": "GIOCATORE"
"PC_CM_FOLLOW": "SEGUI"
"PC_CAMERA_LOCKED": "VISUALE BLOCCATA"
"MENU_CHANGES_MADE_TITLE": "APPLICARE LE MODIFICHE?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   VIRATA STRETTA"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   ALZATI"
"PC_W_CLEAR": "SERENO"
"PC_CAMERA_ZONE": "ZONA VISUALE"
"BTN_Y_TXT": "PULSANTE A"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ATTIVA O DISATTIVA I SOTTOTITOLI"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} MUOVI\nSPOSTA IL MOUSE PER GUARDARE\n{SKYDIVE_FLIP_IMG} GIRA VERSO L'ALTO O IL BASSO"
"MENU_RESTORE_ALL_DEFAULTS": "RIPRISTINA TUTTE LE CATEGORIE PREDEFINITE"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   GIRA A SINISTRA"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "Il disco rigido non ha spazio sufficiente.\nContinuando non ti sarà concesso di salvare.\nContinuare?"
"PC_ZT_BLEND": "SFUMA"
"PC_SAVE_HINT": "SALVA LE CLIP EDITATE"
"PC_COPY_NEXT_HINT": "CREA UNA NUOVA ZONA VISUALE BASATA SULLA ZONA SUCCESSIVA"
"PCACTION_STRAFE_RIGHT": "VIRA A DESTRA"
"MENU_GAMEPLAY": "GIOCO"
"MENU_MOUSE_CONTROLS_VERT_SENS": "SENSIBILITÀ VERTICALE"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Vuoi mantenere queste impostazioni?\nSaranno annullate in 15 secondi."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "SCEGLI IL MONITOR PER LA MODALITÀ SCHERMO INTERO"
"PC_DOF": "PROFONDITÀ DI CAMPO"
"RECORD_MODE_WARNING_TEXT": "La registrazione di filmati disabiliterà tutte le missioni, attività, negozi e musica del gioco fino a quando ritornerai al menu principale. Cominciare a registrare un filmato?"
"PC_HIDE_KEYS": "NASCONDI TASTI"
"TUT_TITLE_SPRINT": "TASTO MITICO"
"PC_COMMUNITY_AGE_FIELD": "ETÀ (MM.GG.AAAA)"
"MENU_OPTIONS_REMAP": "ASSEGNA TASTI E PULSANTI"
"CBA_OFC_ZOOM_OUT": "   ZOOM MIRINO INDIETRO"
"PLT_MENU_RESOLUTIONS": "RISOLUZIONI"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "PULSANTE A"
"PCACTION_WEAPON_5": "ARMA 5"
"PCACTION_ATTACK_SECONDARY": "ATTACCO SECONDARIO"
"HUD_ZOMBIE_BITE_ESCAPE": "Premi con forza un tasto qualsiasi per scappare!"
"MENU_AIRPLANE_HANDLING": "COMANDI AEREO"
"MENU_MOUSE_BUTTON_4": "Mouse 4"
"CBA_GAC_GRENADE_SELECT_1": "   SLOT GRANATA 1"
"CBA_OFC_JUMP_CLIMB": "   SALTA / SCALA"
"PC_ROTATION_SENSITIVITY": "SENS. ROTAZIONE"
"PC_SLOWMO": "VELOCITÀ RIPRODUZIONE"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "ATTIVA/DISATTIVA DIVERSE CATEGORIE DI COMANDI"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "VISUALIZZA PROFILO STEAM GIOCATORE"
"MENU_CONTROLLER_OPTIONS": "OPZIONI GAMEPAD"
"PC_EDIT_PROPS_HINT": "MOSTRA LA FINESTRA DELLE PROPRIETÀ DELLA ZONA VISUALE"
"PC_ADDITIONAL_PROPS": "PROPRIETÀ AGGIUNTIVE"
"PC_NEW_ZONE": "NUOVA ZONA"
"MENU_OPTIONS_MOUSE": "COMANDI"
"CBA_GAC_WEAPON_SELECT_5": "   SLOT ARMA 5"
"CBA_VDC_PLANE_ACCELERATE": "   ACCELERA"
"MENU_CATEGORY": "CATEGORIA"
"PLT_MENU_ASPECT_TOOLTIP": "IL RAPPORTO D'ASPETTO PUÒ ESSERE MODIFICATO SOLO NEL MENU PRINCIPALE"
"PC_CM_DEFAULT": "PREDEFINITA"
"PC_COPY_CURRENT": "COPIA ATTUALE"
"COMMUNITY_EXISTING_FOUND_TEXT": "Abbiamo trovato un THQ ID associato al tuo account Steam. Effettua l'accesso con il tuo account esistente."
"CBA_VDC_PREV_RADIO": "   STAZIONE RADIO PREC"
"PLT_MENU_POST_PROCESSING_DETAIL": "    DETTAGLI POST PRODUZIONE"
"BTN_RTHUMB_TXT": "LEVETTA DESTRA"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "INDIETRO"
"HASH_0AEDCF17": "Si è verificato un errore di rete.\nTornerai al menu principale."
"PC_VIDEO_QUALITY": "QUALITÀ VIDEO"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Ora che il vero gioco cominci>:) \n\nPremi un tasto per continuare"
"CBA_VDC_LOOK_BEHIND": "   GUARDA INDIETRO"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   CAMBIA FUNZIONE"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   CONTROLLO IMBARDATA"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "METTI IL GIOCO IN PAUSA AUTOMATICAMENTE SE L'IMMAGINE NON È FOCALIZZATA"
"PC_ROTATION_SENSITIVITY_HINT": "SENSIBILITÀ DIROTAZIONE DELLA TELECAMERA"
"PCACTION_ATTACK_PRIMARY": "ATTACCO PRIMARIO"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nLo sprint modifica le azioni in modi Mitici: per scoprirli tutti, prova a combinarlo con diversi tasti!"
"NOT_LOGGED_IN": "Per usare questa funzione devi essere online su Steam o ripristina il collegamento internet."
"CBA_GAC_GRENADE_SWITCH": "   PROSSIMA GRANATA"
"CBA_GAC_MAP_MENU": "   CELLULARE"
"PLT_MENU_VSYNC_TOOLTIP": "V-SYNC DURANTE IL GIOCO PER ELIMINARE IL TEARING A SCHERMO INTERO"
"MENU_OFF": "OFF"
"PLT_MENU_VOICE_ALWAYS_ON": "SEMPRE ACCESA"
"PLT_QUIT_GAME_WARNING": "Vuoi davvero tornare al desktop?"
"PC_TOD_NIGHT": "NOTTE"
"PC_TOD_HINT": "IMPOSTAZIONI LUCE"
"PC_DOF_CLOSEUP": "RAVVICINATA"
"PC_OPTIONS_HINT": "MOSTRA LA FINESTRA DELLE OPZIONI GENERALI"
"PC_SHOW_HUD": "MOSTRA HUD"
"PCACTION_HORN": "CLACSON"
"CONTROLS_FORCE_FEED": "VIBRAZIONE"
"STATS_CORRUPT_BODY": "Le statistiche sono danneggiate e devono essere reimpostate.\nQuesto non avrà effetto sugli obiettivi conseguiti."
"PC_PLAY_SLOW_HINT": "RIPRODUCI LENTAMENTE GLI EVENTI DI GIOCO REGISTRATI"
"HASH_C407C71A": "La connessione a GOG è stata persa.\nTornerai al menu principale."
"TUT_COMBAT_MELEE_2": "Durante un attacco pesante, premi il tasto visualizzato per infliggere più danni e ottenere più rispetto"
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "IMPOSTA SE LA MINIMAPPA SEGUE LA ROTAZIONE DELLA CAMERA"
"CONTROL_R_STICK": "LEVETTA DESTRA"
"MENU_CHANGES_MADE_BODY": "Modifiche effettuate. Mantenere le impostazioni correnti?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RISOLUZIONE SHADOW MAPS"
"PLT_MENU_REFLECTIONS": "    RIFLESSI"
"PLT_MENU_DISPLAY_2": "SECONDARIO"
"PC_CREATE_CHAR_HINT": "CREA O IMPORTA UN NUOVO MODELLO PERSONAGGIO"
"PC_CAM_TILT": "INCLINAZIONE TELECAMERA"
"HUD_PICK_UP_MESSAGE": "RACCOGLI %ls"
"MENU_DISCARD": "ABBANDONA"
"PC_CM_STATIC": "FISSA"
"PC_FOV": "CAMPO VISIVO"
"PCACTION_FINE_AIM": "MIRA GUIDATA"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (DESTRA)"
"CBA_GAC_GRENADE_SELECT_4": "   SLOT GRANATA 4"
"CBA_VDC_FIREARM": "   ARMA DA FUOCO"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "DISTANZA PDC"
"PLAYBACK_MODE_WARNING": "MODIFICA FILMATI"
"BTN_B_TXT": "PULSANTE A"
"PCACTION_BREAK": "FRENO A MANO"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Impossibile salvare il Video. Memoria insufficiente."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   GIRA A DESTRA"
"MENU_CATEGORY_ONFOOT": "A PIEDI"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "BRANDISCI %ls A DUE MANI"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "PULSANTE A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "IMPOSTA LA VELOCITÀ CON CUI LA CAMERA TORNERÀ AI VALORI PREDEFINITI"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Il tuo account Steam non è collegato a un THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} GUIDA \n{ATTACK_PRIMARY_IMG} PUGNO \nDai un pugno a Killbane per tenerlo in movimento nella direzione scelta."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ACCETTARE LE IMPOSTAZIONI?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "V-SYNC DURANTE IL GIOCO"
"PLT_MENU_WINDOWED": "FINESTRA"
"PLT_MENU_DISPLAY_PRESET": "PRESET"
"PC_DOF_RANGE": "FOCALE PDC"
"PC_FOV_HINT": "CAMPO VISIVO DELLA TELECAMERA"
"PC_HANDYCAM_HINT": "INTENSITÀ DELLE VIBRAZIONI DELLA TELECAMERA A MANO"
"BTN_BACK_TXT": "PULSANTE A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "in"
"CBA_VDC_BIKE_LEAN_BACK": "   APPOGGIARSI ALL'INDIETRO"
"CBA_VDC_PLANE_TURN_RIGHT": "   INCLINA A DESTRA"
"MENU_CATEGORY_CAR": "AUTO/MOTO/BARCA"
"PC_W_DEFAULT": "PREDEFINITO"
"PC_WEATHER_HINT": "IMPOSTAZIONI CLIMATICHE"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "SOSPENDI LA RIPRODUZIONE"
"COMMUNITY_SUCCESS_LINK_EXT": "Il tuo attuale account Steam è stato collegato al tuo THQ ID."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "L'account Steam in uso è collegato a un diverso THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   SLOT ARMA 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   FUOCO SECONDARIO"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   ALZATI"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   ABBASSATI"
"PLT_MENU_DISPLAY_1": "PRIMARIO"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Il disco rigido è pieno.\nSeleziona un'altra destinazione per il salvataggio."
"PC_VOICE_HINT": "ATTIVA/DISATTIVA LE VOCI"
"PC_ZT_CUT": "STACCA"
"CBA_MENU_PC_TEXT_CHAT": "   CHAT DI TESTO"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RISOLUZIONE LIGHTING"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Impossibile modificare le impostazioni video. Le modifiche sono state annullate."
"PLT_MENU_VOICE_DISABLED": "DISATTIVATA"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Hai esaurito gli slot di salvataggio. Per salvare dovrai sovrascrivere un salvataggio o scegliere un'altra destinazione."
"PC_EXPORT_LOCK": "ESPORTA BLOCCO"
"PC_EXPORT_SETTINGS": "ESPORTA IMPOSTAZIONI"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Sei sicuro di voler eliminare questo filmato? Non potrai ripristinarlo successivamente."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} ARMA SUCCESSIVA\n{PREV_WEAPON_IMG} ARMA PRECEDENTE"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (ATTIVA)"
"CBA_VDC_PLANE_TURN_LEFT": "   INCLINA A SINISTRA"
"PLT_ANISOTROPIC_TWO": "ANISOTROPICO 2X"
"PLT_MENU_MED_DX10_ONLY": "MEDI (DX10 O SUPERIORI)"
"PC_WATERMARK": "LOGO"
"PC_SELECT_TARGET_HINT": "USA I COMANDI PER SELEZIONARE UN OBIETTIVO"
"PC_DOF_OFF": "DISATTIVATO"
"PC_AV_OPTIONS_HINT": "MOSTRA FINESTRA DELLE OPZIONI AMBIENTALI"
"PC_PLAY_FAST_HINT": "RIPRODUCI RAPIDAMENTE GLI EVENTI DI GIOCO REGISTRATI"
"PCACTION_CONSUME_DOWN": "USA CON GIÙ"
"PCACTION_RELOAD": "RICARICA ARMA"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "METTI IN PAUSA AUTOMATICAMENTE SE LA FINESTRA DI GIOCO NON È FOCALIZZATA"
"CBA_OFC_SPRINT": "   SCATTA (MANTIENI)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPICO 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "PREMI PER PARLARE"
"PC_SM_FAST": "VELOCE"
"PC_CAMERA_DONE": "COMPLETATO"
"PLAYBACK_MODE_WARNING_TEXT": "Questo fermerà la tua registrazione e ti consentirà di modificarla, salvarla ed esportarla come video. Per registrare un nuovo filmato, dovrai tornare al menu principale. Andare all'editor di filmati?"
"PCACTION_FORWARD": "AVANTI"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (ALTO)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "SALVATAGGIO CANCELLATO."
"STATS_CORRUPT_TITLE": "STATISTICHE DANNEGGIATE"
"COMMUNITY_SITE_BLURB": "Carica il tuo primo personaggio per guadagnare un obiettivo.\nCerca personaggi online e gioca le tue partite con loro.\nPartecipa alle sfide per guadagnare extra.\nControlla le attività della community in tempo reale sulla mappa e guarda la tua mappa personalizzata.\nRicevi offerte riservate alla community sulla merce acquistabile e sul contenuto di gioco."
"CBA_OFC_TAUNT_TWO": "   PROVOCAZIONE"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   DESTRA"
"PC_PLAY_HINT": "RIPRODUCI GLI EVENTI DI GIOCO REGISTRATI"
"PC_EXPORTING_VIDEO": "ESPORTAZIONE VIDEO"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   RECLUTA / CONGEDA"
"CBA_OFC_ATTACK_PRIMARY": "   ATTACCO "
"CBA_VDC_HELI_UP": "   SU"
"MENU_CATEGORY_TANK": "BLINDATO"
"PC_W_THUNDERSTORM": "TEMPORALE"
"PC_FADE_HUD": "SFUMA HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "AZIONE"
"CBA_OFC_CROUCH_TOGGLE": "   ACCOVACCIATI (ATTIVA)"
"CBA_VDC_NEXT_RADIO": "   STAZIONE RADIO SEG"
"PLT_MENU_ASPECT": "RAPPORTO D'ASPETTO"
"PC_ENVIRONMENT": "AMBIENTE"
"PC_GS_BACKGROUND_HINT": "ATTIVA/DISATTIVA IL RENDERING DELLO SFONDO"
"PC_DOF_RANGE_HINT": "LUNGHEZZA FOCALE PER LA PROFONDITÀ DI CAMPO"
"PC_COPY_NEXT": "COPIA SUCCESSIVA"
"PC_EXPORT_EXPLANATION": "Interrompere le modifiche ed esportare il video?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "QUALITÀ GRAFICA"
"HASH_8DFAAC67": "Per usare questa funzione devi essere online su GOG o ripristinare il collegamento internet."
