"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"PLAYER_FAT_TEXT": "FETT"
"CUST_COLOR_CLOTHING_BLUES_6": "BLAU 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "SALBEIGRÜN"
"Blonde": "BLOND"
"CUST_VARIANT_LEOPARD": "LEOPARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "VON-0-AUF-100-ANZUG"
"CUST_COMP_TEST_MUSTACHE": "TESTSCHNAUZBART"
"SLOT_ADJUSTABLE_SUSPENSION": "EINSTELLBARE AUFHÄNGUNG"
"SLOT_DECAL_6": "AUFKLEBER 6"
"SLOT_JUNK/CLUTTER": "SCHROTT/DURCHEINANDER"
"CUST_COLOR_BLUE_2": "BLAU 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAG-HELM"
"COLOR_SLOT_PAINT_3": "LACK 3"
"COLOR_SLOT_INTERIOR_3": "INNENAUSSTATTUNG 3"
"SLOT_SPINNERS_REAR": "SPEICHEN HINTEN"
"COMPONENT_OPTION_C": "OPTION C"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "BIKER-LEDERHOSE"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "LEATHER AND LACE MANSCHETTE"
"CUST_ITEM_CF_CURLERS": "50ER JAHRE"
"CUST_SAMEDI_COMPLIMENT_B": "SAMEDI-KOMLIMENT 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "LILA FLAMMEN"
"CUST_TATTOO_RIGHT_ARM": "GANZER RECHTER ARM"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "NASENLOCHFORM"
"VEHICLE_COLOR_COPPER_OXIDE": "KUPFEROXID"
"SLOT_EXHAUST": "AUSPUFFE"
"CUST_WEAR_LEFT_ROLLED_LOW": "LINKS HOCHGEKREMPELT, TIEF"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "DOMINAHANDSCHUHE"
"CUST_SKIN_SMURF": "ELFENBLAU"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "NASENRÜCKENTIEFE"
"SURGEON_CAT_EXPORT": "EXPORTIEREN"
"SLOT_GRILL": "KÜHLERGRILL"
"FEMALE_HUGE": "WEIBLICH, GROSS"
"CUST_ITEM_FEMALE_LP_BRA_4": "GLAMOUR GIRL"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BEEP-BOOP-ARMBAND"
"CUST_SKIN_RED_YELLOW_3": "PRINZESSINNENPINK"
"CUST_SKIN_METAL_4": "GRÜN"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "IRISGRÖSSE"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "AUGENBRAUENTIEFE"
"CUST_COLOR_CLOTHING_RED_5": "ROT 5"
"FEMALE_OBESE": "WEIBLICH, FETT"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "MITTELSCHEITEL"
"PLAYER_CREATION_COLOR": "FARBE"
"IRIDESCENT_5": "IRISIEREND 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "GROSSER BÖSER WOLF"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "SAINTS PULLI KAPUZE ABGESETZT"
"STORE_WEAPON_AVAILABLE": "VERFÜGBAR"
"PLAYER_CREATION_ADVANCED": "ERWEITERT"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "TIEFES MEERESBLAU"
"VEHICLE_COLOR_BROWN_DARK_TINT": "DUNKELBRAUN GETÖNT"
"VEHICLE_COLOR_CARBON_STEEL": "KARBONSTAHL"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "LACK 2 UND LACK 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "MÜTZE 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND HERREN B"
"FACIAL_EXPRESSION_SURPRISED": "ÜBERRASCHT"
"CUST_COLOR_YELLOW_2": "GELB 2"
"CUST_VARIANT_SHARKS": "HAIE"
"CUST_WEAR_AGAINST SKIN": "HAUT"
"CUST_TATTOO_STOMACH_1": "EHRE DES SAMURAI"
"CUST_COMP_MUSTACHE_7": "ROTZBREMSE"
"CUST_VARIANT_STRIPES_B": "STREIFEN 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "HERAUSHÄNGEND, GESCHLOSSEN"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "GEMACHTER MANN"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "BIKER-SONNENBRILLE"
"CUST_ITEM_CF_HAIR_LONGASYM": "ASYMMETRISCH"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "LÄSSIGER ROCK"
"CUST_GENDER": "GESCHLECHT"
"CUST_TATTOO_LEGS": "BEINE"
"CUST_COMPLIMENT_T": "SUPERSTAR"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "WANGENABSTAND"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "VIOLETTBLAU 3"
"CUST_VARIANT_VERTICAL": "LÄNGSSTREIFEN"
"CUST_WEAR_ZIPPED_HOOD_UP": "GESCHLOSSEN, KAPUZE AUF"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BOWLER"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "SAINTS RINGE"
"CUST_COMP_FINGERNAILS_R": "LACKIERTE NÄGEL RECHTS"
"RIM_SET_014": "FELGENSATZ 14"
"SLOT_LEFT_SIDE": "LINKE SEITE"
"SLOT_REAR_BUMPER_EXTRAS": "HECKSTOSSSTANGENMODS"
"CUST_VARIANT_PATTERN_B": "STIL 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ACID HOUSE ZYLINDERHUT"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "POCKET ROCKET-JACKE"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "MUNDHÖHE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "BLAUGRÜN 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Erhöhe die Munitionskapazität."
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "ROT 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "GANGSTER-KAPUZENPULLI"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "RAVER-OBERTEIL"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "STIRNBREITE"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ROTORANGE 8"
"SLOT_FRONT_BUMPER_EXTRAS": "FRONTSTOSSSTANGENMODS"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "HERAUSHÄNGEND, OFFEN, KRAWATTE"
"CUST_ITEM_CF_RING_F_RAVERSET": "ACID-HOUSE-RINGE"
"CUST_TATTOO_UPPER_ARM_LEFT": "LINKER OBERARM"
"CUST_TATTOO_RARM_4": "3RD STREET RITTER"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LOLLIPOP"
"CUST_VARIANT_THICK_EYESHADOW": "DICK"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "RECHTS OFFEN, HOCH"
"CUST_SKIN_ASIAN_02": "ASIATISCH 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "LINKS HOCHGEKREMPELT, HOCH"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "ROCKER-T-SHIRT"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "JUNK-HOSE"
"FACIAL_EXPRESSION_PAIN": "SCHMERZ"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSKELN"
"PLAYER_MORPH_ASIAN_TEXT": "ASIATISCH"
"CUST_ITEM_PLASTIC_SANDALS": "PLASTIKSANDALEN"
"CUST_SKIN_CAUCASIAN_03": "KAUKASISCH 3"
"CUST_GANG_BIKER": "BIKER"
"CUST_COMP_MUSTACHE_24": "DER BALBO"
"VEHICLE_COLOR_BRASS": "MESSING"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "SPEICHEN VORNE"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "FITNESS-FREAK"
"VEHICLE_COLOR_DRAGON_BLUE": "DRACHENBLAU"
"CUST_COLOR_BRIGHT_BLUE": "HELLBLAU"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "Z-STYLE ZUHÄLTERHUT"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "MAMBALEDERJACKE"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "KINNFORM"
"CUST_TATTOO_LFORARM_6": "GEPANZERTE HAUT"
"SLOT_ROOF": "DÄCHER"
"SLOT_LOGO": "LOGOS"
"HAIR_COLOR_REDHEAD": "ROTSCHOPF"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DROGENHÄNDLER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "HELDINNEN-VON-STEELPORT-HANDSCH."
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Erhöhe die Munitionskapazität."
"CUST_VARIANT_LIGHT_STEEL": "HELLER STAHL"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "GANZER RÜCKEN"
"PLAYER_MORPH_CROWN_TEXT": "SCHEITEL"
"WARDROBE_NONE": "KEINE"
"CUST_COLOR_CLOTHING_VIOLET_5": "VIOLETT 5"
"CUST_COMP_EYES_GREY": "GRAU"
"SLOT_REAR_WHEELS": "HINTERRÄDER"
"CUST_COLOR_AUBURN": "KASTANIE"
"CUST_VARIANT_08_DEFAULT": "VARIANTE 8"
"CUST_WEAR_BACK_LEFT": "LINKS HINTEN"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "RAVER-KETTE"
"CUST_ITEM_SHADES_11": "HÄSSLICHE SONNENBRILLE"
"CUST_CAT_FINGERNAILS": "FINGERNÄGEL"
"CUST_TATTOO_HEAD_TOP": "KOPF OBEN"
"CUST_BRO_COMPLIMENT_D": "BRUDERSCHAFT-KOMLIMENT 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "GELB 6"
"CUST_TATTOO_RUPPARM_6": "I LOVE MOM"
"LOGO_RHOMBUS_1": "RHOMBUS 1"
"CUST_VARIANT_HORIZONTAL": "LÄNGSSTREIFEN"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO DESIGN"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "STEELPORT-STREET-KÄPPI"
"VEHICLE_COLOR_WET_LEAF_BROWN": "HERBSTLAUBBRAUN"
"SLOT_MUDFLAP": "SCHLAMMFÄNGER"
"CUST_ITEM_FEMALE_LL_BRA_1": "VERLIEBT"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "GESCHÄFTSMANN"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BEEP-BOOP-ARMBAND"
"PLAYER_CREATION_AGE_MIDDLE": "MITTLEREN ALTERS"
"PLAYER_MORPH_NOSE_YAW_TEXT": "NASENKRÜMMUNG"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "ULTRA-HELL-WEISS"
"CUST_WEAR_TATTOO_BARBED_WIRE": "STACHELDRAHT"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "NASENLÄNGE"
"SLOT_CASKET": "SARG"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "IN HOSE, GESCHLOSSEN, TIEFE HOSE, KEINE TRÄGER"
"CUST_ITEM_CF_RING_F_EYEBALL": "NAZAR-RING"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "KAUM-ZU-SEHEN-SAINTS-STRING"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "SCHWEISSBAND"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Ein Laservisier verbessert die Genauigkeit beim Schießen aus der Hüfte. Panzerbrechende Kugeln durchschlagen Panzer."
"CUST_COMP_MUSTACHE_20": "ZIEGENBART"
"VEHICLE_PAINT_SHINY_MATERIAL": "GLÄNZENDES MATERIAL"
"LOGO_DRAGON": "DRACHE"
"CUST_VARIANT_FADEUP_JEANS": "VERBLASST"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "HERAUSHÄNGEND, OBERSTER KNOPF, KRAWATTE"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "GANGSTER-SWEATSHIRT"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "STRASSENKÄMPFER"
"CUST_ITEM_6_LOOPS_LEFT": "6 SCHLAUFEN"
"CUST_WEAR_HOOP": "RING"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "STEAMPUNK-HUT MIT SCHUTZBRILLE"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "LIDFALTE"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "SCHLÜSSEL DE FLEUR"
"COLOR_SLOT_TRIM_1": "ZIERSTREIFEN 1"
"SLOT_FRONT_MODS": "FRONT-TUNINGS"
"CUST_COLOR_BRIGHT_PURPLE": "HELLLILA"
"COMPONENT_PAINT_3": "LACK 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "DIAMANTRINGE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS HERREN C"
"CUST_ITEM_BASEBALL_CAP": "BASEBALL-KÄPPI"
"CUST_COLOR_CLOTHING_YELLOWS_2": "GELB 2"
"CUST_TATTOO_RUPPARM_2": "8-BIT GAT"
"CUST_VARIANT_LOOPS": "RINGE"
"CUST_VARIANT_FLAMES": "FLAMMEN"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "ENGER CATSUIT"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "KAPITÄNSHUT"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "OBERLIDAUFSCHLAG"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "NASENFORM"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "NASENRÜCKENBREITE"
"CUST_COLOR_CLOTHING_VIOLET_1": "VIOLETT 1"
"HAIR_COLOR_PURPLE_MATTE": "MATTLILA"
"CUST_ITEM_CF_HAIR_PIGTAILS": "ZÖPFCHEN"
"FACIAL_EXPRESSION_PAIN_B": "ÄRGER"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "AUGENBRAUENBREITE"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Erhöhe die Munitionskapazität. Der Zweifuß verringert den Rückstoß."
"COLOR_SLOT_WINDOW_TINT": "SCHEIBENTÖNUNG"
"LOGO_COFFEE": "KAFFEE"
"LOGO_SHARKS_1": "HAIE 1"
"CUST_WEAR_FORWARD_LEFT": "VORNE LINKS"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ROT 9"
"CUST_VARIANT_TRACK_A2": "STIL 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "IN HOSE, GESCHL., TIEFE HOSE, K. TRÄGER, KRAWATTE"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "ARMBAND"
"CUST_ITEM_FEMALE_LL_BRA_5": "BEDECK DICH"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "SAINTS SNEAKER"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "VIOLETTBLAU 7"
"SLOT_KNEECAPPERS_DESC": "Mit ausfahrbaren Klingen in deinen Reifen kann das nahe Heranfahren Schaden bringen."
"CUST_VARIANT_TRACK_PANTS": "EINFARBIG"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "HERREN-MODEL-SCHUHE"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "SPITZENGRÖSSE"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "KINNLÄNGE"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Erhöhe Schaden."
"CUST_TATTOO_STOMACH_5": "FLEDERMAUS DER ANARCHIE"
"CUST_COMP_MUSTACHE_3": "COP-SCHNÄUZER"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "RADKAPPEN VORNE"
"CUST_COLOR_BRIGHT_RED": "HELLROT"
"LOGO_FIST": "FAUST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "DUNKLE ENGE HOSE"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "FLEUR DE SAINTS KÄPPI"
"CUST_COMPLIMENT_P": "SPAGAT"
"COMPONENT_ADD_SUSPENSION": "EINSTELLBARE AUFHÄNGUNG"
"SLOT_KNEECAPPERS": "KNIEKAPPEN"
"SLOT_SPEED_UPGRADE": "TEMPOVERBESSERUNG"
"CUST_COLOR_ROSE_1": "ROSE 1"
"CUST_VARIANT_HEARTS_BIG": "GROSSE HERZEN"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "SUPERHELDENMASKE"
"VEHICLE_COLOR_TOREADOR_RED": "TOREROROT"
"RIM_SET_010": "FELGENSATZ 10"
"CUST_VARIANT_THIN_STRIPES": "DÜNNE STREIFEN"
"CUST_MENU_EXIT": "SPIEL STARTEN"
"VEHICLE_COLOR_PLATINUM": "PLATIN"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "LAUFSTEG-SWEATER"
"VEHICLE_PAINT_MATTE_PAINT": "MATTER LACK"
"SLOT_REINFORCED_FRAME_DESC": "Ein verbesserter Rahmen ist der Schlüssel dazu, dass dein Fahrzeug unglaubliches Leid übersteht, bevor es explodiert und zu Schrott zerfällt."
"SLOT_ANTENNA": "ANTENNEN"
"CUST_VARIANT_SEMI_GLOSSY": "HALBGLÄNZEND"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "STIRNHÖHE"
"PLAYER_MORPH_CHEEKBONES_TEXT": "WANGENKNOCHEN"
"COMPONENT_NONE": "KEINE"
"CUST_VARIANT_MULTICOLOR_SMALL": "MEHRFARBIG, KLEIN"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "HILLS PARISER ART"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "NASENHÖHE"
"SLOT_EXTRAS": "EXTRAS"
"Cornhole": "CORNROWS"
"STRAWBERRY_BLONDE": "ERDBEERBLOND"
"COLOR_SLOT_RIM_1": "FARBE FELGE 1"
"CUST_VARIANT_BADGELESS": "KEIN ABZEICHEN"
"CUST_VARIANT_STRIPES": "LÄNGSSTREIFEN"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "HELLROSA GETÖNT"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "MATTHELLBRAUN"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "VALENTINSTAG-STRING"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "STYLISCHES DAMENJACKETT"
