"MP_CANCEL_JOIN": "ABBRUCH"
"MP_JOIN_SERVER_TITLE": "VERBINDUNG ZUM SERVER WIRD HERGESTELLT"
"COOP_JOIN_REQUEST_MSG": "%ls möchte bei deinem Spiel mitmachen.\nMöchtest du ihn/sie lassen?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls kann nicht mitmachen, so lange du eine Filmszene siehst.\nEr/sie kann mitmachen, sobald du ins normale Spiel zurückkehrst."
"COOP_REMOTE_CHEAT_KICK": "SPIELER RAUSWERFEN UND MIT SPIEL FORTFAHREN"
"COOP_WAIT_FOR_ANYONE": "AUF EINEN BELIEBIGEN SPIELER WARTEN"
"COOP_LOAD_OLD_TEXT": "LADEN"
"COOP_CANT_JOIN_YET_PROLOGUE": "Der Auftrag muss neu gestartet werden, damit %ls dem Spiel beitreten kann. Durch den Neustart verlierst du jeglichen Checkpoint-Fortschritt in diesem Auftrag.\nTrotzdem beitreten?"
"MULTI_ERROR_SESSION_ERROR": "Du kannst bei diesem Spiel nicht mitmachen."
"HASH_59B4B8D2": "%ls hat die spielsitzung verlassen"
"INVITE_FAILED_TITLE": "SPIELEINLADUNG GESCHEITERT"
"MULTI_NO_ETHERNET": "Ein Verbindungsfehler ist aufgetreten.\nDu wirst zum Hauptmenü zurückgeführt."
"COOP_DISCONNECTED_FROM_SERVER": "Deine Verbindung zum Host wurde unterbrochen, daher wirst du zum Hauptmenü zurückgeführt.\nMöchtest du speichern, bevor du den Level verlässt?"
"MULTI_ERROR_NO_JOIN_INFO": "Du kannst bei diesem Spiel nicht mitmachen."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "SPEICHERN UND SPIEL VERLASSEN"
"COOP_KICKED": "Du wurdest aus dem Spiel geworfen!"
"MP_JOIN_DENY": "ABLEHNEN"
"MP_JOIN_ACCEPT": "ANNEHMEN"
"LIVE_PLAYER_LEFT": "%ls HAT DIE SPIELSITZUNG VERLASSEN"
"COOP_HOST_BUSY": "Der Host ist beschäftigt und bittet dich, zu warten ..."
"COOP_WAIT": "Bitte warten ..."
"COOP_CREATE_NEW_TEXT": "NEU ERSTELLEN"
"MULTI_JOIN_DELAY_MSG": "Das Spiel, bei dem du mitmachen möchtest, ist im Modus 'Aktivität', 'Auftrag' oder 'Festung'.\nDu kannst erst mitmachen, wenn dieser Modus verlassen wurde."
"MP_FIND_SERVER_BODY": "Spiel wird gesucht."
"COOP_MAY_HAVE_DROPPED": "VERBINDUNG ZU %ls WIRD WIEDERHERGESTELLT"
"MULTI_ERROR_SESSION_FULL": "Diese Spielsitzung ist nicht mehr verfügbar."
"MULTI_CHAT_DISABLED": "OHNE CHAT"
"MULTI_ONLINE_RESTRICTED_TITLE": "NICHT ONLINE"
"MULTI_LOST_CONNECTION_SYS": "Ein Verbindungsfehler ist aufgetreten.\nDu wirst zum Hauptmenü zurückgeführt."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "SPEICHERN UND MIT SPIEL FORTFAHREN"
"MP_WINNERS_YOU_LOSE": "DU HAST VERLOREN"
"MP_DISCONNECT_HOST_LEFT": "Der Host hat die Spielsitzung verlassen.\nDu wirst zum Hauptmenü zurückgeführt."
"MP_INVITE_SENDING": "Einladung wird geschickt ..."
"MP_INVITE_SENT_BODY": "Spieleinladung an {0} geschickt.  "
"MULTI_NOT_SIGNED_IN": "Du musst dich mit einem Spielerprofil anmelden, um hierauf Zugriff zu haben."
"INVITE_FAILED_BODY": "Einladung konnte nicht an {0} gesendet werden."
"MULTI_NOT_SIGNED_IN_PS3": "Du musst dich mit einem Profil anmelden, um hierauf Zugriff zu haben."
