"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Verkleide dich als Morgenstern-Soldat."
"CUST_ITEM_ALIEN_HAT": "WELTRAUM-ALIEN-HELM"
"cm_msspcl_suit": "MORGENSTERN-SPEZIALIST"
"CUST_ITEM_MSFEM02_GLOVES": "MORGENSTERN-HANDSCHUHE"
"DLC2_M03_BARNSTORM_UNDER_BRIDGE": "FLIEGE UNTER DER [format][color:location]BRÜCKE[/format] HINDURCH"
"DLC2_M01_FAIL_ESCAPE_CAR_DESTROYED": "DEIN FLUCHTFAHRZEUG WURDE ZERSTÖRT!"
"DLC2_M01_NAME": "SCHNELLER, INTENSIVER!"
"DLC2_INTRO_KWILANNA_14": "Ach, Mr Zhen, ich spiele Kwilanna ..."
"DLC2_INTRO_DIRECTOR_11": "Brillant! Das ist so verdammt Cinéma-Vérité! Das wird genial!"
"DLC2_WPN_LASERCANNON": "LASER-KANONE"
"CUST_ITEM_LUSPEC_OUTFIT": "LUCHADORES-SPEZIALIST"
"DLC2_M02_GET_PISTOL": "NIMM DIR DIE [format][color:use]LASERPISTOLE[/format]"
"DLC2_M01_OBJ_DEFEND_BULLDOG": "VERTEIDIGE DAS [color:defend][format]FAHRZEUG[/format]"
"DLC2_ACHIEVE_SR3_LIGHTS_CAMERA_ACTION": "Licht! Kamera! Action!"
"UNL_DESC_DLC2_ASSET03_OUTFITS01": "Verkleide dich mit diesem vollständigen Outfit als einer von Killbanes Luchadores-Soldaten."
"DLC2_WPN_LASERPISTOL_DESCRIPT": "DIE KLEINWAFFE DER WAHL FÜR WELTRAUM-AMAZONEN-SOLDATEN"
"CM_DKR02_OUTFIT": "DECKERS-SPEZIALIST"
"cm_dkr01_hdphones": "DECKERS-KOPFHÖRER  "
"UNL_DLC2_ASSET05_OUTFITS02": "OUTFIT - DER SLASHER"
"CUST_ITEM_LUSPEC_MASK": "LUCHADORES-SPEZIALISTENMASKE"
"DLC2_M03_TUT_TITLE_NEAR_CRASH": "FAST-UNFALL"
"DLC2_M02_SEARCH_CODE": "SUCHE NACH DEM [format][color:use]CODE[/format]"
"DLC2_M02_PLAYER_DESTROY_MACHINE": "ZERSTÖRE DAS [format][color:kill]GERÄT ZUR GEDANKENSTEUERUNG[/format]"
"DLC2_M01_HUD_JUMP": "SPRINGEN"
"DLC2_ACHIEVE_SR3_PEW_PEW_PEW": "Peng, peng, peng!"
"DLC2_ACHIEVE_SR3_NO_STUNTMAN_REQUIRED": "Ich mache meine Stunts selber"
"DLC2_OUTRO_KWILANNA_06": "Ich werde diesen Hurensohn umlegen!"
"DLC2_INTRO_PC_06": "Ist das gut oder schlecht?"
"DLC2_M03_TUT_TITLE_ALIEN_AIRCRAFT": "ALIEN-FLUGZEUG"
"DLC2_M03_DESTROY_SHIELD": "ZERSTÖRE DEN [format][color:kill]TRANSMITTER-SCHILD[/format]"
"DLC2_M02_GO_TO_SERVER": "GEHE ZUM [format][color:location]SERVER[/format]"
"DLC2_INTRO_PC_01": "Ich werde diesen Hurensohn umlegen ..."
"UNL_DLC2_ASSET06_VEHICLES": "FAHRZEUG - GENKI-GIRL-FAHRZEUGE"
"DLC2_M03_GOTO_VIRUS_LOCATION": "GEHE ZUM [format][color:location]AUSFÜHRUNGSORT[/format]"
"DLC2_M02_MISSION_FAIL_HOMIE_DIED": "KWILANNA IST GESTORBEN!"
"DLC2_M01_PRE_MISSION_OBJ": "GEHE ZUM [format][color:location]STUDIO[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS06": "Verkleide dich als einer von Matt Millers Spezialisten."
"DLC2_OUTRO_KWILANNA_11": "Ich bin es leid. Ich bin es leid, dass er versucht, uns umzubringen. Ich bin es leid, böse zu sein, und ich bin es leid, dieses verdammte Halstuch zu tragen!"
"DLC2_INTRO_DIRECTOR_18": "Also! Frau McNiemand hier wird niemanden enttäuschen, das verspreche ich. Ich werde das nicht zulassen! Okay? Einfach du selbst sein, dann klappt das."
"UNL_DESC_DLC2_GANG_PENTHOUSE": "Du kannst nun Penthouse-Pets in deiner Bande haben."
"UNL_DLC2_GANG_PENTHOUSE": "BANDENANPASSUNG"
"CM_DKR01_OUTFIT": "DECKERS-SOLDAT"
"UNL_DESC_DLC2_ASSET05_OUTFITS01": "Schließe dich mit dieser Maske und diesem Outfit den Untoten an."
"UNL_DESC_DLC2_ASSET06_VEHICLES": "Genki-Girl-Fahrzeuge."
"CUST_ITEM_MSFEM02_SUIT": "MORGENSTERN-SOLDAT"
"DLC2_M02_SELF_DESTRUCT": "SELBSTZERSTÖRUNG AKTIVIERT"
"DLC2_M01_FAIL_KWILANNA_DISMISSED": "KWILANNE WURDE ENTLASSEN!"
"DLC2_M01_OBJ_PREPARE_JUMP": "MACH DICH [color:location][format]SPRUNGBEREIT[/format]"
"DLC2_INTRO_KWILANNA_07": "Oh, mein Gott! Soll das ein Scherz sein? Mein erster Dreh und ich spiele an der Seite des Anführers der Saints!"
"DLC2_M02_APPROACH_SAUCER": "BEGIB DICH ZUM [format][color:location]SCHIFF[/format]"
"DLC2_M01_OBJ_BREACH_HELIPORT": "BRECHE ZUM [format][color:location]HUBSCHRAUBERLANDEPLATZ DER GARDE[/format] DURCH"
"DLC2_M02_KILL_BRUTINA": "TÖTE DIE ALIEN-SCHLÄGERIN"
"DLC2_WPN_AUTOLASER": "AUTOMATISCHER LASER"
"UNL_DESC_DLC2_HOMIE_KWILANNA": "JENNY ist nun im Telefonmenü deines Handys zu finden. Sie hilft den Saints im Kampf."
"UNL_DLC2_HOMIE_KWILANNA": "BEGLEITER - JENNY"
"CUST_ITEM_ZOMBIE_LBDY_M_PANTS": "ZOMBIE-HOSE"
"DLC2_M02_WAIT_FOR_HOMIE": "WARTE AUF [format][color:location]KWILANNA[/format]"
"DLC2_OUTRO_PC_01": "Die Erde ist sicher ..."
"DLC2_INTRO_DIRECTOR_15": "Echt? Ich dachte wir bekämen einen PROMI für Kwilanna."
"CUST_ITEM_DLC_HAT_DEVIL": "TEUFELSMASKE"
"DLC2_M03_ESCAPE": "[format][color:location]ENTKOMME[/format] DEM SIGNALRADIUS"
"DLC2_M02_PROGRESS_01": "HACKING"
"DLC2_M02_APPROACH_MACHINE_COOP": "GEHE ZUM [format][color:location]GERÄT ZUR GEDANKENSTEUERUNG[/format]"
"DLC2_M02_MISSION_NAME": "HANGAR 18 1/2"
"HOMIE_DESC_DLC2_KWILANNA": "Tritt mit dieser intergalaktischen Bösewichtin Anderen in den Hintern."
"DLC2_M02_GET_FINAL_WEAPON": "NIMM DIR DIE [format][color:use]LASER-KANONE[/format]"
"DLC2_OUTRO_DIRECTOR_07": "DAS IST NICHT DEIN TEXT! ACH, VERDAMMT! LIEST DU ETWA AUCH NOCH AB?"
"DLC2_INTRO_PC_02": "Ich WERDE diesen Hurensohn umlegen ..."
"DLC2_M03_KILL_NATIONAL_GUARD": "VERNICHTE DIE [format][color:kill]FALLE DER STEELPORT-GARDE[/format]"
"DLC2_M02_GO_TO_CONSOLE": "GEHE ZUR [format][color:location]SICHERHEITSKONSOLE[/format]"
"DLC2_M02_GET_SMG": "NIMM DIR DEN [format][color:use]AUTOMATISCHEN LASER[/format]"
"DLC2_M01_OBJ_GO_TO_HELICOPTER": "BEGIB DICH ZUM [format][color:use]HUBSCHRAUBER[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS05": "Verkleide dich als einer von Matt Millers Soldaten."
"UNL_DESC_DLC2_CUST01_ALERT": "In deinem Domizil sind neue Inhalte zum Herunterladen verfügbar."
"CUST_ITEM_MSFEM02_OUTFIT": "MORGENSTERN-SOLDAT"
"UNL_DESC_DLC2_ITEM_MIND_CONTROL_HELMET": "Der Weltraumalienhelm wurde dem Kleiderschrank deines Domizils hinzugefügt"
"UNL_DESC_DLC2_ASSET05_OUTFITS02": "Schurken-Ensemble mit mehreren Masken und Handschuhen - perfekt für einen Horrorfilm."
"DLC2_M02_GO_TO_HANGER": "GEHE ZUM [format][color:location]HANGAR[/format]"
"DLC2_M02_PROTECT_HOMIE": "BESCHÜTZE [format][color:protect]KWILANNA[/format]"
"DLC2_M01_HUD_UNTIE_ALIEN": "NIMM DEM ALIEN DIE FESSELN AB"
"UNL_DESC_DLC2_ASSET03_OUTFITS02": "Verkleide dich mit diesem vollständigen Outfit als einer von Killbanes Luchadores-Spezialisten."
"DLC2_OUTRO_PC_08": "He, Jenny, du hast wieder den irren Blick."
"UNL_DLC2_CUST01_ALERT": "PENTHOUSE-PACK"
"CM_MSSPCL_OUTFIT": "MORGENSTERN-SPEZIALIST"
"UNL_DESC_DLC2_HOMIE_SPACE_BRUTINA": "Space Brutina ist nun im Telefonmenü deines Handys zu finden. Sie hilft den Saints im Kampf."
"UNL_DLC2_ASSET05_OUTFITS01": "OUTFIT - FLEISCHFRESSENDER ZOMBIE"
"CUST_ITEM_DLC_HAT_HOCKEY": "HOCKEYMASKE"
"DLC2_M03_TUT_NEAR_CRASH": "Fliege nah an Gebäuden vorbei, um einen Fast-Unfall zu bauen."
"DLC2_M02_USE_REWIRE": "NEU VERDRAHTEN"
"DLC2_M02_MISSION_FAIL_DIDNT_PROTECT_HOMIE": "DU HAST KWILANNA NICHT BESCHÜTZT!"
"DLC2_OUTRO_PC_18": "Wow."
"DLC2_WPN_LASERPISTOL": "LASERPISTOLE"
"CUST_ITEM_DLC_OUTFIT_WEREWOLF": "WERWOLF"
"DLC2_M03_GOTO_THIRD_TRANSMITTER": "BEGIB DICH ZUM [format][color:location]DRITTEN TRANSMITTER[/format]"
"DLC2_M01_FAIL_KWILANNA_DIED": "KWILANNA IST GESTORBEN!"
"DLC2_OUTRO_DIRECTOR_05": "WAS IST DA LOS, VERDAMMT NOCH MAL? JENNY, SAG DEINEN VERDAMMTEN TEXT!"
"DLC2_INTRO_DIRECTOR_09": "Ist das Drehbuch ein Problem? Sag einen Ton, Baby, dann werfen wir es über den Haufen!"
"CUST_ITEM_CM_DLC_ZOMBIE1": "FLEISCHFRESSENDER ZOMBIE"
"DLC2_M02_SECURITY_ACTIVATING": "SICHERHEIT WIRD AKTIVIERT"
"DLC2_M01_OBJ_KILL_NAT_GUARD": "TÖTE DIE [format][color:kill]STEELPORT-GARDISTEN[/format]"
"DLC2_ACHIEVE_SR3_MDK3000": "Mach eine Fassrolle!"
"DLC2_OUTRO_DIRECTOR_15": "DU HAST DEN TAKE BEREITS VERSAUT! ZURÜCK AUF DEINE POSITION!"
"DLC2_INTRO_DIRECTOR_19": "Na gut! LASSEN WIR DIESE TUSSI SPIELEN!"
"DLC2_INTRO_PC_10": "Nein, es ist cool, es ist nur ... Ich brauche Spickzettel wie ein Idiot."
"DLC2_M03_BARNSTORM_THROUGH_BRIDGE": "FLIEGE UNTER DER [format][color:location]BRÜCKE[/format] HINDURCH"
"DLC2_M03_PRE_CALL_OBJ": "BEGIB DICH ZUM [format][color:location]FILMSET[/format]"
"DLC2_ACHIEVE_SR3_A_LISTER": "B-Promi"
"DLC2_OUTRO_KWILANNA_17": "Wir packen das."
"UNL_DLC2_ASSET05_OUTFITS03": "OUTFIT - WERWOLF"
"UNL_DESC_DLC2_ASSET05_ALERT": "In Kleiderschrank und Waffenlager sind neue Inhalte zum Herunterladen verfügbar."
"UNL_DLC2_ASSET06_ALERT": "GENKI-GIRL-PACK"
"DLC2_M02_GO_TO_CONTROL_ROOM": "BEGIB DICH ZUM [format][color:location]KONTROLLRAUM[/format]"
"DLC2_M02_GO_TO_SERVER_ROOM": "BEGIB DICH ZUM [format][color:location]SERVER-RAUM[/format]"
"DLC2_M02_REWIRE_EXPLOSIVES": "VERDRAHTE DEN [format][color:use]SPRENGSTOFF[/format] NEU"
"DLC2_M01_FAIL_DIRECTOR_UNHAPPY": "DER REGISSEUR WAR MIT DER SZENE NICHT ZUFRIEDEN!"
"DLC2_M01_OBJ_LAND_TARGET": "LANDE AUF DEM [format][color:location]ZIEL[/format]"
"DLC2_OUTRO_PC_14": "Punkt für dich."
"DLC2_INTRO_KWILANNA_05": "Oh, hi! Ich bin Jenny, und ich wollte dir nur sagen, dass ich gerade furchtbar aufgeregt bin."
"CUST_ITEM_CM_DLC_LU02": "LUCHADORES-SOLDAT"
"CUST_ITEM_DLC_HAT_LU02": "LUCHADORES-SOLDATENMASKE"
"DLC2_M02_PROGRESS_LABEL": "FORTSCHRITT"
"DLC2_M02_APPROACH_MACHINE_LOCAL": "GEHE ZUM [format][color:location]GERÄT ZUR GEDANKENSTEUERUNG[/format]"
"DLC2_M01_OBJ_GO_TO_BULLDOG": "BEGIB DICH ZUM [format][color:use]FAHRZEUG[/format]"
"DLC2_OUTRO_PC_04": "Ähm ... Kwilanna?"
"CUST_ITEM_DLC_MASK_WEREWOLF": "WERWOLF-MASKE"
"UNL_DLC2_VEHICLE_SPACE_JET_BIKE": "FAHRZEUG - SCYTHE"
"UNL_DESC_DLC2_STORY01_ALERT": "Über dein Handy sind neue Aufträge verfügbar."
"CUST_ITEM_MSFEM02_EAR": "MORGENSTERN-OHRRINGE"
"DLC2_M03_GET_TO_AIRCRAFT": "BETRETE DAS [format][color:use]ALIEN-FLUGZEUG[/format]"
"DLC2_M01_OBJ_RESCUE_ALIEN": "RETTE [format][color:use]KWILANNA[/format]"
"DLC2_INTRO_DIRECTOR_17": "Was für eine Kacke."
"DLC2_INTRO_KWILANNA_12": "Schön, Sie kennenzulernen, Mr Zhen!"
"CUST_ITEM_DLC_SUIT_WEREWOLF": "WERWOLF"
"CUST_ITEM_DLC_SUIT_LU02": "LUCHADORES-SOLDAT"
"DLC2_M02_PROGRESS_03": "SUCHE ..."
"DLC2_M02_GO_TO_SET": "BEGIB DICH ZUM [format][color:location]SET[/format]"
"DLC2_M02_MISSION_FAIL_OUT_OF_TIME": "DEINE ZEIT IST ABGELAUFEN!"
"DLC2_M01_OBJ_ESCAPE_NG": "ENTKOMME DER [format][color:location]STEELPORT-GARDE[/format]"
