"MP_CANCEL_JOIN": "ANNULER"
"COOP_LOAD_TITLE_TEXT": "CHARGER PERSONNAGE"
"MULTI_ERROR_INTERNAL_ERROR": "Tu as été déconnecté de la partie."
"COOP_JOIN_IN_PROGRESS": "%ls REJOINT LA PARTIE."
"COOP_INCORRECT_MODE": "MODE INCORRECT"
"MULTI_JOIN_FRIEND": "REJOINDRE AMI"
"MULTI_CONNECTION_LOST_PS3": "Une erreur de connexion est survenue.\nTu vas revenir au menu principal."
"MULTI_CHAT_DISABLED_TITLE": "AUCUNE CONNEXION"
"MP_WINNERS_YOU_WIN": "GAGNÉ"
"MULTI_FIND_GAMES": "TROUVER PARTIE"
"MULTI_MENU_TITLE": "MULTIJOUEUR"
"COOP_TITLE": "COOP"
"COOP_JOIN_REQUEST_TITLE": "INVITATION"
"COOP_FREINDLY_FIRE_OFF": "Tir ami désactivé!\nTu ne peux plus blesser ton partenaire."
"COOP_PARTNER_DISCONNECTED": "LA CONNEXION À %ls A ÉTÉ PERDUE"
"MP_JOIN_SERVER_TITLE": "CONNEXION AU SERVEUR"
"COOP_JOIN_REQUEST_MSG": "%ls aimerait rejoindre ta partie.\nTu acceptes?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls ne peut pas rejoindre la partie pendant une cinématique.\nCe sera possible dès que tu seras revenu en mode normal."
"COOP_REMOTE_CHEAT_KICK": "EXPULSER JOUEUR ET CONTINUER PARTIE"
"COOP_WAIT_FOR_ANYONE": "EN ATTENTE DE JOUEURS"
"COOP_LOAD_OLD_TEXT": "CHARGER"
"COOP_CANT_JOIN_YET_PROLOGUE": "Cette mission doit être redémarrée pour permettre à %ls de rejoindre ta partie maintenant. En redémarrant, tu perdras toute la progression de checkpoint de cette mission. \nContinuer?"
"MULTI_ERROR_SESSION_ERROR": "Impossible de rejoindre la partie."
"HASH_59B4B8D2": "%ls a quitté la session de jeu"
"INVITE_FAILED_TITLE": "ÉCHEC DE L'INVITATION À UN JEU"
"MULTI_NO_ETHERNET": "Une erreur de connexion est survenue.\nTu vas revenir au menu principal."
"COOP_DISCONNECTED_FROM_SERVER": "Tu as été déconnecté(e) de l'hôte, tu dois donc revenir au Menu principal.\nVeux-tu sauvegarder avant de quitter le niveau?"
"MULTI_ERROR_NO_JOIN_INFO": "Impossible de rejoindre la partie."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "SAUVEGARDER ET QUITTER PARTIE"
"COOP_KICKED": "Tu as été expulsé de la partie!"
"MP_JOIN_DENY": "REFUSER"
"MP_JOIN_ACCEPT": "ACCEPTER"
"LIVE_PLAYER_LEFT": "%ls A QUITTÉ LA SESSION DE JEU"
"COOP_HOST_BUSY": "L'hôte est occupé et te demande de patienter..."
"COOP_WAIT": "Merci de patienter..."
"COOP_CREATE_NEW_TEXT": "CRÉER NOUVEAU"
"MULTI_JOIN_DELAY_MSG": "Tu veux rejoindre une partie en pleine activité, en mission ou en bastion.\nTu rejoindras la partie quand le mode aura changé."
"MP_FIND_SERVER_BODY": "Recherche d'une partie."
"COOP_MAY_HAVE_DROPPED": "RECONNEXION À %ls"
"MULTI_ERROR_SESSION_FULL": "La session de jeu n'est plus disponible."
"MULTI_CHAT_DISABLED": "AUCUN CHAT"
"MULTI_ONLINE_RESTRICTED_TITLE": "AUCUNE CONNEXION"
"MULTI_LOST_CONNECTION_SYS": "Une erreur de connexion est survenue.\nTu vas revenir au menu principal."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "SAUVEGARDER ET CONTINUER PARTIE"
"MP_WINNERS_YOU_LOSE": "PERDU"
"MP_DISCONNECT_HOST_LEFT": "L'hôte a quitté la session de jeu.\nTu dois revenir au Menu principal."
"MP_INVITE_SENDING": "Envoi de l'invitation..."
"MP_INVITE_SENT_BODY": "Invitation à un jeu envoyée à {0}.  "
"MULTI_NOT_SIGNED_IN": "Tu dois te connecter avec un profil du joueur pour accéder à ce service."
"INVITE_FAILED_BODY": "Impossible d'envoyer une invitation à {0}."
"MULTI_NOT_SIGNED_IN_PS3": "Tu dois te connecter avec un profil pour accéder à ce service."
