"Storye01_In_Crawl_02": "История об истории человечества."
"Story12_Out_03_Cyrus": "У них Бирк."
"Story21_Zscene03_01_Player_BM": "Улыбнись, Киллбейн, нас показывают по всей стране."
"Story07_Zscene02_06_Player_BM": "Найди влажную салфетку или еще чего. Глотнешь?"
"Story01_Zscene01_05_Josh": "Братва, инструменты у меня с собой."
"Story22_OutB_15_Player_BM": "Киллбейн готовит свою армию к последнем массированному наступлению. Мы остановим его здесь. Мы нужны нашей планете. Давайте постараемся ее не подвести."
"Story21_In_05_Player_BM": "Я буду у ринга отгонять лучадоров от твоей задницы, когда ты будешь крушить Киллбейна. Удачи, чувак."
"Story20_In_05_Viola": "Сними с Киллбейна маску, а все что под ней останется - это Эдди Прайор. Это куда хуже, чем просто убить его."
"Story14_In_06_Anna": "Киллбейн, есть люди, которые называют вас преступником."
"Story12_In_12_Viola": "Меня зовут Виола."
"Story03_Out_06_Player_BM": "Хорошо. Ну что ж... Если нам нужно набрать ребят, нам придется найти новое место."
"22_Choice_08_Kia": "Когда вы взорвете остров Магарак, весь мир увидит ваше истинное лицо."
"Storye01_In_Crawl_03": "С незапамятных времен появлялись среди людей великие вожди, чтобы..."
"CTO_Kinzie02_05_Kinzie": "Полностью согласен. Нам лучше использовать в качестве кода... ну, скажем, диалект индейцев навахо..."
"CTO_Pierce01_08_Player_BM": "Пойдем."
"Story07_Zscene02_01_Player_BM": "Извини, что заставили тебя... ну... носиться с нами."
"Story01_Zscene01_07_Gat": "Блядь, нет. Мы его взорвем."
"Story22_OutB_12_Player_BM": "Не сейчас."
"Story22_In_08_Player_BM": "Нам нужно туда попасть."
"Story20_In_04_Player_BM": "А мы не можем просто пристрелить ублюдка?"
"SH_Decker_06_Oleg": "НЕМО - неврологический электро-магнитный онейроскоп. Единственный существовавший уничтожил КГБ."
"Story12_In_01_Viola": "Ого, смотрите-ка, Пирс умеет читать."
"Story07_In_09_Oleg": "Цепной пес Синдиката."
"Story06_Mid_10_Oleg": "Поверьте... У меня все еще хватит сил, чтобы убить Филиппа."
"22_Choice_06_Player": "Да, да, я в курсе. Ты нас арестуешь. Очень страшно."
"Story13_Zscene01_02_Pierce": "Зато у нас твой мальчик с плаката."
"Story06_Mid_04_Player_BM": "Это что еще такое?"
"SH_Morningstar01_02_Pierce": "Тебе не кажется, что он охраняется?"
"Story03_Out_02_Player_BM": "Теперь ты возвращаешься в Стилуотер."
"Story21_Zscene01_02_Zach": "Как за этим трудно наблюдать: лучадоры избивают Анхеля."
"Story06_Zscene01_02_Player_BM": "Проклятье!"
"Story01_Zscene01_10_Player_BM": "Пора приступать к работе."
"Story17_In_02_Viola": "Мы не можем просто так пройти на самолет КАБАНа."
"HASH_29CD6718": "Я знаю, я говорил."
"Story09_Out_07_Monica": "Мои уважаемые коллеги. Время пришло... КАБАН начинает свою деятельность в Стилпорте."
"Story06_In_02_Shaundi": "Дай мне сраную пушку, Пирс."
"Storye01_In_Crawl_06": "После завоевания Стиуотера когда-то мелкая уличная банда выросла в огромную медиа-империю."
"CTO_Zimos02_04_Zimos": "Черт, помнишь это шоу с пони? Меня долгое время не было в их рождественском списке. В любом случае, я позвонил тебе не для того, чтобы разговаривать обо мне. Тебе удалось убить Филиппа Лорена и показать \"Утренней звезде\", что тут собираешься задержаться. Пора расслабиться и побуянить, крошка!"
"SH_Morningstar02_01_Monica": "Пока ни одна из группировок не взяла на себя ответственность за нападение в Стилуотере, мы игнорировали его главную причину. Неконтролируемые средства массовой информации и товары, продаваемые нашим детям, сделали из бандитской культуры некий фетиш и превратили безумных социопатов в героев. Этого больше не будет!"
"Story07_In_08_Player_BM": "Килл-кого?"
"Story05_In_04_Player_BM": "Давайте."
"Story02_In_19_Viola": "Вы можете продолжать заниматься своими делами, как сочтете нужным, в обмен на 66 процентов вашего совокупного дохода ежемесячно."
"Story12_Out_04_Cyrus": "Уверяю вас, мэм, мы вернем его."
"CTO_Zimos01_09_Player_BM": "Звучит неплохо."
"CTO_Zimos01_04_Zimos": "Если бы ты провел пару лет с кляпом во рту и конским хвостом в заднице, думаю, и тебе бы хотелось расслабиться."
"Story01_Zscene03_01_Player_BM": "Давай! Давай! Давай!"
"Story22_OutA_01_Pierce": "Этот сукин сын мертв?"
"Story06_Mid_07_Oleg": "Копии не безупречны. У них есть мои мышцы, но нет моих мозгов. Я могу помочь вам."
"Story20_In_02_Viola": "Если хочешь навредить Киллбейну, навреди его репутации."
"CTO_Zimos01_07_Player_BM": "Если Святые хотят остаться в Стилпорте, мы должны прогнать отсюда \"Утреннюю звезду\". Мне уже удалось обработать Центр, но эти мудаки повсюду."
"Story12_In_15_Player_BM": "По мне так ничего."
"Story17_In_09_Pierce": "А, черт, нет!"
"SH_Decker_04_Oleg": "НЕМО-стул. Конечно."
"Story11_Out_04_Kia": "Ночной Клинок - лицо КАБАНа? Почему бы просто не запихнуть кого-нибудь в кабаний костюм?"
"SH_Morningstar02_04_Player_BM": "Что, черт возьми, такое \"Инициатива КАБАН\"?..."
"Story08_In_08_Pierce": "Черт, девочка... Жизнь - она для живых и так далее, понимаешь, о чем я?"
"Storye01_In_Crawl_08": "Да кому нахер сдался этот Пирс?"
"CTO_Zimos01_03_Player_BM": "Не стоит терять времени."
"Story17_Mid_03_Kia": "Добро пожаловать назад, сэр."
"Story14_In_04_Anna": "...Эдди Прайор по кличке \"Киллбейн\". Спасибо за то, что пришли, Эдди."
"Story06_In_03_Player_BM": "Давайте дадим этому мудаку то, что ему причитается."
"Story07_Zscene02_02_Zimos": "Это спасение, да? Это не просто какая-то замысловатая прелюдия для групповухи?"
"Story20_Out_05_Killbane": "Если хочешь, чтобы тебя уничтожил Ходячий Апокалипсис, я с радостью окажу тебе такую услугу."
"Story16_Out_02_Matt": "Ну что ж, если проблема только в наборе текста, я могу посоветовать пару хороших программ для распознавания голоса..."
"Story05_Out_05_Matt": "При всем уважении, сэр..."
"CTO_Zimos01_02_Zimos": "Тс-с, разбудишь сук."
"Story17_Zscene01_02_Cyrus": "Вот как тебя зовут."
"Story24_Out_04_Director": "СТОП!"
"Story18_Out_01_Player_BM": "Вот же блядь."
"Story12_Out_02_Cyrus": "Мне нужна Моника Хьюс."
"CTO_Angel02_03_Player_BM": "ЕБАНЫЙ ТИГР?!"
"Story07_Zscene03_03_Player_BM": "Да, зато они - вполне."
"Story23_Out_14_Pierce": "Ужасная идея. Я за."
"Story12_In_04_Pierce": "Если все сделать правильно, мы сделаем этих мудаков."
"Story23_Out_09_Player_BM": "У меня есть сообщение для Моники Хьюс и ее прихвостней. Дорогая сука: Стилпорт под новым управлением, и мы перед вами не отвечаем. Теперь это чужая территория. Придите в мой город еще раз, и вы отправитесь обратном в ебаном ящике. Возвращаю вам слово."
"Story22_OutA_02_Player_BM": "Ага."
"Story17_In_04_Viola": "И что будет, когда ты окажешься на борту?"
"Story13_Out_02_Kia": "Вижу, есть с чем поздравить, командир."
"Story08_In_07_Shaundi": "Как знаете."
"Story05_In_03_Shaundi": "Ребята уже внизу - скажи только слово, и мы туда ввалимся."
"Storye01_In_Crawl_05": "И так оно и получилось со СВЯТЫМИ С ТРЕТЬЕЙ УЛИЦЫ."
"CTO_Zimos02_02_Zimos": "Эх ты, деревенщина! Да что ты понимаешь в искусстве? Это оригинал одной из сестер ДеВинтер! Он был куплен тогда, когда мы с близняшками \"жили и давали жить другим\"."
"Story16_Zscene02_03_Player_BM": "Не сомневаюсь, что и Кинзи может сделать то же самое."
"Story24_Out_11_Director": "И... НАЧАЛИ!"
"Story24_Out_09_Asst_Director": "Готово! Приготовились..."
"Story01_In_21_Gat": "У тебя есть план - или мы просто перестреляем всех этих засранцев?"
"Story07_Zscene02_04_Zimos": "Тогда я пойду за своими спасителями. Я бы пожал вам руки, но тут полы немного липкие, если вы понимаете, о чем я."
"Story07_Zscene01_05_Goon": "Они пошли сюда!"
"Story23_Out_04_Player_BM": "Никто не бежит, никто не лезет под пули, понятно?!"
"Story22_In_06_Pierce": "Боже. Проклятье."
"SH_Luchadore_03_Player_BM": "Хорошо, и как нам это сделать?"
"Story17_Mid_06_Cyrus": "Спасибо за предложение... но я хочу как можно быстрее допросить этих двоих."
"Story22_Zscene01_02_Killbane": "Вот на чем мы остановились... Два титана жили среди людей, простые смертные поклонялись им за то, что те принесли им кровь и огонь! Это длилось целую вечность..."
"Story16_Zscene02_07_Player_BM": "Вот теперь мы поговорим, малыш..."
"Story23_Out_12_Pierce": "Ну, у нас только что город-государство образовался."
"Story14_Out_06_Shaundi": "Я его поймала!"
"Story14_In_03_Anna": "...К счастью, обнаружилась эта эксклюзивная запись, и сегодня рядом с нами человек, которому мы этим обязаны..."
"Story12_In_02_Pierce": "Девочка, я не обязан перед тобой отчитываться. КАБАН использует Ночного Клинка в качестве талисмана. Нужно схватить этого педика..."
"22_Choice_05_Kia": "Привет, Святой."
"CTO_Pierce02_11_Player_BM": "Пойдем по магазинам."
"Story13_In_03_Josh": "Я почувствовал это, когда мы встретились. Эту связь."
"Story09_In_01_Zimos": "На этой посудине полно девок."
"Story06_Mid_09_Shaundi": "А что он может сделать? наверняка на этом свете его удерживают только эти провода и прочее дерьмо."
"Story01_In_10_Josh": "Ультрапостмодернизм. Мне это нравится."
"22_Choice_01_Angel": "Он в аэропорту. Времени у нас нет!  "
"Story21_Zscene02_02_Killbane": "Стой! Я раскрою тебе секрет \"Кулака Апокалипсиса\" - только оставь мне мою маску!"
"Story19_In_02_Viola": "Мы не войдем туда, пока ты не пообещаешь мне вести себя прилично."
"Story17_Out_11_Kia": "Сэр, коммандос в пути. Мы перекроем весь город через 72 часа."
"Story17_In_01_Pierce": "Это самая плохая идея из всех, что приходили тебе в голову."
"Story14_Out_05_Player_BM": "Ты как?"
"Story08_In_01_Shaundi": "Джонни мертв, а ты тут сраную вечеринку закатываешь?!"
"CTO_Angel02_02_Angel": "Когда дерешься с лучадорами, нужно быть готовым ко всему."
"Story18_In_02_Player_BM": "Не сомневаюсь!"
"CTO_Angel01_02_Angel": "Чтобы никогда не забывать о том, что забрал у меня Киллбейн. Помогает сосредоточиться."
"CTO_Pierce02_05_Pierce": "Понятия не имею..."
"Story21_Out_05_Goon": "Киллбейн, это просто бой..."
"Story14_Out_02_Shaundi": "Попался."
"Story10_Out_07_Cyrus": "Давайте я расскажу вам об одной девушке из Стилуотера по имени Джессика Пэриш, которая убежала из дома, чтобы быть со своим крутым парнем. Джессика полагала, что у нее безоблачная жизнь, пока какой-то бандит не похитил ее и не бросил в багажник машины. А потом он хохотал, глядя, как ее парень давит эту машину во время гонок на монстр-траках. Если бы Джессика Пэриш была вашей дочерью... как бы далеко вам хотелось, чтобы я зашел?"
"Story22_Zscene01_03_Player": "Так я убиваю тебя. "
"CTO_Pierce01_05_Pierce": "Ключи от банковской ячейки. Не хочешь узнать, что же они такое заперли?..."
"Story02_In_17_Gat": "Вообще-то мне интересно, почему я до сих пор не отвесил тебе пинка под задницу."
"Story22_Zscene01_05_Player": "Ты это серьезно? Все кончено, Эдди! Через две недели никто и имени твоего не вспомнит."
"CTO_Pierce01_03_Pierce": "Поскольку это место когда-то было жилищем Синдиката, я подумал, что стоит пошариться и поискать, что они тут оставили."
"Story12_Zscene01_02_Player_BM": "Давай убираться отсюда."
"Story21_In_07_Bobby": "Совсем не любят: где они появляются, с неба будто бы сочится ненависть. Оно и понятно: после того, что их главарь сделал со Стилуотером, они должны радоваться, что зрители не режут их ножами на пути к рингу!"
"Story13_In_01_Josh": "Опусти пистолет. Я не убегу."
"Story07_In_01_Monica": "Когда я покинула Стилуотер, чтобы избираться в Сенат, я обещала не забывать родной город. Мой муж отдал свою жизнь, защищая Стилуотре от жестоких банд. И для меня большая честь почтить его память, открывая этот мост."
"Story01_In_12_Josh": "НИКТО НЕ ДВИНЕТСЯ - НИКТО НЕ УМРЕТ!"
"CTO_Pierce02_03_Pierce": "...и я тут самый симпатичный ублюдок."
"Story21_Zscene03_02_Killbane": "НЕТ!"
"Story07_Out_01_Killbane": "Ну что ж, дамы и господа, Филипп мертв, и мы стоим на распутье. И вопрос заключается вот в чем: кто поведет Синдикат в новую эру."
"Story24_Out_08_Director": "Итак, народ, все улыбаемся, это счастливый конец."
"CTO_Kinzie02_11_Kinzie": "Не забывай: выброси телефон!"
"Story19_In_01_Player": "Чего мы ждем?"
"SH_Decker_03_Kinzie": "Тогда ты сможешь взаимодействовать с пользовательскими аватарами и нарушить абстрактные представления данных, которые являются краеугольным камнем их онлайновой работы. Для этого мне понадобится..."
"Story14_Out_08_Player_BM": "Черт!"
"Story12_In_14_Viola": "Ты что шутишь?!"
"CTO_Kinzie01_10_Kinzie": "Ты просто играй в эту чертову игру - и я смогу выследить Декеров в реальной жизни."
"Story18_In_01_Viola": "Наверняка есть и более просто способ с этим справиться!"
"Story12_In_03_Player_BM": "И мы выведем на себя КАБАНа."
"Story22_OutB_09_Cyrus": "Может быть, они и дадут тебе ключ от этого проклятого города, но как только вы облажаетесь, мы вернемся. И в следующий раз КАБАН вас зароет."
"Story21_In_04_Bobby": "Я скажу тебе, Зак, - это настоящий псих. Знаешь, когда он вылез из утробы, он в буквальном смысле удавил врача собственной пуповиной - вот какой он псих."
"SH_Decker_02_Kinzie": "Я хочу перетранслировать твое подсознание в пользовательскую сеть Декеров."
"SH_Morningstar02_12_Player_BM": "Да пошел ты."
"Story05_Out_06_Matt": "Мне кажется, слово \"пустые\" больше не подходит."
"Story01_In_14_Josh": "Простите, не та строка. Можно еще раз попробовать?"
"Story21_In_03_Zach": "Вот он, Бобби - Эдди \"Киллбейн\" Прайор, Ходячий Апокалипсис собственной персоной. Остается лишь удивляться, как с ним сможет справиться Стилуотерский Мясник."
"Story16_Out_03_Killbane": "Ты связан со мной с тех пор, как я, подобно Фениксу, восстал из пепла Филиппа. Ты и я - нам друг без друга никуда."
"Story13_Out_05_Kia": "Они скроются в норах - и выкопать их оттуда будет непросто."
"Story12_In_07_Player_BM": "Что это за херня?"
"Story10_In_16_Kia": "Святые спрятались с одной из сестричек ДеВинтер. Мы готовы к атаке."
"Story08_Out_08_Killbane": "Виола, твое солнышко заходит, но пока не поздно. Пока еще есть время взять колесницу Апполона и отправить этого засранца обратно по небу. Понимаешь меня?"
"Story02_Out_03_Phillipe": "Мистер Киллбейн, соберите своих лучадоров и принесите мне голову их предводителя. Мистер Миллер, взломайте счета Святых и вычистите их. "
"Story01_In_26_Shaundi": "Надеюсь, он подписал отказ от претензий."
"CTO_Pierce02_02_Pierce": "А что тут может не нравиться? Пиво дешевое."
"CTO_Zimos01_06_Zimos": "Полагаю, ты здесь не затем, чтобы трахаться."
"Story07_Zscene01_01_Pierce": "Как нам найти Займоса? Искать кошку, которая не захочет есть кляп?"
"Story21_Out_04_Bobby": "Какая ночь, Зак. Какая. Ночь."
"Story19_In_16_Reynolds": "С зомби."
"Story15_In_10_Kinzie": "Если бы мог запустить червя в их мэйнфрейм, я бы мог наделать кучу гадостей. Но у меня нет необходимых средств."
"Story06_Mid_12_Pierce": "Тебе одеться не нужно, чувак?"
"Story02_In_08_Viola": "Весь смысл всегда в деньгах, мистер Гэт."
"Story12_In_09_Player_BM": "Напомни мне позвонить по этому поводу Сутяге Ли."
"Story10_In_05_Player_BM": "Верно. Из-за тебя погиб Джонни."
"Story06_Mid_14_Pierce": "Чувак, я уже говорил, когда в прошлый раз здоровый голый мужик..."
"Story01_In_24_Shaundi": "Я не против фильма про Святых, но нам что, правда придется таскаться везде с этим актером?"
"Storye01_In_Crawl_04": "страдать херней."
"Story11_Out_08_Cyrus": "Этот малыш сам себя убьет."
"Story07_Out_05_Viola": "Прошу прощения?"
"Story02_In_02_Cop": "Кое-кто заплатил больше."
"Story21_Zscene04_02_Bobby": "ОХ ТЫ Ж МАТЬ ТВОЮ, ГОСПОДИ! КИЛЛБЕЙН ПРИЗНАЛ ПОРАЖЕНИЕ!"
"Story19_In_06_Player": "Я вот о чем: что этот чувак вообще о себе возомнил?"
"Story17_Mid_02_Cyrus": "Тихо."
"SH_Morningstar02_09_Zimos": "Это приглашение надрать \"Утренней звезде\" их коллективную задницу. У них сегодня аукцион. Покажи пропуск - и ты внутри."
"Story06_In_01_Pierce": "Это для тебя уже слишком."
"Story01_In_01_Josh": "Японская реклама. Легче денег не бывает."
"Story13_In_08_Player_BM": "Пирс, удалось чего достать?"
"Story11_In_04_Player_BM": "Ничья."
"Story08_Out_09_Viola": "Да, Киллбейн."
"Story02_In_14_Phillipe": "Удивительное сходство. Вот эти двое - Виола и Кики. А я Филипп Лорен, председатель многонациональной организации, известной под названием \"Синдикат\"."
"Story13_Zscene01_03_Player_BM": "Я хочу, чтобы КАБАН убрался из моего города."
"Story23_In_06_Kinzie": "Если они взорвут все здания, то в одном их них мы точно окажемся."
"Story19_In_15_Viola": "Минуточку, проблема с КЕМ?"
"Story15_In_05_Player_BM": "Что, блядь, Декеры сделали с вертолетом?"
"Story14_In_12_Kinzie": "Я, возможно, смогу определить, где они снимают, если вы отправитесь к вышкам и..."
"Story06_Mid_13_Oleg": "Нет времени."
"Story06_Mid_08_Pierce": "Когда в прошлый раз здоровый голый мужик говорил, что он может мне помочь, ничем хорошим это не кончилось."
"CTO_Angel01_06_Angel": "Я заставлю тебя испытать самую страшную боль, которую только можно представить... а теперь тебе пора на дорогу!"
"CTO_Angel01_05_Player_BM": "И как же?"
"Story12_Zscene01_01_Josh": "А вы собираетесь как-то разогреваться, прежде чем мы начнем стрельбу? Эй, я тебя знаю..."
"Story22_OutB_03_Player_BM": "Если следующим словом из твоей дырки не будет \"спасибо\", у нас серьезные проблемы."
"Story21_In_01_Zach": "Сегодня была отличная ночь, но она еще не кончилась, Бобби!"
"SH_Decker_11_Player_BM": "Ладно, время ботанов прошло! Что это за штука? И, Кинзи, прошу тебя, ради, блядь, бога, попроще!"
"Story10_Out_03_Cyrus": "Нет никакой \"оккупации\". Мы пользуемся полной поддержкой мэра Рейнолдса."
"Story02_In_18_Phillipe": "Нравится вам это или нет, мистер Гэт, но наша организация расширяет свою сферу влияния на Стилуотер. Я предлагаю вам поделиться вашим имуществом в обмен на ваши жизни. Дамы?..."
"Storye01_In_Crawl_01": "Завоевание."
"CTO_Angel02_06_Angel": "Ты уже можешь встретиться с Киллбейном, но сначала необходимо разделаться с лучадорами. Ты знаешь, где меня найти, если тебе понадобится тренировка."
