"DLC3_OUTRO_08_TAG": "¿Barra de stripper?"
"DLC3_OUTRO_03_TAG": "Los Saints... me fallaron."
"CUST_ITEM_DLC_HAT_DH": "CUERNOS DEL DEMONIO"
"DLC3_M02_REVIVE": "REANIMAR"
"DLC3_M02_GOTO_PLANET_SAINTS": "VE A [format][color:location]PLANET SAINTS[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Después de todo, la única forma de viajar que tiene una bruja es en escoba. Con este vehículo todos pueden probarlo."
"DLC3_M03_GOTO_HELICOPTER": "SÚBETE AL [format][color:location]HELICÓPTERO[/format]"
"DLC3_INTRO_07_JIMMY": "Me equivoqué."
"CUST_ITEM_DLC_PANTS_WITCH": "PANTALÓN DE BRUJA"
"DLC3_M02_RETURN_TO_TRUCK": "VUELVE AL [format][color:location]TORBITRÓN[/format]"
"DLC3_M02_MISSION_NAME": "LA FARSA"
"DLC3_INTRO_02_JIMMY": "Los cielos lloraban mientras ultrajaba a la madre naturaleza."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "COLEGA: AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Operación Aguijón"
"CUST_ITEM_DLC_OUTFIT_WITCH": "BRUJA"
"DLC3_M03_KILL_GUARD": "MATA A LA [format][color:kill]GUARDIA DE STEELPORT[/format]"
"DLC3_M02_FAIL_FEEDBACK": "LA MULTITUD ACABÓ CON LA ACTUACIÓN. MANTENLA ALEJADA CON EL ENJAMBRETRÓN."
"CUST_ITEM_DLC_HAT_HALO": "AUREOLA ANGELICAL"
"DLC3_M01_SURVIVE": " [format][color:defend]ESPERA[/format] A JIMMY"
"DLC3_INTRO_11_JIMMY": "Sí."
"DLC3_M03_FAIL_TAG_DIED": "¡JOHNNY TAG HA MUERTO!"
"DLC3_M03_KILL_MORNINGSTAR": "MATA A LOS [format][color:kill]MORNINGSTAR[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "BUSCA A TAG EN [format][color:location]PLANET SAINTS[/format]"
"DLC3_M03_GOTO_APARTMENT": "BUSCA A TAG EN [format][color:location]CASA[/format]"
"DLC3_M02_OBJ_MISSION_START": "VE A [format][color:location]CASA DE JIMMY[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "DESTRUYE LA [format][color:kill]BARRICADA[/format]"
"DLC3_M01_PROTECT_CAR": "PROTEGE EL [format][color:defend]COCHE[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport vuelve a ser segura. Pero quién sabe cuándo los Saints y sus nuevos aliados tendrán que volver a protegerla."
"DLC3_OUTRO_09_PLAYER": "Eso es, tío. Barra de stripper."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "La farsa"
"DLC3_WPN_BEE_GUN": "ENJAMBRETRÓN"
"DLC3_INTRO_16_JIMMY": "¡Eh! ¿Adónde vais?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Atuendos para tu ninja, perrito caliente, ángel y diablo interiores."
"DLC3_INTRO_17_PLAYER": "¡A buscar a nuestro amigo!"
"DLC3_INTRO_08_JIMMY": "¿Johnny?"
"DLC3_INTRO_05_JIMMY": "Gafas de sol, chicles masticados, un peine grasiento."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Enviad a los clones"
"DLC3_M02_OBJ_CALM_TAG": "CALMA A [format][color:kill]TAG[/format] CON EL ENJAMBRETRÓN"
"DLC3_M02_KILL_HELIS": "MATA A LOS [format][color:kill]ATACANTES DE LA GUARDIA DE STEELPORT[/format]"
"DLC3_M01_GOTO_CAR": "SÚBETE AL [format][color:location]COCHE DE JIMMY[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Enemigo público"
"CUST_ITEM_DLC_HOTDOG": "PERRITO CALIENTE"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Mantén {SPRINT_IMG} para hacer una supercarrera.\nLanza bolas de fuego con {ATTACK_SECONDARY_IMG}.\nPulsa {ATTACK_PRIMARY_IMG} para pegar puñetazos supercargados."
"DLC3_M02_GOTO_TRUCK": "SÚBETE AL [format][color:location]TORBITRÓN[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "Hay nuevas misiones disponibles en el teléfono móvil."
"UNL_DLC3_CUST02_ALERT": "BRUJAS Y SALCHICHAS"
"DLC3_M03_GOTO_BRIDGE": "BUSCA A TAG EN [format][color:location]EL PUENTE[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "PROGRESO"
"DLC3_INTRO_13_JIMMY": "¡Ahora te digo!"
"DLC3_INTRO_12_PLAYER": "Vale, ¿dónde está...?"
"UNL_DESC_DLC3_CUST02_ALERT": "Hay nuevas descargas de contenido en el guardarropa y el garaje de tu casa."
"DLC3_M02_FAIL_TAG_ESCAPE": "HAS TARDADO DEMASIADO, ¡JOHNNY TAG SE HA ESCAPADO!"
"DLC3_M01_GOTO_STRIP_CLUB": "VE A [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "VE AL [format][color:location]SMILING JACK'S[/format]"
"DLC3_INTRO_09_TAG": "¡Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Puedes encontrar a Aisha Brutella en el menú \"TELÉFONO\" de tu móvil. Ayudará a los Saints en combate."
"DLC3_M02_OBJ_GET_BEE_GUN": "OBTÉN EL [format][color:location]ENJAMBRETRÓN[/format] DEL VEHÍCULO"
"DLC3_M02_REVIVE_TAG": "REANIMA A [format][color:use]TAG[/format]"
