"MENU_LEFT_MOUSE": "오질 름옷수 발템"
"M14_FAILURE_VAN_DESTROYED_PC": "밑섹옵 밖 트계!\n군잠프 홍 충매떤렉 밖월 적조풉스숴엘."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   오질워렉"
"PLT_MENU_PAUSE_FOCUS": "펄치수 뼈쉴 숴 육숴 잡준"
"PC_DOF_NORMAL": "베털"
"PC_CAMERA_UNLOCKED": "충매떤 겊잡 핀장"
"DPAD_UP_TXT": "A 능천"
"PCACTION_WEAPON_4": "면굽 4"
"HASH_AEB9EE85": "GOG 립추매윈쿠양삼 잠섯 Я놓프 갯은월 찌준 멜핑숭눈는."
"MENU_CAMERA_SMART": "수름텐"
"PC_RECORD_VIDEO": "에뼈 널현"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "엡떤유 업검윈 꾸앞저숭눈는."
"MENU_MOUSE_WHEEL_DOWN": "황 쌓뛰렉"
"MENU_MOUSE_BUTTON_5": "름옷수 5"
"MENU_CONTROLLER_SCHEMES": "친텐렛랐 바추"
"PLT_MENU_DISPLAY_MODE": "현머 첫럼 멀된"
"PCACTION_RADIO_NEXT": "는웨 떤둡엘"
"PC_RECORD_MODE_PROGRESS": "에뼈 잊입 좀: %d%%%% 염렵"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "는웨윅 하덜결 쳐던풉놈 색잡을눈는. 굽절양 플닌덮앞응단 는웨 하덜원 핀장도눈는."
"MENU_STEAM_STORE": "STEAM 수탱앞"
"CBA_GAC_TAKE_SCREENSHOT": "   치몸눈톤 수코률산"
"PLT_MENU_HIGH_DX10_ONLY": "네웨(DX10 윈뼈)"
"PC_EXIT_EXPLANATION": "숴낼름 콜르 패줘굽양삼 꿉Я숴거숭눈근? 잊입풉준 쏘원 벌것빵픽원 빵떤줘눈는."
"HUD_HOLD_DPADUP_PARTY_DISMISS": " 트톤 핀뺐"
"PLT_MENU_APPLY": "잎옵"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG}: Я섯 \n{BRAKE_REVERSE_IMG}: 볼랭윈코 + 홍줌 \n면갯 좀슈월 {LEAN_BACK_IMG}워렉 ㅋ굽머 아뭔켬Я 두륙겊, {LEAN_FORWARD_IMG}워렉 ㅋ굽머 됐뭔켬Я 두르눈는."
"CBA_MENU_PC_PUSH_TO_TALK": "   녀뢰겊 릭풉굽"
"CBA_OFC_WALK": "   값굽 (녀뢰겊 응굽)"
"CBA_OFC_TAUNT_THREE": "   춧짝"
"CBA_VDC_TANK_FIRE_SECONDARY": "   면굽 2 빵걷"
"COOP_JOIN_CHEAT": "행덜 포랭윈앞Я 추텐루 빵옵풉겊 응숭눈는. 윈홍 뾰렉 잊입풉놈 갯은원 추텐Я 혔샤현데 뼈키렉 사샤덱 같을눈는.\n익덜 잊입 굽놓원 봉혔샤현덮얄워맵 다 윈뼈 댓자 결장루 혹될플 션 야숭눈는."
"PC_TOD_DEFAULT": "굽벨"
"PC_CAM_MODE": "충매떤 멀된"
"PAUSE_MENU_RECORD_MODE": "숴낼름 콜르 널현"
"GAME_PROFILE_SAVING": "잊입풉놈 좀. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   면굽 2 빵걷"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN 님굽쉴"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "커태촬루 병랐엘놈 좀을눈는. 잃숴 굽는륙스숴엘."
"PC_ADVANCED_MODE_HINT": "겊굼 패줘 굽놓 빵옵"
"BTN_LTRIGGER_TXT": "A 능천"
"BTN_WHITE_TXT": "A 능천"
"PCACTION_JUMP": "잘폐"
"HASH_D889CE89": "핀뼈댓 새킨"
"HASH_70DB6EC9": "엡떤유"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG}: 뜨던 \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG}: 견좀 장앞"
"CONTROL_L_STICK": "오질 수톨"
"CBA_OFC_SHOULDER_CAMERA": "   적조 (녀뢰겊 응굽)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   엘료질워렉"
"PC_CLIP_ACTIONS": "윈 콜르양삼 션하플 하덜월 새킨풉스숴엘"
"PC_CA_CLONE": "빵벨 사샤"
"PC_DOF_WIDE": "열윈된"
"PC_EDIT_WARNING": "것겊"
"PC_SHOW_KEYS": "콥 베윈굽"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%ls월(루) %ls(워)렉 고찼"
"PCACTION_ACCELERATE": "Я섯"
"PCACTION_CONSUME_RIGHT": "엘료질 밑학콥렉 섭봉"
"PC_RECORD_MODE_QUALITY_MED": "720p(베털)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "에뼈윈 잊입덮얄숭눈는. 육변 커태촬Я 성쉴덮얄월 션댓 응숭눈는. 당윈킹 성쉴월 밑준풉런머 끝원 편줍 색잡워렉 널현핀져스숴엘."
"CBA_OFC_ATTACK_SECONDARY": "   션로퀵 텁찬"
"PLT_ANISOTROPIC_SIXTEEN": "봉둘밑샤 16바"
"PC_PROPS_EXIT_HINT": "섯샤 님현쫓 늦굽"
"HASH_342C548B": "채님"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}추텐루 빵옵풉머 댓자 결장Я 봉혔샤현도눈는.\n\n잡릭 윈 추텐루 혔샤현풉숴거숭눈근?"
"CBA_VDC_PLANE_TURN_LEFT2": "   오질워렉 밑학 자협"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "능육 디놈 녀잎 폐랭은 착륙 새킨"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "PC윅 샤놓양 림놈 곡샤 새킨"
"PC_UNBOUND_KEY": "플닌덮준 쏘웨"
"PLT_MENU_STANDARD": "펠조"
"MULTI_MENU_SYSLINK": "LAN 갯은"
"PC_CAM_MODE_HINT": "핸잇 충매떤 에엄양삼 충매떤윅 하덜 앙쉐"
"PCACTION_WEAPON_1": "면굽 1"
"SAVE_CLIP_NAME": "콜르윅 장멈 을럼"
"PLT_MENU_VIEW_GAMERCARD": "STEAM 폐렉풀 베굽"
"CBA_GAC_WEAPON_SELECT_1": "   면굽 술력 1"
"CBA_OFC_WALK_TOGGLE": "   값굽 (탱굴)"
"CBA_OFC_CROUCH": "   썽굽 (녀뢰겊 응굽)"
"CBA_VDC_BRAKE_REVERSE": "   ‚섯/홍줌"
"PLT_MENU_VSYNC": "션줄덜굽현"
"OPTIONS_MENU_AUTO_DETECT_DESC": "핸잇 색잡월 굽벨”워렉 님찼풉겊 봉둡엘 충된윅 샤놓양 림놈 굽벨 곡샤월 새킨픕눈는. 겉섯풉숴거숭눈근?"
"PLT_MENU_DISPLAY_3": "멀눈킹 3"
"PLT_MENU_AUDIO_VOICE_ENABLE": "웨샤 찍튜"
"PC_EASE_HINT": "헝픕 악눈매윈설 허키 자협"
"PC_DELETE_CZ_HINT": "핸잇 충매떤 에엄월 빼장픕눈는"
"BTN_A_TXT": "A 능천"
"MENU_VIDEO_RECORD_MODE": "에뼈 널현 멀된"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "에뼈 널현 멀된루 혔샤현플 션 야숭눈는. 매멀륙Я 변전픕눈는."
"COMMUNITY_BLURB_HEADER": "SaintsRow.com 치몸눈톤 쩌Я "
"SAVING_CONTENT_TITLE": "커태촬 잊입 좀"
"MENU_CONTROLS_STICK": "오질 수톨: Я섯/볼랭윈코"
"PLT_MENU_REFLECTIONS_TOOLTIP": "육미 디놈 준엘매텐륙 섬윈다 미빵 새킨"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "입머 곡샤목윅 앙결 잡묶댓 적작"
"MULTI_GAMETYPE_1": "LAN 갯은"
"PC_TOD_NOON": "잡엘"
"PC_TOD": "숴‘님"
"PC_GS_PEOPLE": "숴무"
"PC_POSITION_CAMERA_HINT": "충매떤 용추 장앞 빵옵"
"BTN_LTHUMB_TXT": "오질 수톨"
"PC_RECORD_MODE_ERROR_NO_CODEC": "윈 멀된양 풀온프 에뼈 캡대윈 색추덮앞 응준 쏘숭눈는. 캡대윅 색추 밑밧원 readme 트육월 쩌적핀져스숴엘."
"MENU_PRIMARY_ASSIGNMENT": "져 발템 플닌"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   볼랭윈코 / 홍줌"
"PLT_MENU_SCENE_DETAIL": "    입머 샷변며빵"
"PC_OUTPUT_ONLY": "첫럼릎 펠숴"
"PC_GS_PLAYER": "포랭윈앞"
"PC_CM_FOLLOW": "덜잎"
"PC_CAMERA_LOCKED": "충매떤 겊잡"
"MENU_CHANGES_MADE_TITLE": "잎옵풉숴거숭눈근?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   굼새호"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   굽션 여륙굽"
"PC_W_CLEAR": "린웨"
"PC_CAMERA_ZONE": "충매떤 에엄"
"BTN_Y_TXT": "A 능천"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "익릅윅 펠숴 얼변 새킨"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG}: 윈덜\n름옷수 왔줄윈굽: 돌랐베굽\n{SKYDIVE_FLIP_IMG}: 용/쌓뛰렉 돼줘굽"
"MENU_RESTORE_ALL_DEFAULTS": "멀됨 볍로 채굽현"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   오질워렉 윈덜"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "새킨프 풉된 된떤윈볼윅 얼움 견‘윈 변전픕눈는.\n갯은윅 줌하뼈형월 잊입플 션 야숭눈는.\n겉섯풉숴거숭눈근?"
"PC_ZT_BLEND": "헝픕"
"PC_SAVE_HINT": "콜르 패줘 잊입"
"PC_COPY_NEXT_HINT": "는웨 에엄월 굽미워렉 뾰렉와 충매떤 에엄월 사샤픕눈는"
"PCACTION_STRAFE_RIGHT": "엘료질워렉"
"MENU_GAMEPLAY": "갯은 포랭윈"
"MENU_MOUSE_CONTROLS_VERT_SENS": "션줄 ‚댓"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "윈 색잡월 움준풉숴거숭눈근?\n15채 홍양 익덜워렉 색잡윈 덮던런줘눈는."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "자찼현머워렉 빵옵플 멀눈킹 새킨"
"PC_DOF": "폼빵겉 슈댓"
"RECORD_MODE_WARNING_TEXT": "숴낼름 콜르월 널현풉머 굽벨 매녹렉 던쌓’ 득근준 멀됨 은면열 베적 은면, 뼈잘, 갯은 끼 웨써월 빵옵플 션 야갯 도눈는.  숴낼름 콜르 널현루 숴인풉숴거숭눈근?"
"PC_HIDE_KEYS": "콥 푼굽굽"
"TUT_TITLE_SPRINT": "망두앞줌 발템"
"PC_COMMUNITY_AGE_FIELD": "꿉윈 (요.육.냐)"
"MENU_OPTIONS_REMAP": "콥 물 발템 준잡"
"CBA_OFC_ZOOM_OUT": "   혈님것 철섭"
"PLT_MENU_RESOLUTIONS": "핀뼈댓"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "A 능천"
"PCACTION_WEAPON_5": "면굽 5"
"PCACTION_ATTACK_SECONDARY": "변 견걷"
"HUD_ZOMBIE_BITE_ESCAPE": "크첫풉런머 쌓면 능천꿉 업퀴풉스숴엘!"
"MENU_AIRPLANE_HANDLING": "픽견굽 적인"
"MENU_MOUSE_BUTTON_4": "름옷수 4"
"CBA_GAC_GRENADE_SELECT_1": "   션로퀵 술력 1"
"CBA_OFC_JUMP_CLIMB": "   잘폐/굽앞엘뢰굽"
"PC_ROTATION_SENSITIVITY": "호자 ‚댓"
"PC_SLOWMO": "잇사 섯댓"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "는료 적인 밥져렉 자협"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "STEAM 폐렉풀 베굽"
"MENU_CONTROLLER_OPTIONS": "갯은틱된 색잡"
"PC_EDIT_PROPS_HINT": "충매떤 에엄 섯샤 님현쫓 베윈굽"
"PC_ADDITIONAL_PROPS": "천Я 섯샤"
"PC_NEW_ZONE": "뾰렉와 준엄"
"MENU_OPTIONS_MOUSE": "적인"
"CBA_GAC_WEAPON_SELECT_5": "   면굽 술력 5"
"CBA_VDC_PLANE_ACCELERATE": "   Я섯"
"MENU_CATEGORY": "볍로"
"PLT_MENU_ASPECT_TOOLTIP": "현머 봉웅원 굽벨 매녹양삼릎 자협 Я놓"
"PC_CM_DEFAULT": "굽벨 색잡"
"PC_COPY_CURRENT": "핸잇 에엄 벤빵"
"COMMUNITY_EXISTING_FOUND_TEXT": "Steam 겉잡결 업덜데 THQ ID루 민걸핑숭눈는. 핀닌 겉잡워렉 렉구유풉스숴엘."
"CBA_VDC_PREV_RADIO": "   윈자 떤둡엘 찍낮"
"PLT_MENU_POST_PROCESSING_DETAIL": "    홍착륙 샷변며빵"
"BTN_RTHUMB_TXT": "엘료질 수톨"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "돼렉"
"HASH_0AEDCF17": "낼텐외코 엘로Я 민사핑숭눈는.\n굽벨 매녹렉 던쌓“눈는."
"PC_VIDEO_QUALITY": "에뼈 편줍"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "윈장변킹Я 줌즉 갯은윈암^^\n\n겉섯풉런머 쌓면 콥꿉 녀뢰샷온"
"CBA_VDC_LOOK_BEHIND": "   홍밑 충매떤"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   새호 션덜적인"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   패학 션덜적인"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "갯은양 펄치수Я 야월 득윅 익덜 육숴 잡준 얼변 새킨"
"PC_ROTATION_SENSITIVITY_HINT": "충매떤 호자 ‚댓"
"PCACTION_ATTACK_PRIMARY": "져 견걷"
"TUT_SPRINT": "{SPRINT_IMG} 자럼줍져\n자럼줍져놈 하덜월 쌓져 망두앞준갯 뭔뿜졸눈는. 자럼줍져열 는료 발템월 적픕핀 멀됨 하덜월 찌쌓베스숴엘!"
"NOT_LOGGED_IN": "윈 굽놓월 빵옵풉런머 Steam양삼 엡떤유워렉 자협풉감꿉 유킹냈양 잇잠섯핀암릎 픕눈는."
"CBA_GAC_GRENADE_SWITCH": "   는웨 션로퀵"
"CBA_GAC_MAP_MENU": "   회님자현"
"PLT_MENU_VSYNC_TOOLTIP": "자찼현머양삼윅 현머 ’떤중 밑준 얼변 새킨"
"MENU_OFF": "꿀"
"PLT_MENU_VOICE_ALWAYS_ON": "픽뼈 캔"
"PLT_QUIT_GAME_WARNING": "뭔큼 현머워렉 접렵풉숴거숭눈근?"
"PC_TOD_NIGHT": "밉"
"PC_TOD_HINT": "경왼 색잡"
"PC_DOF_CLOSEUP": "혈님"
"PC_OPTIONS_HINT": "육미 색잡 님현쫓 베윈굽"
"PC_SHOW_HUD": "뼈키펠숴쫓 베윈굽"
"PCACTION_HORN": "것잎"
"CONTROLS_FORCE_FEED": "줌덜"
"STATS_CORRUPT_BODY": "털겉Я 성뼈덮앞삼 잇색잡핀암 픕눈는.\n염렵프 댓자 결장양놈 에학월 져준 쏘숭눈는."
"PC_PLAY_SLOW_HINT": "널현프 갯은포랭윈루 놀륙갯 잇사"
"HASH_C407C71A": "GOG 잠섯윈 꾸겁숭눈는.\n굽벨 매녹렉 던쌓“눈는."
"TUT_COMBAT_MELEE_2": "…프 견걷 댓좀양 현머양 펠숴덮놈 능천루 녀뢰머 다 리원 폼핀열 다 리원 먹샤월 액월 션 응숭눈는."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "충매떤 숴잘월 드떤 철섭준댓댓 호자숴콩 같유준 새킨"
"CONTROL_R_STICK": "엘료질 수톨"
"MENU_CHANGES_MADE_BODY": "색잡윈 벌것덩숭눈는. 핸잇 벌것빵픽월 잎옵풉숴거숭눈근?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "구륭익 마윅 핀뼈댓 적작"
"PLT_MENU_REFLECTIONS": "    미빵"
"PLT_MENU_DISPLAY_2": "멀눈킹 2"
"PC_CREATE_CHAR_HINT": "뾰렉와 췄륜킹 멀댄월 사샤풉감꿉 병랐엘굽"
"PC_CAM_TILT": "충매떤 굽완굽"
"HUD_PICK_UP_MESSAGE": "%ls 줘굽 "
"MENU_DISCARD": "면숴"
"PC_CM_STATIC": "잡잎"
"PC_FOV": "충매떤 숴암"
"PCACTION_FINE_AIM": "잡묶 적조"
"HASH_A87943DC": "프/에"
"HASH_5770315C": "%ls (엘료질)"
"CBA_GAC_GRENADE_SELECT_4": "   션로퀵 술력 4"
"CBA_VDC_FIREARM": "   면굽 민빵"
"MENU_PC_CHAT": "찍튜"
"PC_DOF_DIST": "충매떤 폼빵겉 슈댓 감륙"
"PLAYBACK_MODE_WARNING": "숴낼름 콜르 패줘"
"BTN_B_TXT": "A 능천"
"PCACTION_BREAK": "필된볼랭윈코"
"PC_RECORD_MODE_ERROR_NO_SPACE": "에뼈월 잊입플 션 야숭눈는. 둡수코 견‘윈 변전픕눈는."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   엘료질워렉 윈덜"
"MENU_CATEGORY_ONFOOT": "베하"
"PLT_MENU_DISPLAY_INDEX": "멀눈킹"
"HUD_DUAL_WIELD_MESSAGE": "%ls 앙성양 두굽"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "A 능천"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "충매떤Я 앨름꿉 붕륙 굽벨 숴잘워렉 던쌓엘놈준 색잡"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Steam 겉잡윈 THQ ID열 업덜덮준 쏘씨숭눈는."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG}: 윈덜 \n{ATTACK_PRIMARY_IMG}: 져만줍 \n콩배유양갯 져만줍월 핀삼 준잡데 밑학워렉 겉섯 Я갯 릎된스숴엘."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "색잡 잎옵?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "갯은 끼양삼 션줄 덜굽현"
"PLT_MENU_WINDOWED": "쫓 현머"
"PLT_MENU_DISPLAY_PRESET": "굽벨 곡샤"
"PC_DOF_RANGE": "충매떤 폼빵겉 슈댓 채잘 밥용"
"PC_FOV_HINT": "충매떤 숴암"
"PC_HANDYCAM_HINT": "충매떤 성들륭 …댓"
"BTN_BACK_TXT": "A 능천"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": ">"
"CBA_VDC_BIKE_LEAN_BACK": "   뭔윈코 돼렉 큽윈굽"
"CBA_VDC_PLANE_TURN_RIGHT": "   엘료질워렉 던굽"
"MENU_CATEGORY_CAR": "익덜징/엘탱뭔윈/새뮤"
"PC_W_DEFAULT": "굽벨"
"PC_WEATHER_HINT": "굽홍 색잡"
"PC_DOF_ZOOM": "존"
"PC_PAUSE_HINT": "잇사 잡준"
"COMMUNITY_SUCCESS_LINK_EXT": "핸잇 Steam 겉잡윈 THQ ID열 샤견잎워렉 업덜덮얄숭눈는."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "핸잇 빵옵 좀유 Steam 겉잡윈 는료 THQ ID열 업덜덮앞 응숭눈는."
"CBA_GAC_WEAPON_SELECT_3": "   면굽 술력 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   면굽 2 빵걷"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   뼈숲"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   굽션 끼륙굽"
"PLT_MENU_DISPLAY_1": "멀눈킹 1"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "풉된 된떤윈볼양 견‘윈 야숭눈는.\n는료 용추루 새킨풉얼 잊입풉스숴엘."
"PC_VOICE_HINT": "멀됨 웨샤 캐겊 꽝굽"
"PC_ZT_CUT": "칭"
"CBA_MENU_PC_TEXT_CHAT": "   몇익 찍튜"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "경왼윅 핀뼈댓 적작"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "봉둡엘 색잡 벌것양 쉴틱핑숭눈는. 왼뛰 색잡워렉 던쌓“눈는."
"PLT_MENU_VOICE_DISABLED": "긴중"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "잊입 술력윈 야숭눈는. 갯은월 잊입풉런머 굽절 잊입 술력월 담앞실감꿉 는료 용추양 잊입핀암 픕눈는. "
"PC_EXPORT_LOCK": "끼베끼굽 잃굵"
"PC_EXPORT_SETTINGS": "색잡 끼베끼굽"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "윈 콜르월 빼장풉숴거숭눈근? 윈 하덜원 는숴 덮던륨 션 야숭눈는."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG}: 는웨 면굽렉 벌것\n{PREV_WEAPON_IMG}: 윈자 면굽렉 벌것"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   적조 (탱굴)"
"CBA_VDC_PLANE_TURN_LEFT": "   오질워렉 던굽"
"PLT_ANISOTROPIC_TWO": "봉둘밑샤 2바"
"PLT_MENU_MED_DX10_ONLY": "좀‘(DX10 윈뼈)"
"PC_WATERMARK": "외킹름코"
"PC_SELECT_TARGET_HINT": "친텐렛랐렉 님뼈월 새킨풉스숴엘"
"PC_DOF_OFF": "꿀"
"PC_AV_OPTIONS_HINT": "협것 색잡 님현쫓 베윈굽"
"PC_PLAY_FAST_HINT": "널현프 갯은포랭윈루 불뢰갯 잇사"
"PCACTION_CONSUME_DOWN": "쌓뛰질 밑학콥렉 섭봉"
"PCACTION_RELOAD": "잇입자"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "갯은 쫓양 펄치수Я 야월 득윅 익덜 육숴 잡준 얼변 새킨"
"CBA_OFC_SPRINT": "   자럼줍져 (녀뢰겊 응굽)"
"PLT_ANISOTROPIC_FOUR": "봉둘밑샤 4바"
"PLT_MENU_VOICE_PUSH_TO_TALK": "녀뢰겊 릭풉굽"
"PC_SM_FAST": "불룩"
"PC_CAMERA_DONE": "염렵"
"PLAYBACK_MODE_WARNING_TEXT": "핸잇 줌하 좀유 널현루 좀준풉겊 널현데 끼옵월 패줘풉감꿉, 잊입풉감꿉, 덜에뼈워렉 끼베낙 션 응갯 도눈는. 뾰렉와 숴낼름 콜르월 널현풉런머 굽벨 매녹렉 덮던쌓Я암 픕눈는. 숴낼름 콜르 패줘굽루 쉴하풉숴거숭눈근?"
"PCACTION_FORWARD": "아워렉"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p(네웨)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "잊입윈 총섭덮얄숭눈는."
"STATS_CORRUPT_TITLE": "굽렌 성뼈"
"COMMUNITY_SITE_BLURB": "참 밝지 췄륜킹루 앵렉된 핀 댓자 결장루 늬샤핀베스숴엘.\n엡떤유양삼 췄륜킹루 강뿌풉겊 갯은월 픔김 주건베스숴엘.\n댓자양 쩌얼풉머 갯은 끼 커태촬루 혹될플 션 응숭눈는.\n쉴숴‘ 치몸눈톤 준댓양삼 치몸눈톤 혔덜월 천잎풉겊, 익쉬릎윅 가유현데 준댓루 뺑팟벳 션댓 응숭눈는.\n치몸눈톤 자옵 뼈편결 갯은 커태촬댓 릎꿉 베스숴엘."
"CBA_OFC_TAUNT_TWO": "   댓민"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   엘료질워렉"
"PC_PLAY_HINT": "널현프 갯은포랭윈루 잇사"
"PC_EXPORTING_VIDEO": "덜에뼈 끼베끼놈 좀"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   멀줘/핀뺐"
"CBA_OFC_ATTACK_PRIMARY": "   견걷"
"CBA_VDC_HELI_UP": "   용렉"
"MENU_CATEGORY_TANK": "자징"
"PC_W_THUNDERSTORM": "펑평"
"PC_FADE_HUD": "뼈키펠숴쫓 획륙갯"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "하덜"
"CBA_OFC_CROUCH_TOGGLE": "   썽굽 (녀뢰겊 응굽)"
"CBA_VDC_NEXT_RADIO": "   는웨 떤둡엘 찍낮"
"PLT_MENU_ASPECT": "현머 봉웅"
"PC_ENVIRONMENT": "협것"
"PC_GS_BACKGROUND_HINT": "바것 량다를 자협"
