"Storye01_In_Crawl_02": "Die Geschichte der Menschheit"
"Story21_In_10_": "Ich kann es kaum erwarten. Legen wir los!"
"Story10_Out_04_Reporter_02": "Wie wird STAG sich auf unser tägliches Leben auswirken?"
"Story02_In_09_Viola": "Und aus genau diesem Grund möchte unser Arbeitgeber auch mit Ihnen reden ."
"Storye01_In_Crawl_09": "Inzwischen bewegen sich die Saints auf einer großen Bühne, und jede kriminelle Organisation will ihre Krone"
"Story07_Zscene01_09_Player_BM": "HÜA!"
"Story23_Out_11_Player_BM": "Vielleicht habe ich etwas dick aufgetragen."
"Story13_In_04_Shaundi": "Was?"
"Story02_In_25_Phillipe": "Und ich hatte so auf einen vernünftigen Geschäftsabschluss gehofft."
"Story01_In_04_Shaundi": "Du bist nur ein Nebendarsteller, Mann ..."
"Genki_Both10": "Zeit für einen Mordsspaß!"
"CTO_Kinzie01_04_Kinzie": "Noch nicht."
"Story16_Out_06_Matt": "Absolut. Also, ich muss meinen Flug erwischen, da ..."
"Story15_Out_04_Kinzie": "Witzig. Ich erkläre alles, sobald dieses Ding eingerichtet ist."
"Story12_In_05_Kid": "Ähm ... Entschuldigung?"
"Story05_Out_01_Matt": "Die Saints werden nicht einfach so nachgeben ..."
"Story12_Out_05_Monica": "Was? Wir müssen ihn finden, verdammt noch mal!"
"CTO_Kinzie02_04_Player_BM": "Schau, ich fühl mich irgendwie seltsam, wenn wir so reden ..."
"CTO_Pierce02_04_Player_BM": "Schau, du meinst vielleicht, es ist Zeit, sich zu wehren, aber ich spiele nicht mehr mit diesen Bastarden. Ich will Loren, und zwar sofort. Wo ist er?"
"Story23_Out_15_Player_BM": "Dann lass uns an die Arbeit gehen."
"Story15_Out_03_Player_BM": "Ich geb dir 50 Tacken, such dir einen schönen aus."
"Story15_In_04_Kinzie": "Schlafen verboten."
"Story06_Mid_06_Pierce": "Und warum hängst du noch hier, wenn sie deinen Arsch doch schon kopiert haben?"
"Story02_In_28_Player_BM": "Nicht ohne dich."
"Story02_In_16_Phillipe": "Offensichtlich nicht, sonst hätten Sie nicht unsere Bank ausgeraubt. Vielleicht wundern Sie sich gerade, warum Sie noch atmen."
"Story01_In_22_Player_BM": "Das ist mein Plan."
"CTO_Pierce02_07_Player_BM": "Loren ist ein Taktiker, er wird sich nicht in einem Gebäude verkriechen, das \"Ich bin ein kriminelles Genie\" schreit. Ich brauche etwas Konkretes."
"Story21_In_02_Bobby": "Ein unglaublicher Abend, Zach. Und jetzt ist es Zeit für das Haupt-Event."
"Story17_In_06_Viola": "Entschuldige ... Gefangene?"
"Story09_In_02_Player_BM": "Und, sobald es uns gehört, ist das Sexgeschäft von Morgenstern beendet."
"Story08_In_03_Zimos": "Ich wurde in einer Show als menschliches Pony beritten, aber hörst du mich deswegen weinen, kleines Mädchen?"
"Story17_Mid_04_Cyrus": "Was gibt's?"
"Story07_Out_10_Viola": "Was sollen wir machen, Killbane?"
"Story02_Out_02_Phillipe": "Viola und Kiki werden bekannt geben, dass Steelport dem Syndicate gehört und die Saints nicht willkommen sind."
"Story02_In_15_Shaundi": "Nie davon gehört."
"Story01_In_25_Player": "Sei nachsichtig mit Josh, er erforscht erst noch seine Rolle."
"CTO_Pierce02_10_Pierce": "Das Powder ist ein Waffenladen in der Innenstadt. Ich habe ein paar von Lorens Typen mit dem Inhaber sprechen sehen. Da muss irgendwas sein."
"CTO_Pierce02_09_Player_BM": "Was ist denn das?"
"Story22_OutB_05_Monica": "Ob es Ihnen gefällt oder nicht ... die Saints sind Helden."
"CTO_Kinzie01_02_Kinzie": "Nein, ehrlich. Ich hasse Leute."
"Story13_Zscene01_05_Pierce": "Wie wirst du das lösen, Boss?"
"Story19_Out_01_Monica": "Kommandant, was zum Teufel machen Sie?!"
"Story19_In_14_Reynolds": "Ich habe ein Zombieproblem, das ich ..."
"Story15_Out_02_Kinzie": "Fast. Ich brauche einen Stuhl."
"Story13_In_06_Shaundi": "Oh, mein Gott, kann ich diesen Typen nicht einfach abknallen?"
"Story11_Out_07_Monica": "Absolut nicht."
"Story10_In_08_Viola": "Ich werde Killbane leiden sehen."
"Story09_In_03_Zimos": "Wie verlegst du die ganzen Nutten?"
"Story02_In_22_Player_BM": "Hör zu, du französischer ..."
"Story02_In_07_Gat": "Und darum geht es bei allem?"
"Story01_In_06_Josh": "Ich bin Methoden-Schauspieler. Wenn ich einen überzeugenden Saint spielen soll, dann soll es auch echt wirken."
"Storye01_In_Crawl_07": "Ein Saints-Film ist derzeit in Planung, JOHNNY GAT und SHAUNDI sind Ikonen der Popkultur.. und Pierce ...?"
"Story16_Zscene01_03_Matt": "Gerne."
"Story19_In_24_Reynolds": "Du tust so, als hätte ich nie zuvor eine paramilitärische Organisation ausgetrickst! Sag Bescheid, wenn ihr fertig sein."
"Story16_Out_01_Killbane": "Ich wünschte wirklich, du würdest es dir noch mal überlegen, Matty. Meine Hände sind dazu gedacht, Knochen zu brechen, und nicht etwa Tasten zu drücken."
"Story02_Out_01_Phillipe": "Meine Herren, die Verhandlungen waren ... weniger als erfolgreich."
"CTO_Angel01_04_Angel": "Du magst also keine Unbequemlichkeiten. Das ist die Art Schwäche, aus der die Luchadores einen Vorteil ziehen werden. Wenn du dich nicht abhärtest, wird Killbane dich zerschmettern. Aber, keine Sorge, ich werde dich polieren wie einen Diamanten."
"CTO_Pierce01_06_Player_BM": "Das Syndicate wird wissen, dass wir die Schlüssel haben. Die warten doch nur darauf, dass wir was unternehmen."
"Story10_Out_01_Cyrus": "Mein Name ist Cyrus Temple, Kommandant der taktischen Anti-Gang-Terror Einheit. Ich bin hier, um Ihre Fragen zur STAG-Initiative zu beantworten."
"Story07_Out_03_Killbane": "Ich hatte jemand anders im Sinn."
"SH_Morningstar01_04_Pierce": "Und drinnen, du Vollidiot?"
"Story02_In_01_Player_BM": "Was soll die Scheiße, wir haben diesen Monat bezahlt."
"CTO_Kinzie02_03_Kinzie": "Ich meine es Ernst. Und du solltest dein schickes, überteuertes Handy wegwerfen. Durch das kann ich dich auch finden."
"CTO_Kinzie01_05_Player_BM": "Was hast du so gemacht, seit du draußen bist?"
"Story23_In_03_Player_BM": "Auf Shaundi!"
"Story19_In_13_Player": "Äh, ja, toll! Wie kann ich helfen?"
"Story17_Mid_07_Agent": "Ich kann die beiden für Sie in den Zellblock bringen, Sir."
"Story06_Mid_05_Oleg": "Phillipe hat Dinge gerne maßgeschneidert. Ich bin das Schnittmuster für seine Schläger."
"CTO_Pierce01_02_Player_BM": "Was ist denn?"
"Story16_Zscene01_05_Matt": "Kapierst du es nicht? Ich bin hier der Gott."
"Story22_OutA_04_Monica": "Sie hatten recht, Kommandant. Bringen Sie die Daedalus her."
"Story19_In_04_Viola": "Sprich mir nach: Ich lege mich nicht mit dem Bürgermeister an."
"CTO_Angel02_04_Angel": "Vergiss nicht die Idee hinter der Methode. Du hast deine Angst besiegt."
"CTO_Kinzie01_01_Player_BM": "Ich dachte, jemand, der gerade erst aus der Gefangenschaft kommt, würde es mehr krachen lassen."
"Story23_In_07_Player_BM": "Verdammt. Wir machen ihr kleines Spielzeug kaputt."
"Story22_OutB_04_Monica": "Die haben einen Punkt geholt, Kommandant ..."
"Story22_In_01_Player_BM": "Und? Was gibt's?"
"Story03_Out_08_Player_BM": "Entspann dich, Shaundi ... es ist alles geklärt."
"Story02_In_06_Player_BM": "Unser Markenname ist verdammt viel Geld wert."
"Story07_Zscene02_05_Player_BM": "Schon okay."
"Story12_Out_03_Cyrus": "Die haben Birk."
"Story21_Zscene03_01_Player_BM": "Lächle, Killbane, wir werden landesweit ausgestrahlt."
"Story07_Zscene02_06_Player_BM": "Such dir ein Erfrischungstuch oder so was. Ja?"
"Story01_Zscene01_05_Josh": "Hab die Werkzeuge gleich hier, Leute."
"Story22_OutB_15_Player_BM": "Killbane macht seine Armee für einen Totalangriff bereit. Wir halten ihn hier auf. Unser Planet braucht uns ... enttäuschen wir ihn nicht."
"Story21_In_05_Player_BM": "Ich bleibe am Ring und halte dir die Luchadores vom Leib, während du Killbane fertig machst. Viel Glück, Mann."
"Story20_In_05_Viola": "Nimm Killbanes Maske, dann ist nur noch Eddie Pryor übrig. Das ist für ihn schlimmer, als ihn umzulegen."
"Story14_In_06_Anna": "Killbane, es gibt Leute, die behaupten, Sie seien ein Krimineller."
"Story12_In_12_Viola": "Ich heiße Viola."
"Story03_Out_06_Player_BM": "In Ordnung. Also ... wenn wir die Jungs dazuholen, dann brauchen wir einen neues Domizil."
"22_Choice_08_Kia": "Sobald ihr Magarac Island in die Luft gejagt habt, wird die Welt von euren wahren Absichten erfahren."
"Storye01_In_Crawl_03": "Seit undenklichen Zeiten sind große Führer aus ihren bescheidenen Anfängen auferstiegen, um ..."
"CTO_Kinzie02_05_Kinzie": "Völlig richtig. Wir sollten besser den Navajo-Code-Dialekt benutzen ..."
"CTO_Pierce01_08_Player_BM": "Los geht's."
"Story07_Zscene02_01_Player_BM": "Tut uns leid, dass wir uns ... von dir ziehen lassen mussten."
"Story01_Zscene01_07_Gat": "Verdammt, nein. Wir jagen ihn in die Luft."
"Story22_OutB_12_Player_BM": "Noch nicht."
"Story22_In_08_Player_BM": "Wir müssen da runter."
"Story20_In_04_Player_BM": "Können wir den Bastard nicht einfach umlegen?"
"SH_Decker_06_Oleg": "NEMO - Neurologisches ElektroMagnetisches Onieroskop. Der KGB hat das einzige zerstört, das jemals existierte."
"Story12_In_01_Viola": "Ach, schau nur ... Pierce kann lesen."
"Story07_In_09_Oleg": "Er ist der Wachhund des Syndicate."
"Story06_Mid_10_Oleg": "Glauben Sie mir, ich bin noch stark genug, um Phillipe zu töten."
"22_Choice_06_Player": "Ja, ja, ich verstehe. Du wirst uns verhaften, ich mach mir beinahe in die Hose."
"Story13_Zscene01_02_Pierce": "Ja, aber wir haben euer Aushängeschild."
"Story06_Mid_04_Player_BM": "Was zum Teufel ist das hier?"
"SH_Morningstar01_02_Pierce": "Meinst du, hinten ist unbewacht?"
"Story03_Out_02_Player_BM": "Jetzt gehst du zurück nach Stilwater."
"Story21_Zscene01_02_Zach": "Es tut weh, das zu sehen. Die Luchadores bearbeiten Angel."
"Story06_Zscene01_02_Player_BM": "Verdammt!"
"Story01_Zscene01_10_Player_BM": "Zeit, an die Arbeit zu gehen."
"Story17_In_02_Viola": "Wir können doch nicht auf STAGs Flugzeugträger aufmarschieren."
"HASH_29CD6718": "Ich habe es bereits getan."
"Story09_Out_07_Monica": "Meine verehrten Kollegen. Die Zeit ist gekommen ... wir haben STAG nach Steelport entsendet."
"Story06_In_02_Shaundi": "Gib mir die verdammte Knarre, Pierce."
"Storye01_In_Crawl_06": "Seit der Eroberung Stilwaters, hat sich die einst kleine Straßenbande zu einem Medienimperium entwickelt"
"CTO_Zimos02_04_Zimos": "Scheiße. Erinnerst du dich an die Pony-Show? Ich steh schon seit langer Zeit nicht mehr auf ihrer Weihnachtskartenliste. Egal, ich hab dich nicht gerufen, um darüber zu plaudern. Du hast Phillipe Loren umgelegt und den Morgensternen gezeigt, dass du hier bleiben willst. Zeit für etwas Entspannung, Baby."
"SH_Morningstar02_01_Monica": "Während sich noch keine Gruppe zu dem Überfall in Stilwater bekannt hat, bleibt der Ursprung ignoriert: Unsere unkontrollierten Medien und die Waren, die unseren Kindern verkauft werden, haben Bandenkultur emporgehoben und aus soziopathischen Irren Helden gemacht. Das muss aufhören!"
"Story07_In_08_Player_BM": "Kill-wer?"
"Story05_In_04_Player_BM": "Los geht's."
"Story02_In_19_Viola": "Sie dürfen die Saints/Ultor Mediengruppe weiterhin leiten, geben dafür aber 66 Prozent Ihres monatlichen Bruttoumsatzes ab."
"Story12_Out_04_Cyrus": "Ich versichere Ihnen, Ma'am, wir holen ihn zurück."
"CTO_Zimos01_09_Player_BM": "Klingt gut."
"CTO_Zimos01_04_Zimos": "Wenn du für ein paar Jahre auf einen Knebelball beißen würdest und einen Pferdeschwanz am Arsch hättest, würdest du dasselbe tun."
"Story01_Zscene03_01_Player_BM": "Los! Los! Los!"
"Story22_OutA_01_Pierce": "Hast du den Hurensohn umgelegt?"
"Story06_Mid_07_Oleg": "Ihre Kopien sind schlecht. Die haben meine Muskeln aber nicht mein Hirn. Ich kann euch helfen."
"Story20_In_02_Viola": "Wenn du Killbane verletzen willst, musst du seinen Ruf ruinieren."
"CTO_Zimos01_07_Player_BM": "Wenn die Saints in Steelport bleiben wollen, muss die Morgensternbande verschwinden. Ich habe in der Innenstadt bereits einiges getan, aber diese Mistkerle sind überall."
"Story12_In_15_Player_BM": "Also mir gefällt's."
"Story17_In_09_Pierce": "Ach komm, vergiss es."
"SH_Decker_04_Oleg": "... einen NEMO-Stuhl. Natürlich."
"Story11_Out_04_Kia": "Nyte Blayde ist STAGs Gesicht? Warum nicht gleich jemand in einem verdammten Hirschkostüm?"
"SH_Morningstar02_04_Player_BM": "Was zum Teufel ist die \"STAG-Initiative\"?"
"Story08_In_08_Pierce": "Verdammt, Mädchen, das Leben ist zum Leben da, verstehst du, was ich meine?"
"Storye01_In_Crawl_08": "Scheiß auf Pierce!"
"CTO_Zimos01_03_Player_BM": "Du vergeudest keine Zeit."
"Story17_Mid_03_Kia": "Willkommen zurück, Sir."
"Story14_In_04_Anna": "Eddie \"Killbane\" Pryor. Vielen Dank, dass Sie hier sind, Eddie."
"Story06_In_03_Player_BM": "Geben wir dem Scheißer, was er verdient hat."
"Story07_Zscene02_02_Zimos": "Dies ist eine Rettung, kein Gang Bang, oder?"
"Story20_Out_05_Killbane": "Wenn du von der Wandelnden Apokalypse vernichtet werden willst, gehorche ich dir gerne."
"Story16_Out_02_Matt": "Also, wenn das Tippen das Problem ist, dann kann ich dir eine gute Software für Spracherkennung empfehlen."
"Story05_Out_05_Matt": "Bei allem Respekt, Sir ..."
"CTO_Zimos01_02_Zimos": "Psst, weck die Mädchen nicht."
"Story17_Zscene01_02_Cyrus": "Das ist also dein Name."
"Story24_Out_04_Director": "CUT!"
"Story18_Out_01_Player_BM": "Ach du Scheiße!"
"Story12_Out_02_Cyrus": "Geben Sie mir Monica Hughes."
"CTO_Angel02_03_Player_BM": "EIN VERDAMMTER TIGER?!"
"Story07_Zscene03_03_Player_BM": "Richtig. Die aber schon."
"Story23_Out_14_Pierce": "Eine schreckliche Idee. Ich bin dabei."
"Story12_In_04_Pierce": "Alles klarmachen, wir schnappen uns diese Wichser."
"Story23_Out_09_Player_BM": "Ich habe eine Nachricht für Monica Hughes und ihre Strohmänner. Liebe Schlampe, Steelport hat eine neue Verwaltung, und wir unterstehen dir nicht. Dies ist jetzt fremdes Territorium. Kommst du wieder in meine Stadt, verlässt du sie in einer verdammten Kiste. Und zurück an dich."
"Story22_OutA_02_Player_BM": "Ja."
"Story17_In_04_Viola": "Was passiert, sobald du an Bord bist?"
"Story13_Out_02_Kia": "Wie ich sehe, stehen Glückwünsche an, Kommandant."
"Story08_In_07_Shaundi": "Wie auch immer.."
"Story05_In_03_Shaundi": "Die Mannschaft ist unten bereit. Ein Befehl und wir lassen die Party platzen."
"Storye01_In_Crawl_05": "Und genau so war das auch mit den THIRD STREET SAINTS"
"CTO_Zimos02_02_Zimos": "Du elender Banause! Was weißt du schon über Kunst? Das ist ein Original der DeWynter-Schwestern! Ich hab das damals gekauft, als die Zwillinge und noch 'befreundet' waren."
"Story16_Zscene02_03_Player_BM": "Ich bin mir sicher, dass Kinzie das auch hinkriegt."
"Story24_Out_11_Director": "Und ... ACTION!"
"Story24_Out_09_Asst_Director": "Ruhe! Wir drehen ..."
"Story01_In_21_Gat": "Hast du einen Plan oder erschießen wir die ganzen Mistkerle?"
"Story07_Zscene02_04_Zimos": "Dann gehe ich mit der Rettung. Ich würde dir die Hand schütteln, aber diese Böden sind etwas klebrig, wenn du weißt, was ich meine."
"Story07_Zscene01_05_Goon": "Sie sind da entlang!"
"Story23_Out_04_Player_BM": "Niemand läuft weg, niemand wird erschossen. Verstanden?"
"Story22_In_06_Pierce": "Gott! Verdammt!"
"SH_Luchadore_03_Player_BM": "In Ordnung, wie machen wir das?"
"Story17_Mid_06_Cyrus": "Danke für das Angebot ... aber ich will mich SOFORT mit diesen beiden befassen."
"Story22_Zscene01_02_Killbane": "Hier sind wir also ... Zwei Titanen unter den Menschen, angebetet von einfachen Sterblichen, weil wir ihnen Blut und Feuer gebracht haben! Dieser Moment war unvermeidbar ..."
"Story16_Zscene02_07_Player_BM": "Junge, jetzt sind wir im Gespräch ..."
"Story23_Out_12_Pierce": "Nun, du hast gerade einen Stadtstaat geschaffen."
"Story14_Out_06_Shaundi": "Ich hatte ihn!"
"Story14_In_03_Anna": "... zum Glück kam dieses exklusive Videomaterial ans Licht. Und gleich ist live bei uns der Mann, der verantwortlich dafür ist."
"Story12_In_02_Pierce": "Mädchen, ich muss mich vor dir nicht rechtfertigen. STAG benutzt Nyte Blayde als Maskottchen. Wir schnappen uns den Typen ..."
"22_Choice_05_Kia": "Hallo, Saint."
"CTO_Pierce02_11_Player_BM": "Dann gehen wir shoppen."
"Story13_In_03_Josh": "Das habe ich schon im ersten Moment gemerkt. Diese Verbindung."
"Story09_In_01_Zimos": "Ganz schön viele Muschis auf dem Ding."
"Story06_Mid_09_Shaundi": "Was hätte er tun sollen? Diese Drähte und so halten ihn vermutlich am Leben."
"Story01_In_10_Josh": "Ultra-Postmodernismus. Ich liebe es."
"22_Choice_01_Angel": "Er ist am Flughafen, wir haben nicht viel Zeit.  "
"Story21_Zscene02_02_Killbane": "Halt! Ich verrate dir das Geheimnis meiner Apocafaust, aber lass mir meine Maske!"
"Story19_In_02_Viola": "Wir gehen da erst rein, wenn du mir versprochen hast, nett zu sein."
"Story17_Out_11_Kia": "Sir, die Kommandos sind unterwegs. In 72 Stunden wird die ganze Stadt abgeriegelt sein."
"Story17_In_01_Pierce": "Das ist die dümmste Idee, die du jemals hattest."
"Story14_Out_05_Player_BM": "Bist du okay?"
"Story08_In_01_Shaundi": "Johnny ist tot, und ihr schmeißt eine verdammte Party?"
"CTO_Angel02_02_Angel": "Wenn du die Luchadores bekämpfst, musst du auf alles vorbereitet sein."
"Story18_In_02_Player_BM": "Ohne Zweifel."
"CTO_Angel01_02_Angel": "Um mich daran zu erinnern, was Killbane mir genommen hat. Es hält mich konzentriert."
"CTO_Pierce02_05_Pierce": "Keine Ahnung ..."
"Story21_Out_05_Goon": "Killbane, es ist nur ein Match ..."
"Story14_Out_02_Shaundi": "Hab dich."
"Story10_Out_07_Cyrus": "Ich möchte Ihnen von Jessica Parish erzählen, einem Mädchen aus Stilwater, das von zuhause weglief, um bei seinem Freund, einem harten Typ, zu bleiben. Sie hielt ihr Leben für ziemlich cool, bis eine Bande sie entführte und in den Kofferraum eines Autos steckte. Ihr eigener Freund zerquetschte sie dann bei einer Monster-Truck-Rallye. Wenn Jessica Parish Ihre Tochter wäre ... was würden Sie dann von mir erwarten?"
"Story22_Zscene01_03_Player": "Dass ich dich umbringe, ebenfalls."
"CTO_Pierce01_05_Pierce": "Tresorschlüssel. Möchtest du denn nicht wissen, was die so alles eingeschlossen haben?"
"Story02_In_17_Gat": "Eigentlich wundere ich mich, warum ich dich noch nicht in den Arsch getreten habe."
"Story22_Zscene01_05_Player": "Meinst du das Ernst? Es ist vorbei, Eddie! In zwei Wochen wird sich niemand mehr an deinen Namen erinnern."
"CTO_Pierce01_03_Pierce": "Da das hier mal ein Domizil vom Syndicate war, hab ich mich umgeschaut, was noch so da ist."
"Story12_Zscene01_02_Player_BM": "Lass uns von hier verschwinden."
"Story21_In_07_Bobby": "Ganz und gar nicht - es hagelt Hass, wo sie stehen. Verständlich nach dem, was ihr Anführer mit Stilwater angestellt hat. Die können froh sein, dass sie auf dem Weg zum Ring nicht mit Messern malträtiert werden."
"Story13_In_01_Josh": "Pack die Knarre weg, ich lauf schon nicht davon."
"Story07_In_01_Monica": "Als ich Stilwater verließ, um in den Senat zu gehen, schwor ich, meine Heimat nicht zu vergessen. Mein Mann gab sein Leben für die Verteidigung Stilwaters vor Bandengewalt. Es ist ein besonderes Privileg, ihn mit dieser Brücke zu ehren."
"Story01_In_12_Josh": "KEINER BEWEGT SICH, KEINER STIRBT!"
"CTO_Pierce02_03_Pierce": "... und ich bin der bestaussehendste Typ hier drin."
"Story21_Zscene03_02_Killbane": "NEIN!"
"Story07_Out_01_Killbane": "Nun, meine Damen und Herren, Phillipe ist tot, wir stehen am Scheideweg. Und die Frage lautet: wer führt das Syndicate in eine neue Ära?"
"Story24_Out_08_Director": "In Ordnung, Leute, großes Lächeln, das ist das Happy End."
"CTO_Kinzie02_11_Kinzie": "Vergiss nicht, dein Handy wegzuwerfen!"
"Story19_In_01_Player": "Worauf warten wir noch?"
"SH_Decker_03_Kinzie": "Dann kannst du mit den Avataren der Benutzer interagieren und die abstrakte Darstellung von Daten manipulieren, die die Ecksäulen ihrer Online-Operation darstellen. Und dafür brauche ich ..."
"Story14_Out_08_Player_BM": "Scheiße!"
"Story12_In_14_Viola": "Das ist nicht dein Ernst ..."
"CTO_Kinzie01_10_Kinzie": "Spiel einfach das verdammte Spiel, dann kann ich die Deckers im echten Leben ausfindig machen."
"Story18_In_01_Viola": "Es gibt vermutlich eine einfachere Lösung dafür."
"Story12_In_03_Player_BM": "..und locken so STAG raus."
"Story22_OutB_09_Cyrus": "Die können dir den Schlüssel zu dieser gottverdammten Stadt geben, aber sobald du Mist baust, sind wir zurück. Und nächstes Mal wird STAG dich erledigen."
"Story21_In_04_Bobby": "Ich sag dir was, Zach - dieser Psycho ist ein schrecklicher Gegner. Weißt du, als er aus der Gebärmutter kam, hat er den Arzt mit seiner eigenen Nabelschnur gewürgt. So ein ekeliger Typ ist das."
"SH_Decker_02_Kinzie": "Ich will dein Unterbewusstsein ins Decker Usernet senden."
"SH_Morningstar02_12_Player_BM": "Ach, Kacke."
"Story05_Out_06_Matt": "Ich würde sagen, \"leer\" ist nicht mehr zutreffend."
"Story01_In_14_Josh": "Sorry, falscher Einsatz. Können wir nochmal neu anfangen?"
"Story21_In_03_Zach": "Da ist er, Bobby: Eddie \"Killbane\" Pryor, die Wandelnde Apokalypse höchstpersönlich. Man kann sich nur fragen, wie der Stilwater Butcher da mithalten soll."
"Story16_Out_03_Killbane": "Du hängst mit mir zusammen, seit ich wie ein Phönix aus Phillipes Asche auferstanden bin. Du und ich - wir sind miteinander verbunden."
"Story13_Out_05_Kia": "Die werden in den Untergrund gehen. Sie auszugraben, wird nicht leicht."
"Story12_In_07_Player_BM": "Was ist denn das?"
"Story10_In_16_Kia": "Die Saints sind mit einer der DeWynter-Schwestern in Deckung gegangen. Wir rücken jetzt vor."
"Story08_Out_08_Killbane": "Viola, deine Sonne geht unter, aber es ist noch nicht zu spät. Du kannst dir noch immer Apollons Wagen schnappen und diesen Mistkerl über den Himmel jagen. Verstanden?"
"Story02_Out_03_Phillipe": "Mr Killbane, holen Sie Ihre Luchadores und bringen Sie mir den Kopf ihres Anführers. Mr Miller, hacken Sie die Konten der Saints und lassen Sie ihnen nichts."
"Story01_In_26_Shaundi": "Ich hoffe, er findet heraus, dass sie ihm nicht gefällt."
"CTO_Pierce02_02_Pierce": "Was stimmt denn nicht? Das Bier ist billig."
"CTO_Zimos01_06_Zimos": "Ich schätze, du bist nicht wegen der Muschis hier."
"Story07_Zscene01_01_Pierce": "Wie können wir Zimos finden? Hier drin nach der Katze suchen, die nicht begeistert ist, einen Ballknebel zu fressen?"
"Story21_Out_04_Bobby": "Was für ein Abend, Zach. Was. Für. Ein. Abend."
"Story19_In_16_Reynolds": "Zombies."
"Story15_In_10_Kinzie": "Wenn ich in ihren Hauptrechner einsteigen könnte, dann wäre einiges möglich. Aber, mir fehlt die Ausrüstung dazu."
"Story06_Mid_12_Pierce": "Willst du Klamotten, Mann?"
"Story02_In_08_Viola": "Es geht immer ums Geld, Mr Gat."
"Story12_In_09_Player_BM": "Erinnere mich dran, Legal Lee deswegen anzurufen."
"Story10_In_05_Player_BM": "Genau. Johnny ist wegen dir tot."
"Story06_Mid_14_Pierce": "Mann, ich sagte, das letzte Mal, als ein großer, nackter Kerl ..."
"Story01_In_24_Shaundi": "Das mit dem Saints-Film finde ich okay, aber müssen wir wirklich diesen beschissenen Schauspieler mit uns herumschleifen?"
"Storye01_In_Crawl_04": "Sach was"
"Story11_Out_08_Cyrus": "Dieses Kind wird sich noch selbst umbringen."
"Story07_Out_05_Viola": "Entschuldigung?"
"Story02_In_02_Cop": "Jemand hat mehr bezahlt."
