"DLC3_OUTRO_08_TAG": "Rurka do striptizu?"
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "BUTY CZAROWNICY  "
"UNL_DLC3_CUST02_VEHICLES": "POJAZD - SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "TORBITRON ZOSTAŁ PRZEZ CIEBIE OPUSZCZONY!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "SAMOCHÓD JIMMY'EGO ZOSTAŁ ZNISZCZONY"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "STRÓJ - CZAROWNICA"
"DLC3_M01_MISSION_NAME": "DZIWADŁO"
"DLC3_OUTRO_04_PLAYER": "Wiem, Johnny, wiem. Ale możemy jeszcze wszystko wyprostować!"
"DLC3_OUTRO_02_PIERCE": "Nagle chcesz się z nim dogadywać."
"DLC3_INTRO_01_JIMMY": "To była ciemna i burzowa noc..."
"DLC3_ACHIEVE_SR3_BAMF": "B.A.M.F."
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Pokaż światu, że bycie czarownicą jest zarówno kierunkiem mody jak i stylem życia."
"DLC3_WPN_FIREBALL": "CIOS Z ĆWIERĆKÓŁKA"
"DLC3_OUTRO_07_PLAYER": "No dalej, stary. Zabierzemy cię do domu."
"DLC3_INTRO_14_TAG": "Shogo gdzie?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Zmieniła swój głos na pięści, ale fani jak padali, tak padają."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Na muszce pszczoletu"
"DLC3_M01_INTERROGATE_GANG": "PRZESŁUCHAJ [format][color:use]PORUCZNIKA[/format]"
"DLC3_OUTRO_10_JIMMY": "I tak kończy się opowieść o naszych nieustraszonych bohaterach. Związani więzami, które... ich... ee... wiązały."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Mój przyjaciel, potwór"
"UNL_DLC3_CUST02_CLOTHING": "PRZEDMIOTY - WIEDŹMY I PARÓWKI"
"DLC3_WPN_SAINTSFLOWFIST": "FANGA ŚWIĘTYCH"
"DLC3_M02_FAIL_TRUCK_DEAD": "TORBITRON ZOSTAŁ ZNISZCZONY!"
"DLC3_M02_PROTECT_PIERCE": "OCHRANIAJ [format][color:defend]PIERCE'A[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny - posłuchaj człowieku, chcę ci pomóc!"
"DLC3_M02_DEFEND_STAGE": "BROŃ [format][color:defend]SCENY[/format]"
"DLC3_M01_LOOK_FOR_TAG": "ZBADAJ [format][color:location]SKLEP \"TWÓJ PRZYJACIEL GNAT\"[/format]"
"DLC3_INTRO_04_JIMMY": "Od miesięcy gromadzę ten szajs. Jego szajs."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Superelegancko!"
"DLC3_INTRO_19_PIERCE": "Siadaj na dupsku, Jimmy! Zostaw to profesjonalistom."
"DLC3_M02_FIND_TAG": "ODNAJDŹ [format][color:location]TAGA[/format]"
"DLC3_OUTRO_05_PIERCE": "Dokładnie, jesteśmy twoimi przyjaciółmi, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "UDAJ SIĘ DO [format][color:location]SKLEPU \"TWÓJ PRZYJACIEL GNAT\"[/format]"
"DLC3_OUTRO_03_TAG": "Święci... zawiedli mnie."
"CUST_ITEM_DLC_HAT_DH": "ROGI DIABŁA"
"DLC3_M02_REVIVE": "PRZYWRÓĆ ŻYCIE"
"DLC3_M02_GOTO_PLANET_SAINTS": "UDAJ SIĘ DO [format][color:location]PLANETY ŚWIĘTYCH[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Jedynym środkiem transportu czarownicy jest jej miotła. Dzięki temu pojazdowi każdy będzie miał tę szansę."
"DLC3_M03_GOTO_HELICOPTER": "WSIĄDŹ DO [format][color:location]HELIKOPTERA[/format]"
"DLC3_INTRO_07_JIMMY": "Myliłem się."
"CUST_ITEM_DLC_PANTS_WITCH": "MAJTASY CZAROWNICY"
"DLC3_M02_RETURN_TO_TRUCK": "WRACAJ DO [format][color:location]TORBITRONU[/format]"
"DLC3_M02_MISSION_NAME": "TOUR DE FARSE"
"DLC3_INTRO_02_JIMMY": "Niebiosa roniły łzy, widząc jak sprzeniewierzam się prawom matki natury."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "ZIOMALKA - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Operacja \"Żądło\""
"CUST_ITEM_DLC_OUTFIT_WITCH": "CZAROWNICA"
"DLC3_M03_KILL_GUARD": "ZABIJ [format][color:kill]STRAŻ STEELPORT[/format]"
"DLC3_M02_FAIL_FEEDBACK": "TŁUM PRZERWAŁ WYSTĘP. UTRZYMUJ GO NA DYSTANS OD SCENY PRZY POMOCY PSZCZOLETU."
"CUST_ITEM_DLC_HAT_HALO": "ŚWIĄTOBLIWY HALO"
"DLC3_M01_SURVIVE": "[format][color:defend]ZACZEKAJ[/format] NA JIMMY'EGO"
"DLC3_INTRO_11_JIMMY": "Tak."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG NIE ŻYJE!"
"DLC3_M03_KILL_MORNINGSTAR": "ZABIJ [format][color:kill]TYPÓW JUTRZENKI[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "POSZUKAJ TAGA W [format][color:location]PLANECIE ŚWIĘTYCH[/format]"
"DLC3_M03_GOTO_APARTMENT": "POSZUKAJ TAGA W [format][color:location]CHACIE[/format]"
"DLC3_M02_OBJ_MISSION_START": "UDAJ SIĘ DO [format][color:location]DOMU JIMMY'EGO[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "ZNISZCZ [format][color:kill]BLOKADĘ DROGOWĄ[/format]"
"DLC3_M01_PROTECT_CAR": "CHROŃ [format][color:defend]SAMOCHÓD[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport jest znów bezpieczne. Lecz kto wie, kiedy Święci i ich nowo pozyskani kompani będą musieli powrócić, by ochronić miasto raz jeszcze."
"DLC3_OUTRO_09_PLAYER": "Dokładnie tak, stary. Rurka do striptizu."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Tour de Farse"
"DLC3_WPN_BEE_GUN": "PSZCZOLET"
"DLC3_INTRO_16_JIMMY": "Zaraz, dokąd się wybieracie?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Przebranie dla uzewnętrznienia twojego wewnętrznego Ninja, Hot Doga i Diabła."
"DLC3_INTRO_17_PLAYER": "Odnajdziemy naszego przyjaciela!"
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Okulary, starą, wyżutą gumę, uświniony grzebień."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Wysłać klony"
"DLC3_M02_OBJ_CALM_TAG": "USPOKÓJ [format][color:kill]TAGA[/format] PSZCZOLETEM"
"DLC3_M02_KILL_HELIS": "ZABIJ [format][color:kill]ATAKUJĄCĄ STRAŻ STEELPORT[/format]"
"DLC3_M01_GOTO_CAR": "WSIĄDŹ DO [format][color:location]SAMOCHODU JIMMY'EGO[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Wróg publiczny nr 1"
"CUST_ITEM_DLC_HOTDOG": "HOT DOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Przytrzymaj {SPRINT_IMG}, aby biec supersprintem.\nPuszczaj KULE OGNIA przy pomocy {ATTACK_SECONDARY_IMG}.\nNaciśnij {ATTACK_PRIMARY_IMG}, aby wyprowadzać super doładowane ciosy."
"DLC3_M02_GOTO_TRUCK": "WEJDŹ DO [format][color:location]TORBITRONU[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "Nowe misje dostępne są w twojej komórce."
"UNL_DLC3_CUST02_ALERT": "WIEDŹMY I PARÓWKI"
"DLC3_M03_GOTO_BRIDGE": "POSZUKAJ TAGA NA [format][color:location]MOŚCIE[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "POSTĘP"
"DLC3_INTRO_13_JIMMY": "Właśnie do tego zmierzam!"
"DLC3_INTRO_12_PLAYER": "No dobra, to gdzie jest..."
"UNL_DESC_DLC3_CUST02_ALERT": "Nowa zawartość do pobrania dostępna w garderobie twojej chaty i w garażu."
"DLC3_M02_FAIL_TAG_ESCAPE": "ZA WOLNO, JOHNNY TAG ZWIAŁ!"
"DLC3_M01_GOTO_STRIP_CLUB": "UDAJ SIĘ DO [format][color:location]FORMALNIE LEGALNEJ[/format]"
"DLC3_M01_OBJ_MISSION_START": "UDAJ SIĘ DO [format][color:location]UŚMIECHNIĘTEGO JACKA[/format]"
"DLC3_INTRO_09_TAG": "Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Aisha Brutella jest dostępna w menu \"TELEFON\" w twojej komórce. Pomoże Świętym w walce."
"DLC3_M02_OBJ_GET_BEE_GUN": "WEŹ [format][color:location]PSZCZOLET[/format] Z CIĘŻARÓWKI"
"DLC3_M02_REVIVE_TAG": "OŻYW [format][color:use]TAGA[/format]"
