"MENU_LEFT_MOUSE": "マウス左"
"COMMUNITY_SITE_BLURB": "初めてのキャラクターをアップロードして実績を獲得しよう。\nコミュニティで気に入ったキャラクターを見つけたら、ダウンロードして実際にゲーム内で使ってみよう。\nコミュニティチャレンジに参加してゲームアイテムを獲得したり、リアルタイムのコミュニティマップと、自分で作り上げたマップを見比べたりすることもできる。\nコミュニティ限定のセインツロウグッズやゲームコンテンツも見逃すな。"
"CBA_OFC_TAUNT_TWO": "　挑発"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "　右へ移動"
"PC_PLAY_HINT": "録画したゲームプレイを再生する"
"PC_EXPORTING_VIDEO": "ビデオをエクスポート中"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "　募集／解散"
"CBA_OFC_ATTACK_PRIMARY": "　攻撃"
"CBA_VDC_HELI_UP": "　上昇"
"MENU_CATEGORY_TANK": "戦車"
"PC_W_THUNDERSTORM": "雷雨"
"PC_FADE_HUD": "HUDフェード"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "アクション"
"CBA_OFC_CROUCH_TOGGLE": "　しゃがむ（切り替え）"
"CBA_VDC_NEXT_RADIO": "　次のラジオ局"
"PLT_MENU_ASPECT": "アスペクト比"
"PC_ENVIRONMENT": "環境"
"PC_GS_BACKGROUND_HINT": "背景のレンダリングを切り替える"
"PC_DOF_RANGE_HINT": "焦点範囲の深さです"
"PC_COPY_NEXT": "次のコピー"
"PC_EXPORT_EXPLANATION": "編集をやめてビデオへのエクスポートを開始しますか？"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "画質"
"HASH_8DFAAC67": "この機能を使用するにはGOGでオンラインにするか、インターネットに再接続する必要があります。"
"SAVE_WARNING_BOOT": "[format][color:#9400c5]このゲームはオートセーブを行います。このアイコンが表示されている間はオートセーブスロットへのセーブが行われています[/format]"
"CBA_OFC_PICKUP_RELOAD": "　拾う／リロード"
"CBA_VDC_HANDBRAKE": "　ドリフト"
"PC_SLOWMO_HINT": "スローモーションの設定"
"RECORD_MODE_WARNING": "ムービーを録画"
"PCACTION_RADIO_PREVIOUS": "前のラジオ局"
"PCACTION_WEAPON_3": "武器3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "このSteamアカウントは既にTHQ IDにリンクされています"
"MENU_CONTROLLER_OPTIONS_TITLE": "ゲームパッド"
"MENU_MOUSE_CONTROLS_INVERT_Y": "垂直軸の反転"
"CBA_GAC_WEAPON_SELECT_8": "　武器スロット8"
"PC_EDIT_PROPERTIES": "プロパティの編集"
"BTN_START_TXT": "A ボタン"
"PCACTION_WEAPON_6": "武器6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (低)"
"MAIN_MENU_MATCHMAKING_FAIL": "Steamマッチメイクで接続可能なゲームを発見できませんでした"
"CBA_GAC_GRENADE_SELECT_2": "　グレネードスロット2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "　左へ移動"
"CBA_VDC_CRUISE_CONTROL_B": "　クルーズコントロールの切り替え"
"PLT_MENU_SHADOW_DETAIL": "    シャドー"
"PC_OPTIONS_EXIT_HINT": "オプションダイアログを閉じる"
"BTN_BLACK_TXT": "A ボタン"
"PRESS_ANY_KEY_TEXT": "いずれかの新しいキーを押すかEscでキャンセル"
"PCACTION_RADIAL_MENU": "インベントリ"
"PC_RECORD_MODE_FAILED_EXPORT": "エラーが発生したため、ビデオの保存が出来ませんでした"
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG}手榴弾を投げる\n{GRENADE_SWITCH_IMG}装備する手榴弾を変更"
"MENU_MIDDLE_MOUSE": "マウス中央"
"CBA_VDC_NITRO": "　ニトロ"
"PLT_MENU_FULL_SCREEN": "フルスクリーン"
"PC_OPTIONS": "オプション"
"PC_ZONE_TYPE": "ゾーンタイプ"
"PC_CZ_EXIT_HINT": "カメラゾーンダイアログを閉じる"
"BTN_RTRIGGER_TXT": "A ボタン"
"HASH_299A8B6B": "ボーダーレス"
"HASH_58A675AB": "GOGマッチメイク"
"HASH_6A37FFEB": "マッチメイキングで接続できるゲームが見つかりませんでした"
"COMMUNITY_CREATE_LINK_TEXT": "新規のTHQ IDを作成するか、既存のIDに\nSteamアカウントをリンクさせます"
"CBA_GAC_PAUSE_MENU": "　ポーズ"
"CBA_VDC_HELI_TURN_RIGHT": "　右旋回"
"CBA_VDC_PLANE_FIRE_SECONDARY": "　武器発射2"
"PLT_TRILINEAR": "トライリニア"
"PC_LOAD_CHAR": "デフォルトのロード"
"PC_SM_NORMAL": "普通"
"PC_DOF_DIST_HINT": "焦点距離の深さです"
"PCACTION_PAUSE": "ポーズメニュー"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG}加速\n{PLANE_BRAKE_REVERSE_IMG}ブレーキ／逆回転\n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG}急旋回"
"SAVE_CLIP": "ムービーの保存"
"CBA_VDC_HELI_FIRE_PRIMARY": "　武器発射"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "　左ロール"
"PC_VOICE": "声"
"PC_SHOW_KEYS_HINT": "ショートカットキーの編集を表示する"
"CAA_PLANE_PITCH_UP_DOWN_POS": "　下降"
"PC_SOUNDFX_HINT": "すべての効果音をON／OFFにする"
"PC_SM_VERY_FAST": "非常に速い"
"PC_EDIT_EXPLANATION": "非アクティブカメラゾーンのカメラを編集しようとしています。現在のカメラ配置で前回の配置を上書きします"
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "右を見る"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG}／{TANK_LEFT_RIGHT_IMG}移動\nマウスを動かして狙う \n{TANK_FIRE_SECONDARY_IMG}メインb武器で攻撃 \n{TANK_FIRE_PRIMARY_IMG}サブ武器で攻撃"
