"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "LUNETTES 5.0"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "JUNKIE DE MUSIQUE"
"CUST_COLOR_GRAY_3": "GRIS 3"
"CUST_VARIANT_FADE_UP_JEANS": "DÉLAVÉ"
"CUST_TATTOO": "TATOUAGE"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "TAILLE GLOBES OCULAIRES"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "PROFONDEUR DU FRONT"
"CUST_TATTOO_RARM_8": "UNE TOUCHE DE TOUT"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MAT"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATÉRIAU MAT"
"SLOT_GRILL_COLOR": "COULEUR CALANDRE"
"SLOT_SIDE_MIRRORS": "MIROIRS LATÉRAUX"
"SLOT_DECAL_2": "DÉCALCO 2"
"CUST_VARIANT_BASIC": "ORDINAIRE"
"CUST_CAT_MAKEUP": "MAQUILLAGE"
"CUST_COLOR_CLOTHING_BLUES_2": "BLEU 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ROUGE-ORANGE 4"
"VEHICLE_COLOR_MORPH_BROWN": "MARRON"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STYLE 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "HOMME À FEMMES"
"CUST_CAT_BACKPACK": "SAC À DOS"
"STORE_WEAPON_LEVEL": "NIVEAU {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Augmente la cadence de tir et la capacité des chargeurs. La visée laser améliore la précision du tir à la hanche."
"CUST_VARIANT_DIRTY": "SALE"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "CHEMISE DE GROOVE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "DÉBARDEUR \"SAFARI URBAIN\""
"CUST_FACIAL_ITEMS": "BLESSURES"
"CUST_VARIANT_SMALL_HEARTS": "PETITS CŒURS"
"CUST_VARIANT_GLOSSY": "POLI"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "COU TRANCHÉ"
"CUST_EYE_COLOR": "COULEUR DES YEUX"
"CUST_COLOR_CLOTHING_GREENS_7": "VERT 7"
"CUST_COMP_FACE_SCAR_3": "GRANDE CICATRICE 3"
"CUST_COLOR_BRUNETTE": "BRUN"
"LOGO_MUSEUM_ART": "MUSÉE D'ART"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "BLOUSON \"SAFARI URBAIN\" AVEC T-SHIRT"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "BRACELET ROCK"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "ZINC"
"CUST_VARIANT_BOWTIE": "NORMAL"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "BOTTES DEATHCORE"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "PROPRE"
"CUST_WEAR_UNZIPPED_HOOD_UP": "NON FERMÉ, CAPUCHE RELEVÉE"
"cm_toilet": "TOILETTE"
"CUST_ITEM_BANK_HEIST": "CAGOULE HOLD-UP"
"CUST_MENU_GLOBAL": "CORPS"
"PLAYER_MORPH_EAR_LOBE_TEXT": "LOBES DES OREILLES"
"VEHICLE_COLOR_BLUE_DARK_TINT": "TEINTE BLEU FONCÉ"
"CUST_VARIANT_LIGHT_SILVER": "ARGENT CLAIR"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "CASQUETTE BRO HAT"
"CUST_ITEM_CM_BASIC_PARACHUTE": "PARACHUTE"
"PLAYER_FAT_TEXT": "GRAISSE"
"CUST_COLOR_CLOTHING_BLUES_6": "BLEU 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "VERT SAGE PROFOND"
"Blonde": "BLOND"
"CUST_VARIANT_LEOPARD": "LÉOPARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "HABIT ZÉRO À CENT"
"CUST_COMP_TEST_MUSTACHE": "TEST MOUSTACHE"
"SLOT_ADJUSTABLE_SUSPENSION": "SUSPENSION RÉGLABLE"
"SLOT_DECAL_6": "STICKER 6"
"SLOT_JUNK/CLUTTER": "CAMELOTE/BRIC-À-BRAC"
"CUST_COLOR_BLUE_2": "BLEU 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "CASQUE DE STAG"
"COLOR_SLOT_PAINT_3": "PEINTURE 3"
"COLOR_SLOT_INTERIOR_3": "INTÉRIEUR 3"
"SLOT_SPINNERS_REAR": "SPINNERS ARRIÈRE"
"COMPONENT_OPTION_C": "OPTION C"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "PANTALON DE MOTARD EN CUIR"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "BRACELET CUIR ET SANGLES"
"CUST_ITEM_CF_CURLERS": "FEMME À LA MAISON DES ANNÉES 50"
"CUST_SAMEDI_COMPLIMENT_B": "COMPLIMENT SAMEDI 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "FLAMMES VIOLETTES"
"CUST_TATTOO_RIGHT_ARM": "TOUT LE BRAS DROIT"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "HAUTEUR DES NARINES"
"VEHICLE_COLOR_COPPER_OXIDE": "VERT DE GRIS"
"SLOT_EXHAUST": "ÉCHAPPEMENTS"
"CUST_WEAR_LEFT_ROLLED_LOW": "REVERS GAUCHE, BAS"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "GANTS SM"
"CUST_SKIN_SMURF": "BLEU ELFE"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "PROFONDEUR DE L'ARÊTE NASALE"
"SURGEON_CAT_EXPORT": "EXPORTER"
"SLOT_GRILL": "CALANDRE"
"FEMALE_HUGE": "FEMME, ÉNORME"
"CUST_ITEM_FEMALE_LP_BRA_4": "FILLE GLAM"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BRACELET BIP BOOP"
"CUST_SKIN_RED_YELLOW_3": "ROSE PRINCESSE"
"CUST_SKIN_METAL_4": "ÉMERAUDE"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "TAILLE DE L'IRIS"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "PROFONDEUR DES SOURCILS"
"CUST_COLOR_CLOTHING_RED_5": "ROUGE 5"
"FEMALE_OBESE": "FEMME, OBÈSE"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "LA MARSHA"
"PLAYER_CREATION_COLOR": "COULEUR"
"IRIDESCENT_5": "IRISÉS 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "TÊTE DE GRAND MÉCHANT LOUP"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "SWEAT DES SAINTS À CAPUCHE (BAISSÉE)"
"STORE_WEAPON_AVAILABLE": "DISPONIBLE"
"PLAYER_CREATION_ADVANCED": "AVANCÉE"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "BLEU ABYSSE"
"VEHICLE_COLOR_BROWN_DARK_TINT": "TEINTE MARRON FONCÉ"
"VEHICLE_COLOR_CARBON_STEEL": "CHARBON"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "PEINTURE 2 ET 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "CHAPEAU 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LET'S PRETEND HOMME B"
"FACIAL_EXPRESSION_SURPRISED": "SURPRIS"
"CUST_COLOR_YELLOW_2": "JAUNE 2"
"CUST_VARIANT_SHARKS": "REQUINS"
"CUST_WEAR_AGAINST SKIN": "PEAU"
"CUST_TATTOO_STOMACH_1": "VOIE D'HONNEUR"
"CUST_COMP_MUSTACHE_7": "PERVERS"
"CUST_VARIANT_STRIPES_B": "BANDES 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "NON RENTRÉ, BOUTONNÉ"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "RITAL"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "LUNETTES DE MOTARD"
"CUST_ITEM_CF_HAIR_LONGASYM": "DESTRUCTURÉS"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "JUPE DÉCONTRACT'"
"CUST_GENDER": "SEXE"
"CUST_TATTOO_LEGS": "JAMBES"
"CUST_COMPLIMENT_T": "APACHE"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "ESPACEMENT DES JOUES"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "VIOLET-BLEU 3"
"CUST_VARIANT_VERTICAL": "BANDES VERTICALES"
"CUST_WEAR_ZIPPED_HOOD_UP": "FERMÉ, CAPUCHE RELEVÉE"
"CUST_ITEM_CM_DLC_HAT_ABOY": "CHAPEAU MELON"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "BAGUES STYLE SAINTS"
"CUST_COMP_FINGERNAILS_R": "VERNIS À ONGLE DROIT"
"RIM_SET_014": "PACK JANTES 14"
"SLOT_LEFT_SIDE": "CÔTÉ GAUCHE"
"SLOT_REAR_BUMPER_EXTRAS": "MODIFS PARE-CHOCS ARRIÈRE"
"CUST_VARIANT_PATTERN_B": "STYLE 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "CHAPEAU ACID HOUSE"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "VESTE \"POCKET ROCKET\" (HOMME)"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "ÉLÉVATION DE LA BOUCHE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "BLEU-VERT 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Augmente la capacité de munitions."
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "ROUGE 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "SWEAT OG"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "DÉBARDEUR DE POUF"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "LARGEUR DU FRONT"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ROUGE-ORANGE 8"
"SLOT_FRONT_BUMPER_EXTRAS": "MODIFS PARE-CHOCS AVANT"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "NON RENTRÉ, NON BOUTONNÉ, CRAVATE"
"CUST_ITEM_CF_RING_F_RAVERSET": "BAGUES \"ACID HOUSE\""
"CUST_TATTOO_UPPER_ARM_LEFT": "BRAS GAUCHE HAUT"
"CUST_TATTOO_RARM_4": "CHEVALIER DE LA THIRD STREET"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LOLLIPOP"
"CUST_VARIANT_THICK_EYESHADOW": "ÉPAIS"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "OUVERT DROITE, HAUT"
"CUST_SKIN_ASIAN_02": "ASIATIQUE 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "REVERS GAUCHE, HAUT"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "T-SHIRT ROCKER DÉLAVÉ"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "CUISSARD MOULANT"
"FACIAL_EXPRESSION_PAIN": "DOULEUR"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSCULATURE"
"PLAYER_MORPH_ASIAN_TEXT": "ASIATIQUE"
"CUST_ITEM_PLASTIC_SANDALS": "SANDALES PLASTIQUE"
"CUST_SKIN_CAUCASIAN_03": "CAUCASIEN 3"
"CUST_GANG_BIKER": "MOTARD"
"CUST_COMP_MUSTACHE_24": "BALBO"
"VEHICLE_COLOR_BRASS": "LAITON"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "SPINNERS AVANT"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "RAT DE GYMNASE"
"VEHICLE_COLOR_DRAGON_BLUE": "BLEU DRAGON"
"CUST_COLOR_BRIGHT_BLUE": "BLEU CLAIR"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "CHAPEAU DE PROXÉNÈTE STYLE Z"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "VESTE EN CUIR MAMBA"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "HAUTEUR DU MENTON"
"CUST_TATTOO_LFORARM_6": "PEAU BLINDÉE"
"SLOT_ROOF": "TOITS"
"SLOT_LOGO": "LOGOS"
"HAIR_COLOR_REDHEAD": "ROUX"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "TRAFIQUANT DE DROGUE"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "GANTS D'HÉROÏNE DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Augmente la capacité de munitions."
"CUST_VARIANT_LIGHT_STEEL": "ACIER CLAIR"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "TOUT LE DOS"
"PLAYER_MORPH_CROWN_TEXT": "DIMENSIONS DE LA TÊTE"
"WARDROBE_NONE": "VIDE"
"CUST_COLOR_CLOTHING_VIOLET_5": "VIOLET 5"
"CUST_COMP_EYES_GREY": "GRIS"
"SLOT_REAR_WHEELS": "ROUES ARRIÈRE"
"CUST_COLOR_AUBURN": "AUBURN"
"CUST_VARIANT_08_DEFAULT": "VARIANTE 8"
"CUST_WEAR_BACK_LEFT": "ARRIÈRE GAUCHE"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "COLLIER BISCUITS DISCO"
"CUST_ITEM_SHADES_11": "LUNETTES DE SOLEIL MOCHES"
"CUST_CAT_FINGERNAILS": "ONGLES"
"CUST_TATTOO_HEAD_TOP": "VISAGE"
"CUST_BRO_COMPLIMENT_D": "COMPLIMENT BROTHERHOOD 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "JAUNE 6"
"CUST_TATTOO_RUPPARM_6": "AMOUR POUR UNE MÈRE"
"LOGO_RHOMBUS_1": "LOSANGE 1"
"CUST_VARIANT_HORIZONTAL": "BANDES HORIZONTALES"
"CUST_WEAR_TATTOO_MAO_DESIGN": "DESSIN MAO"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "CASQUETTE DE STEELPORT"
"VEHICLE_COLOR_WET_LEAF_BROWN": "MARRON FEUILLE MOUILLÉE"
"SLOT_MUDFLAP": "BAVETTES"
"CUST_ITEM_FEMALE_LL_BRA_1": "COUP DE FOUDRE"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BRACELET BIP BOOP"
"PLAYER_CREATION_AGE_MIDDLE": "MOYEN"
"PLAYER_MORPH_NOSE_YAW_TEXT": "ÉCARTEMENT DU NEZ"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "BLANC ULTRA CLAIR"
"CUST_WEAR_TATTOO_BARBED_WIRE": "BARBELÉS"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "LONGUEUR DU NEZ"
"SLOT_CASKET": "CERCUEIL"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "RENTRÉ, BOUTONNÉ, BAS, SANS BRETELLES"
"CUST_ITEM_CF_RING_F_EYEBALL": "BAGUE \"ŒIL POUR ŒIL\""
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "STRING SAINTS INEXISTANT"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "BANDEAU"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "La visée laser améliore la précision de tir à la hanche. Les balles perforantes transpercent l'armure."
"CUST_COMP_MUSTACHE_20": "BARBICHE"
"VEHICLE_PAINT_SHINY_MATERIAL": "MATÉRIAU BRILLANT"
"LOGO_DRAGON": "DRAGON"
"CUST_VARIANT_FADEUP_JEANS": "DÉLAVÉ"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "NON RENTRÉ, BOUTON DU HAUT, CRAVATE"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "SWEAT GANGSTA CLASSIQUE"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "BAGARREUR DE RUE"
"CUST_ITEM_6_LOOPS_LEFT": "6 BOUCLES"
"CUST_WEAR_HOOP": "ANNEAU"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "INVENTEUR STEAMPUNK"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "BORD DES PAUPIÈRES"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "FLEUR DE CLÉ"
"COLOR_SLOT_TRIM_1": "GARNITURE 1"
"SLOT_FRONT_MODS": "MODIFS AVANT"
"CUST_COLOR_BRIGHT_PURPLE": "VIOLET CLAIR"
"COMPONENT_PAINT_3": "PEINTURE 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "BEAUTÉ PARFAITE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS HOMME C"
"CUST_ITEM_BASEBALL_CAP": "CASQUETTE DE BASEBALL"
"CUST_COLOR_CLOTHING_YELLOWS_2": "JAUNE 2"
"CUST_TATTOO_RUPPARM_2": "GAT EN 8-BIT"
"CUST_VARIANT_LOOPS": "BOUCLES"
"CUST_VARIANT_FLAMES": "FLAMMES"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "TENUE SERRÉE"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "CHAPEAU DU CAPITAINE"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "INCLINAISON PAUPIÈRE SUPÉRIEURE"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "FORME DU NEZ"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "LARGEUR DE L'ARÊTE NASALE"
"CUST_COLOR_CLOTHING_VIOLET_1": "VIOLET 1"
"HAIR_COLOR_PURPLE_MATTE": "VIOLET MAT"
"CUST_ITEM_CF_HAIR_PIGTAILS": "À PEINE LÉGAL"
"FACIAL_EXPRESSION_PAIN_B": "ANGOISSE"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "LARGEUR DES SOURCILS"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Augmente la capacité de munitions. Le bipied diminue le recul."
"COLOR_SLOT_WINDOW_TINT": "VITRE TEINTÉE"
"LOGO_COFFEE": "CAFÉ"
"LOGO_SHARKS_1": "REQUINS 1"
"CUST_WEAR_FORWARD_LEFT": "AVANT GAUCHE"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ROUGE 9"
"CUST_VARIANT_TRACK_A2": "STYLE 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "RENTRÉ, BOUTONNÉ, BAS, SANS BRETELLES, CRAVATE"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "POIGNET SIMPLE"
"CUST_ITEM_FEMALE_LL_BRA_5": "CACHE-MOI CE SEIN"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "BASKETS DES SAINTS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "VIOLET-BLEU 7"
"SLOT_KNEECAPPERS_DESC": "Avec des lames rétractables dans tes pneus, conduire près des véhicules et des gens peut causer des dégâts."
"CUST_VARIANT_TRACK_PANTS": "SOLIDE"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "CHAUSSURES \"BEAU GOSSE\""
"PLAYER_MORPH_TIPS_SIZE_TEXT": "TAILLE DES POINTES"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "LONGUEUR DU MENTON"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Augmente les dégâts."
"CUST_TATTOO_STOMACH_5": "CHAUVES-SOURIS DE L'ANARCHIE"
"CUST_COMP_MUSTACHE_3": "FLIC"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "ENJOLIVEURS AVANT"
"CUST_COLOR_BRIGHT_RED": "ROUGE CLAIR"
"LOGO_FIST": "POING"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "PANTALON AJUSTÉ"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "CASQUETTE \"FLEUR DE SAINTS\""
"CUST_COMPLIMENT_P": "LA BALLE D'ARGENT"
"COMPONENT_ADD_SUSPENSION": "SUSPENSION RÉGLABLE"
"SLOT_KNEECAPPERS": "BRISE-ROTULES"
"SLOT_SPEED_UPGRADE": "AMÉLIORATIONS VITESSE"
"CUST_COLOR_ROSE_1": "ROSE 1"
"CUST_VARIANT_HEARTS_BIG": "GROS CŒURS"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "MASQUE DE SUPER-HÉROS"
"VEHICLE_COLOR_TOREADOR_RED": "ROUGE CORRIDA"
"RIM_SET_010": "PACK JANTES 10"
"CUST_VARIANT_THIN_STRIPES": "BANDES FINES"
"CUST_MENU_EXIT": "LANCER PARTIE"
"VEHICLE_COLOR_PLATINUM": "PLATINE"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "PULL FASHION DÉMENT"
"VEHICLE_PAINT_MATTE_PAINT": "PEINTURE MATE"
"SLOT_REINFORCED_FRAME_DESC": "Une structure améliorée est importante pour que ton véhicule résiste à un traitement infernal avant de devenir un vulgaire tas de ferraille."
"SLOT_ANTENNA": "ANTENNES"
"CUST_VARIANT_SEMI_GLOSSY": "SEMI-BRILLANT"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "HAUTEUR DU FRONT"
"PLAYER_MORPH_CHEEKBONES_TEXT": "POMMETTES"
"COMPONENT_NONE": "AUCUN(E)"
"CUST_VARIANT_MULTICOLOR_SMALL": "MULTICOLORE PETIT"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "VESTE BRANCHÉE STYLE PARISIEN"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "HAUTEUR DU NEZ"
"SLOT_EXTRAS": "BONUS"
"Cornhole": "NATTES COLLÉES"
"STRAWBERRY_BLONDE": "BLOND VÉNITIEN"
"COLOR_SLOT_RIM_1": "COULEUR EMPLACEMENT JANTE 1"
"CUST_VARIANT_BADGELESS": "PAS DE BADGE"
"CUST_VARIANT_STRIPES": "BANDES HORIZONTALES"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "TEINTE ROSE CLAIR"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "MARRON CLAIR MAT"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "STRING DE ST-VALENTIN"
