"DLC3_OUTRO_08_TAG": "Стриптиз на шесте?"
"DLC3_INTRO_11_JIMMY": "Ага."
"DLC3_M03_FAIL_TAG_DIED": "ДЖОННИ ТЭГ МЕРТВ!"
"DLC3_M03_KILL_MORNINGSTAR": "УБЕЙТЕ [format][color:kill]БАНДИТОВ ИЗ \"МОРГЕНШТЕРНА\"[/format]."
"DLC3_M03_GOTO_PLANET_SAINTS": "ИЩИТЕ ТЭГА В [format][color:location]ПЛАНЕТЕ СВЯТЫХ[/format]"
"DLC3_M03_GOTO_APARTMENT": "ИЩИТЕ ТЭГА В [format][color:location]ЖИЛИЩЕ[/format]."
"DLC3_M02_OBJ_MISSION_START": "ОТПРАВЛЯЙТЕСЬ [format][color:location]ДОМОЙ К ДЖИММИ[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "УНИЧТОЖЬТЕ [format][color:kill]БЛОК-ПОСТ[/format]"
"DLC3_M01_PROTECT_CAR": "ЗАЩИТИТЕ[format][color:defend]АВТОМОБИЛЬ[/format]"
"DLC3_OUTRO_11_JIMMY": "В Стилпорте снова безопасно. Но кто знает, когда городу вновь придется позвать на помощь Святых и их новых союзников..."
"DLC3_OUTRO_09_PLAYER": "Точно, чувак. Стриптиз на шесте."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Тур-де-Фарс"
"DLC3_WPN_BEE_GUN": "ПЧЕЛОТРОН"
"DLC3_INTRO_16_JIMMY": "Стойте, вы куда пошли?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Одежда для вашего внутреннего ниндзя, хот-дога, ангела и дьявола."
"DLC3_INTRO_17_PLAYER": "Мы пошли искать нашего друга!"
"DLC3_INTRO_08_JIMMY": "Джонни?"
"DLC3_INTRO_05_JIMMY": "Темные очки, старая пожеванная жвачка, бриолиновая расческа."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Отправляя клонов"
"DLC3_M02_OBJ_CALM_TAG": "УСПОКОЙТЕ [format][color:kill]ТЭГА[/format] С ПОМОЩЬЮ ПЧЕЛОТРОНА"
"DLC3_M02_KILL_HELIS": "УНИЧТОЖЬТЕ[format][color:kill]АТАКУЮЩИХ СТИЛПОРТСКИХ ГВАРДЕЙЦЕВ[/format]"
"DLC3_M01_GOTO_CAR": "СЯДЬТЕ В [format][color:location]МАШИНУ ДЖИММИ[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Враг государства #1"
"CUST_ITEM_DLC_HOTDOG": "ХОТ-ДОГ"
"CUST_ITEM_DLC_SUIT_NINJA": "НИНДЗЯ"
"DLC3_M03_TUT_SUPER_POWERS": "Зажмите {SPRINT_IMG}, чтобы сделать супер-рывок.\nЧтобы метнуть ОГНЕННЫЙ ШАР, нажмите на {ATTACK_SECONDARY_IMG}.\nНажимайте {ATTACK_PRIMARY_IMG} для нанесения сверхмощных ударов!"
"DLC3_M02_GOTO_TRUCK": "САДИТЕСЬ В [format][color:location]ТОРБИТРОН[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "В вашем мобильном телефоне появились новые задания."
"UNL_DLC3_CUST02_ALERT": "ЧАРОДЕЙКИ И ЧЛЕНЫ"
"DLC3_M03_GOTO_BRIDGE": "ИЩИТЕ ТЭГА НА [format][color:location]МОСТУ[/format]."
"DLC3_M02_OBJ_CALM_LABEL": "ПРОГРЕСС"
"DLC3_INTRO_13_JIMMY": "Я как раз к этому перехожу!"
"DLC3_INTRO_12_PLAYER": "Ладно, а где..."
"UNL_DESC_DLC3_CUST02_ALERT": "Вы можете загрузить новый контент в гардеробе и гараже вашего жилища."
"DLC3_M02_FAIL_TAG_ESCAPE": "ВЫ ДВИГАЛИСЬ СЛИШКОМ МЕДЛЕННО, ДЖОННИ ТЭГ УШЕЛ."
"DLC3_M01_GOTO_STRIP_CLUB": "ИДИТЕ В [format][color:location]ФОРМАЛЬНО ЗАКОННО[/format]"
"DLC3_M01_OBJ_MISSION_START": "ОТПРАВЛЯЙТЕСЬ В [format][color:location]ВЕСЕЛОГО ВАЛЕТА[/format]"
"DLC3_INTRO_09_TAG": "Айша!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Номер Айши Брутеллы есть в меню \"ТЕЛЕФОН\" вашего мобильника. Она поможет Святым в бою."
"DLC3_M02_OBJ_GET_BEE_GUN": "ВОЗЬМИТЕ [format][color:location]ПЧЕЛОТРОН[/format]"
"DLC3_M02_REVIVE_TAG": "ВОЗРОДИТЕ [format][color:use]ТЭГА[/format]"
