"DROP_SPHERE": "DAI SFERA"
"STAT_COOP_ACTIVITIES_COMPLETED": "COOP: MODALITÀ COMPLETATE"
"STAT_MILES_BY_CAR": "MIGLIA PERCORSE IN AUTO"
"STAT_FRAUD_DIVES_TAKEN": "FRODE ASSICURATIVA: TUFFI ESEGUITI"
"STAT_BARN_FOUND": "LUOGHI PER ACROBAZIE AEREE TROVATI"
"ESCORT_NAME_36A": "FEROCE"
"HASH_64463610": "LIVELLO STILE"
"UNLIMITED_CLIP_DESC": "Non dovrai ricaricare mai, perché le tue munizioni dureranno nei secoli dei secoli."
"MEDIUM_RAIN": "PIOGGIA MEDIA"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Vuoi sostituire \"%s\" con \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "COMPRA PER %ls"
"STAT_TOTAL_CASH_EARNED": "GUADAGNI TOTALI"
"STAT_DRIVING_BIGAIR_DISTANCE": "DISTANZA MASSIMA"
"STAT_SHOTS_FIRED": "COLPI SPARATI"
"STAT_POLICE_NOTORIETY_TIME": "TEMPO CON NOTORIETÀ DELLA POLIZIA MASSIMA"
"DRUNK_PEDS_DESC": "Tutti sbronzi come aquile."
"DROP_ATTRAZIONE": "RICEVI ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Selezionando un nuovo set predefinito cambierai tutte le\naltre modifiche eventualmente apportate!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Spazio libero insufficiente sulla periferica di memorizzazione predefinita\nper completare il salvataggio."
"ACT_HITMAN_LEAVE_FULL": "Sei sicuro di voler lasciare Killer?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ASSALTO IN ELICOTTERO: BERSAGLI DISTRUTTI"
"HASH_4C1CDC12": "IMPERMEABILE OTTENUTO"
"CUST_ICON_PIERCINGS": "PIERCING"
"VCUST_PURCHASE_OPTION": "ACQUISTA"
"VCUST_RIM_FAMILY_TITLE": "FAMIGLIA CERCHIONI"
"STAT_DISTANCE_BY_CAR": "DISTANZA CON AUTO"
"STAT_THROWN_HIT_PCT": "COLPI CON ARMI DA LANCIO A SEGNO"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "ANGELO CUSTODE COMPLETATO"
"STAT_COMBAT_CAR": "UCCISIONI CON AUTO"
"GIVE_SWORD": "RICEVI NOCTURNE"
"DROP_STILWATERMUNICIPAL": "RICEVI STILWATER MUNICIPAL"
"DROP_VORTEX": "RICEVI VORTEX"
"VCUST_RETURN_TO_CRIB": "TORNA ALL'ALLOGGIO"
"GARAGE_CAT_2": "COLORI"
"STAT_SNIPER_SHOTS_FIRED": "COLPI DI FUCILE DA CECCHINO SPARATI"
"STAT_MISSIONS_COMPLETED": "MISSIONI COMPLETATE"
"COMERCIAL_7": "SCONTI DEL 15% DA IMPRESSIONS"
"GIVE_SHIELD": "RICEVI SCUDO DA SOMMOSSA"
"TOD_Cycle": "CAMBIA ORARIO"
"INFINITE_AMMO_DESC": "Ti dà munizioni infinite per tutte le armi."
"ADD_GANG_NOTORIETY": "AGGIUNGI NOTORIETÀ GANG"
"Wrath_of_God": "COLLERA DIVINA"
"POC2_WEAPON_UPGRADE_2": "POTENZIA ARMA - LIVELLO 2"
"WPN_STORE_RIFLE_TITLE": "FUCILI"
"STORE_ITEM_STYLE_AWARD": "+ {0} STILE"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "PRELEVARE"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAR"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "CLASSIFICA SALTI VEICOLO"
"SP Diversion Stars Col3_NAME": "CLASSIFICA DIVERSIVI"
"SP Time Col2_NAME": "CLASSIFICA TEMPO DI GIOCO"
"CONTROL_ZOOM_AND_ROTATE": "ZOOM/RUOTA"
"DROP_CHALLENGER": "RICEVI CHALLENGER"
"GIVE_D4THBLOSSOM": "RICEVI DEATH BLOSSOM"
"MUSIC_DOWNLOADABLE": "SCARICATA"
"STORE_EXIT_WARNING_BODY": "Vuoi davvero uscire dal negozio?\n\nSei sicuro?"
"PLAYER_CREATION_SAVE_CHANGES": "Vuoi salvare le modifiche?"
"STAT_WHEELIE_LONGEST_DISTANCE": "IMPENNATA PIÙ LUNGA"
"STAT_CIVILIANS_KILLED": "CIVILI UCCISI"
"CONTROL_YES": "SÌ"
"DROP_JUSTICE": "RICEVI JUSTICE"
"DROP_WIDOWMAKER": "RICEVI WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "PERSONALIZZAZIONE GIOCATORE"
"WPN_STORE_EXIT_PROMPT": "Vuoi davvero uscire\n\ndal negozio di armi?"
"VCUST_BOTH_AXLES_OPTION": "ENTRAMBI GLI ASSI"
"STAT_DISTANCE_BY_VEHICLE": "DISTANZA CON VEICOLO"
"STAT_CASH_EARNED_PER_DAY": "GUADAGNO ALL'ORA"
"STAT_FRAUD_BEST_DIVE": "FRODE ASSICURATIVA: MIGLIOR TUFFO"
"STAT_ACTIVITY_RESPECT_EARNED": "RISPETTO GUADAGNATO CON MODALITÀ"
"STAT_HOSPITAL_BILLS": "CONTI D'OSPEDALE"
"ESCORT_NAME_8B": "CAVATAPPI"
"CONTROL_REMOVE": "RIMUOVI"
"DROP_REAPER": "RICEVI REAPER"
"GARAGE_EXIT_PROMPT": "Esci dal garage?"
"STAT_MORNINGSTAR_KILLED": "MORNINGSTAR UCCISI"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "VEICOLI RUBATI CONSEGNATI"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "TRAFFICANTE COMPLETATO"
"STAT_COMBAT_ENEMY": "MEMBRI DI GANG NEMICHE UCCISI"
"STAT_HOLDUP_CASH": "DENARO GUADAGNATO DA SCIPPATORE ATTENDISTA"
"STAT_BASE_JUMP": "LANCI COL PARACADUTE"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "SÌ"
"RAINING_PEDS_DESC": "Piovono pedoni, alleluia."
"PED_WAR": "GUERRA DEI PEDONI"
"CAR_MASS_HOLE": "CAR MASS HOLE"
"SURGEON_FINISHED_FULL": "Vuoi davvero uscire da Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "FATTI UN TATUAGGIO"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "STREAK PIÙ LUNGO CON NOTORIETÀ MASSIMA PRESSO LA POLIZIA"
"ESCORT_NAME_15B": "LECCALECCA"
"ESCORT_NAME_6B": "TATUAGGIO"
"Vehicle Jump Spin_NAME": "ROTAZIONE MIGLIORE"
"CONTROL_BTN_BACK": "IL PULSANTE BACK"
"CELL_DRUG_DEALER": "SPACCIATORE"
"CRIB_SHOP_PURCHASED_TEXT": "Ora questo alloggio è tuo. \nQui puoi accedere al denaro accumulato, ad armi, abiti e veicoli. \nPersonalizzalo per migliorare il tuo livello di stile."
"WPN_STORE_PISTOL_TITLE": "PISTOLE"
"VCUST_WHEEL_SIZE_OPTION": "DIM. RUOTE"
"GARAGE_CRIB_NAME": "GARAGE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "DISTANZA TOTALE PERCORSA"
"STAT_DIVERSIONS_COMPLETED": "DIVERSIVI COMPLETATI"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTALE DANNI SUBITI"
"STAT_MILES_BY_AIRCRAFT": "MIGLIA PERCORSE SU MEZZI AEREI"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "SPESE PER PERSONALIZZAZIONI"
"STAT_MAX_STUNT_JUMP_SPIN": "MAX ROTAZIONE SALTO"
"SP Throw Distance_NAME": "CLASSIFICA DISTANZA DI LANCIO"
"HASH_80C0A79A": "CAMBIA CLASSIFICA"
"MAP_ICON_HELI": "ASSALTO IN ELICOTTERO"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Il tuo veicolo non può essere danneggiato."
"VCUST_PURCHASE_PROMPT": "Vuoi comprare {0} per ${1}?"
"CUST_ITEM_CREATE_OUTFIT": "SALVA COMPLETO"
"GARAGE_REPAIR_TEXT": "Vuoi riparare quest'auto?"
"HORDE_MODE_TITLE_KILLS": "UCCIS."
"HORDE_MODE_WAVE_TAG": "ONDATA"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: DENARO GUADAGNATO"
"STAT_PISTOL_SHOTS_FIRED": "COLPI DI PISTOLA SPARATI"
"STAT_ACTIVITIES_COMPLETED": "ATTIVITÀ COMPLETATE"
"ESCORT_NAME_17B": "MORSA D'ACCIAIO"
"ESCORT_NAME_4B": "DRAGO"
"HeliAssault": "ASSALTO IN ELICOTTERO"
"CONTROL_CHANGE_COLUMN": "CAMBIA COLONNA"
"MAP_ICON_PLASTIC_SURGEON": "CHIRURGO PLASTICO"
"WARDROBE_LEAVE_FULL": "Vuoi davvero uscire dal guardaroba?"
"CRIB_HUD_HANGAR_PURCHASE": "ACQUISTA HANGAR AEROPORTUALE: ${0}"
"VCUST_REGION_TITLE": "REGIONE (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Questo ti toglierà tutti i vestiti attuali.\nQuando sei nudo, puoi fare Streaking.\nSei sicuro?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Non puoi portare via dal tuo alloggio altre munizioni per l'arma di tipo \"%s\"."
"STAT_STAG_COMMANDOS_KILLED": "COMMANDO STAG UCCISI"
"STAT_FBI_KILLED": "AGENTI FBI UCCISI"
"HASH_D4EBF91C": "LIVELLI AUTO IN CORSA COMPLETATI"
"TAXI_CANNOT_AFFORD": "Non hai denaro sufficiente per pagare la corsa."
"OVL_SHOP_PURCHASED_TITLE": "ACQUISTATO"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "SALVA"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Non puoi portare altre munizioni di questo tipo."
"STORE_TITLE_INSUFFICIENT_FUNDS": "FONDI INSUFFICIENTI"
"STAT_NEIGHBORHOODS_CONTROLLED": "QUARTIERI CONTROLLATI"
"ESCORT_NAME_11B": "SCOSSA"
"ESCORT_NAME_2B": "TROMBA"
"MAP_ICON_TSS_MISSION": "MISSIONE DEI 3RD STREET SAINTS"
"MAP_ICON_TATTOO_PARLOR": "NEGOZIO DI TATUAGGI"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "DEVI ASSUMERE IL CONTROLLO DEL QUARTIERE PRIMA DI POTER COMPRARE QUESTO NEGOZIO"
"GANG_CUST_SLOT_3": "SPAZIO 3"
"STAT_WEAPON_THROWN": "LANCIO"
"STAT_COOP_KILLS": "COOP: GIOCATORI UCCISI"
"STAT_MAYHEM_BEST_ROUND": "VANDALISMO: MIGLIOR ROUND"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "ANGELO CUSTODE: NUMERO DI CELEBRITÀ PROTETTE"
"STAT_COMBAT_MOTORCYCLE": "UCCISIONI CON MOTOCICLETTA"
"STAT_MILES_BY_VEHICLE": "DISTANZA SU RUOTE"
"SP Diversion Stars Col1_NAME": "CLASSIFICA DIVERSIVI"
"CONTROL_CHANGE_STORY": "CAMBIA STORIA"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "GUARDIE DEL CORPO"
"SMASH_DESC": "Il tuo veicolo distrugge gli altri veicoli."
"DROP_STATUSQUO": "RICEVI STATUS QUO"
"SUPER_EXPLOSIONS": "SUPER ESPLOSIONI"
"PLAYER_PRATFALLS": "SIMULAZIONE"
"POC2_DROP_CAR": "LASCIA AUTO SPORTIVA"
"VCUST_EXIT_PROMPT": "Vuoi davvero uscire dalla personalizzazione veicoli?"
"VCUST_EXTRA_HIGH_PROFILE": "ALTISSIMO PROFILO"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "GATTO E TOPO: PUNTI MASSIMI GUADAGNATI"
"STAT_SHOTGUN_HIT_PCT": "COLPI DI FUCILE A POMPA A SEGNO"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "ANGELO CUSTODE: NUMERO DI AGGRESSORI UCCISI"
"STAT_MUGGINGS_COMPLETED": "RAPINE COMPLETATE"
"ESCORT_NAME_13B": "TROMBA D'ARIA"
"SP Kills Col2_NAME": "CLASSIFICA MATTANZA"
"HIDE_HUD_DESC": "Il visore HUD è nascosto."
"FULL_HEALTH_DESC": "Rigenera tutta la tua salute."
"INFINITE_SPRINT_DESC": "Il tuo sprint dura in eterno."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Non puoi piazzare un punto di riferimento durante una missione o una modalità!"
"HAIR_NO_CHOICES": "Nessuna scelta per questa categoria."
"CUST_ITEM_VIEW_OUTFITS": "VISUALIZZA COMPLETI"
"STAT_COMBAT_MELEE": "UCCISIONI CORPO A CORPO"
"STAT_MUGGINGS_CASH": "DENARO GUADAGNATO COME RAPINATORE"
"STAT_MILES_ON_FOOT": "DISTANZA A PIEDI"
"NO_OUTFITS_DISPLAY_NAME": "NESSUN COMPLETO"
"CONTROL_RETURN_TO_LOBBY": "TORNA ALLA SALA D'ATTESA"
"PAUSE_MAP_WAYPOINT_REMOVE": "RIMUOVI PUNTO DI RIFERIMENTO"
"MAP_ICON_CAR_MECHANIC": "MECCANICO PER AUTO"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "USCIRE DAI POTENZIAMENTI?"
"GARAGE_REPAIR_PROMPT": "Vuoi riparare questo veicolo per ${0}?"
"VCUST_COLOR_GRID_TITLE": "GRIGLIA CROMATICA"
"VEHICLE_COLOR_ADVANCED": "BASE"
"STORE_CRIB_CLOTHING_MSG": "VAI AL TUO GUARDAROBA"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTALE UCCISIONI MULTIPLE"
"STAT_FLASHPOINTS_COMPLETED": "ATTIVITÀ GANG COMPLETATE"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTALE PROVOCAZIONI"
"ESCORT_NAME_17A": "PELOSO"
"ESCORT_NAME_4A": "NERO"
"TINY_PLAYER_DESC": "Tesoro, mi sono ristretto da solo."
"GANG_CUST_GANG_STYLE_OPT": "STILE"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Vuoi pagare %s?"
"Vehicle Jump Distance_NAME": "MIGLIOR DISTANZA SALTO"
"Player_Vehicle_No_Damage": "VEICOLO INTATTO"
"VCUST_PERFORMANCE_ADD": "POTENZIA"
"WPN_STORE_SHOTGUN_TITLE": "FUCILI A POMPA"
"WPN_STORE_MELEE_TITLE": "CORPO A CORPO"
"GANG_CUST_GANG_SIGN_VOICE": "PROVOCAZIONE"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "TEMPO MASSIMO SURF SU VEICOLI"
"STAT_DECKER_SPECIALISTS_KILLED": "SPECIALISTI DECKERS UCCISI"
"STAT_HOLDUPS_STORES_ROBBED": "NEGOZI RAPINATI"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "SPESE PERSONALIZZAZIONE AUTO"
"STAT_CAT_MOUSE_LOSSES": "GATTO E TOPO: SCONFITTE"
"STAT_DRIVING_BURNOUT_TIME": "BURNOUT PIÙ LUNGO"
"ESCORT_NAME_15A": "MARRONE"
"ESCORT_NAME_6A": "FUNGO"
"HASH_269B6FA3": "DEATH TAG: MASSIMO DI UCCISIONI IN UN ROUND"
"MAP_ICON_CRIB": "ALLOGGIO"
"GARAGE_LEAVE_FULL": "Vuoi davvero uscire da Rim Jobs?"
"CURRENT_AMMO": "MUNIZIONI ATTUALI"
"STAT_VEHICLE_CAR": "AUTO"
"STAT_TAUNT": "PROVOCAZIONE"
"STAT_WATERCRAFT_DESTROYED": "NUMERO DI MEZZI ACQUATICI DISTRUTTI"
"STAT_CARS_UNLOCKED": "AUTO SBLOCCATE"
"STAT_COMBAT_HEADSHOT": "COLPI ALLA TESTA"
"coop": "COOP"
"Pimping": "PAPPONE"
"Genre string": "AZIONE"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "Vuoi davvero uscire dalla scelta del livello della modalità?"
"STORE_FAT": "GRASSO {0}%%%%"
"HASH_ABE420A4": "NON DISPONIBILE"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "NESSUNA ARMA DISPONIBILE"
"VCUST_SPINNER_OPTION": "ROTORI"
"VCUST_HUBCAP_NUMBER": "COPRICERCHI #{0}"
"STAT_MILES_BY_WATERCRAFT": "MIGLIA PERCORSE SU MEZZI ACQUATICI"
"STATS_NO": "NO"
"STAT_SHOT_HIT_PERCENTAGE": "COLPI A SEGNO"
"ESCORT_NAME_13A": "PORTA SUL RETRO"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "SBLOCCABILE"
"TATTOO_LEAVE_FULL": "Vuoi davvero uscire da Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "IMPENNATE"
"STAT_UNIQUE_VEHICLES_OWNED": "VEICOLI UNICI POSSEDUTI"
"STATS_BLANK_OF_BLANK": "%d SU %d"
"DROP_COMMANDER": "RICEVI COMMANDER"
"BLOODY_MESS": "STRAGE ESPLOSIVA"
"STORE_BRA_WARNING": "ATTENZIONE"
"CUST_ITEM_NOTHING": "NULLA"
"HUD_CRIB_CUSTOMIZE": "PERSONALIZZARE IL TUO ALLOGGIO"
"GARAGE_CAT_4": "RUOTE"
"STAT_THROWN_WEAPON_USES": "ARMI DA LANCIO UTILIZZATE"
"ESCORT_NAME_11A": "SGOCCIOLO"
"ESCORT_NAME_2A": "RUSTY"
"Coop Col3_NAME": "CLASSIFICA COOP"
"LOW_GRAVITY_DESC": "I generatori gravitazionali di Stilwater sono a un quarto della loro potenza normale."
"CUST_REMOVE_ITEM_BODY": "Sei sicuro di voler rimuovere quest'oggetto?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FABBRICA"
"GARAGE_HELIPORT": "ELIPORTO"
