"DROP_SPHERE": "DAJ KULĘ"
"STAT_ENEMY_GANG_KILLED": "ZABICI CZŁONKOWIE GANGÓW"
"ZOMBIE_PEDS": "ZOMBIE"
"VCUST_RIM_SIZE_OPTION": "FELGI"
"PCS_RETURN_MAIN": "POWRÓT DO MENU GŁÓWNEGO"
"Total Cop Kills_NAME": "SUMA ZABITYCH GLINIARZY"
"THQ": "THQ"
"SMASH": "ROZBIJANIE POJAZDÓW"
"MILK_BONES_DESC": "Ataki wręcz są zabójcze."
"VEHICLE_PAINT_TYPE": "RODZAJ FARBY"
"STAT_HUMAN_SHIELD_KILLS": "ZABITE ŻYWE TARCZE"
"ESCORT_NAME_30A": "OBROTOWEGO"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "REKORD WYSOKOŚCI"
"Time Played_NAME": "CAŁKOWITY CZAS GRY"
"MainMenu": "W MENU GŁÓWNYM"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "DAJ RC POSSESSOR"
"MASCOT_PEDS": "MASKOTKI"
"STORE_GARAGE_MSG": ", BY PRZEJŚĆ DO GARAŻU"
"STAT_GRENADE_KILLS": "ZABICI GRANATAMI"
"STAT_MAX_HUMAN_THROWN_DIST": "NAJDALSZY RZUT CZŁOWIEKIEM"
"HASH_9A7AD50B": "OCENA ZA ZABÓJSTWA Z SAMOCHODU"
"EXIT_STRONGHOLD": "WYJŚCIE Z FORTECY"
"WPN_STORE_PURCHASE_PROMPT": "Czy chcesz kupić towar \"{0}\" za ${1}?"
"VCUST_SPINNERS_TITLE": "SPINNERY"
"GANG_CUST_SLOT_2": "MIEJSCE 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "WSPÓŁPRACA: LICZBA UKOŃCZONYCH DYWERSJI DRUŻYNOWYCH"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "NAJDŁUŻSZY SKOK Z PRZEBICIEM PRZEDNIEJ SZYBY"
"STAT_DRIVING_WINDSHIELD": "PRZEBIJANIE PRZEDNIEJ SZYBY"
"ESCORT_NAME_32A": "ZZIĘBNIĘTEGO"
"HASH_AE65D08C": "ZNAK ŚMIERCI: NAJDŁUŻSZY CIĄG ŚMIERCI"
"TAXI_PURCHASE": "ZAMÓW KURS"
"TAXI_CAB_3": "TAKSÓWKI TNA"
"STORE_PURCHASE_ITEM": "KUP"
"PURCHASEABLE_PROPERTEY_ESTATES": "POSIADŁOŚCI HAVEMAYERA"
"PURCHASEABLE_PROPERTEY_SERVICE": "SMAROWANIE I GRZEBANIE"
"VEHICLE_REPAIR_HUD_MESSAGE": "POJAZD ZOSTAŁ NAPRAWIONY"
"WPNSTOR_TITLE_WEAPON_CACHE": "SKŁAD BRONI"
"STORE_TEXT_DISCARD": "Czy chcesz wyrzucić ten przedmiot z garderoby?"
"HORDE_MODE_TITLE_FINAL_FAIL": "OSTATNI ETAP NIEUKOŃCZONY"
"STAT_SEX_DOLLS_FOUND": "LICZBA ZNALEZIONYCH DMUCHANYCH LALEK"
"STAT_RIFLE_HIT_PCT": "PROCENT TRAFIEŃ Z KARABINU"
"STAT_DRIVING_WRONGWAY": "PRZECIWNY PAS"
"ESCORT_NAME_28B": "WKRĘTAKA"
"Diversion Gold Stars_NAME": "ZŁOTE GWIAZDKI"
"FULL_HEALTH": "PEŁNE ZDROWIE"
"GANG_CUST_EXIT_PROMPT": "Wyjście z modyfikacji gangu\n\nNa pewno?"
"HORDE_MODE_INVULNERABILITY": "Nieśmiertelność!"
"ESCORT_NAME_34A": "GRECKIEGO"
"OPTION_NO": "NIE"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Wczytywanie nie powiodło się, ponieważ domyślny nośnik danych nie jest dostępny."
"ACCEPT_GAME_INVITE_TITLE": "UWAGA"
"PLAYER_CREATION_LEAVE_FULL": "Czy na pewno chcesz opuścić ekran tworzenia postaci?"
"STORE_NAME_NIGHT_CLUB": "KLUB NOCNY"
"VCUST_GARAGE_EXIT_PROMPT": "Na pewno chcesz wyjść z garażu?"
"STAT_DRIVING_NEARMISS_RESPECT": "SZACUN ZDOBYTY NA JEŹDZIE O MAŁY WŁOS"
"STAT_FAVORITE_WEAPON": "ULUBIONA BROŃ"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Czy na pewno chcesz stworzyć ten strój?"
"TAXI_INVALID_DESTINATION": "Nie możesz tam pojechać."
"DROP_FIVE0": "DAJ PEACEMAKERA"
"GIVE_ALL_WEAPONS_DESC": "Daje ci pełny zestaw broni."
"BUSHWICK_BILL": "EVERYBODY MUST GET SHRUNK"
"NEVER_DIE": "NIE UMIERAĆ NIGDY"
"HITMAN_NAME": "NAZWISKO CELU"
"STAT_COOP_ACTIVITIES_COMPLETED": "WSPÓŁPRACA: LICZBA UKOŃCZONYCH AKCJI"
"STAT_MILES_BY_CAR": "ODLEGŁOŚĆ W MILACH PRZEBYTA PIESZO"
"STAT_FRAUD_DIVES_TAKEN": "PRZEKRĘT Z UBEZPIECZENIEM: SKOKI"
"STAT_BARN_FOUND": "ZNALEZIONE AKROBACJE LOTNICZE"
"ESCORT_NAME_36A": "OSTREGO"
"HASH_64463610": "POZIOM STYLU"
"UNLIMITED_CLIP_DESC": "Nie musisz przeładowywać, bo magazynek się nie opróżnia."
"MEDIUM_RAIN": "ŚREDNI DESZCZ"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Czy chcesz zastąpić broń \"%s\" bronią \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": ", BY KUPIĆ ZA %ls."
"STAT_TOTAL_CASH_EARNED": "SUMA ZAROBIONEJ KASY"
"STAT_DRIVING_BIGAIR_DISTANCE": "NAJWIĘKSZA ODLEGŁOŚĆ"
"STAT_SHOTS_FIRED": "ODDANE STRZAŁY"
"STAT_POLICE_NOTORIETY_TIME": "CZAS MAKSYMALNEJ KOSY U POLICJI"
"DRUNK_PEDS_DESC": "Każdy jest nawalony."
"DROP_ATTRAZIONE": "DAJ ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Wybranie nowego zestawu anuluje wszelkie dokonane zmiany!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Za mało wolnego miejsca na domyślnym nośniku danych\nna dokończenie zapisu."
"ACT_HITMAN_LEAVE_FULL": "Czy na pewno chcesz wyjść z \"Zabójcy\"?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "DZIUPLA KĘDZIORA"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ATAK Z POWIETRZA: ZNISZCZONE CELE"
"HASH_4C1CDC12": "POSIADANE PŁASZCZE"
"CUST_ICON_PIERCINGS": "KOLCZYKI"
"VCUST_PURCHASE_OPTION": "KUP"
"VCUST_RIM_FAMILY_TITLE": "RODZAJ FELG"
"STAT_DISTANCE_BY_CAR": "ODLEGŁOŚĆ PRZEBYTA SAMOCHODAMI"
"STAT_THROWN_HIT_PCT": "PROCENT TRAFIEŃ BRONIĄ MIOTANĄ"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "UKOŃCZENIA ANIOŁA STRÓŻA"
"STAT_COMBAT_CAR": "ZABÓJSTWA CZŁOKNÓW GANGU Z SAMOCHODU"
"GIVE_SWORD": "DAJ NOCTURNE"
"DROP_STILWATERMUNICIPAL": "DAJ MUNICIPAL"
"DROP_VORTEX": "DAJ VORTEX"
"VCUST_RETURN_TO_CRIB": "WRÓĆ DO CHATY"
"GARAGE_CAT_2": "KOLORY"
"STAT_SNIPER_SHOTS_FIRED": "STRZAŁY Z KARABINU SNAJPERSKIEGO"
"STAT_MISSIONS_COMPLETED": "UKOŃCZONE MISJE"
"COMERCIAL_7": "ZNIŻKA 15% WE \"WRAŻENIACH\""
"GIVE_SHIELD": "DAJ TARCZĘ"
"TOD_Cycle": "ZMIANA PORY DNIA"
"INFINITE_AMMO_DESC": "Daje ci nieskończoną amunicję do wszystkich broni."
"ADD_GANG_NOTORIETY": "DODAJ KOSĘ Z GANGAMI"
"Wrath_of_God": "GNIEW BOGA"
"POC2_WEAPON_UPGRADE_2": "ULEPSZ BROŃ - POZIOM 2"
"WPN_STORE_RIFLE_TITLE": "KARABINY"
"STORE_ITEM_STYLE_AWARD": "STYL + {0}"
"IMAGE_DESIGNED_NAME": "CIAŁO NA ZAMÓWIENIE"
"GARAGE_RETRIEVE": "WYPROWADŹ"
"STAT_TEAM_MORNINGSTAR": "JUTRZENKA"
"ESCORT_NAME_19B": "JASIA"
"SP Vehicle Jumps Col2_NAME": "RANKINGI SKOKÓW "
"SP Diversion Stars Col3_NAME": "RANKINGI DYWERSJI"
"SP Time Col2_NAME": "RANKINGI CZASU GRY"
"CONTROL_ZOOM_AND_ROTATE": "ZBLIŻ/OBRÓĆ"
"DROP_CHALLENGER": "DAJ CHALLENGER"
"GIVE_D4THBLOSSOM": "DAJ KWI4T ŚMIERCI"
"MUSIC_DOWNLOADABLE": "POBRANE"
"STORE_EXIT_WARNING_BODY": "Wyjście ze sklepu\n\nNa pewno?"
"PLAYER_CREATION_SAVE_CHANGES": "Czy chcesz zapisać zmiany?"
"STAT_WHEELIE_LONGEST_DISTANCE": "NAJDŁUŻSZY WHEELIE"
"STAT_CIVILIANS_KILLED": "ZABICI CYWILE"
"CONTROL_YES": "TAK"
"DROP_JUSTICE": "DAJ JUSTICE"
"DROP_WIDOWMAKER": "DAJ WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "MODYFIKACJA POSTACI"
"WPN_STORE_EXIT_PROMPT": "Wyjście ze sklepu z bronią\n\nNa pewno?"
"VCUST_BOTH_AXLES_OPTION": "OBIE OSIE"
"STAT_DISTANCE_BY_VEHICLE": "ODLEGŁOŚĆ PRZEBYTA POJAZDAMI"
"STAT_CASH_EARNED_PER_DAY": "KASA ZARABIANA CO GODZINĘ"
"STAT_FRAUD_BEST_DIVE": "PRZEKRĘT Z UBEZPIECZENIEM: NAJLEPSZY SKOK"
"STAT_ACTIVITY_RESPECT_EARNED": "SZACUN ZDOBYTY NA AKCJACH"
"STAT_HOSPITAL_BILLS": "WYDATKI NA LECZENIE"
"ESCORT_NAME_8B": "PLEBANA"
"CONTROL_REMOVE": "USUŃ"
"DROP_REAPER": "DAJ REAPER"
"GARAGE_EXIT_PROMPT": "Wyjść z garażu?"
"STAT_MORNINGSTAR_KILLED": "ZABICI CZŁONKOWIE JUTRZENKI"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "POJAZDY DOSTARCZONE DO DZIUPLI"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "UKOŃCZONE AKCJE HANDLU NARKOTYKAMI"
"STAT_COMBAT_ENEMY": "ZABICI CZŁONKOWIE GANGÓW"
"STAT_HOLDUP_CASH": "KASA ZAROBIONA NA NAPADACH"
"STAT_BASE_JUMP": "SKOKI NA SPADOCHRONIE"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "TAK"
"RAINING_PEDS_DESC": "Alleluja, z nieba lecą przechodnie."
"PED_WAR": "WOJNA PRZECHODNIÓW"
"CAR_MASS_HOLE": "MEGA MASA"
"SURGEON_FINISHED_FULL": "Czy na pewno chcesz opuścić \"Ciało na Zamówienie\"?"
"STORE_TATTOO_PARLOR_MSG": ", BY ZROBIĆ SOBIE TATUAŻ"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "NAJDŁUŻSZY OKRES MAKSYMALNEJ KOSY U POLICJI"
"ESCORT_NAME_15B": "LIZAKA"
"ESCORT_NAME_6B": "STEFANA"
"Vehicle Jump Spin_NAME": "REKORD OBROTU"
"CONTROL_BTN_BACK": "PRZYCISK BACK"
"CELL_DRUG_DEALER": "HANDLARZ NARKOTYKÓW"
"CRIB_SHOP_PURCHASED_TEXT": "Ta chata jest teraz twoja. \n Masz tu dostęp do schowka z kasą, broni, ciuchów i pojazdów. \nUrządź ją, by zwiększyć swój wskaźnik stylu."
"WPN_STORE_PISTOL_TITLE": "PISTOLETY"
"VCUST_WHEEL_SIZE_OPTION": "ROZMIAR KÓŁ"
"GARAGE_CRIB_NAME": "GARAŻ"
"STAT_TOTAL_DISTANCE_TRAVELLED": "PRZEBYTA ODLEGŁOŚĆ"
"STAT_DIVERSIONS_COMPLETED": "UKOŃCZONE DYWERSJE"
"STAT_TOTAL_DAMAGE_TAKEN": "SUMA OTRZYMANYCH OBRAŻEŃ"
"STAT_MILES_BY_AIRCRAFT": "ODLEGŁOŚĆ W MILACH PRZEBYTA SAMOLOTAMI"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "WYDATKI NA MODYFIKACJE"
"STAT_MAX_STUNT_JUMP_SPIN": "NAJWIĘKSZY OBRÓT PRZY SKOKU"
"SP Throw Distance_NAME": "RANKINGI ODLEGŁOŚCI MIOTANIA"
"HASH_80C0A79A": "ZMIEŃ TABLICĘ WYNIKÓW"
"MAP_ICON_HELI": "ATAK Z POWIETRZA"
"TAXI_CAB_2": "ŻÓŁTE EAGLELINE"
"CELL_TAXI_CAB": "TAKSÓWKA"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Twój pojazd jest odporny na uszkodzenia."
"VCUST_PURCHASE_PROMPT": "Czy chcesz kupić przedmiot \"{0}\" za ${1}?"
"CUST_ITEM_CREATE_OUTFIT": "ZAPISZ STRÓJ"
"GARAGE_REPAIR_TEXT": "Czy chcesz naprawić ten pojazd?"
"HORDE_MODE_TITLE_KILLS": "ZAB."
"HORDE_MODE_WAVE_TAG": "ETAP"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: ZAROBIONE PIENIĄDZE"
"STAT_PISTOL_SHOTS_FIRED": "STRZAŁY Z PISTOLETU"
"STAT_ACTIVITIES_COMPLETED": "UKOŃCZONE AKCJE"
"ESCORT_NAME_17B": "AJNOSA"
"ESCORT_NAME_4B": "SMOKA"
"HeliAssault": "ATAK Z POWIETRZA"
"CONTROL_CHANGE_COLUMN": "ZMIEŃ KOLUMNĘ"
"MAP_ICON_PLASTIC_SURGEON": "GABINET CHIRURGII PLASTYCZNEJ"
"WARDROBE_LEAVE_FULL": "Czy na pewno chcesz opuścić garderobę?"
"CRIB_HUD_HANGAR_PURCHASE": "KUP HANGAR NA LOTNISKU: ${0}"
"VCUST_REGION_TITLE": "REGION (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Wszystkie założone ciuchy zostaną zdjęte.\nRozebranie się umożliwia bieganie na golasa.\nCzy na pewno to zrobić?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Nie możesz zabrać z chaty więcej amunicji do broni: \"%s\"."
"STAT_STAG_COMMANDOS_KILLED": "ZABICI KOMANDOSI STAG"
"STAT_FBI_KILLED": "ZABICI AGENCI FBI"
"HASH_D4EBF91C": "UKOŃCZONE POZIOMY ZABÓJSTWA Z SAMOCHODU"
"TAXI_CANNOT_AFFORD": "Masz za mało pieniędzy, żeby tam pojechać."
"OVL_SHOP_PURCHASED_TITLE": "KUPIONE"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": ", BY ZAPISAĆ"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Nie możesz nosić więcej amunicji tego typu."
"STORE_TITLE_INSUFFICIENT_FUNDS": "ZA MAŁO PIENIĘDZY"
"STAT_NEIGHBORHOODS_CONTROLLED": "KONTROLOWANE OKOLICE"
"ESCORT_NAME_11B": "ŚLIMAKA"
"ESCORT_NAME_2B": "TRĘBACZA"
"MAP_ICON_TSS_MISSION": "MISJE ŚWIĘTYCH Z 3. ULICY"
"MAP_ICON_TATTOO_PARLOR": "SALON TATUAŻU"
"CELL_IMAGE": "CIAŁO NA ZAMÓWIENIE"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "MUSISZ PRZEJĄĆ KONTROLĘ NAD TĄ OKOLICĄ, BY KUPIĆ TEN SKLEP"
"GANG_CUST_SLOT_3": "MIEJSCE 3"
"STAT_WEAPON_THROWN": "BROŃ MIOTANA"
"STAT_COOP_KILLS": "WSPÓŁPRACA: ZABICI GRACZE"
"STAT_MAYHEM_BEST_ROUND": "CHAOS: NAJLEPSZA RUNDA"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "ANIOŁ STRÓŻ: LICZBA OCHRONIONYCH GWIAZD"
"STAT_COMBAT_MOTORCYCLE": "ZABÓJSTWA PRZEZ POSIEKANIE"
"STAT_MILES_BY_VEHICLE": "ODLEGŁOŚĆ PRZEBYTA W POJAZDACH"
"SP Diversion Stars Col1_NAME": "RANKINGI DYWERSJI"
"CONTROL_CHANGE_STORY": "ZMIEŃ WĄTEK"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "OCHRONIARZE"
"SMASH_DESC": "Twój pojazd rozbija inne pojazdy."
"DROP_STATUSQUO": "DAJ STATUS QUO"
"SUPER_EXPLOSIONS": "SUPER WYBUCHY"
"PLAYER_PRATFALLS": "WYWROTKA"
"POC2_DROP_CAR": "WYRZUĆ SAMOCHÓD SPORTOWY"
"VCUST_EXIT_PROMPT": "Na pewno chcesz przerwać proces modyfikacji pojazdu?"
"VCUST_EXTRA_HIGH_PROFILE": "B. WYSOKI PROFIL"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "KOTEK I MYSZKA: NAJWYŻSZY WYNIK"
"STAT_SHOTGUN_HIT_PCT": "PROCENT TRAFIEŃ ZE STRZELBY"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "ANIOŁ STRÓŻ: LICZBA ZABITYCH NAPASTNIKÓW"
"STAT_MUGGINGS_COMPLETED": "WYKONANE ROZBOJE"
"ESCORT_NAME_13B": "KRĘCIOŁA"
"SP Kills Col2_NAME": "RANKINGI SZAŁU ZABIJANIA"
"HIDE_HUD_DESC": "Interfejs jest ukryty."
"FULL_HEALTH_DESC": "Daje ci pełnię zdrowia."
"INFINITE_SPRINT_DESC": "Możesz biec sprintem bez końca."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Nie możesz ustawić punktu orientacyjnego podczas misji lub akcji!"
"HAIR_NO_CHOICES": "Brak wyborów w tej kategorii."
"CUST_ITEM_VIEW_OUTFITS": "OBEJRZYJ STROJE"
"STAT_COMBAT_MELEE": "ZABÓJSTWA PRZEZ POBICIE"
"STAT_MUGGINGS_CASH": "KASA ZAROBIONA NA ROZBOJACH"
"STAT_MILES_ON_FOOT": "ODLEGŁOŚĆ PRZEBYTA PIESZO"
"NO_OUTFITS_DISPLAY_NAME": "BRAK STROJÓW"
"CONTROL_RETURN_TO_LOBBY": "WRÓĆ DO POCZEKALNI"
"PAUSE_MAP_WAYPOINT_REMOVE": "USUŃ PKT ORIENTACYJNY"
"MAP_ICON_CAR_MECHANIC": "WARSZTAT SAMOCHODOWY"
"TAXI_CAB_1": "WIELKI WACEK"
"STORE_EXIT_UPGRADES": "WYJŚĆ Z ULEPSZEŃ?"
"GARAGE_REPAIR_PROMPT": "Czy chcesz naprawić ten pojazd za ${0}?"
"VCUST_COLOR_GRID_TITLE": "SIATKA KOLORÓW"
"VEHICLE_COLOR_ADVANCED": "PODSTAWOWE"
"STORE_CRIB_CLOTHING_MSG": ", BY PRZEJŚĆ DO GARDEROBY"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "SUMA WIELOKROTNYCH ZABÓJSTW"
"STAT_FLASHPOINTS_COMPLETED": "UKOŃCZONE OPERACJE GANGÓW"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "LICZBA WYKONANYCH DRWIN"
"ESCORT_NAME_17A": "WŁOCHATEGO"
"ESCORT_NAME_4A": "WŚCIEKŁEGO"
"TINY_PLAYER_DESC": "Ziomie, jesteś jak mróweczka."
"GANG_CUST_GANG_STYLE_OPT": "STYL"
"PLANET_SAINTS_NAME": "PLANETA ŚWIĘTYCH"
"GARAGE_REPAIR_COST": "Czy chcesz zapłacić %s?"
"Vehicle Jump Distance_NAME": "REKORD DYSTANSU SKOKU"
"Player_Vehicle_No_Damage": "ODPORNY POJAZD"
"VCUST_PERFORMANCE_ADD": "ZMODYFIKOWANE"
"WPN_STORE_SHOTGUN_TITLE": "STRZELBY"
"WPN_STORE_MELEE_TITLE": "WALKA WRĘCZ"
"GANG_CUST_GANG_SIGN_VOICE": "DRWINA"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "NAJDŁUŻSZY CZAS SURFOWANIA NA POJAZDACH"
"STAT_DECKER_SPECIALISTS_KILLED": "ZABICI SPECJALIŚCI DECKERÓW"
"STAT_HOLDUPS_STORES_ROBBED": "OBRABOWANE SKLEPY"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "KASA WYDANA NA MODYFIKACJE BRYK"
"STAT_CAT_MOUSE_LOSSES": "KOTEK I MYSZKA: PORAŻKI"
"STAT_DRIVING_BURNOUT_TIME": "NAJDŁUŻSZE PALENIE GUMY"
"ESCORT_NAME_15A": "BRĄZOWEGO"
"ESCORT_NAME_6A": "LENIWEGO"
"HASH_269B6FA3": "ZNAK ŚMIERCI: NAJWYŻSZA LICZBA ZABÓJSTW W RUNDZIE"
"MAP_ICON_CRIB": "CHATA"
"GARAGE_LEAVE_FULL": "Czy na pewno chcesz opuścić \"Lizanko\"?"
"CURRENT_AMMO": "OBECNA AMUNICJA"
"STAT_VEHICLE_CAR": "SAMOCHÓD"
"STAT_TAUNT": "DRWINY"
"STAT_WATERCRAFT_DESTROYED": "LICZBA ZNISZCZONYCH ŁODZI"
"STAT_CARS_UNLOCKED": "ODBLOKOWANE SAMOCHODY"
"STAT_COMBAT_HEADSHOT": "STRZAŁY W GŁOWĘ"
"coop": "TRYB WSPÓŁPRACY"
"Pimping": "PRZECHWYT"
"Genre string": "AKCJA"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "Czy na pewno chcesz opuścić ekran wyboru poziomu akcji?"
"STORE_FAT": "OTYŁA {0}%%%%"
"HASH_ABE420A4": "NA RAZIE NIEDOSTĘPNE"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "BRAK DOSTĘPNEJ BRONI"
"VCUST_SPINNER_OPTION": "SPINNERY"
"VCUST_HUBCAP_NUMBER": "KOŁPAKI {0}"
"STAT_MILES_BY_WATERCRAFT": "ODLEGŁOŚĆ W MILACH PRZEBYTA ŁODZIAMI"
"STATS_NO": "NIE"
