"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"RIM_SET_018": "JUEGO DE LLANTAS 18"
"HAIR_COLOR_GRAY_MATTE": "GRIS MATE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "CAMISA CON CUELLO URBAN SAFARI"
"CUST_VARIANT_HOOD_AND_POCKET": "SUDADERA CON BOLSILLO"
"CUST_VARIANT_SILK": "SEDA"
"CUST_VARIANT_LATEX": "LÁTEX"
"CUST_ITEM_IMPRESSIONS_MALE_O": "ESTILO MANHATTAN"
"CUST_ITEM_CM_STAG": "ÉLITE DE LA STAG"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "FORMA DE BARBILLA"
"CUST_COLOR_CLOTHING_GREENS_3": "VERDE 3"
"SLOT_BULL_HORNS": "MEGÁFONO"
"LOGO_UNIVERSITY_4": "U DE STILWATER 4"
"CUST_VARIANT_NO_DECALS": "LISO"
"CUST_SKIN_BLUE_3": "AZUL CIELO"
"CUST_COMPLIMENT_X": "TOCAR EL CIELO"
"CUST_VARIANT_STYLE_B": "ESTILO 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "BOTAS DE PRINCESA ESPACIAL"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "GAFAS 5.0"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "FRIKI MUSICAL"
"CUST_COLOR_GRAY_3": "GRIS 3"
"CUST_VARIANT_FADE_UP_JEANS": "DESVAÍDO"
"CUST_TATTOO": "TATUAJE"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "TAMAÑO GLOBOS OCULARES"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "PROFUNDIDAD FRENTE"
"CUST_TATTOO_RARM_8": "UN TOQUE ESPECIAL"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MATE"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATERIAL MATE"
"SLOT_GRILL_COLOR": "COLOR REJILLA"
"SLOT_SIDE_MIRRORS": "ESPEJOS LATERALES"
"SLOT_DECAL_2": "PEGATINA 2"
"CUST_VARIANT_BASIC": "BÁSICO"
"CUST_CAT_MAKEUP": "MAQUILLAJE"
"CUST_COLOR_CLOTHING_BLUES_2": "AZUL 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "NARANJA ROJIZO 4"
"VEHICLE_COLOR_MORPH_BROWN": "MARRÓN MÓRFICO"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "ESTILO 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "GALÁN"
"CUST_CAT_BACKPACK": "MOCHILA"
"STORE_WEAPON_LEVEL": "NIVEL {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Aumenta la cadencia de fuego y el tamaño de tus cargadores. La mira láser mejora la precisión al apuntar."
"CUST_VARIANT_DIRTY": "SUCIO"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "CAMISA DE DISCOTECA"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "CAMISETA DE TIRANTES URBAN SAFARI"
"CUST_FACIAL_ITEMS": "OBJETOS"
"CUST_VARIANT_SMALL_HEARTS": "CORAZONES PEQUEÑOS"
"CUST_VARIANT_GLOSSY": "BRILLANTE"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "TE RAJO EL CUELLO"
"CUST_EYE_COLOR": "COLOR OJOS"
"CUST_COLOR_CLOTHING_GREENS_7": "VERDE 7"
"CUST_COMP_FACE_SCAR_3": "CICATRIZ GRANDE 3"
"CUST_COLOR_BRUNETTE": "CASTAÑO"
"LOGO_MUSEUM_ART": "MUSEO DE ARTE"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "CAMISETA CON CHANQUETA URBAN SAFARI"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "MUÑEQUERA ROCKERA"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "GRIS CUBO"
"CUST_VARIANT_BOWTIE": "NORMAL"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "BOTAS DEATHCORE"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "LIMPIO"
"CUST_WEAR_UNZIPPED_HOOD_UP": "CREM. BAJADA, CAPUCHA PUESTA"
"cm_toilet": "BAÑO"
"CUST_ITEM_BANK_HEIST": "ROBO AL BANCO"
"CUST_MENU_GLOBAL": "CUERPO"
"PLAYER_MORPH_EAR_LOBE_TEXT": "LÓBULO DE OREJAS"
"VEHICLE_COLOR_BLUE_DARK_TINT": "TINTE AZUL OSCURO"
"CUST_VARIANT_LIGHT_SILVER": "PLATA CLARA"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "GORRA DE LADO"
"CUST_ITEM_CM_BASIC_PARACHUTE": "PARACAÍDAS BÁSICO"
"PLAYER_FAT_TEXT": "GORDURA"
"CUST_COLOR_CLOTHING_BLUES_6": "AZUL 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "VERDE SALVIA OSCURO"
"Blonde": "RUBIO"
"CUST_VARIANT_LEOPARD": "LEOPARDO"
"CUST_ITEM_LEATHER_LACE_MALE_O": "MOTOCROSS"
"CUST_COMP_TEST_MUSTACHE": "PROBAR BIGOTE"
"SLOT_ADJUSTABLE_SUSPENSION": "SUSPENSIÓN AJUSTABLE"
"SLOT_DECAL_6": "PEGATINA 6"
"SLOT_JUNK/CLUTTER": "PORQUERÍA/DESORDEN"
"CUST_COLOR_BLUE_2": "AZUL 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "CASCO DE LA STAG"
"COLOR_SLOT_PAINT_3": "PINTURA 3"
"COLOR_SLOT_INTERIOR_3": "INTERIOR 3"
"SLOT_SPINNERS_REAR": "ASPAS TRASERAS"
"COMPONENT_OPTION_C": "OPCIÓN C"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "PANTALONES DE PIEL"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "MUÑEQUERA DE CUERO"
"CUST_ITEM_CF_CURLERS": "AMA DE CASA DE LOS 50"
"CUST_SAMEDI_COMPLIMENT_B": "CUMPLIDO DE LOS SAMEDI 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "LLAMAS MORADAS"
"CUST_TATTOO_RIGHT_ARM": "BRAZO DERECHO"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "ALTURA DE ORIFICIO NASAL"
"VEHICLE_COLOR_COPPER_OXIDE": "ÓXIDO DE COBRE"
"SLOT_EXHAUST": "TUBOS DE ESCAPE"
"CUST_WEAR_LEFT_ROLLED_LOW": "IZQUIERDA ENROLLADO, BAJO"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "GUANTES DE DOMINATRIX"
"CUST_SKIN_SMURF": "ELFO AZUL"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "PROFUNDIDAD CABALLETE"
"SURGEON_CAT_EXPORT": "EXPORTAR"
"SLOT_GRILL": "REJILLAS"
"FEMALE_HUGE": "MUJER ENORME"
"CUST_ITEM_FEMALE_LP_BRA_4": "CHICA GLAMUROSA"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BRAZALETE BEEP BEEP"
"CUST_SKIN_RED_YELLOW_3": "ROSA PRINCESA"
"CUST_SKIN_METAL_4": "ESMERALDA"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "TAMAÑO IRIS"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "PROFUNDIDAD DE CEJAS"
"CUST_COLOR_CLOTHING_RED_5": "ROJO 5"
"FEMALE_OBESE": "MUJER OBESA"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "EL HACHAZO"
"PLAYER_CREATION_COLOR": "COLOR"
"IRIDESCENT_5": "IRIDISCENTE 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "LOBO MALO Y GRANDE"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "SUDADERA DE LOS SAINTS CON CAPUCHA QUITADA"
"STORE_WEAPON_AVAILABLE": "DISPONIBLE"
"PLAYER_CREATION_ADVANCED": "AVANZADO"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "AZUL MARINO PROFUNDO"
"VEHICLE_COLOR_BROWN_DARK_TINT": "TINTE MARRÓN OSCURO"
"VEHICLE_COLOR_CARBON_STEEL": "ACERO CARBÓNICO"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "PINTURA 2 Y PINTURA 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "SOMBRERO 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LET'S PRETEND CHICO B"
"FACIAL_EXPRESSION_SURPRISED": "SORPRENDIDO"
"CUST_COLOR_YELLOW_2": "AMARILLO 2"
"CUST_VARIANT_SHARKS": "SHARKS"
"CUST_WEAR_AGAINST SKIN": "PIEL"
"CUST_TATTOO_STOMACH_1": "CAMINO DEL HONOR"
"CUST_COMP_MUSTACHE_7": "BIGOTILLO"
"CUST_VARIANT_STRIPES_B": "RAYAS 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "POR FUERA, ABROCHADO"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "HECHO Y DERECHO"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "GAFAS DE SOL DE MOTORISTA"
"CUST_ITEM_CF_HAIR_LONGASYM": "ASIMÉTRICO"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "FALDA INFORMAL"
"CUST_GENDER": "SEXO"
"CUST_TATTOO_LEGS": "PIERNAS"
"CUST_COMPLIMENT_T": "APACHE"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "DISTANCIA MEJILLAS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "AZUL VIOLETA 3"
"CUST_VARIANT_VERTICAL": "RAYAS VERTICALES"
"CUST_WEAR_ZIPPED_HOOD_UP": "CREM. ABROCHADA, CAPUCHA PUESTA"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BOMBÍN"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "ANILLOS ESTILO LOS SAINTS"
"CUST_COMP_FINGERNAILS_R": "PINTAUÑAS A LA DERECHA"
"RIM_SET_014": "JUEGO DE LLANTAS 14"
"SLOT_LEFT_SIDE": "LADO IZQUIERDO"
"SLOT_REAR_BUMPER_EXTRAS": "MODIF. DE PARACHOQUES TRASEROS"
"CUST_VARIANT_PATTERN_B": "ESTILO 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "SOMBRERO ACID HOUSE"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "CHAQUETA DE POCKET ROCKET"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "ELEVACIÓN BOCA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "VERDE AZULADO 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Aumenta la capacidad de munición."
"CUST_GANG_CLUBBER": "DISCOTEQUERO"
"CUST_COLOR_RED_1": "ROJO 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "SUDADERA CON CAPUCHA OG"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "CAMISETA SIN MANGAS DE CHICA CON CARAMELO"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "ANCHURA FRENTE"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "NARANJA ROJIZO 8"
"SLOT_FRONT_BUMPER_EXTRAS": "MODIF. DE PARACHOQUES DELANTEROS"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "POR FUERA, DESABROCHADO, CORBATA"
"CUST_ITEM_CF_RING_F_RAVERSET": "ANILLOS ACID HOUSE"
"CUST_TATTOO_UPPER_ARM_LEFT": "BRAZO IZQUIERDO SUPERIOR"
"CUST_TATTOO_RARM_4": "CABALLERO 3RD STREET"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "PIRULETA"
"CUST_VARIANT_THICK_EYESHADOW": "GRUESO"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "DERECHA CREM. BAJADA, ALTO"
"CUST_SKIN_ASIAN_02": "ASIÁTICO 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "IZQUIERDA ENROLLADO, ALTO"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "CAMISETA DE ROCKERO ACABADO"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "PANTALÓN DEL BUEN TRASERO"
"FACIAL_EXPRESSION_PAIN": "DOLOR"
"CUST_MENU_LOGO": "LOGOTIPO"
"PLAYER_MUSCLE_TEXT": "MUSCULATURA"
"PLAYER_MORPH_ASIAN_TEXT": "ASIÁTICO"
"CUST_ITEM_PLASTIC_SANDALS": "SANDALIAS DE PLÁSTICO"
"CUST_SKIN_CAUCASIAN_03": "CAUCÁSICO 3"
"CUST_GANG_BIKER": "MOTORISTA"
"CUST_COMP_MUSTACHE_24": "BARBA CANDADO"
"VEHICLE_COLOR_BRASS": "LATÓN"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "ASPAS DELANTERAS"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "RATA DE GIMNASIO"
"VEHICLE_COLOR_DRAGON_BLUE": "AZUL DRAGÓN"
"CUST_COLOR_BRIGHT_BLUE": "AZUL VIVO"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "SOMBRERO DE CHULO ESTILO Z"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "CHAQUETA DE SERPIENTE"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "ALTURA DE BARBILLA"
"CUST_TATTOO_LFORARM_6": "PIEL BLINDADA"
"SLOT_ROOF": "TECHOS"
"SLOT_LOGO": "LOGOTIPOS"
"HAIR_COLOR_REDHEAD": "PELIRROJO"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "CAMELLO"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "GUANTES DE HEROÍNA DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Aumenta la capacidad de munición."
"CUST_VARIANT_LIGHT_STEEL": "ACERO CLARO"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "ESPALDA ENTERA"
"PLAYER_MORPH_CROWN_TEXT": "CORONILLA"
"WARDROBE_NONE": "NINGUNO"
"CUST_COLOR_CLOTHING_VIOLET_5": "VIOLETA 5"
"CUST_COMP_EYES_GREY": "GRIS"
"SLOT_REAR_WHEELS": "RUEDAS TRASERAS"
"CUST_COLOR_AUBURN": "CAOBA"
"CUST_VARIANT_08_DEFAULT": "VARIANTE 8"
"CUST_WEAR_BACK_LEFT": "ATRÁS IZQUIERDA"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "COLLAR DE PIRULAS"
"CUST_ITEM_SHADES_11": "GAFAS DE SOL HORRIPILANTES"
"CUST_CAT_FINGERNAILS": "UÑAS"
"CUST_TATTOO_HEAD_TOP": "PARTE SUPERIOR CABEZA"
"CUST_BRO_COMPLIMENT_D": "CUMPLIDO DE LA BROTHERHOOD 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "AMARILLO 6"
"CUST_TATTOO_RUPPARM_6": "AMOR DE MADRE"
"LOGO_RHOMBUS_1": "ROMBO 1"
"CUST_VARIANT_HORIZONTAL": "RAYAS HORIZONTALES"
"CUST_WEAR_TATTOO_MAO_DESIGN": "DIBUJO DE MAO"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "GORRA URBANA DE STEELPORT"
"VEHICLE_COLOR_WET_LEAF_BROWN": "MARRÓN HOJAS MOJADAS"
"SLOT_MUDFLAP": "GUARDABARROS"
"CUST_ITEM_FEMALE_LL_BRA_1": "LOCO DE AMOR"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BRAZALETE BEEP BEEP"
"PLAYER_CREATION_AGE_MIDDLE": "MEDIANA EDAD"
"PLAYER_MORPH_NOSE_YAW_TEXT": "TORSIÓN DE NARIZ"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "BLANCO ULTRABRILLANTE"
"CUST_WEAR_TATTOO_BARBED_WIRE": "ALAMBRE DE ESPINOS"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "LONGITUD DE NARIZ"
"SLOT_CASKET": "ATAÚD"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "POR DENTRO, ABROCHADO, BAJO, SIN TIRANTES"
"CUST_ITEM_CF_RING_F_EYEBALL": "SORTIJA DE OJO LOCO"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "TANGA DE LOS SAINTS MÍNIMO"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "MUÑEQUERA 2"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "La mira láser mejora la precisión desde la cadera. La munición perforadora atraviesa armaduras."
"CUST_COMP_MUSTACHE_20": "CHIVA"
"VEHICLE_PAINT_SHINY_MATERIAL": "MATERIAL BRILLANTE"
"LOGO_DRAGON": "DRAGÓN"
"CUST_VARIANT_FADEUP_JEANS": "DESVAÍDO"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "POR FUERA, BOTÓN SUPERIOR, CORBATA"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "SUDADERA PANDILLERO"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "LUCHADORA CALLEJERA"
"CUST_ITEM_6_LOOPS_LEFT": "6 ANILLAS"
"CUST_WEAR_HOOP": "ARO"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "INVENTOR STEAMPUNK"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "PLIEGUE PÁRPADOS"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "FLOR DE LLAVE"
"COLOR_SLOT_TRIM_1": "EMBELLECEDOR LATERAL 1"
"SLOT_FRONT_MODS": "MODIFICACIONES FRONTALES"
"CUST_COLOR_BRIGHT_PURPLE": "MORADO VIVO"
"COMPONENT_PAINT_3": "PINTURA 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "BELLEZA IMPECABLE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS CHICO C"
"CUST_ITEM_BASEBALL_CAP": "GORRA DE BÉISBOL"
"CUST_COLOR_CLOTHING_YELLOWS_2": "AMARILLO 2"
"CUST_TATTOO_RUPPARM_2": "PIPA EN 8 BITS"
"CUST_VARIANT_LOOPS": "AROS"
"CUST_VARIANT_FLAMES": "LLAMAS"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "MAILLOT"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "SOMBRERO DE CAPITÁN"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "INCLINACIÓN LABIO SUPERIOR"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "FORMA NARIZ"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "ANCHURA DE CABALLETE"
"CUST_COLOR_CLOTHING_VIOLET_1": "VIOLETA 1"
"HAIR_COLOR_PURPLE_MATTE": "MORADO MATE"
"CUST_ITEM_CF_HAIR_PIGTAILS": "APENAS LEGAL"
"FACIAL_EXPRESSION_PAIN_B": "ANGUSTIA"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "ANCHURA CEJAS"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Aumenta la capacidad de munición. El bípode reduce el retroceso."
"COLOR_SLOT_WINDOW_TINT": "TINTE DE VENTANA"
"LOGO_COFFEE": "CAFÉ"
"LOGO_SHARKS_1": "SHARKS 1"
"CUST_WEAR_FORWARD_LEFT": "ADELANTE IZQUIERDA"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ROJO 9"
"CUST_VARIANT_TRACK_A2": "ESTILO 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "POR DENTRO, ABROCHADO, BAJO, SIN TIRANTES, CORBATA"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "MUÑEQUERA 1"
"CUST_ITEM_FEMALE_LL_BRA_5": "CUBREPEZONES"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "ZAPATILLAS DE LOS SAINTS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "AZUL VIOLETA 7"
"SLOT_KNEECAPPERS_DESC": "Con cuchillas retráctiles en tus neumáticos, pasar cerca de vehículos y gente causará daño."
"CUST_VARIANT_TRACK_PANTS": "SÓLIDO"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "ZAPATOS DE HOMBRE"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "TAMAÑO PUNTA"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "LONGITUD DE BARBILLA"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Aumenta el daño."
"CUST_TATTOO_STOMACH_5": "MURCIÉLAGOS DE LA ANARQUÍA"
"CUST_COMP_MUSTACHE_3": "POLI DE LOS 70"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "TAPACUBOS DELANTEROS"
"CUST_COLOR_BRIGHT_RED": "ROJO VIVO"
"LOGO_FIST": "PUÑO"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "PANTALONES HOLGADOS"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "GORRA DE FLOR DE LOS SAINTS"
"CUST_COMPLIMENT_P": "LA BALA DE PLATA"
"COMPONENT_ADD_SUSPENSION": "SUSPENSIÓN AJUSTABLE"
"SLOT_KNEECAPPERS": "CORTARRODILLAS"
"SLOT_SPEED_UPGRADE": "MEJORA VELOCIDAD"
"CUST_COLOR_ROSE_1": "ROSA 1"
"CUST_VARIANT_HEARTS_BIG": "CORAZONES GRANDES"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "MÁSCARA DE SUPERHÉROE"
"VEHICLE_COLOR_TOREADOR_RED": "ROJO TORERO"
"RIM_SET_010": "JUEGO DE LLANTAS 10"
"CUST_VARIANT_THIN_STRIPES": "RAYAS FINAS"
"CUST_MENU_EXIT": "INICIAR PARTIDA"
"VEHICLE_COLOR_PLATINUM": "PLATINO"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "SUÉTER RUNWAY SALVAJE"
"VEHICLE_PAINT_MATTE_PAINT": "PINTURA MATE"
"SLOT_REINFORCED_FRAME_DESC": "Es crucial mejorar el chasis si quieres que el vehículo sobreviva a muchos impactos antes de estallar en pedazos."
"SLOT_ANTENNA": "ANTENAS"
"CUST_VARIANT_SEMI_GLOSSY": "SEMIBRILLANTE"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "ALTURA FRENTE"
"PLAYER_MORPH_CHEEKBONES_TEXT": "PÓMULOS"
"COMPONENT_NONE": "NINGUNO"
"CUST_VARIANT_MULTICOLOR_SMALL": "MULTICOLOR PEQUEÑO"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "ESTILO HILLS PARISINO"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "ALTURA DE NARIZ"
"SLOT_EXTRAS": "EXTRAS"
"Cornhole": "TRENZAS PEGADAS"
"STRAWBERRY_BLONDE": "RUBIO ROJIZO"
"COLOR_SLOT_RIM_1": "RANURA DE COLOR DE LLANTA 1"
"CUST_VARIANT_BADGELESS": "SIN INSIGNIA"
"CUST_VARIANT_STRIPES": "RAYAS HORIZONTALES"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "TINTE ROSA CLARO"
