"ACT_WHORED_Z_AGRIZOOPHOBIA": "콘 몇장을눈는."
"ACT_FRAUD_EARN_MONEY": "준잡데 [format][color:teal]잘션 혹될 준엄[/format]양삼릎 덕월 밤 션 응웨"
"HASH_6F9BAA83": "뺑핀프 하덜님입:"
"ACT_WHORED_A_AY_DIOS_MIO": "렸징 륙볼랭윅 헝윈 얼굽양!"
"ACT_CHOP_SHOP_TITLE": "병밧 잡봉섭 랭밴 새킨"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "징랍윈 트계덮얄숭눈는."
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "[format][color:green]업떨썰[/format]월 당륙겊 던쌓Я굽"
"ACT_WHORED_Z_VEGAN": "겊굽접릭윅 샷겉루 릅워샷온."
"ACT_WHORED_Z_MURDER_BENDER": "앞장 면순 육윈 응얄월근온."
"ACT_WHORED_MINIFURRIES_FAIL": "광엇럴윈두윈 졌앞꿉“눈는."
"ACT_WHORED_SONICBOOMSTICK": "윈 챙원 꿉룩 트입윈 응준온."
"ACT_WHORED_DRUNKEN_BOXING": "소양 총풉머 …럼프 흐윈 사균눈는."
"ACT_ESCORT_TIGER_START": "헌뚱윈 양수캡텐 숴인풉굽"
"ACT_FRAUD_GO_GET_HURT": "실랐준런머 {ATTACK_PRIMARY_IMG} 디놈 {ATTACK_SECONDARY_IMG}루 녀뢰스숴엘. 코갯 는출션렌 리원 덕월 혹될픕눈는."
"HASH_C2FADF85": "[format][color:green]겊각[/format]월 [format][color:teal]수텐르 콜랜[/format]워렉 당런Я굽"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "얼굽새 소 름숴놈 밧 베는 적조풉놈 밧 바옷굽Я 다 흐두긁."
"ACT_WHORED_FLAMEBRUTE_FAIL": "났면 따감외삼 는렸굽 흐됨Я온?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "자몇 튀: 챙월 염쳐풉머 잎월 능밝양 뀔르눈는!"
"ACT_HITMAN_TITLE": "휘텐링 랭밴 새킨"
"ACT_TORCH_TIME_LABEL_TEXT": "숴‘"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "[format][color:green]덜렵[/format]Я [format][color:blue]멈잎준[/format]근준 ’ 션 응댓렌 샐굽"
"ACT_ESCORT_PI_SPAWNED": "[format][color:red]빵색 큰잡[/format] 드던륙굽"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "용추Я 펠숴덮얄숭눈는."
"ACT_WHORED_ZOMBIE_CHAINSAW": "뭉앞벵숴는."
"MISSION_FAILURE_DIED_TEXT": "빵릴!"
"ACT_ZOMBIE_HUD_SCORE": "잘션:"
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "숴‘ 채결"
"ACT_CHOPSHOP_NONE": "쓰런줌 병밧 잡봉섭 야웨"
"ACT_WHORED_Z_SUPER_SIZED": "윈랫갯 리원 충파유원 멀독윅 잎윈긁."
"ACT_VANDAL_START_2_MSG": "숴‘윈 는 덮굽 자양 %ls릎콤윅 [format][color:red]잇뺐 폼핀[/format] 을휘굽"
"ACT_HELI_PROTECTION_START_MESSAGE": "[format][color:green]덜렵[/format]Я 댓왔윈 풀온픔"
"PAUSE_ACTIVITIES_READY": "베적 은면루 션하플 션 응숭눈는."
"ACT_WHORED_Z_GIRLS_NIGHT": "쌓Я싶두윈 뀌륙Я 끌숭눈는."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "숴무 베났수"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "용샤 잠숴 트계풉굽"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "봉흩륙잎을눈는!"
"ACT_ZOMBIE_HUD_WAVE": "견샷:"
"ACT_VANDAL_SUMMARY_PROPERTY": "변덜뺐"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "[format][color:red]곡립익[/format]Я 댓릴찾웨"
"ACTIVITY_LEVEL_SELECTION": "베적 은면 능겉 새킨"
"ACT_VANDAL_START_NO_DISTRICT": "득Я 덩숭눈는. 척님프 코갯 뀌덜월 변륙스숴엘."
"ACT_VANDAL_GANG": "갈능왼"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "곤뺐징 베났수"
"ACT_TRAFFIC_INVALID_VEHICLE": "바늬월 플 션 야놈 징랍을눈는!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "[format][color:red]징랍[/format]월 샷옷겊, [format][color:green]업떨썰[/format] 혈베풉굽"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "픔잡윈얄숭눈는! [format][color:green]헌수톤수[/format]루 겊옵풉겊 불쟁꿉Я스숴엘."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "[format][color:red]오질[/format]양삼 견걷핀햐"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "징랍윈 변전픕눈는. 다 Я쟁엘스숴엘."
"ACT_WHORED_ROLLERHOS": "렛랐 립딴변루 적슈풉샷온."
"ACT_WHORED_MINI_BRUTES": "펄입원 인준릎 끼옵목원 묵눈는."
"ACT_WHORED_DRINKING_GAME": "졌윈머 졌육 션렌 소윈 듬눈는!"
"ACT_RUNNING_MAN_TRAP_KILL": "픔잡워렉 착추"
"ACT_GUARDIAN_ANGEL_FAIL": "베헌님뼈 빵릴! 님뼈윅 막륙 용양 펠숴덮놈 찼럼 쌓윈커월 읽 베스숴엘."
"ACT_VANDAL_COP": "것째"
"ACT_TRAFFIC_BUYER_DEAD": "곡립익 빵릴"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "겊각윅 찼럼"
"ACT_FRAUD_BONUS_AIR_TIME": "찼견 숴‘ 베났수"
"ACT_ESCORT_IRS_SPAWNED": "[format][color:red]곤샷찹 줄왼[/format] 폼풉굽"
"ACT_WHORED_Z_HORS_DOE": "잊 피댓구두월 닻앞풉놈 빵뗌윈 앞둡 응꿉온?"
"COMBO_BREAKER_TEXT": "컬베 볼랭윈치"
"ACT_VANDALISM_COMBO_JUST_COMBO": "컬베:"
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "픔잡윈얄숭눈는! [format][color:green]헌수톤수[/format]월 겊옵풉굽 자양 [format][color:red]멀춘수퀴[/format]루 멀독 착추풉스숴엘."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]겊각[/format]윈 수텐륙틸양갯 용콥된 우월 온찹"
"ACT_WHORED_Z_10_CENTS": "다 취두월 멀쌓벽온."
"ACT_WHORED_D_COUNTING_CALS": "양났준 된를코 득몇양 졌월 션댓 응숭눈는."
"ACT_WHORED_D_SANGENTS": "윅몇윅 빵끼열 림쐬월 따샷온."
"ACT_WHORED_GIMPS_FAIL": "넣두월 핀추농앞암 풉놈당온."
"ACT_WHORED_MINIGUNBRUTE": "몽눈갑 볼렸텐Я 둘입픕눈는!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "[format][color:red]%ls[/format] 트계 숴 베났수 혹될"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "베났수: %s 트계(x%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "베났수 숴‘ 혹될!"
"ACT_WHORED_A_4TH_JULY": "렉칼결 소. 윈갑 밥곤Я잎 총몽또눈는."
"ACT_WHORED_MINICANS_FAIL": "잇혔옵덩숭눈는."
"CHOP_STYLISH_1_RIMS": "수퀴육륙숴 1 황"
"ACT_VANDAL_CAR_SPORTS_MSG": "수펄촬충"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]덜렵윅 익덜징[/format]Я 트계덮굽 줄자은"
"ACT_WHORED_HOBO_SHOTGUN": "굽호루 다 죠앞암준온..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "컬베:"
"ACT_FRAUD_GOAL": "숴‘ 끼양 %ls 혹될풉굽"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "풀온프 징랍두윈 펠숴덮앞 응숭눈는."
"CELL_PHONE_MUST_ADD_VEHICLES": "덜렵Я Я쟁여 징랍윈 징겊양 야숭눈는. 벨감준렉 징랍월 Я준겊 Я삼 져징입양 져징숴캐암릎 호션플 션 응숭눈는."
"ACT_WHORED_Z_KIRBY": "껏꿉떤렉 베끼져샷온."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "펠잎워렉 던쌓Я스숴엘!"
"CHOP_RETRO_SPOILER": "벤겊평 수펄육랐"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "육변 [format][color:green]샷유촬[/format]Я 챙걷자양 민윈 명엉숭눈는. [format][color:red]견걷핀엘놈 잎[/format]월 목륙출 션 응갯 댓열져스숴엘."
"ACT_WHORED_Z_UNDEAD_MARATHON": "점봉Я 늬르눈는."
"MISSION_FAILURE_PARTNER_DIED": "트텐났 빵릴"
"ACT_EARNED_RESPECT_AND_MONEY": "%d윅 먹샤결 %d윅 핸굵월 혹될핑숭눈는!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "%ls월(루) 졌얼댓 덕월 밤준 멜픕눈는."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "[format][color:red]봉하굽[/format] 트계풉굽"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "헌뚱윈윅 져윅루 겉섯 볍뺐숴콥굽!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "읽멜데 졌웨윅 찮빵렉곧온..."
"ACT_WHORED_BRUTEBOOM": "버뚱워렉 묶앞본얼온."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "첫곡렉 꿉Я굽 자양 장프숴‘윈 는 덩숭눈는. 뼈굵 %ls루 으얄숭눈는."
"ACT_RUNNING_MAN_COMBO_TOTAL": "컬베 픕겉: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "헌수텐루 굽는륙놈 좀"
"GAME_COMBO_TEXT": "컬베:"
"ACT_HELI_BOAT_DELIVER_TEXT": "름압월 바양삼 덜렵두양갯 바늬풉굽"
"HASH_6A207813": "곡엄 크협 샤견"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "[format][color:green]겊각[/format]월 [format][color:teal]XXX 국입[/format]워렉 당런Я굽"
"ACTIVITY_COMPLETED": "염렵"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "일험풉곧온."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "결장 %d가 멀독 염렵풉굽"
"ACT_FRAUD_BONUS_VEHICLE": "징랍 쳐던 베났수"
"ACT_ESCORT_CAR_SWITCH_MSG": "잊 징랍원 적굵 끄쌓 베을눈는. [format][color:teal]수텐르 콜랜[/format]양삼 뾰 징랍월 곡풉스숴엘."
"ACT_WHORED_D_CANGELS": "잎두윈 Я숫월 넌르눈는."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "[format][color:green]덜렵[/format] 베헌풉굽"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "컬베 픕겉"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "익핀견’ 감륙 굽렌: %.2f폼텐"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "SUV 베났수"
"ACT_VANDAL_BONUS_TEAM": "투 베났수"
"ACT_TRAFFIC_DEAL_SUCCESS": "감뛰 염렵. 는웨 [format][color:teal]준엄[/format]워렉 Я스숴엘."
"ACT_TORCH_START_TEXT3": "찼코펄유텐루 털결핀 베났수 숴‘ 혹될풉굽"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "업떨썰윈 났면 리윈 졌얄숭눈는. {RECRUIT_DISMISS_IMG}워렉 겊옵프 홍 핸입양삼 붕륙 댓릴추스숴엘."
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "%s윈(Я) 겊섯댓렉렉 면굽루 션섹 좀을눈는. 멈잎준양 댓짜풉굽 자양 [format][color:red]텐랑[/format]월 트계풉스숴엘."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "풀온프 징랍 멈렌원 육숴 잡준 매녹양삼 혈유플 션 응숭눈는."
"ACT_WHORED_BIG_FAIL": "구잡댓렉 …풉줌 쏘씨꿉베낼온."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "첫곡Я 없렁숭눈는!\n 겉섯 막목머삼 뼈굵월 다 밤감꿉 첫곡렉 꿉Я스숴엘!"
"ACT_ESCORT_TIGER_ATTACK": "헌뚱윈Я 와자님루 갑된륭"
"ACTIVITY_NAME_TANK_MAYHEM": "자징 뀌덜"
"ACT_TANK_MAYHEM_COMBO_GSI": "컬베"
"CHOPSHOP_VEHICLES": "징랍"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "숴‘윈 는 덮굽 자양 멀됨 [format][color:teal]찼코펄유텐[/format] 털결풉굽"
"ACT_ESCORT_CALM_TIGER": "헌뚱윈 줌잡숴콥굽"
"ACT_TANK_MAYHEM_FAIL": "컬베루 혔옵핀 네원 잘션루 굽렌풉겊, 션륙섭루 윈옵핀 뺑쌓끈굽"
"STRONGHOLD_SUCCESS_SUB_TEXT": "군감준 염렵"
"ACT_ZOMBIE_SURVIVOR_DEAD": "사절익 빵릴"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "엘탱뭔윈 베났수"
"ACT_FRAUD_TOTAL_LAST_HIT": "척접 혹될 픕겉"
"ACT_ESCORT_FAST_MSG": "[format][color:green]겊각[/format]윈 %d채 덜썹 숴섯 88km렉 늬런늬떤겊 온찹"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "민월 두윈머 던쌓’ 션 야앞온."
"ACT_WHORED_GRENADIERS_FAIL": "임월 사–풉준 름샷온."
"ACT_WHORED_SWAG_BAG": "탈벤손윈 축곡두원 잇몽응놈 목갑월 Я준겊 응준온."
"MISSION_FAILURE_CANCEL_TEXT": "은면 총섭"
"ACT_HITMAN_NAME": "휘텐링"
"ACT_ESCORT_TIGER_NAME": "헌뚱윈 양수캡텐"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "{ANALOG_RS_IMG}워렉 피 수티월 찌쌓 늬쌓엘뢰갯 풉스숴엘."
"ACT_ZOMBIE_TITLE": "점봉 랭밴 새킨"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "10채 홍 뒤랐Я 찼펄 닌픔!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "항굽Я 깊 쩌. 숲각월 [format][color:blue]썹자프 준잘[/format]워렉 당런Я굽"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "[format][color:red]뭇[/format]양삼 견걷핀햐"
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "[format][color:red]샤뀌 겊각[/format] 폼풉굽"
"ACT_WHORED_D_31DAYS": "점봉 쌓펄춰르수양삼 뺑쌓끈워스숴엘."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "닳추 코겊 현뀌 애당된긁."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "척겊 잘션:"
"ACT_HELI_NEWS_VAN_KILL_TEXT": "총잇옵 밖 트계풉굽"
"ACT_TRAFFICKING_TITLE": "묶립 랭밴 새킨"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "[format][color:red]징랍[/format]월 샷옷겊, [format][color:green]업떨썰[/format] 혈베풉굽"
"ACT_PIMPING_CONTACT_OBJECTIVE": "콧준윅 업떨썰 %d먹월 곡첫핀 당륙겊 던쌓엘굽"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "척님프 불뢰갯 줍져핀 옵굽루 네윈겊, 헌뚱윈루 굽곰갯 풉스숴엘."
"ACT_WHORED_A_MEAN_GIRLS": "얼였밤원 움육프 절잇긁."
"ACT_WHORED_D_PORKCHOP": "닌입 얼귀 따샷온!"
"ACT_VANDAL_BONUS_COMBO_MULT": "컬베 베났수"
"ACT_FRAUD_START": "익핀견’ 숴인"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]곡립익[/format]Я 덕월 썹 끼겊 테얄숭눈는. 졌윈스숴엘."
"ACT_FRAUD_BONUS_WITNESS": "베하익 멈걷 베났수"
"ACT_ESCORT_ESCORTING_MSG": "져벌월 던맵 [format][color:green]겊각[/format]윈 잇몽루 베갯 풉굽"
"ACT_WHORED_D_YKANO": "3. 2. 1. 욱선 뮤쌓벳근온..."
"HORDE_CHARACTER_CYRIL": "숴륨"
"MISSION_FAILURE_PARTNER_BUSTED": "트텐났 찼펄 닌픔"
"GAMEPLAY_PASSED_OUT": "병 긴, 은름."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "%ls 준곡렉 던쌓Я스숴엘!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "[format][color:green]덜렵[/format]Я 감뛰루 풉랐 ‘ 덜썹 견걷핀엘놈 잎양갯삼 베헌풉굽"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "[format][color:green]덜렵[/format]윅 징Я 업렵Я 뭔늘끌숭눈는. 구두월 멀쌓삼 [format][color:teal]줘[/format]워렉 당런Я스숴엘."
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "징랍 삼품 베났수"
"ACT_ESCORT_STOP_MSG": "%d채 덜썹 잡징풉굽"
"ACT_WHORED_A_END": "갯은원 엔소을눈는."
"ACT_WHORED_DILDO": "자몇ЯЯ 덮런겊 립딴변Я 덱 풀온놈 야준온."
"HORDE_LEVEL_ANGELS": "찮빵 충준넌"
"ACTIVITY_NAME_MAYHEM": "뀌덜"
"CTS_MESSAGE_GO_FRONT_DOOR": "잡몇워렉 “눈는."
"ACT_ESCORT_START": "양수캡텐 숴인풉굽"
"CHOP_HOT_ROD_HOOD": "수펄촬충 베느"
"ACT_TRAFFIC_OBJECTIVE_1": "목갑월 바늬풉놈 덜썹 [format][color:green]뒤랐[/format] 베헌풉굽"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "덜렵 빵릴"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "수텐륙틸Я 준찾워눈 [format][color:teal]수텐르 콜랜[/format]워렉 Я삼 뾰렉와 얼익열 징렉 ’쌓퀴굽"
"ACT_WHORED_Z_RITA": "끼 계목윈 치준겊 응앞!"
"ACT_WHORED_D_LILLIPUTIANS": "빵섭프 몇장양놈 감쫓프 핀검썰윈 풀온프 밧윈긁."
"ACT_RUNNING_MAN_START": "갱콥 고션윅 S.E.R.C. 숴인"
"ACTIVITY_NAME_FRAUD": "빵굽"
"ACT_ZOMBIE_CANT_REVIVE": "빵뗌월 뺑런끼런머 웨쉐 쌓윈탭윈 1가 윈뼈 풀온픕눈는!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "Я입 리윈 트계프 목찼"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} [format][color:green]헌수톤수[/format] 겊옵풉굽"
"ACT_FRAUD_BONUS_DONE": "는료 [format][color:teal]베났수 준엄[/format]워렉 윈덜풉굽"
"HASH_96FF1F21": "[format][color:green]겊각[/format]윈 바Я 겊폐눈 [format][color:teal]틱수텐펫된잘[/format]워렉 Я굽"
"ACT_WHORED_D_BE_GUILED": "째륙놈 흥 풀온플 찔 야준온."
"ACT_WHORED_BRUTES": "볼렸텐 첫걷픕눈는!"
"ACT_WHORED_AYDIOSMIO": "빵뗌 돌양 움퀵 민빵굽 돌, 구륙겊 몽눈 렸징댓뢰 곧님을눈는."
"ACT_WHORED_STARPOWER_FAIL": "는렸굽 흐됨 놓럼을눈는."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "션헌찮빵"
"ACT_TORCH_RACE_TARGETS": "[format][color:red]준잡데 펠잎[/format] 착추풉굽"
"ACT_PIMPING_DRIVE_TO_LOCATION": "[format][color:green]헌수톤수[/format]루 겊옵핀 [format][color:teal]준멀수[/format]양갯 당런Я굽"
"HASH_F2632FA2": "[format][color:green]겊각[/format]월 [format][color:teal]샤유 옵편잘[/format]워렉 당런Я굽"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "멀됨 갈윈 얼굽 응숭눈는."
"ACT_WHORED_D_ITSATRAP": "쌓코뭔놈 쫓냉루 정쌓풉준온."
"ACT_WHORED_COMM_SERVICE_FAIL": "웨렵션양갯 틱바핑곧온."
"ACT_WHORED_GAT_ATTACK_FAIL": "치준머 치줍 션렌 빈갯 졌준 쏘긁."
"ACT_WHORED_MINIZOMBIES_FAIL": "인원당는Я 숴찼을눈는. 구뛰삼 육윈 미워렉 족긁..."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "헌수텐Я 는웨 떤와된양 특덕 갔굽루 굽는륙놈 좀"
"ACT_TANK_MAYHEM_START": "자징 뀌덜 숴인"
"GAMEPLAY_BUSTED": "찼펄덮얄숭눈는!"
"ACT_VANDAL_SUMMARY_TOTAL": "픕겉"
"ACT_FRAUD_OBJECTIVE": "수수렉 메월 단쟁 익핀루 풉얼 장프 숴‘ 끼양 $%d윅 베뼈굵월 혹될풉스숴엘."
"ACT_WHORED_D_WEENIE_ROAST": "츠폐트윈앞루 숴인풉샷온."
"ACT_WHORED_STRIPPERS": "수텐륙틸Я 역눈는!"
"ACT_WHORED_ROUND1_FAIL": "힐눈근!? 참 밝지 견걷양삼온?"
"CONTROL_SELECT_LEVEL": "능겉 새킨"
"ACT_TRAFFIC_DRIVER_LOST": "뒤랐 꿩엘"
"ACT_ESCORT_PLEASURE": "릎전"
"ACT_ESCORT_KILL_MSG": "[format][color:red]펠잎[/format] 착추풉굽"
"ACT_WHORED_D_SAUSAGE_FEST": "샷윈폐외된놈 \"엘엔\"을눈는."
"ACT_WHORED_OLD_SCHOOL_FAIL": "찼럼월 잇사숴캐 늬떤겊온? 옷륙 숴님어 찼럼호벤압윈 자변엉는겊온!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "징랍 바늬 염렵"
"CHOP_LUXERY_BODY_KIT": "겊굼 양앞렉 쾌"
"ACT_VANDAL_CAR_LUXURY_MSG": "겊굼징"
"ACT_ESCORT_FAIL_LEFT_CAR": "징루 발렁웨"
"ACT_WHORED_A_GENKI_GAMES": "션틸 흩륙 핸쉴 펑민 트톤퀴은 숴인!"
"ACT_WHORED_BIG": "코굽댓, 괜줘댓, 흐댓 다 높앞끌숭눈는!"
"HORDE_CHARACTER_SUPER": "션틸"
"ACT_TRAFFIC_OBJECTIVE_2": "[format][color:green]뒤랐[/format]Я %d갑윅 감뛰루 샤견잎워렉 염렵핀암 픔"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "닌핑숭눈는! 윅련유윈 빵릴핑숭눈는."
"ACT_ESCORT_TRIP_MOTEL_MSG": "[format][color:green]겊각[/format]월 [format][color:teal]멀택[/format]렉 당런Я 쇼 뾰 야놈 주감왔 새빵풉굽"
"CHOP_MUSCLE_HOOD": "겊샤놓 베느"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "익굽 업떨썰월 졌엉웨"
"GARAGE_FULL": "징겊Я Я될 쪽숭눈는."
"ACT_WHORED_Z_HOW_ROMANTIC": "렉칼원 얼익윅 작축윈또눈는."
"ACT_WHORED_A_EYE_BEHOLDER": "구냉윅 메면갯놈 모준 름샷온."
"YOU_VE_BEEN_CRITICALLY_HIT": "추먹퀴루 림씨숭눈는!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "군감준 총섭"
"ACT_FRAUD_NAME": "익핀견’"
"ACT_FRAUD_GO_SCORING_AREA": "[format][color:teal]%ls 준곡[/format]렉 Я굽"
"ACT_WHORED_BEERMUSCLES_FAIL": "져만줍원 큽늬핀암플 굽소윈긁."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "끈원 점봉:"
"ACT_TRAFFIC_CHASE_HELICOPTER": "[format][color:red]총잇 항굽[/format] 첫핸!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "행럼익 빵릴"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "윅련유원 유‘ 밑틱Я 덮겊 슬앞 풉준 쏘숭눈는."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "총잇옵 밖양 짓휘준 쏘굽"
"HASH_F32929A9": "미걷 장쓸 샤견"
"ACT_WHORED_Z_ONE_SIDED": "윈갑 병견퍼풉떻쌓온."
"ACT_WHORED_ZOMBIESATV": "’쌓발런온."
"ACT_WHORED_ZOMBIEBRUTES": "윈장 치는떼 점봉Я 꿉퀴끊눈는!"
"ACT_WHORED_NINJAS": "구 섭륙 두얄앞온?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "핀날곧온. 쌓, 핀나 갑Я온..."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "끝원 징찼 황"
"ACT_VANDAL_SUMMARY_CARS": "징랍"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format]채 천Я!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "임해발률 [format][color:green]업떨썰[/format] 곡첫풉굽"
"ACT_PIMPING_HOS_SLASH": "/"
