"Storye01_In_Crawl_02": "Nedílná součást historie lidstva."
"Story21_Zscene01_04_Zach": "Moment, Řezník stilwaterský se snaží dostat k Angelovi..."
"Story01_Zscene02_02_Gat": "NEMAKEJ NA TO!"
"Story02_In_27_Gat": "Šéfe, musíš vypadnout!"
"CTO_Zimos02_05_Player_BM": "Párty budeme mít, až bude práce hotová. Zavolám ti, až budem připravený na další útok na Morningstary."
"Story15_In_18_Kinzie": "Jeho lidi jsou už na půl cesty k počítači! Tak už jděte!"
"Story12_In_11_Pierce": "Nahodíme správnou návnadu a on přileze sám. Proto potřebuju tebe a novou holku."
"Story09_Out_03_Killbane": "Já jsem generál, já jsem car, já jsem Chodící Apokalypsa a já tady rozhoduju, ne ty!"
"Story08_Out_10_Killbane": "Přijímám tvoji omluvu. Zařídím ti VIP vstupenku na Murderbrawl, to tě rozveselí."
"Story21_In_10_": "Nemůžu se dočkat, jdem na to!"
"Story10_Out_04_Reporter_02": "Jak STAG ovlivní naše každodenní životy?"
"Story02_In_09_Viola": "Což je přesně ten důvod, proč si s vámi náš zaměstnavatel přeje mluvit."
"Storye01_In_Crawl_09": "Jde o to, že Svatí vstoupili na světové jeviště a všechny zločinecké organizace chtějí jejich hlavy."
"Story07_Zscene01_09_Player_BM": "Kupředu!"
"Story23_Out_11_Player_BM": "Možná jsem tam trochu přehrával."
"Story13_In_04_Shaundi": "Cože?"
"Story02_In_25_Phillipe": "A já doufal, že dosáhneme rozumné obchodní dohody."
"Story01_In_04_Shaundi": "Seš tady jen na výpomoc..."
"Genki_Both10": "Čas na vraždu! Čas na srandu!"
"CTO_Kinzie01_04_Kinzie": "Ještě ne."
"Story16_Out_06_Matt": "Jasně. Hele, mě letí letadlo, takže..."
"Story15_Out_04_Kinzie": "Fakt vtipné. Vysvětlím ti to, až to bude připravené."
"Story12_In_05_Kid": "Eh... promiňte?"
"Story05_Out_01_Matt": "Svatí jen tak neustoupí."
"Story12_Out_05_Monica": "Cože? No tak ho najděte, zatraceně!"
"CTO_Kinzie02_04_Player_BM": "Hele, připadá mi divný takhle se bavit..."
"CTO_Pierce02_04_Player_BM": "Hele, možná si myslíš, že máš čas na voraz, ale já už si s těma sviněma nebudu hrát. Chci Lorena a chci ho teď. Kde je?"
"Story23_Out_15_Player_BM": "Tak jdem do práce."
"Story15_Out_03_Player_BM": "Dám ti padesát babek, vyber si nějaký hezký."
"Story15_In_04_Kinzie": "Spánek je zakázaný."
"Story06_Mid_06_Pierce": "Tak proč tě tady furt maj, když si tě naklonovali?"
"Story02_In_28_Player_BM": "Bez tebe ne."
"Story02_In_16_Phillipe": "Zjevně ne, jinak byste nám nechtěli vykrást banku. Možná vás zajímá, proč v tuto chvíli ještě dýcháte."
"Story01_In_22_Player_BM": "Takovej mám plán."
"CTO_Pierce02_07_Player_BM": "Loren je taktik, neschová se dovnitř baráku, kterej přímo řve na celý kolo \"já jsem velkej vládce zločinu\". Potřebuju něco konkrétního."
"Story21_In_02_Bobby": "Neuvěřitelná noc, Zachu, a teď je čas na hlavní událost."
"Story17_In_06_Viola": "Promiň... s jakými vězni?"
"Story09_In_02_Player_BM": "A až budou naše, tak morningstarský sexuální kšefty skončí."
"Story08_In_03_Zimos": "Mě si osedlali jako poníka, ale bulím snad kvůli tomu, holka?"
"Story17_Mid_04_Cyrus": "Jak to jde?"
"Story07_Out_10_Viola": "Co bys rád, abychom udělaly, Killbane?"
"Story02_Out_02_Phillipe": "Viola a Kiki to řeknou všem: Steelport patří Syndikátu a Svatí zde nejsou vítaní."
"Story02_In_15_Shaundi": "O tý jsem nikdy neslyšela."
"Story01_In_25_Player": "Nech Joshe na pokoji, jen studuje pro svou roli."
"CTO_Pierce02_10_Pierce": "Ne, Powder je speciální kšeft se zbraněma ve středu města... viděl jsem, jak se tam Lorenovy gorily bavěj s majitelem. Určitě tam něco najdem."
"CTO_Pierce02_09_Player_BM": "Na striptérky nemám čas."
"Story22_OutB_05_Monica": "I když se nám to nelíbí... jsou Svatí hrdinové."
"CTO_Kinzie01_02_Kinzie": "Ani ne. Já lidi nesnáším."
"Story13_Zscene01_05_Pierce": "Jak to chceš udělat?"
"Story19_Out_01_Monica": "Veliteli, co to sakra děláte?!"
"Story19_In_14_Reynolds": "Mám tady problém se zombíky, který..."
"Story15_Out_02_Kinzie": "Skoro. Potřebuju křeslo."
"Story13_In_06_Shaundi": "Pane bože, můžu toho chlapa prostě zastřelit?"
"Story11_Out_07_Monica": "Nic takového."
"Story10_In_08_Viola": "Uvidím, jak Killbane trpí."
"Story09_In_03_Zimos": "Jak převezem všechny ty štětky?"
"Story02_In_22_Player_BM": "Hele, ty francouzskej zmrde..."
"Story02_In_07_Gat": "Takže vo tom to je?"
"Story01_In_06_Josh": "Já se do svejch rolí snažím vcejtit. Jestli mám uvěřitelně zahrát Svatýho, musí to bejt reálný."
"Storye01_In_Crawl_07": "Natáčí se film o Svatých. JOHNNY GAT a SHAUNDI jsou populární celebrity. A PIERCE..."
"Story16_Zscene01_03_Matt": "S radostí."
"Story19_In_24_Reynolds": "Chováš se, jako kdybych nikdy předtím nemusel přechytračit paravojenskou organizaci! Zavolej mi, až to bude hotové."
"Story16_Out_01_Killbane": "Fakt by sis to měl rozmyslet, Matty. Moje ruce jsou stavěný na to, aby lámaly kosti a trhaly maso, ne na mlácení do klávesnice."
"Story02_Out_01_Phillipe": "Pánové, vyjednávání nebylo... stoprocentně úspěšné."
"CTO_Angel01_04_Angel": "Takže nesnášíš nepohodlí. To je slabina, jakou můžou Luchadorové využít. Pokud se nezocelíš, Killbane tě rozdrtí. Ale neboj se, obrousím tě, až budeš jako diamant."
"CTO_Pierce01_06_Player_BM": "Syndikát bude vědět, že klíče máme... budou čekat, že s nima něco zkusíme."
"Story10_Out_01_Cyrus": "Jmenuju se Cyrus Temple, jsem velitel Speciální taktické anti gangové jednotky. Jsem tady, abych zodpověděl vaše otázky o iniciativě STAG."
"Story07_Out_03_Killbane": "Myslel jsem někoho jinýho."
"SH_Morningstar01_04_Pierce": "A co uvnitř, kurva?"
"Story02_In_01_Player_BM": "Co to kurva je? Tenhle měsíc jsme zaplatili."
"CTO_Kinzie02_03_Kinzie": "Myslím to vážně. A taky by bylo vhodné zbavit se toho nablejskanýho telefonu, přes ten tě taky dokážu najít."
"CTO_Kinzie01_05_Player_BM": "Co jsi dělala od doby, co jsme tě zachránili?"
"Story23_In_03_Player_BM": "K Shaundi!"
"Story19_In_13_Player": "Ech, jo, jasný! Co potřebujete?"
"Story17_Mid_07_Agent": "Můžu ty dva dolů do vězení odvézt za vás, pane."
"Story06_Mid_05_Oleg": "Phillipe má rád své věci dělané na zakázku. A jeho monstra... víte, jsou vyráběná podle mě."
"CTO_Pierce01_02_Player_BM": "Co se děje?"
"Story16_Zscene01_05_Matt": "Copak to nechápeš? Tady jsem já Bůh!"
"Story22_OutA_04_Monica": "Měl jste pravdu, veliteli. Povoluji vám použít Deadealus."
"Story19_In_04_Viola": "Opakuj po mně: Neser se do starosty."
"CTO_Angel02_04_Angel": "Nezapomeň, co ti to mělo říct. Podařilo se ti zvládnout svůj strach."
"CTO_Kinzie01_01_Player_BM": "Na to, že ses sotva dostala ze zajetí, bys mohla mít trochu větší chuť si užívat."
"Story23_In_07_Player_BM": "Kurva. Rozbijem jim tu jejich hračku."
"Story22_OutB_04_Monica": "Mají pravdu, veliteli."
"Story22_In_01_Player_BM": "Tak co se děje?"
"Story03_Out_08_Player_BM": "Klídek, Shaundi, hezky jedno po druhém."
"Story02_In_06_Player_BM": "Naše značka má zasraně velkou cenu..."
"Story07_Zscene02_05_Player_BM": "To nevadí."
"Story12_Out_03_Cyrus": "Mají Birka."
"Story21_Zscene03_01_Player_BM": "Usmívej se, Killbane, uvidí nás celej svět."
"Story07_Zscene02_06_Player_BM": "Najdi si mokrej ručník nebo tak něco. O co jde?"
"Story01_Zscene01_05_Josh": "Všechno nářadíčko mám tady."
"Story22_OutB_15_Player_BM": "Killbane připravuje svou armádu na drtivý útok. Tady ho zastavíme. Naše planeta nás potřebuje... nesmíme ji zklamat!"
"Story21_In_05_Player_BM": "Budu u ringu, dávat pozor, aby tě neotravovali Luchadoři. Ty oddělej Killbana. Hodně štěstí."
"Story20_In_05_Viola": "Sundej Killbanovi masku a zůstane jen Eddie Pryor. To je pro něj horší, než kdybys ho zabil."
"Story14_In_06_Anna": "Dobrá, Killbane, existují lidé, kteří vás označují za zločince."
"Story12_In_12_Viola": "Jmenuju se Viola."
"Story03_Out_06_Player_BM": "Fajn. No, pokud sem přivedeme celou bandu, potřebujeme novej bejvák."
"22_Choice_08_Kia": "Jakmile vyhodíte Magarac Island do vzduchu, celý svět bude vědět, co jste zač."
"Storye01_In_Crawl_03": "Už od pradávna povstávali ze skromných začátků velcí vůdci, aby..."
"CTO_Kinzie02_05_Kinzie": "Naprosto souhlasím. Měli bychom používat něco jako navažský dialekt..."
"CTO_Pierce01_08_Player_BM": "Tak jdeme."
"Story07_Zscene02_01_Player_BM": "Sorry, že jsme tě nutili... nás tahat."
"Story01_Zscene01_07_Gat": "Hovno. Vyhodíme to do luftu."
"Story22_OutB_12_Player_BM": "Ještě ne."
"Story22_In_08_Player_BM": "Musíme se dostat tam dolů."
"Story20_In_04_Player_BM": "Nemůžeme toho hajzla prostě zabít?"
"SH_Decker_06_Oleg": "NEMO - neurologický elektromagnetický onieroskop. KGB zničila jediný, který kdy existoval."
"Story12_In_01_Viola": "A hele, Pierce umí číst."
"Story07_In_09_Oleg": "To je bojový pes Syndikátu."
"Story06_Mid_10_Oleg": "Věřte mi, jsem dost silný, abych dokázal zabít Phillipeho."
"22_Choice_06_Player": "Jo jo, jasně. Chceš nás zabásnout, to je kurva toho."
"Story13_Zscene01_02_Pierce": "Jo, ale my máme vašeho mazánka."
"Story06_Mid_04_Player_BM": "Co to sakra je?"
"SH_Morningstar01_02_Pierce": "Myslíš, že vzadu to hlídat nebudou?"
"Story03_Out_02_Player_BM": "Dál bude to, že se vrátíš do Stilwateru."
"Story21_Zscene01_02_Zach": "Je bolestivé to sledovat, ale Luchadorové dávají Angelovi pořádný výprask."
"Story06_Zscene01_02_Player_BM": "Sakra!"
"Story01_Zscene01_10_Player_BM": "Tak se do toho dáme."
"Story17_In_02_Viola": "Nemůžeme napochodovat přímo na letadlovou loď STAGu."
"HASH_29CD6718": "Já to udělal."
"Story09_Out_07_Monica": "Mí vážení kolegové. Nadešel čas... vypustili jsme STAG do ulic Steelportu."
"Story06_In_02_Shaundi": "Dej mi tu zatracenou bouchačku, Pierci."
"Storye01_In_Crawl_06": "Od ovládnutí Stilwateru se kdysi malý pouliční gang rozšířil na mediální impérium."
"CTO_Zimos02_04_Zimos": "Do prdele, pamatuješ na tu akci s poníkama? Už dlouho mi neposílaj blahopřání k Vánocům. Ale nevolám ti, abychom kecali jen o mně. Phillipe Loren je kaput a Morningstarové teď věděj, že se tě jen tak nezbavěj. Je čas dát si padla a pořádně si to užít, bejby!"
"SH_Morningstar02_01_Monica": "Ačkoli se k útoku ve Stilwateru žádná skupina nepřihlásila, ignorovali jsme celou dobu základy problému. Naše neřízená média a zboží prodávané malým dětem zpopularizovala gangsterskou kulturu a změnila sociopatické šílence na hrdiny. Ale to skončí!"
"Story07_In_08_Player_BM": "Jakej Killblb?"
"Story05_In_04_Player_BM": "Jdem na to."
"Story02_In_19_Viola": "Můžete pokračovat v provozování mediální skupiny Svatí/Ultor podle libosti výměnou za 66 procent vašeho měsíčního příjmu."
"Story12_Out_04_Cyrus": "Ujišťuju vás, paní, dostaneme ho zpátky."
"CTO_Zimos01_09_Player_BM": "To zní dobře."
"CTO_Zimos01_04_Zimos": "Až budeš pár let kousat do roubíků a v řiti budeš mít koňskej ocas, taky pak budeš mít chuť trochu relaxovat."
"Story01_Zscene03_01_Player_BM": "Makej! Pohni sebou!"
"Story22_OutA_01_Pierce": "Je ten hajzl mrtvej?"
"Story06_Mid_07_Oleg": "Kopie nejsou dokonalé. Mají moje svaly, ale ne můj mozek. Můžu vám pomoct."
"Story20_In_02_Viola": "Pokud chceš ublížit Killbanovi, musíš ublížit jeho pověsti."
"CTO_Zimos01_07_Player_BM": "Pokud mají Svatí zůstat ve Steelportu, musíme vyhnat Morningstary. Centrum už je v pohodě, ale ti hajzlové jsou všude kolem."
"Story12_In_15_Player_BM": "To mi vyhovuje."
"Story17_In_09_Pierce": "Ale sakra, ne!"
"SH_Decker_04_Oleg": "Křeslo NEMO. No jasně."
"Story11_Out_04_Kia": "Nyte Blayde jako tvář STAGu? Proč rovnou nepřevlíknete někoho za zasranýho jelena?"
"SH_Morningstar02_04_Player_BM": "Co to je sakra ta iniciativa STAG?"
"Story08_In_08_Pierce": "Sakra, holka, život je o žití a tak, jestli mi rozumíš?"
"Storye01_In_Crawl_08": "No, koho kurva zajímá Pierce?"
"CTO_Zimos01_03_Player_BM": "Ty časem neplýtváš."
"Story17_Mid_03_Kia": "Vítejte zpátky, pane."
"Story14_In_04_Anna": "...Eddie \"Killbane\" Pryor. Děkuji vám, že jste za námi přišel, Eddie."
"Story06_In_03_Player_BM": "Dáme tomu zmrdovi, co si zaslouží."
"Story07_Zscene02_02_Zimos": "Tohle je záchrana, ne nějaká úchylná předehra ke grupáči, že jo?"
"Story20_Out_05_Killbane": "Pokud chceš, aby tě Chodící Apokalypsa rozdrtila, rád ti vyhovím."
"Story16_Out_02_Matt": "No pokud máš problém s psaním, tak ti můžu doporučit fakt dobrej program na rozpoznávání hlasu..."
"Story05_Out_05_Matt": "Se vší úctou, pane..."
"CTO_Zimos01_02_Zimos": "Pssst, neprobuď děvky."
"Story17_Zscene01_02_Cyrus": "Tak tak se jmenuješ."
"Story24_Out_04_Director": "STŘIH!"
"Story18_Out_01_Player_BM": "To mám ale zkurvenej život."
"Story12_Out_02_Cyrus": "Sežeňte mi Moniku Hughesovou."
"CTO_Angel02_03_Player_BM": "ZKURVENEJ TYGR?"
"Story07_Zscene03_03_Player_BM": "Ne, ale oni jsou."
"Story23_Out_14_Pierce": "Strašnej nápad. Beru."
"Story12_In_04_Pierce": "Když to dobře naplánujem, budem mít nad těma hajzlama výhodu."
"Story23_Out_09_Player_BM": "Mám tady zprávu pro Monicu Hughesovou a její opice. Drahá kurvo, Steelport je pod novou správou a my se ti nezodpovídáme. Tohle je teď cizí území. Ještě jednou přilez do mýho města a domů pojedeš ve zkurvený rakvi. Měj se."
"Story22_OutA_02_Player_BM": "Jo."
"Story17_In_04_Viola": "Co budeš dělat, až budeš na palubě?"
"Story13_Out_02_Kia": "Vidím, že bych vám měla pogratulovat, veliteli."
"Story08_In_07_Shaundi": "No jo."
"Story05_In_03_Shaundi": "Párty je dole v plném proudu. Stačí říct a zapojíme se."
"Storye01_In_Crawl_05": "A tak to bylo i se SVATÝMI Z TŘETÍ ULICE."
"CTO_Zimos02_02_Zimos": "Ty zasranej filištíne! Co ty víš o umění? To je originál séger DeWynterovejch! Koupil jsem to, když jsme s dvojčatama ještě fungovali na principu \"žij a nechej žít\"."
"Story16_Zscene02_03_Player_BM": "To dokáže určitě i Kinzie."
"Story24_Out_11_Director": "A... akce!"
"Story24_Out_09_Asst_Director": "Připravit! Jedeme..."
"Story01_In_21_Gat": "Máš plán, nebo ty hajzly prostě postřílíme?"
"Story07_Zscene02_04_Zimos": "Takže záchrana. Potřásl bych vám prackama, ale ty podlahy jsou takový ulepený, jestli mi rozumíte."
"Story07_Zscene01_05_Goon": "Šli tudy!"
"Story23_Out_04_Player_BM": "Nikdo nebude utíkat a nikdo nedostane kulku do zad, jasný?"
"Story22_In_06_Pierce": "Zatraceně."
"SH_Luchadore_03_Player_BM": "Fajn, jak to uděláme?"
"Story17_Mid_06_Cyrus": "Díky za nabídku... ale chci nejdřív zpracovat tyhle dva."
"Story22_Zscene01_02_Killbane": "A tak jsme tady... dva titáni mezi lidma, uctívaný obyčejnýma smrtelníkama, protože jim přinášíme krev a oheň! Tenhle moment byl nevyhnutelnej..."
"Story16_Zscene02_07_Player_BM": "No, to už zní rozumně."
"Story23_Out_12_Pierce": "No, právě jsme vytvořili městskej stát."
"Story14_Out_06_Shaundi": "Měla jsem ho!"
"Story14_In_03_Anna": "...naštěstí se objevil tento exkluzivní záznam a společně s námi je tady živě muž, který je za to zodpovědný..."
"Story12_In_02_Pierce": "Holka, já se ti nemusím z ničeho zpovídat. STAG používá Nyte Blayda jako svého maskota. My toho kreténa sebereme..."
"22_Choice_05_Kia": "Ahoj, Svatý."
"CTO_Pierce02_11_Player_BM": "Tak jdeme nakupovat."
"Story13_In_03_Josh": "Cítil jsem to v tu chvíli, kdy jsme se setkali. To spojení."
"Story09_In_01_Zimos": "Je tam spousta štětek."
"Story06_Mid_09_Shaundi": "Co by mohl udělat? Ty dráty a krámy jsou beztak to jediný, co ho drží při životě."
"Story01_In_10_Josh": "Ultrapostmodernismus. To žeru."
"22_Choice_01_Angel": "Je na letišti - nemáme už moc času!   "
"Story21_Zscene02_02_Killbane": "Počkej! Dám ti tajemství svých Apokapěstí, jen mi nech moji masku!"
"Story19_In_02_Viola": "Nepůjdeme dovnitř, dokud neslíbíš, že se budeš chovat slušně."
"Story17_Out_11_Kia": "Pane, komandos jsou na cestě. Celé město bude neprodyšně uzavřené do 72 hodin."
"Story17_In_01_Pierce": "Tohle je ten nejhorší nápad, jakej jsem od tebe kdy slyšel."
"Story14_Out_05_Player_BM": "Seš v pořádku?"
"Story08_In_01_Shaundi": "Johnny je mrtvej a vy máte zasranej večírek?!"
"CTO_Angel02_02_Angel": "Pokud budeš bojovat s Luchadorama, musíš se připravit na všechno."
"Story18_In_02_Player_BM": "O tom nepochybuju!"
"CTO_Angel01_02_Angel": "Abych si připomínal, co mi Killbane sebral. Pomáhá mi to soustředit se."
"CTO_Pierce02_05_Pierce": "Nemám tušení..."
"Story21_Out_05_Goon": "Killbane, je to jen zápas..."
"Story14_Out_02_Shaundi": "Mám tě."
"Story10_Out_07_Cyrus": "Řeknu vám něco o Jessice Parishové, dívce ze Stilwateru, jež utekla z domova, aby mohla být se svým drsňáckým přítelem. Jessica si myslela, že má dobrý život, dokud ji gangster neunesl, nehodil ji do kufru svého auta a nesmál se, když ji její přítel rozdrtil na kusy v demoličním závodu. Kdyby byla Jessica Parishová vaše dcera... jak daleko byste chtěli, abych zašel?"
"Story22_Zscene01_03_Player": "Stejně jako to, že tě zabiju."
"CTO_Pierce01_05_Pierce": "Klíče k bezpečnostním sejfům. No a nechceš vědět, co měli všechno schovaný pod zámkem?"
"Story02_In_17_Gat": "Mě spíš zajímá, proč jsem tě ještě nenakopal do prdele."
"Story22_Zscene01_05_Player": "Seš normální? Skončils, Eddie! Za dva tejdny si tvý jméno nebude nikdo pamatovat!"
"CTO_Pierce01_03_Pierce": "Jelikož tohle bejval bejvák Syndikátu, tak jsem trochu šťoural a koukal se, co tu zapomněli."
"Story12_Zscene01_02_Player_BM": "Vypadneme."
"Story21_In_07_Bobby": "Právě naopak, sype se na ně spousta nenávisti. A není se čemu divit. Po tom, zvěrstvu, které spáchal jejich kápo ve Stilwateru, má štěstí, že do něj cestou k ringu nevrazí nůž jeho vlastní fanoušek."
"Story13_In_01_Josh": "Odlož tu zbraň. Neuteču."
"Story07_In_01_Monica": "Když jsem ze Stilwateru odešla do senátu, přísahala jsem, že na své domovské kořeny nezapomenu. Můj manžel obětoval život při obraně Stilwateru před gangsterskou hrozbou. Jsem nesmírně potěšena, že ho dnes mohu uctít tímto mostem."
"Story01_In_12_Josh": "NIKDO SE NEHNE A NIKDO NEUMŘE!"
"CTO_Pierce02_03_Pierce": "No a já jsem tady ten nejhezčí hajzl široko daleko."
"Story21_Zscene03_02_Killbane": "NE!"
"Story07_Out_01_Killbane": "No, dámy a pánové, Phillipe je po smrti a my jsme teď na křižovatce. Otázkou je: kdo povede Syndikát do nové éry."
"Story24_Out_08_Director": "Fajn, lidi, pořádně se usmívat, tohle je šťastnej konec."
"CTO_Kinzie02_11_Kinzie": "Pamatuj, zahoď svůj telefon!"
"Story19_In_01_Player": "Na co čekáme?"
"SH_Decker_03_Kinzie": "Pak budeš moct komunikovat s avatary uživatelů a poničit abstraktní reprezentace dat, která jsou základem jejich online operací. A na to potřebuju..."
"Story14_Out_08_Player_BM": "Do prdele!"
"Story12_In_14_Viola": "To nemůžeš myslet vážně!"
"CTO_Kinzie01_10_Kinzie": "Prostě hrej tu zatracenou hru a já pak dokážu zjistit, kde se Deckeři schovávají ve skutečném světě."
"Story18_In_01_Viola": "Nejspíš existuje jednodušší způsob, jak to udělat!"
"Story12_In_03_Player_BM": "A vylákáme ven STAG."
"Story22_OutB_09_Cyrus": "Můžou ti dát klíč k zatracenýmu městu, ale jednou něco posereš a my se vrátíme. A příště tě STAG zlikviduje."
"Story21_In_04_Bobby": "Povídám ti, Zachu, to je naprostý magor, totální psychopat. Už jako malé mimino, které vylezlo z dělohy své mámy a zaškrtilo porodníka svou vlastní pupeční šňůrou. A to je fakt úchylné."
"SH_Decker_02_Kinzie": "Chci poslat tvoje podvědomí do deckerské sítě."
"SH_Morningstar02_12_Player_BM": "Mrdat na to."
"Story05_Out_06_Matt": "Řekl bych, že ty hrozby už nejsou jen planý."
"Story01_In_14_Josh": "Sorry, skočil jsem jeho hlášku. Můžeme to sjet znova?"
"Story21_In_03_Zach": "A tady je, Bobby, Eddie \"Killbane\" Pryor, sama Chodící Apokalypsa. Nemůžu si pomoct, ale musím přemýšlet, jak to stilwaterský řezník přežije."
"Story16_Out_03_Killbane": "Držel ses mě, když jsem povstal z Phillipova popela jako fénix. Ty a já jsme spojení."
"Story13_Out_05_Kia": "Zalezou pod zem, vykopat je ven nebude snadné."
"Story12_In_07_Player_BM": "Co to kurva je?"
"Story10_In_16_Kia": "Svatí se skrývají u jedné ze sester DeWynterových. Chystáme se tam vrazit."
"Story08_Out_08_Killbane": "Violo, tvoje slunce zapadá, ale ještě není pozdě. Ještě máš čas chytnout se Apollova vozu a jet s tím hajzlem na oblohu. Chápeš mě?"
"Story02_Out_03_Phillipe": "Pane Killbane, dejte dohromady své Luchadory a přineste mi hlavu jejich šéfa. Pane Millere, nabourejte se do účtů Svatých a nenechte jim vůbec nic."
"Story01_In_26_Shaundi": "Doufám, že podepsal revers."
"CTO_Pierce02_02_Pierce": "Co se ti nelíbí? Pivo tu maj laciný."
"CTO_Zimos01_06_Zimos": "No asi si nejdete zašukat, co?"
"Story07_Zscene01_01_Pierce": "Jak najdeme Zimose? Budem hledat úchyla, kterýho nebaví žvejkat roubík?"
"Story21_Out_04_Bobby": "To je ale noc, Zachu. To je ale noc."
"Story19_In_16_Reynolds": "Se zombíky."
"Story15_In_10_Kinzie": "Kdybych se jen tak mohla dostat do jejich serveru, mohla bych nadělat spoustu nepěkných věcí. Ale nemám na to vybavení."
"Story06_Mid_12_Pierce": "Chceš nějaký hadry, vole?"
"Story02_In_08_Viola": "O penězích je to vždycky, pane Gate."
"Story12_In_09_Player_BM": "Připomeň mi, že mám kvůli tomu zavolat právníkům."
"Story10_In_05_Player_BM": "Jasně. Johnny umřel kvůli tobě."
"Story06_Mid_14_Pierce": "Hele, jak jsem říkal, když jsem viděl naposled velkýho nahatýho chlapa..."
"Story01_In_24_Shaundi": "Hele, ten film o Svatejch mi nevadí, ale fakt s sebou musíme tahat toho kreténskýho herce?"
"Storye01_In_Crawl_04": "se s tím nesrali."
"Story11_Out_08_Cyrus": "Ten kluk kvůli tomu zemře."
"Story07_Out_05_Viola": "Co prosím?"
"Story02_In_02_Cop": "Někdo zaplatil víc."
"Story21_Zscene04_02_Bobby": "A DO PR... KILLBANE SE VZDAL!"
"Story19_In_06_Player": "Hele, co si ten chlap o sobě vůbec myslí?"
"Story17_Mid_02_Cyrus": "Ticho."
"SH_Morningstar02_09_Zimos": "Tohle je pozvánka nakopat Morningstary přímo do prdele. Mají dneska v noci aukci, ukaž jim kartu a pustěj tě dovnitř."
"Story06_In_01_Pierce": "To je na tebe trochu moc velký."
"Story01_In_01_Josh": "Japonský reklamy. Snadnějc se snad prachy ani vydělat nedaj."
"Story13_In_08_Player_BM": "Máš to, Pierci?"
"Story11_In_04_Player_BM": "A je to remíza."
"Story08_Out_09_Viola": "Ano, Killbane."
"Story02_In_14_Phillipe": "Jako by vám z oka vypadla. Tyto krásky jsou Viola a Kiki. A já jsem Phillipe Loren, předseda nadnárodní organizace zvané Syndikát."
"Story13_Zscene01_03_Player_BM": "Chci, aby STAG vypadl z mýho města."
"Story23_In_06_Kinzie": "No, pokud vyhodí do vzduchu všechny domy, v jednom z nich určitě budeme."
"Story19_In_15_Viola": "Cože, jaký problém?"
"Story15_In_05_Player_BM": "Co kurva udělali Deckeři s tím vrtulníkem?"
"Story14_In_12_Kinzie": "Možná se mi podaří triangulovat, kde jsou, když půjdete na vysílací věže a..."
"Story06_Mid_13_Oleg": "Není čas."
"Story06_Mid_08_Pierce": "Když mi naposledy říkal nahatej chlap, že mi pomůže, nedopadlo to dobře."
"CTO_Angel01_06_Angel": "Musíš zažít tu nejhorší možnou bolest. A teď pojď, je čas na zábavu v ulicích."
"CTO_Angel01_05_Player_BM": "Jak?"
"Story12_Zscene01_01_Josh": "Chcete se před natáčením trochu rozehřát? Hele, tebe odněkud znám..."
"Story22_OutB_03_Player_BM": "Pokud jako další nevypustíš z huby poděkování, tak budeme mít kurva velkej problém."
"Story21_In_01_Zach": "Dneska je skvělá noc a nijak nezpomaluje, Bobby!"
"SH_Decker_11_Player_BM": "Fajn, chytráci, dost frajeření! Co je to? A Kinzie, kurva, mluv jednodušejc!"
