"DLC3_OUTRO_08_TAG": "Stripperstange?"
"DLC3_M03_MISSION_NAME": "SCHICKT DIE KLONE"
"DLC3_M03_DEFEND_TAG": "VERTEIDIGE [format][color:defend]TAG[/format]"
"DLC3_INTRO_06_JIMMY": "Ich dachte, ich hätte genug Dinge, die er berührt hatte."
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "HEXENSTIEFEL  "
"UNL_DLC3_CUST02_VEHICLES": "FAHRZEUG - DER SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "DU HAST DEN TORBITRON VERLASSEN!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "JIMMYS WAGEN WURDE ZERSTÖRT"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "OUTFIT - HEXE"
"DLC3_M01_MISSION_NAME": "VERRÜCKTE WISSENSCHAFT"
"DLC3_OUTRO_04_PLAYER": "Ich weiß, ich weiß, Johnny, aber wir können das in Ordnung bringen!"
"DLC3_OUTRO_02_PIERCE": "Ach, jetzt willst du ihm auch noch mit Vernunft kommen."
"DLC3_INTRO_01_JIMMY": "Es war eine dunkle und stürmische Nacht ..."
"DLC3_ACHIEVE_SR3_BAMF": "B.A.M.F."
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Zeige der Welt, dass es nicht nur eine Lebensart ist, eine Hexe zu sein, sondern auch ein modisches Statement."
"DLC3_WPN_FIREBALL": "VIERTELKREIS-HIEB"
"DLC3_OUTRO_07_PLAYER": "Komm schon, Kumpel. Bringen wir dich nach Hause."
"DLC3_INTRO_14_TAG": "Wo Shogo?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Sie benutzt jetzt ihre Fäuste anstatt ihrer Stimme, um die Fans umzuhauen."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Bienen im Anflug"
"DLC3_M01_INTERROGATE_GANG": "BEFRAGE DIE [format][color:use]ANFÜHRERIN[/format]"
"DLC3_OUTRO_10_JIMMY": "Und so endet die Geschichte von unseren kühnen Helden. Gebunden durch die Bande, die sie ... äh ... verband."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Mein Haustiermonster"
"UNL_DLC3_CUST02_CLOTHING": "GEGENSTÄNDE - HEXEN & WASCHLAPPEN"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS ROH"
"DLC3_M02_FAIL_TRUCK_DEAD": "DER TORBITRON WURDE ZERSTÖRT!"
"DLC3_M02_PROTECT_PIERCE": "BESCHÜTZE [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny, komm schon, Mann. Ich versuche, dir zu helfen!"
"DLC3_M02_DEFEND_STAGE": "VERTEIDIGE DIE [format][color:defend]BÜHNE[/format]"
"DLC3_M01_LOOK_FOR_TAG": "UNTERSUCHE EIN [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "Seit Monaten hatte ich Scheiße gesammelt. Seine Scheiße."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Supa-Exzellent!"
"DLC3_INTRO_19_PIERCE": "Setz dich verdammt noch mal hin, Jimmy! Überlass das den Profis."
"DLC3_M02_FIND_TAG": "FINDE [format][color:location]TAG[/format]"
"DLC3_OUTRO_05_PIERCE": "Ja, wir sind deine Freunde, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "BEGIB DICH ZU [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_OUTRO_03_TAG": "Saints ... mich enttäuscht."
"CUST_ITEM_DLC_HAT_DH": "TEUFELSHÖRNER"
"DLC3_M02_REVIVE": "WIEDERBELEBEN"
"DLC3_M02_GOTO_PLANET_SAINTS": "BEGIB DICH ZU [format][color:location]PLANET SAINTS[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Für eine Hexe ist der Besen das einzige Fortbewegungsmittel überhaupt. Mit diesem Fahrzeug kann das jeder."
"DLC3_M03_GOTO_HELICOPTER": "STEIGE IN DEN [format][color:location]HUBSCHRAUBER[/format]"
"DLC3_INTRO_07_JIMMY": "Ich hatte Unrecht."
"CUST_ITEM_DLC_PANTS_WITCH": "HEXENHOSE"
"DLC3_M02_RETURN_TO_TRUCK": "STEIGE WIEDER IN DEN [format][color:location]TORBITRON[/format]"
"DLC3_M02_MISSION_NAME": "TOUR DE FARCE"
"DLC3_INTRO_02_JIMMY": "Der Himmel weinte, als ich Mutter Natur schändete."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "BEGLEITER - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Operation Stich"
"CUST_ITEM_DLC_OUTFIT_WITCH": "HEXE"
"DLC3_M03_KILL_GUARD": "TÖTE DIE [format][color:kill]STEELPORT-GARDISTEN[/format]"
"DLC3_M02_FAIL_FEEDBACK": "DIE ZUSCHAUER HABEN DEN AUFTRITT RUINIERT. HALTE SIE MIT DEM SCHWARMITRON VON DER BÜHNE FERN."
"CUST_ITEM_DLC_HAT_HALO": "HEILIGENSCHEIN"
"DLC3_M01_SURVIVE": "[format][color:defend]WARTE[/format] AUF JIMMY"
"DLC3_INTRO_11_JIMMY": "Ja."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG IST GESTORBEN!"
"DLC3_M03_KILL_MORNINGSTAR": "TÖTE DEN [format][color:kill]MORGENSTERN[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "SIEH DICH BEI [format][color:location]PLANET SAINTS[/format] NACH TAG UM"
"DLC3_M03_GOTO_APARTMENT": "SIEH DICH BEIM [format][color:location]APPARTEMENT-DOMIZIL[/format] NACH TAG UM"
"DLC3_M02_OBJ_MISSION_START": "GEHE ZU [format][color:location]JIMMYS HAUS[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "ZERSTÖRE DIE [format][color:kill]STRASSENSPERRE[/format]"
"DLC3_M01_PROTECT_CAR": "BESCHÜTZE DEN [format][color:defend]WAGEN[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport ist wieder sicher. Doch, wer weiß, wann die Saints und ihr neuer Verbündeter wieder gerufen werden, um die Stadt zu beschützen?"
"DLC3_OUTRO_09_PLAYER": "Genau, Mann. Stripperstange."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Tour de Farce"
"DLC3_WPN_BEE_GUN": "SCHWARMITRON"
"DLC3_INTRO_16_JIMMY": "Moment! Wo wollt ihr denn hin?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Kleidung für den Ninja, Hotdog, Engel oder Teufel in dir."
"DLC3_INTRO_17_PLAYER": "WIR gehen und suchen unseren Freund!"
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Sonnebrillen, weichgekaute Kaugummis, einen fettigen Kamm."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Schickt die Klone"
"DLC3_M02_OBJ_CALM_TAG": "BERUHIGE [format][color:kill]TAG[/format] MIT DEM SCHWARMITRON"
"DLC3_M02_KILL_HELIS": "TÖTE DIE [format][color:kill]GARDISTEN-ANGREIFER[/format]"
"DLC3_M01_GOTO_CAR": "STEIGE IN [format][color:location]JIMMYS AUTO[/format] EIN"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Staatsfeind Nr. 1"
"CUST_ITEM_DLC_HOTDOG": "HOTDOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Halte {SPRINT_IMG} gedrückt, um superschnell zu sprinten.\nWirf FEUERBÄLLE mit {ATTACK_SECONDARY_IMG}.\nDrücke {ATTACK_PRIMARY_IMG}, um superstarke Schläge zu landen!"
"DLC3_M02_GOTO_TRUCK": "STEIGE IN DEN [format][color:location]TORBITRON[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "Über dein Handy sind neue Aufträge verfügbar."
"UNL_DLC3_CUST02_ALERT": "HEXEN UND WASCHLAPPEN"
"DLC3_M03_GOTO_BRIDGE": "SIEH DICH BEI [format][color:location]DER BRÜCKE[/format] NACH TAG UM"
"DLC3_M02_OBJ_CALM_LABEL": "FORTSCHRITT"
"DLC3_INTRO_13_JIMMY": "Dazu komme ich gerade!"
"DLC3_INTRO_12_PLAYER": "In Ordnung, wo ist also ..."
"UNL_DESC_DLC3_CUST02_ALERT": "Im Kleiderschrank und in der Garage deines Domizils stehen nun neue Inhalte zur Verfügung."
"DLC3_M02_FAIL_TAG_ESCAPE": "DU WARST ZU LANGSAM, JOHNNY TAG IST ENTKOMMEN!"
"DLC3_M01_GOTO_STRIP_CLUB": "GEHE ZUM [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "BEGIB DICH ZU [format][color:location]SMILING JACK'S[/format]"
"DLC3_INTRO_09_TAG": "Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Aisha Brutella findet sich nun im Telefonbuch deines Handys. Sie hilft den Saints im Kampf."
"DLC3_M02_OBJ_GET_BEE_GUN": "NIMM DEN [format][color:location]SCHWARMITRON[/format] AUS DEM LASTER"
"DLC3_M02_REVIVE_TAG": "BELEBE [format][color:use]TAG[/format] WIEDER"
