"DLC3_OUTRO_08_TAG": "Tyč striptérky?"
"DLC3_OUTRO_10_JIMMY": "A tak končí příběh našich neohrožených hrdinů, svázaných poutem, které... které je ehm... k sobě poutalo."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Moje malá příšerka"
"UNL_DLC3_CUST02_CLOTHING": "PŘEDMĚTY - ČÁRYFUCK"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS POW"
"DLC3_M02_FAIL_TRUCK_DEAD": "TORBITRON BYL ZNIČEN!"
"DLC3_M02_PROTECT_PIERCE": "CHRAŇ [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny - no tak, brácho, já ti chci pomoct!"
"DLC3_M02_DEFEND_STAGE": "BRAŇ [format][color:defend]PLAC[/format]"
"DLC3_M01_LOOK_FOR_TAG": "PROŠETŘI [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "Celý měsíce jsem sbíral všemožný krámy. Jeho krámy."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Upa nejbožejší!"
"DLC3_INTRO_19_PIERCE": "Ty seď na prdeli, Jimmy! Tohle přenech profíkům."
"DLC3_M02_FIND_TAG": "NAJDI [format][color:location]TAGA[/format]"
"DLC3_OUTRO_05_PIERCE": "Jo, my jsme tví přátelé, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "JEĎ DO OBCHODU [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_OUTRO_03_TAG": "Svatí... zklamali mě."
"CUST_ITEM_DLC_HAT_DH": "ĎÁBELSKÉ ROHY"
"DLC3_M02_REVIVE": "OŽIVIT"
"DLC3_M02_GOTO_PLANET_SAINTS": "NAVŠTIV [format][color:location]PLANETU SVATÝCH[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Koneckonců čarodějka přece nemůže cestovat jinak než na koštěti. S tímto vozidlem dostane tu šanci každý."
"DLC3_M03_GOTO_HELICOPTER": "DOSTAŇ SE DO [format][color:location]VRTULNÍKU[/format]"
"DLC3_INTRO_07_JIMMY": "Ale to jsem se seknul."
"CUST_ITEM_DLC_PANTS_WITCH": "KALHOTY ČARODĚJKY"
"DLC3_M02_RETURN_TO_TRUCK": "NASTUP ZPĚT DO [format][color:location]TORBITRONU[/format]"
"DLC3_M02_MISSION_NAME": "TOUR DE FRAŠKA"
"DLC3_INTRO_02_JIMMY": "Nebesa plakala nad mým zneuctěním matky přírody."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "HOMIE - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Operace žihadlo"
"CUST_ITEM_DLC_OUTFIT_WITCH": "ČARODĚJKA"
"DLC3_M03_KILL_GUARD": "ZABIJ[format][color:kill]STEELPORTSKOU STRÁŽ[/format]"
"DLC3_M02_FAIL_FEEDBACK": "DAV KAZÍ PŘEDSTAVENÍ. ODEŽEŇ LIDI POMOCÍ VČELNICE."
"CUST_ITEM_DLC_HAT_HALO": "SVATOZÁŘ"
"DLC3_M01_SURVIVE": "[format][color:defend]POČKEJ[/format] NA JOHNNYHO"
"DLC3_INTRO_11_JIMMY": "Jo."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG ZEMŘEL!"
"DLC3_M03_KILL_MORNINGSTAR": "ZABIJ [format][color:kill]MORNINGSTARA[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "NAJDI TAGA V [format][color:location]PLANET SAINTS[/format]"
"DLC3_M03_GOTO_APARTMENT": "NAJDI TAGA V [format][color:location]BEJVÁKU[/format]"
"DLC3_M02_OBJ_MISSION_START": "JEĎ DO [format][color:location]JIMMYHO DOMU[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "ZNIČ [format][color:kill]ZÁTARAS[/format]"
"DLC3_M01_PROTECT_CAR": "CHRAŇ [format][color:defend]POLICEJNÍ AUTO[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport je zase jednou v bezpečí. Ale kdo ví, kdy budou Svatí a jejich spojenci opět povoláni, aby jej chránili."
"DLC3_OUTRO_09_PLAYER": "Přesně tak, chlape. Tyč striptérky."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Tour de Fraška"
"DLC3_WPN_BEE_GUN": "VČELNICE"
"DLC3_INTRO_16_JIMMY": "Počkat - kam to všichni jdete?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Oblečení pro tvého vnitřního ninju, hot doga, anděla a ďábla."
"DLC3_INTRO_17_PLAYER": "MY jdeme najít svýho kamaráda!"
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Sluneční brejle, vyžvejkaný žvejkačky, mastnej hřeben."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Pošlete klony"
"DLC3_M02_OBJ_CALM_TAG": "UKLIDNI [format][color:kill]TAGA[/format] VČELNICÍ"
"DLC3_M02_KILL_HELIS": "ZNIČ [format][color:kill]STRÁŽE STEELPORTU[/format]"
"DLC3_M01_GOTO_CAR": "NASTUP DO [format][color:location]JIMMYHO AUTA[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Veřejný nepřítel #1"
"CUST_ITEM_DLC_HOTDOG": "HOT DOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINDŽA"
"DLC3_M03_TUT_SUPER_POWERS": "Podrž {SPRINT_IMG} pro super sprint.\nVrhej OHNIVÉ KOULE pomocí tlačítka {ATTACK_SECONDARY_IMG}.\nPomocí {ATTACK_PRIMARY_IMG} své údery extra nabiješ!"
"DLC3_M02_GOTO_TRUCK": "NASTUP DO [format][color:location]TORBITRONU[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "V mobilu najdeš nové mise."
"UNL_DLC3_CUST02_ALERT": "ČÁRYFUCK"
"DLC3_M03_GOTO_BRIDGE": "NAJDI TAGA NA [format][color:location]MOSTĚ[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "POSTUP"
"DLC3_INTRO_13_JIMMY": "Hned se k tomu dostanu!"
"DLC3_INTRO_12_PLAYER": "Fajn, takže kde teda -"
"UNL_DESC_DLC3_CUST02_ALERT": "V šatníku a v garáži u bejváku máš dostupný nový stažitelný obsah."
"DLC3_M02_FAIL_TAG_ESCAPE": "TRVALO TI TO MOC DLOUHO, JOHNNY TAG UTEKL!"
"DLC3_M01_GOTO_STRIP_CLUB": "JEĎ DO OBCHODU [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "JDI DO [format][color:location]SMILING JACK[/format]"
"DLC3_INTRO_09_TAG": "Aisho!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Mezi kontakty v telefonu najdeš Aishu Brutellu. Pomůže ti v boji."
"DLC3_M02_OBJ_GET_BEE_GUN": "DOSTAŇ Z VOZIDLA [format][color:location]VČELNICI[/format]"
"DLC3_M02_REVIVE_TAG": "OŽIV [format][color:use]TAG[/format]"
