"UNL_DESC_DLC2_ASSET03_OUTFITS03": "モーニングスターソルジャーに変装しよう。"
"DLC2_OUTRO_DIRECTOR_07": "そんなセリフじゃないだろう！　何なんだまったく　台本を見ろよ！"
"DLC2_INTRO_PC_02": "あの野郎　この手でぶっ殺してやる..."
"DLC2_M03_KILL_NATIONAL_GUARD": "[format][color:kill]警備隊の罠[/format]を破壊しろ"
"DLC2_M02_GO_TO_CONSOLE": "[format][color:location]セキュリティー端末[/format]へ行け"
"DLC2_M02_GET_SMG": "[format][color:use]オートレーザー[/format]を入手しろ"
"DLC2_M01_OBJ_GO_TO_HELICOPTER": "[format][color:use]ヘリコプター[/format]へ行け"
"UNL_DESC_DLC2_ASSET03_OUTFITS05": "マット・ミラーのデッカーソルジャーに変装しよう。"
"UNL_DESC_DLC2_CUST01_ALERT": "ダウンロード コンテンツがアジトにて利用できるようになった"
"CUST_ITEM_MSFEM02_OUTFIT": "モーニングスターソルジャー"
"UNL_DESC_DLC2_ITEM_MIND_CONTROL_HELMET": "クローゼットに洗脳ヘルメットが追加された"
"UNL_DESC_DLC2_ASSET05_OUTFITS02": "マスクとグローブが選べるホラー映画の悪役に最高のセット。"
"DLC2_M02_GO_TO_HANGER": "[format][color:location]ハンガー[/format]へ行け"
"DLC2_M02_PROTECT_HOMIE": "[format][color:protect]キウィラナ[/format]を守れ"
"DLC2_M01_HUD_UNTIE_ALIEN": "エイリアンを解放しろ"
"UNL_DESC_DLC2_ASSET03_OUTFITS02": "この完璧セットで、キルベインのルチャドールスペシャリストに変装しよう。"
"DLC2_OUTRO_PC_08": "なあジェニー　また目つきがヤバいぞ"
"UNL_DLC2_CUST01_ALERT": "ペントハウスパック"
"CM_MSSPCL_OUTFIT": "モーニングスタースペシャリスト"
"UNL_DESC_DLC2_HOMIE_SPACE_BRUTINA": "スペース・ブルティーナの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる"
"UNL_DLC2_ASSET05_OUTFITS01": "人食いゾンビ"
"CUST_ITEM_DLC_HAT_HOCKEY": "ホッケーマスク"
"DLC2_M03_TUT_NEAR_CRASH": "建物の近くを飛んで低空飛行を行え"
"DLC2_M02_USE_REWIRE": "細工"
"DLC2_M02_MISSION_FAIL_DIDNT_PROTECT_HOMIE": "キウィラナを守れなかった！"
"DLC2_OUTRO_PC_18": "うわ"
"DLC2_WPN_LASERPISTOL": "レーザーピストル"
"CUST_ITEM_DLC_OUTFIT_WEREWOLF": "ウェアウルフ"
"DLC2_M03_GOTO_THIRD_TRANSMITTER": "[format][color:location]第三トランスミッター[/format]へ行け"
"DLC2_M01_FAIL_KWILANNA_DIED": "キウィラナが死んでしまった！"
"DLC2_OUTRO_DIRECTOR_05": "一体どうした？　ジェニー　ちゃんとセリフを言え！"
"DLC2_INTRO_DIRECTOR_09": "台本に問題か？　言ってくれればすぐボツにするぞ！"
"CUST_ITEM_CM_DLC_ZOMBIE1": "人食いゾンビ"
"DLC2_M02_SECURITY_ACTIVATING": "セキュリティ発動"
"DLC2_M01_OBJ_KILL_NAT_GUARD": "[format][color:kill]警備隊[/format]を倒せ"
"DLC2_ACHIEVE_SR3_MDK3000": "バレルロール！"
"DLC2_OUTRO_DIRECTOR_15": "もうNG出してるんだぞ　ちゃんとやれ！"
"DLC2_INTRO_DIRECTOR_19": "よし！　さあ撮るぞ！"
"DLC2_INTRO_PC_10": "いや　大丈夫...　でもカンペが欲しいな"
"DLC2_M03_BARNSTORM_THROUGH_BRIDGE": "[format][color:location]橋[/format]の下を飛行をしろ"
"DLC2_M03_PRE_CALL_OBJ": "[format][color:location]映画セット[/format]へ行け"
"DLC2_ACHIEVE_SR3_A_LISTER": "Cリストセレブ"
"DLC2_OUTRO_KWILANNA_17": "ばっちりキマってるわね"
"UNL_DLC2_ASSET05_OUTFITS03": "ウェアウルフ"
"UNL_DESC_DLC2_ASSET05_ALERT": "クローゼットとガレージで新しいダウンロード コンテンツが利用できるようになった"
"UNL_DLC2_ASSET06_ALERT": "ゲンキガールパック"
"DLC2_M02_GO_TO_CONTROL_ROOM": "[format][color:location]制御室[/format]へ行け"
"DLC2_M02_GO_TO_SERVER_ROOM": "[format][color:location]サーバールーム[/format]へ行け"
"DLC2_M02_REWIRE_EXPLOSIVES": "[format][color:use]爆薬[/format]に細工をしろ"
"DLC2_M01_FAIL_DIRECTOR_UNHAPPY": "ディレクターは今のテイクに満足していないようだ！"
"DLC2_M01_OBJ_LAND_TARGET": "[format][color:location]ターゲット[/format]に着陸しろ"
"DLC2_OUTRO_PC_14": "まあそうだな"
"DLC2_INTRO_KWILANNA_05": "どうも　ジェニーです！　大役をいただいて　とっても興奮してます！"
"CUST_ITEM_CM_DLC_LU02": "ルチャドールソルジャー"
"CUST_ITEM_DLC_HAT_LU02": "ルチャドールソルジャーマスク"
"DLC2_M02_PROGRESS_LABEL": "進行"
"DLC2_M02_APPROACH_MACHINE_LOCAL": "[format][color:location]洗脳装置[/format]へ行け"
"DLC2_M01_OBJ_GO_TO_BULLDOG": "[format][color:use]乗り物[/format]へ行け"
"DLC2_OUTRO_PC_04": "あれ...　キウィラナ？"
"CUST_ITEM_DLC_MASK_WEREWOLF": "ウェアウルフマスク"
"UNL_DLC2_VEHICLE_SPACE_JET_BIKE": "SCYTHE"
"UNL_DESC_DLC2_STORY01_ALERT": "携帯電話に新しいミッションが追加された"
"CUST_ITEM_MSFEM02_EAR": "モーニングスターイヤリング"
"DLC2_M03_GET_TO_AIRCRAFT": "[format][color:use]エイリアンの宇宙船[/format]に乗り込め"
"DLC2_M01_OBJ_RESCUE_ALIEN": "[format][color:use]キウィラナ[/format]を助けろ"
"DLC2_INTRO_DIRECTOR_17": "そりゃ最高だな"
"DLC2_INTRO_KWILANNA_12": "初めまして　ミスター・ゼン！"
"CUST_ITEM_DLC_SUIT_WEREWOLF": "ウェアウルフ"
"CUST_ITEM_DLC_SUIT_LU02": "ルチャドールソルジャー"
"DLC2_M02_PROGRESS_03": "検索中..."
"DLC2_M02_GO_TO_SET": "[format][color:location]セット[/format]へ行け"
"DLC2_M02_MISSION_FAIL_OUT_OF_TIME": "時間切れだ！"
"DLC2_M01_OBJ_ESCAPE_NG": "[format][color:location]警備隊[/format]から逃げろ"
