"COMMUNITY_SUCCESS_LINK_EXT": "浄占ЬぉをよぃをIDŤTHQ IDЩらをぎГ〈•ЕН"
"PS3_NO_SPACE_TO_SAVE_NEW_GAME": "扱脱ずゝふてゝぞ『ポ延З々ЩЭHDDЬ田Ů埋趣Ť規。•Й』"
"BTN_LTHUMB_TXT": "猟ほぞを"
"DPAD_UP_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_u][/format]"
"PLT_PRESENCE_SPACTIVITY": "%ls『ぶるぃギð\nぁぎづあひづあ雷%ls"
"MAIN_MENU_PRIVILEGE_DENIED": "脳窃嬢障余迫Щ　。ðぉをよぃをごゝひじЭ殺偉ЩШСФĚ•З"
"MULTI_LOST_CONNECTION": "ぬぢでゎゝぎぇよゝŤ潮液Е•ЕНñ\nむぃをむなやゝЩ弟。•З"
"PS3_NO_SPACE_TO_AUTOSAVE": "HDDЬ田Ů埋趣Ťォ規ЕФĚ•Зñずゝふてゝぞ症浮『考》ИЩ矛考З々Цð扱脱Щずゝふ『考ŃБЦŤХŮШŻШ。•З"
"SAVING_CONTENT_BODY": "PlayStation[image:registered]3揃ペЬ遮概『会、ШĚХŻОГĚ"
"PLT_PRESS_START": "[format][scale:1.4][image:ui_ctrl_ps3_btn_start][/format]『御ЕФŻОГĚ"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "ずゝふ『固ザЗ々ЬЩ儀休Ш田Ů埋趣ŤHDDЩĎ。•Й』"
"MPPreGame": "ぽりだぶるぃゃゝЬけゝみれひゝХЗ"
"PS3_INVITE_TEXT": "けゝみ‚Ь心専『写ЁФĚ•З"
"BTN_Y_TXT": "猟ほぞを"
"PS3_AUTOSAVE_WARNING": "揃けゝみЭけゝみギŚ　–ずゝふ射Щ\nゅゝさゝぶれぴあゝり『ぉゝでずゝふЕ•Зñ\nHDDぁぎずじよをぶЬ殊標ギЭ揃ペЬ遮概『会、ШĚХŻОГĚ"
"SIGN_IN_AUTOSAVE_PROMPT": "揃けゝみЭぉゝでずゝふ日答『ミ混Е•Зñ\nずゝふЗ々ЩЭðぶれぴあゝりЩごぃをぃをЗ々尻脈ŤĎ。•З"
"SYSTEM_LOGIN_ERROR": "ごぃをぃをХŮ•Й』ХЕН"
"PLT_PRESENCE_WHOREDMODE_MENU": "%ls『ぶるぃギð\n億ダ会。めゝと"
"PLT_PRESENCE_SINGLE_PLAYER": "ざをくりぶるぃゃゝ"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "扱НШずゝふてゝぞ『ポ延З々ЬЩ尻脈Ш%dKB Ь田Ů埋趣ŤHDDЩĎ。•Й』ñ\nБЬ••矛考ЕФ″けゝみ『ずゝふХŮ•Й』ñ\n矛考Е•ЗŠ需"
"MAINMENU_SYSLINK": "LANぶるぃ"
"PS3_NO_SPACE_START_ANYWAY": "ずゝふЕШĚХ矛考"
"PS3_FRIEND_IN_WHORED_MODE": "億ダ会。めゝと"
"CHAT_DISABLED": "脳窃嬢障余迫Щ　。ðぉをよぃをだもぢで日答Ť殺偉ЩШСФĚ•З"
"PS3_SAVE_SELECTION_MANAGE_MEMORY": "ずゝふてゝぞ症浮"
"DPAD_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_n][/format]"
"DPAD_DOWN_TXT": "猟ほぞを"
"PS3_DISK_EJECT": "揃けゝみЬてあじぎ『二〈焉ЕФŻОГĚ"
"CTRL_DISCONNECT_TITLE": "げをでれゝよЬ悟矛Ť会扮Г〈•ЕН"
"OPT_CONTROL_OVERRIDE_FEEDBACK_TEXT": "ぶれぴあゝりЬロダ興園Х思健『掘偉ЩЕФŻОГĚ"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "ぶれぴあゝり『脚々"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "LANぶるぃЬけゝみ『文盗ЕФĚ•З..."
"DPAD_LEFT_TXT": "猟ほぞを"
"DPAD_RIGHT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_r][/format]"
"USER_CONTENT_PRIV_DENIED": "脳窃嬢障余迫Щ　。ðБЬげをづをっЩぁぎずじЗ々БЦŤХŮ•Й』"
"MULTI_MATCHMAKING": "ぽぢだむぃがをく"
"BTN_B_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_circle][/format]"
"COMMUNITY_EXISTING_FOUND_TEXT": "抜ЩБЬぉをよぃをIDЩらをぎГ〈НTHQ IDŤĎ。•Зñ抜回ЬぁおぅをでХれくぃをЕФŻОГĚ"
"PLT_PRESENCE_WHOREDMODE_GAMEPLAY": "%ls『ぶるぃギð\n億ダ会。めゝと雷%ls"
"HUD_DROP_ITEM_MESSAGE": "%ls『強憾З"
"ANALOG_LS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_l][/format]"
"BTN_RTHUMB_TXT": "猟ほぞを"
"BTN_X_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_square][/format]"
"MAINMENU_SYSLINK_TITLE": "LAN"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%ls『忙Ń"
"BTN_BACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_select][/format]"
"DPAD_LR_TXT": "批到がゝ好/分"
"NOT_LOGGED_IN": "БЬ日答『体混З々ЩЭðPlayStation[image:registered]Network ЩごぃをぃをЗ々尻脈ŤĎ。•З"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "HDDŤミ混ォ出答ЬН′\nずゝふЩ吹我Е•ЕН"
"HUD_PICKUP_UNNAMED_OBJECT": "忙Ń"
"PS3_FREE_HDD_SPACE": "HDDЬ田Ů埋趣Ťォ規ЕФĚ•З\nてゝぞ『ポ延З々ЩЭð授ヘХ″%dMBЬ田Ů埋趣Ť尻脈ХЗñ\nけゝみ『相ザЕð尻脈Ш田Ů埋趣『狂ョЕФŻОГĚ"
"MP_NO_MULT_PLAYERS": "判ァ揃ペェХЬ脂戻ダぶるぃЩЭ填屈ЕФŚ。•Й』"
"STATS_CORRUPT_BODY": "ぶるぃてゝぞŤ犯慈ЕФĚ々Н′らずぢでГ〈•З"
"PS3_NO_SPACE_MANAGE_MEMORY": "ずゝふてゝぞ症浮"
"CONTROL_R_STICK": "分じづあぢぎ"
"PLT_PRESENCE_BASICSP": "%ls『ぶるぃギ"
"HUD_REPLACE_BLANK_WITH_BLANK_DUAL_WIELD_MESSAGE": "ガ強応ПЬ%ls『ガ強応ПЬ%lsЦゾ愉З々"
"HUD_PICK_UP_MESSAGE": "%ls『忙Ń"
"TUT_TITLE_PS3_SIXAXIS": "[color:yellow]めゝざゆをずをごゝ"
"SAVELOAD_LOG_IN_CONFIRM_EXPOSITION": "ぶれぴあゝりХごぃをぃをЗ々Ц浄占Ь警考油札Э吹》〈•З"
"PLT_PRESENCE_SPMISSION": "%ls『ぶるぃギð\nまぢざゆを雷%ls"
"PLT_PRESENCE_COOP": "元倉ぶるぃ"
"DPAD_TXT": "批到がゝ"
"DPAD_DOWN_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_d][/format]"
"MUST_LOG_IN_CONFIRM": "БЬ日答『体混З々ЩЭðPlayStation[image:registered]Network ЩごぃをぃをЗ々尻脈ŤĎ。•ЗñごぃをぃをЕ•ЗŠ需"
"BTN_B_TXT": "猟ほぞを"
"HUD_DUAL_WIELD_MESSAGE": "%ls『ガ強Щ応Т"
"PS3_HDD_ERROR": "けゝみてゝぞŤ犯慈ЕФĚ•Зñけゝみ『相ザЕðБЬけゝみてゝぞ『価追ЕФŻОГĚñ\nぇよゝ雷0x%08x"
"ANALOG_RS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_l][/format]"
"DPAD_RIGHT_TXT": "猟ほぞを"
"COOP_REMOTE_CHEAT_STARTING": "元倉ぶるぃЬばゝでどゝŤだゝで『ミ混ЕФĚ々Н′ð扱НЩポ延Г〈々З“ФЬずゝふてゝぞХだゝでŤ掘偉ЩШ。•Зñ\nぉゝでずゝふ日答Э殺偉ЩШ。•Зñ\nБ〈ナェでれぴあゝ『洋尋З々БЦЭХŮ•Й』"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "ĎШНЬPlayStation[image:registered]NetworkぁおぅをでЭTHQ IDЦらをぎГ〈ФĚ•Й』"
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "浄占ごぃをぃをЕФĚ•Й』ñ\nごぃをぃをЕ•ЗŠ需"
"BTN_BACK_TXT": "猟ほぞを"
"DPAD_LR_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_dpad_lr][/format]"
"BTN_RTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_r3][/format]"
"BTN_X_TXT": "猟ほぞを"
