"MP_CANCEL_JOIN": "STORNO"
"COOP_CANT_JOIN_YET_PROLOGUE": "Jestli se má %ls připojit teď hned, musíš misi restartovat. Tím přijdeš o veškerý postup v misi od záchytného bodu.\nPokračovat v připojení?"
"MULTI_ERROR_SESSION_ERROR": "Nepodařilo se ti připojit se ke hře."
"HASH_59B4B8D2": "%ls opustil hru"
"INVITE_FAILED_TITLE": "POZVÁNÍ DO HRY SELHALO"
"MULTI_NO_ETHERNET": "Došlo k chybě síťového spojení.\nNávrat do hlavní nabídky."
"COOP_DISCONNECTED_FROM_SERVER": "Server tě odpojil, takže se musíš vrátit do hlavní nabídky.\nChceš si před ukončením úrovně uložit aktuální postup?"
"MULTI_ERROR_NO_JOIN_INFO": "Nepodařilo se ti připojit se ke hře."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "ULOŽIT A UKONČIT HRU"
"COOP_KICKED": "Vyloučili tě ze hry!"
"MP_JOIN_DENY": "ZAMÍTNOUT"
"MP_JOIN_ACCEPT": "POVOLIT"
"LIVE_PLAYER_LEFT": "%ls OPUSTIL HRU"
"COOP_HOST_BUSY": "Hostitel je zaneprázdněn a chce, abys počkal..."
"COOP_WAIT": "Prosím čekej..."
"COOP_CREATE_NEW_TEXT": "VYTVOŘIT NOVÉ"
"MULTI_JOIN_DELAY_MSG": "Ve hře, ke které se pokoušíš připojit, právě probíhá aktivita, mise nebo pevnost.\nBude se k ní možné přidat, teprve až tento režim skončí."
"MP_FIND_SERVER_BODY": "Hledá se hra."
"COOP_MAY_HAVE_DROPPED": "NOVÉ PŘIPOJOVÁNÍ: %ls"
"MULTI_ERROR_SESSION_FULL": "Hra právě probíhá nebo je plná."
"MULTI_CHAT_DISABLED": "ŽÁDNÝ CHAT"
"MULTI_ONLINE_RESTRICTED_TITLE": "NENÍ ONLINE"
"MULTI_LOST_CONNECTION_SYS": "Došlo k chybě síťového spojení.\nNávrat do hlavní nabídky."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "ULOŽIT A POKRAČOVAT"
"MP_WINNERS_YOU_LOSE": "PROHRÁVÁŠ"
"MP_DISCONNECT_HOST_LEFT": "Hostitel opustil hru.\nMusíš se vrátit do hlavní nabídky."
"MP_INVITE_SENDING": "Odesílání pozvání..."
"MP_INVITE_SENT_BODY": "{0} obdržel tvé pozvání ke hře.   "
"MULTI_NOT_SIGNED_IN": "Pokud chceš využít tuto funkci, musíš se přihlásit k hernímu profilu."
"INVITE_FAILED_BODY": "{0} nemůže dostat pozvání - nelze je odeslat."
"MULTI_NOT_SIGNED_IN_PS3": "Pokud chceš využít tuto funkci, musíš se přihlásit k profilu."
