"MP_CANCEL_JOIN": "キャンセル"
"COOP_LOAD_TITLE_TEXT": "キャラクターをロードする"
"MULTI_ERROR_INTERNAL_ERROR": "ゲームから切断されました"
"COOP_JOIN_IN_PROGRESS": "%ls\nがゲームに参加しています"
"COOP_INCORRECT_MODE": "正しくないモード"
"MULTI_JOIN_FRIEND": "フレンドに合流する"
"MULTI_CONNECTION_LOST_PS3": "接続エラーが発生しました。\nメインメニューに戻ります"
"MULTI_CHAT_DISABLED_TITLE": "オンライン不可"
"MP_WINNERS_YOU_WIN": "お前の勝ちだ"
"MULTI_FIND_GAMES": "ゲームを探す"
"MULTI_MENU_TITLE": "マルチプレイヤー"
"COOP_TITLE": "協力プレイ"
"COOP_JOIN_REQUEST_TITLE": "参加リクエスト"
"COOP_FREINDLY_FIRE_OFF": "味方への攻撃が無効になった！\nパートナーにダメージを与えることはできない"
"COOP_PARTNER_DISCONNECTED": "%ls\nへの接続が切断しました"
"MP_JOIN_SERVER_TITLE": "サーバーに接続中"
"COOP_JOIN_REQUEST_MSG": "%ls\nがゲームへの参加を希望しています。\n許可しますか？"
"COOP_CANT_JOIN_YET_CUTSCENE": "カットシーンを再生中のため%lsはゲームに参加できません。\n通常モードに戻った後に参加します"
"COOP_REMOTE_CHEAT_KICK": "プレイヤーを排除してゲームを続行"
"COOP_WAIT_FOR_ANYONE": "プレイヤーを待つ"
"COOP_LOAD_OLD_TEXT": "ロード"
"COOP_CANT_JOIN_YET_PROLOGUE": "%lsを参加させるにはこのミッションを最初からリスタートする必要があります。リスタートすると現在までのミッション進行状況は失われます。\n接続しますか？"
"MULTI_ERROR_SESSION_ERROR": "ゲームに参加できませんでした"
"HASH_59B4B8D2": "%ls\nはゲームを去りました"
"INVITE_FAILED_TITLE": "ゲームへの招待失敗"
"MULTI_NO_ETHERNET": "ネットワーク接続にエラーが発生しました。\nメインメニューに戻ります"
"COOP_DISCONNECTED_FROM_SERVER": "ホストから切断されたためメインメニューに戻ります。\n終了する前にセーブしますか？"
"MULTI_ERROR_NO_JOIN_INFO": "ゲームに参加できませんでした"
"COOP_REMOTE_CHEAT_SAVE_QUIT": "保存してゲームを終了"
"COOP_KICKED": "ゲームから追放されました！"
"MP_JOIN_DENY": "拒否"
"MP_JOIN_ACCEPT": "承諾"
"LIVE_PLAYER_LEFT": "%ls\nはゲームを去りました"
"COOP_HOST_BUSY": "ホストはビジー状態です。\nしばらくお待ちください..."
"COOP_WAIT": "お待ちください..."
"COOP_CREATE_NEW_TEXT": "新規作成"
"MULTI_JOIN_DELAY_MSG": "参加しようとしているゲームはアクティビティ、ミッションもしくは拠点をプレイ中です。\n現在のモードが終了した後、ゲームに参加できます"
"MP_FIND_SERVER_BODY": "マッチメイキング中です"
"COOP_MAY_HAVE_DROPPED": "%ls\nに再接続しています"
"MULTI_ERROR_SESSION_FULL": "このゲームは進行中か、もしくは定員に達しています"
"MULTI_CHAT_DISABLED": "チャット不可"
"MULTI_ONLINE_RESTRICTED_TITLE": "オンライン不可"
"MULTI_LOST_CONNECTION_SYS": "接続エラーが発生しました。\nメインメニューに戻ります"
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "保存してゲームを続行"
"MP_WINNERS_YOU_LOSE": "お前の負けだ"
"MP_DISCONNECT_HOST_LEFT": "ゲームセッションからホストが退出しました。\nメインメニューに戻ってください"
"MP_INVITE_SENDING": "ゲームに招待しています..."
"MP_INVITE_SENT_BODY": "{0}\nへゲームへの招待を送りました  "
"MULTI_NOT_SIGNED_IN": "この機能を利用するにはゲーマー プロフィールに\nサインインしておく必要があります"
"INVITE_FAILED_BODY": "{0}\nをゲームへ招待できませんでした"
"MULTI_NOT_SIGNED_IN_PS3": "この機能を利用するにはプロフィールにサインインしておく必要があります"
