"COMMUNITY_SUCCESS_LINK_EXT": "現在のオンラインIDがTHQ IDにリンクされました"
"MAIN_MENU_PRIVILEGE_DENIED": "視聴年齢制限により、PlayStation™Networkのアカウントのオンラインサービスが無効化されています。"
"MULTI_LOST_CONNECTION": "ネットワークエラーが発生しました。\nメインメニューに戻ります"
"PS3_NO_SPACE_TO_AUTOSAVE": "HDDの空き容量が不足しています。セーブデータ管理を行わずに続行すると、新規にセーブを行うことができなくなります"
"M17_ERROR_SCREEN_CONTINUE_MSG": "真のゲームはこれからだ。\n\n続行するにはいずれかのボタンを押してください"
"SAVING_CONTENT_BODY": "PlayStation®5の電源を切らないでください。"
"PLT_PRESS_START": "[format][scale:2][image:uhd_ui_ps4_ctrl-cross][/format]を押してください"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "セーブを完了するのに十分な空き容量が本体ストレージにありません。"
"MPPreGame": "マルチプレイヤーのゲームロビーです"
"PS3_INVITE_TEXT": "ゲームへの招待を受けています"
"BTN_Y_TXT": "○ボタン"
"PS3_AUTOSAVE_WARNING": "本ゲームはゲーム中およびセーブ後に\nユーザープロフィールをオートセーブします。\nHDDアクセスランプの点滅中は本体の電源を切らないでください"
"SIGN_IN_AUTOSAVE_PROMPT": "本ゲームはオートセーブ機能を使用します。\nセーブするには、プロフィールにサインインする必要があります"
"SYSTEM_LOGIN_ERROR": "サインインできませんでした "
"PLT_PRESENCE_WHOREDMODE_MENU": "%lsをプレイ中、\n千人切りモード"
"PLT_PRESENCE_SINGLE_PLAYER": "シングルプレイヤー"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "新たなセーブデータを作成するのに必要な%dKB の空き容量がHDDにありません。\nこのまま続行してもゲームをセーブできません。\n続行しますか？"
"MAINMENU_SYSLINK": "LANプレイ"
"PS3_NO_SPACE_START_ANYWAY": "セーブしないで続行"
"HASH_CEEBE1B1": "パーティが招待を受ける前に、Co-opゲームセッションを作成する必要があります"
"PS3_FRIEND_IN_WHORED_MODE": "千人切りモード"
"CHAT_DISABLED": "視聴年齢制限により、オンラインチャット機能が無効になっています "
"PS3_SAVE_SELECTION_MANAGE_MEMORY": "セーブデータ管理"
"TUT_TITLE_SPRINT": "スペシャルボタン"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "○ボタン"
"PS3_DISK_EJECT": "本ゲームのディスクを入れ直してください"
"HUD_ZOMBIE_BITE_ESCAPE": "なんでもいいからボタンを連打して逃げろ！"
"CTRL_DISCONNECT_TITLE": "ワイヤレスコントローラーの接続が切断されました"
"OPT_CONTROL_OVERRIDE_FEEDBACK_TEXT": "プロフィールの個人設定で振動を有効にしてください"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "プロフィールを見る"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "LANプレイのゲームを検索しています..."
"DPAD_LEFT_TXT": "○ボタン"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad-r][/format]"
"HASH_45FC7D55": "PlayStation™Network に接続していません。オンラインの協力プレイはできなくなります。"
"USER_CONTENT_PRIV_DENIED": "視聴年齢制限により、このコンテンツにアクセスすることができません"
"MULTI_MATCHMAKING": "マッチメイキング"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-circle][/format]"
"HASH_5BB42356": "このセーブデータは破損しているため使用できません"
"COMMUNITY_EXISTING_FOUND_TEXT": "既にこのオンラインIDにリンクされたTHQ IDがあります。既存のアカウントでログインしてください"
"PLT_PRESENCE_WHOREDMODE_GAMEPLAY": "%lsをプレイ中、\n千人切りモード：%ls"
"HUD_DROP_ITEM_MESSAGE": "%lsを手放す"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-stick_l][/format]"
"BTN_RTHUMB_TXT": "○ボタン"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-square][/format]"
"HASH_981A9D77": "ゲームが最新バージョンではありません。オンラインプレイするには、ゲームをアップデートしてください。"
"MAINMENU_SYSLINK_TITLE": "LAN"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%lsを拾う"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-trackpad][/format]"
"DPAD_LR_TXT": "方向キー左/右"
"TUT_SPRINT": "{SPRINT_IMG}ダッシュ\nダッシュとアクションを組み合わせるとカッコイイ変化が起こる。ダッシュしながらいろいろなボタンを押してスーパーアクションを発見しろ！"
"NOT_LOGGED_IN": "この機能を利用するには、PlayStation™Network にサインインする必要があります"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "HDDが使用不可能のため\nセーブに失敗しました"
"HUD_PICKUP_UNNAMED_OBJECT": "拾う"
"PS3_FREE_HDD_SPACE": "HDDの空き容量が不足しています\nデータを作成するには、最低でも%dMBの空き容量が必要です。\nゲームを終了し、必要な空き容量を確保してください"
"CONTROLS_FORCE_FEED": "振動"
"MP_NO_MULT_PLAYERS": "同一本体上での複数人プレイには対応しておりません"
"STATS_CORRUPT_BODY": "プレイデータが破損しているためリセットされます"
"PS3_NO_SPACE_MANAGE_MEMORY": "セーブデータ管理"
"TUT_COMBAT_MELEE_2": "攻撃（強）中に表示されるボタンを押すとダメージと獲得リスペクトを増やせる"
"HUD_CRUISE_CONTROL_NO_BUTTON": "クルーズコントロール"
"CONTROL_R_STICK": "右スティック"
"PLT_PRESENCE_BASICSP": "%lsをプレイ中"
"HUD_REPLACE_BLANK_WITH_BLANK_DUAL_WIELD_MESSAGE": "両手持ちの%lsを両手持ちの%lsと交換する"
"HUD_PICK_UP_MESSAGE": "%lsを拾う"
"TUT_TITLE_PS3_SIXAXIS": "[color:yellow]モーションセンサー"
"SAVELOAD_LOG_IN_CONFIRM_EXPOSITION": "プロフィールでサインインすると現在の進行状況は失われます"
"PLT_PRESENCE_SPMISSION": "%lsをプレイ中、\nミッション：%ls"
"PLT_PRESENCE_COOP": "協力プレイ"
"DPAD_TXT": "方向キー"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad-d][/format]"
"MUST_LOG_IN_CONFIRM": "この機能を利用するには、PlayStation™Network にサインインする必要があります。サインインしますか？"
"BTN_B_TXT": "○ボタン"
"HUD_DUAL_WIELD_MESSAGE": "%lsを両手に持つ"
"PS3_HDD_ERROR": "ゲームデータが破損しています。ゲームを終了し、このゲームデータを削除してください。\nエラー：0x%08x"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "○ボタン"
"COOP_REMOTE_CHEAT_STARTING": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上トロフィーを獲得することはできません"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "あなたのPlayStation™NetworkアカウントはTHQ IDとリンクされていません"
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "現在サインインしていません。\nサインインしますか？"
"BTN_BACK_TXT": "○ボタン"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad-rl][/format]"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-stick_r-d][/format]"
"BTN_X_TXT": "○ボタン"
