"ACT_WHORED_Z_AGRIZOOPHOBIA": "To spory problem."
"ACT_GUARDIAN_ANGEL_FAIL": "PODOPIECZNY ZGINĄŁ! UWAŻAJ NA IKONĘ NAD JEGO GŁOWĄ - INFORMUJE CIĘ ONA O STANIE JEGO ZDROWIA"
"ACT_VANDAL_COP": "GLINIARZ"
"ACT_TRAFFIC_BUYER_DEAD": "NABYWCA NIE ŻYJE"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "ŻYCIE GWIAZDY"
"ACT_FRAUD_BONUS_AIR_TIME": "PREMIA ZA LOT"
"ACT_ESCORT_IRS_SPAWNED": "UCIEKNIJ [format][color:red]URZĘDNIKOM PODATKOWYM[/format]"
"ACT_WHORED_Z_HORS_DOE": "Kto nie lubi tych malutkich kiełbasek?"
"COMBO_BREAKER_TEXT": "PRZERWANIE KOMBO"
"ACT_VANDALISM_COMBO_JUST_COMBO": "KOMBO:"
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "TO PUŁAPKA! ZABIJ WSZYSTKICH [format][color:red]CZŁONKÓW JUTRZENKI[/format] PRZED ZWERBOWANIEM [format][color:green]DZIWEK[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]KLIENT[/format] ZAŻYCZYŁ SOBIE OD STRIPTIZERKI WYSTĘPNEGO WYSTĘPU"
"ACT_WHORED_Z_10_CENTS": "Zbierz te puszki."
"ACT_WHORED_D_COUNTING_CALS": "Napoje energetyczne mogą cię zabić."
"ACT_WHORED_D_SANGENTS": "Walcz z tajnymi agentami."
"ACT_WHORED_GIMPS_FAIL": "To ty masz je karać."
"ACT_WHORED_MINIGUNBRUTE": "Nadciągają brutale z działkami!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "DOSTAJESZ PREMIĘ ZA TO, ŻE NISZCZYSZ [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "PREMIA: NISZCZ %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Uzyskano dodatkowe sekundy!"
"ACT_WHORED_A_4TH_JULY": "Wybuchy. Wóda. To narodowa rozrywka."
"ACT_WHORED_MINICANS_FAIL": "Idziesz do odzysku."
"CHOP_STYLISH_1_RIMS": "STYLOWE FELGI 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "SAMOCHODY SPORTOWE"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]WÓZ TWOJEGO ZIOMALA[/format] JEST PRAWIE ZNISZCZONY"
"ACT_WHORED_HOBO_SHOTGUN": "Trzeba im było dać więcej drobnych..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "KOMBO:"
"ACT_FRAUD_GOAL": "ZARÓB %ls PRZED UPŁYWEM CZASU"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Potrzebne samochody zostały wskazane."
"CELL_PHONE_MUST_ADD_VEHICLES": "Nie masz pojazdów, które ziomal mógłby ci przyprowadzić z garażu. Zaparkuj pojazdy w garażu swojej chaty, aby były dostępne."
"ACT_WHORED_Z_KIRBY": "Wyślij ich do krainy snu."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "WRACAJ DO CELÓW!"
"CHOP_RETRO_SPOILER": "SPOJLER RETRO"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Kilku [format][color:green]Świętych[/format] znalazło się pod ostrzałem. Pomóż im odeprzeć [format][color:red]napastników[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Uciekające zombie."
"MISSION_FAILURE_PARTNER_DIED": "TWÓJ PARTNER NIE ŻYJE"
"ACT_EARNED_RESPECT_AND_MONEY": "Zarabiasz %d szacunu i %d kasy!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "Nie zarobisz na zabijaniu %ls."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "ZNISZCZ [format][color:red]SAMOLOT[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "DALEJ ODWRACAJ UWAGĘ TYGRYSA!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "To nie ten anioł śmierci..."
"ACT_WHORED_BRUTEBOOM": "Zepchnij ich w przepaść."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "TWÓJ CZAS UPŁYNĄŁ, ZANIM DOTARŁEŚ DO WYJŚCIA. TWÓJ ZAKŁAD NA %ls PRZEPADŁ."
"ACT_RUNNING_MAN_COMBO_TOTAL": "ŁĄCZNE KOMBO: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "CZEKANIE NA GOSPODARZA"
"GAME_COMBO_TEXT": "KOMBO: "
"ACT_HELI_BOAT_DELIVER_TEXT": "DOSTARCZ NARKOTYKI Z ŁODZI DO ZIOMALI"
"HASH_6A207813": "OKOLICA ODZYSKANA"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "ZABIERZ [format][color:green]KLIENTA[/format] DO [format][color:teal]KINA XXX[/format]"
"ACTIVITY_COMPLETED": "UKOŃCZONA"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Ależ to brutalne."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "UKOŃCZ WSZYSTKIE ZADANIA W LICZBIE: %d"
"ACT_FRAUD_BONUS_VEHICLE": "PREMIA ZA TRAFIENIE POJAZDU"
"ACT_ESCORT_CAR_SWITCH_MSG": "TEN SAMOCHÓD TO GRUCHOT, ZDOBĄDŹ NOWY W [format][color:teal]KLUBIE ZE STRIPTIZEM[/format]"
"ACT_WHORED_D_CANGELS": "Chcą trafić do twojego serca."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "OCHRANIAJ SWOICH [format][color:green]ZIOMÓW[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "ŁĄCZNE KOMBO"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Rekord odległości przy wyłudzaniu: %.2f st."
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "PREMIA ZA SUV"
"ACT_VANDAL_BONUS_TEAM": "ŁĄCZNA PREMIA"
"ACT_TRAFFIC_DEAL_SUCCESS": "TRANSAKCJA ZAKOŃCZONA. UDAJ SIĘ W NASTĘPNE [format][color:teal]MIEJSCE[/format]."
"ACT_TORCH_START_TEXT3": "ZDOBYWAJ DODATKOWY CZAS, PRZEKRACZAJĄC PUNKTY KONTROLNE"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "ZGINĘŁO ZBYT WIELE KONTAKTÓW, WERBUJ ICH {RECRUIT_DISMISS_IMG}, A POTEM SZYBKO UCIEKAJ"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "%s czekają na transport broni, który znajduje się właśnie na autostradzie. Zniszcz [format][color:red]ciężarówki[/format], zanim dotrą do celu."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "Lista samochodów znajduje się w menu pauzy."
"ACT_WHORED_BIG_FAIL": "Może nie dość silny..."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Wyjście odblokowane!\n Możesz zostać, żeby zgarnąć więcej szmalu, albo się stąd zmyć!"
"ACT_ESCORT_TIGER_ATTACK": "TYGRYS UDERZA W KIEROWNICĘ"
"ACTIVITY_NAME_TANK_MAYHEM": "PANCERNY CHAOS"
"ACT_TANK_MAYHEM_COMBO_GSI": "KOMBO"
"CHOPSHOP_VEHICLES": "POJAZDY"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "PRZEKROCZ WSZYSTKIE [format][color:teal]PUNKTY KONTROLNE[/format] PRZED UPŁYWEM CZASU"
"ACT_ESCORT_CALM_TIGER": "USPOKÓJ TYGRYSA"
"ACT_TANK_MAYHEM_FAIL": "KORZYSTAJ Z KOMBINACJI, BY ZWIĘKSZAĆ WYNIK, I STACJI NAPRAWCZYCH, ŻEBY UTRZYMAĆ SIĘ PRZY ŻYCIU"
"STRONGHOLD_SUCCESS_SUB_TEXT": "FORTECA UKOŃCZONA"
"ACT_ZOMBIE_SURVIVOR_DEAD": "OCALAŁA OSOBA NIE ŻYJE"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "PREMIA ZA MOTOCYKLE"
"ACT_FRAUD_TOTAL_LAST_HIT": "SUMA Z OSTATNIEGO TRAFIENIA"
"ACT_ESCORT_FAST_MSG": "[format][color:green]KLIENT[/format] ŻYCZY SOBIE JAZDY Z PRĘDKOŚCIĄ 55 MIL/H PRZEZ %d SEK."
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Kiedy cię ugryzą, nie ma już odwrotu."
"ACT_WHORED_GRENADIERS_FAIL": "Nie próbuj ich łapać."
"ACT_WHORED_SWAG_BAG": "Na konwentach furry zawsze jest ciekawy towar do zgarnięcia."
"MISSION_FAILURE_CANCEL_TEXT": "MISJA ANULOWANA"
"ACT_HITMAN_NAME": "ZABÓJCA"
"ACT_ESCORT_TIGER_NAME": "ESKORTOWANIE TYGRYSA"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "ROZGRZEJ ATMOSFERĘ, PRZESUWAJĄC {ANALOG_RS_IMG} W GORĄCE MIEJSCE"
"ACT_ZOMBIE_TITLE": "WYBÓR POZIOMU ZOMBIE"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "DILER ZOSTANIE ARESZTOWANY ZA 10 SEKUND!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "HELIKOPTER JEST PEŁNY, ZABIERZ PASAŻERÓW W [format][color:blue]BEZPIECZNE MIEJSCE[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Napastnik zbliża się [format][color:red]pod[/format]nami."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "UCIEKNIJ [format][color:red]WKURZONEMU KLIENTOWI[/format]"
"ACT_WHORED_D_31DAYS": "Przeżyj apokalipsę zombie."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Takie wielkie, takie wściekłe, takie nieumarłe."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "NAJWYŻSZY WYNIK:"
"ACT_HELI_NEWS_VAN_KILL_TEXT": "ZNISZCZ WOZY REPORTERSKIE"
"ACT_TRAFFICKING_TITLE": "WYBÓR POZIOMU HANDLU NARKOTYKAMI"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "ZATRZYMAJ [format][color:red]POJAZD[/format] I WYPROWADŹ [format][color:green]KONTAKT[/format]"
"ACT_PIMPING_CONTACT_OBJECTIVE": "URATUJ I SPROWADŹ Z POWROTEM %d KONTAKTÓW KINZIE"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "JEDŹ SZYBKO, ŻEBY TYGRYS BYŁ ZADOWOLONY, PODCZAS GDY TY NABIERASZ ODWAGI."
"ACT_WHORED_A_MEAN_GIRLS": "Zawsze była tylko jedna królowa pszczół."
"ACT_WHORED_D_PORKCHOP": "SPIERDALAJ STĄD!"
"ACT_VANDAL_BONUS_COMBO_MULT": "PREMIA ZA KOMBO"
"ACT_FRAUD_START": ", BY ROZPOCZĄĆ GRĘ W PRZEKRĘT Z UBEZPIECZENIEM"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]NABYWCA[/format] ZMYŁ SIĘ BEZ PŁACENIA. ZABIJ GO."
"ACT_FRAUD_BONUS_WITNESS": "PREMIA ZA PRZECHODNIÓW ŚWIADKÓW"
"ACT_ESCORT_ESCORTING_MSG": "JEŹDŹ TU I TAM, NIECH [format][color:green]KLIENT[/format] MA TROCHĘ ZABAWY"
"ACT_WHORED_D_YKANO": "3. 2. 1. Jedziemy..."
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "ZGARNĘLI CI PARTNERA"
"GAMEPLAY_PASSED_OUT": "Dobranoc, stary."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Wracaj do: %ls!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "TWOI [format][color:green]ZIOMALE[/format] IDĄ ZAŁATWIAĆ INTERESY, CHROŃ ICH PRZED NAPASTNIKAMI"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "W bryce twoich [format][color:green]ziomali[/format] skończyło się paliwo. Zwerbuj ich i zabierz do [format][color:teal]domu[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "PREMIA ZA SURFING NA SAMOCHODACH"
"ACT_ESCORT_STOP_MSG": "ZATRZYMAJ SIĘ NA %d SEK."
"ACT_WHORED_A_END": "Gry są sztuką."
"ACT_WHORED_DILDO": "Nie trzeba być dziwką, by być profesjonalistą."
"HORDE_LEVEL_ANGELS": "KASYNO ANGELA"
"ACTIVITY_NAME_MAYHEM": "CHAOS"
"CTS_MESSAGE_GO_FRONT_DOOR": "IŚĆ DO DRZWI FRONTOWYCH"
"ACT_ESCORT_START": ", BY ROZPOCZĄĆ GRĘ W ESKORTĘ"
"CHOP_HOT_ROD_HOOD": "MASKA DO HOT RODA"
"ACT_TRAFFIC_OBJECTIVE_1": "OCHRANIAJ [format][color:green]DILERA[/format] PODCZAS PRZEPROWADZANIA TRANSAKCJI"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "TWOI ZIOMALE NIE ŻYJĄ"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "STRIPTIZERKA JEST ZMĘCZONA, WEŹ NOWĄ DZIEWCZYNĘ I NOWY SAMOCHÓD Z [format][color:teal]KLUBU ZE STRIPTIZEM[/format]"
"ACT_WHORED_Z_RITA": "NIECH MÓJ POTWÓR UROŚNIE!"
"ACT_WHORED_D_LILLIPUTIANS": "Drobne problemy wymagają wielkich rozwiązań."
"ACT_RUNNING_MAN_START": "ROZPOCZNIJ S.E.R.C. PROFESORA GENKI"
"ACTIVITY_NAME_FRAUD": "PRZEKRĘT"
"ACT_ZOMBIE_CANT_REVIVE": "Potrzebujesz co najmniej 1 rzeczy do jedzenia, by kogoś ożywić!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "ULUBIONY CEL"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG}, BY WERBOWAĆ [format][color:green]DZIWKI[/format]"
"ACT_FRAUD_BONUS_DONE": "PRZEJDŹ DO KOLEJNEGO [format][color:teal]OBSZARU PREMIOWEGO[/format]"
"HASH_96FF1F21": "[format][color:green]KLIENT[/format] JEST GŁODNY. ZATRZYMAJ SIĘ PRZY JAKIMŚ [format][color:teal]FAST FOODZIE[/format]"
"ACT_WHORED_D_BE_GUILED": "Gdzie jest Charlie, kiedy go potrzebujesz."
"ACT_WHORED_BRUTES": "Przysłać brutali!"
"ACT_WHORED_AYDIOSMIO": "Dwóch ludzi, dwa granatniki i armia miniaturowych Luchadores."
"ACT_WHORED_STARPOWER_FAIL": "Za dużo mocy."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "ANIOŁ STRÓŻ"
"ACT_TORCH_RACE_TARGETS": "ZABIJ [format][color:red]OZNACZONE CELE[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "WERBUJ [format][color:green]DZIWKI[/format] I ZAWOŹ JE DO [format][color:teal]ZIMOSA[/format]"
"HASH_F2632FA2": "ZABIERZ [format][color:green]KLIENTA[/format] DO [format][color:teal]SEX SHOPU[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "Cały gang tu jest."
"ACT_WHORED_D_ITSATRAP": "Ackbar uwielbia dziwki."
"ACT_WHORED_COMM_SERVICE_FAIL": "Pozwalasz, żeby napój wygrał."
"ACT_WHORED_GAT_ATTACK_FAIL": "Im większy jesteś, tym większe łup zrobisz, kiedy padniesz."
"ACT_WHORED_MINIZOMBIES_FAIL": "Są malutcy i martwi. O połowę mniej roboty..."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "OCZEKIWANIE, AŻ GOSPODARZ POSTAWI ZAKŁAD NA NASTĘPNĄ RUNDĘ"
"ACT_TANK_MAYHEM_START": "ROZPOCZNIJ GRĘ W PANCERNY CHAOS"
"GAMEPLAY_BUSTED": "ZGARNĘLI CIĘ!"
"ACT_VANDAL_SUMMARY_TOTAL": "ŁĄCZNIE"
"ACT_FRAUD_OBJECTIVE": "Zarób $%d za obrażenia, rzucając się w niebezpieczne miejsca, przed upływem czasu."
"ACT_WHORED_D_WEENIE_ROAST": "Rozpal ognisko."
"ACT_WHORED_STRIPPERS": "Lecą striptizerki!"
"ACT_WHORED_ROUND1_FAIL": "Co?! Na pierwszym etapie?"
"CONTROL_SELECT_LEVEL": "WYBÓR POZIOMU"
"ACT_TRAFFIC_DRIVER_LOST": "DILER ZOSTAŁ PORZUCONY."
"ACT_ESCORT_PLEASURE": "PRZYJEMNOŚĆ"
"ACT_ESCORT_KILL_MSG": "ZABIJ [format][color:red]CEL[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "Słowo bezpieczeństwa to \"au\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Potrzebujesz regeneracji zdrowia? Za moich czasów mieliśmy tylko apteczki!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "POJAZD DOSTARCZONY"
"CHOP_LUXERY_BODY_KIT": "LUKSUSOWA KAROSERIA"
"ACT_VANDAL_CAR_LUXURY_MSG": "SAMOCHODY LUKSUSOWE"
"ACT_ESCORT_FAIL_LEFT_CAR": "TWÓJ SAMOCHÓD ZOSTAŁ PRZEZ CIEBIE PORZUCONY"
"ACT_WHORED_A_GENKI_GAMES": "Czas na Superetyczne Wystrzałowe Eksplozje!"
"ACT_WHORED_BIG": "Jesteś większy, twardszy i silniejszy!"
"HORDE_CHARACTER_SUPER": "SUPER"
"ACT_TRAFFIC_OBJECTIVE_2": "[format][color:green]DILEROWI[/format] MUSI UDAĆ SIĘ PRZEPROWADZENIE %d TRANSAKCJI"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "Dorwali ją! Nie żyje."
"ACT_ESCORT_TRIP_MOTEL_MSG": "ZABIERZ [format][color:green]KLIENTA[/format] NA ZABAWĘ NA GODZINY W [format][color:teal]MOTELU[/format]"
"CHOP_MUSCLE_HOOD": "MASKA DO MUSCLECARA"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "ZABIŁEŚ JEDEN Z KONTAKTÓW"
"GARAGE_FULL": "TWÓJ GARAŻ JEST PEŁNY"
"ACT_WHORED_Z_HOW_ROMANTIC": "Rakiety są najlepszym przyjacielem dziewczyny."
"ACT_WHORED_A_EYE_BEHOLDER": "Nie pytaj jej, ile waży."
"YOU_VE_BEEN_CRITICALLY_HIT": "OTRZYMUJESZ KRYTYCZNE TRAFIENIE!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "FORTECA ANULOWANA"
"ACT_FRAUD_NAME": "PRZEKRĘT Z UBEZPIECZENIEM"
"ACT_FRAUD_GO_SCORING_AREA": "UDAJ SIĘ DO: [format][color:teal]%ls[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Walka na pięści to sztuka, którą trzeba opanować."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "POZOSTAŁO ZOMBIE:"
"ACT_TRAFFIC_CHASE_HELICOPTER": "TO [format][color:red]HELIKOPTER WIADOMOŚCI[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "POMOCNIK NIE ŻYJE"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Twojemu klientowi nie spodobało się bycie żywą tarczą."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "NIE POZWÓL REPORTEROM ZDOBYĆ MATERIAŁU"
"HASH_F32929A9": "ODPÓR UDANY"
"ACT_WHORED_Z_ONE_SIDED": "To naprawdę niesprawiedliwe."
"ACT_WHORED_ZOMBIESATV": "Zetrzyj ich na pył."
