"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_COMPLIMENT_X": "HANDEN HOOG"
"CUST_VARIANT_STYLE_B": "STIJL 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "SPACE PRINSES-LAARZEN"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0-BRIL"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MUZIEK JUNKIE"
"CUST_COLOR_GRAY_3": "GRIJS 3"
"CUST_VARIANT_FADE_UP_JEANS": "VERVAAGD"
"CUST_TATTOO": "TATOEAGE"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "OMVANG OOGBALLEN"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "DIEPTE VOORHOOFD"
"CUST_TATTOO_RARM_8": "EEN BEETJE VAN ALLES"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MAT"
"VEHICLE_PAINT_MATTE_MATERIAL": "MAT MATERIAAL"
"SLOT_GRILL_COLOR": "GRILLEKLEUR"
"SLOT_SIDE_MIRRORS": "ZIJSPIEGELS"
"SLOT_DECAL_2": "DECORATIE 2"
"CUST_VARIANT_BASIC": "STANDAARD"
"CUST_CAT_MAKEUP": "MAKE-UP"
"CUST_COLOR_CLOTHING_BLUES_2": "BLAUW 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ROODORANJE 4"
"VEHICLE_COLOR_MORPH_BROWN": "MODDERBRUIN"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STIJL 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "LADIES MAN"
"CUST_CAT_BACKPACK": "RUGZAK"
"STORE_WEAPON_LEVEL": "NIVEAU {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Verhoog de vuursnelheid en vergroot de magazijnen. Laservizier laat je nauwkeuriger vanaf de heup schieten."
"CUST_VARIANT_DIRTY": "SMERIG"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "NIGHTCLUB HEMD"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "URBAN SAFARI TANKTOP"
"CUST_FACIAL_ITEMS": "ITEMS"
"CUST_VARIANT_SMALL_HEARTS": "KLEINE HARTJES"
"CUST_VARIANT_GLOSSY": "GLANZEND"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "KOPJE KLEINER"
"CUST_EYE_COLOR": "KLEUR OGEN"
"CUST_COLOR_CLOTHING_GREENS_7": "GROEN 7"
"CUST_COMP_FACE_SCAR_3": "GROOT LITTEKEN 3"
"CUST_COLOR_BRUNETTE": "BRUNETTE"
"LOGO_MUSEUM_ART": "KUNSTMUSEUM"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI MET T-SHIRT"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "RAWK POLSBAND"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "ZINKGRIJS"
"CUST_VARIANT_BOWTIE": "NORMAAL"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "DEATHCORE-LAARZEN"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "SCHOON"
"CUST_WEAR_UNZIPPED_HOOD_UP": "OPENGERITST, CAPUCHON OP"
"cm_toilet": "TOILET"
"CUST_ITEM_BANK_HEIST": "BANKOVERVAL"
"CUST_MENU_GLOBAL": "LICHAAM"
"PLAYER_MORPH_EAR_LOBE_TEXT": "OORLEL"
"VEHICLE_COLOR_BLUE_DARK_TINT": "DONKERBLAUWE TINT"
"CUST_VARIANT_LIGHT_SILVER": "LICHTZILVER"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "BRO-PETJE"
"CUST_ITEM_CM_BASIC_PARACHUTE": "BASISPARACHUTE"
"PLAYER_FAT_TEXT": "VET"
"CUST_COLOR_CLOTHING_BLUES_6": "BLAUW 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "DIEP SALIEGROEN"
"Blonde": "BLOND"
"CUST_VARIANT_LEOPARD": "LUIPAARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "NUL TOT HONDERD-PAK"
"CUST_COMP_TEST_MUSTACHE": "TEST SNOR"
"SLOT_ADJUSTABLE_SUSPENSION": "VERSTELBARE VERING"
"SLOT_DECAL_6": "DECORATIE 6"
"SLOT_JUNK/CLUTTER": "ROTZOOI/TROEP"
"CUST_COLOR_BLUE_2": "BLAUW 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAG-HELM"
"COLOR_SLOT_PAINT_3": "VERF 3"
"COLOR_SLOT_INTERIOR_3": "INTERIEUR 3"
"SLOT_SPINNERS_REAR": "SPINNERS ACHTER"
"COMPONENT_OPTION_C": "OPTIE C"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "LEREN BIKERBROEK"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "LEER EN VETER-ARMBAND"
"CUST_ITEM_CF_CURLERS": "50'S HUISVROUW"
"CUST_SAMEDI_COMPLIMENT_B": "SAMEDICOMPLIMENT 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "PAARSE VLAMMEN"
"CUST_TATTOO_RIGHT_ARM": "VOLLEDIGE RECHTERARM"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "VERHOGING NEUSGATEN"
"VEHICLE_COLOR_COPPER_OXIDE": "KOPEROXIDE"
"SLOT_EXHAUST": "UITLATEN"
"CUST_WEAR_LEFT_ROLLED_LOW": "OPGEROLD, LINKS, LAAG"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "DOMINATRIX HANDSCHOENEN"
"CUST_SKIN_SMURF": "BLAUWE SMURF"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "DIEPTE BRUG"
"SURGEON_CAT_EXPORT": "EXPORTEREN"
"SLOT_GRILL": "GRILLES"
"FEMALE_HUGE": "VROUW GROOT"
"CUST_ITEM_FEMALE_LP_BRA_4": "GLAMOUR GIRL"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BEEP BOOP-ARMBAND"
"CUST_SKIN_RED_YELLOW_3": "PRINSES-ROZE"
"CUST_SKIN_METAL_4": "SMARAGD"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "FORMAAT IRIS"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "DIEPTE WENKBRAUW"
"CUST_COLOR_CLOTHING_RED_5": "ROOD 5"
"FEMALE_OBESE": "VROUW ZWAARLIJVIG"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "DE MARSHA"
"PLAYER_CREATION_COLOR": "KLEUR"
"IRIDESCENT_5": "REGENBOOGKLEURIG 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "GROTE BOZE WOLF"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "SAINTS-HOODIE CAPUCHON AF"
"STORE_WEAPON_AVAILABLE": "BESCHIKBAAR"
"PLAYER_CREATION_ADVANCED": "GEAVANCEERD"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "DIEP OCEAANBLAUW"
"VEHICLE_COLOR_BROWN_DARK_TINT": "DONKERBRUINE TINT"
"VEHICLE_COLOR_CARBON_STEEL": "KOOLSTOFVEZEL"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "VERF 2 EN VERF 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "HOED 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND MAN B"
"FACIAL_EXPRESSION_SURPRISED": "VERRAST"
"CUST_COLOR_YELLOW_2": "GEEL 2"
"CUST_VARIANT_SHARKS": "HAAIEN"
"CUST_WEAR_AGAINST SKIN": "HUID"
"CUST_TATTOO_STOMACH_1": "WAY OF HONOR"
"CUST_COMP_MUSTACHE_7": "MOLSNOR"
"CUST_VARIANT_STRIPES_B": "STREPEN 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "NIET INGESTOPT, DICHTGEKNOOPT KNOPEN"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "MADE MAN"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "MOTORZONNEBRIL"
"CUST_ITEM_CF_HAIR_LONGASYM": "SCHEEF"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "CASUAL ROK"
"CUST_GENDER": "GESLACHT"
"CUST_TATTOO_LEGS": "BENEN"
"CUST_COMPLIMENT_T": "DE LASSO"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "PLAATSING WANGEN"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "PAARSBLAUW 3"
"CUST_VARIANT_VERTICAL": "VERTICALE STREPEN"
"CUST_WEAR_ZIPPED_HOOD_UP": "DICHTGERITST, CAPUCHON OP"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BOWLER"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "SAINTS STIJL-RINGEN"
"CUST_COMP_FINGERNAILS_R": "NAGELLAK RECHTS"
"RIM_SET_014": "VELGSET 14"
"SLOT_LEFT_SIDE": "LINKERKANT"
"SLOT_REAR_BUMPER_EXTRAS": "ACHTERBUMPERAANPASSINGEN"
"CUST_VARIANT_PATTERN_B": "STIJL 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ACID HOUSE HOED"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "REGENJACK"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "VERHOGING MOND"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "BLAUWGROEN 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Vergroot de munitiecapaciteit."
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "ROOD 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "OG HOODIE"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "CANDY GIRL TOPJE"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "BREEDTE VOORHOOFD"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ROODORANJE 8"
"SLOT_FRONT_BUMPER_EXTRAS": "VOORBUMPERAANPASSINGEN"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "NIET INGESTOPT, OPENGEKNOOPT, STROPDAS"
"CUST_ITEM_CF_RING_F_RAVERSET": "ACID HOUSE-RINGEN"
"CUST_TATTOO_UPPER_ARM_LEFT": "LINKER BOVENARM"
"CUST_TATTOO_RARM_4": "3RD STREET RIDDER"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LOLLY"
"CUST_VARIANT_THICK_EYESHADOW": "DIK"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "OPEN GERITST, RECHTS, HOOG"
"CUST_SKIN_ASIAN_02": "AZIATISCH 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "OPGEROLD, LINKS, HOOG"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "AFGEWASSEN ROCKER T-SHIRT"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "JUNK IN THE TRUNK BROEK"
"FACIAL_EXPRESSION_PAIN": "PIJN"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "GESPIERDHEID"
"PLAYER_MORPH_ASIAN_TEXT": "AZIATISCH"
"CUST_ITEM_PLASTIC_SANDALS": "PLASTIC SANDALEN"
"CUST_SKIN_CAUCASIAN_03": "KAUKASISCH 3"
"CUST_GANG_BIKER": "BIKER"
"CUST_COMP_MUSTACHE_24": "DE BALBO"
"VEHICLE_COLOR_BRASS": "MESSING"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "SPINNERS VOOR"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "GYM RAT"
"VEHICLE_COLOR_DRAGON_BLUE": "DRAKENBLAUW"
"CUST_COLOR_BRIGHT_BLUE": "FELBLAUW"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "Z-STIJL PIMP HOED"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "MAMBA LEREN JAS"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "KINHOOGTE"
"CUST_TATTOO_LFORARM_6": "GEPANTSERDE HUID"
"SLOT_ROOF": "DAKEN"
"SLOT_LOGO": "LOGO'S"
"HAIR_COLOR_REDHEAD": "ROODHARIG"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DRUG DEALER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "STEELPORT HELDINNEN HANDSCHOENEN"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Vergroot de munitiecapaciteit."
"CUST_VARIANT_LIGHT_STEEL": "LICHTSTAAL"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "VOLLEDIGE ACHTERKANT"
"PLAYER_MORPH_CROWN_TEXT": "KRUIN"
"WARDROBE_NONE": "GEEN"
"CUST_COLOR_CLOTHING_VIOLET_5": "PAARS 5"
"CUST_COMP_EYES_GREY": "GRIJS"
"SLOT_REAR_WHEELS": "ACHTERWIELEN"
"CUST_COLOR_AUBURN": "KASTANJEBRUIN"
"CUST_VARIANT_08_DEFAULT": "VARIANT 8"
"CUST_WEAR_BACK_LEFT": "TERUG NAAR LINKS"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "DISCO BISCUIT KRALEN"
"CUST_ITEM_SHADES_11": "FOUTE ZONNEBRIL"
"CUST_CAT_FINGERNAILS": "VINGERNAGELS"
"CUST_TATTOO_HEAD_TOP": "HOOFD BOVENOP"
"CUST_BRO_COMPLIMENT_D": "BROTHERHOODCOMPLIMENT 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "GEEL 6"
"CUST_TATTOO_RUPPARM_6": "LIEFDE VOOR MAMA"
"LOGO_RHOMBUS_1": "RUIT 1"
"CUST_VARIANT_HORIZONTAL": "HORIZONTALE STREPEN"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO-ONTWERP"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "STEELPORT STRAATPETJE"
"VEHICLE_COLOR_WET_LEAF_BROWN": "NATTE BLADERENBRUIN"
"SLOT_MUDFLAP": "SPATLAPPEN"
"CUST_ITEM_FEMALE_LL_BRA_1": "LIEFDE OP HET EERSTE GEZICHT"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BEEP BOOP-ARMBAND"
"PLAYER_CREATION_AGE_MIDDLE": "MIDDELBARE LEEFTIJD"
"PLAYER_MORPH_NOSE_YAW_TEXT": "NEUSOPENING"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "ULTRA HELDERWIT"
"CUST_WEAR_TATTOO_BARBED_WIRE": "PRIKKELDRAAD"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "NEUSLENGTE"
"SLOT_CASKET": "DOODSKIST"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "INGESTOPT, DICHTGEKNOOPT, LAGE BROEK, GEEN BRETELS"
"CUST_ITEM_CF_RING_F_EYEBALL": "PRIVATE EYE-RING"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "AMPER HIER SAINTS G-STRING"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "ZWEETBANDJE"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Laservizier laat je nauwkeuriger vanaf de heup schieten. Pantserdoorborende kogels boren pantsers door."
"CUST_COMP_MUSTACHE_20": "GEITESIK"
"VEHICLE_PAINT_SHINY_MATERIAL": "GLANZEND MATERIAAL"
"LOGO_DRAGON": "DRAAK"
"CUST_VARIANT_FADEUP_JEANS": "VERVAAGD"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "NIET INGESTOPT, BOVENSTE KNOOP, STROPDAS"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "GANGSTER SWEATER"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "STREET FIGHTER"
"CUST_ITEM_6_LOOPS_LEFT": "6 LUSSEN"
"CUST_WEAR_HOOP": "HOEPEL"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "STEAMPUNK UITVINDER"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "VOUW OOGLID"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "LELIE SLEUTEL"
"COLOR_SLOT_TRIM_1": "SIERLIJST 1"
"SLOT_FRONT_MODS": "VOORAANPASSINGEN"
"CUST_COLOR_BRIGHT_PURPLE": "FELPAARS"
"COMPONENT_PAINT_3": "VERF 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "PERFECTE SCHOONHEID"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS MAN C"
"CUST_ITEM_BASEBALL_CAP": "HONKBALPET"
"CUST_COLOR_CLOTHING_YELLOWS_2": "GEEL 2"
"CUST_TATTOO_RUPPARM_2": "8-BIT GAT"
"CUST_VARIANT_LOOPS": "SCHAKELKETTING"
"CUST_VARIANT_FLAMES": "VLAMMEN"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "CATSUIT"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "KAPITEINSHOED"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "HELLING OOGLID BOVEN"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "VORM NEUS"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "BREEDTE BRUG"
"CUST_COLOR_CLOTHING_VIOLET_1": "PAARS 1"
"HAIR_COLOR_PURPLE_MATTE": "MAT PAARS"
"CUST_ITEM_CF_HAIR_PIGTAILS": "BARELY LEGAL"
"FACIAL_EXPRESSION_PAIN_B": "ANGST"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "BREEDTE WENKBRAUWEN"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Vergroot de munitiecapaciteit. Tweepotige steun reduceert de terugslag."
"COLOR_SLOT_WINDOW_TINT": "RAAMKLEUR"
"LOGO_COFFEE": "KOFFIE"
"LOGO_SHARKS_1": "HAAIEN 1"
"CUST_WEAR_FORWARD_LEFT": "LINKS NAAR VOREN"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ROOD 9"
"CUST_VARIANT_TRACK_A2": "STIJL 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "INGESTOPT, DICHTGEKNOOPT, LAGE BROEK, GEEN BRETELS, STROPDAS"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "ARMBAND"
"CUST_ITEM_FEMALE_LL_BRA_5": "BEDEK JE TEPELS"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "SAINTS STREETWALKS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "PAARSBLAUW 7"
"SLOT_KNEECAPPERS_DESC": "Met intrekbare messen in je banden, kun je schade aanrichten door vlak naast voertuigen en mensen te rijden."
"CUST_VARIANT_TRACK_PANTS": "GEDEKT"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "MANNELIJK MODEL SCHOENEN"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "OMVANG VAN DE PUNT"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "KINLENGTE"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Vergroot de schade."
"CUST_TATTOO_STOMACH_5": "VLEERMUIZEN VAN ANARCHIE"
"CUST_COMP_MUSTACHE_3": "POLITIESNOR"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "WIELDOPPEN VOOR"
"CUST_COLOR_BRIGHT_RED": "FELROOD"
"LOGO_FIST": "VUIST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "DONKER SKINNY BROEK"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "SAINTS LELIE-PETJE"
"CUST_COMPLIMENT_P": "DE ZILVEREN KOGEL"
"COMPONENT_ADD_SUSPENSION": "VERSTELBARE VERING"
"SLOT_KNEECAPPERS": "KNIEBESCHERMERS"
"SLOT_SPEED_UPGRADE": "SNELHEIDSUPGRADE"
"CUST_COLOR_ROSE_1": "ROZE 1"
"CUST_VARIANT_HEARTS_BIG": "GROTE HARTEN"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "SUPERHELD MASKER"
"VEHICLE_COLOR_TOREADOR_RED": "BLOEDROOD"
"RIM_SET_010": "VELGSET 10"
"CUST_VARIANT_THIN_STRIPES": "DUNNE STREPEN"
"CUST_MENU_EXIT": "SPEL BEGINNEN"
"VEHICLE_COLOR_PLATINUM": "PLATINA"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "WILDE RUNWAY SWEATER"
"VEHICLE_PAINT_MATTE_PAINT": "MATTE VERF"
"SLOT_REINFORCED_FRAME_DESC": "Door je chassis bij te werken kan je voertuig de allerergste verschrikkingen doorstaan voordat het explodeert tot een hoopje schroot."
"SLOT_ANTENNA": "ANTENNES"
"CUST_VARIANT_SEMI_GLOSSY": "ZIJDEGLANS"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "HOOGTE VOORHOOFD"
"PLAYER_MORPH_CHEEKBONES_TEXT": "JUKBEENDEREN"
"COMPONENT_NONE": "GEEN"
"CUST_VARIANT_MULTICOLOR_SMALL": "MEERKLEURIG KLEIN"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "HILLS PARIJSE STIJL"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "NEUSHOOGTE"
"SLOT_EXTRAS": "EXTRA'S"
"Cornhole": "CORNROW"
"STRAWBERRY_BLONDE": "ROSBLOND"
"COLOR_SLOT_RIM_1": "GEKLEURDE VELG 1"
"CUST_VARIANT_BADGELESS": "GEEN BADGE"
"CUST_VARIANT_STRIPES": "HORIZONTALE STREPEN"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "LICHTROZE TINT"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "MAT LICHTBRUIN"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "BE MY VALENTINE G-STRING"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "STIJLVOL VROUWENJACK"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Verhoog de vuursnelheid. Techvizier laat je nog beter mikken."
"CUST_TATTOO_UPPBACK_2": "DOOD ALS ONTMOET"
"CUST_ITEM_CM_HAIR_DREADS": "DE MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "WERKZONE SCHOENEN"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "GEKLEED OM INDRUK TE MAKEN"
