"Storye01_In_Crawl_02": "Główny składnik ludzkiej historii."
"Story01_Zscene02_02_Gat": "Nie dotykaj!"
"Story02_In_27_Gat": "Musisz wiać!"
"CTO_Zimos02_05_Player_BM": "Będziemy imprezować po skończonej robocie. Zadzwonię, jak wymyślę coś nowego na Jutrzenkę."
"Story15_In_18_Kinzie": "Jego ludzie są już pewnie w połowie drogi do komputera! RUSZAJCIE!"
"Story12_In_11_Pierce": "Zarzućmy dobrą przynętę, to sam do nas przyjdzie. Dlatego potrzebuję ciebie i tej nowej."
"Story09_Out_03_Killbane": "Ja jestem generałem, carem, Chodzącą Apokalipsą i ja podejmuję decyzje - nie ty!"
"Story08_Out_10_Killbane": "Przeprosiny przyjęte. Skołuję ci vipowską wejściówkę na Mordownię, to cię rozweseli."
"Story21_In_10_": "Nie mogę się doczekać - do dzieła!"
"Story10_Out_04_Reporter_02": "Jak obecność STAG wpłynie na nasze codzienne życie?"
"Story02_In_09_Viola": "Dlatego właśnie nasz pracodawca chce z wami rozmawiać."
"Storye01_In_Crawl_09": "Chodzi o to, że Święci wkroczyli na globalną scenę i każda zbrodnicza organizacja pragnie ściągnąć ich ze szczytu."
"Story07_Zscene01_09_Player_BM": "Wio!"
"Story23_Out_11_Player_BM": "Może to było lekkie przegięcie."
"Story13_In_04_Shaundi": "Co?"
"Story02_In_25_Phillipe": "A miałem nadzieję, że dojdziemy do rozsądnego porozumienia."
"Story01_In_04_Shaundi": "Jesteś z nami tylko dla towarzystwa..."
"Genki_Both10": "Czas mordowania! Czas zabawy!"
"CTO_Kinzie01_04_Kinzie": "Jeszcze nie."
"Story16_Out_06_Matt": "Doskonale. No, muszę zdążyć na samolot, więc..."
"Story15_Out_04_Kinzie": "Śmieszne. Wyjaśnię ci wszystko, jak to zainstaluję."
"Story12_In_05_Kid": "Przepraszam!"
"Story05_Out_01_Matt": "Święci się nie wycofają."
"Story12_Out_05_Monica": "Co? Znajdźcie go, do diabła!"
"CTO_Kinzie02_04_Player_BM": "Ta rozmowa jest jakaś dziwna..."
"CTO_Pierce02_04_Player_BM": "Słuchaj, może myślisz, że pora się wyluzować, ale ja mam dość zabawy z tymi sukinsynami, chcę dorwać Lorena i to już. Gdzie on jest?"
"Story23_Out_15_Player_BM": "To do roboty."
"Story15_Out_03_Player_BM": "Dam ci pięć dych, wybierz jakiś ładny."
"Story15_In_04_Kinzie": "Sen jest zabroniony."
"Story06_Mid_06_Pierce": "Czemu jesteś tu przywiązany, jak już cię sklonowali?"
"Story02_In_28_Player_BM": "Nie bez ciebie."
"Story02_In_16_Phillipe": "To oczywiste, inaczej nie zrobilibyście skoku na nasz bank. Może zastanawiacie się, czemu jeszcze żyjecie."
"Story01_In_22_Player_BM": "Taki właśnie mam plan."
"CTO_Pierce02_07_Player_BM": "Loren to taktyk, nie zaszyje się w budynku, który aż krzyczy \"siedziba mózgu organizacji przestępczej\". Muszę mieć konkrety."
"Story21_In_02_Bobby": "Niesamowity wieczór, Zach, a teraz czas na główną atrakcję."
"Story17_In_06_Viola": "Słucham? Więźniami?"
"Story09_In_02_Player_BM": "Jak je przejmiemy, cały biznes prostytucyjny Jutrzenki szlag trafi."
"Story08_In_03_Zimos": "Osiodłali mnie jak kuca, ale nie beczę z tego powodu, gówniaro."
"Story17_Mid_04_Cyrus": "Siema."
"Story07_Out_10_Viola": "Co mamy zrobić, Killbane?"
"Story02_Out_02_Phillipe": "...Viola i Kiki rozgłoszą, że Steelport należy do Syndykatu i Święci nie są tu mile widziani."
"Story02_In_15_Shaundi": "Pierwsze słyszę."
"Story01_In_25_Player": "Zejdź z niego. Po prostu przygotowuje się do roli."
"CTO_Pierce02_10_Pierce": "Nie, Prochownia to designerski sklep z bronią w śródmieściu... Widziałem, jak zbiry Lorena gadają z właścicielem, tam musi coś być."
"CTO_Pierce02_09_Player_BM": "Nie mam czasu na striptizerki."
"Story22_OutB_05_Monica": "Czy ci się to podoba, czy nie, Święci są bohaterami."
"CTO_Kinzie01_02_Kinzie": "Nie bardzo, nie znoszę ludzi."
"Story13_Zscene01_05_Pierce": "Jak to rozegramy?"
"Story19_Out_01_Monica": "Komandorze, co pan wyprawia?"
"Story19_In_14_Reynolds": "Mam problem z zombie, który muszę..."
"Story15_Out_02_Kinzie": "Prawie. Potrzebuję fotela."
"Story13_In_06_Shaundi": "Boże, mogę go zastrzelić?"
"Story11_Out_07_Monica": "Wykluczone."
"Story10_In_08_Viola": "Zobaczę, jak Killbane cierpi."
"Story09_In_03_Zimos": "Jak przewieziesz wszystkie dziwki?"
"Story02_In_22_Player_BM": "Słuchaj no, jebany Francuziku..."
"Story02_In_07_Gat": "O to wam chodzi?"
"Story01_In_06_Josh": "Gram metodą Stanisławskiego. Żeby być szczery jako Święty, muszę wziąć udział w prawdziwej akcji."
"Storye01_In_Crawl_07": "Kręcą film o Świętych. JOHNNY GAT i SHAUNDI stali się ikonami popkultury. PIERCE..."
"Story16_Zscene01_03_Matt": "Z chęcią."
"Story19_In_24_Reynolds": "Mówisz, jakbym nigdy wcześniej nie musiał przechytrzyć organizacji paramilitarnej! Zadzwoń, jak będzie po wszystkim."
"Story16_Out_01_Killbane": "Może zmienisz zdanie, Matty. Moje dłonie służą do łamania kości, nie do dziobania w klawiaturę."
"Story02_Out_01_Phillipe": "Panowie, negocjacje były... niezbyt udane."
"CTO_Angel01_04_Angel": "Więc nie lubisz niewygody. Takie słabości wykorzystują Luchadores. Musisz nabrać twardości, bo Killbane cię zmiażdży. Ale nie przejmuj się, oszlifuje cię na brylant."
"CTO_Pierce01_06_Player_BM": "Syndykat wie, że mamy klucze. Będą czekali, żebyśmy coś zrobili."
"Story10_Out_01_Cyrus": "Nazywam się Cyrus Temple, dowodzę Specjalną Jednostką Taktyczną do Walki z Gangami. Odpowiem na państwa pytania na temat inicjatywy STAG."
"Story07_Out_03_Killbane": "Miałem na myśli kogoś innego."
"SH_Morningstar01_04_Pierce": "A w środku, kurwa?"
"Story02_In_01_Player_BM": "Co jest, kurwa, opłaciliśmy się w tym miesiącu."
"CTO_Kinzie02_03_Kinzie": "Mówię poważnie. I wywal swoją przepłaconą, bajerancką komórkę, przez nią też cię mogę znaleźć."
"CTO_Kinzie01_05_Player_BM": "Co robiłaś, odkąd jesteś na wolności?"
"Story23_In_03_Player_BM": "Za Shaundi!"
"Story19_In_13_Player": "No... to super! Czego potrzebujesz?"
"Story17_Mid_07_Agent": "Mogę ich zabrać do aresztu."
"Story06_Mid_05_Oleg": "Phillipe robi wszystko na zamówienie. Jeśli chodzi o jego brutali, ja jestem wzorcem."
"CTO_Pierce01_02_Player_BM": "Co jest?"
"Story16_Zscene01_05_Matt": "Nie kapujesz? Jestem tu bogiem."
"Story22_OutA_04_Monica": "Miał pan rację, komandorze. Proszę sprowadzić Daedalusa."
"Story19_In_04_Viola": "Powtarzaj za mną: nie leć w chuja z burmistrzem."
"CTO_Angel02_04_Angel": "Niech metoda nie przesłania ci przekazu. Panujesz nad swoim strachem."
"CTO_Kinzie01_01_Player_BM": "Wydawało mi się, że ktoś, kto właśnie wyszedł na wolność, będzie miał ochotę trochę się zabawić."
"Story23_In_07_Player_BM": "Chuj z tym. Rozwalimy ich zabaweczkę."
"Story22_OutB_04_Monica": "Mają rację, komandorze..."
"Story22_In_01_Player_BM": "Co jest grane?"
"Story03_Out_08_Player_BM": "Wyluzuj, Shaundi - mamy wszystko nagrane."
"Story02_In_06_Player_BM": "Nasza marka jest warta od pyty kasy..."
"Story07_Zscene02_05_Player_BM": "Nie szkodzi."
"Story12_Out_03_Cyrus": "Mają Birka."
"Story21_Zscene03_01_Player_BM": "Uśmiechnij się, Killbane, idziemy na cały kraj."
"Story07_Zscene02_06_Player_BM": "Poszukaj nawilżanych chusteczek. Co tam?"
"Story01_Zscene01_05_Josh": "Mam narzędzia przy sobie."
"Story22_OutB_15_Player_BM": "Killbane szykuje swoją armię do zmasowanego ataku. Powstrzymamy go tutaj. Nasza planeta nas potrzebuje... nie zawiedźmy jej."
"Story21_In_05_Player_BM": "Będę przy ringu, nie dopuszczę do ciebie Luchadores, a ty wykończ Killbane'a. Powodzenia."
"Story20_In_05_Viola": "Zabierzcie Killbane'owi maskę, a zostanie Eddie Pryor. To dla niego gorsze niż śmierć."
"Story14_In_06_Anna": "Killbane, niektórzy nazywają cię przestępcą."
"Story12_In_12_Viola": "Nazywam się Viola."
"Story03_Out_06_Player_BM": "Dobra. Jak mamy sprowadzić chłopaków, będziemy potrzebowali lokalu."
"22_Choice_08_Kia": "Jak wysadzicie wyspę Magarac, cały świat się na was pozna."
"Storye01_In_Crawl_03": "Od zarania dziejów wielcy przywódcy wzrastali mimo przeciwności losu, żeby osiągnąć..."
"CTO_Kinzie02_05_Kinzie": "Zgadzam się. Powinniśmy rozmawiać językiem nawaho..."
"CTO_Pierce01_08_Player_BM": "Ruszajmy."
"Story07_Zscene02_01_Player_BM": "Przepraszam, że musiałeś nas... ciągnąć."
"Story01_Zscene01_07_Gat": "Ni chuja. Wysadzimy go."
"Story22_OutB_12_Player_BM": "Jeszcze nie."
"Story22_In_08_Player_BM": "Musimy tam zejść."
"Story20_In_04_Player_BM": "Nie możemy po prostu go zabić?"
"SH_Decker_06_Oleg": "NEMO - Neurologiczno-elektromagnetyczny oniroskop. KGB zniszczyło jedyny istniejący egzemplarz."
"Story12_In_01_Viola": "Patrzcie no - Pierce umie czytać."
"Story07_In_09_Oleg": "Jest psem bojowym Syndykatu."
"Story06_Mid_10_Oleg": "Zaufajcie mi - mam dość siły, żeby zabić Phillipe'a."
"22_Choice_06_Player": "Dobra, dobra, wiem. Aresztujesz nas, wielka mi rzecz."
"Story13_Zscene01_02_Pierce": "Aha, a my mamy waszego chłoptasia z plakatów."
"Story06_Mid_04_Player_BM": "Co to ma być?"
"SH_Morningstar01_02_Pierce": "Myślisz, że tyłu nie pilnują?"
"Story03_Out_02_Player_BM": "Teraz wrócisz do Stilwater."
"Story21_Zscene01_02_Zach": "Oglądanie tego, co Luchadores wyprawiają z Angelem, to męka."
"Story06_Zscene01_02_Player_BM": "Cholera!"
"Story01_Zscene01_10_Player_BM": "Czas brać się do roboty."
"Story17_In_02_Viola": "Nie możemy tak po prostu wmaszerować na lotniskowiec STAG."
"HASH_29CD6718": "Ja już to zrobiłem."
"Story09_Out_07_Monica": "Czcigodne koleżanki, czcigodni koledzy. Najwyższy czas... wysłać do Steelport STAG."
"Story06_In_02_Shaundi": "Daj mi spluwę, Pierce."
"Storye01_In_Crawl_06": "Po podbiciu Stilwater, ten niegdyś drobny gang uliczny przedzierzgnął się w prawdziwe imperium medialne."
"CTO_Zimos02_04_Zimos": "Pamiętasz kucykowe show? One już dawno nie przysyłają mi życzeń na święta. Ale nie kazałem ci przyjechać, żeby gadać o sobie. Udało ci się zabić Phillipe'a Lorena i pokazać Jutrzence, że się stąd nie ruszysz. Czas wyluzować i trochę zaszaleć!"
"SH_Morningstar02_01_Monica": "Żadna grupa nie przyznała się do ataku w Stilwater, ale lekceważymy to, co leży u jego podstaw. Pozbawione nadzoru media i produkty sprzedawane dzieciom fetyszyzują kulturę gangów i z obłąkanych socjopatów robią bohaterów. Dość tego!"
"Story07_In_08_Player_BM": "Kill-kogo?"
"Story05_In_04_Player_BM": "Ruszamy."
"Story02_In_19_Viola": "Możecie dalej prowadzić działalność jako grupa medialna Święci/Ultor w zamian za 66 procent waszego miesięcznego dochodu brutto."
"Story12_Out_04_Cyrus": "Zapewniam panią - odzyskamy go."
"CTO_Zimos01_09_Player_BM": "Brzmi nieźle."
"CTO_Zimos01_04_Zimos": "Po paru latach z kneblem w ustach i końskim ogonem w dupie też by ci się zachciało relaksu."
"Story01_Zscene03_01_Player_BM": "Jazda!"
"Story22_OutA_01_Pierce": "Skurwiel załatwiony?"
"Story06_Mid_07_Oleg": "Kopie są wadliwe. Mają moje mięśnie, ale nie mój mózg. Mogę wam pomóc."
"Story20_In_02_Viola": "Jeśli chcesz zaszkodzić Killbane'owi, musisz zaszkodzić jego reputacji."
"CTO_Zimos01_07_Player_BM": "Jeśli Święci mają zostać w Steelport, musimy wykurzyć Jutrzence. Śródmieście już załatwione, ale tych skurwieli wszędzie pełno."
"Story12_In_15_Player_BM": "Mnie to pasuje."
"Story17_In_09_Pierce": "Nie, do diabła!"
"SH_Decker_04_Oleg": "Fotela NEMO. Oczywiście."
"Story11_Out_04_Kia": "Nyte Blayde jest twarzą STAG? Nie możecie przebrać kogoś za łosia?"
"SH_Morningstar02_04_Player_BM": "Jaka, do cholery, inicjatywa STAG?"
"Story08_In_08_Pierce": "W mordę, dziewczyno, życie jest dla żywych i w ogóle, kumasz?"
"Storye01_In_Crawl_08": "A kogo, kurwa, obchodzi Pierce?"
"CTO_Zimos01_03_Player_BM": "Nie tracisz czasu."
"Story17_Mid_03_Kia": "Miło pana znowu widzieć."
"Story14_In_04_Anna": "...Eddie \"Killbane\" Pryor. Dziękujemy za przybycie do studia, Eddie."
"Story06_In_03_Player_BM": "Spuśćmy mu wpierdol."
"Story07_Zscene02_02_Zimos": "To akcja ratunkowa, tak? Nie jest to wstęp do zbiorowego gwałtu, prawda?"
"Story20_Out_05_Killbane": "Jak chcesz, żeby połamała cię Chodząca Apokalipsa, z chęcią spełnię to życzenie."
"Story16_Out_02_Matt": "Jeśli masz z tym problem, mogę polecić dobry soft do rozpoznawania mowy..."
"Story05_Out_05_Matt": "Z całym szacunkiem..."
"CTO_Zimos01_02_Zimos": "Cicho, obudzisz dziwki."
"Story17_Zscene01_02_Cyrus": "A więc tak się nazywasz."
"Story24_Out_04_Director": "Cięcie!"
"Story18_Out_01_Player_BM": "Do chuja z takim życiem."
"Story12_Out_02_Cyrus": "Połącz mnie z Monicą Hughes."
"CTO_Angel02_03_Player_BM": "Tygrys, kurwa?!"
"Story07_Zscene03_03_Player_BM": "Nie, w odróżnieniu od nich."
"Story23_Out_14_Pierce": "Fatalny pomysł. Wchodzę w to."
"Story12_In_04_Pierce": "Dobrze to ustawimy, to zaskoczymy skurwieli."
"Story23_Out_09_Player_BM": "Mam wiadomość dla Moniki Hughes i jej pachołków. Droga suko: Steelport ma nowy zarząd, który nie odpowiada przed tobą. Teraz to obcy teren. Zjaw się jeszcze raz w moim mieście, to wrócisz do domu w trumnie. To wszystko."
"Story22_OutA_02_Player_BM": "Tak."
"Story17_In_04_Viola": "Co się stanie, jak już będziesz na pokładzie?"
"Story13_Out_02_Kia": "Chyba należą się panu gratulacje, komandorze."
"Story08_In_07_Shaundi": "Idźcie w cholerę."
"Story05_In_03_Shaundi": "Ekipa czeka na dole - daj znak, to wbijemy się na imprezę."
"Storye01_In_Crawl_05": "Tak samo było ze ŚWIĘTYMI Z TRZECIEJ ULICY."
"CTO_Zimos02_02_Zimos": "Pieprzony filister! To oryginalne siostry DeWynter! Kupiłem to w czasach, kiedy miałem z bliźniaczkami układ \"żyj i pozwól żyć\"."
"Story16_Zscene02_03_Player_BM": "Na pewno Kinzie sobie z tym poradzi."
"Story24_Out_11_Director": "I... Akcja!"
"Story24_Out_09_Asst_Director": "Na miejsca! Kręcimy..."
"Story01_In_21_Gat": "Masz plan, czy po prostu rozwalimy tych skurwieli?"
"Story07_Zscene02_04_Zimos": "Czyli akcja ratunkowa. Uścisnąłbym wam dłonie, ale ta podłoga się trochę lepi, rozumiecie."
"Story07_Zscene01_05_Goon": "Tam poszli!"
"Story23_Out_04_Player_BM": "Niech nikt nie ucieka, to nikt nie oberwie, zrozumiano?!"
"Story22_In_06_Pierce": "Cholera. Jasna."
"SH_Luchadore_03_Player_BM": "Dobra, jak to zrobimy?"
"Story17_Mid_06_Cyrus": "Dziękuję za propozycję... ale chcę jak najszybciej załatwić tych dwoje."
"Story22_Zscene01_02_Killbane": "Oto i jesteśmy - tytani wśród ludzi, czczeni przez śmiertelników, którym przynosimy krew i ogień! Do tej chwili musiało dojść..."
"Story16_Zscene02_07_Player_BM": "To co innego, mały..."
"Story23_Out_12_Pierce": "Stworzenie miasta-państwa to nie taki pikuś."
"Story14_Out_06_Shaundi": "Już go miałam!"
"Story14_In_03_Anna": "...Na szczęście dotarł do nas ten materiał, a teraz jest z nami odpowiedzialny za niego człowiek..."
"Story12_In_02_Pierce": "Laska, nie muszę się przed tobą tłumaczyć. STAG zrobiło z Nyte Blayde'a swoją maskotkę. Zgarniemy gnoja..."
"22_Choice_05_Kia": "Witajcie, Święci."
"CTO_Pierce02_11_Player_BM": "Dobra, jedziemy na zakupy."
"Story13_In_03_Josh": "Czułem to od chwili, kiedy się spotkaliśmy. Tę więź."
"Story09_In_01_Zimos": "Od cholery tam dup."
"Story06_Mid_09_Shaundi": "A co mógłby zrobić? Te wszystkie przewody pewnie trzymają go przy życiu."
"Story01_In_10_Josh": "Ultrapostmodernizm. Zajebiście."
"22_Choice_01_Angel": "Jest na lotnisku - mamy mało czasu!  "
"Story21_Zscene02_02_Killbane": "Czekaj! Dam ci tajemnicę ApokaPięści, tylko zostaw mi maskę!"
"Story19_In_02_Viola": "Nie wejdziemy, dopóki nie obiecasz, że będziesz się zachowywać grzecznie."
"Story17_Out_11_Kia": "Komandosi w drodze. Za 72 godziny całe miasto będzie zamknięte."
"Story17_In_01_Pierce": "To twój najgorszy pomysł."
"Story14_Out_05_Player_BM": "Nic ci nie jest?"
"Story08_In_01_Shaundi": "Johnny nie żyje, a wy tu, kurwa, urządzacie imprezę?!"
"CTO_Angel02_02_Angel": "Jeśli masz walczyć z Luchadores, musisz się przygotować na wszystko."
"Story18_In_02_Player_BM": "Nie wątpię!"
"CTO_Angel01_02_Angel": "Żeby nie zapomnieć, co odebrał mi Killbane. To pomaga mi się skupić."
"CTO_Pierce02_05_Pierce": "Nie mam pojęcia..."
"Story21_Out_05_Goon": "Killbane, to tylko walka..."
"Story14_Out_02_Shaundi": "Mam cię."
"Story10_Out_07_Cyrus": "Opowiem państwu o Jessice Parish ze Stilwater, która uciekła z domu, żeby być ze swoim chłopakiem twardzielem. Była w siódmym niebie, aż w końcu została porwana przez gangstera, który zamknął ją w bagażniku samochodu i zaśmiewał się, kiedy jej chłopak zgniótł ją podczas imprezy monster trucków. Gdyby Jessica Parish była państwa córką... jak daleko mógłbym się posunąć?"
"Story22_Zscene01_03_Player": "Jak i do twojej śmierci z moich rąk."
"CTO_Pierce01_05_Pierce": "Klucze do skrytki. Nie chcesz wiedzieć, co w niej zamknęli?"
"Story02_In_17_Gat": "Zastanawiam się raczej, czemu jeszcze nie skopałem ci dupy."
"Story22_Zscene01_05_Player": "Odbiło ci, gościu? To koniec, Eddie! Za dwa tygodnie nikt nie będzie pamiętał twojego imienia."
"CTO_Pierce01_03_Pierce": "To był kiedyś lokal Syndykatu, więc pomyślałem, że się rozejrzę i zobaczę, co zostawili."
"Story12_Zscene01_02_Player_BM": "Zjeżdżamy stąd."
"Story21_In_07_Bobby": "Absolutnie. Leci na nich czysta nienawiść. I nic dziwnego, po tym, co ich boss zrobił w Stilwater, mają szczęście, że ich fani nie wsadzą im kosy w drodze na ring!"
"Story13_In_01_Josh": "Opuść broń, nie ucieknę."
"Story07_In_01_Monica": "Wyjeżdżając ze Stilwater do pracy w Senacie, przysięgłam, że nie zapomnę o swoich korzeniach. Mój mąż oddał życie, broniąc Stilwater przed gangami. To dla mnie wielki zaszczyt, że mogę oddać cześć jego pamięci tym mostem."
"Story01_In_12_Josh": "Nie ruszać się, to nikt nie zginie!"
"CTO_Pierce02_03_Pierce": "...a ja jestem najprzystojniejszym skurwielem w lokalu."
"Story21_Zscene03_02_Killbane": "Nie!"
"Story07_Out_01_Killbane": "Panie i panowie, Phillipe nie żyje, a my stoimy na rozdrożu. Pytanie brzmi: kto wprowadzi Syndykat w nową erę?"
"Story24_Out_08_Director": "Proszę wszystkich o szerokie uśmiechy, to ma być happy end."
"CTO_Kinzie02_11_Kinzie": "Pamiętaj, wyrzuć telefon!"
"Story19_In_01_Player": "Na co czekamy?"
"SH_Decker_03_Kinzie": "Wtedy możliwa będzie interakcja z awatarami użytkowników i uszkadzanie abstrakcyjnych reprezentacji danych stanowiących podstawę ich sieciowych działań. Do tego potrzebuję..."
"Story14_Out_08_Player_BM": "Cholera!"
"Story12_In_14_Viola": "Żarty sobie robisz!"
"CTO_Kinzie01_10_Kinzie": "Graj w tę cholerną grę, a ja ustalę, gdzie naprawdę są Deckerzy."
"Story18_In_01_Viola": "Pewnie dałoby się to zrobić łatwiej!"
"Story12_In_03_Player_BM": "I wywabimy STAG."
"Story22_OutB_09_Cyrus": "Mogą wam dać klucz do miasta, ale jak tylko powinie się wam noga, wrócimy. Następnym razem STAG was załatwi."
"Story21_In_04_Bobby": "Powiem ci, Zach - ten psychol to kompletny świr. Wiesz, kiedy wyszedł z łona matki, dosłownie udusił lekarza pępowiną, taki jest pojebany."
"SH_Decker_02_Kinzie": "Chcę wprowadzić twoją podświadomość do Use-Netu Deckerów."
"SH_Morningstar02_12_Player_BM": "Pierdolę to."
"Story05_Out_06_Matt": "Powiedziałbym, że już nie \"próżnych\"."
"Story01_In_14_Josh": "Sorry, falstart. Możemy powtórzyć?"
"Story21_In_03_Zach": "Oto on, Bobby: Eddie \"Killbane\" Pryor, Chodząca Apokalipsa we własnej osobie. Nie można się nie zastanawiać, jak Rzeźnik ze Stilwater chce mu dorównać."
"Story16_Out_03_Killbane": "Zostałeś przy mnie, kiedy powstałem jak feniks z popiołów Phillipe'a. Jesteśmy do siebie przywiązani."
"Story13_Out_05_Kia": "Zagrzebią się głęboko - trudno będzie się do nich dobrać."
"Story12_In_07_Player_BM": "Co to, kurwa, jest?"
"Story10_In_16_Kia": "Święci ukryli się u jednej z sióstr DeWynter. Zaraz wchodzimy."
"Story08_Out_08_Killbane": "Viola, twoje słońce zachodzi, ale jeszcze nie jest za późno. Możesz wskoczyć do rydwanu Apolla i ściągnąć świecącego skurwiela z powrotem. Czaisz?"
"Story02_Out_03_Phillipe": "Panie Killbane, proszę zebrać Luchadores i przynieść mi głowę przywódcy Świętych. Pan, panie Miller, włamie się na ich konta i zostawi ich bez grosza."
"Story01_In_26_Shaundi": "Robi to na własną odpowiedzialność."
"CTO_Pierce02_02_Pierce": "Na co mam narzekać? Browar jest tani..."
"CTO_Zimos01_06_Zimos": "Zgaduję, że nie przychodzisz tu na dupy."
"Story07_Zscene01_01_Pierce": "Jak znajdziemy Zimosa? Mamy szukać kolesia, którego nie jara knebel w ustach?"
"Story21_Out_04_Bobby": "Co za noc, Zach. Co za noc."
"Story19_In_16_Reynolds": "Zombie."
"Story15_In_10_Kinzie": "Gdybym zakradła się na ich centralny serwer, mogłabym nieźle namieszać. Ale nie mam do tego sprzętu."
"Story06_Mid_12_Pierce": "Chcesz jakieś ciuchy?"
"Story02_In_08_Viola": "Zawsze chodzi o pieniądze, panie Gat."
"Story12_In_09_Player_BM": "Przypomnij mi, żeby zadzwonić do Legalnego Lee w tej sprawie."
"Story10_In_05_Player_BM": "Akurat. Przez ciebie Johnny nie żyje."
"Story06_Mid_14_Pierce": "Jak mówiłem, ostatnim razem, jak wielki golas..."
"Story01_In_24_Shaundi": "Nie mam nic przeciwko filmowi o Świętych, ale czy naprawdę musimy ciągnąć ze sobą tego dupka?"
"Storye01_In_Crawl_04": "gówno."
"Story11_Out_08_Cyrus": "Ktoś zabije tego chłopaka."
"Story07_Out_05_Viola": "Słucham?"
"Story02_In_02_Cop": "Ktoś zapłacił więcej."
"Story21_Zscene04_02_Bobby": "O cholera! Killbane poddał walkę!"
"Story19_In_06_Player": "Za kogo on się uważa?"
"Story17_Mid_02_Cyrus": "Cicho."
"SH_Morningstar02_09_Zimos": "To zaproszenie, żeby dać Jutrzence kopa w pizdę. Urządzają dzisiaj aukcję - pokazujesz wizytówkę i wchodzisz."
"Story06_In_01_Pierce": "Trochę za duży dla ciebie."
"Story01_In_01_Josh": "Japońskie reklamy. Najłatwiejsza forsa w życiu."
"Story13_In_08_Player_BM": "Masz towar, Pierce?"
"Story11_In_04_Player_BM": "Teraz jest remis."
"Story08_Out_09_Viola": "Tak, Killbane."
"Story02_In_14_Phillipe": "Jak dwie krople wody. Te piękności to Viola i Kiki. A ja jestem Phillipe Loren, kieruję międzynarodową organizacją o nazwie Syndykat."
"Story13_Zscene01_03_Player_BM": "Niech STAG się wyniesie z mojego miasta."
"Story23_In_06_Kinzie": "Jak wysadzą wszystkie budynki, to na pewno w którymś będziemy."
"Story19_In_15_Viola": "Problem z czym?"
"Story15_In_05_Player_BM": "Kurwa, co Deckerzy zrobili ze śmigłowcem?"
"Story14_In_12_Kinzie": "Może uda mi się namierzyć, skąd nadają, jeśli dostaniecie się na wieże nadawcze i..."
"Story06_Mid_13_Oleg": "Nie ma czasu."
"Story06_Mid_08_Pierce": "Ostatnim razem, jak wielki golas chciał mi pomóc, nie skończyło się dobrze."
"CTO_Angel01_06_Angel": "Sprawię, że poczujesz największy ból, jaki można sobie wyobrazić... Chodź, czas pobawić się na środku ulicy."
"CTO_Angel01_05_Player_BM": "Jak?"
"Story12_Zscene01_01_Josh": "Chcecie zrobić rozgrzewkę przed zdjęciami? Zaraz, wyglądasz znajomo..."
"Story22_OutB_03_Player_BM": "Jeśli następną rzeczą, którą powiesz, nie będzie \"dziękuję\", to mamy, kurwa, poważny problem."
"Story21_In_01_Zach": "Dzisiejszy wieczór jest wspaniały, a tempo wcale nie zwalnia, Bobby!"
"SH_Decker_11_Player_BM": "Dobra, koniec tej gadki! Co to takiego? Ale Kinzie, do kurwy nędzy, prostymi słowami!"
