"CUST_ITEM_CF_HAIR_MED": "セミロング"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "プレインデカールなし"
"CUST_SKIN_BLUE_3": "スカイブルー"
"CUST_COMPLIMENT_X": "大騒ぎ"
"CUST_VARIANT_STYLE_B": "スタイル2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "スペースガールブーツ"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "アビエーターサングラス"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "ミュージックジャンキー"
"CUST_COLOR_GRAY_3": "グレー3"
"CUST_VARIANT_FADE_UP_JEANS": "色あせ"
"CUST_TATTOO": "タトゥー"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "眼球の大きさ"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "おでこの出っ張り"
"CUST_TATTOO_RARM_8": "マット"
"VEHICLE_PAINT_HEROMATTE_PAINT": "マット"
"VEHICLE_PAINT_MATTE_MATERIAL": "マット素材"
"SLOT_GRILL_COLOR": "グリルカラー"
"SLOT_SIDE_MIRRORS": "サイドミラー"
"SLOT_DECAL_2": "ステッカー2"
"CUST_VARIANT_BASIC": "ベーシック"
"CUST_CAT_MAKEUP": "化粧"
"CUST_COLOR_CLOTHING_BLUES_2": "ブルー2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "レッドオレンジ4"
"VEHICLE_COLOR_MORPH_BROWN": "モーフ・ブラウン"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "スタイル1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "バスローブ紳士"
"CUST_CAT_BACKPACK": "バックパック"
"STORE_WEAPON_LEVEL": "レベル{0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "連射速度、装弾数を上げます。レーザーサイトは非エイム時の精度を上げます"
"CUST_VARIANT_DIRTY": "ダーティ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "ナイトクラブカラーシャツ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "アーバンサファリタンクトップ"
"CUST_FACIAL_ITEMS": "アイテム"
"CUST_VARIANT_SMALL_HEARTS": "ハートスモール"
"CUST_VARIANT_GLOSSY": "つや有り"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "クビ切り"
"CUST_EYE_COLOR": "虹彩の色"
"CUST_COLOR_CLOTHING_GREENS_7": "グリーン7"
"CUST_COMP_FACE_SCAR_3": "傷あと（大）3"
"CUST_COLOR_BRUNETTE": "ブルネット"
"LOGO_MUSEUM_ART": "ART MUSEUM"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "アーバンサファリ&Tシャツ"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "ロックリストバンド"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "ウォーターバケットグレー"
"CUST_VARIANT_BOWTIE": "ノーマル"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "デスコアブーツ"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "クリーン"
"CUST_WEAR_UNZIPPED_HOOD_UP": "ジッパー開 フードアップ"
"cm_toilet": "便器"
"CUST_ITEM_BANK_HEIST": "銀行強盗"
"CUST_MENU_GLOBAL": "身体"
"PLAYER_MORPH_EAR_LOBE_TEXT": "耳たぶ"
"VEHICLE_COLOR_BLUE_DARK_TINT": "ダークスモーク（ブルー）"
"CUST_VARIANT_LIGHT_SILVER": "ライトシルバー"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "スティールポートキャップ（サイド）"
"CUST_ITEM_CM_BASIC_PARACHUTE": "パラシュート"
"PLAYER_FAT_TEXT": "肉づき"
"CUST_COLOR_CLOTHING_BLUES_6": "ブルー6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "ディープセージ・グリーン"
"Blonde": "ブロンド"
"CUST_VARIANT_LEOPARD": "ヒョウ柄"
"CUST_ITEM_LEATHER_LACE_MALE_O": "ZERO TO SIXTYスーツ"
"CUST_COMP_TEST_MUSTACHE": "口ひげ（テスト）"
"SLOT_ADJUSTABLE_SUSPENSION": "調整サスペンション"
"SLOT_DECAL_6": "ステッカー6"
"SLOT_JUNK/CLUTTER": "廃品／がらくた"
"CUST_COLOR_BLUE_2": "ブルー2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAGヘルメット"
"COLOR_SLOT_PAINT_3": "塗装3"
"COLOR_SLOT_INTERIOR_3": "内装3"
"SLOT_SPINNERS_REAR": "リアスピナー"
"COMPONENT_OPTION_C": "オプションC（使用禁止）"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "ライダースレザーパンツ"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "ボンデージリストバンド"
"CUST_ITEM_CF_CURLERS": "カーラー"
"CUST_SAMEDI_COMPLIMENT_B": "サムディ敬意2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "パープルフレーム"
"CUST_TATTOO_RIGHT_ARM": "右腕全体"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "鼻腔の高さ"
"VEHICLE_COLOR_COPPER_OXIDE": "カッパー・オキサイド"
"SLOT_EXHAUST": "マフラー"
"CUST_WEAR_LEFT_ROLLED_LOW": "左ロールアップ（低）"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "ボンデージグローブ"
"CUST_SKIN_SMURF": "ブルーエルフ"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "鼻梁の出っ張り"
"SURGEON_CAT_EXPORT": "エクスポート"
"SLOT_GRILL": "グリル"
"FEMALE_HUGE": "女性 大柄"
"CUST_ITEM_FEMALE_LP_BRA_4": "グラムガール"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "コールミーブレスレット"
"CUST_SKIN_RED_YELLOW_3": "プリンセスピンク"
"CUST_SKIN_METAL_4": "エメラルド"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "虹彩の大きさ"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "ほりの深さ"
"CUST_COLOR_CLOTHING_RED_5": "レッド5"
"FEMALE_OBESE": "女性 肥満"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "マーシャ"
"PLAYER_CREATION_COLOR": "色"
"IRIDESCENT_5": "レインボー5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "オオカミマスク"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "セインツパーカー（フードダウン）"
"STORE_WEAPON_AVAILABLE": "購入可能"
"PLAYER_CREATION_ADVANCED": "詳細"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "ディープオーシャンブルー"
"VEHICLE_COLOR_BROWN_DARK_TINT": "ダークスモーク（ブラウン）"
"VEHICLE_COLOR_CARBON_STEEL": "カーボン・スチール"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "塗装2と塗装3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "帽子2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND（男性用）B"
"FACIAL_EXPRESSION_SURPRISED": "驚き"
"CUST_COLOR_YELLOW_2": "イエロー2"
"CUST_VARIANT_SHARKS": "サメ"
"CUST_WEAR_AGAINST SKIN": "肌の上"
"CUST_TATTOO_STOMACH_1": "サムライ"
"CUST_COMP_MUSTACHE_7": "モレスターシュ"
"CUST_VARIANT_STRIPES_B": "ストライプ2"
"CUST_WEAR_UNTUCKED_BUTTONED": "裾出し ボタン留"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "オールバック"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "バイカーサングラス"
"CUST_ITEM_CF_HAIR_LONGASYM": "アシンメトリーロング"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "カジュアルスカート"
"CUST_GENDER": "性別"
"CUST_TATTOO_LEGS": "脚"
"CUST_COMPLIMENT_T": "アパッチ"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "頬の間隔"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "バイオレットブルー3"
"CUST_VARIANT_VERTICAL": "垂直ストライプ"
"CUST_WEAR_ZIPPED_HOOD_UP": "ジッパー閉 フードアップ"
"CUST_ITEM_CM_DLC_HAT_ABOY": "ボーラーハット"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "セインツスタイルリング"
"CUST_COMP_FINGERNAILS_R": "マニキュア右手"
"RIM_SET_014": "リムセット14"
"SLOT_LEFT_SIDE": "左側"
"SLOT_REAR_BUMPER_EXTRAS": "リアバンパー改造"
"CUST_VARIANT_PATTERN_B": "スタイル2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "アシッドハウスハット"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "ポケットロケットジャケット"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "口の位置"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "ブルーグリーン8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "装弾数が増えます"
"CUST_GANG_CLUBBER": "クラバー"
"CUST_COLOR_RED_1": "レッド1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "ギャングスタパーカー"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "セクシーギャルタンクトップ"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "おでこの幅"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "レッドオレンジ8"
"SLOT_FRONT_BUMPER_EXTRAS": "フロントバンパー改造"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "裾出し ボタン開 ネクタイ有"
"CUST_ITEM_CF_RING_F_RAVERSET": "アシッドハウスリングセット"
"CUST_TATTOO_UPPER_ARM_LEFT": "左肩"
"CUST_TATTOO_RARM_4": "サードストリートナイト"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LOLLIPOP"
"CUST_VARIANT_THICK_EYESHADOW": "濃い"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "右ジッパー開け（高）"
"CUST_SKIN_ASIAN_02": "アジア系2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "左まくりあげ（高）"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "ロッカーグラフィックTシャツ"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "ナイスボディパンツ"
"FACIAL_EXPRESSION_PAIN": "痛み1"
"CUST_MENU_LOGO": "ロゴ"
"PLAYER_MUSCLE_TEXT": "筋肉"
"PLAYER_MORPH_ASIAN_TEXT": "アジア系"
"CUST_ITEM_PLASTIC_SANDALS": "ビーチサンダル"
"CUST_SKIN_CAUCASIAN_03": "白人3"
"CUST_GANG_BIKER": "バイカー"
"CUST_COMP_MUSTACHE_24": "バルボ"
"VEHICLE_COLOR_BRASS": "ブラス"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "フロントスピナー"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "ジムマニア"
"VEHICLE_COLOR_DRAGON_BLUE": "ドラゴン・ブルー"
"CUST_COLOR_BRIGHT_BLUE": "明るいブルー"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "ズィーモススカウトハット"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "マンバレザージャケット"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "顎の長さ"
"CUST_TATTOO_LFORARM_6": "アーマースキン"
"SLOT_ROOF": "ルーフ"
"SLOT_LOGO": "ロゴ"
"HAIR_COLOR_REDHEAD": "赤毛"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "サプリディーラー"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "スティールポートヒロイングローブ"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "装弾数が増えます"
"CUST_VARIANT_LIGHT_STEEL": "ライトスチール"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITIONロゴ"
"CUST_TATTOO_TORSO_BACK": "背中全体"
"PLAYER_MORPH_CROWN_TEXT": "頭頂部"
"WARDROBE_NONE": "なし"
"CUST_COLOR_CLOTHING_VIOLET_5": "バイオレット5"
"CUST_COMP_EYES_GREY": "グレー"
"SLOT_REAR_WHEELS": "リアホイール"
"CUST_COLOR_AUBURN": "とび色"
"CUST_VARIANT_08_DEFAULT": "変形8"
"CUST_WEAR_BACK_LEFT": "背中左側"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "セクシーギャルネックレス"
"CUST_ITEM_SHADES_11": "アグリーサングラス"
"CUST_CAT_FINGERNAILS": "爪"
"CUST_TATTOO_HEAD_TOP": "顔面"
"CUST_BRO_COMPLIMENT_D": "ブラザーフッド敬意4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "イエロー6"
"CUST_TATTOO_RUPPARM_6": "ママ"
"LOGO_RHOMBUS_1": "RHOMBUS 1"
"CUST_VARIANT_HORIZONTAL": "ボーダー柄"
"CUST_WEAR_TATTOO_MAO_DESIGN": "マオデザイン"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 デッカーズヘッドセット"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "スティールポートキャップ（斜め）"
"VEHICLE_COLOR_WET_LEAF_BROWN": "ウェットリーフブラウン"
"SLOT_MUDFLAP": "泥除け"
"CUST_ITEM_FEMALE_LL_BRA_1": "ラブストラック"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "ウォールストリート"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "コールミーブレスレット"
"PLAYER_CREATION_AGE_MIDDLE": "中年"
"PLAYER_MORPH_NOSE_YAW_TEXT": "鼻の傾き"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "ウルトラブライト・ホワイト"
"CUST_WEAR_TATTOO_BARBED_WIRE": "有刺鉄線"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "鼻の高さ"
"SLOT_CASKET": "棺おけ"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "裾入れ ボタン留 腰浅 サスペンダー無"
"CUST_ITEM_CF_RING_F_EYEBALL": "アイボールリング"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "セインツぎりぎりGストリング"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "スウェットバンド"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "レーザーサイトは非エイム時の精度を上げます。\n徹甲弾は装甲を貫通します"
"CUST_COMP_MUSTACHE_20": "ゴーティー"
"VEHICLE_PAINT_SHINY_MATERIAL": "光沢素材"
"LOGO_DRAGON": "DRAGON"
"CUST_VARIANT_FADEUP_JEANS": "色あせ"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "裾出し 上ボタン留 ネクタイ有"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "ギャングスタスウェット（フードダウン）"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "ストリートファイター"
"CUST_ITEM_6_LOOPS_LEFT": "6ループ1"
"CUST_WEAR_HOOP": "輪"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "スチームパンクハット"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "まぶたのくぼみ"
"CUST_GANG_DECKER": "デッカー"
"CUST_TATTOO_LFORARM_2": "フルール・ド・キー"
"COLOR_SLOT_TRIM_1": "トリム1"
"SLOT_FRONT_MODS": "フロント改造"
"CUST_COLOR_BRIGHT_PURPLE": "明るいパープル"
"COMPONENT_PAINT_3": "ペイント3"
"CUST_ITEM_CF_RING_F_DIAMOND": "パーフェクトビューティセット"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS（男性用）C"
"CUST_ITEM_BASEBALL_CAP": "ベースボールキャップ"
"CUST_COLOR_CLOTHING_YELLOWS_2": "イエロー2"
"CUST_TATTOO_RUPPARM_2": "8ビットギャット"
"CUST_VARIANT_LOOPS": "ループ"
"CUST_VARIANT_FLAMES": "炎"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "ボディスーツ"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "パイレーツハット"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "上まぶたの角度"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "鼻の形"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "鼻梁の幅"
"CUST_COLOR_CLOTHING_VIOLET_1": "バイオレット1"
"HAIR_COLOR_PURPLE_MATTE": "パープル（マット）"
"CUST_ITEM_CF_HAIR_PIGTAILS": "ツインテール"
"FACIAL_EXPRESSION_PAIN_B": "痛み2"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "眉の幅"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "装弾数が増えます。バイポッドが反動を軽減します"
"COLOR_SLOT_WINDOW_TINT": "ウィンドウスモーク"
"LOGO_COFFEE": "COFFEE"
"LOGO_SHARKS_1": "SHARKS 1"
"CUST_WEAR_FORWARD_LEFT": "前左側"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "レッド9"
"CUST_VARIANT_TRACK_A2": "スタイル1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "裾入れ ボタン留 腰浅 サスペンダー無 ネクタイ有"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "リストバンド"
"CUST_ITEM_FEMALE_LL_BRA_5": "ニップレス"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "セインツハイカットスニーカー"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "バイオレットブルー7"
"SLOT_KNEECAPPERS_DESC": "格納可能なブレードをタイヤに付けると、人や車両の近くを走るだけでダメージを与えることができる"
"CUST_VARIANT_TRACK_PANTS": "ソリッド"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "モデルファッションシューズ"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "耳の先端の大きさ"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "顎の長さ"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "攻撃力が上がります"
"CUST_TATTOO_STOMACH_5": "コウモリ"
"CUST_COMP_MUSTACHE_3": "ポリス"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "フロントホイールキャップ"
"CUST_COLOR_BRIGHT_RED": "明るいレッド"
"LOGO_FIST": "FIST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "スキニージーンズ"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "フルール・ド・セインツキャップ"
"CUST_COMPLIMENT_P": "シルバーブレット"
"COMPONENT_ADD_SUSPENSION": "調整サスペンション"
"SLOT_KNEECAPPERS": "ニーキャッパー"
"SLOT_SPEED_UPGRADE": "スピードアップグレード"
"CUST_COLOR_ROSE_1": "ローズ1"
"CUST_VARIANT_HEARTS_BIG": "ビッグハート"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "スーパーヒーローマスク"
"VEHICLE_COLOR_TOREADOR_RED": "トレアドール・レッド"
"RIM_SET_010": "リムセット10"
"CUST_VARIANT_THIN_STRIPES": "ストライプ（薄）"
"CUST_MENU_EXIT": "ゲーム開始"
"VEHICLE_COLOR_PLATINUM": "プラチナ"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "ランウェイセーター"
"VEHICLE_PAINT_MATTE_PAINT": "マット塗料"
"SLOT_REINFORCED_FRAME_DESC": "フレームをアップグレードすると、普通ならバラバラになってしまうようなダメージを受けても車がスクラップにならなくなる"
"SLOT_ANTENNA": "アンテナ"
"CUST_VARIANT_SEMI_GLOSSY": "セミグロス"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "おでこの広さ"
"PLAYER_MORPH_CHEEKBONES_TEXT": "頬骨"
"COMPONENT_NONE": "なし"
"CUST_VARIANT_MULTICOLOR_SMALL": "多色スモール"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "ヒルズフレンチスタイル"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "鼻の長さ"
"SLOT_EXTRAS": "付属品"
"Cornhole": "コーンロー"
"STRAWBERRY_BLONDE": "ストロベリーブロンド"
"COLOR_SLOT_RIM_1": "カラースロットの縁1（使用禁止）"
"CUST_VARIANT_BADGELESS": "バッジなし"
"CUST_VARIANT_STRIPES": "ボーダー柄"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "ライトスモーク（ピンク）"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "ライトブラウン（マット）"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "BE MY LOVER Gストリング"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "ウィメンズスタイリッシュジャケット"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "連射速度を上げます。テックサイトは精度を上げます"
"CUST_TATTOO_UPPBACK_2": "ダガー"
"CUST_ITEM_CM_HAIR_DREADS": "マーレイ"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "ワークブーツ"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "ドレスジャケット&シャツ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "ルームウェア"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "マーダーブロウルナックルカバー"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "口の高さ"
"STORE_WEAPON_BUY_UPGRADE": "武器を購入／アップグレード"
"CUST_COMP_EYE_MAKEUP_7": "ウイング"
"HAIR_COLOR_ORANGE": "オレンジ"
"LOGO_NUMBER5": "NUMBER 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "花びら"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "チェーン"
"CUST_VARIANT_STRIPED_TIE": "ストライプネクタイ"
"CUST_ITEM_CM_IMPL_UBDY_M_SCARF": "ランウェイスカーフ"
"CUST_ITEM_FEMALE_NLM_EARRINGS_5": "ゲンキガールピアス"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "ボンデージリストバンド"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "スエードベルト付ブーティ"
"CUST_COMPLIMENT_D": "ユージュアル"
"CUST_COLOR_CLOTHING_GREYS_5": "グレー5"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_2": "効果範囲が広がります"
"CUST_COMP_CHEEK_MAKEUP_3": "パントマイム"
"VEHICLE_PAINT_CANDY_PAINT": "キャンディー塗料"
"CUST_VARIANT_15_DEFAULT": "スタイル1"
"CUST_VARIANT_BASKETBALL_JERSEY": "ストライプバスケットボールジャージ"
"CUST_VARIANT_HAT": "プレイン帽子"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "上唇のくぼみ"
"CUST_TATTOO_RCALF_8": "スカル"
"COLOR_SLOT_PAINT_1_AND_PAINT_2": "塗装1と塗装2"
"RIM_129": "R129"
"SLOT_COCKPIT": "コックピット"
"CUST_WEAR_TATTOO_AZTEC_SNAKE": "アステカの蛇"
"CUST_SKIN_OILED_3": "オイリーなラテンアメリカ系1"
"VEHICLE_COLOR_TINT_5": "スモーク5%%"
"LOGO_89GENX": "89 GEN X"
