"DLC3_OUTRO_08_TAG": "Palo spogliarello?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Ora usa i pugni invece della voce per stendere i fan."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Fuco e fiamme"
"DLC3_M01_INTERROGATE_GANG": "INTERROGA IL [format][color:use]LUOGOTENENTE[/format]"
"DLC3_OUTRO_10_JIMMY": "E così finisce l'avventura dei nostri intrepidi eroi. Legati dal legame che... uhm, che... li legava."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Amici mostri"
"UNL_DLC3_CUST02_CLOTHING": "OGGETTI - INCUBI DELLA NOTTE"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS POW"
"DLC3_M02_FAIL_TRUCK_DEAD": "IL TORBITRON È STATO DISTRUTTO!"
"DLC3_M02_PROTECT_PIERCE": "PROTEGGI [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny... Eddai, amico, voglio solo aiutarti!"
"DLC3_M02_DEFEND_STAGE": "DIFENDI IL [format][color:defend]PALCO[/format]"
"DLC3_M01_LOOK_FOR_TAG": "DAI UN'OCCHIATA AI [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "Per mesi avevo raccolto roba. La sua roba."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Stramitico!"
"DLC3_INTRO_19_PIERCE": "Seduto, Jimmy, e che cazzo! Lascia fare ai professionisti."
"DLC3_M02_FIND_TAG": "TROVA [format][color:location]TAG[/format]"
"DLC3_OUTRO_05_PIERCE": "Già, siamo tuoi amici, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "VAI DA [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_OUTRO_03_TAG": "Saints... deluso me."
"CUST_ITEM_DLC_HAT_DH": "CORNA DEL DIAVOLO"
"DLC3_M02_REVIVE": "RIANIMA"
"DLC3_M02_GOTO_PLANET_SAINTS": "VAI A [format][color:location]PLANET SAINTS[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Dopotutto, una strega non può che spostarsi su una scopa. Con questo veicolo, tutti ne hanno la possibilità."
"DLC3_M03_GOTO_HELICOPTER": "SALI SULL'[format][color:location]ELICOTTERO[/format]."
"DLC3_INTRO_07_JIMMY": "Mi sbagliavo."
"CUST_ITEM_DLC_PANTS_WITCH": "PANTALONI DA STREGA"
"DLC3_M02_RETURN_TO_TRUCK": "TORNA AL [format][color:location]TORBITRON[/format]"
"DLC3_M02_MISSION_NAME": "FARSA PARTENZA"
"DLC3_INTRO_02_JIMMY": "Mentre i cieli piangevano, mi accingevo a violare Madre Natura."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "AMICO - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Lascia fare a me"
"CUST_ITEM_DLC_OUTFIT_WITCH": "STREGA"
"DLC3_M03_KILL_GUARD": "NEUTRALIZZA LA [format][color:kill]GUARDIA DI STEELPORT[/format]"
"DLC3_M02_FAIL_FEEDBACK": "I FAN HANNO ROVINATO LA PERFORMANCE. USA LO SCIAMETRON PER TENERLI LONTANO DAL PALCO."
"CUST_ITEM_DLC_HAT_HALO": "AUREOLA"
"DLC3_M01_SURVIVE": "[format][color:defend]ASPETTA[/format] JIMMY"
"DLC3_INTRO_11_JIMMY": "Già."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG È MORTO!"
"DLC3_M03_KILL_MORNINGSTAR": "UCCIDI [format][color:kill]MORNINGSTAR[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "CERCA TAG AL [format][color:location]PLANET SAINTS[/format]"
"DLC3_M03_GOTO_APARTMENT": "CERCA TAG ALL'[format][color:location]ALLOGGIO[/format]"
"DLC3_M02_OBJ_MISSION_START": "VAI A [format][color:location]CASA DI JIMMY[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "DISTRUGGI IL [format][color:kill]POSTO DI BLOCCO[/format]"
"DLC3_M01_PROTECT_CAR": "PROTEGGI L'[format][color:defend]AUTO[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport è di nuovo al sicuro. Ma chi può dire quando i Saints e i loro nuovi alleati dovranno proteggerla di nuovo?"
"DLC3_OUTRO_09_PLAYER": "Certo, amico. Palo spogliarello."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Farsa partenza"
"DLC3_WPN_BEE_GUN": "SCIAMETRON"
"DLC3_INTRO_16_JIMMY": "Aspettate... dove state andando?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Vesti il ninja, l'hot dog, l'angelo e il diavolo che c'è in te."
"DLC3_INTRO_17_PLAYER": "NOI andiamo a trovare il nostro amico."
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Occhiali da sole, vecchia gomma masticata, un pettine bisunto."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Fate entrare i cloni"
"DLC3_M02_OBJ_CALM_TAG": "CALMA [format][color:kill]TAG[/format] CON LO SCIAMETRON"
"DLC3_M02_KILL_HELIS": "ELIMINA LE [format][color:kill]GUARDIE DI STEELPORT[/format] CHE TI ATTACCANO"
"DLC3_M01_GOTO_CAR": "ENTRA NELL'[format][color:location]AUTO DI JIMMY[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Nemico pubblico numero 1"
"CUST_ITEM_DLC_HOTDOG": "HOT DOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Tieni premuto {SPRINT_IMG} per effettuare un super-scatto.\nUsa {ATTACK_SECONDARY_IMG} per lanciare palle di fuoco.\nSferra pugni iper-distruttivi con {ATTACK_PRIMARY_IMG}."
"DLC3_M02_GOTO_TRUCK": "ACCEDI AL [format][color:location]TORBITRON[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "Sono disponibili nuove missioni sul tuo cellulare."
"UNL_DLC3_CUST02_ALERT": "INCUBI DELLA NOTTE"
"DLC3_M03_GOTO_BRIDGE": "CERCA TAG AL [format][color:location]PONTE[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "AVANZAMENTO"
"DLC3_INTRO_13_JIMMY": "Ci sto arrivando!"
"DLC3_INTRO_12_PLAYER": "Bene, allora dove..."
"UNL_DESC_DLC3_CUST02_ALERT": "Nuovo contenuto scaricabile disponibile nel guardaroba dell'alloggio e nel garage."
"DLC3_M02_FAIL_TAG_ESCAPE": "SEI STATO TROPPO LENTO, JOHNNY TAG SE N'È ANDATO!"
"DLC3_M01_GOTO_STRIP_CLUB": "VAI AL [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "VAI ALLO [format][color:location]SMILING JACK'S[/format]"
"DLC3_INTRO_09_TAG": "Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Trovi Aisha Brutella nel menu \"TELEFONO\" del tuo cellulare. Aiuterà i Saints in combattimento."
"DLC3_M02_OBJ_GET_BEE_GUN": "PRENDI LO [format][color:location]SCIAMETRON[/format] DAL SUV"
"DLC3_M02_REVIVE_TAG": "RIANIMA [format][color:use]TAG[/format]"
