"HASH_95863700": "UPGRADE STRONGHOLD"
"HASH_5434B08C": "VIRUS INJECTION"
"HASH_F7F5EB8C": "DOUBLE-STUFF"
"HASH_09772A8C": "PURCHASE RIDE"
"HASH_BC512B0C": "TNA TAXIS"
"HASH_5D830B0C": "I need Tanya"
"HASH_5FB3328C": "New Game"
"HASH_C38B9F0D": "GREEK"
"HASH_3F97CE0D": "FULL HEALTH"
"HASH_6861D88D": "GIVE MONSTER TRUCK"
"HASH_0CD5F68D": "Switch to Blast"
"HASH_9B1BAC8D": "god damn"
"HASH_F6E1DC8E": "Are you sure you want to exit the garage?"
"HASH_3439478E": "YOU DON'T HAVE ENOUGH DATA CLUSTERS"
"HASH_800F228E": "WARNING"
"HASH_995E468E": "NO"
"HASH_4626A08E": "I need Ned"
"HASH_178A530E": "Switch to Mind Control Blast"
"HASH_F1BDFD8F": "FIERY"
"HASH_0D6E058F": "NEVER DIE"
"HASH_DF611C0F": "Gives you a full suite of weapons."
"HASH_159BCB0F": "EVERYBODY MUST GET SHRUNK"
"HASH_9477A00F": "ASCII MODE"
"HASH_9FDA808F": "You cannot purchase a ride to that location."
"HASH_35D9108F": "PREVIOUS"
"HASH_7F21650F": "WARDEN KILLS"
"HASH_1ADE2F0F": "DISTANCE BY SUPER SPRINT"
"STAT_COOP_ACTIVITIES_COMPLETED": "CO-OP: ACTIVITIES COMPLETED"
"HASH_DEA21710": "START STORE HACKING"
"HASH_23641F90": "You never have to reload because your clip runneth over forever."
"HASH_44CA9190": "MEDIUM RAIN"
"HASH_203FDB90": "I don't need my birthday suit anymore"
"STAT_TOTAL_CASH_EARNED": "TOTAL CACHE EARNED"
"HASH_C2BF2191": "VIRUS INJECTION"
"HASH_9444BA91": "Everybody's on the crunk juice."
"HASH_A9E6F511": "Disables super powered movement abilities."
"HASH_2E290D91": "I need Hippie Shaundi"
"HASH_738A3B11": "I need King"
"HASH_3858EF11": "Extras"
"HASH_E5A69F12": "RIM FAMILY"
"HASH_3CC2E092": "PURCHASE"
"HASH_1BCFC892": "PIERCINGS"
"HASH_6F213092": "Medium"
"HASH_265E6D12": "Pause"
"STAT_DISTANCE_BY_CAR": "DISTANCE BY CAR"
"HASH_209DF393": "RETURN TO CRIB"
"HASH_71483193": "COLORS"
"HASH_B23BE313": "Switch to Life Steal Telekinesis"
"HASH_86DAED93": "Difficult"
"STAT_MISSIONS_COMPLETED": "MISSIONS COMPLETED"
"HASH_85764B94": "RIFLES"
"HASH_14327914": "UPGRADE WEAPON - LEVEL 2"
"HASH_D7575494": "IMAGE AS DESIGNED"
"HASH_2AADFC14": "RETRIEVE"
"HASH_ECA86494": "JIMMY"
"Wrath_of_God": "WRATH OF GOD"
"HASH_FB617194": "Unlocks the Blast super power."
"TOD_Cycle": "CHANGE TIME OF DAY"
"HASH_70E20594": "Gives you infinite ammo for all weapons."
"HASH_80052C14": "Controls"
"HASH_9C766894": "bullshit"
"HASH_FEF59D95": "Exit Store\n\nAre you sure?"
"HASH_4652AB15": "GIVE ALIEN TANK"
"Disable_Super_Powers": "DISABLE SUPER POWERS"
"HASH_1F245F15": "Spawn my Ride"
"HASH_899B4F95": "I need Odekar"
"HASH_87636195": "I need my birthday suit"
"STAT_WHEELIE_LONGEST_DISTANCE": "LONGEST WHEELIE DISTANCE"
"STAT_CIVILIANS_KILLED": "CIVILIANS KILLED"
"HASH_75C29796": "Exit Weapon Store\n\nAre you sure?"
"HASH_9D5FCE16": "BOTH AXLES"
"HASH_94DF9E16": "PLAYER CUSTOMIZATION"
"HASH_E6ED8196": "CORKSCREW"
"HASH_BB61BD16": "Golly, this cheat sure is swell!"
"HASH_45CF2C16": "All cars try to run you over."
"HASH_3EA9C596": "Switch to Bling Blast"
"HASH_923E7F16": "YES"
"STAT_HOSPITAL_BILLS": "HOSPITAL BILLS"
"STAT_DISTANCE_BY_VEHICLE": "DISTANCE BY VEHICLE"
"STAT_CASH_EARNED_PER_DAY": "EARNED PER HOUR"
"STAT_ACTIVITY_RESPECT_EARNED": "XP EARNED THROUGH ACTIVITIES"
"HASH_FFF1DC97": "Exit Garage?"
"HASH_A3655317": "I need Genki Backup"
"HASH_DC0A0318": "GET A TATTOO"
"HASH_9C389D18": "Do you really want to leave Image As Designed?"
"HASH_786EAC18": "TATTOO"
"HASH_401D2B98": "LOLLIPOP"
"Unlock_Super_Move": "UNLOCK SUPER MOVEMENT"
"HASH_D8DEB498": "PEDESTRIAN WAR"
"HASH_FC0E6998": "CAR MASS HOLE"
"HASH_20138D98": "YES"
"HASH_31219018": "I need Raptor Ned"
"HASH_2F36D218": "Switch to Bling Stomp"
"HASH_6C4F4399": "PISTOLS"
"HASH_8234EA99": "WHEEL SIZE"
"HASH_C7E28819": "GARAGE"
"HASH_3F586799": "This crib is now yours. \nYou can access your stored cash, weapons, clothes, and vehicles here. \nCustomize it to increase your Style Rank."
"HASH_76997619": "Unlocks and purchases all Super Power Upgrades."
"HASH_CED09699": "I need Keith"
"HASH_0E621019": "Switch to Explosion Buff"
"HASH_67368799": "Switch to Explosive Telekinesis"
"HASH_18871F99": "THE BACK BUTTON"
"STAT_TOTAL_DISTANCE_TRAVELLED": "TOTAL DISTANCE TRAVELLED"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTAL DAMAGE TAKEN"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "SPENT ON CUSTOMIZATION ITEMS"
"HASH_04AB8C1A": "Do you wish to purchase {0} for {GAME_CASH}{1}?"
"HASH_9D78669A": "SAVE OUTFIT"
"HASH_4A58CE9A": "DRAGON"
"HASH_722B491A": "VICE GRIP"
"HASH_C7D8E39A": "Your vehicle is immune to damage."
"HASH_CB561B9A": "EAGLELINE YELLOW"
"HASH_5A5AA49A": "HELI ASSAULT"
"HASH_4F1BB19A": "TAXI"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: CASH EARNED"
"STAT_ACTIVITIES_COMPLETED": "ACTIVITIES COMPLETED"
"HASH_B46F351B": "This will remove all your current clothes. \nBeing nude allows you to Streak. \nAre you sure?"
"HASH_1331A41B": "PLASTIC SURGEON"
"HASH_2692441B": "Switch to Gravity Stomp"
"HASH_EC1C9C1B": "motherfucker"
"HASH_BC7B149C": "You can not carry any more ammo of this type."
"HASH_1FD9499C": "SAVE"
"HASH_CF1F121C": "INSUFFICIENT FUNDS"
"HASH_EE472D9C": "VIRUS INJECTION"
"HASH_B288C21C": "PURCHASED"
"HASH_1C02691C": "TRUMPET"
"HASH_2471EE9C": "SHOCKER"
"HASH_9DEFCC9C": "Unlocks the Stomp super power."
"HASH_B3F04D1C": "You do not have enough money to purchase this trip."
"HASH_0A55A39C": "I need Matt"
"HASH_1D7D7F1C": "Save Game"
"STAT_NEIGHBORHOODS_CONTROLLED": "NEIGHBORHOODS CONTROLLED"
"HASH_CB918D9D": "SLOT 3"
"HASH_9CBBBC1D": "TATTOO PARLOR"
"HASH_19B1A19D": "IMAGE AS DESIGNED"
"HASH_1F61D09D": "Nevermind"
"STAT_COOP_KILLS": "CO-OP: PLAYER KILLS"
"HASH_4B34C61D": "ALIENS KILLED"
"HASH_535A2A1E": "EXTRA HIGH PROFILE"
"HASH_5E09629E": "Are you sure you want to exit vehicle customization?"
"HASH_DCDDB11E": "DROP SPORTS CAR"
"HASH_16478C1E": "TWISTER"
"HASH_53162C1E": "BODYGUARDS"
"HASH_F505E31E": "SUPER EXPLOSIONS"
"HASH_0586949E": "Your vehicle smashes other vehicles."
"HASH_DD7B139E": "PLAYER PRATFALLS"
"HASH_4582D21E": "[format][scale:1.0][image:map_store_surgeon][/format]"
"HASH_033DA99E": "Settings"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "CAT & MOUSE: MOST POINTS EARNED"
"HASH_0E08371F": "VIEW OUTFITS"
"HASH_FABB4F1F": "NO OUTFITS"
"HASH_0B223D1F": "You can sprint forever."
"HASH_1739E120": "COLOR GRID"
"HASH_D3519F20": "ANGRY"
"HASH_EB2218A0": "HAIRY"
"HASH_525F4A20": "BIG WILLY'S CAB"
"HASH_63007D20": "CAR MECHANIC"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTAL TAUNTS GIVEN"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTAL MULTI-KILLS"
"HASH_6BBA09A0": "MARAUDERS KILLED"
"STAT_FLASHPOINTS_COMPLETED": "FLASHPOINTS COMPLETED"
"HASH_17DC7421": "PLANET ZIN"
"HASH_88166A21": "STYLE"
"HASH_4FB1F521": "Unlocks and purchases all non-super Upgrades."
"HASH_F4DA01A1": "I need Julius"
"HASH_7515CDA1": "fucking shit"
"HASH_F9E04B21": "BLAST KILLS"
"HASH_7443C122": "SHOTGUNS"
"HASH_28250AA2": "MELEE"
"HASH_6CEE2CA2": "UPGRADE"
"HASH_E167FDA2": "MUSHROOM"
"HASH_D9147A22": "BROWN"
"HASH_F6EB2922": "Unlocks the Telekinesis super power."
"Player_Vehicle_No_Damage": "VEHICLE NO DAMAGE"
"HASH_7B93C3A2": "ho ho ho, motherfucker"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "VEHICLE SURFING LONGEST TIME"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "SPENT ON CAR CUSTOMIZATION"
"HASH_5BE9D123": "CURRENT AMMO"
"HASH_7E97BBA3": "ACCESS SHIP/CUSTOMIZATION"
"HASH_57D9C723": "I need David"
"HASH_976B41A3": "Switch to Explosive Buff"
"STAT_VEHICLE_CAR": "CAR"
"STAT_TAUNT": "TAUNTING"
"HASH_7F484F24": "FAT {0}%%%%"
"HASH_8F4EDDA4": "BACKDOOR"
"HASH_00D837A4": "DESTROY"
"HASH_25D0F1A4": "Switch to Shrink Stomp"
"HASH_1C16C5A4": "Switch to Lightning Telekinesis"
"HASH_9A34F824": "Options"
"STAT_SHOT_HIT_PERCENTAGE": "SHOTS HIT"
"STATS_NO": "NO"
"HASH_542AB6A5": "UNLOCK BLAST"
"HASH_9F17EA25": "[format][scale:1.0][image:map_other_crib][/format]"
"HASH_F8343FA5": "Save"
"STATS_BLANK_OF_BLANK": "%d OF %d"
"HASH_9CC57AA6": "WARNING"
"HASH_982B94A6": "WHEELS"
"HASH_1DF962A6": "NOTHING"
"HASH_850B38A6": "RUSTY"
"HASH_BD78BF26": "DRIPPING"
"HASH_BFBF5AA6": "SUPER STOMP"
"Bloody_Mess": "BLOODY MESS"
"HASH_935CF226": "I need Miller"
"HASH_84742EA6": "Save the Game"
"HASH_F4A56626": "TEXT ADVENTURE PIECES FOUND"
"HASH_AC02B7A7": "Do you wish to upgrade {0:text_tag_crc} for {GAME_CASH}{1}?"
"HASH_6BE0C4A7": "VIRUS INJECTION"
"HASH_11398FA7": "HELIPORT"
"HASH_AC528127": "YOU"
"HASH_FB13D6A7": "I need Roddy"
"HASH_86688127": "Operator, hang up"
"STAT_WEAPON_RIFLE": "RIFLE"
"HASH_0434EF28": "INSANE CITY"
"HASH_CD040FA8": "Switch to Buff"
"HASH_F6286128": "Normal"
"HASH_BF573CA8": "Pause the Game"
"HASH_2B7A1DA9": "PURCHASE CLOTHING"
"HASH_E8416029": "BODY MODS"
"HASH_BA6FC9A9": "PLEASANT DAY"
"HASH_38205BA9": "Notoriety no longer spawns Wardens."
"HASH_3C5C9529": "I need Kinzie"
"HASH_2B32B2A9": "Switch to Vamp Telekinesis"
"HASH_758EF42A": "PURCHASING"
"HASH_7483102A": "Do you wish to purchase this ride for %ls?"
"HASH_6EA41CAA": "OVERCAST"
"HASH_F46763AA": "I need the Dominatrix"
"HASH_B1710E2A": "Voice Commands"
"HASH_B9368A2A": "I don't want my birthday suit anymore"
"STAT_VEHICLES_HIJACKED": "VEHICLES HIJACKED"
"HASH_DB7EF3AB": "ZOOM / ROTATE"
"HASH_D0A331AB": "CHOOSE A CATEGORY"
"HASH_45B5A12B": "UNLOCK STOMP"
"HASH_D1A3D8AB": "Unlocks the Buff super power."
"HASH_B7205C2B": "I need the Longhair"
"HASH_EA836AAB": "I need Ben"
"HASH_7D299D2B": "Show the Options Menu"
"HASH_F353FF2B": "ROTATE"
"HASH_E2C820AC": "Removing this item from your wardrobe will also remove the outfit that it belongs to."
"HASH_DD71C52C": "PRICE {GAME_CASH}{0}"
"HASH_7FE4D02C": "GOLDEN"
"HASH_A7FC2BAC": "GIVE ALIEN HOVERBIKE"
"HASH_0BE30D2C": "Switch to Explosive Blast"
"HASH_A945812C": "Multiplayer"
"HASH_DA87172C": "OK"
"STATS_YES": "YES"
"HASH_B6F77AAD": "SUITS"
"HASH_C6EACAAD": "NO WARDEN"
"HASH_A597EEAD": "LOW GRAVITY"
"STAT_SWAT_KILLED": "SWAT KILLED"
"HASH_3880802D": "LOYALTY MISSIONS COMPLETED"
"HASH_AA19152E": "BUILD"
"HASH_F2AE7FAE": "VIRUS INJECTION"
"HASH_8D3B28AE": "UPGRADE WEAPON - LEVEL 1"
"HASH_75A1352E": "SPITTING"
"HASH_E42CD02E": "CRIB FOR SALE"
"HASH_190C7DAE": "Control Options"
"HASH_684048AE": "Audio Settings"
"HASH_057F392E": "asshole"
"HASH_0694B82E": "ZINYAK STATUES DESTROYED"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "TANK MAYHEM: DAMAGE DONE"
"STAT_ORBS_FOUND": "CLUSTERS FOUND"
"HASH_23BDCD2F": "FRIENDLY FIRE"
"HASH_8910B2AF": "WARNING"
"HASH_DBAD732F": "SECURITY DELETION"
"HASH_1E6A302F": "I want my birthday suit"
"HASH_9C819730": "{GAME_CASH}{0} PER HOUR"
"HASH_A8280030": "SUPER SAINTS"
"HASH_098BC5B0": "I AM GIANT"
"HASH_E45BC2B0": "I need Matt Miller"
"STAT_FRAUD_CASH_CLAIMED": "FRAUD: MONEY CLAIMED"
"STAT_DIVERSION_CASH_EARNED": "EARNED IN DIVERSIONS"
"HASH_8E89CD31": "VISIT THE MECHANIC"
"HASH_259FECB1": "SLOT 1"
"HASH_6C2CAA31": "{0}%%% DISCOUNT"
"HASH_0CD86931": "MATRIARCH"
"HASH_A81196B1": "Everyone has gone insane!"
"HASH_857D7CB1": "Your vehicle has infinite mass and smashes other vehicles out of the way."
"HASH_2D302CB1": "Switch to Explosion Stomp"
"STAT_NEIGHBORHOODS_EXPLORED": "NEIGHBORHOODS EXPLORED"
"HASH_4A38ADB2": "TIRE TREAD"
"HASH_705B98B2": "GIVE RPG LAUNCHER"
"HASH_0A0B1532": "GIVE AMBULANCE"
"HASH_6B11F532": "Switch to Electricity Telekinesis"
"HASH_BBEA0C32": "Options"
"STAT_MISSIONS_FAILED": "MISSIONS FAILED"
"STAT_COOP_TIME_PLAYED": "CO-OP: TIME PLAYED"
"HASH_3EEE0BB3": "NORRIS"
"HASH_3627CDB3": "Maxes out Super Power Strength."
"HASH_8A0140B3": "Start"
"HASH_7C607D33": "START"
"HASH_7A937D34": "VIRUS INJECTION"
"HASH_7E94C2B4": "Repairs all damage to your vehicle."
"HASH_5967C034": "Everyone you kill explodes."
"HASH_DF2FF134": "I need my Dino"
"HASH_8E8302B4": "Switch to Glitch Blast"
"HASH_68B4AC35": "BISHOP"
"HASH_8FF2CF35": "NEUTRAL"
"HASH_20DEF7B5": "I need Keith David"
"HASH_953A42B6": "EXIT"
"HASH_6EFCBA36": "WICKED"
"HASH_A7CB3DB6": "Unlocks Telekinesis ability."
"HASH_C6BA6336": "New"
"HASH_A8B8F036": "Continue"
"STAT_BRUTES_KILLED": "BRUTES KILLED"
"HASH_5A82CEB7": "MANTIS"
"HASH_0212FD37": "god damnit"
"HASH_09A7E037": "NO"
"HASH_F85048B8": "VISIT THE PLASTIC SURGEON"
"HASH_9DECF3B8": "CUSTOMIZE"
"HASH_F07F97B8": "SUBMISSIVE"
"HASH_3794E8B8": "Unlocks super movement powers."
"HASH_B4F92CB8": "Switch to Rock Stomp"
"HASH_1F477838": "Audio Options"
"HASH_E9333238": "HOTSPOTS COMPLETED"
"STAT_BEST_WEAPON": "BEST WEAPON"
"HASH_F9279CB9": "VIRUS INJECTION"
"HASH_933049B9": "VIRUS INJECTION"
"HASH_9F063439": "PC RESTORE TO NORMAL"
"HASH_67952EB9": "I need Asha"
"STAT_LAW_ENFORCEMENT_KILLED": "TOTAL LAW ENFORCEMENT KILLED"
"HASH_C249F53A": "RISING"
"Infinite_Ammo": "INFINITE AMMO"
"HASH_BD994EBA": "GIVE CASH"
"HASH_DE42B1BA": "Co-op Campaign"
"STAT_WEAPON_PISTOL": "PISTOL"
"STAT_TIME_PLAYED": "TOTAL TIME PLAYED"
"HASH_B391E13B": "SAVE AND QUIT"
"HASH_68078CBB": "80S"
"HASH_BC23C8BB": "100%% SUPER POWERS"
"STAT_HIGHEST_RANK_ACHIEVED": "HIGHEST RANK ACHIEVED"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "FRAUD: TOTAL DIVE DISTANCE"
"STAT_CAT_MOUSE_CASH_EARNED": "CAT & MOUSE: CACHE EARNED"
"HASH_19FD32BB": "BLAZIN: DISTANCE TRAVELLED"
"HASH_04755A3C": "DELETE"
"HASH_941352BC": "SHOOTING"
"HASH_391FD6BC": "One shot firearm kills."
"STAT_UNARMED_KILLS": "UNARMED KILLS"
"STAT_TOTAL_CASH_SPENT": "TOTAL CACHE SPENT"
"HASH_0E87BF3D": "UNLOCK TELEKINESIS"
"HASH_B659EFBD": "RAINING PEDESTRIANS"
"HASH_43CCA63D": "VIRUS COLLECTION"
"HASH_0A2EADBD": "Show Options"
"HASH_E5A2F8BE": "VIRUS INJECTION"
"HASH_97B765BE": "VEHICLES"
"HASH_FA896C3E": "OUTFITS"
"HASH_A625303E": "KING'S"
"HASH_50DE5BBE": "I need Cyrus"
"HASH_094F983F": "Do you really want to accept this invite?\n(any unsaved progress will be lost)"
"HASH_8524873F": "Welcome to the real world."
"HASH_68D48CBF": "Hardcore"
"HASH_9DB93BBF": "Resume"
"HASH_DF899B40": "You can't remove a bra that you are currently wearing."
"HASH_FD2337C0": "VIRUS INJECTION"
"HASH_68F54F40": "REMOVE ALL CURRENT CLOTHING"
"HASH_10FF3DC0": "FAST FORWARD"
"HASH_F6D9A740": "Switch to Bling Buff"
"HASH_91E51540": "SIGN IN"
"STAT_MISSIONS_ATTEMPTED": "MISSIONS ATTEMPTED"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "LUCHADOR SPECIALISTS KILLED"
"HASH_425B95C1": "PHOENIX"
"HASH_804C1CC1": "CLOTHING STORE"
"HASH_FC6A9B41": "Local"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "FRAUD: LONGEST DIVE DISTANCE"
"HASH_FD9B5942": "DISCARD ITEM"
"HASH_FA41A4C2": "VIRUS INJECTION"
"HASH_0DDA2EC2": "DOUBLE-FISTED"
"HASH_359116C2": "PIMPS AND HOS"
"HASH_C5ED0642": "TAXI SERVICE"
"HASH_76B05942": "I need Pierce"
"HASH_B2AB00C2": "Switch to Freeze Blast"
"HASH_A6DE0042": "Casual"
"HASH_FCC95AC2": "Phone"
"HASH_97D163C2": "TIME LISTENING TO ZINYAK RADIO"
"HASH_706DF743": "MILKSHAKE"
"HASH_AB849FC4": "REQUIRED"
"HASH_633D6444": "You will never die."
"HASH_CA60E744": "I need Zimos"
"HASH_08EBC5C5": "PRIMARY COLOR"
"HASH_D3415845": "OWNED"
"HASH_263750C5": "CORNHOLE"
"HASH_A8726D45": "Are you sure you want to delete this outfit?\nYour clothes will remain in your wardrobe."
"HASH_89667EC5": "POLICE"
"STAT_VEHICLES_DESTROYED": "VEHICLES DESTROYED"
"HASH_2F17E4C6": "REQUEST HEALING"
"HASH_140FC0C6": "[format][scale:1.0][image:map_store_tattoo][/format]"
"HASH_181729C6": "Switch to Fire Blast"
"HASH_2D800446": "MURDERBOTS KILLED"
"HASH_ABAF27C7": "TARGET LOCATION"
"HASH_14013247": "DILLOW"
"HASH_F79F0247": "Removes all existing Notoriety."
"HASH_F870EE47": "HEAVEN BOUND"
"HASH_A0CD20C8": "VIRUS INJECTION"
"HASH_1A1A3CC8": "WARDROBE"
"HASH_84F9F148": "QUIT WITHOUT SAVING"
"HASH_BEFC6B48": "CREEPING"
"HASH_EE985848": "WHORED MODE"
"HASH_1C1718C8": "UNLIMITED CLIP"
"HASH_74B404C8": "ALL UPGRADES"
"HASH_59280448": "Switch to Force Telekinesis"
"HASH_E9041C48": "Display"
"STAT_TOTAL_RESPECT": "TOTAL XP EARNED"
"HASH_A2BF0948": "DISTANCE BY SUPER JUMP"
"STAT_BEAT_COPS_KILLED": "BEAT COPS KILLED"
"HASH_6BD467C9": "DETAIL COLOR"
"HASH_889C9FC9": "VIRUS INJECTION"
"HASH_3C5C24C9": "This save file could not be loaded because the file has been corrupted or is an invalid save file."
"HASH_D2228AC9": "REPAIR CAR"
"HASH_8FBCC549": "Time speeds up."
"HASH_A108CDC9": "GUARDIAN ANGEL"
"HASH_91F4BC49": "Manual"
"HASH_0FA1D649": "Show the Hub Menu"
"STAT_MASCOTS_KILLED": "MASCOTS KILLED"
"STAT_AUDIO_LOGS_FOUND": "AUDIO LOGS FOUND"
"HASH_3D0FA44A": "WHEEL WIDTH"
"HASH_5A9431CA": "SECONDARY COLOR"
"HASH_CDFFF84A": "You do not have enough cash to repair this vehicle.\nRetrieve anyway?"
"HASH_8CCA09CA": "ROMAN"
"HASH_2FEABC4A": "I need Shaundi"
"HASH_399AD0CA": "Switch to Electricity Buff"
"HASH_209891CA": "CONTINUE"
"STAT_WEAPON_SNIPER": "SNIPER"
"HASH_D966A84B": "Do you wish to purchase this item?"
"HASH_2CA8D5CB": "VIRUS INJECTION"
"HASH_5B8087CB": "ZIN NIGHT"
"HASH_432A1B4B": "I need Johnny"
"HASH_A6E183CB": "Load Game"
"STAT_VEHICLE_BIKE": "BIKE"
"STAT_HOMIES_RECRUITED": "HOMIES RECRUITED"
"STATS_DISTANCE_FEET": "%0.2fft"
"HASH_B618BFCC": "ZOOM"
"HASH_42018E4C": "LOWER BODY"
"HASH_DA90AE4C": "SITTING"
"HASH_5DA5934C": "GIVE TAXI"
"HASH_AB251DCC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"HASH_C09CC44C": "Back"
"HASH_42B8C8CD": "Are you sure you want to delete this vehicle?"
"HASH_EEEEDACD": "PRINCESS"
"HASH_1B1A944D": "ASCII MODE"
"HASH_D702EE4D": "Switch to Bling Telekinesis"
"HASH_5E560E4E": "VIRUS INJECTION"
"HASH_EA2DFA4E": "DELETE OUTFIT"
"HASH_BC60BC4E": "TORSO TATTOOS"
"HASH_B85CCDCE": "ARM TATTOOS"
"HASH_DF0779CE": "HEAD"
"HASH_E8A6CCCE": "INVERTED"
"HASH_6507D7CE": "FIGHT CLUB: ENEMIES DEFEATED"
"HASH_3182C7CF": "SLOT {0} - {1:TEXT_TAG_CRC}"
"HASH_9511154F": "MONKEY WRENCH"
"HASH_3878184F": "GOD MODE"
"HASH_70D22B4F": "[format][scale:1.0][image:map_store_gun][/format]"
"STAT_WEAPON_SHOTGUN": "SHOTGUN"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "TOTAL COPS TAUNTED"
"HASH_2BF4BA50": "START"
"HASH_9E134DD1": "VIRUS INJECTION"
"HASH_79FE3ED1": "GANGSTER"
"HASH_C58A6651": "UNLOCK BUFF"
"HASH_5A0DA951": "I need Santa"
"HASH_B50C2BD2": "CIVILIANS"
"HASH_386AE5D2": "I need Maero"
"HASH_926EB2D3": "Exit Television?"
"HASH_B8753A53": "I need my mech suit"
"HASH_BE3DB3D3": "TK THROWS"
"HASH_1B0BC554": "COLOR FINISH"
"HASH_CE0493D4": "VIRUS INJECTION"
"HASH_22C768D4": "DROP HELICOPTER"
"HASH_ADDFD054": "Zee Mos"
"HASH_6666C454": "Campaign"
"HASH_0335D055": "DISCARD ITEM"
"HASH_6F5D4255": "VIRUS INJECTION"
"HASH_92CC6855": "CANCEL"
"HASH_6B5594D5": "BODY"
"HASH_F5B355D5": "SANCHEZ"
"HASH_8549EDD5": "EXIT DEMO"
"HASH_B2D427D5": "MAYHEM"
"HASH_B9B2A6D5": "Switch to Ice Buff"
"HASH_F370F855": "Control Schemes"
"HASH_9E91BF55": "Show the Map"
