"HASH_B4A2E1C0": "CO-OP DEATH TAG"
"HASH_FE3ED556": "{0:text_tag_crc} {1}"
"HASH_D73A85D6": "BEATDOWN"
"HASH_492604D6": "WALK THE CLERK TO THE REGISTER"
"HASH_973DE956": "You lost. Press {PICKUP_RELOAD_IMG} to continue."
"HASH_89EEB4B6": "Return the vehicle to the chop shop."
"HASH_BF8E0656": "RECORD BIG AIR ROLL"
"HASH_ADADA216": "YOU ARE THE CAT. HAPPY HUNTING!"
"HASH_483A21B7": "STATUES DESTROYED"
"HASH_5B0B5817": "The Cat needs to catch the Mouse before he hits all the checkpoints."
"HASH_AF809E17": "Go to the location then wait for the TARGET to appear. \nKill Julius to be able to spawn him as a Saints Homie."
"HASH_34027E77": "COLLECT HITMAN TARGET LIST"
"HASH_EAC818F7": "HENRY STEEL MILLS"
"HASH_68C31897": "WHEELS"
"HASH_A3416ED7": "HANDSTAND"
"HASH_E56BCC17": "[format][color:use]DISABLE[/format] CONTROLLER"
"HASH_79FCE517": "LOCATIONS FOUND"
"HASH_83311017": "RECORD BIG AIR SPIN"
"HASH_1DF20117": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_7CD401D8": " [format][color:use]DISABLE[/format] GENERATORS"
"HASH_325829D8": "START HOSTAGE DIVERSION"
"HASH_DEAE7558": "TESTICULAR MANSLAUGHTER"
"HASH_6F02D778": "You received {GAME_CASH}%d and %d[format][color:purple]XP[/format] for helping your co-op partner."
"HASH_CFC5FC98": "ONCOMING LANE DISTANCE"
"HASH_91E36BD8": "AUDIO LOG"
"HASH_CEC714F8": "STEAL THE [format][color:use]VEHICLE[/format]"
"HASH_4C64B6F9": "ZINSASSER"
"HASH_124AF2D9": "Go to the location then wait for the TARGET to appear. \nDestroy the Old Version of yourself to stop his maniacal plans."
"HASH_E94CCC99": "SUNSET PARK"
"HASH_37727579": "WINDSHIELD CANNON"
"HASH_A56A99F9": "RECORD HANDSTAND"
"HASH_E7D4B839": "HOLD %ls TO START STREAKING"
"HASH_3B40AE79": "POWERSLIDE"
"HASH_E2B37D79": "CHOP SHOP"
"HASH_9BFA88D9": "DIVERSION CANCELED"
"HASH_1E76D579": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_FC09DC1A": "The Syndicate's golden boy on the Steelport PD is Lieutenant Gorshin in [format][color:em]New Colvin ... that's what Northeast Steelport is called.[/format] Anyway,[format][color:em] make some noise there[/format] and he'll probably come to you.  Then cap his ass and we'll be better off."
"HASH_EC3E721A": "VIRUS INJECTION"
"HASH_0C208E3A": "ONE HIT KILL"
"HASH_96B571DA": "MULTI KILL"
"HASH_85393A9A": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_CB271C9B": "PARTICIPATE IN PHOTO OP"
"HASH_1809FBBB": "The target was killed by another hitman!"
"HASH_0BB8BBBB": "RECORD WINDSHIELD CANNON"
"HASH_867FC23B": "POWERSLIDE"
"HASH_AB55CE3B": " {ATTACK_SECONDARY_IMG} TO REVIVE IN DEATH TAG DIVERSION"
"HASH_A8B5987B": "[format][color:location]RETURN[/format] VEHICLE"
"HASH_F3FC603B": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_CFDC2B5C": "Go to the location then wait for the TARGET to appear. \nKill Maero to be able to spawn him as a Saints Homie."
"HASH_AF95993C": "START SECURITY DELETION"
"HASH_F0FA063C": "AIRPORT"
"HASH_A635AC1C": "NEAR CRASH"
"HASH_1A6633FC": "AIRCRAFT KILL"
"HASH_578CCBBC": "FOLLOW THE SHOPKEEPER TO THE SAFE"
"HASH_5A48FC1D": "VIRUS COLLECTION"
"HASH_D633DF1D": "DRUG PACKAGE"
"HASH_B2D9225D": "STOPPIE"
"HASH_76BB6F1E": "ZINYAK STATUE"
"HASH_F5933F7E": "Responding to Survival Calls is optional ... if you ignore it, it will go away shortly. If you want to help the Saints out, set your GPS to the location and get there quickly!"
"HASH_ABDC9BFE": "ZINTROJAN"
"HASH_1D70B37E": "NEW COLVIN"
"HASH_46DA75DE": "TWO WHEEL"
"HASH_20D6AA5E": "SHOCKS LEFT"
"HASH_608C98DE": "DIVERSION COMPLETED"
"HASH_9D39155E": "TAKEDOWN"
"HASH_9A80501E": "SEARCH FOR THE TARGET VEHICLE"
"HASH_3881287E": "RECORD WHEELIE"
"HASH_6AACA95E": "VIRUS COLLECTION"
"HASH_DD6BF4BE": "JULIUS AUDIO LOGS"
"HASH_B35393DF": "TAKEOVER ASSIST"
"HASH_8E7E1C5F": "(START A CO-OP GAME TO PLAY THIS ACTIVITY)"
"HASH_826CE7DF": "It was a trap, that was just a decoy.  Kill the real target!"
"HASH_533FDC3F": "WAVE:"
"HASH_B197FFBF": "MUGGING"
"HASH_D55AC5DF": "SECRET LOCATION"
"HASH_0B278CFF": "BURNOUT"
"HASH_827FBA7F": "ROADKILL"
"HASH_90B0453F": "WAITING FOR ENEMY RESPAWN..."
"HASH_8F166C7F": "START VIRUS COLLECTION"
"HASH_1C69F3FF": "VIRUS COLLECTION"
"HASH_4D68983F": "START CAT AND MOUSE CO-OP ACTIVITY"
