"HASH_9EA21200": "ZERO COOL"
"HASH_354CBA06": "DESTROY ALIEN SHIT"
"HASH_3A426D06": "DISABLE [format][color:use]GENERATOR [/format]"
"HASH_821E1606": "STOP  [format][color:kill]POLICE CAR[/format]"
"M10_FAIL_BEN_KING_DIED": "BEN KING DIED!"
"HASH_62F2BD06": "LEAVE PLANET TO WALK ON THE MOON"
"HASH_9EE25006": "CONTINUE"
"HASH_01884507": "SHAUNDI'S LIST"
"HASH_A0957E07": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_25A15807": "TAKE A TORCH"
"HASH_A6037507": "TK THROW [format][color:defend]CID[/format] INTO [format][color:location]SHIELD GENERATOR[/format]"
"HASH_8B536407": "\\"I SAID I'M SORRY...\\""
"HASH_37E83007": "Admittedly, I may have used some coarse language-as emphasis to underline my points-but I conducted myself as one ought during any legal proceeding. After carefully explaining myself to the council, they saw my point of view and dismissed Zinfob's case against me."
"HASH_9F585B08": "CLEAR OUT ZIN TROOPS"
"HASH_5F59C808": "THE ESCAPE"
"HASH_F0333808": "RESCUE JOHNNY GAT"
"HASH_6B263A08": "\\"NICE OUTFIT\\""
"HASH_A4E4B809": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_5D58E409": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_0FBCEE09": "[format][color:use]BUY[/format] SOME NEW CLOTHES"
"HASH_9E902009": "BREAK ON THROUGH"
"HASH_4FE06009": "MILLER-SPACE"
"HASH_C477FC09": "OPEN THE [format][color:use]AIR DUCT[/format]"
"HASH_8287E309": "\\"I AM A SLAVE\\""
"HASH_B0211C09": "NO ONE GOES HUNGRY"
"HASH_246A9E0A": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_6583C80A": "HACK THE LOCAL RIM JOBS"
"HASH_7E4A950A": "MEET MATT ON SHIP"
"HASH_72225B0A": "You press forward, praying to the 31 gods of Diaz that your torch won't go out. Fortunately, it doesn't. Ahead of you darkness gives way to light as a dull indigo glow illuminates the corridor up ahead. You hear the sound of a large rock grinding against stone.\n\nWhat do you do?\n\n"
"HASH_9D1F020A": "FIND A SECOND-IN-COMMAND"
"HASH_A9117B0A": "BIOMECHANICAL FIGHTING MECHANICS"
"HASH_2372FD0A": "Most assuredly not. My father's butchering technique was deplorable."
"HASH_92805F0B": "EXPLORE THE RIFT"
"HASH_2DBC5D0B": "JOY RIDE (DISRUPT THE SYSTEM)"
"HASH_A2B8110B": "RETURN TO MISSION OBJECTIVE"
"HASH_96BF370B": "Despite what you may have heard about the people of the Jetyang quadrant, I assure you they were ahead of the rest in their martial prowess. Perhaps most impressively, the Jetyang had mastered:"
"HASH_C2A5250C": "DEFEND [format][color:defend]SAINTS[/format]"
"HASH_5EF5180C": "MEET SHAUNDI ON THE SHIP"
"HASH_4C40E40C": "SOMETHING TO PROVE"
"HASH_47A9260C": "KILL [format][color:Location]TARGET[/format]"
"HASH_C69BC50C": "LAUNCH PROBE"
"HASH_B80C5E0C": "PUNCH A DICK IN THE HEAD"
"HASH_FB67500C": "FONDEST CHILDHOOD MEMORY"
"HASH_71071A0C": "The Jetyang Theocracy's so-called \\"diplomats\\" could be bested by an amateur debate team."
"HASH_C7177E0D": "MEET SHAUNDI ON THE SHIP"
"HASH_78841B0D": "KILL (CLEAR OUT ZIN TROOPS)"
"HASH_1846B90D": "GO TO [format][color:location]RELAY LOCATION[/format]"
"HASH_FC55E60D": "RETURN TO THE [format][color:location]SHIP[/format]"
"HASH_3801AA0D": "HEAD[format][color:location] BACKSTAGE[/format]"
"HASH_3546490D": "SHOP AT [format][color:location]PLANET ZIN[/format]"
"HASH_6BA9E40D": "GO TO [format][color:location]ARMORY [/format]"
"HASH_959A760D": "You sense that an evil most evil is coming down the corridor. As you wait a loose flagstone falls from the ceiling.\n\nIt lands on your head and breaks your neck.\n\nYou are dead.\n\nThanks for playing Dragons and Tears: Part 1 of The Spiraling Darkness Trilogy\n\n"
"HASH_81C8200D": "OPEN THE DOOR"
"HASH_A47BB70D": "OLEG DIED!"
"HASH_34ED680D": "KILL [format][color:kill]GUARD[/format]"
"HASH_2F3A1C0D": "\\"BITCH\\""
"HASH_A20FB50E": "HACK [format][color:Location]LEATHER AND LACE[/format]"
"HASH_CA601D0E": "CARJACK THE DATA"
"HASH_D1C2130E": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_B41BF20E": "PLANT [format][color:use]DEVICE[/format]"
"HASH_A8584D0E": "DE PLANE BOSS"
"HASH_BA468E0E": "STEAL [format][color:use]BOUNCE GUN[/format]"
"HASH_9478590E": "\\"Fine, blame the victim!\\"\n\nWhat do you say?"
"HASH_D8F6B90E": "What's that idiom about counting chickens?"
"HASH_74EF3B0E": "GIVE ME MY OWN SHIP"
"HASH_EF2E470E": "Are you daft? We covered this in the very first chapter!"
"HASH_F6A6890F": "Okay, to get a door in Northeast Island, you'll have to hack these stores."
"HASH_20B3900F": "MEET [format][color:Location]PIERCE[/format] ON SHIP"
"HASH_08DDA30F": "Prototype remote detonation bombs that have a special adhesive nano-property that allows them to stick to any surface they come in contact with."
"HASH_878FE80F": "GO TO [format][color:location]FIRST STOP[/format]"
"HASH_9BB2A30F": "GET [format][color:use]AMMO[/format]"
"HASH_AB367D0F": "LULL KILLBANE INTO A FALSE SENSE OF SECURITY"
"HASH_ED0D5D0F": "A BOARD GAME"
"HASH_5AE38D0F": "I clearly recall my first tentative steps into Zinkov Preparatory Academy. I was a lad from the countryside coming into the big city, eyes wide and mind eager. I had never seen a building so large or so many finely-dressed young people yearning for knowledge. It was the first time in my life I ever felt I was somewhere I truly belonged."
"HASH_6C20FF10": "PICK UP [format][color:location]PIERCE[/format]"
"HASH_BB15A010": "GET A [format][color:location]CAR[/format]"
"HASH_F90EF210": "TIME TO INCREASE THE TEMPO"
"HASH_488DA410": "A PLEASANT DAY"
"HASH_09FF2710": "USE [format][color:use]TERMINAL[/format]"
"HASH_38235010": "And I could visit them whenever I wanted. I had complete control. I held their brittle consciousnesses in my hand and could play with them, like flicking seeds into the wind."
"HASH_8B56A610": "RITUAL BEATINGS"
"HASH_98359F11": "MEET FUN SHAUNDI ON THE SHIP"
"HASH_8EBA6611": "DR. SEUSS"
"HASH_20FF6A12": "I can get you a door in the middle of downtown, if you hack these stores."
"HASH_4F082212": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_21413C12": "MEET JOHNNY ON THE SHIP"
"HASH_2AD19912": "STRESS RELIEF (DISRUPT THE SYSTEM)"
"HASH_CA783D12": "HAIL TO THE CHIEF"
"HASH_1228E912": "DEFEAT [format][color:kill]PROFESSOR GENKI[/format]"
"HASH_EE083212": "PLATFORMING RIFT"
"HASH_7D6F9E12": "SWIM TO LAND"
"HASH_91D2F312": "I am not a soul easily satisfied so I knew my dream destination must be a planet that could challenge not the collective might of the Zin Army but:"
"HASH_D273F613": "DISRUPT THE SYSTEM"
"HASH_B8A35A13": "MEET JOHNNY ON THE SHIP"
"HASH_32BE3A13": "WAIT FOR YOUR PARTNER TO GET ON STAGE"
"HASH_2A5AE013": "DEFEAT [format][color:kill]CYRUS[/format]"
"HASH_754F9F13": "You cautiously open the door and start to walk forward when your foot catches a loose flagstone.\n\nYou fall and break your neck.\n\nYou are dead.\n\nThanks for playing Dragons and Tears: Part 1 of The Spiraling Darkness Trilogy\n\n"
"HASH_94CE4713": "APPROACH THE COMPUTER"
"HASH_241F3913": "Please. As if a traveling company of such renown would step foot in a hovel such as Zinshire."
"HASH_C0D5DD14": "CARJACK THE DATA"
"HASH_FB382214": "GO TO [format][color:location]THE BROKEN SHILLELAGH[/format]"
"HASH_C3A71414": "Not only did I sample the goods at Zinkar's shoppe but I spent a summer there sweeping the floor, tending the counter, and even learning a bit of the culinary arts. I took to baking with zeal. Clients enjoyed my baked goods and I became known throughout Zinshire for my:"
"HASH_73A66715": "WIN ZINYAK'S FAVORITE GAME SHOW"
"HASH_874BB015": "INITIALIZE VIRUS INJECTION"
"HASH_5B4F4515": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_25074615": "DECOY HELICOPTER DESTROYED!"
"HASH_9103B015": "ATTACK [format][color:kill]MEGA-CAN[/format]"
"HASH_BD7FD915": "\\"TIME TO GO, MATT\\""
"HASH_7B024316": "ACCEPT"
"HASH_8E7B0C16": "PICK UP BOMBS"
"HASH_D0D26116": "TOUCH THE PENDULUM"
"HASH_7D65CF16": "TO BE CONTINUED..."
"HASH_5D8E4916": "More than any of the Zinkov faculty, Professor Zinlow informed my later days. I remember clearly, it was just two weeks into my first year, when Zinlow pulled me aside after class and said to me:"
"HASH_CD247017": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_B3DA2B17": "HACK THE FRIENDLY FIRE IN THE GROVE"
"mol_mm_01_failure_bike_destroyed": "NYTEBLAYDE'S BIKE WAS DESTROYED!"
"HASH_3C96F417": "DEFEAT  [format][color:kill]POLICE[/format]"
"HASH_97818417": "DRAW SWORD"
"HASH_9FB24F17": "RETURN TO MISSION OBJECTIVE"
"HASH_3973B817": "\\"THEN WHERE'S MATT?\\""
"HASH_93159D17": "\\"Flattery will get you nowhere.\\"\n\nWhat do you say?"
"HASH_048F2D17": "LE FIN"
"HASH_DF9B7D17": "To be honest, Zinjai didn't tell me what his deepest fear was and I didn't press the matter. For I had other things to do. With the Simulation as my crown jewel, I took to universal conquering with renewed zeal. I found a pleasure in forced subjugation of sentient lifeforms I never thought I'd have again."
"HASH_9FBB5718": "CLEAR OUT ZIN TROOPS"
"HASH_77F4DA18": "PET UNICORN"
"HASH_D906E618": "MAKE A HOUSE OUT OF PALMS"
"HASH_62F01318": "While participation in competitive sports is encouraged, and a good source of income for any institution of higher learning, testing for such a thing was not required."
"HASH_DD05DD19": "Danger! Unlocalized String over Network!"
"HASH_6D37CB19": "For me to open up ship access in the Southwest Island, you'll need to take over these stores."
"HASH_CEB09D19": "You remember that first year at Camp David, right? This time there's no threat of impeachment."
"HASH_D920EE19": "[format][color:use]MEMORY MODULES [/format]COLLECTED"
"HASH_9C598A19": "CLEAR [format][color:kill]AREA [/format] "
"HASH_D73DD919": "Not even Zinfob was foolish enough to do that."
"HASH_3A16361A": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_D5FD3E1A": "MEET FUN SHAUNDI ON THE SHIP"
"HASH_49DB901A": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_AB2ACC1A": "HACK THE LOCAL RIM JOBS"
"HASH_F3B7671A": "CUSTOMIZATION"
"MOL_MM_01_FAILURE_CHASE": "YOU LOST NYTEBLAYDE! \nSTAY CLOSE TO HIM."
"HASH_B7CF291A": "HEAD SHOT"
"HASH_D1490B1A": "You've found something.\n\nWhat do you do?"
"HASH_732D551A": "DRESSING IN THE ENEMY UNIFORM"
"HASH_E305871B": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_C214F61B": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_D262CC1B": "This is the finest training simulation MI6 has to offer."
"HASH_3AA6171B": "TELEKINESIS RIFT"
"HASH_A81A541B": "FIND THE READING'S SOURCE"
"HASH_E56CF11B": "KILL [format][color:kill]HENCHMEN[/format]"
"HASH_4E1ED11C": "SKIP"
"HASH_A4B4A21C": "MEET [format][color:Location]BEN[/format] ON SHIP"
"HASH_80842A1C": "PUNCH THE SHARK"
"HASH_B9E9941C": "FIND [format][color:location]CYRUS[/format]"
"HASH_F7FD821C": "DEFEND [format][color:defend]CID[/format]"
"HASH_74BB191C": "PET THE PARROT"
"HASH_AEACA91C": "As you indubitably are already aware, the \\"Grand Jetyang Victory\\" was just the beginning of my storied career in the Zin Army. I still had numerous conquests awaiting me, including my first venture out toward a place the native scholars once called \\"Via Lactea.\\""
"HASH_0B3D851D": "UNDER PRESSURE"
"HASH_81CB961D": "MEET [format][color:Location]FUN SHAUNDI[/format] ON SHIP"
"HASH_2E49CF1D": "MISSION ABANDONED!"
"HASH_33E8FC1D": "KEEP WALKING"
"HASH_9D1AC01D": "\\"THEN WHERE'S MATT?\\""
"HASH_233D611D": "KILL [format][color:kill]TERRORISTS[/format]"
"HASH_463EE11E": "MEET KINZIE ON THE SHIP"
"HASH_3E6EC61E": "INITIALIZE VIRUS INJECTION"
"HASH_726BA71E": "KILL [format][color:Location]TARGET[/format]"
"HASH_BC731D1E": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_D084881E": "LOYALTY - GIRLS NIGHT OUT"
"HASH_54CF951E": "GRAB [format][color:use]CPU [/format]"
"HASH_3087891E": "USE [format][color:power_buff]BUFF[/format] THEN SHOOT [format][color:power_buff]ENEMIES[/format]"
"HASH_F2C19E1E": "MURDERING HIS SOLDIERS AND PUTTING THEIR HEADS ON PIKES"
"HASH_DDC7C71F": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_8D1D7C1F": "DISRUPT THE SYSTEM"
"HASH_AB78161F": "CLIMB [format][color:Location]TOWER[/format]"
"HASH_4F83191F": "MEET [format][color:Location]BEN[/format] ON SHIP"
"HASH_32217E1F": "MURDER MORE ALIENS"
"HASH_8EF47B1F": "GO TO [format][color:location]THE BROKEN SHILLELAGH[/format]"
"HASH_9DDED91F": "COLLECT [format][color:use]BOMBS[/format]"
"HASH_FE90EA1F": "OPEN [format][color:use]DOOR[/format]"
"HASH_1916A11F": "PICK UP THE PHONE"
"HASH_6B23F81F": "THE KJOERTNERFER TRIBES OF CENTRAL ALSPAZIA"
"HASH_85483E1F": "Though it pains me to admit such faults, art history was my weakest subject. The life of a museum curator, how I shall never know you."
"HASH_6E281520": "ASSASSINATE ROGUE PROGRAM"
"HASH_A4056920": "FINISH OFF CYRUS"
"HASH_07132420": "VIOLA WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_2895A420": "FLY TOWARDS THE PURPLE STAR"
"HASH_15693120": "FAVORITE FOOD"
"HASH_29B67821": "CLEAR OUT ZIN TROOPS"
"HASH_A0417221": "MEET [format][color:Location]BEN[/format] ON THE SHIP"
"HASH_CB990E21": "LOYALTY - SR3 WRAP-UP"
"HASH_5C77AA21": "PICK UP [format][color:location]ASHA[/format]"
"HASH_B053BE21": "NEUTRALIZE [format][color:kill]SNIPERS[/format]"
"HASH_6FC64121": "TAKE A NAP"
"HASH_9DCCC721": "RETRIEVE WEAPONS"
"HASH_E808EC22": "GHOST WRITING"
"HASH_E955AD22": "HEAD TO THE [format][color:location]GOTHEDERAL[/format]"
"HASH_EC416322": "GO TO [format][color:location]ROOF[/format]"
"HASH_7A763822": "\\"I'm sorry, you're right.\\" She takes a moment to wipe her eyes with her fur lined leather cuffs. \\"So why are you here?\\"\n\nWhat do you say?"
"HASH_36F8D822": "I do wish you were taking this more seriously."
"HASH_9AE15A22": "ERECT STATUES IN MY HONOR"
"HASH_01202622": "A wise man once said \\"Without a target, we are all just bullets in the wind.\\" I wrote that in my journal last week. And it's true. Whenever you find yourself facing a seemingly insurmountable challenge, it helps to envision all the turncoats, opportunists, and megalomaniacs that are just waiting for you to fail so they can swoop down and pick the meat from your bones."
"HASH_06EFFC22": "\\"ZINYAK, THESE PEOPLE ARE ALL YOUR INFERIORS.\\""
"HASH_45381C23": "TAUNT KILLBANE"
"HASH_03033C23": "ARM WRESTLING"
"HASH_B4EDEC23": "Are you... are you quoting a song or something?"
"HASH_49DD7D24": "OBEY"
"HASH_0F81C824": "CLEAR OUT ZIN TROOPS"
"HASH_702C2224": "Tanya tried to take everything from me. I don't care if it's a simulation, bitch has gotta go."
"HASH_72AA9324": "SELECT SECOND PROTOTYPE"
"HASH_0D717924": "[format][color:use]SIGN UP[/format] FOR AMATEUR STRIP NIGHT"
"HASH_99F44424": "[format][color:location]MEET & GREET[/format]"
"HASH_CC355C25": "MEET [format][color:location]JOHNNY GAT[/format]"
"HASH_5317FB25": "GO TO [format][color:location]THE DOCK[/format]"
"HASH_A1EE0125": "GET CID"
"HASH_00573025": "GO TO THE [format][color:location]AIRLOCK[/format]"
"HASH_11D74B25": "STEAL [format][color:use]DEVICE[/format]"
"HASH_6C898225": "\\"I AM AWESOME\\""
"HASH_E6980B25": "I took to weaponry and tactics like a parasite to a vital organ. My sergeant said I was a \\"natural born killer\\" who \\"lacked empathy\\" and had an \\"unparalleled predatory instinct.\\" \n\nHave kinder words ever been spoken?"
"HASH_CFFD8426": "INITIALIZE VIRUS INJECTION"
"HASH_8B8DA926": "SHUT DOWN THE HOTSPOT"
"HASH_F5E3AA26": "MEET [format][color:location]CID[/format]"
"HASH_4204DD26": "LEAVE [format][color:location]ROOFTOP[/format]"
"HASH_63942526": "MISSION OBJECTIVE"
"HASH_9C2C3A26": "There are no secret doors.\n\nWhat would you like to do?\n\n"
"HASH_AEA26526": "LOL, YOUR TANK WAS PWNED!"
"HASH_C2271C26": "{CBA_OFC_HS_EXECUTE_IMG}"
"HASH_73116326": "GET SOME DECENT FOOD ON-BOARD"
"HASH_471F1A26": "PLANETARY SHIELD TECHNOLOGY"
"HASH_CD7C9C26": "Our story begins in the remote village of Zinshire, a hamlet just west of Zinport, in the country of Zinland, on a planet known only as Zin. By nature, the Zin people are an uncultured and slow-witted lot, easily entertained by such diversions as arm wrestling and counting the spots on one's back. The people of Zinshire most especially fit this description so I'm sure you can already foresee the struggles I endured in life."
"HASH_7C8E3E27": "ASSASSINATE ROGUE PROGRAM"
"HASH_6C91B527": "MEET [format][color:Location]BEN[/format] ON SHIP"
"HASH_F1411C27": "THE BOSS GOES TO WASHINGTON"
"HASH_3E97CA27": "HEAD [format][color:location]BACK[/format]"
"HASH_78B15627": "As if anything could."
"HASH_7E056028": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_4D731128": "Look, the Earth blew up. We're all upset about it. Let's just take it easy."
"HASH_CBF44728": "BREAKING THE LAW"
"HASH_E3B29728": "BATTERIES NOT INCLUDED "
"M06_FAILURE_TANK_DESTROYED": "TANK ELIMINATED"
"HASH_DF928328": "The warm water of the ocean laps at your face. You sit up and find yourself on a small deserted island. Isolated. Adrift. Alone.\n\nWhat do you do?"
"HASH_442BB628": "TAKE SMG"
"HASH_D4DB7729": "HACK [format][color:Location]IMAGE AS DESIGNED[/format]"
"HASH_A5C04D29": "THE CLIMAX"
"HASH_F5CA0629": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_FAEDB629": "Don't get your hopes up."
"HASH_BC801529": "GO TO [format][color:location]ROOFTOP[/format]"
"HASH_70189929": "JANE DIED!\n DON'T KILL JANE, SHE CAN HELP FIND KILLBANE."
"HASH_47CF0C29": "Oh, call back. Yes. Quite humorous of you."
"HASH_647ED92A": "CLEAR OUT ZIN TROOPS"
"HASH_E86E552A": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_381D8A2A": "Everything's in place. It's time to end this once and for all."
"HASH_918D4E2A": "KILL [format][color:kill]GUARDS [/format]"
"HASH_D7F6682A": "FIND [format][color:use]NUCLEAR MATERIAL[/format]"
"HASH_C7578E2A": "ABSORB VIRUS"
"HASH_30F32B2A": "[format][color:location]RESCUE MATT[/format]"
"HASH_D70D632B": "RACE THROUGH THE SYSTEM"
"HASH_45B5572C": "SHUT DOWN [format][color:Location]HOTSPOT[/format]"
"HASH_4C02CE2C": "VIOLA DIED!"
"HASH_3E5E7C2C": "Citing my unquenchable bloodlust, cold and calculating demeanor, lack of conscience-all the things that were held in such high regard during training-Zinfob dared to suggest that I was unfit for high-level command."
"HASH_FC29322D": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_76D8F22D": "INITIALIZE VIRUS INJECTION"
"HASH_C469902D": "THE PLEDGE"
"HASH_FC1D8B2D": "ENTER [format][color:location]CAR[/format]"
"HASH_66ED112E": "LEARN THE RULES..."
"HASH_4F62E82E": "STEAL A  [format][color:location]TANK[/format]"
"HASH_0D7A7A2E": "DESTROY [format][color:kill]ALIEN TECH [/format]"
"HASH_2141232E": "\\"YOUR MOM'S A SLAVE\\""
"HASH_A077212E": "I was not about to appoint someone as my military surrogate and manservant who was unable to appreciate propriety and tradition. I knew that if anyone were to even attempt to fill my proverbial boots that they had to be able to do so in any conceivable situation. So it was I constructed a battery of examinations designed to test his etiquette across all manner of occasion. They really were brilliant, if I do say so myself."
"HASH_0415DC2F": "OBEY (ONE MORE TIME)"
"HASH_A025632F": "MEET [format][color:Location]CID[/format] ON SHIP"
"HASH_0B23CB2F": "KILL [format][color:Location]TARGET[/format]"
"HASH_4249692F": "INITIALIZE BRICKSTON VIRUS INJECTION"
"HASH_5AA5342F": "PICK UP [format][color:location]SAINTS[/format]"
"HASH_6718A72F": "PIERCE DIED!"
"HASH_382AAE2F": "You can not eat the heart.\n\nWhat do you do?"
"HASH_8BD4972F": "GO TO [format][color:location]PORTICO[/format]"
"HASH_E25D8730": "USE TELEKINESIS ON [format][color:use]DOORS[/format]"
"HASH_C83D1430": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_12307330": "THE PRESTIGE"
"HASH_E92C6530": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_0D223530": "KILL [format][color:kill]ALIENS[/format]"
"HASH_9AB57830": "EAT THE HEART"
"HASH_40A2C830": "Even I cannot be everywhere at once. I knew in order to keep my crew appropriately subordinate while still being able to have some essential \\"me time\\" that I had to have someone I could trust implicitly to oversee the orders I gave. Someone who could be my eyes and ears and also tend to my every whim without question."
"HASH_CF71FB31": "MEET [format][color:Location]PIERCE[/format] ON SHIP"
"HASH_A29C8031": "INITIALIZE VIRUS INJECTION"
"HASH_DDE69D31": "CAST A SPELL"
"M16_FAIL_ESCAPE_CAR_DESTROYED": "THE ESCAPE CAR WAS DESTROYED!"
"HASH_88743E31": "SPEED UP DOWNLOAD"
"HASH_82014032": "MEET [format][color:Location]KINZIE[/format] ON SHIP"
"HASH_D060A732": "MEET CID ON THE SHIP"
"HASH_20AC3032": "Impressive. Let's see how you do with these."
"HASH_24464032": "MEET [format][color:Location]PIERCE[/format] ON THE SHIP"
"HASH_3FFFA632": "PLEASE WAIT"
"HASH_CCC2FD32": "TAKE A NAP"
"HASH_A915C332": "OPEN DOOR"
"HASH_1CCFFF32": "PLAYING SELECTIONS FROM THE ZIN NATIONAL ORCHESTRA AT HIGH VOLUME"
"HASH_B4CF2032": "LOWER-CLASS UPBRINGING"
"HASH_DC2F1F33": "MURDER ALIENS (CLEAR OUT ZIN TROOPS)"
"HASH_675AD933": "RETRIEVE MATT MILLER"
"HASH_852D9933": "THE PEOPLE OF EARTH"
"HASH_19233F33": "ZINKAR'S PASTRY SHOPPE"
"HASH_F6FF5434": "MEET [format][color:Location]CID[/format] ON SHIP"
"HASH_D5E27834": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_71B53634": "MEET BEN ON THE SHIP"
"m11_failure_asha_died": "ASHA DIED!"
"HASH_8CFE7234": "I am proud to say that I took to the studies well and managed to bring up my scores across the board. Still, there was one subject above all others that I had a particular affinity for. As you may have already guessed, that subject was:"
"HASH_2CC6D735": "START STAG STRONGHOLD"
"HASH_4DB5B135": "MEET ASHA ON THE SHIP"
"HASH_59533435": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_974B8E35": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_52F67835": "DESTROY [format][color:kill]TANKS[/format]"
"HASH_A2E31435": "TALK TO [format][color:use]KINZIE[/format]"
"HASH_41044535": "ESCAPE [format][color:location] ZIN SHIP[/format]"
"HASH_3933B835": "A magnificent victory under my belt, my military superiors saw fit to bestow upon me a Meritorious Service in the Glory of the Almighty Zin commendation and my first of many promotions. "
"HASH_17C5A836": "SURVIVE [format][color:Location]TRAINING[/format]"
"HASH_3BF35F36": "CLEAR OUT ZIN TROOPS"
"HASH_4524AD36": "DISRUPT THE SYSTEM"
"HASH_D6785C36": "THROW TANYA OFF THE ROOF"
"HASH_3F476A36": "As you fly towards the star, you notice all the other stars blinking out of existence. Soon you are all alone in the vastness of space, staring into the corona of the purple star.\n\nWhat do you do?"
"HASH_CF8D3E36": "\\"I AM THE LEADER OF THE SAINTS\\""
"HASH_9D233436": "STUNNING HIM WITH A ROUSING RECITATION OF THE ZIN ANTHEM"
"HASH_1F93A337": "LEAVE IT TO THE SAINTS"
"HASH_2AB73337": "KILL [format][color:kill]REAL DJVC [/format]"
"HASH_D4A87637": "TELEKINESIS RIFT"
"HASH_F2796437": "SUPERCOMPUTER DESTROYED!\nUSE THE MACHINE GUN {TANK_FIRE_PRIMARY_IMG} TO SAFELY DESTROY IT'S TIRES."
"HASH_536BA037": "GO TO [format][color:LOCATION]ROOFTOP[/format]"
"HASH_13B46E38": "KILL [format][color:Location]MAERO[/format]"
"HASH_91E7BE38": "KILL (ASSASSINATE MAERO)"
"HASH_473F1F38": "HOMIE ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
