"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Saving content. Please wait."
"PLT_MENU_DISPLAY_MODE": "DISPLAY MODE"
"PC_RECORD_VIDEO": "RECORD VIDEO"
"MENU_MOUSE_WHEEL_DOWN": "Wheel Down"
"MENU_MOUSE_BUTTON_5": "Mouse 5"
"MENU_CAMERA_SMART": "SMART"
"HASH_896F8685": "THE D-PAD LEFT & RIGHT"
"HASH_9ED79545": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_back][/format]"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "You have been disconnected from Xbox Live."
"HASH_AB2F1DC5": "$USER_NAME_OR_ID has completed %ls"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "This conflicts with the following actions. They will be automatically unbound:"
"PLT_MENU_HIGH_DX10_ONLY": "HIGH (DX10 OR ABOVE)"
"PC_RECORD_MODE_PROGRESS": "SAVING VIDEO: %d%%%% COMPLETE"
"PC_EXIT_EXPLANATION": "Exit the Cinema Clip Editor? Any unsaved changes will be lost."
"MENU_STEAM_STORE": "STEAM STORE"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "DISMISS PARTY"
"HASH_9D8DF486": "It's just like the red one, only blue!"
"HASH_F980F386": "Do you believe in magic?"
"CBA_GAC_TAKE_SCREENSHOT": "   COMMUNITY SCREENSHOT"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE \nUse {LEAN_BACK_IMG} to shift your weight to pop wheelies and {LEAN_FORWARD_IMG} to perform stoppies."
"PLT_MENU_APPLY": "APPLY"
"PC_TOD_DEFAULT": "DEFAULT"
"PC_CAM_MODE": "CAMERA MODE"
"PAUSE_MENU_RECORD_MODE": "RECORD CINEMA CLIPS"
"COOP_JOIN_CHEAT": "Your co-op partner is using cheats. Any new save games created will have cheats enabled.\nAutosaving has been disabled and you will not be able to earn any more Achievments."
"CBA_VDC_TANK_FIRE_SECONDARY": "   FIRE WEAPON 2"
"CBA_OFC_WALK": "   WALK (HOLD)"
"CBA_OFC_TAUNT_THREE": "   COMPLIMENT"
"CBA_MENU_PC_PUSH_TO_TALK": "   PUSH TO TALK"
"HASH_6C0C0C87": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs][/format]"
"PC_ADVANCED_MODE_HINT": "ALLOW MORE ADVANCED EDITING TECHNIQUES"
"CBA_VDC_HELI_FIRE_SECONDARY": "   FIRE WEAPON 2"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} AIRBORNE AFTERTOUCH"
"PC_SHOW_KEYS": "SHOW KEYS"
"PC_EDIT_WARNING": "WARNING"
"PC_DOF_WIDE": "WIDE"
"PC_CLIP_ACTIONS": "CHOOSE AN ACTION TO PERFORM ON THIS CLIP"
"PC_CA_CLONE": "CREATE A COPY"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "SWAP %ls WITH %ls"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (HOLD)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   MOVE RIGHT"
"HASH_F968C889": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_ud][/format]"
"HASH_A8B8D48A": "([format][color:purple]Mouse[/format]) AIM\n{ATTACK_PRIMARY_IMG} FIRE"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPIC 16X"
"PC_RECORD_MODE_QUALITY_MED": "720p (MED)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO SAVED.  SOME CONTENT MAY HAVE BEEN LOST.  RECORD VIDEO AT LOWER QUALITY SETTING TO PREVENT DATA LOSS."
"PC_PROPS_EXIT_HINT": "CLOSE THE PROPERTIES DIALOG"
"CBA_OFC_ATTACK_SECONDARY": "   USE POWER"
"HASH_342C548B": "INVITATION"
"PLT_MENU_STANDARD": "STANDARD"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "CHOOSE YOUR MACHINE PERFORMANCE LEVEL"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "SINGLE FRAME OR ACCUMULATIVE"
"PC_UNBOUND_KEY": "UNBOUND"
"PC_CAM_MODE_HINT": "HOW THE CAMERA BEHAVES WHILE IN THIS CAMERA ZONE"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Using cheats prevents you from earning achievements and autosaves are disabled. \n\nWould you still like to activate this cheat?"
"CBA_VDC_PLANE_TURN_LEFT2": "   YAW LEFT"
"HASH_4BFE0DCB": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lt][/format]"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "A sign-in change has occurred. You have been returned to the title screen."
"SAVE_CLIP_NAME": "Enter a name for this clip"
"PLT_MENU_VSYNC": "VSYNC"
"PLT_MENU_DISPLAY_3": "TERTIARY"
"PLT_MENU_AUDIO_VOICE_ENABLE": "VOICE CHAT"
"PC_EASE_HINT": "CYCLE THROUGH THE BLEND ANIMATION TYPES"
"PC_DELETE_CZ_HINT": "DELETE THE CURRENT CAMERA ZONE"
"OPTIONS_MENU_AUTO_DETECT_DESC": "This will replace your settings with defaults and choose a performance preset based on your video card. Are you sure you want to do this?"
"CBA_VDC_BRAKE_REVERSE": "   BRAKE / REVERSE"
"CBA_OFC_WALK_TOGGLE": "   WALK (TOGGLE)"
"CBA_OFC_CROUCH": "   CROUCH (HOLD)"
"CBA_GAC_WEAPON_SELECT_1": "   WEAPON SLOT 1"
"HASH_2FFA314C": "LEFT STICK"
"PLT_MENU_VIEW_GAMERCARD": "VIEW GAMERCARD"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "CONTROLS AMOUNT AND DETAIL OF SCENE ELEMENTS"
"PLT_MENU_REFLECTIONS_TOOLTIP": "TURNS ON REGULAR OR GEOMETRY SHADER REFLECTIONS"
"PC_TOD_NOON": "NOON"
"PC_TOD": "TIME OF DAY"
"PC_POSITION_CAMERA_HINT": "USE THE CONTROLS TO POSITION THE CAMERA"
"PC_GS_PEOPLE": "PEOPLE"
"PC_ACT_ESCORT_TIGER_MINIGAME_MSG": "Find the Tiger's itch.  Then carefully scratch it."
"MULTI_GAMETYPE_1": "LAN GAME"
"MENU_VIDEO_RECORD_MODE": "VIDEO RECORD MODE"
"HASH_D96382CD": "Reliable Excavation and Demolition ... represent!"
"COMMUNITY_BLURB_HEADER": "Join the Saints Row Community at SaintsRow.com"
"CBA_SUPER_QUICK_NEXT": "   NEXT POWER"
"HASH_D7E6F2CE": "Connection to Epic online services failed, could not join the game."
"PLT_MENU_SCENE_DETAIL": "    SCENE DETAIL"
"PC_RECORD_MODE_ERROR_NO_CODEC": "The video codec required for this mode is currently missing.  Please reference the readme for information on how to install."
"PC_OUTPUT_ONLY": "SHOW OUTPUT ONLY"
"PC_GS_PLAYER": "PLAYER"
"PC_CM_FOLLOW": "FOLLOW"
"PC_CAMERA_LOCKED": "CAMERA LOCKED"
"MENU_PRIMARY_ASSIGNMENT": "PRIMARY BUTTON ASSIGNMENT"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   BRAKE / REVERSE"
"HASH_67E5700F": "CONTINUE WITH GOG ACCOUNT"
"HASH_15CF644F": "LINK TO EPIC ACCOUNT"
"PC_W_CLEAR": "CLEAR"
"PC_CAMERA_ZONE": "CAMERA ZONE"
"MENU_CHANGES_MADE_TITLE": "APPLY CHANGES?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   SHARPER TURNS"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   PITCH UP"
"MENU_XBOX_PARTY_INVITE": "SEND PARTY INVITE"
"PC_ZT_BLEND": "BLEND"
"PC_SAVE_HINT": "SAVE THE CLIP EDITS"
"PC_COPY_NEXT_HINT": "CREATE A NEW CAMERA ZONE BASED ON THE NEXT ZONE"
"MENU_RESTORE_ALL_DEFAULTS": "RESTORE DEFAULTS ALL CATEGORIES"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "TURN SUBTITLES ON OR OFF"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "The hard drive does not have enough space.\nIf you continue you will not be allowed to save.\nContinue?"
"HASH_2FC11CD0": "ENTER DOWNLOADABLE CONTENT STORE"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   MOVE LEFT"
"HASH_4EAA6E90": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs_press][/format]"
"MENU_XBOX_PARTY_JOIN": "JOIN PARTY GAME"
"RECORD_MODE_WARNING_TEXT": "Recording Cinema Clips will disable all Missions, Activities, Shops, and in-game music until you return to the title screen. Begin recording a Cinema Clip?"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Do you wish to keep these settings?\nThey will be automatically reverted in 15 seconds."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "WHICH MONITOR TO USE FOR FULLSCREEN"
"PC_HIDE_KEYS": "HIDE KEYS"
"PC_DOF": "DEPTH OF FIELD"
"MENU_MOUSE_CONTROLS_VERT_SENS": "MOUSE SENSITIVITY UP/DOWN"
"MENU_GAMEPLAY": "GAMEPLAY"
"HASH_9376D4D2": "Link your Epic account to play with your friends from the Epic Store and GOG."
"HASH_53FA8152": "{GAC_NEXT_RADIO_IMG} / {GAC_PREV_RADIO_IMG}\nCHANGE RADIO STATION\n\nYour radio can be accessed at any time, on foot or in a vehicle."
"PLT_MENU_RESOLUTIONS": "RESOLUTIONS"
"PC_COMMUNITY_AGE_FIELD": "AGE (MM.DD.YYYY)"
"MUST_SIGN_IN_PROFILE_CONFIRM": "You are not currently signed in with a profile.\nSign in?"
"MENU_OPTIONS_REMAP": "SET KEYS & BUTTONS"
"CBA_OFC_ZOOM_OUT": "   SCOPE ZOOM OUT"
"HASH_55281412": "THE A BUTTON"
"HASH_BB524452": "THE A BUTTON"
"HASH_7ADC9B92": "THE A BUTTON"
"PC_SLOWMO": "PLAYBACK SPEED"
"PC_ROTATION_SENSITIVITY": "ROTATION SENS."
"MENU_MOUSE_BUTTON_4": "Mouse 4"
"MENU_AIRPLANE_HANDLING": "AIRPLANE HANDLING"
"CBA_OFC_JUMP_CLIMB": "   JUMP / CLIMB"
"CBA_GAC_GRENADE_SELECT_1": "   SELECT TELEKINESIS"
"HASH_D0C24594": "Challenges provide bonuses for accomplishing difficult tasks. Track your progress through the HUB\n{MAP_MENU_IMG}."
"PC_NEW_ZONE": "NEW ZONE"
"PC_EDIT_PROPS_HINT": "SHOW THE CAMERA ZONE PROPERTIES DIALOG"
"PC_ADDITIONAL_PROPS": "ADDITIONAL PROPERTIES"
"MENU_CONTROLLER_OPTIONS": "GAMEPAD OPTIONS"
"CBA_SUPER_QUICK_FREEZE": "   SELECT BLAST"
"HASH_853B9D94": "THE A BUTTON"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "VIEW PLAYER GAMERCARD"
"HASH_1743DD55": "This is What I See With My Eyes Closed"
"PLT_MENU_ASPECT_TOOLTIP": "ASPECT RATIO CAN ONLY BE TOGGLED IN THE TITLE SCREEN"
"PC_COPY_CURRENT": "COPY CURRENT"
"PC_CM_DEFAULT": "DEFAULT"
"MENU_OPTIONS_MOUSE": "CONTROLS"
"MENU_CATEGORY": "CATEGORY"
"CBA_VDC_SCAN": "   SCAN CURRENT VEHICLE"
"CBA_VDC_PLANE_ACCELERATE": "   ACCELERATE"
"CBA_GAC_WEAPON_SELECT_5": "   WEAPON SLOT 5"
"PLT_MENU_POST_PROCESSING_DETAIL": "    POST PROCESSING DETAIL"
"HASH_8E8782D6": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_l][/format]"
"COMMUNITY_EXISTING_FOUND_TEXT": "We found a Saints Row Account associated with your Gamertag. Please login to your existing account."
"HASH_0AEDCF17": "A network error has occurred.\nReturning to the Main Menu."
"PC_VIDEO_QUALITY": "VIDEO QUALITY"
"PC_ROTATION_SENSITIVITY_HINT": "THE CAMERA ROTATION SENSITIVITY"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Now The Real Game Begins >:) \n\nPress Any Key to Continue"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   YAW OVERRIDE"
"CBA_VDC_LOOK_BEHIND": "   REVERSE CAMERA"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   TURN OVERRIDE"
"HASH_398E29D7": "The Community features are currently not available due to age restrictions."
"PLT_QUIT_GAME_WARNING": "Are you sure you want to quit to the desktop?"
"PLT_MENU_VSYNC_TOOLTIP": "VERTICAL SYNC TO ELIMINATE TEARING IN FULLSCREEN"
"PLT_MENU_VOICE_ALWAYS_ON": "ALWAYS ON"
"PC_TOD_NIGHT": "NIGHT"
"PC_TOD_HINT": "THE LIGHTING SETTINGS"
"PC_SHOW_HUD": "SHOW HUD"
"PC_OPTIONS_HINT": "SHOW THE GENERAL OPTIONS DIALOG"
"PC_DOF_CLOSEUP": "CLOSE-UP"
"MENU_OFF": "OFF"
"HASH_ED357F58": "TF2 FLAMETHROWER"
"CBA_GAC_MAP_MENU": "   HUB MENU"
"CBA_GAC_GRENADE_SWITCH": "   NEXT POWER"
"NOT_LOGGED_IN": "You must be signed in to Xbox Live to use this feature."
"STATS_CORRUPT_BODY": "Your stats were damaged and must be reset.\nThis will not affect any Achievements you may have earned."
"PC_PLAY_SLOW_HINT": "SLOW PLAYBACK OF RECORDED GAMEPLAY"
"HASH_4636DD19": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_n][/format]"
"HASH_3EB3AFD9": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lb][/format]"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RESOLUTION OF SHADOW MAPS"
"PLT_MENU_REFLECTIONS": "    REFLECTIONS"
"PLT_MENU_DISPLAY_2": "SECONDARY"
"PC_CREATE_CHAR_HINT": "CREATE OR IMPORT A NEW CHARACTER MODEL"
"PC_CAM_TILT": "CAMERA TILT"
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "SET IF MINIMAP ROTATES WITH CAMERA VIEW"
"MENU_CHANGES_MADE_BODY": "Changes have been made. Do you want to apply the current changes?"
"HUD_PICK_UP_MESSAGE": "PICK UP  %ls"
"HASH_5C65C71A": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_d][/format]"
"HASH_7C70435A": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rt][/format]"
"HASH_9D115DDB": "Invite friends or matchmake. To invite friends from outside GOG go to 'Link Account'."
"PC_FOV": "FIELD OF VIEW"
"PC_CM_STATIC": "STATIC"
"MENU_DISCARD": "DISCARD"
"PLAYBACK_MODE_WARNING": "EDIT CINEMA CLIPS"
"PC_DOF_DIST": "DOF DISTANCE"
"HASH_8240D7DC": "You do not have the Online Pass. Go to the title screen and enter the Downloadable Content Store to purchase or use redeem code."
"CBA_VDC_FIREARM": "   FIRE WEAPON"
"CBA_GAC_GRENADE_SELECT_4": "   SELECT BLAST"
"HASH_AF6761DC": "THE A BUTTON"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Unable to Save Video.  More disk space is required."
"MENU_CATEGORY_ONFOOT": "ON FOOT"
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   MOVE RIGHT"
"HASH_368507DD": "THE A BUTTON"
"HASH_36E90E9D": "$USER_NAME_OR_ID has acquired the %ls"
"PLT_MENU_WINDOWED": "WINDOWED"
"PLT_MENU_DISPLAY_PRESET": "PRESET"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ACCEPT SETTINGS?"
"PC_HANDYCAM_HINT": "THE HANDYCAM SHAKE STRENGTH"
"PC_FOV_HINT": "THE CAMERA FIELD OF VIEW"
"PC_DOF_RANGE": "DOF FOCAL RANGE"
"HASH_200FFD1E": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rb][/format]"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Your Gamertag is not linked with a Saints Row Account."
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "You are not currently signed in with a profile.\nWould you like to sign in?"
"PC_W_DEFAULT": "DEFAULT"
"PC_WEATHER_HINT": "THE WEATHER SETTINGS"
"PC_PAUSE_HINT": "PAUSE PLAYBACK"
"PC_DOF_ZOOM": "ZOOM"
"MENU_CATEGORY_CAR": "CAR / BIKE"
"HASH_6EADDD9F": "RED TEAM"
"HASH_324A82DF": "That ... thing ... it scares me."
"CBA_VDC_PLANE_TURN_RIGHT": "   ROLL RIGHT"
"CBA_VDC_BIKE_LEAN_BACK": "   BIKE LEAN BACK"
"CBA_GAC_PREV_RADIO": "   PREV RADIO STATION"
"HASH_1717E19F": "LOCAL PLAY"
"PLT_MENU_DISPLAY_1": "PRIMARY"
"PC_ZT_CUT": "CUT"
"PC_VOICE_HINT": "TURN ON/OFF ALL VOICE"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   FIRE WEAPON 2"
"CBA_GAC_WEAPON_SELECT_3": "   WEAPON SLOT 3"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   PITCH DOWN"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   FLY DOWN"
"HASH_5E9D5F60": "THE D-PAD UP & DOWN"
"COMMUNITY_SUCCESS_LINK_EXT": "Your current profile was successfully linked to your Saints Row Account."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "The Gamertag you're using is linked to a different Saints Row Account."
"HASH_6E241EE1": "Please complete the linking process in the overlay to continue."
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "You are out of save slots.  In order to save you will need to save over a previous save slot or save to a new location."
"PLT_MENU_VOICE_DISABLED": "DISABLED"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RESOLUTION OF LIGHTING"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Failed to change video settings.  Your changes have been reverted."
"PC_EXPORT_SETTINGS": "EXPORT SETTINGS"
"PC_EXPORT_LOCK": "EXPORT LOCK"
"CBA_MENU_PC_TEXT_CHAT": "   TEXT CHAT"
"HASH_DD597AA1": "TEEN"
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} SWITCH TO NEXT WEAPON\n{PREV_WEAPON_IMG} SWITCH TO PREVIOUS WEAPON"
"PLT_MENU_MED_DX10_ONLY": "MEDIUM (DX10 OR ABOVE)"
"PLT_ANISOTROPIC_TWO": "ANISOTROPIC 2X"
"PC_WATERMARK": "WATERMARK"
"PC_SELECT_TARGET_HINT": "USE THE CONTROLS TO SELECT A TARGET"
"PC_PLAY_FAST_HINT": "FAST PLAYBACK OF RECORDED GAMEPLAY"
"PC_DOF_OFF": "OFF"
"PC_CLIP_DELETE_CONFIRM": "Are you sure you want to delete this clip? You will not be able to undo this action."
"PC_AV_OPTIONS_HINT": "SHOW THE ENVIRONMENT OPTIONS DIALOG"
"CBA_VDC_PLANE_TURN_LEFT": "   ROLL LEFT"
"CBA_SUPER_QUICK_ENERGY_BLAST": "   SELECT BUFF"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (TOGGLE)"
"HASH_EC0B9A22": "THE A BUTTON"
"HASH_C8C1AA63": "DOUBLE TAP {SUPER_QUICK_FREEZE_IMG}\nQUICK SWAP SUPER POWER ELEMENT\n\nSwapping elements allows you to quickly select between all Super Power element types."
"PLT_MENU_VOICE_PUSH_TO_TALK": "PUSH TO TALK"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPIC 4X"
"PLAYBACK_MODE_WARNING_TEXT": "This will stop your current recording and allow you to edit it, save it, and export it to video. To record a new Cinema Clip, you will need to return to the title screen. Proceed to the Cinema Clip Editor?"
"PC_SM_FAST": "FAST"
"PC_CAMERA_DONE": "DONE"
"MENU_PC_SIGN_IN_ERROR": "You must be connected to the Internet and Steam must not be in offline mode in order to use online features."
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "PAUSE AUTOMATICALLY IF GAME WINDOW IS NOT IN FOCUS"
"CBA_OFC_SPRINT": "   SPRINT (HOLD)"
"STATS_CORRUPT_TITLE": "DAMAGED STATS"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (HIGH)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "SAVE CANCELED."
"PC_PLAY_HINT": "PLAYBACK RECORDED GAMEPLAY"
"PC_EXPORTING_VIDEO": "EXPORTING VIDEO"
"HASH_E4D0A424": "A soldier's best friend."
"COMMUNITY_SITE_BLURB": "Upload your first character to earn an achievement.\n\nBrowse characters online and play with them in game.\n\nTrack your stats and compare your progress to your friends.\n\nBrowse user created in-game screenshots.\n\nReceive community-only deals on Saints Row merchandise and game content."
"CBA_OFC_TAUNT_TWO": "   TAUNT"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   MOVE RIGHT"
"PC_W_THUNDERSTORM": "THUNDERSTORM"
"MENU_CATEGORY_TANK": "TANK"
"HASH_F7A48C25": "BLU TEAM"
"CBA_VDC_HELI_UP": "   MOVE UP"
"CBA_OFC_ATTACK_PRIMARY": "   ATTACK"
"CBA_GAC_RECRUIT_DISMISS": "   RECRUIT / DISMISS"
"HASH_880FA6A5": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls_click][/format]"
"HASH_89253265": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls][/format]"
"HASH_8E1D4BE6": "New Weapon Costumes are available in Friendly Fire."
"HASH_FF67F6E6": "In order to play online you need to sign into Epic Online Services. Do you want to link an Epic account to connect to players on the Epic Store?"
"PLT_MENU_ASPECT": "ASPECT RATIO"
"PC_GS_BACKGROUND_HINT": "TOGGLE THE BACKGROUND RENDERING"
"PC_EXPORT_EXPLANATION": "Stop editing and begin exporting to video?"
"PC_ENVIRONMENT": "ENVIRONMENT"
"PC_DOF_RANGE_HINT": "THE DEPTH OF FIELD FOCAL RANGE"
"PC_COPY_NEXT": "COPY NEXT"
"CBA_OFC_CROUCH_TOGGLE": "   CROUCH (TOGGLE)"
"HASH_898478A7": "CONTINUE WITH STEAM ACCOUNT"
"SAVE_WARNING_BOOT": "This game has an autosave feature. Whenever this indicator is on screen your game is saving to the autosave slot."
"RECORD_MODE_WARNING": "RECORD CINEMA CLIPS"
"PC_SLOWMO_HINT": "SLOW MOTION SETTING"
"CBA_VDC_HANDBRAKE": "   DRIFT"
"CBA_SUPER_QUICK_STOMP": "   SELECT STOMP"
"CBA_OFC_PICKUP_RELOAD": "   PICKUP / RELOAD"
"PC_EDIT_PROPERTIES": "EDIT PROPERTIES"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERT MOUSE AIM UP/DOWN"
"MENU_CONTROLLER_OPTIONS_TITLE": "GAMEPAD"
"CBA_GAC_WEAPON_SELECT_8": "   WEAPON SLOT 8"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "The Gamertag you're using is already linked to a Saints Row account."
"HASH_6D2BE7A9": "Welcome to Gat's mind.\n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} MOVE"
"HASH_C7CAC829": "{SUPER_QUICK_FREEZE_IMG} SELECT FREEZE [format][color:power_blast]BLAST[/format]"
"PRESS_ANY_KEY_TEXT": "Press any new key or ESC to cancel."
"PLT_MENU_SHADOW_DETAIL": "    SHADOW DETAIL"
"PC_RECORD_MODE_QUALITY_LOW": "480p (LOW)"
"PC_OPTIONS_EXIT_HINT": "CLOSE THE OPTIONS DIALOG"
"CBA_VDC_CRUISE_CONTROL_B": "   TOGGLE CRUISE CONTROL"
"CBA_GAC_GRENADE_SELECT_2": "   SELECT STOMP"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   MOVE LEFT"
"HASH_40B2E829": "THE A BUTTON"
"MAIN_MENU_MATCHMAKING_FAIL": "Matchmaking was unable to find any connectable games."
"HASH_9549BB2A": "{PLANE_ROLL_TURN_SELECT_IMG} TURN FASTER\nDouble tap to do a barrel roll!"
"PLT_MENU_FULL_SCREEN": "FULLSCREEN"
"PC_ZONE_TYPE": "ZONE TYPE"
"PC_RECORD_MODE_FAILED_EXPORT": "AN INTERNAL ERROR CAUSED VIDEO SAVING TO FAIL."
"PC_OPTIONS": "OPTIONS"
"PC_CZ_EXIT_HINT": "CLOSE THE CAMERA ZONE DIALOG"
"MENU_MIDDLE_MOUSE": "Middle Mouse"
"HASH_E692B72A": "TF2 RAINBLOWER"
"CBA_VDC_NITRO": "   NITROUS"
"HASH_6A37FFEB": "Matchmaking was unable to find any connectable games."
"PLT_TRILINEAR": "TRILINEAR"
"PC_SM_NORMAL": "NORMAL"
