"HASH_0FFDDB00": "RECRUITING"
"HASH_EB426609": "Your Alien Notoriety will decay at a slightly faster rate"
"HASH_3F77F709": "TRANSFER LIMIT"
"HASH_E33AF509": "GPS Shortcut Unlocked!"
"HASH_AF7F0409": "Actor-Turned-Politician"
"HASH_38C80D0A": "TAXI"
"HASH_00E29F0A": "INCREASED"
"HASH_D482090B": "BONUS - CACHE TRANSFER RATE 2"
"HASH_1C7AF50B": "WARRIOR PACK"
"HASH_481D630B": "20%% bonus to ALL XP earned"
"HASH_C900EE0B": "You can now have Strippers in your gang."
"HASH_10B8D00B": "Rewards tied to Morningstar mission choices are now in effect."
"HASH_08FB070B": "Call Viola for some help."
"HASH_251CDC0B": "Call for some SWAT assistance."
"HASH_39EB8A0B": "Poodle Skirt"
"HASH_B673800C": "SUPER BACKUP"
"HASH_BB70200C": "HYDRAULICS ON"
"HASH_24EBFF0C": "TOWER WARP POINT ACTIVATED"
"HASH_CD12240C": "HOURS"
"HASH_3E57690D": "AIRSTRIKE WEAPON"
"HASH_294E6B0D": "AMMO - SPECIAL 3"
"HASH_B537030D": "RESPECT BONUS"
"HASH_B3DF640D": "Large increase to time before followers bleed out."
"HASH_29715B0D": "ALIEN TOWER"
"HASH_8242CD0E": "{DETONATE_CHARGES_IMG} DETONATE THROWN SATCHEL CHARGES"
"HASH_6EDB160E": "[format][color:blue]RETURN JOSH TO STAG[/format]"
"HASH_8EBA600E": "GANG - FOLLOWERS"
"HASH_75A4530E": "You now receive a 10%% bonus to all Respect earned for upgrading the Mega Brothel crib."
"HASH_2218280E": "Revive followers faster."
"HASH_9F4C370E": "Your City Income Transfer Limit is increased for acquiring the Three Count crib."
"HASH_2455260E": "The standard law enforcement shotgun.  Duck if you see one coming..."
"HASH_02C7DF0F": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \nUse {ANALOG_LS_IMG} to control roll and pitch in order to turn the plane."
"HASH_9C62AA0F": "When called, wipes Police notoriety"
"HASH_69A1B50F": "Killbane's Wrestling Gloves, the Apoca-Fists, are now available at your Crib Weapon Stash"
"HASH_66D4B30F": "You now receive a 15%% bonus to Hourly City Income from the Downtown district."
"HASH_4E6E5610": "MELEE"
"HASH_B8D12010": "WEAPON - SONIC BOOM"
"HASH_E9AF8110": "Zombie Backup can be found in your HUB \\"PHONE\\" menu. Zombies arrive to help in combat"
"HASH_C1BDCD10": "You now receive a 5%% bonus to Hourly City Income from the Stanfield district."
"HASH_CB3D9610": "POINTS "
"HASH_E52ADB11": "DISTRICT CASH PER HOUR"
"HASH_C55F1B11": "You reload all weapons faster"
"HASH_4FE66312": "The Penthouse is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"HASH_1E776012": "Ronin like to carry these.  They make them feel cool. Like ninja."
"HASH_66E36912": "ACCESS GATEWAY FUNCTIONS"
"HASH_A868B712": "Zoo Keeper"
"HASH_6600BB13": "You have unlocked the Golden Gun cheat."
"HASH_BE776D13": "Ghost in the Machine"
"HASH_3B86BE13": "Ooo A Piece of Candy!"
"HASH_C1840A14": "HELI ASSAULT"
"HASH_FEE87914": "[format][color:red]HEAD TO THE AIRPORT[/format]"
"HASH_9654E014": "[format][color:Purple]KEEP HOS FOR THE SAINTS[/format]"
"HASH_F3343914": "[format][color:red]BLOW UP THE BUILDING[/format]"
"HASH_472BFF14": "VEHICLE - MARS ROVER"
"HASH_1E433214": "MONEY SHOT PACK"
"HASH_FF5A3F14": "Deep Silver weapon costume for the Deacon 12-Gauge."
"HASH_CF306814": "You can now have Space Saints in your gang."
"HASH_0EEB7114": "The blowup doll outfit has been added to your Crib Wardrobe"
"HASH_3FCF7314": "ADD HELICOPTERS TO ACCESS HELIPORT"
"HASH_E47F3B15": "This is your garage.  \nYou can store or retrieve owned vehicles here."
"HASH_B172E715": "AMMO - SHOTGUN"
"HASH_D61AFE15": "REVIVE - SPEED 2"
"HASH_332C6515": "Pierce can be found in your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_09416016": "TOGO-13"
"HASH_727E0B16": "WEAPON - 'MERICA WEAPON"
"HASH_BF587916": "Player health is increased by 25%%"
"HASH_A04A4716": "Instantly reload your shotguns"
"HASH_A12F4D16": "Immediately materialize any vehicle you've stored in your Virtual Garage."
"HASH_3DBC2416": "PRESS AND HOLD {ATTACK_PRIMARY_IMG} TO ACTIVATE FLAMETHROWERS"
"HASH_03265B17": "MOTORCYCLE CONTROLS"
"HASH_BF615E17": "{PICKUP_RELOAD_IMG} RELOAD"
"HASH_60641917": "REWARD: Nyte Blayde as Homie"
"HASH_AF637717": "AMMO - EXPLOSIVE 4"
"HASH_7BCC8B17": "HOMIE - SAINTS BACKUP"
"HASH_102A4617": "ESCORT"
"HASH_D603CC17": "The 3 Count is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"HASH_5DFBD017": "STANFIELD"
"HASH_4852B417": "Have a homie drop off a VTOL."
"HASH_27842B17": "WILLIAM SHARP"
"HASH_981EB217": "BEN KING"
"HASH_04E5D818": "LIN'S REVENGE"
"HASH_EC169218": "Save Shaundi but Killbane will escape"
"HASH_09D46B18": "[format][color:blue]RETURN ZOMBIE VIRUS TO OLEG[/format]"
"HASH_6CB4B218": "[format][color:blue]TAKE OVER A WEAPONS MANUFACTURER[/format]"
"HASH_0A4A8D18": "Nyteblayde can be found in your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_7DCFF118": "THUMPGUN"
"HASH_28E7E018": "Zero Saints Thirty"
"HASH_74562F19": "VEHICLE ENTRY"
"HASH_F518F919": "You can purchase Weapons and Ammo as well as Upgrade your Weapons at Friendly Fire."
"HASH_2DCFA619": "SILVERLINK - WEAPON COSTUME"
"HASH_C6E61C19": "RESPECT BONUS"
"HASH_44ACC219": "Purchase new Abilities, Bonuses, and Skills in the UPGRADES menu on your Cell Phone."
"HASH_A3E05819": "Weapons Homie can be found in your Cell Phone \\"PHONE\\" menu. He will come ready for battle with a full arsenal of weapons."
"HASH_95C04619": "UPGRADE"
"EXPLOSIVE_ROCKETLAUNCHER": "RPG"
"HASH_6C497C1A": "This gun, used by aliens for zapping, can also be used for zapping aliens.  Handy!"
"HASH_C94AE81B": "HEALTH - UPGRADE 3"
"SHOTGUN_POLICE": "SEMI-AUTO SHOTGUN"
"HASH_130C501B": "QUEST TITLE"
"HASH_FC9F651C": "After your sprint meter has emptied, wait for it to fill before sprinting again."
"HASH_98BB7B1C": "VEHICLE - STAG N-FORCER"
"HASH_CEF6BE1C": "STAMINA - INCREASE 3"
"HASH_DAEC8D1C": "SAINTSBOOK"
"HASH_4599B21C": "SUNSET PARK"
"HASH_254B831C": "STORE"
"HASH_458A461C": "GARAGE IS TOO SMALL FOR THIS VEHICLE"
"HASH_538BE91C": "Betrayed"
"HASH_B7AF5C1D": "DISTRICT CASH PER HOUR"
"HASH_7306A41D": "Great increase in the melee damage you deal."
"HASH_18E1931D": "Powder is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"HASH_4CAA431D": "Get some medical attention."
"HASH_D017061D": "M"
"HASH_5F3F021D": "{0}SILVER[/format] {1}"
"HASH_93512C1E": "CLOTHING STORES"
"HASH_65BE301E": "BONUS - XP 2"
"HASH_1E280D1E": "PROF. GENKI'S M.O.M."
"HASH_3EFCE91E": "OUTFIT - UNCLE SAM SUIT"
"HASH_23CD691E": "This Stronghold is yours!\nCustomize and Upgrade it at the 'Burns Hill Reactors' Crib to extend the Saints control and receive huge upgrade bonuses."
"HASH_C587611E": "Minor reduction in damage taken from falls."
"HASH_20BB001E": "+{0}"
"HASH_7B87061E": "A single slice deconstructs most opponents."
"HASH_EE0B941F": "Bring contacts back safely from the Deckers."
"HASH_53AB1A1F": "DISTRICT CASH PER HOUR"
"HASH_BA1E9B1F": "Unlimited grenade ammo"
"HASH_95157C1F": "Use the laser to \\"paint\\" the target, then watch as death rains down into the area.  May want to stand back..."
"HASH_CA191D1F": "Waiting for other player..."
"HASH_3B092420": "{MELEE_POWER_ATTACK_IMG} HEAVY ATTACK \n{ATTACK_PRIMARY_IMG} LIGHT ATTACK"
"HASH_B7C29C20": "You can now have Wrestlers in your gang."
"HASH_05560920": "We want YOU to wear this outfit."
"HASH_3CA81C20": "WEAPON - TOGO-13"
"HASH_96C7B220": "Are you sure you want to kick %ls from the game?\nAny unsaved Mission or Activity progress will be lost"
"HASH_E9DAED20": "SHOP IS LOCKED, HACK IT TO ENABLE ACCESS"
"HASH_87545221": "VEHICLE - SPOTLIGHT"
"HASH_C7400A21": "AMMO - SPECIAL"
"HASH_5B396221": "RESPECT BONUS"
"HASH_16399A21": "Deep Silver weapon costume for the Magna 10mm."
"HASH_DAA0E421": "Shaundi can be found in your HUB \\"PHONE\\" menu. She will help the Saints in combat."
"HASH_5DD10521": "Small increase to time before followers bleed out."
"HASH_81ACE921": "A disturbingly-effective close-combat weapon."
"HASH_E94B1521": "A quick and efficient infiltration weapon."
"HASH_4A9F9221": "%ls TO TOGGLE"
"HASH_868BE722": "LOW AMMO"
"HASH_C4016822": "TRAFFICKING"
"HASH_225E3C22": "Drive at high speeds to evade the cops and break your hostage. Slowing down lets the hostage escape."
"HASH_34C7B122": "REWARD: Zombie Homies"
"HASH_60B40122": "GANG - RECRUITMENT"
"HASH_CC164922": "Revive followers 30%% faster"
"HASH_71425622": "Your City Income Transfer Limit is increased for upgrading the Three Count crib."
"HASH_29216322": "CRIB - ANGEL"
"HASH_97748122": "INCOMING MESSAGE"
"HASH_64CF1822": "NEW UNLOCK!"
"HASH_7352BC23": "You now have Cyrus' VTOL available at your Gateway Garage"
"HASH_23FDFF23": "Unlimited SMG ammo"
"HASH_88DAD223": "You now receive a 5%% bonus to Hourly City Income from the Downtown district."
"HASH_A45B0723": "KINZIE"
"HASH_E6DA5F23": "Focused sound waves knock down most things in your path.  Charge it up and see what happens!"
"HASH_115A1624": "HOMIE - VTOL"
"HASH_8F39D624": "All followers get a 10%% health increase"
"HASH_9A5E9724": "A working model of the Decker SMG from the Decker Use-Net."
"HASH_0AF7E124": "ENTERING RESTRICTED ZONE"
"HASH_E0C32424": "TARGET LOCKED"
"HASH_FE9A7324": "Paranormal Bromance"
"HASH_5AF20325": "REVIVE FOLLOWER"
"HASH_A0CF4C25": "HEALTH - REGEN"
"HASH_054C0725": "Your Alien Notoriety will decay at a much faster rate"
"HASH_4F7B8725": "10%% bonus to ALL Cache earned."
"HASH_7BCCF425": "ITEM - SPACE COSTUME"
"Flashbang": "FLASHBANGS"
"HASH_482AEE26": "Customize this Stronghold at the 'Safeword Crib' to receive huge bonuses."
"HASH_68F1C226": "MECH SUIT"
"HASH_CD462726": "Destroyer-In-Chief"
"HASH_FEB6B127": "Rewards tied to Luchador mission choices have been granted. Check your Crib Wardrobe and Weapon Stash."
"HASH_F0464527": "Bring Maero along for some muscle."
"HASH_5E2F7D28": "Run over pedestrians to charge the Flamethrowers!"
"HASH_1434E828": "SILVERLINK - CHEAT"
"PISTOL_POLICE": "QUICKSHOT PISTOL"
"HASH_450B1B28": "PLEASE RECONNECT THE WIRELESS CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"HASH_56029629": "MINIMAP"
"HASH_37056729": "{ANALOG_LS_IMG} MOVE \n{ANALOG_RS_IMG} AIM \n{TANK_FIRE_SECONDARY_IMG} FIRE MAIN WEAPON \n{TANK_FIRE_PRIMARY_IMG} FIRE SECONDARY WEAPON"
"HASH_EB49C729": "WEAPON CACHE AMMO"
"HASH_A13CB82A": "Staying on the floor too long will hurt you. "
"HASH_57500D2A": "SKILL - VAMPIRE"
"HASH_5991672A": "Have Pierce get your back."
"HASH_3A6BE12A": "POLICE FORGIVENESS"
"HASH_046FEF2A": "{0} SECS"
"HASH_961CDA2B": "TATTOO PARLORS"
"HASH_8CDD952B": "BONUS - XP VIP"
"HASH_0465ED2B": "MELEE - SUPER STRENGTH"
"HASH_B3CDC62B": "Your Morningstar Notoriety will decay at a faster rate"
"HASH_F62D6E2B": "Convert Cache to 4,000 XP"
"HASH_67F8572B": "TRANSFER LIMIT"
"HASH_CFB1562B": "GO TO THE PENTHOUSE"
"RADIO_OFF": "OFF"
"HASH_F82B402B": "Don't Panic"
"HASH_44EDFB2B": "About Time!"
"HASH_ADC25E2C": "VEHICLE - CYBER TANK"
"HASH_C4AC032C": "SILVERLINK - WEAPON COSTUME"
"HASH_4AA3852C": "HOMIE - ANGEL DELA MUERTE"
"HASH_CCF1902C": "Equip the SA3 Airstrike Designator at your Crib Weapon Cache."
"HASH_2D2BF32C": "You now receive a 5%% bonus to all Respect earned for acquiring the Three Count crib."
"HASH_C7C3972C": "Your City Income Transfer Limit is increased for upgrading the Mega Brothel crib."
"HASH_5616AE2C": "SWAP - CACHE FOR XP 2"
"HASH_6DB25E2C": "SWARM MISSILES"
"HASH_EBB95E2C": "Electrical damage and the ability to stun those around you."
"HASH_0DD5952D": "TRANSFER LIMIT"
"HASH_A04B902D": "Call for a cabbie."
"HASH_881C002D": "MOLLUSK LAUNCHER"
"HASH_0439092D": "Are you sure you want to leave the Activity?\nYou will lose all progress since starting the Activity."
"HASH_4118362E": "HOMIE - PIERCE WASHINGTON"
"HASH_3EA7A12E": "Completes all City Takeover gameplay for an entire Hood automatically"
"HASH_29D8C52E": "Call up Oleg for some assistance."
"HASH_2EA1732E": "SHOCK HAMMER"
"HASH_69D6A82E": "SPEED UP"
"HASH_43BBC32E": "SLOW DOWN"
"HASH_B9D42E2E": "RETRY OR EXIT ACTIVITY?"
"HASH_85D1602F": "UFO CONTROLS"
"HASH_AD61432F": "WEAPON - APOCA-FISTS"
"HASH_EDB8A32F": "RESPECT BONUS"
"HASH_7EFF2E2F": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_2C198F2F": "For that long-range shot where accuracy is key."
"HASH_20F8DF30": "STAMINA - INCREASE"
"HASH_5D43EB30": "FASTER RELOADS 2"
"HASH_AB97D330": "HENRY STEEL MILLS"
"HASH_59A13D31": "DISTRICT CASH PER HOUR"
"HASH_9D08C531": "Minor increase in the melee damage you deal."
"HASH_6290BD31": "DAMAGE - FIRE 2"
"HASH_FDF26431": "Fist Meet Ground"
"HASH_2B890032": "Great reduction in damage taken from falls."
"HASH_23836A32": "BRIDGEPORT"
"HASH_557AD032": "For quick incapacitation of your target."
"HASH_745F8A32": "RIFLE AMMO"
"HASH_44A41732": "PISTOL AMMO"
"HASH_2922A633": "WEAPON INVENTORY"
"HASH_51095B33": "TRAIL BLAZING"
"HASH_BDA57B33": "DISTRICT CASH PER HOUR"
"HASH_1B552F33": "Suit up and roll out!"
"HASH_0285F333": "RIOT SHIELD"
"HASH_0A80C634": "WEAPON - LOUD LOCUST"
"HASH_9BD1CD34": "BONUS - CACHE BOOST VIP"
"HASH_79511C34": "Bring C.I.D. along to gather data."
"HASH_C3C1C735": "SILVERLINK - WEAPON COSTUME"
"HASH_28E87D35": "RESPECT BONUS"
"HASH_BBD0F735": "VEHICLE - ULTOR INTERCEPTOR"
"HASH_56AD5A35": "VEHICLES - CYBERSPACE"
"HASH_8404B335": "OUTFIT - STAG ARMOR"
"HASH_96F78135": "OUTFIT - BLOWUP DOLL"
"HASH_2CAB9735": "What you're usually dodging when the cops show up."
"SPECIAL_SNIPERRIFLE": "SNIPER RIFLE"
"HASH_0BE91636": "FLOOR HAZARD"
"HASH_7C2DAF36": "Challenges provide bonuses for accomplishing difficult tasks. Track your progress through the HUB {MAP_MENU_IMG}."
"HASH_9A46AF36": "Dual Wield Pistols"
"HASH_06C4BA36": "FEAR"
"HASH_170B4836": "{0}GOLD[/format] {1}"
"HASH_27448937": "HEALTH - UPGRADE"
"HASH_768B5037": "CO-OP STRONGHOLD"
"HASH_7C6BBC37": "Inflates people."
"HASH_76E95B37": "YOU MUST BE ON FOOT TO ACTIVATE THIS TRIGGER"
"HASH_9DF5F437": "ANSWER CELLPHONE"
"HASH_C0372837": "HACK SIMULATION"
"HASH_6A56F238": "GPS SHORTCUTS"
"HASH_A95A4338": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} QUICK TURNING"
"HASH_DD49CD38": "GARAGE - NEW VEHICLES"
"HASH_11545E38": "Deep Silver weapon costume for the Shokolov AR."
"HASH_2F2E4A38": "Gang Customization is now available at Gateways."
"HASH_57F9DF38": "Spawn in the Zombocalypse."
"HASH_401AB938": "SELF DESTRUCT"
"HASH_5F7C8639": "AMMO - SHOTGUN 3"
"HASH_59A1DC39": "AMMO - GRENADES 2"
"HASH_60C0A53A": "NOTORIETY WIPE - ALIEN"
"HASH_7636F63A": "Equip the Penetrator at your Crib Weapon Cache."
"HASH_5156183A": "Player health is increased by 75%%"
"HASH_A824233A": "EXIT RC MODE"
"HASH_4DED943A": "HOSPITAL BILL FOR %ls COST %ls"
"HASH_8C2D3F3A": "Maximum Stopping Power"
"HASH_DAAFE63B": "SILVERLINK - HAIRSTYLE"
"HASH_BF28B53B": "SKILL - PICKPOCKET"
"HASH_2C62CF3B": "THIS WEAPON DOESN'T NEED A DESCRIPTION, IF THIS TEXT APPEARS INGAME, PLEASE BUG TO MATT GREEN"
"HASH_E39CD23B": "OBJECTIVE COMPLETE"
"HASH_CEAD643B": "Where's My Cape?"
"HASH_DBA8DE3C": "REWARD: Permanent Respect Bonus"
"HASH_2FB3AC3C": "You now receive a 15%% bonus to Hourly City Income from the Stanfield district."
"HASH_F30A0C3C": "Tag team with Roddy Piper."
"HASH_E4D17F3C": "SUPER POWERS"
"SHOTGUN_GANG": "PUMP-ACTION SHOTGUN"
"HASH_56EE7D3D": "REVIVAL NEEDED"
"HASH_C8B3FA3D": "REVIVE"
"HASH_3DE1AC3E": "BONUS - CACHE TRANSFER RATE VIP"
"HASH_D914933E": "GANG CUSTOMIZATION"
"HASH_A17EC63E": "10%% bonus to ALL XP earned"
"HASH_566D463E": "Hard and varied instances of the MAYHEM Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_CBB98B3E": "CITY TAKEOVER"
"HASH_F37B1D3E": "WARP UP TOWER"
"HASH_E5FD623F": "GANG CUSTOMIZATION"
"HASH_43B5623F": "DISCOUNT - VEHICLES"
"HASH_8A3C9240": "STORE HACKING"
"HASH_03300540": "{MAP_MENU_IMG} ACCESS MAP \nYour map shows gameplay you can use to hurt the Zin and earn Cache, XP, and bonuses."
"HASH_9FF60440": "AMMO - PISTOL"
"HASH_1047CB40": "Greatly increase the length of the Stamina bar."
"HASH_EFE5F940": "Your City Income Transfer Limit is increased for upgrading the Nuke Plant crib."
"HASH_1F9D5940": "Handy way to light things on fire."
"HASH_FB35BC40": "ADD AIRPLANES TO ACCESS HANGAR"
"HASH_CC529640": "EXIT SIMULATION"
"HASH_5D88D640": "Imperator"
"HASH_7214A741": "Discovering shortcuts updates your GPS with newer/shorter paths."
"HASH_EA7FC841": "Kinzie's place is now a Saints Crib. Access your Weapons Cache, and Clothes here."
"HASH_E1F7CF41": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_06394E41": "RODDY PIPER"
"HASH_72861641": "QUEST COMPLETE"
"HASH_BE36AE41": "YOU CAN ONLY STORE WATERCRAFT HERE"
"HASH_8CB98542": "NOTORIETY - FASTER DECAY 3"
"HASH_CA73A542": "CLOTHING STORE DISCOUNT"
"HASH_357D6E42": "STAG Armor is now available to wear"
"HASH_D6460942": "DAMAGE - VEHICLE 4"
"HASH_F0CEE142": "TAUNTS"
"HASH_888FD643": "RANK UP"
"HASH_E738C243": "VEHICLE - JET BIKE"
"HASH_F864FE43": "Carry 50%% more SMG ammo"
"HASH_585F3E44": "AMMO - SMG"
"HASH_E51C5A44": "Moderate reduction in damage taken from bullets and lasers."
"HASH_8B839045": "HUMAN SHIELD - THROW"
"HASH_05C17C45": "Destroy Alien High Value Targets to cause Mayhem."
"HASH_0BF4FA45": "HOMIE - KINZIE KENSINGTON"
"HASH_E0D36545": "New cheats available in the cell phone."
"HASH_9AF0DD45": "DAMAGE - FALL 3"
"HASH_58EDF646": "VEHICLE - PROTOTYPE TANK"
"HASH_19FB3D46": "GANG - WEAPONS - SMGS"
"HASH_D3E96046": "Moderate reduction in damage taken from fire."
"HASH_90A1E346": "%ls HAS BEEN KICKED FROM THE GAME"
"HASH_160E8646": "YOU CAN'T STORE YOUR PARTNER'S VEHICLES"
"HASH_8737BB46": "Black holes suck, weaponized black holes suck more."
"HASH_B54E8B46": "CRUISE CONTROL ACTIVE"
"HASH_56150246": "{0} MINS"
"HASH_FE090A47": "EXECUTIVE PRIVILEGE PACK"
"HASH_70920947": "Hi Fauxhawk hairstyle."
"HASH_E4732F47": "The toilet outfit has been added to your Crib Wardrobe"
"HASH_F3057547": "The gas mask has been added to your Crib Wardrobe"
"HASH_E78C9A47": "ROSEN OAKS"
"HASH_EAC10947": "YOU CAN'T VISIT HERE RIGHT NOW"
"HASH_5D630847": "{0} mins"
"HASH_280D1948": "REWARDS - DECKER"
"HASH_6537C748": "While in a vehicle \\"Save\\" it with {SCAN_IMG}.\nTo drive that vehicle later, access Vehicle Delivery in your HUB \\"PHONE\\" menu. \n\nWho needs garages when you can just materialize a vehicle around you?"
"HASH_EEB7CB48": "PIERCE"
"HASH_FB9AFE48": "MINIGUN/ROCKETS"
"HASH_12A19D48": "BLING SHOTGUN"
"HASH_198A4148": "HOLD"
"HASH_5E2A5E49": "AMMO - RIFLE 3"
"HASH_07D07349": "GANG CUSTOMIZATION"
"HASH_26F93549": "VTOL Homie can be found in your HUB \\"PHONE\\" menu. He will deliver a VTOL to you in combat."
"HASH_0A99DB49": "Homies get a small health boost"
"HASH_5CFB514A": "You now own a crib {MAP_IMG_CRIB}.\nCribs are used to store weapons, clothes, and access Gang Customization."
"HASH_A0FC0F4A": "AMMO - EXPLOSIVE 2"
"HASH_AFE72A4A": "GANG - HEALTH INCREASE 3"
"HASH_C162A44A": "Instantly reload your SMGS"
"HASH_62C4144A": "METERS"
"HASH_6E4C024A": "RETRY OR EXIT ACTIVITY"
"HASH_EC15BB4B": "TIGER ESCORT"
"HASH_A4D4604B": "HOMIE - VIOLA"
"HASH_0C6FD04B": "25%% lower weapon store prices from Matt Millers' hacking"
"HASH_3D7E064B": "10,000 XP."
"HASH_8011B04B": "Health regenerates much faster"
"HASH_1DF76B4C": "HOLD {RECRUIT_DISMISS_IMG} TO RECRUIT FOLLOWERS"
"HASH_D439BE4C": "You now receive a 5%% bonus to all Respect earned for acquiring the Nuke Plant crib."
"HASH_B2A1024C": "You can now have Hos in your gang."
"WPNCAT_SHOTGUN": "SHOTGUN"
"HASH_C74F2B4D": "WEAPON - PENETRATOR"
"HASH_5194604D": "HELI ASSAULT"
"HASH_9C95474D": "Unlimited special ammo"
"HASH_4A98354D": "{GAME_CASH}25,000 Cash Payout to the Saints for returning the Hos"
"HASH_336B044D": "You will never be ragdolled when hit by explosions."
"HASH_84A9A54E": "{SAT_FIRE_GUIDED_IMG} GUIDED MISSILE \n{SAT_FIRE_FREE_IMG} DUMB FIRE MISSILE"
"HASH_9EE5E94E": "The official Nyte Blayde Altar Boy Outfit."
"HASH_8831BD4E": "TANYA"
"WPNCAT_SPECIAL": "SPECIAL"
"HASH_302EEE4F": "MONEY STASH"
"HASH_AAB1294F": "ADRENALINE MODE"
"HASH_6C30104F": "Morningstar vehicles are available at your Gateway Garage"
"HASH_3E502B4F": "Unlimited shotgun ammo"
"HASH_7F60A54F": "New Downloadable Content available in your Gateway Garage and Helipad."
"HASH_07078F4F": "Bring out your inner samurai with this full body outfit."
"HASH_04D3904F": "Great reduction in damage when hit by a vehicle."
"HASH_E3B0A54F": "Avast!  There be nothin' like shootin' lubbers with fish guts to lure the elusive Steelport Sewer Shark.  Yarrr!"
"SPECIAL_INFLATORAY": "INFLATO-RAY"
"SMG_CYBERSPACE": "CYBER BLASTER"
"HASH_2F473250": "TANK CONTROLS"
"HASH_7EA03650": "CITY TAKEOVER"
"HASH_F2E5E150": "This is your wardrobe. \nChange clothes here."
"HASH_43694850": "NOTORIETY - ALIEN 2"
"HASH_36B02F50": "INVINCIBLE PACK"
"HASH_94630F50": "DAMAGE - SMALL ARMS 4"
"HASH_A278B150": "GANG FORGIVENESS"
"HASH_5561EA50": "Watch from the air as you direct a missile to it's exact target."
"HASH_A3A07250": "Didn't Need to See Him Naked"
"HASH_466D2851": "GENKI MOBILE"
"HASH_25614F51": "{DPAD_DOWN_IMG} to start Streaking. \nWhile not wearing any clothes the Streaking diversion is available. "
"HASH_665C1651": "%ls ADDED TO YOUR GARAGE"
"HASH_36FA9252": "Equip the Reaper Drone Weapon at your Crib Weapon Cache."
"HASH_7CA92752": "Hourly Cache Transfer of {game_cash}500"
"HASH_286A4052": "New Cheats are available in the HUB."
"HASH_10FA6C52": "LASER BEAM"
"HASH_9A825752": "SATCHEL CHARGES"
"HASH_26797753": "HOMIE - HEALTH INCREASE 2"
"HASH_2BFA4653": "You now receive a 10%% bonus to Hourly City Income from the New Colvin district."
"HASH_2D46D753": "DAMAGE - EXPLOSIVE"
"HASH_F755BC53": "ITEM - KILLBANE'S MASK"
"HASH_1D9C0553": "SALANDER"
"HASH_830E7554": "The Airstrike must have fully painted the target before it will rain down a missile strike."
"HASH_39A30F54": "DISTRICT CASH PER HOUR"
