"HASH_B9F9F000": "Maybe later, alright?"
"HASH_1413F403": "Babysit the key. Got it."
"HASH_06A33803": "I'll take out the C.I.D.s!"
"HASH_018ED403": "Flip on the switch and..."
"HASH_BAC82803": "Just get everyone else to safety, playa!"
"HASH_0C653403": "What?! What are you going to do? Bad influence everyone to death?"
"HASH_71E59C03": "Is Zinyak seriously going to let me buy weapons here?"
"HASH_25A24C03": "Why's it look like Judgment Day?"
"HASH_79E98003": "Don't worry Matt, I'll get you out."
"HASH_EFE4B003": "I think this town lost the stick up its butt!"
"HASH_44229403": "So there are probably aliens in here?"
"HASH_BE235003": "Our contestants made it through another round."
"HASH_0AA28C03": "Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back."
"HASH_EFCE5004": "She's just a programme, y'know.  Why even worry about her?"
"HASH_4EAED004": "I had a great time, Johnny."
"HASH_C744D004": "Well I won't be once I find him."
"HASH_BA7B8004": "Cardboard boxes? You're serious?"
"HASH_ADF96804": "When that power's active your weapons will be able to bring down a Warden's shield."
"HASH_1D218404": "All right, I'll give this plan of yours one more try then we're helping Shaundi.  The... the other Shaundi."
"HASH_D349BC04": "Hold on, is that Maero?"
"HASH_3ECF0C04": "He can think whatever he wants...he's not stopping me."
"HASH_E5BF5004": "Fuck, you know what I mean."
"HASH_3618C404": "Shit. Did I just kill her?"
"HASH_8BB0F404": "Shit, watch that stomp next time."
"HASH_FBD61004": "So you have what you need now?"
"HASH_75C18804": "What kind of matter?"
"HASH_CD61B004": "Let me know how that goes."
"HASH_FD19F404": "Die, you sons-a-bitches!"
"HASH_FA1EE404": "Mmm. Breakfast sure smells good!"
"HASH_64DA5404": "Fine..."
"HASH_5FC8B404": "You're just a program, Maero.  In the real world, you're dead."
"HASH_1C261004": "My.  Way.  Works."
"HASH_D446BC04": "I am in the zone! The zone!"
"HASH_717DB004": "The American people don't exactly look favorably upon the President committing grand theft auto."
"HASH_1C559804": "Don't tease me, now."
"HASH_4CB74005": "Cupid's arrows are cruel, CID."
"HASH_4C56BC05": "Do what, exactly? Huh? Bravado me to death?"
"HASH_BA982C05": "Kinzie, she's falling too fast."
"HASH_E16EE805": "Is Kinzie okay?"
"HASH_C019F005": "This isn't for your empire, this is for the people of Earth."
"HASH_7CC77805": "Thank you.  Now to make my escape..."
"HASH_20BB7805": "Kinzie, we got incoming!"
"HASH_81156005": "Oh. See, Kinzie, that actually makes it sound fun."
"HASH_7580C005": "Let's do this, you beautiful monstrosity."
"HASH_13A92005": "You berks picked a fight with the wrong POTUS!"
"HASH_84124405": "Oh, he is pushing my buttons."
"HASH_249C8805": "Aw, bloody hell!"
"HASH_DF9FD005": "I took out three of the relays. That's it, right?"
"HASH_0DBA7405": "Bring on the man-cat..."
"HASH_BA1D4C05": "Get to CID! He's overheating!"
"HASH_3E414C05": "That wasn't hard at all."
"HASH_B8701C05": "Guess I'm not really in a hurry...to do anything. At all. HEY!"
"HASH_EAA30005": "Good.  Shouldn't I be running, though?"
"HASH_FEF4BC05": "Feeling a little competition there, Johnny?"
"HASH_25DABC05": "Gotcha!"
"HASH_75CDC805": "Hold on, this isn't an upgrade to my mind powers."
"HASH_CD5FE006": "Let's hope you don't."
"HASH_D427E806": "Oh, I'm gonna mount you over the fireplace, you alien fuck."
"HASH_08D1B406": "Okay, is this -really- the time?"
"HASH_39957806": "The Cyprian Order are a sect of brave soldiers waging a clandestine war against the creatures of the night."
"HASH_A1884006": "Oh shit! Matt get back!"
"HASH_56376406": "It's not a proper party till the Murderbots arrive."
"HASH_B4833806": "DELETE"
"HASH_A6B0F806": "I'm gonna snap you, you sonofa..."
"HASH_60998806": "Now the STATUE has a name?"
"HASH_53F89006": "Whoa, wait. You saved Keith David before me?"
"HASH_9D0B7C06": "A dead pirate with a black parrot?"
"HASH_B2638C06": "Oh sweet, sweet, robot...I'm never letting you go..."
"HASH_87701006": "So much for destiny..."
"HASH_16EF7406": "Goodness me, what a dream."
"HASH_20771806": "The fish--?  Please do not change the subject."
"HASH_50C01407": "On one condition."
"HASH_5E806807": "Anything you say, Shaundi."
"HASH_C4EF1C07": "There we are!  Found where to put the virus.  Head there and protect the upload."
"HASH_A574A807": "Oh sure, 'cause it's me getting shot at."
"HASH_BBBFDC07": "Do you have a place I can test this?"
"HASH_6D210007": "Matthew, be careful..."
"HASH_9F438807": "That's a question you should ask yourself, Zinyak."
"HASH_C8156407": "MATT! Quit mucking about!"
"HASH_D0545007": "Shut the fuck up!"
"HASH_267B8C07": "When did you find the time to work that out?"
"HASH_CEE00007": "C'mon, it's cute."
"HASH_21A51407": "Dammit.  I'm coming, Ben!"
"HASH_894D8407": "Actually, Miss Press Secretary, that's your best suggestion since I got here.."
"HASH_F674D007": "Hurry! I'm being held captive by..."
"HASH_F590B807": "I'mgonnashoottheconduit!"
"HASH_4D8E3807": "Lights. Out."
"HASH_FB6B4C07": "Good point."
"HASH_6E8BB807": "I got my Second Amendment rights."
"HASH_7FCA2807": "Johnny you better be okay..."
"HASH_3F200007": "So we are pals now?"
"HASH_F9BE4C07": "They?"
"HASH_33CEF007": "Paul?  You named it Paul?!"
"HASH_F3996C08": "What is this?!  Am I fighting or throwing a block party?"
"HASH_BCE93808": "Die, mascots, die!"
"HASH_B4FF1408": "Whose army is this, really?"
"HASH_2757D808": "We are close now."
"HASH_2D1F6008": "Two heads are better than one, Kinzie. Set it up."
"HASH_430E7C08": "Kinzie, the door is stuck..."
"HASH_CD07D808": "Where to now?"
"HASH_D3CE6808": "This is so much cooler than Marine 1"
"HASH_6156C408": "That's a question you should ask yourself."
"HASH_9172D808": "Slow up.  Where you think you're goin'?"
"HASH_A9F0E408": "Well how did you get out?"
"HASH_34F9F808": "Does it matter which one?"
"HASH_0EC95808": "Believe me, that's a bad idea."
"HASH_4C87A408": "He's made the tower invulnerable!  Hang on, I'll find a work around."
"HASH_D2F4E808": "Oh god. Come on..."
"HASH_2646D808": "Kinzie, can't you shut him up?"
"HASH_D0843C08": "*sigh*  Kinzie, stop talking."
"HASH_F6186408": "Well hey, there's always the RPGs out on the pool deck."
"HASH_CD8DE408": "So.  NyteBlayde.  What more is there? A girlfriend, a love interest...?"
"HASH_97CC4C08": "No, I genuinely want to know."
"HASH_26AB3408": "Do not worry, I'll be there, blah blah blah! FUCK."
"HASH_EE3F5409": "Mash the button and..."
"HASH_1E861409": "Ambushed on the way to the main villain. Nice, Matt. Good rising action."
"HASH_4F324009": "Whoa!"
"HASH_8CE0E409": "Stay on target!"
"HASH_3D99DC09": "So you and old you had a talk then?"
"HASH_D91B7009": "Too right I do... I was just a kid when I came here.  Hell I was too scared to talk back then."
"HASH_04400409": "Then came Zinyak.  He snatched me from right out of my garage, thinking I knew how to stop the Saints.  He should've done a bit more research first, but I guess he was too busy trying to conquer Earth.  I got myself out of the Domination Matrix only to find I was trapped on his damn ship.  At least now I have the boss here to help me.  I think we have a real shot at making it home."
"HASH_67BBFC09": "Oh, I got something special planned for him."
"HASH_F5714809": "Well..."
"HASH_83C40C09": "We have a challenge to the throne here!"
"HASH_68F7D409": "*struggling*"
"HASH_01753009": "Well, before he lost his mind, he was my Vice President."
"HASH_21D6BC09": "Well nobody could replace you, Johnny."
"HASH_F6B7C009": "Aim for the mascots!"
"HASH_D96BA809": "DELETE"
"HASH_CD7AC809": "Yep, I did.  What's wrong with that?"
"HASH_3372A009": "This one's for Uncle Sam!"
"HASH_5DC36409": "You can fly, CID."
"HASH_3EC44809": "Why would I waste *two* bullets on those lights when I can just use *one* on the guard?"
"HASH_4B36C009": "Do you expect the entire White House was demolished?"
"HASH_5A594409": "I'm coming Johnny!"
"HASH_8C054809": "Fine, but I better get something outta this."
"HASH_3AB76009": "DELETE"
"HASH_5D27D009": "Well, shoot."
"HASH_FB8FEC09": "Where's Kinzie, Keith?"
"HASH_090E5009": "Not usually, no."
"HASH_50F4AC09": "Now, now. Not so fast."
"HASH_67E12409": "Oh shit! Matt get back!"
"HASH_8FE69409": "You seem strangely calm about this whole thing, Kinzie.  I expected you to be on my case about how without these your Key won't work and I better not screw this up, blah blah blah."
"HASH_56678409": "Deal with who?"
"HASH_F38A2009": "Whoa, now!  I'm sorry! Just tell me how I get out."
"HASH_5AE0EC0A": "Admittedly, my mental projection of him may be a bit skewed."
"HASH_958C500A": "Inside, now!"
"HASH_D84CFC0A": "Glad to have Ben back. I'm really looking forward to his next book."
"HASH_33306C0A": "The only edge I need is already within me."
"HASH_9CC73C0A": "Don't get too full of yourself now."
"HASH_4EC0000A": "Though to be honest, I'm more worried about what we're gonna find when Kinzie links up your portal."
"HASH_47E68C0A": "Stop it Keith!"
"HASH_F978D40A": "I pulled your ass out of prison, Matt, the least you can do is help protect the ship!"
"HASH_0165B00A": "Nice, Asha. Real nice."
"HASH_6BAAE00A": "I wasn't criticizing, just saying."
"HASH_639DD80A": "Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me."
"HASH_05FF840A": "Kink? Kink, I get. But this?"
"HASH_64B3240A": "I do like new weapons."
"HASH_266CC00A": "It's charged. What next?"
"HASH_26DA540A": "Yeah, what's that?"
"HASH_7FAFF00A": "Let's get out of here."
"HASH_4702280A": "Zinyak?  Aw, crap."
"HASH_6DB0E00A": "It was good, right? Like really good? Be honest."
"HASH_A4FF940A": "Damn it!"
"HASH_379B040B": "Ben, you all right?"
"HASH_A563E00B": "It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time."
"HASH_F098540B": "What is...what is happening?"
"HASH_3704900B": "Is there more to this nightmare realm than shooting lights and clueless guards?"
"HASH_A399A80B": "Most of all, this is for me."
"HASH_08FDAC0B": "Well, hellooo..."
"HASH_8003FC0B": "Whoa, we're breaking pinatas now?"
"HASH_F956640B": "How's that shield coming, CID?"
"HASH_948CFC0B": "It was on this plane where Shaundi and I lost our best friend.  Johnny Gat helped found the Saints originally, and Shaundi looked up to him ever since she joined.  He sacrificed himself to save us.  Now I want our friend back."
"HASH_E05CB00B": "*struggling*"
"HASH_EE68C80B": "Wait, seriously?"
"HASH_581FC40B": "Oh, I got something special planned for him."
"HASH_CA048C0B": "Are you fucking serious?"
"HASH_5A17E40B": "Look out, here comes Paul!"
"HASH_1FDDAC0B": "Fuck me. What was that?"
"HASH_F527800B": "DELETE"
"HASH_5C70B80C": "Sounds good."
"HASH_BF46C00C": "Right..."
"HASH_AA1FA80C": "What was that sexist crap Cyrus was spouting?"
"HASH_7DCFF40C": "You'll find her in the park, Ben."
"HASH_81FA980C": "Shit. Wh-what's it doing, Kinzie?"
"HASH_D000F80C": "C'mon, Ben, tell me you're okay."
"HASH_A79C440C": "DELETE"
"HASH_BCB4700C": "You blew it up!"
"HASH_FF80BC0C": "Oh, good point."
"HASH_3533280C": "That's a face I hoped I'd never see again."
"HASH_C7B2A40C": "God, you and Kinzie both with your technobabble..."
"HASH_B5A29C0C": "I'm sure you'll do a...fine job."
"HASH_7E08200C": "You really think I could've made up something like that?"
"HASH_58FEB80C": "I have to shoot the light and then him. I got it."
"HASH_59E4D00C": "You all right with this bunch?"
"HASH_A5660C0C": "Alright, I like the sound of that.  What is it you need?"
"HASH_7AFCBC0C": "Who lives and who dies?"
"HASH_01D1BC0D": "Oh, you don't like that, do you now?"
"HASH_4C35280D": "We've received a threat, sir. We need you to stay away."
"HASH_ABA0B40D": "No, ma'am."
"HASH_11DB000D": "Pretty sure Kinzie saved a copy of her somewhere."
"HASH_6AB7C40D": "Code like code for the simulation? What's it do?"
"HASH_3EF95C0D": "Thanks for telling me in advance and not after I stole one of their devices and took to a supposedly safe spot."
"HASH_0F1D500D": "Um... hi..."
"HASH_6335200D": "Like that's gonna stop me."
"HASH_5E0B080D": "I have to shoot the light and then him. I got it."
"HASH_1BC36C0D": "So can we talk about why it is you have to kill me again?"
"HASH_FFD7C80E": "So can we talk about why it is you have to kill me again?"
"HASH_9DD07C0E": "We should probably go."
"HASH_D9C7B80E": "Yeah, don't."
"HASH_194EF00E": "You better believe we killed him first. After that, though..."
"HASH_0FD1640E": "I think I know how you can beat Paul."
"HASH_C1776C0E": "Why would you want to help me and how do you know who I even am?"
"HASH_625ED80E": "Zinyak has an old program he likes running around the city.  I say you kill it."
"HASH_A7B69C0E": "That's MINE!"
"HASH_F2AA8C0E": "You really don't need to tell me that, Kinzie, but thanks."
"HASH_97FA440E": "Gat, you with me?"
"HASH_0A5B180E": "I'm ending you, Saint! Once and for all!"
"HASH_FF2C700E": "You gonna be okay with them?"
"HASH_0942600E": "Boy, they really don't like you.  Just don't get yourself killed, alright?  I don't think Kinzie would be very happy with me."
"HASH_38C2E00E": "What sort of keys do you have, Kinzie?  Mine don't come in parts."
"HASH_9026E00F": "Up ya go!"
"HASH_0FAC580F": "You honestly believe a place exists where I don't call the shots?"
"HASH_5667300F": "It's called raw talent, Matt.  And that wasn't the virus, that was something I was born to do."
"HASH_5616D40F": "Cardboard boxes? You're serious?"
"HASH_8F8DE80F": "I've constructed a door that'll allow your mind to get out of the simulation and back into your body.  Head toward it."
"HASH_87A06C0F": "Shit. This thing's tough..."
"HASH_91E5680F": "Well, well. There he is. Hey, why is he so much younger and...not in a uniform."
"HASH_78E4900F": "Ha! I got him!"
"HASH_E3E7540F": "As IF--!"
"HASH_9AD6C80F": "Don't push it."
"HASH_FD73C00F": "Hey Maero, how's Jessica?"
"HASH_314C1C0F": "Are you really abandoning--"
"HASH_31E1580F": "Honey, is there some reason you WANT me to get shot?"
"HASH_C75C5C0F": "Not anymore.  We've got nothing left in common."
"HASH_2321340F": "I was kidding!"
"HASH_E961E410": "All right, I'll give this plan of yours one more try then we're helping Shaundi.  The, uh, other Shaundi."
"HASH_FB3A7410": "Are you fucking kidding me?"
"HASH_BFD2B010": "Oh hell no!"
"HASH_F1983410": "Now the STATUE has a name?"
"HASH_AC796010": "Different, eh? How so?"
"HASH_BCA72410": "You're not?"
"HASH_D91E7C10": "Ha! You assholes pissed off the wrong POTUS!"
"HASH_0F5E9810": "The doors are nice too."
"HASH_80FDB810": "No one's coming to save you now."
"HASH_CC70F410": "Nope, never mind, you're talking gibberish again."
"HASH_9FBA7410": "So I just bang my foot down?"
"HASH_45A85810": "I do.  IN ONE OF THE CRATES AROUND THE ARMORY."
"HASH_3A44AC10": "I knew Genki couldn't be too far behind."
"HASH_C8E6C010": "I tagged a target for you. I want to see you wipe this sucker out."
"HASH_BC75A010": "Thanks for sparing me the monologue on how careful I need to be..."
"HASH_9D0B1010": "Pierce, honey, I don't think really had to--"
"HASH_18C50810": "A dead pirate with a black parrot?"
"HASH_B7F9BC10": "Prepare to die."
"HASH_8AF0E010": "You're right, it did.  Nice job, Pierce."
"HASH_8DBB2810": "Glad you could make it back! You can give me my superpowers now."
"HASH_B9F20410": "Or maybe it just doesn't do anything like I said."
"HASH_65908010": "Done."
"HASH_6F305C10": "Ow, you--"
"HASH_F2A40410": "I had a great time, Johnny."
"HASH_287EC010": "Die, mascots, die!"
"HASH_5BD8E011": "MI6, huh? All right. I'm game."
"HASH_1037C411": "You..."
"HASH_7D540411": "You gettin' off on this, Kinzie?"
"HASH_0697D011": "I feel like a toilet at a bus stop."
"HASH_F545B011": "Oh what fools these mortals be!"
"HASH_6F2AAC11": "You did it Matt!"
"HASH_F16F3411": "Ooh. Sounds serious."
"HASH_1B7E5C11": "I suppose I should not expect this to be easy."
"HASH_530A0811": "Yeah, but I'm still driving."
"HASH_8AB2C011": "Kinzie, the kids are at it again."
"HASH_87B56C11": "Right. I'll meet up with Johnny there."
"HASH_B9731C11": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid."
"HASH_A3F3DC11": "Same difference."
"HASH_3A7EA411": "If they're working for Tanya, I don't expect them to go quietly."
"HASH_8BAC5011": "One bullshit trick after another."
"HASH_9F912411": "Josh Birk. How's life after NyteBlayde?"
"HASH_88CE6012": "DELETE"
"HASH_383A0C12": "Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her."
"HASH_5D19C412": "Then come back to the ship.  You're going to need help."
"HASH_14183C12": "I am curious, can this Artificial Intelligence have a body in the real world too?"
"HASH_4FCF4C12": "Cyrus has soldiers everywhere so be alert."
"HASH_8984C412": "Deal."
"HASH_142B8412": "Yes, but Kinzie says she has a plan."
"HASH_27449C12": "Yeah, what's that?"
"HASH_76F3EC12": "They keep coming!"
"HASH_5C694012": "You both sit tight. I'll be back for you."
"HASH_D5E2C812": "Can't you speed things up?"
"HASH_850D7C12": "Don't bet on it. I know he's still here somewhere."
"HASH_DE99A812": "Since King has be reliving this over and over again it stands to reason that the parameters of the encounter should remain the same."
"HASH_15998C12": "Let me guess. I'm shooting the light."
"HASH_FB6B5012": "Let's stop the chit-chat. Let's get to the us kicking your ass."
"HASH_A1E3FC12": "This...getting a little weird for anyone else or just me?"
"HASH_7A5CE812": "Ooof!"
"HASH_ED538413": "DELETE"
"HASH_8FC58813": "Well done. If you throw me into the generator again, I will continue hacking the shield on the relay."
"HASH_5AEA5813": "So unlock them."
"HASH_6B05F813": "Don't let them get in this room!"
"HASH_E869D813": "Up ya go!"
"HASH_F075E413": "Can you call me NyteBlayde?"
"HASH_CB7AF013": "Yeah."
"HASH_5B6F0413": "Pierce! Ben! We have to go!"
"HASH_3D73B813": "Good job getting Kinzie back. Though, shit, she seems tweaked about whatever happened there."
"HASH_DC362C13": "What...are you..."
"HASH_C4BB9413": "No more shield, Zinyak.  No more armor."
"HASH_A052C813": "Pierce and Ben are getting into that car. Let's cover them!"
"HASH_83B73813": "Not yet, Kinzie."
"HASH_513BA413": "Oh man. Am I glad that's over."
"HASH_05400813": "Yeah, and the Saints are my crew so get outta the way before I remind you why."
"HASH_F30A1C13": "I want to be compensated for my contribution."
"HASH_09288C13": "Be fair, she has a point."
"HASH_1E056413": "Hey, little lady, glad you're okay."
"HASH_67C84C13": "I'm curious, is there any way to get this AI a body in the real world too?"
"HASH_96D5A813": "Holy shit... I'm just an actor, how many of you are there?"
"HASH_B7AE6813": "Hey Kinzie, you wanna fuck?"
"HASH_090C8814": "I don't have any guns."
"HASH_B08F8014": "Huh, looks like she's spiced this place up a bit."
"HASH_DCD7FC14": "They've blocked the way out."
"HASH_2F5EFC14": "Got it."
"HASH_81FE9C14": "Dammit, get off of me!"
"HASH_3F858414": "Scan fast."
"HASH_77E4FC14": "Zinyak'll have to try harder than that...."
"HASH_C202EC14": "What the fuck... Zinyak trashed my apartment!"
"HASH_F8D86C14": "Whoa whoa whoa, \\"Fake Shaundi\\"?"
"HASH_C7591814": "Nope."
"HASH_80C0AC14": "Hold on. We're coming to get you."
"HASH_77C69C14": "Hahahaha!"
"HASH_69381014": "We find this especially in the media put out by big business. All the murder simulators peddled to our children. To the music designed to get our young ones to simulate adult acts of a very private--but legally controlled--nature. There are even stores that want to put women in suits!"
"HASH_09309814": "Sounds like there's more going on around the other side.  I'm gonna go check it out."
"HASH_50BDFC14": "No, mademoiselle."
"HASH_DB727C14": "No more splitting up, we stick together 'till we kill those assholes."
"HASH_AF37F014": "You'll probably need to defend yourself for a bit. Here's a gun."
"HASH_24768814": "Ya know Kinzie, rescues go better when you have A FUCKING GUN."
"HASH_3F5AD015": "CID, why is everything a target?"
"HASH_A57DBC15": "God, I feel sick..."
"HASH_CBFD9015": "But then I realized Asha would never be able to do this without some help."
"HASH_5FC79815": "How long have you really been working on this?"
"HASH_C2183C15": "Can't wait for the movie, Ben. How can I help?"
"HASH_8EF10415": "Now let's take our loot and get the hell--"
"HASH_98A1F415": "Yes. I apologize for the outburst."
"HASH_E3507815": "Of course you are..."
"HASH_25351815": "The place you're in isn't real. Whatever it's having you do, you need to stop."
"HASH_74C4CC15": "Oh yes I CAN stop the signal!"
"HASH_8FECD815": "Well well, Benjamin.  Time for you to die with some dignity."
"HASH_9BD71C15": "We need to figure out what the hell is going on..."
"HASH_3A42C415": "If CID's rifts are good at disrupting the Zin systems, then I'm fine with you helping CID keep one open."
"HASH_4ABA4816": "Ow! My toe!"
"HASH_4DFAAC16": "Ooh, look at you second amendment solutions."
"HASH_64C04816": "Keep shooting at the rear."
"HASH_C171AC16": "That's a lot of Veteran Children."
"HASH_DC8EE016": "You both sit tight. I'll be back for you."
"HASH_B67ED416": "Blimey, I remember this lot -- the one I ran with and the ones I buried..."
"HASH_149D0016": "The intricacies of this code are remarkable.  I definitely need to see more for a complete picture."
"HASH_708EC016": "Before that was Steelport. Luchadores, evil hackers, and European assholes in black suits."
"HASH_66ABBC16": "Get on! Quickly!"
"HASH_32742016": "Okay people, once we get there we get this thing unloaded and into the System as fast as we can, got it?"
"HASH_A7CF7016": "Dammit, get your ass back here!"
"HASH_001EF016": "Oh man. Am I glad that's over."
"HASH_DE222C16": "With what?"
"HASH_90B18816": "Hey, I've gotten us this far, haven't I?"
"HASH_C4028416": "Stop that! Stop that right now!"
"HASH_0F187C16": "That sounds awesome!"
"HASH_79403817": "Okay. Something big seems to be going on. I'd hurry."
"HASH_937D3017": "So another in downtown?"
"HASH_F71E2417": "Oh god. Come on..."
"HASH_723C9C17": "Sounds easy and fun.  Why not."
"HASH_D818CC17": "So where to?"
"HASH_4992C417": "You blew it up!"
"HASH_0D07D417": "The last one's by the church."
"HASH_8BF99017": "Come out of there you coward."
"HASH_778AF017": "Dammit!"
"HASH_B45E1817": "As the only living world leader from planet Earth, I hereby assign you all rights, titles, licenses and possible merchandise claims to the NyteBlayde property."
"HASH_795F8017": "Intel reports high threat probability at our next stop so we should be prepared for anything."
"HASH_F5082817": "Appreciate it, CID, but I need to know how to get through his shield."
"HASH_6978D417": "Pierce?  What the hell, he wouldn't say that."
"HASH_9CDAD417": "Perspective? On what?"
"HASH_428C7017": "I don't know why--and I don't want to know--but if CID doesn't stop rubbing up against me and cooing, we're gonna have a problem."
"HASH_BB870417": "What're we waiting for?  Let's hit the next portal."
"HASH_06759817": "Tell me, Keith!"
"HASH_DD00B817": "Because open auditions are the dream of every dancer.  Preconceived notions of age, race, and training are gone, and all that matters is raw talent and the love of the art."
"HASH_6FD74818": "Where'd she go?"
"HASH_C9911418": "It's gotta be.  Maybe on the other side of the building."
"HASH_BBE57018": "Cool with me.  My source says this next guy should be loaded with the right product."
"HASH_7FB4F418": "I'm always ready--"
"HASH_39F5D418": "Sweet!"
"HASH_7845FC18": "THANK YOU!  It's nice to have someone jibber jabbing about it being power armor all the time..."
"HASH_E7EAD818": "I find it best to not worry too hard about that."
"HASH_B76F9C18": "Here ya go."
"HASH_37080818": "Just fuck him and get over yourself, Kinzie."
"HASH_DDFC5C18": "Well, we don't have to worry about that now, right?"
"HASH_EA705018": "Why thank you, Miss Press Secretary, that sounds like a perfect idea."
"HASH_EB05D018": "Pierce. What the fuck is going here."
"HASH_FEB79418": "Matt and I are at the South Portico. You have to see this!"
"HASH_3AB05818": "I appreciate your attention to detail, but let's get outta here!"
"HASH_09F46818": "Starting linking sequence now."
"HASH_8B678419": "The only edge I need is already within me."
"HASH_0CC34419": "How much longer, CID?"
"HASH_FF75F019": "Uh-huh."
"HASH_E3D9B419": "Can't handle me yourself, huh?"
"HASH_74A46019": "This is the moment where you can prove to be the savior of humanity, or its absolute destroyer."
"HASH_9C902019": "Want to add casual sex to that list?"
"HASH_CAA08819": "All right. Let's clear these guards out."
"HASH_5BFAA419": "Then what'd you have in mind?"
"HASH_DAE38019": "Seems Zinyak's getting a little twist in his shorts."
"HASH_AC823C19": "DELETE"
"HASH_F8FD7819": "Take a guess, Kinzie."
"HASH_68212019": "Keep an eye out for more Zin. They're on the offensive now."
"HASH_97D5681A": "I knew the Saints wouldn't believe me when I came to them for help.  Oleg hated me for turning him into a science fair project, Zimos was still grumpy about the pony cart thing, Pierce never bothered to learn my name, and Shaundi was a vindictive bitch.  It didn't matter though--the boss understood a thing or two about revenge."
"HASH_4907BC1A": "Hold on, you don't know?"
"HASH_155A5C1A": "Muuuch better."
"HASH_6D40301A": "Okay, I am here--and they have a gimp..."
"HASH_FE88101A": "Come on. Come on."
