"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_FE34402E": "WET LEAF BROWN"
"HASH_449B982E": "LOVESTRUCK"
"HASH_4D3BF22E": "WALL STREET"
"HASH_8C90CE2E": "BEEP BOOP BRACELET"
"HASH_16E6E42E": "GENERIC HERO SHIRT"
"HASH_B94A342F": "WARBIRD"
"HASH_0BF5E62F": "GRENADE LAUNCHER"
"HASH_CC54622F": "ULTRA BRIGHT WHITE"
"cm_udwr_testtypeb": "!!TEST UNDERWEAR B!!"
"HASH_A94F7030": "Who knew the Saints used non-lethal weapons?"
"HASH_44BB3830": "BLUNDERBUSS"
"HASH_8A9EBA30": "CASKET"
"HASH_3B6C2430": "BARELY THERE SAINTS G STRING"
"HASH_07E86630": "PRIVATE EYE RING"
"HASH_40B97C30": "SWEATBAND"
"cm_ubdy_sweatstilwater": "STILWATER SWEATSHIRT"
"cm_foot_bathslippers": "FUZZY SLIPPERS"
"HASH_C27F4231": "STREET FIGHTER"
"HASH_61121E31": "OG SWEATSHIRT"
"HASH_E19D7431": "6 LOOPS"
"cf_hair_longstraight_04": "LONG AND PARTED"
"HASH_60F7CA31": "GOATEE"
"HASH_633A8A32": "GOLD-PLATED"
"HASH_9DD31032": "STEAMPUNK INVENTOR"
"HASH_A39F2433": "The weapon no longer overheats. At all. Fire away."
"HASH_13A1EC33": "Chill out."
"HASH_AD386C33": "Warning: It doesn't come with a stun setting."
"HASH_ECC41233": "FRONT MODS"
"HASH_752AF833": "TRIM 1"
"HASH_66D2B033": "SHOWOFF V-NECK"
"HASH_39D91E33": "FLAWLESS BEAUTY"
"HASH_07E5AC33": "BASEBALL CAP"
"cm_lbdy_postapocman": "APOCALYPTIC CARGOS"
"cf_hair_graduatedbob-01": "GRADUATED BOB"
"HASH_5201D833": "DECKER"
"HASH_8603F833": "FLEUR DE KEY"
"HASH_F4D7A633": "BRIGHT PURPLE"
"HASH_02AD2034": "BRIDGE WIDTH"
"HASH_6048A034": "CATSUIT"
"HASH_33E0B234": "CAPTAIN'S HAT"
"cm_lp35e_ubdy_m_entertain": "ENTERTAINER SHIRT"
"cm_hair_buzzmature": "THE BARRIOS"
"HASH_CC6B1A34": "8-BIT GAT"
"HASH_B5E37834": "YELLOW 2"
"HASH_18DC8E35": "Kills with this weapon add ammo back to its clip."
"HASH_FE304A35": "BROW WIDTH"
"HASH_7CF0DA35": "MR. PLEASANTVILLE"
"HASH_079B9835": "MORNINGSTAR SOLDIER"
"HASH_9AE40635": "BARELY LEGAL"
"HASH_55637635": "VIOLET 1"
"Spa Day": "SPA DAY"
"HASH_FA440A36": ""
"HASH_13789A36": "BONES"
"HASH_43F65C37": "COVER YOUR NIPS"
"HASH_15845037": "SAINTS STREETWALKS"
"HASH_3E5B3A37": "WRISTBAND"
"HASH_C6064237": "KNUCKLE BOMB"
"HASH_B73D2837": "RED 9"
"HASH_CA31EE38": "TIP SIZE"
"HASH_28564C38": "With retractable blades in your tires, driving close to vehicles and people can cause damage."
"HASH_D2A8DA38": "MALE MODEL SHOES"
"HASH_55629C38": "OLD SCHOOL SAILOR"
"HASH_90848838": "VIOLET BLUE 7"
"HASH_FC149E39": "Player may now guide rockets with the reticle."
"HASH_806AD439": "Size doesn't matter. Or DOES it?"
"HASH_20EDE839": "4 out of 5 Xenomoprhs recommend this gun"
"HASH_9EF7B439": "THE SILVER BULLET"
"HASH_A0B1B239": "DARK SKINNIES"
"HASH_A9BF8439": "LIL SLUGGER CAP"
"cm_suit_f_llk": "CAT SUIT"
"cm_hair_beehive-01": "THE BEEHIVE"
"HASH_496E9439": "BATS OF ANARCHY"
"HASH_3043D439": "COPSTASH"
"HASH_3758F639": "BRIGHT RED"
"HASH_C401F63A": "MMM, GIBLETS"
"HASH_1CB4EE3A": "Inflate 'em ... like a boss!"
"HASH_1DBDA23A": "SPEED UPGRADE"
"HASH_5CA8B43A": "KNEECAPPERS"
"HASH_08864A3A": "SUPERHERO MASK"
"cf_hair_formalupdo_01": "FORMAL UPDO"
"HASH_2E24843B": "Old school meets high-tech."
"HASH_B818AA3B": "START GAME"
"HASH_B1EEE83B": "TOREADOR RED"
"HASH_74FC9C3B": "RIM SET 10"
"HASH_4F983C3C": "SUPER KNOCKBACK"
"HASH_04D7CE3C": "GOLD-PLATED"
"HASH_20F8EC3C": "PLATINUM"
"HASH_3741023C": "WILD RUNWAY SWEATER"
"HASH_FEA9523D": "FOREHEAD HEIGHT"
"HASH_3A64103D": "CHEEKBONES"
"HASH_1CF9DC3D": "An upgraded frame is the key to your vehicle withstanding unreal punishment before exploding into scrap metal."
"HASH_94A8E23D": "ANTENNAS"
"HASH_1193E63D": "MATTE PAINT"
"HASH_D483683D": "GENTLEMANS LOAFERS"
"HASH_A7F3E03E": "CRIMSON"
"HASH_57B2223E": "DEEP SILVER"
"HASH_F919BE3E": "Lock and load."
"HASH_9936FC3E": "As seen in the classic 'The Zin with the Golden Gun'"
"HASH_53C5E63E": "MCMANUS 2020"
"HASH_120BCE3E": "NONE"
"HASH_FE8D1C3E": "WIFE BEATER TEASE"
"HASH_1830483E": "HILLS PARISIAN STYLE"
"HASH_451F5C3F": "EXTRAS"
"cm_ubdy_puffyvest01": "PUFFER VEST"
"HASH_EFCC7E3F": "STRAWBERRY BLONDE"
"HASH_0AFB1C3F": "CORNROW"
"HASH_99DF9A40": "GIRAFFE"
"HASH_5814F040": "SHOKOLOV AR"
"HASH_8996B440": "PINK LIGHT TINT"
"HASH_6785DA40": "WOMENS STYLISH JACKET"
"HASH_0F70B440": "BE MY VALENTINE G STRING"
"HASH_969D4241": "FORTRESS"
"HASH_70546441": "WORK ZONE BOOTS"
"HASH_33621241": "MARLEY"
"HASH_42DC9641": "DEATH IF CROSSED"
"HASH_0E78C642": "BUY/UPGRADE WEAPONS"
"HASH_D9F28842": "VINTAGE SWEATER VEST"
"HASH_F4918A42": "MURDERBRAWL WRAPS"
"HASH_89F0DA42": "WAKE AND BAKE"
"HASH_DF6D5E42": "DRESSED TO IMPRESS"
"cm_lbdy_deckermatt": "DECKER KING PANTS"
"cm_hair_superhero": "THE SUPERHERO"
"Planet Saints Male D": "ELECTRO DJ"
"HASH_D7514C43": "WINGS"
"HASH_8F4D5A44": "GUIDED MISSILES"
"HASH_EADBD044": "Magnetic Mines for the win!"
"HASH_842D6044": "IT'S NOT UNUSUAL"
"HASH_7B4DA844": "GENKI GIRL EARRINGS"
"HASH_CFEEB044": "LEATHER AND LACE WRISTBAND"
"HASH_62B8C044": "CATWALK SCARF"
"HASH_C3207C44": "NOT SO INNOCENT BOOTIE"
"cm_lbdy_benking": "KING STYLE SLACKS"
"HASH_BB11EE44": "OFF THE CHAIN"
"HASH_8DF20645": "Firing the weapon creates an explosive backblast."
"HASH_A6CEC245": "CANDY PAINT"
"HASH_B52CEC45": "WITCH HAT"
"HASH_8F102845": "THE MIME"
"HASH_20236A45": "GREY 5"
"HASH_953E6646": "OILED HISPANIC 1"
"HASH_CE50E046": "COCKPIT"
"HASH_1C4F1446": "FACE OF DEATH"
"HASH_6AA21847": "Erases your enemies"
"HASH_57BB3247": "NATURE BOY"
"HASH_C5E15447": "TINT 5%%"
"HASH_53F8E447": "TRACK JACKET"
"HASH_3A5F1C48": "POLKA-DOT"
"HASH_F5DCB448": "CHEEKBONE DEPTH"
"HASH_A9572448": "AFRICAN AMERICAN 3"
"HASH_2D132248": "DECAL 6"
"cm_dkr01_suit": "DECKER SOLDIER"
"HASH_D2D3C848": "BEARD OF PAYNE"
"HASH_B357EE48": "VIOLET RED 5"
"HASH_7D5F4248": "BROWN 4"
"HASH_BA86C449": "EYESHADOW"
"HASH_CBC78449": "Z STYLE SHOES"
"HASH_482E7A49": "TRUE LOVE SET"
"HASH_2EAA6449": "TRIBAL BLADE"
"HASH_45219A49": "YELLOW ORANGE 9"
"HASH_02A0B44A": "HISPANIC 4"
"HASH_CB62BE4A": "CAPTAIN SHIRT"
"HASH_EE15DE4A": "MASK OF WAR"
"HASH_CE56384A": "BRIGHT YELLOW"
"cm_lp35e_eyes_m_entertain": "ENTERTAINER SHADES"
"cm_lbdy_europants": "MESSY SLACKS"
"HASH_D6B3B44B": "R I T E"
"HASH_70816C4C": "Zin? Fin."
"HASH_D403044C": "EYE STYLE"
"HASH_9F55844C": "SCARED"
"HASH_FAAAFC4C": "You have reached the maximum number of items allowed in your wardrobe."
"HASH_9B3F044C": "BED MODS"
"HASH_BD726E4C": "DOUBLE PIERCED"
"cm_dkr01_hdphones": "DECKER HEADPHONES"
"HASH_9F81D64C": "HARSH LINER"
"HASH_344FFA4D": "DISINTEGRATOR"
"HASH_74CF9E4D": "CHIN"
"HASH_98FEA24D": "TINT 30%%"
"HASH_ED54764D": "URBAN SAFARI OUTFIT"
"HASH_5AAD664D": "HIGH CLASS SLACKS"
"HASH_A383F84D": "ANTWERP SPECIAL"
"HASH_DE4F5C4D": "FARMER TAN"
"HASH_5265424E": "WILD WEST HAT"
"HASH_B5FFEA4F": "HOT ROD"
"HASH_DD821C4F": "Silent, but deadly."
"HASH_9C92084F": "OPTION 4"
"HASH_8484084F": "RIM SET 6"
"cm_ap3_msspcl_eyes": "MORNINGSTAR SPECIALIST EYEGLASSES"
"HASH_0FA7EC50": "PRINCESS PURPLE"
"HASH_BC787250": "SILVER"
"Lets Pretend Male C": "STEELPORT HERO"
"HASH_29C7A050": "TWIN SERPENTS"
"HASH_E6DEDE51": "EYE FOLDS HEIGHT"
"HASH_2A7EE651": "DECAL 2"
"HASH_D5BE0C51": "CHUCK"
"HASH_B43A2A51": "VIOLET RED 1"
"HASH_E6018652": "Allows the weapon to carry more ammo"
"HASH_8D7AAC52": "INTERSTELLAR YELLOW"
"HASH_26BC4652": "DEVIL MASK"
"HASH_E7A7E452": "DARK BROWN"
"HASH_F873D452": "YELLOW GREEN 8"
"HASH_C3DAB253": "Become death incarnate, or at least a guy with a sweet-looking gun."
"HASH_BB81E253": "WITCH PANTS"
"HASH_AFE83654": "JAW"
"HASH_84338854": "ATLANTIC TEAL"
"HASH_77ECA855": "Intergalactic, Third Street Style"
"HASH_0CD88855": "NAVIGATE"
"HASH_188F6455": "MIRRORS"
"HASH_06983455": "MODERN SOLDIER"
"HASH_F9CBA255": "STEAMPUNK VICTORIAN BOOTS"
"HASH_98EC1255": "SPHINX"
"HASH_488E0A56": "PURPLE PLAID"
"HASH_08989056": "VINTAGE SLACKS"
"HASH_AD0FD056": "STRATAGEM COMBO"
"HASH_499D6856": "HILLS JACKET WITH T SHIRT"
"HASH_7D79CA57": "BOTTOMLESS BATTERY"
"HASH_A4467257": "MURDERBRAWL MASK"
"HASH_17104A57": "Hell's infernal legions costume! Become one of the crimson-skinned, and bring Steelport to its knees."
"HASH_4CDFF057": "MEMBER OF THE ROW"
"HASH_FDA48C57": "SLICK EXECUTIVE"
"cf_hair_shortbob-02": "SCI-FI BOB"
"HASH_CBE0DA57": "CURVED, HIGH"
"cm_ubdy_stag": "STAG HOODIE"
"HASH_CD5C4658": "GENERIC HERO BOOTS"
"HASH_45B15258": "TWO SAINTLY DOVES"
"HASH_BCFF5658": "KO SHIKAKU SHURIKEN"
"HASH_8B48CE58": "MOLE 8"
"HASH_7D37CA59": "Retro cool."
"HASH_73443C59": "STUNNA SHADES"
"HASH_667B9059": "WOMEN'S SPORTS JERSEY"
"HASH_DF7A3659": "WHITE"
"HASH_4CA1D05A": "BLUE PLAID"
"HASH_EA8A005A": "DECAL 10"
"HASH_0E58D65A": "SWEATBAND"
"HASH_879E365A": "BRIGHT GREEN"
"HASH_D03C885A": "RIGHT PATCH"
"HASH_D376765B": "JET BLACK"
"HASH_8344705B": "HIPSTER JEANS"
"HASH_1AD36A5B": "URBAN SAFARI SHORTS"
"cm_lbdy_80sparachutepants": "PARACHUTE PANTS"
"HASH_CD51CA5C": "Joe Magarac's signature steel scooper."
"HASH_A244AA5C": "YELLOW DARK TINT"
"cm_dlc_wwolf_hat_m_mask": "WEREWOLF MASK"
"HASH_274EAE5C": "GREY 1"
"HASH_A5816C5C": "RIGHT SHOULDER"
"HASH_7C206C5D": "FLOWER POWER EARRINGS"
"HASH_BC7C2A5D": "KEEP SWIMMING"
"HASH_603B7A5E": "CHIN"
"HASH_50D6F65E": "THE COSPLAY"
"HASH_B86B445E": "{0}"
"HASH_83AD325E": "GENTLEMANS SLACKS"
"cm_foot_80shightops": "80'S SK8R"
"HASH_97216A5F": "Increases the weapon's rate of fire"
"HASH_F908425F": "You talkin' to me?"
"HASH_1FCFBE5F": "STANDARD"
"cm_ubdy_saintofsaints": "SAINT OF SAINTS TEE"
"cm_dlc_wwolf_hand_m_suit": "WEREWOLF GLOVES"
"HASH_73164C60": "ZOMBIE MASK 2"
"HASH_7F1FC660": "MODERN SOLDIER PACK"
"cm_lp35q_hat_spikes": "SPIKES"
"HASH_C35D1E60": "GENERIC HERO PANTS"
"HASH_C2AB3C60": "ALL-PURPOSE MOLLUSK"
"HASH_84AF2261": "COOL BLADE"
"HASH_FD3B0261": "THUMPGUN"
"HASH_41BE6661": "PERSONALITY"
"HASH_607C4061": "THE KING"
"HASH_BB222461": "PLAIN"
"HASH_82671061": "PETITE HOOPS"
"HASH_8DA62E61": "IMPRESSIVE LATEX BRACELET"
"HASH_C5F32A61": "RAGGED BOOTS"
"HASH_E7A39261": "LEOPARD PRINT"
"HASH_ABBDD862": "SWAT SMG"
"HASH_18927262": "TOILET"
"HASH_73243862": "DARK MAIDEN"
"HASH_67D97462": "FREE THROW SHORTS"
"cm_ubdy_deckermatt": "DECKER KING JACKET"
"HASH_4C97D662": "YELLOW ORANGE 5"
"HASH_910B2463": "CANDY CANE"
"HASH_FF049C63": "BRETON GREEN"
"HASH_2FCBBA63": "HONEST ABE HAT"
"HASH_E2C35663": "CORN ROWS_SKIN_FIT"
"HASH_BAE1A263": "VIOLET RED 9"
"HASH_74E90E63": "BROWN 8"
"HASH_3B416664": "THIRD STREET"
"HASH_95244464": "OPTION 8"
"HASH_308AA464": "ACHIEVE THE IMPOSSIBLE"
"HASH_C2EDE064": "EVIL GENIUS"
"HASH_B34D4465": "Allows the weapon to be fired more times between reloads"
"HASH_A872E065": "MONKEY BUSINESS"
"HASH_A1FAE465": "SOUTH BEACH FEDORA"
"HASH_FB8F9065": "HOT BOOTS"
"HASH_368DC866": "Best of the West"
"HASH_1CF57C66": "ROMAN"
"HASH_94BFDE66": "ULTOR ASSASSIN"
"HASH_C83AA866": "GOTH LYFE PANTS"
"HASH_AA35B466": "BLACK SWAN"
"HASH_13CB9667": "WITCH BOOTS"
"HASH_59028267": "BAD KITTY"
"HASH_2A0DF067": "WARRIOR PRINCESS UPPER"
"HASH_2EC9F067": "THE CHIEF"
"HASH_3D60F667": "ORANGE 2"
"HASH_10D59668": "Unleash a little police brutality"
"HASH_F8AA5468": "NOLAN NORTH"
"HASH_70A27A68": "SEX APPEAL"
"HASH_63AB3268": "RED DARK TINT"
"cm_hat_eagle_mask": "EAGLE MASK"
"HASH_AF1A6A69": "LEFT LEG"
"HASH_5912D86A": "Ye Olde Boomsticke"
"HASH_054B346A": "WILDLIFE GREEN"
"HASH_07A5A86A": "NORMAL TEST SUIT"
"HASH_7B08306A": "FIND A BALANCE"
"HASH_523B3A6B": "DA WUB"
"HASH_9FA53E6B": "NOSTRIL ELEVATION"
"HASH_32DD106B": "SEATS"
"HASH_1A5ED46B": "RETRO"
"HASH_BFAC926B": "SLACKER CHIC"
"HASH_AA1FBE6B": "BLOWUP DOLL"
"cm_hat_misfortune": "ROGUE HELM"
"HASH_4175406C": "Pound 'em with sound."
"HASH_E8D7C46C": "UPPER LIP MIDDLE SIZE"
