"ACT_WHORED_Z_AGRIZOOPHOBIA": "Es un gran problema."
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "¡BUEN TRABAJO! LOS POLIS HAN PERDIDO LA DELANTERA."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "DOWNTOWN"
"ACT_FRAUD_EARN_MONEY": "SOLO PUEDES GANAR DINERO EN LAS [format][color:teal]ÁREAS DE PUNTUACIÓN[/format] INDICADAS"
"HASH_6F9BAA83": "LUGARTENIENTES MUERTOS:"
"ACT_WHORED_A_AY_DIOS_MIO": "¡El espíritu del wrestling!"
"ACT_CHOP_SHOP_TITLE": "SELECCIÓN DE NIVEL DE TALLER ILEGAL"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "HAS DESTRUIDO EL VEHÍCULO"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "LLEVA A LOS [format][color:green]CONTACTOS[/format] DE VUELTA"
"ACT_WHORED_Z_VEGAN": "Detén el apocalipsis cárnico."
"ACT_WHORED_Z_MURDER_BENDER": "¿Qué paso anoche?"
"ACT_WHORED_MINIFURRIES_FAIL": "Arrasado por la adorable muerte."
"ACT_WHORED_SONICBOOMSTICK": "Esa arma te hace estallar de placer."
"ACT_WHORED_DRUNKEN_BOXING": "Cuando estás de borrachera, tienes superfuerza."
"ACT_ESCORT_TIGER_START": "EMPEZAR ESCOLTA AL TIGRE"
"ACT_FRAUD_GO_GET_HURT": "Pulsa {ATTACK_PRIMARY_IMG} o {ATTACK_SECONDARY_IMG} para lanzarte. Cuanto más doloroso sea, más dinero ganarás"
"HASH_C2FADF85": "LLEVA AL [format][color:green]CLIENTE[/format] AL CLUB DE [format][color:teal]STRIPTEASE[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Aprender a apuntar es mucho más difícil que aprender a beber."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Qué, ¿quema demasiado?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "CONSEJO PROFESIONAL: ¡si cargas el arma al máximo, liquidarás a la peña al instante!"
"ACT_HITMAN_TITLE": "SELECCIÓN DE NIVEL DE SICARIO"
"ACT_TORCH_TIME_LABEL_TEXT": "TIEMPO"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Ayuda a tus [format][color:green]colegas[/format] a llegar a [format][color:blue]su destino[/format]."
"ACT_ESCORT_PI_SPAWNED": "EVITA AL [format][color:red]INVESTIGADOR PRIVADO[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "La posición está indicada."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Empieza a trinchar."
"MISSION_FAILURE_DIED_TEXT": "ESTÁS MUERTO"
"ACT_ZOMBIE_HUD_SCORE": "PUNTUACIÓN: "
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "SE TE HA AGOTADO EL TIEMPO"
"ACT_CHOPSHOP_NONE": "NO HAY TALLERES ILEGALES LISTADOS"
"ACT_WHORED_Z_SUPER_SIZED": "Nadie necesita tanta cafeína."
"ACT_VANDAL_START_2_MSG": "CAUSA %ls DE [format][color:red]DAÑOS A LA PROPIEDAD[/format] ANTES DE QUE SE AGOTE EL TIEMPO"
"ACT_HELI_PROTECTION_START_MESSAGE": "TUS [format][color:green]COLEGAS[/format] NECESITAN TU PROTECCIÓN"
"PAUSE_ACTIVITIES_READY": "Actividad disponible."
"ACT_WHORED_Z_GIRLS_NIGHT": "Las chicas están deshinibiéndose."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "BONIFICACIÓN DE CIVILES"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "DESTRUYE LAS PARABÓLICAS"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "¡QUÉ POCO ÉTICO!"
"ACT_ZOMBIE_HUD_WAVE": "OLEADA: "
"ACT_VANDAL_SUMMARY_PROPERTY": "PROPIEDAD"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "EL [format][color:red]CLIENTE[/format] HA HUIDO"
"ACTIVITY_LEVEL_SELECTION": "SELECCIÓN DE NIVEL DE ACTIVIDAD"
"ACT_VANDAL_START_NO_DISTRICT": "Se trata de esto. Necesitamos que provoques todo el caos que puedas."
"ACT_VANDAL_GANG": "MIEMBRO DE BANDA"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "BONIFICACIÓN DE COCHE DE FABRICACIÓN NACIONAL"
"ACT_TRAFFIC_INVALID_VEHICLE": "¡EL CONDUCTOR NO REPARTIRÁ CON ESO!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "DETÉN EL [format][color:red]VEHÍCULO[/format] Y RECOGE A LOS [format][color:green]CONTACTOS[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "¡HAS DESCUBIERTO UNA TRAMPA! RECLUTA A ESAS [format][color:green]CHICAS[/format] Y SAL DE AHÍ."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "EL ATACANTE VIENE POR LA [format][color:red]IZQUIERDA[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "No hay suficientes coches. Consigue algunos más."
"ACT_WHORED_ROLLERHOS": "Cuidado con las patinadoras."
"ACT_WHORED_MINI_BRUTES": "Las cosas más grandes vienen en frascos pequeños."
"ACT_WHORED_DRINKING_GAME": "¡Cuanto más matas, menos te emborrachas!"
"ACT_RUNNING_MAN_TRAP_KILL": "MUERTE POR TRAMPA"
"ACT_GUARDIAN_ANGEL_FAIL": "¡EL PROTEGIDO HA MUERTO! VIGILA EL ICONO SOBRE SU CABEZA PARA CONOCER SU ESTADO DE SALUD"
"ACT_VANDAL_COP": "POLI"
"ACT_TRAFFIC_BUYER_DEAD": "HAN MATADO A UN COMPRADOR"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "VIDA DE CELEBRIDAD"
"ACT_FRAUD_BONUS_AIR_TIME": "BONIFICACIÓN POR TIEMPO EN EL AIRE"
"ACT_ESCORT_IRS_SPAWNED": "EVITA A [format][color:red]HACIENDA[/format]"
"ACT_WHORED_Z_HORS_DOE": "¿A quién no le gustan estos perritos calientes?"
"COMBO_BREAKER_TEXT": "ROMPECOMBOS"
"ACT_VANDALISM_COMBO_JUST_COMBO": "COMBO: "
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "¡HAS DESCUBIERTO UNA TRAMPA! MATA A LOS [format][color:red]MORNINGSTAR[/format] ANTES DE RECLUTAR A LAS [format][color:green]CHICAS[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE QUE EL ARTISTA HAGA LA VELA"
"ACT_WHORED_Z_10_CENTS": "Recoge esas cabezas."
"ACT_WHORED_D_COUNTING_CALS": "Las bebidas energéticas pueden matarte."
"ACT_WHORED_D_SANGENTS": "Lucha contra los hombres misteriosos."
"ACT_WHORED_GIMPS_FAIL": "Se supone que hay que castigarlos."
"ACT_WHORED_MINIGUNBRUTE": "¡Gorilas con minicañones!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "RECIBES UNA BONIFICACIÓN POR DESTRUIR [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONIFICACIÓN: DESTRUYE %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "¡Has ganado segundos extra!"
"ACT_WHORED_A_4TH_JULY": "Cohetes. Alcohol. Es un deporte nacional."
"ACT_WHORED_MINICANS_FAIL": "Te han reciclado."
"CHOP_STYLISH_1_RIMS": "LLANTAS ELEGANTES 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "COCHES DEPORTIVOS"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "EL [format][color:green]COCHE DE TU COLEGA[/format] ESTÁ CASI DESTRUIDO"
"ACT_WHORED_HOBO_SHOTGUN": "Deberías haberles dado más cambio..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "COMBO:"
"ACT_FRAUD_GOAL": "GANA %ls ANTES DE QUE SE AGOTE EL TIEMPO"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Los coches necesarios están indicados."
"CELL_PHONE_MUST_ADD_VEHICLES": "No hay vehículos en tu garaje para tu colega. Trae vehículos a tu casa y apárcalos en el garaje para ganártelos."
"ACT_WHORED_Z_KIRBY": "Envíalos al país de los sueños."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "¡REGRESA A LOS OBJETIVOS!"
"CHOP_RETRO_SPOILER": "SPOILER RETRO"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Unos [format][color:green]Saints[/format] están acorralados en un tiroteo. Ayúdalos a defenderse de sus [format][color:red]atacantes[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Zombis en fuga."
"MISSION_FAILURE_PARTNER_DIED": "¡HAN MATADO A TU COMPAÑERO!"
"ACT_EARNED_RESPECT_AND_MONEY": "¡Has ganado %d de respeto y %d de dinero!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "No ganas dinero por matar a %ls."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "DESTRUYE EL [format][color:red]AVIÓN[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "¡MANTÉN DISTRAÍDO AL TIGRE!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Ángel de la muerte equivocado..."
"ACT_WHORED_BRUTEBOOM": "Empújalos hasta que caigan."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "NO HAS LLEGADO A LA SALIDA ANTES DE QUE SE AGOTASE EL TIEMPO. HAS PERDIDO TU APUESTA DE %ls."
"ACT_RUNNING_MAN_COMBO_TOTAL": "TOTAL COMBOS: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "ESPERANDO AL ANFITRIÓN"
"GAME_COMBO_TEXT": "COMBO: "
"ACT_HELI_BOAT_DELIVER_TEXT": "REPARTE LA DROGA DEL BARCO ENTRE TUS COLEGAS"
"HASH_6A207813": "HAS RECUPERADO TU BARRIO"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]CINE XXX[/format]"
"ACTIVITY_COMPLETED": "COMPLETADO"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Brutal."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "COMPLETA LAS %d TAREAS"
"ACT_FRAUD_BONUS_VEHICLE": "BONIFICACIÓN DE IMPACTO DE VEHÍCULO"
"ACT_ESCORT_CAR_SWITCH_MSG": "EL COCHE PARECE UN POCO VIEJO. CONSIGUE UNO NUEVO EN EL [format][color:teal]CLUB DE STRIPTEASE[/format]"
"ACT_WHORED_D_CANGELS": "Apuntan al corazón."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "PROTEGE A TUS [format][color:green]COLEGAS[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "TOTAL DE COMBOS"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Récord de distancia falsa: %.2f pies"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "BONIFICACIÓN DE 4X4"
"ACT_VANDAL_BONUS_TEAM": "BONIFICACIÓN DE EQUIPO"
"ACT_TRAFFIC_DEAL_SUCCESS": "TRATO HECHO. VE A LA [format][color:teal]POSICIÓN[/format] SIGUIENTE."
"ACT_TORCH_START_TEXT3": "COBRA TU TIEMPO DE BONIFICACIÓN PASANDO POR LOS PUNTOS DE CONTROL"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "DEMASIADOS CONTACTOS HAN MUERTO, RECLÚTALAS {RECRUIT_DISMISS_IMG} Y HUYE RÁPIDAMENTE DEL LUGAR"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "Los %s tienen un cargamento de armas entrando por la autopista. Destruye los [format][color:red]camiones[/format] antes de que lleguen a su destino."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "En el menú Pausa puedes consultar una lista de los coches necesarios."
"ACT_WHORED_BIG_FAIL": "Quizá no lo bastante fuerte."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "¡Salida desbloqueada!\n¡Sigue jugando para conseguir más pasta o ve directamente a la salida!"
"ACT_ESCORT_TIGER_ATTACK": "EL TIGRE ESTÁ GOLPEANDO EL VOLANTE"
"ACTIVITY_NAME_TANK_MAYHEM": "CAOS DE TANQUE"
"ACT_TANK_MAYHEM_COMBO_GSI": "COMBOS"
"CHOPSHOP_VEHICLES": "VEHÍCULOS"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "PASA TODOS LOS [format][color:teal]PUNTOS DE CONTROL[/format] ANTES DE QUE SE AGOTE EL TIEMPO"
"ACT_ESCORT_CALM_TIGER": "CALMA AL TIGRE"
"ACT_TANK_MAYHEM_FAIL": "USA LOS COMBOS PARA CONSEGUIR MÁS PUNTOS Y LAS ESTACIONES DE REPARACIONES PARA SEGUIR CON VIDA"
"STRONGHOLD_SUCCESS_SUB_TEXT": "FORTALEZA COMPLETADA"
"ACT_ZOMBIE_SURVIVOR_DEAD": "UN SUPERVIVIENTE HA MUERTO"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "BONIFICACIÓN DE MOTOCICLETA"
"ACT_FRAUD_TOTAL_LAST_HIT": "TOTAL ÚLTIMO IMPACTO"
"ACT_ESCORT_FAST_MSG": "EL [format][color:green]CLIENTE[/format] QUIERE IR %d SEGUNDOS A 55 MPH"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Si te muerden, ya no hay vuelta atrás."
"ACT_WHORED_GRENADIERS_FAIL": "No trates de atraparlas."
"ACT_WHORED_SWAG_BAG": "En las convenciones de peluches se pueden hacer interesantes hallazgos."
"MISSION_FAILURE_CANCEL_TEXT": "SE HA CANCELADO LA MISIÓN"
"ACT_HITMAN_NAME": "SICARIO"
"ACT_ESCORT_TIGER_NAME": "ESCOLTA AL TIGRE"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "CALIENTA LAS COSAS MOVIENDO {ANALOG_RS_IMG} HASTA EL PUNTO CALIENTE"
"ACT_ZOMBIE_TITLE": "SELECCIÓN DE NIVEL DE ZOMBI"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "¡ARRESTARÁN AL CAMELLO DENTRO DE 10 SEGUNDOS!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "EL HELICÓPTERO ESTÁ LLENO; LLEVA A LOS PASAJEROS A UN [format][color:blue]LUGAR SEGURO[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "El atacante viene por [format][color:red]debajo[/format] de nosotros."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "EVITA AL [format][color:red]CLIENTE AIRADO[/format]"
"ACT_WHORED_D_31DAYS": "Sobrevive al apocalipsis zombi."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Tan grandes, tan cabreados, tan muertos..."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "PUNTUACIÓN MÁS ALTA: "
"ACT_HELI_NEWS_VAN_KILL_TEXT": "DESTRUYE LAS FURGONETAS DE LA PRENSA"
"ACT_TRAFFICKING_TITLE": "SELECCIÓN DE NIVEL DE TRÁFICO DE DROGAS"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "DETÉN EL [format][color:red]VEHÍCULO[/format] Y RECOGE AL [format][color:green]CONTACTO[/format]"
"ACT_PIMPING_CONTACT_OBJECTIVE": "RESCATA A %d CONTACTOS DE KINZIE Y TRÁELOS DE VUELTA"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "CONDUCE RÁPIDO PARA TENER CONTENTO AL TIGRE Y AUMENTAR TU VALOR."
"ACT_WHORED_A_MEAN_GIRLS": "Siempre hay una abeja reina."
"ACT_WHORED_D_PORKCHOP": "¡SAL CAGANDO LECHES DE AQUÍ!"
"ACT_VANDAL_BONUS_COMBO_MULT": "BONIFICACIÓN DE COMBO"
"ACT_FRAUD_START": "INICIAR FRAUDE AL SEGURO"
"ACT_TRAFFIC_BUYER_FLEE": "EL [format][color:red]COMPRADOR[/format] SE HA LARGADO SIN PAGAR. MÁTALO."
"ACT_FRAUD_BONUS_WITNESS": "BONIFICACIÓN DE TESTIGO PEATÓN"
"ACT_ESCORT_ESCORTING_MSG": "DATE UNA VUELTA Y HAZ QUE EL [format][color:green]CLIENTE[/format] PASE UN BUEN RATO"
"ACT_WHORED_D_YKANO": "3. 2. 1. Al ataque..."
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "¡HAN DETENIDO A TU COMPAÑERO!"
"GAMEPLAY_PASSED_OUT": "Luces fuera, tío."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "¡Vuelve al distrito %ls!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "TUS [format][color:green]COLEGAS[/format] ESTÁN CERRANDO UNOS TRATOS; PROTÉGELOS DE LOS ATACANTES"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "El coche de tus [format][color:green]colegas[/format] se ha quedado sin gasolina. Reclútalos y llévalos a [format][color:teal]casa.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "BONIFICACIÓN POR SURFEO DE VEHÍCULOS"
"ACT_ESCORT_STOP_MSG": "DETENTE DURANTE %d SEGUNDOS"
"ACT_WHORED_A_END": "Los juegos son arte."
"ACT_WHORED_DILDO": "No hay que ser tía para ser pro."
"HORDE_LEVEL_ANGELS": "CASINO ANGEL"
"ACTIVITY_NAME_MAYHEM": "CAOS"
"CTS_MESSAGE_GO_FRONT_DOOR": "VE A LA PUERTA PRINCIPAL"
"ACT_ESCORT_START": "INICIAR ESCOLTA"
"CHOP_HOT_ROD_HOOD": "CAPÓ DE CLÁSICO"
"ACT_TRAFFIC_OBJECTIVE_1": "PROTEGE AL [format][color:green]CAMELLO[/format] MIENTRAS HACE SUS ENTREGAS"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "TUS COLEGAS HAN MUERTO."
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "LA ARTISTA ESTÁ AGOTADA; BUSCA OTRA CHICA Y UN COCHE NUEVO EN EL [format][color:teal]CLUB DE STRIPTEASE[/format]"
"ACT_WHORED_Z_RITA": "¡HAZ QUE MI MONSTRUO CREZCA!"
"ACT_WHORED_D_LILLIPUTIANS": "Los grandes problemas requieren grandes soluciones."
"ACT_RUNNING_MAN_START": "INICIAR PROFESSOR GENKI'S SERC"
"ACTIVITY_NAME_FRAUD": "FRAUDE"
"ACT_ZOMBIE_CANT_REVIVE": "¡Necesitas al menos un alimento para revivir a alguien!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "OBJETIVO FAVORITO"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} RECLUTA A [format][color:green]CHICAS[/format]"
"ACT_FRAUD_BONUS_DONE": "AVANZA HACIA OTRA [format][color:teal]ÁREA DE BONIFICACIÓN[/format]"
"HASH_96FF1F21": "EL [format][color:green]CLIENTE[/format] TIENE HAMBRE; PARA Y CONSIGUE [format][color:teal]COMIDA RÁPIDA[/format]"
"ACT_WHORED_D_BE_GUILED": "¿Dónde está Charlie cuando se lo necesita?"
"ACT_WHORED_BRUTES": "¡Manda a los gorilas!"
"ACT_WHORED_AYDIOSMIO": "Dos hombres, dos lanzagranadas y un ejército de Luchadores en miniatura."
"ACT_WHORED_STARPOWER_FAIL": "Demasiado poder para manejarlo."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "ÁNGEL DE LA GUARDA"
"ACT_TORCH_RACE_TARGETS": "MATA A LOS [format][color:red]OBJETIVOS MARCADOS[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "RECLUTA A LAS [format][color:green]CHICAS[/format] Y LLÉVALAS CON [format][color:teal]ZIMOS[/format]"
"HASH_F2632FA2": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]SEX SHOP[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "Todas las bandas están aquí."
"ACT_WHORED_D_ITSATRAP": "Ackbar se pirra por las putas."
"ACT_WHORED_COMM_SERVICE_FAIL": "Has dejado ganar a la bebida."
"ACT_WHORED_GAT_ATTACK_FAIL": "Cuanto más grande eres, de más alto caes."
"ACT_WHORED_MINIZOMBIES_FAIL": "Son diminutos y están muertos: con esos basta una sola mano."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "ESPERANDO A QUE EL ANFITRION APUESTE EN LA SIGUIENTE RONDA"
"ACT_TANK_MAYHEM_START": "INICIAR CAOS DE TANQUE"
"GAMEPLAY_BUSTED": "¡TE HAN DETENIDO!"
"ACT_VANDAL_SUMMARY_TOTAL": "TOTAL"
"ACT_FRAUD_OBJECTIVE": "Ponte en peligro y acumula %d $ en heridas antes de que se acabe el tiempo."
"ACT_WHORED_D_WEENIE_ROAST": "Enciende la fogata."
"ACT_WHORED_STRIPPERS": "¡Strippers!"
"ACT_WHORED_ROUND1_FAIL": "¿Cómo? ¿En la primera oleada?"
"CONTROL_SELECT_LEVEL": "SELECCIONAR NIVEL"
"ACT_TRAFFIC_DRIVER_LOST": "HAN ABANDONADO AL CAMELLO."
"ACT_ESCORT_PLEASURE": "PLACER"
"ACT_ESCORT_KILL_MSG": "MATA AL [format][color:red]OBJETIVO[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "La palabra de seguridad es \"ay\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "¿Necesitas regenerar salud? ¡En mis tiempos solo teníamos botiquines!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "VEHÍCULO ENTREGADO"
"CHOP_LUXERY_BODY_KIT": "KIT DE CARROCERÍA DE LUJO"
"ACT_VANDAL_CAR_LUXURY_MSG": "COCHES DE LUJO"
"ACT_ESCORT_FAIL_LEFT_CAR": "HAS ABANDONADO EL COCHE"
"ACT_WHORED_A_GENKI_GAMES": "Super Ethical Reality Explosions Funtime Go!"
"ACT_WHORED_BIG": "¡Eres más grande, más duro y más fuerte!"
"HORDE_CHARACTER_SUPER": "SÚPER"
"ACT_TRAFFIC_OBJECTIVE_2": "EL [format][color:green]CAMELLO[/format] DEBE COMPLETAR %d NEGOCIOS CON ÉXITO"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "¡La tienen! Se ha ido."
"ACT_ESCORT_TRIP_MOTEL_MSG": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]MOTEL[/format] PARA QUE SE DIVIERTA"
"CHOP_MUSCLE_HOOD": "CAPÓ DE MUSCLE CAR"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "HAS MATADO A UNO DE LOS CONTACTOS"
"GARAGE_FULL": "TU GARAJE ESTÁ LLENO"
"ACT_WHORED_Z_HOW_ROMANTIC": "Los cohetes son el complemento preferido por las damas."
"ACT_WHORED_A_EYE_BEHOLDER": "No hables sobre su peso."
"YOU_VE_BEEN_CRITICALLY_HIT": "¡HAS RECIBIDO UN IMPACTO CRÍTICO!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "CANCELADO LA FORTALEZA"
"ACT_FRAUD_NAME": "FRAUDE AL SEGURO"
"ACT_FRAUD_GO_SCORING_AREA": "VE AL [format][color:teal]DISTRITO %ls[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "El puñetazo es un arte que conviene dominar."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ZOMBIS RESTANTES: "
"ACT_TRAFFIC_CHASE_HELICOPTER": "¡HAS RECOGIDO UN [format][color:red]HELICÓPTERO DE LA PRENSA[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "EL AYUDANTE MURIÓ"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Tu cliente no quería ser un escudo humano."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "NO DEJES FILMAR IMÁGENES A ESAS FURGONETAS DE LA PRENSA"
"HASH_F32929A9": "RETIRADA CONSEGUIDA"
"ACT_WHORED_Z_ONE_SIDED": "Esto no es muy justo que digamos."
"ACT_WHORED_ZOMBIESATV": "Aplástalos."
"ACT_WHORED_ZOMBIEBRUTES": "¡Esos son zombis de verdad!"
"ACT_WHORED_NINJAS": "¿Has oído eso?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "Y lo ha conseguido. Oh, ya lo creo que sí..."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "LLANTAS PARA SUSPENSIÓN BAJA"
"ACT_VANDAL_SUMMARY_CARS": "COCHES"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "¡Has ganado [format][color:teal]%2.1f[/format] segundos!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "SE HAN LLEVADO A LOS [format][color:green]CONTACTOS[/format], VE A RESCATARLOS"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "RÉCORD DE COCHES LOCOS FALSO"
