"ACT_WHORED_Z_AGRIZOOPHOBIA": "Je to velkej problém."
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "DOBRÁ PRÁCE! POLDOVÉ ZTRATILI STOPU."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "CENTRUM"
"ACT_FRAUD_EARN_MONEY": "PENÍZE MŮŽEŠ ZÍSKAT POUZE VE VYZNAČENÝCH [format][color:teal]BODOVACÍCH ÚZEMÍCH[/format]"
"HASH_6F9BAA83": "ZABITÍ KAPITÁNI:"
"ACT_WHORED_A_AY_DIOS_MIO": "To je duch lucha libre!"
"ACT_CHOP_SHOP_TITLE": "VÝBĚR ÚROVNĚ AUTODÍLNY"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "ZNIČIL JSI VŮZ"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "PŘIVEĎ [format][color:green]INFORMÁTORY[/format] ZPĚT."
"ACT_WHORED_Z_VEGAN": "Zastav masokalypsu."
"ACT_WHORED_Z_MURDER_BENDER": "Co se STALO minulou noc."
"ACT_WHORED_MINIFURRIES_FAIL": "Přemohla tě roztomilá smrt."
"ACT_WHORED_SONICBOOMSTICK": "Tahle zbraň má pořádně praskací účinky."
"ACT_WHORED_DRUNKEN_BOXING": "Když budeš opilý, budeš mít supersílu."
"ACT_ESCORT_TIGER_START": "SPUSTIT ESKORTU TYGRA"
"ACT_FRAUD_GO_GET_HURT": "Stisknutím {ATTACK_PRIMARY_IMG} nebo {ATTACK_SECONDARY_IMG} se zkácíš. Čím bolestivější to bude, tím víc peněz získáš"
"HASH_C2FADF85": "ZAVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Je těžší naučit se mířit, než se naučit pít."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Bylo to až moc horký, co?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "Tip: pokud zbraň plně nabiješ, nepřítele to rozerve na kusy!"
"ACT_HITMAN_TITLE": "VÝBĚR ÚROVNĚ ZABIJÁKA"
"ACT_TORCH_TIME_LABEL_TEXT": "ČAS"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Pomoz svým [format][color:green]kumpánům[/format] dostat se na [format][color:blue]místo určení[/format]."
"ACT_ESCORT_PI_SPAWNED": "SETŘES [format][color:red]SOUKROMÉHO DETEKTIVA[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "Poloha byla označena."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Začni to porcovat."
"MISSION_FAILURE_DIED_TEXT": "DOSTALI TĚ"
"ACT_ZOMBIE_HUD_SCORE": "SKÓRE:"
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "DOŠEL TI ČAS"
"ACT_CHOPSHOP_NONE": "SEZNAM DÍLEN JE PRÁZDNÝ"
"ACT_WHORED_Z_SUPER_SIZED": "Tolik kofeinu nikdo nepotřebuje."
"ACT_VANDAL_START_2_MSG": "UDĚLEJ [format][color:red]ŠKODU NA MAJETKU[/format] ZA %ls, NEŽ VYPRŠÍ ČAS"
"ACT_HELI_PROTECTION_START_MESSAGE": "TVOJI [format][color:green]PARŤÁCI[/format] POTŘEBUJÍ TVOU OCHRANU"
"PAUSE_ACTIVITIES_READY": "Aktivita je dostupná."
"ACT_WHORED_Z_GIRLS_NIGHT": "Slečinky se odvázaly."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "BONUS ZA CIVILISTU"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "ZNIČ SATELITNÍ ANTÉNY"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "NEETICKÝ!"
"ACT_ZOMBIE_HUD_WAVE": "VLNA:"
"ACT_VANDAL_SUMMARY_PROPERTY": "MAJETEK"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "[format][color:red]ZÁKAZNÍK[/format] UTEKL"
"ACTIVITY_LEVEL_SELECTION": "VÝBĚR ÚROVNĚ AKTIVITY"
"ACT_VANDAL_START_NO_DISTRICT": "To je ono, přesně tohle potřebujeme. Musíš vyvolat co největší chaos."
"ACT_VANDAL_GANG": "GANGSTER"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "BONUS ZA RODINNÁ AUTA"
"ACT_TRAFFIC_INVALID_VEHICLE": "V TOMHLE DEALER ROZVÁŽET NEBUDE!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]INFORMÁTORY[/format]."
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "ODHALIL JSI PAST! NAVERBUJ [format][color:green]ŠLAPKY[/format] A VYPADNI."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "ÚTOČNÍK SE BLÍŽÍ [format][color:red]ZLEVA[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Není dost aut. Jdi sehnat další."
"ACT_WHORED_ROLLERHOS": "Pozor na pojízdný štětky."
"ACT_WHORED_MINI_BRUTES": "Velký věci v malých baleních."
"ACT_WHORED_DRINKING_GAME": "Čím víc jich zabiješ, tím rychleji vystřízlivíš!"
"ACT_RUNNING_MAN_TRAP_KILL": "SMRTONOSTNÁ PAST"
"ACT_GUARDIAN_ANGEL_FAIL": "TVŮJ CHRÁNĚNEC ZEMŘEL! JEHO ZDRAVÍ MŮŽEŠ SLEDOVAT POMOCÍ IKONY NAD JEHO HLAVOU"
"ACT_VANDAL_COP": "POLDA"
"ACT_TRAFFIC_BUYER_DEAD": "ZÁKAZNÍK BYL ZABIT"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "ŽIVOT SLAVNÝCH"
"ACT_FRAUD_BONUS_AIR_TIME": "BONUS ZA LET VZDUCHEM"
"ACT_ESCORT_IRS_SPAWNED": "VYHNI SE [format][color:red]BERŇÁKU[/format]"
"ACT_WHORED_Z_HORS_DOE": "Kdo by nemiloval tyhle malý párečky?"
"COMBO_BREAKER_TEXT": "KOMBO PŘERUŠENO"
"ACT_VANDALISM_COMBO_JUST_COMBO": "KOMBO: "
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "ODHALIL JSI PAST! ZABIJ VŠECHNY [format][color:red]MORNINGSTARY[/format] NEŽ NAVERBUJEŠ [format][color:green]ŠLAPKY[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]KLIENT[/format] CHCE, ABY BAVIČ UDĚLAL NĚCO FAKT DRSNÝHO"
"ACT_WHORED_Z_10_CENTS": "Posbírej ty plechovky."
"ACT_WHORED_D_COUNTING_CALS": "Energy drinky tě můžou zabít."
"ACT_WHORED_D_SANGENTS": "Bojuj s tajemnými muži."
"ACT_WHORED_GIMPS_FAIL": "Měl jsi je pořádně potrestat!"
"ACT_WHORED_MINIGUNBRUTE": "Monstra s rotačákama!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "ZA ZNIČENÍ CÍLE ([format][color:red]%ls[/format]) ZÍSKÁŠ BONUS."
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONUS: ZNIČ %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Získal jsi bonusové sekundy!"
"ACT_WHORED_A_4TH_JULY": "Rakety. Chlast. Je to národní kratochvíle."
"ACT_WHORED_MINICANS_FAIL": "Zrecyklovali tě."
"CHOP_STYLISH_1_RIMS": "STYLOVÉ RÁFKY 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "SPORTOVNÍ AUTA"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]AUTO TVÉHO PARŤÁKA[/format] JE SKORO ZNIČENÉ"
"ACT_WHORED_HOBO_SHOTGUN": "Měl jsi jim dát ty drobný, co chtěli..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "KOMBO"
"ACT_FRAUD_GOAL": "NEŽ VYPRŠÍ ČAS, MUSÍŠ VYDĚLAT %ls"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Potřebná auta jsou označená."
"CELL_PHONE_MUST_ADD_VEHICLES": "V garáži nemáš žádné vozidlo, které by ti parťák mohl přivézt. Zaparkuj do garáže u bejváku pár vozidel, aby nebyla prázdná."
"ACT_WHORED_Z_KIRBY": "Pošli je do říše snů."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "VRAŤ SE ZPÁTKY K CÍLŮM!"
"CHOP_RETRO_SPOILER": "RETRO SPOJLER"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Několik [format][color:green]svatých[/format] uvízlo v přestřelce. Pomoz jim odrazit [format][color:red]útočníky[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Zombíci na útěku."
"MISSION_FAILURE_PARTNER_DIED": "TVŮJ PARŤÁK BYL ZABIT"
"ACT_EARNED_RESPECT_AND_MONEY": "Získáno %d respektu a %d hotovosti!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "Pokud zahyne %ls, žádný bonus nedostaneš."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "ZNIČ [format][color:red]LETADLO[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "UDRŽ POZORNOST TYGRA!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Špatný anděl smrti..."
"ACT_WHORED_BRUTEBOOM": "Zatlač je přes okraj."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "NEPODAŘILO SE TI ODSUD UNIKNOUT VČAS. PŘICHÁZÍŠ O SVOU SÁZKU - %ls."
"ACT_RUNNING_MAN_COMBO_TOTAL": "KOMBO CELKEM: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "ČEKÁ SE NA HOSTITELE"
"GAME_COMBO_TEXT": "KOMBO:"
"ACT_HELI_BOAT_DELIVER_TEXT": "DOPRAV DROGY Z LODI SVÝM KUMPÁNŮM"
"HASH_6A207813": "ZÍSKAL JSI ČTVRŤ ZPĚT"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "ODVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]PORNOKINA[/format]"
"ACTIVITY_COMPLETED": "DOKONČENO"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Total brutal."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "SPLŇ VŠECHNY ÚKOLY (%d)"
"ACT_FRAUD_BONUS_VEHICLE": "BONUS ZA ZÁSAH VOZU"
"ACT_ESCORT_CAR_SWITCH_MSG": "TOHLE AUTO VYPADÁ TROCHU STAŘE, SEŽEŇ NOVÉ U [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]"
"ACT_WHORED_D_CANGELS": "Míří ti na srdce."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "CHRAŇ SVÉ [format][color:green]PARŤÁKY[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "KOMBO CELKEM"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Rekordní vzdálenost při podvodu: %.2f stop"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "BONUS ZA SUV"
"ACT_VANDAL_BONUS_TEAM": "TÝMOVÝ BONUS"
"ACT_TRAFFIC_DEAL_SUCCESS": "KŠEFT DOKONČEN. JEĎ NA DALŠÍ [format][color:teal]MÍSTO[/format]"
"ACT_TORCH_START_TEXT3": "PROJETÍM KONTROLNÍHO BODU PROMĚŇ BONUSOVÝ ČAS V PENÍZE."
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "ZEMŘELO PŘÍLIŠ MNOHO KONTAKTŮ, NAVERBUJ DALŠÍ {RECRUIT_DISMISS_IMG} A PAK RYCHLE UPRCHNI"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": " %s má zásilku zbraní přijíždějící po dálnici. Znič [format][color:red]náklaďáky[/format], než dojedou na místo určení."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "Seznam potřebných aut najdeš v nabídce pozastavené hry."
"ACT_WHORED_BIG_FAIL": "Ale možná ne dost silnej."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Východ se odemkl.\nMůžeš hrát dál a vydělat další prachy, nebo utíkat k východu!"
"ACT_ESCORT_TIGER_ATTACK": "TYGR ZA VOLANTEM"
"ACTIVITY_NAME_TANK_MAYHEM": "TANKOVÝ MASAKR"
"ACT_TANK_MAYHEM_COMBO_GSI": "KOMBO"
"CHOPSHOP_VEHICLES": "VOZIDLA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "PROJEĎ VŠEMI [format][color:teal]KONTROLNÍMI BODY[/format] DŘÍV, NEŽ VYPRŠÍ ČAS."
"ACT_ESCORT_CALM_TIGER": "UKLIDNI TYGRA"
"ACT_TANK_MAYHEM_FAIL": "POMOCÍ KOMB ZÍSKÁVEJ VYŠŠÍ SKÓRE, POMOCÍ OPRAVÁŘSKÝCH STANIC SE UDRŽ PŘI ŽIVOTĚ"
"STRONGHOLD_SUCCESS_SUB_TEXT": "PEVNOST DOKONČENA"
"ACT_ZOMBIE_SURVIVOR_DEAD": "PŘEŽIVŠÍ ZEMŘEL"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "BONUS ZA MOTORKY"
"ACT_FRAUD_TOTAL_LAST_HIT": "POSLEDNÍ ZÁSAH CELKEM:"
"ACT_ESCORT_FAST_MSG": "[format][color:green]KLIENT[/format] SI PŘEJE, ABYS JEL %d SEKUND RYCHLOSTÍ 55 M/H."
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Když ochutnáš, není cesty zpět."
"ACT_WHORED_GRENADIERS_FAIL": "Nesnaž se je chytnout."
"ACT_WHORED_SWAG_BAG": "Na srazech milovníků chlupáčů je vždycky skvělá zábava."
"MISSION_FAILURE_CANCEL_TEXT": "MISE BYLA ZRUŠENA"
"ACT_HITMAN_NAME": "ZABIJÁK"
"ACT_ESCORT_TIGER_NAME": "TYGŘÍ ESKORTA"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "ROZEHŘEJ SE PŘESUNUTÍM {ANALOG_RS_IMG} NA AKTIVNÍ BOD"
"ACT_ZOMBIE_TITLE": "VÝBĚR ÚROVNĚ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "DEALER BUDE ZATČEN ZA 10 SEKUND!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "HELIKOPTÉRA JE PLNÁ, ODVEZ CESTUJÍCÍ NA [format][color:blue]BEZPEČNÉ MÍSTO[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Útočník se blíží [format][color:red]zdola[/format]."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "VYHNI SE [format][color:red]TEPLÉMU KLIENTOVI[/format]"
"ACT_WHORED_D_31DAYS": "Přežij zombáckou apokalypsu."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Tak velký, tak zlý, tak nemrtvý."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "NEJVYŠŠÍ SKÓRE:"
"ACT_HELI_NEWS_VAN_KILL_TEXT": "ZNIČ ZPRAVODAJSKÉ VOZY"
"ACT_TRAFFICKING_TITLE": "VÝBĚR ÚROVNĚ KŠEFTOVÁNÍ"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]INFORMÁTORA[/format]."
"ACT_PIMPING_CONTACT_OBJECTIVE": "ZACHRAŇ %d INFORMÁTORŮ KINZIE A PŘIVEZ JE ZPÁTKY"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "JEĎ RYCHLE, AŤ SI ZVÝŠÍŠ ODVAHU A TYGR JE SPOKOJENÝ."
"ACT_WHORED_A_MEAN_GIRLS": "V úlu je vždy jedna královna."
"ACT_WHORED_D_PORKCHOP": "VYPADNI KURVA ODSUD!"
"ACT_VANDAL_BONUS_COMBO_MULT": "KOMBO BONUS"
"ACT_FRAUD_START": "SPUSTIT POJISTNÝ PODVOD"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]ZÁKAZNÍK[/format] ZMIZEL BEZ PLACENÍ. ZABIJ HO."
"ACT_FRAUD_BONUS_WITNESS": "BONUS ZA SVĚDKA"
"ACT_ESCORT_ESCORTING_MSG": "PROJEĎ OKOLÍ A NECH [format][color:green]KLIENTA[/format], AŤ SE TROCHU POBAVÍ."
"ACT_WHORED_D_YKANO": "3. 2. 1. Jdeme na to!"
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "TVÉHO PARŤÁKA ZABÁSLI"
"GAMEPLAY_PASSED_OUT": "Konečná, kámo."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Jsi mimo oblast %ls. Vrať se zpět!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "TVOJI [format][color:green]PARŤÁCI[/format] MÍŘÍ ZA NĚJAKÝMI OBCHODY, CHRAŇ JE PŘED ÚTOČNÍKY"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "Tvým [format][color:green]kumpánům[/format] může dojít palivo, naverbuj je a pak s nimi odleť [format][color:teal]domů.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "BONUS ZA SURFOVÁNÍ"
"ACT_ESCORT_STOP_MSG": "NA %d S ZASTAV"
"ACT_WHORED_A_END": "Hry jsou umění."
"ACT_WHORED_DILDO": "Nemusíš být štětka, stačí ti profesionalita."
"HORDE_LEVEL_ANGELS": "ANGELOVO KASINO"
"ACTIVITY_NAME_MAYHEM": "VANDALSTVÍ"
"CTS_MESSAGE_GO_FRONT_DOOR": "DOJDI K PŘEDNÍM DVEŘÍM"
"ACT_ESCORT_START": "SPUSTIT ESKORTU"
"CHOP_HOT_ROD_HOOD": "KAPOTA ZE SPORŤÁKU"
"ACT_TRAFFIC_OBJECTIVE_1": "CHRAŇ [format][color:green]DEALERA[/format], ZATÍMCO BUDE VYŘIZOVAT OBCHODY"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "TVOJI PARŤÁCI ZEMŘELI"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "BAVIČ JE VYČERPANÝ, SEŽEŇ NOVOU HOLKU A NOVÉ AUTO U [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]"
"ACT_WHORED_Z_RITA": "AŤ MI OBR ROSTE!"
"ACT_WHORED_D_LILLIPUTIANS": "Malé problémy potřebují velká řešení."
"ACT_RUNNING_MAN_START": "ZAHÁJIT S.E.R.K. PROFESORA GENKIHO"
"ACTIVITY_NAME_FRAUD": "PODFUK"
"ACT_ZOMBIE_CANT_REVIVE": "Na oživení potřebuješ alespoň 1 jedlý předmět!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "OBLÍBENÝ CÍL"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "STISKNUTÍM {RECRUIT_DISMISS_IMG} NAVERBUJ [format][color:green]PROSTITUTKY[/format]"
"ACT_FRAUD_BONUS_DONE": "PŘESUŇ SE DO DALŠÍ [format][color:teal]BONUSOVÉ OBLASTI[/format]"
"HASH_96FF1F21": "[format][color:green]KLIENT[/format] MÁ HLAD. ZASTAV U NĚJAKÉHO [format][color:teal]RYCHLÉHO OBČERSTVENÍ[/format]"
"ACT_WHORED_D_BE_GUILED": "Kde je Charlie, když ho potřebuješ?"
"ACT_WHORED_BRUTES": "Zavolejte monstra!"
"ACT_WHORED_AYDIOSMIO": "Dva chlapi, dva granátomety a armáda miniaturních luchadorů."
"ACT_WHORED_STARPOWER_FAIL": "Příliš mnoho síly, příliš málo kontroly."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "STRÁŽNÝ ANDĚL"
"ACT_TORCH_RACE_TARGETS": "ZABIJ [format][color:red]OZNAČENÉ CÍLE[/format]."
"ACT_PIMPING_DRIVE_TO_LOCATION": "NAVERBUJ [format][color:green]ŠLAPKY[/format] A ODVEZ JE K [format][color:teal]ZIMOSOVI[/format]"
"HASH_F2632FA2": "ODVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]SEX SHOPU[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "Gangy jsou komplet."
"ACT_WHORED_D_ITSATRAP": "Ackbar miluje děvky."
"ACT_WHORED_COMM_SERVICE_FAIL": "Nechal jsi zvítězit drink."
"ACT_WHORED_GAT_ATTACK_FAIL": "Čím větší seš, tím hůř spadneš."
"ACT_WHORED_MINIZOMBIES_FAIL": "Jsou malí a mrtví, to už za tebe někdo odvedl půlku práce."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "ČEKÁ SE, AŽ HOSTITEL VYPÍŠE SÁZKU NA DALŠÍ KOLO"
"ACT_TANK_MAYHEM_START": "ZAHÁJIT TANKOVÝ MASAKR"
"GAMEPLAY_BUSTED": "ZABÁSLI TĚ!"
"ACT_VANDAL_SUMMARY_TOTAL": "CELKEM"
"ACT_FRAUD_OBJECTIVE": "Postav se nebezpečí do cesty a získej %d dolarů za zranění, než vyprší čas."
"ACT_WHORED_D_WEENIE_ROAST": "Založ táborák."
"ACT_WHORED_STRIPPERS": "Pozor, striptérky na obzoru!"
"ACT_WHORED_ROUND1_FAIL": "Cože? Při první vlně?"
"CONTROL_SELECT_LEVEL": "VYBER ÚROVEŇ"
"ACT_TRAFFIC_DRIVER_LOST": "OPUSTIL JSI DEALERA."
"ACT_ESCORT_PLEASURE": "POTĚŠENÍ"
"ACT_ESCORT_KILL_MSG": "ZABIJ [format][color:red]CÍL[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "Bezpečné heslo zní \"au\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Tobě se zachtělo regenerace zdraví? Za mých mladých časů jsme mívali jen lékárničky!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "DORUČENÁ VOZIDLA"
"CHOP_LUXERY_BODY_KIT": "LUXUSNÍ KAROSÉRIE"
"ACT_VANDAL_CAR_LUXURY_MSG": "LUXUSNÍ AUTA"
"ACT_ESCORT_FAIL_LEFT_CAR": "PŘIŠELS O AUTO"
"ACT_WHORED_A_GENKI_GAMES": "Super etická klimaktická exploze!"
"ACT_WHORED_BIG": "Seš větší, silnější a odolnější!"
"HORDE_CHARACTER_SUPER": "SUPER"
"ACT_TRAFFIC_OBJECTIVE_2": "[format][color:green]DEALER[/format] MUSÍ UZAVŘÍT NÁSLEDUJÍCÍ POČET OBCHODŮ: %d"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "Dostali ji! Je pryč."
"ACT_ESCORT_TRIP_MOTEL_MSG": "ODVEZ [format][color:green]KLIENTA[/format] ZA ZÁBAVOU DO [format][color:teal]HODINOVÉHO MOTELU[/format] "
"CHOP_MUSCLE_HOOD": "MUSCLE KAPOTA"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "ZABIL JSI JEDNOHO INFORMÁTORA"
"GARAGE_FULL": "TVÁ GARÁŽ JE PLNÁ"
"ACT_WHORED_Z_HOW_ROMANTIC": "Rakety jsou nejlepší přítel děvčete."
"ACT_WHORED_A_EYE_BEHOLDER": "Neptej se jí, kolik váží."
"YOU_VE_BEEN_CRITICALLY_HIT": "UTRPĚL JSI KRITICKÝ ZÁSAH!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "PEVNOST ZRUŠENA"
"ACT_FRAUD_NAME": "POJISTNÝ PODVOD"
"ACT_FRAUD_GO_SCORING_AREA": "DALŠÍ MÍSTO PŘESUNU JE [format][color:teal]%ls[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Boxování je umění, které zatím neznáš."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ZBÝVAJÍCÍ ZOMBIE:"
"ACT_TRAFFIC_CHASE_HELICOPTER": "NASTOUPIL JSI DO [format][color:red]ZPRAVODAJSKÉ HELIKOPTÉRY[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "POMOCNÍK ZEMŘEL"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Dělat lidský štít se tvému klientovi moc nezamlouvalo."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "NEDOVOL ZPRAVODAJSKÝM VOZŮM ZÍSKAT ZÁBĚRY"
"HASH_F32929A9": "PŘEVRAT SE ZDAŘIL"
"ACT_WHORED_Z_ONE_SIDED": "Tohle vážně není fér."
"ACT_WHORED_ZOMBIESATV": "Namel je na kusy."
"ACT_WHORED_ZOMBIEBRUTES": "A teď přicházejí velký zombice!"
"ACT_WHORED_NINJAS": "Slyšels to?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "A užila si. Sakra, ta si užila."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "NÍZKÉ RÁFKY"
"ACT_VANDAL_SUMMARY_CARS": "AUTA"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "Získal jsi [format][color:teal]%2.1f[/format] s!"
