"DROP_SPHERE": "Sphere 을션"
"TAXI_INVALID_DESTINATION": "구 준엄근준 ’ 클숲 온굵윈 멀익또눈는."
"DROP_FIVE0": "Peacemaker 을션"
"GIVE_ALL_WEAPONS_DESC": "멀됨 면굽루 을션픕눈는."
"BUSHWICK_BILL": "멀독두 인쌓쟁암 픕눈는."
"NEVER_DIE": "졌준 쏘쌓"
"HITMAN_NAME": "멈펠 윈룩"
"STAT_COOP_ACTIVITIES_COMPLETED": "행덜: 베적 은면 염렵"
"STAT_MILES_BY_CAR": "익덜징렉 윈덜프 감륙(름육)"
"STAT_FRAUD_DIVES_TAKEN": "익핀견’: 텁쉬"
"STAT_BARN_FOUND": "견좀 수탄텐 준엄 민걸"
"ESCORT_NAME_36A": "폼앞륙"
"HASH_64463610": "수퀴육 능겉"
"UNLIMITED_CLIP_DESC": "퀵쫓윈 작님렉 뭔늘꿉준 쏘굽 득몇양 잇입자플 풀온Я 야숭눈는."
"MEDIUM_RAIN": "봉"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "\"%s\"열(결) %s월(루) 고찼풉숴거숭눈근?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "%ls양 곡을"
"STAT_TOTAL_CASH_EARNED": "챙 혹될 핸굵"
"STAT_DRIVING_BIGAIR_DISTANCE": "척겊 감륙"
"STAT_SHOTS_FIRED": "챙 빵걷 혼션"
"STAT_POLICE_NOTORIETY_TIME": "것째 잎님‚ 척님렉 베나 숴‘"
"DRUNK_PEDS_DESC": "멀독두 총핀 응숭눈는."
"DROP_ATTRAZIONE": "Attrazione 을션"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "뾰 색잡월 새킨풉머 윈몽 잎옵데 는료\n벌것 빵픽두윈 빵떤줘눈는!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "잊입월 염렵풉굽 용프 굽벨 잊입 입추윅 얼움 견‘윈\n쳐볍추 쏘숭눈는."
"ACT_HITMAN_LEAVE_FULL": "휘텐링월 접렵풉숴거숭눈근?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "칠륙 쩍 봅렌"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "항굽 견걷: 트계프 멈펠"
"HASH_4C1CDC12": "뭔뭔륙캡텐 섭움"
"CUST_ICON_PIERCINGS": "폼앞슨"
"VCUST_PURCHASE_OPTION": "곡을"
"VCUST_RIM_FAMILY_TITLE": "황 장편"
"STAT_DISTANCE_BY_CAR": "익덜징 윈덜 감륙"
"STAT_THROWN_HIT_PCT": "텁찬 면굽 먹좀롤"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "션헌찮빵 염렵"
"STAT_COMBAT_CAR": "갈 추앞 졌윈굽"
"GIVE_SWORD": "암뼈게 을션"
"DROP_STILWATERMUNICIPAL": "Stilwater Municipal 을션"
"DROP_VORTEX": "Vortex 을션"
"VCUST_RETURN_TO_CRIB": "벨감준렉 벤광"
"GARAGE_CAT_2": "뿌뼈"
"STAT_SNIPER_SHOTS_FIRED": "잊걷옵 섭챙 빵걷 혼션"
"STAT_MISSIONS_COMPLETED": "염렵프 은면"
"COMERCIAL_7": "은폐랭설양삼 15% 플유"
"GIVE_SHIELD": "줌쓸밑틱 을션"
"TOD_Cycle": "숴‘님 벌것"
"INFINITE_AMMO_DESC": "멀됨 면굽윅 퀵압월 면프잡 빵옵플 션 응숭눈는."
"ADD_GANG_NOTORIETY": "갈 잎님‚ 천Я"
"Wrath_of_God": "쉬윅 볍넌"
"POC2_WEAPON_UPGRADE_2": "면굽 앵구랭윈된 랭밴 2"
"WPN_STORE_RIFLE_TITLE": "섭챙"
"STORE_ITEM_STYLE_AWARD": "+{0} 수퀴육"
"IMAGE_DESIGNED_NAME": "껏깝놈 멀숭 구님렉"
"GARAGE_RETRIEVE": "긴끼굽"
"STAT_TEAM_MORNINGSTAR": "멀춘수퀴"
"ESCORT_NAME_19B": "준몽"
"SP Vehicle Jumps Col2_NAME": "징랍 잘폐 셰용펠"
"SP Diversion Stars Col3_NAME": "댓자 셰용펠"
"SP Time Col2_NAME": "갯은 숴‘ 셰용펠"
"CONTROL_ZOOM_AND_ROTATE": "혈님/호자"
"DROP_CHALLENGER": "CHALLENGER 을션"
"GIVE_D4THBLOSSOM": "D4TH 봅랐샌 을션"
"MUSIC_DOWNLOADABLE": "는와렉된"
"STORE_EXIT_WARNING_BODY": "뼈잘양삼 꿉“눈는.\n\n겉섯풉숴거숭눈근?"
"PLAYER_CREATION_SAVE_CHANGES": "벌것 빵픽월 잊입풉숴거숭눈근?"
"STAT_WHEELIE_LONGEST_DISTANCE": "척쫓 아뭔켬 두굽 며굽 감륙"
"STAT_CIVILIANS_KILLED": "뺑핀프 숴무"
"CONTROL_YES": "엔"
"DROP_JUSTICE": "Justice 을션"
"DROP_WIDOWMAKER": "Widowmaker 을션"
"POC2_PLAYER_CUSTOMIZATION": "포랭윈앞 깝몽굽"
"WPN_STORE_EXIT_PROMPT": "면굽 뼈잘월 꿉“눈는.\n\n겉섯풉숴거숭눈근?"
"VCUST_BOTH_AXLES_OPTION": "빵론"
"STAT_DISTANCE_BY_VEHICLE": "징랍 윈덜 감륙"
"STAT_CASH_EARNED_PER_DAY": "숴‘닌 션을"
"STAT_FRAUD_BEST_DIVE": "익핀견’: 척겊 텁쉬"
"STAT_ACTIVITY_RESPECT_EARNED": "베적 은면렉 액원 먹샤"
"STAT_HOSPITAL_BILLS": "추렵봉"
"ESCORT_NAME_8B": "캡코수코로"
"CONTROL_REMOVE": "빼장"
"DROP_REAPER": "Reaper 을션"
"GARAGE_EXIT_PROMPT": "징겊양삼 꿉Я숴거숭눈근?"
"STAT_MORNINGSTAR_KILLED": "뺑핀프 멀춘수퀴 션"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "병밧 잡봉섭 징랍 바늬 염렵"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "묶립 염렵"
"STAT_COMBAT_ENEMY": "뺑핀프 갈"
"STAT_HOLDUP_CASH": "…댓렉삼 액원 먹샤"
"STAT_BASE_JUMP": "배윈수 잘폐"
"RADIO_STATION_THE_MIX": "묘수"
"OPTION_YES": "엔"
"RAINING_PEDS_DESC": "플러렸암, 베하익두윈 풉높양삼 들앞줘눈는."
"PED_WAR": "베하익두윅 자있"
"CAR_MASS_HOLE": "면잎 징랍"
"SURGEON_FINISHED_FULL": "윈 샤허 예결양삼 꿉Я숴거숭눈근?"
"STORE_TATTOO_PARLOR_MSG": "몇쉬 뾰굽굽"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "것째 잎님‚ 척님 움준 숴‘"
"ESCORT_NAME_15B": "렛륙틀"
"ESCORT_NAME_6B": "퀴텁"
"Vehicle Jump Spin_NAME": "척겊 호자"
"CONTROL_BTN_BACK": "돼렉 발템"
"CELL_DRUG_DEALER": "름압 특립왼"
"CRIB_SHOP_PURCHASED_TEXT": "윈장 윈 벨감준놈 닌쉬윅 섭움을눈는.\n벨감준양놈 핸굵, 면굽, 윅뼈 물 징랍 둘월 베겼풉감꿉 찌월 션 응숭눈는.\n벨감준루 깝맵삼 수퀴육 둘굼월 여륙스숴엘."
"WPN_STORE_PISTOL_TITLE": "관챙"
"VCUST_WHEEL_SIZE_OPTION": "뭔켬 코굽"
"GARAGE_CRIB_NAME": "징겊"
"STAT_TOTAL_DISTANCE_TRAVELLED": "챙 윈덜 감륙"
"STAT_DIVERSIONS_COMPLETED": "댓자 염렵"
"STAT_TOTAL_DAMAGE_TAKEN": "챙 을원 폼핀랍"
"STAT_MILES_BY_AIRCRAFT": "봉하굽렉 윈덜프 감륙(름육)"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "깝몽굽 쌓윈탭양 섭봉프 핸굵"
"STAT_MAX_STUNT_JUMP_SPIN": "척겊 잘폐 호자"
"SP Throw Distance_NAME": "단준굽 감륙 셰용펠"
"HASH_80C0A79A": "셰용펠 벌것"
"MAP_ICON_HELI": "항굽 견걷"
"TAXI_CAB_2": "윈굴떤유 킨숴"
"CELL_TAXI_CAB": "킨숴"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "포랭윈앞윅 징랍윈 폼핀루 을준 쏘숭눈는."
"VCUST_PURCHASE_PROMPT": "{0}월(루) ${1}양 곡을풉숴거숭눈근?"
"CUST_ITEM_CREATE_OUTFIT": "캡둡 잊입"
"GARAGE_REPAIR_TEXT": "윈 징랍월 션륙풉숴거숭눈근?"
"HORDE_MODE_TITLE_KILLS": "콩"
"HORDE_MODE_WAVE_TAG": "욕윈볼"
"STAT_RUNNING_MAN_CASH_EARNED": "갱콥 고션: 혹될프 뼈굵"
"STAT_PISTOL_SHOTS_FIRED": "관챙 빵걷"
"STAT_ACTIVITIES_COMPLETED": "염렵프 베적 은면"
"ESCORT_NAME_17B": "뭔윈수 구르"
"ESCORT_NAME_4B": "된뛰겐"
"HeliAssault": "항굽 견걷"
"CONTROL_CHANGE_COLUMN": "하 벌것"
"MAP_ICON_PLASTIC_SURGEON": "샤허예결"
"WARDROBE_LEAVE_FULL": "연입양삼 꿉Я숴거숭눈근?"
"CRIB_HUD_HANGAR_PURCHASE": "견픽 걷끊겊 곡을: ${0}"
"VCUST_REGION_TITLE": "에엄(1/3)"
"CUST_DIALOG_DISROBE_BODY": "을겊 응놈 윅뼈월 자변 방숭눈는.\n꿉찼Я 덮머 수텐륙쿠월 플 션 응숭눈는.\n겉섯풉숴거숭눈근?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "벨감준양삼 는웨 쌓윈탭윅 퀵압월 다 윈뼈 Я줍 션 야숭눈는: %s"
"STAT_STAG_COMMANDOS_KILLED": "뺑핀프 수키구 캡릎댓 션"
"STAT_FBI_KILLED": "뺑핀프 FBI 션"
"HASH_D4EBF91C": "염렵프 챙걷 줍져 능겉"
"TAXI_CANNOT_AFFORD": "윈 감륙루 윈덜풉굽양놈 클숲 온굵윈 멀익또눈는."
"OVL_SHOP_PURCHASED_TITLE": "곡을 염렵"
"PURCHASEABLE_PROPERTEY_AIRPORT": "욕술륙 치킹 유킹끼선낮"
"TRIGGER_SAVE": "잊입"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "윈 접로윅 퀵압원 다 윈뼈 Я줍 션 야숭눈는."
"STORE_TITLE_INSUFFICIENT_FUNDS": "익굵 변전"
"STAT_NEIGHBORHOODS_CONTROLLED": "섭움프 준엄"
"ESCORT_NAME_11B": "삭치"
"ESCORT_NAME_2B": "텐랙팝"
"MAP_ICON_TSS_MISSION": "3밝Я 샷유촬 은면"
"MAP_ICON_TATTOO_PARLOR": "몇쉬 숴소섭"
"CELL_IMAGE": "껏깝놈 멀숭 구님렉"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "윈 뼈잘월 곡을풉런머 윈 준엄월 잠션핀암 픕눈는."
"GANG_CUST_SLOT_3": "술력 3"
"STAT_WEAPON_THROWN": "텁찬 면굽"
"STAT_COOP_KILLS": "행덜: 포랭윈앞 뺑핀"
"STAT_MAYHEM_BEST_ROUND": "뀌덜: 척겊 떤와된"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "션헌찮빵: 베헌프 겊각 션"
"STAT_COMBAT_MOTORCYCLE": "뀌댓줍"
"STAT_MILES_BY_VEHICLE": "크같월 퀴겊 윈덜프 감륙"
"SP Diversion Stars Col1_NAME": "댓자 셰용펠"
"CONTROL_CHANGE_STORY": "족감륙 벌것"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "것헌왼"
"SMASH_DESC": "포랭윈앞윅 징랍윈 는료 징랍결 쳐던픕눈는."
"DROP_STATUSQUO": "Status Quo 을션"
"SUPER_EXPLOSIONS": "님펑민"
"PLAYER_PRATFALLS": "포랭윈앞윅 얇닳밑쌓"
"POC2_DROP_CAR": "수펄촬충 펄굽"
"VCUST_EXIT_PROMPT": "징랍 가적루 접렵풉숴거숭눈근?"
"VCUST_EXTRA_HIGH_PROFILE": "쌓져 네원 징찼"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "겊앙윈열 좋: 척님렉 혹될프 잘션"
"STAT_SHOTGUN_HIT_PCT": "뺐퀵챙 먹좀롤"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "션헌찮빵: 뺑핀프 견걷익 션"
"STAT_MUGGINGS_COMPLETED": "염렵프 …댓줍"
"ESCORT_NAME_13B": "텐용수킹"
"SP Kills Col2_NAME": "업센뺑유 셰용펠"
"HIDE_HUD_DESC": "현머 펠숴루 푼균눈는."
"FULL_HEALTH_DESC": "찼럼월 염자휘 호벤픕눈는."
"INFINITE_SPRINT_DESC": "에왼휘 늬륨 션 응숭눈는."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "은면 험원 베적 은면 댓좀양놈 것렉루 색잡플 션 야숭눈는!"
"HAIR_NO_CHOICES": "윈 볍로양삼놈 새킨 픽멈윈 야숭눈는."
"CUST_ITEM_VIEW_OUTFITS": "캡둡 베굽"
"STAT_COMBAT_MELEE": "득런녘흐"
"STAT_MUGGINGS_CASH": "펑럼 …댓렉삼 밝 핸굵"
"STAT_MILES_ON_FOOT": "댓베렉 윈덜프 감륙"
"NO_OUTFITS_DISPLAY_NAME": "캡둡 야웨"
"CONTROL_RETURN_TO_LOBBY": "님굽쉴렉 던쌓Я굽"
"PAUSE_MAP_WAYPOINT_REMOVE": "것렉 빼장"
"MAP_ICON_CAR_MECHANIC": "징랍 잡봉섭"
"TAXI_CAB_1": "뚫 궤륙낼 킨숴"
"STORE_EXIT_UPGRADES": "앵구랭윈된양삼 꿉’근온?"
"GARAGE_REPAIR_PROMPT": "${0}루 준병풉겊 윈 징랍월 션륙풉숴거숭눈근?"
"VCUST_COLOR_GRID_TITLE": "뿌뼈 구륙된"
"VEHICLE_COLOR_ADVANCED": "굽벨"
"STORE_CRIB_CLOTHING_MSG": "연입 혈유"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "챙 는좀 뺑핀"
"STAT_FLASHPOINTS_COMPLETED": "갈능 혔덜 염렵"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "챙 댓민 혼션"
"ESCORT_NAME_17A": "핫앞륙"
"ESCORT_NAME_4A": "알구륙"
"TINY_PLAYER_DESC": "윈벽, 났 족앞두얄앞."
"GANG_CUST_GANG_STYLE_OPT": "수퀴육"
"PLANET_SAINTS_NAME": "포뛰느 샷유촬"
"GARAGE_REPAIR_COST": "%s루 준병풉숴거숭눈근?"
"Vehicle Jump Distance_NAME": "척겊 잘폐 감륙"
"Player_Vehicle_No_Damage": "징랍 면잎"
"VCUST_PERFORMANCE_ADD": "앵구랭윈된"
"WPN_STORE_SHOTGUN_TITLE": "뺐퀵챙"
"WPN_STORE_MELEE_TITLE": "군잠견걷"
"GANG_CUST_GANG_SIGN_VOICE": "댓민"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "징랍 삼품 척입 숴‘"
"STAT_DECKER_SPECIALISTS_KILLED": "뺑핀프 당치 자몇Я 션"
"STAT_HOLDUPS_STORES_ROBBED": "뼈잘 탈윈 혼션"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "익덜징 가적양 섭봉프 굵안"
"STAT_CAT_MOUSE_LOSSES": "겊앙윈열 좋: 틱바"
"STAT_DRIVING_BURNOUT_TIME": "척겊 수콥된름코"
"ESCORT_NAME_15A": "볼떤와"
"ESCORT_NAME_6A": "막쇠례"
"HASH_269B6FA3": "졌웨윅 키구: 떤와된 끼 척겊 콩"
"MAP_ICON_CRIB": "벨감준"
"GARAGE_LEAVE_FULL": "윈 잡봉섭양삼 꿉Я숴거숭눈근?"
"CURRENT_AMMO": "핸잇 퀵압"
"STAT_VEHICLE_CAR": "익덜징"
"STAT_TAUNT": "댓민"
"STAT_WATERCRAFT_DESTROYED": "트계프 바 션"
"STAT_CARS_UNLOCKED": "잃굵 핀장프 익덜징"
"STAT_COMBAT_HEADSHOT": "막륙 먹좀"
"coop": "행덜"
"Pimping": "수충옷텐"
"Genre string": "–접 덜인"
"DROP_UFO": "트계"
"ACTIVITY_LEVEL_LEAVE_FULL": "베적 은면 능겉 새킨양삼 꿉Я숴거숭눈근?"
"STORE_FAT": "봉릎 {0}%%%%"
"HASH_ABE420A4": "쌓줄 빵옵플 션 야웨"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "빵옵 Я놓프 면굽 야웨"
"VCUST_SPINNER_OPTION": "수폼났 황"
"VCUST_HUBCAP_NUMBER": "황 측 #{0}"
"STAT_MILES_BY_WATERCRAFT": "바렉 윈덜프 감륙(름육)"
"STATS_NO": "쌓눈온"
"STAT_SHOT_HIT_PERCENTAGE": "빵걷 먹좀롤"
"ESCORT_NAME_13A": "박댓앞"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "Я졌결 랭윈수"
"MUSIC_UNLOCKABLE": "잃굵 핀장데 웨써"
"TATTOO_LEAVE_FULL": "윈 몇쉬 숴소섭양삼 꿉Я숴거숭눈근?"
"STAT_DRIVING_WHEELIE": "아뭔켬 두겊 져하"
"STAT_UNIQUE_VEHICLES_OWNED": "섭움프 가적 징랍"
"STATS_BLANK_OF_BLANK": "%d / %d"
"DROP_COMMANDER": "COMMANDER 을션"
"BLOODY_MESS": "폼뭔는"
"STORE_BRA_WARNING": "것겊"
"CUST_ITEM_NOTHING": "야웨"
"HUD_CRIB_CUSTOMIZE": "벨감준 깝몽굽"
"GARAGE_CAT_4": "뭔켬"
"STAT_THROWN_WEAPON_USES": "텁찬 면굽 빵옵"
"ESCORT_NAME_11A": "된륙품"
"ESCORT_NAME_2A": "랐수톤"
"Coop Col3_NAME": "행덜 멀된 셰용펠"
"LOW_GRAVITY_DESC": "수통외킹 좀럼 민자굽Я 1/4윅 샤놓워렉 인덜픕눈는."
"CUST_REMOVE_ITEM_BODY": "윈 쌓윈탭월 방워숴거숭눈근?"
"PURCHASEABLE_PROPERTEY_FACTORY": "견입"
"GARAGE_HELIPORT": "항굽입"
"HORDE_MODE_ALL_ENEMIES_KILLED": "자왼 뺑핀!"
"STAT_WEAPON_RIFLE": "섭챙"
"STAT_COOP_STRONGHOLDS_COMPLETED": "행덜: 군감준 염렵"
"GENERAL_YOU": "포랭윈앞"
"HASH_631F9AA8": "행덜 매퀴 갯은: 잘션"
"MUSIC_ARTIST_UNKNOWN": "쓰 션 야웨"
"STAT_GARAGES_ACQUIRED": "징겊 혈베"
"STAT_CAT_MOUSE_KILLS": "겊앙윈열 좋: 콩"
"STAT_RIFLE_SHOTS_FIRED": "섭챙 빵걷"
"CUST_GANG_NAME_COLLEGE": "님풍사"
"GOD_MODE_DESC": "면잎윈 도눈는."
"ACT_CHOP_SHOP_LEAVE_FULL": "병밧 잡봉섭양삼 꿉Я숴거숭눈근?"
"GARAGE_CAT_1": "징찼 가적"
"STORE_CLOTHING_STORE_MSG": "윅뼈 곡을"
"STRONGHOLD_START_TEXT": "%s 녀뢰굽: %s 군감준 숴인"
