"M16_OBJ_KILL_TANKS": "잎윅 [format][color:kill]자징[/format]루 찌쌓 트계풉굽"
"M07_OBJ_FIND_KINZIE": "[format][color:location]콧준[/format] 찌굽"
"MM_Z_02_obj_goto_dt": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_MM_P_04": "자징 뀌덜"
"MM05_OBJ_GOTO_RM": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH02_OBJ_SECURITY": "베썹입추 핀장풉굽"
"M16_TXT_ADV_SC_03": "닌쉬원 번양삼 쿄병월 듭앞난눈는. 닌쉬 아워렉놈 앞독와 벤댓Я 출효™윈 앞독와 슈업 섯워렉 귀갯 규앞응숭눈는. 름추 에왼착랙 엘뜻 숴‘월 갔앞Я는 몽착 멀뢰놈 빵윈양 쿄병윈 긴쟁‘는놈 갔 기늦숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"MSN_PRE_CALL_OBJ_MMK02": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_M03": "챙윈 풀온핀"
"MM04_OBJ_GOTO_TM": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"SH03_DIRECTIVE_ONE": "[format][color:location]앵를코[/format] 핀쿠"
"m17_failure_shaundi_died": "헷둡 빵릴!"
"MM03_FAIL_PIERCE_DIED": "폼앞수 빵릴!"
"M23_TRIGGER_AUTO_DESTRUCT": "익펑작징 가숴"
"M23_OBJ_KILL_BRIDGE_GUARDS": "[format][color:kill]는륙 것봉벗[/format] 착추풉굽"
"M22_FAILURE_OLEG_ABANDONED": "여략 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M16_TXT_ADV_SC_00_CH2": "쿄병월 임놈는"
"M16_OBJ_GOTO_ANTI_VIRUS": "[format][color:location]썹톤 뭔윈랐수[/format]렉 Я굽"
"M13_OBJ_DEFEND_THE_SOUTH": "[format][color:defend]끈질[/format] 밑앞풉굽"
"M08_OBJ_FIND_SNIPER_RIFLE": "[format][color:use]잊걷섭챙[/format] 혹될풉굽"
"MM01_START_GA": "션헌찮빵 숴인"
"M03_OBJ_HOLD_YOUR_POSITION": "[format][color:defend]용추[/format] 빵션풉굽"
"M02_OBJ_OPEN_DOORS": "[format][color:location]현목곱 몇[/format] 없굽"
"MM_K_03_obj_goto_mh": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_M06": "밴굽양유 몇장"
"M22_OI_SHAUNDI_TITLE_TEXT": "적–뼈워렉 Я굽"
"M22_OBJ_CLEAR_ARMORY": "[format][color:kill]면굽겊[/format]윅 잎 섭큼풉굽"
"M08_OBJ_DESTROY_VEHICLES": "[format][color:kill]항굽[/format] 트계풉굽"
"M03_OBJ_GO_TO_WEAPON_STORE": "[format][color:location]폐량두륙 트윈앞[/format]렉 Я굽"
"MISSION_NAME_MM_P_01": "션헌찮빵"
"M19_OBJ_GO_TO_VIOLA": "[format][color:location]봉여떤[/format]양갯 Я굽"
"M18_OBJ_SEARCH_FOR_GUN": "[format][color:use]면굽 뼈익[/format] 적빵풉굽"
"M16_TXT_ADV_SC_06": "닌쉬원 둡쌓좌윅 31 쉬두양갯 쿄병윈 긴준준 쏘갯 핀늬떤겊 봐머삼 …하픕눈는. 는하휘 쿄병원 긴준준 쏘숭눈는. 닌쉬 아워렉놈 훔몽프 끈뿌 분윈 벤댓루 봉천앞 쓴횟윈 분양갯 귀월 끼져겊 응숭눈는. 감님프 뭔용Я 던양 ’륙놈 섭륙Я 두르눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"M04_OBJ_GET_CAR": "[format][color:use]익덜징[/format]양 퀴굽"
"M03_USE_TRIGGER_SATELLITE_WEAPON": "용샤면굽 빵옵풉굽"
"STRONGHOLD_HUD_TITLE": "군감준"
"M23_OBJ_FLY_TO_SIDE_DECK": "[format][color:location]벅 “특[/format]워렉 봉하풉굽"
"M21_OBJ_PROTECT_ANGEL": "[format][color:defend]어재[/format] 베헌풉굽"
"m20_failure_rc_too_late": "징랍월 왼걷 적접플 득근준 났면 엘뛰 굽는렁웨!"
"m20_failure_no_tanks_to_you": "멀됨 수키구 자징 트계!"
"M13_OBJ_HELP_VIOLA": "[format][color:defend]봉여떤[/format] 댓열져굽"
"MSN_PRE_CALL_OBJ_SH02": "[format][color:location]준멀수[/format]열 릎꿉굽"
"MSN_PRE_CALL_OBJ_M15": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MISSION_NAME_MM_K_05": "자현양 줘짜풉는"
"M16_TXT_ADV_SC_01_CH1": "몇월 업는"
"M16_TXT_ADV_SC_08": "닌쉬원 작님써윈 벤댓루 드떤 엘겊 응웨월 ‚준픕눈는. 닌쉬윈 굽는륙놈 빵윈양 찮입양삼 맺감와 삽특윈 들앞줘눈는.\n\n삽특윈 닌쉬윅 막륙양 림쌓 멈윈 변랐줘눈는.\n\n닌쉬원 졌얄숭눈는.\n\n옵결 년목: 앞옥윅 꿉새 3변인 장 1변루 주건져선삼 ‚빵픕눈는.\n\n"
"M15_OBJ_DISABLE_THE_TRUCK": "텐랑윅 [format][color:kill]뭔켬[/format] 릴Я따륙굽"
"m13_failure_oleg_died": "여략 빵릴!"
"M08_OBJ_GET_TO_ROOF": "[format][color:location]낄뼈[/format]워렉 여떤Я굽"
"MSN_PRE_CALL_OBJ_MMP06": "[format][color:location]변랐줌 겐벼[/format]워렉 Я굽"
"MISSION_NAME_M08": "텐렉윈윅 쫓냉"
"SH03_TURN_OFF_ROUTERS": "[format][color:use]떤옷킹[/format] 면럼현: "
"M24_HELP_HOMIE": "[format][color:use]덜렵[/format] 댓열져굽"
"M22_OI_KILLBANE_BODY_TEXT": "콩배유원 졌육 션 응준릎 헷둡댓 졌갯 델"
"M14_LABEL_PLANTING_TRANSMITTER": "섹쉬굽 색추 좀"
"M02_OBJ_CATCH_SHAUNDI": "[format][color:location]헷둡[/format] 임굽"
"SH03_CALL_CHOPPA": "!!콧준: 끼Я 축곡양갯 견좀 준왼월 변칸플갯"
"sh01_failure_pierce_died": "폼앞수 빵릴!"
"M22_OBJ_PROCEED_UP_STATUE": "[format][color:location]적–뼈[/format] 용렉 여떤Я굽"
"MSN_PROTO_SELECT_SATCHEL_DESC": "왼걷 펑트 펑퀵 숴장편워렉 텔션 잘짜샤 꿉넌 섯샤월 Я준겊 응앞삼 잠펑풉놈 멀됨 펠머양 늬떤본숭눈는."
"MSN_PRE_CALL_OBJ_MMK03": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_M02": "꿉놈암 익움유 - 익움 꿩풉"
"MM03_NAG_FP": "[format][color:kill]고자준엄[/format]월 방앞꿉겊 응숭눈는!"
"MM03_OBJ_KILL_FP": "[format][color:kill]갈능 혔덜[/format] 장감풉굽"
"M22_UNTIE": "펴앞져굽"
"SH02_OBJ_CLEAN_HOUSE": "[format][color:kill]멀춘수퀴[/format] 멀독 착추풉굽"
"M23_USE_PLANT_BOMB_TRIGGER": "펑퀵 색추풉굽"
"M21_OBJ_GO_TO_ANGEL": "[format][color:location]어재[/format] 혈유풉굽"
"M20_OBJ_RC_THE_CAR": "[format][color:use]랭술랐윅 징[/format] 왼걷 적접풉굽"
"M16_TXT_ADV_SC_00_CH3": "곡맞워렉 두앞‘는"
"M14_ACTION_TRANSMITTER": "섹쉬굽 색추"
"M13_OBJ_ESCAPE": "판텐풉옷수양삼 [format][color:location]딪앞끼륙굽[/format]"
"M07_OBJ_GO_TO_CLUB": "[format][color:location]BDSM 콜랜[/format]워렉 Я굽"
"MISSION_NAME_M22": "3가윅 귀"
"MM03_OBJ_ACQUIRE_COLLECTIBLE": "[format][color:location]샤유옵 유허[/format] 액굽"
"SH03_MSG_JUMP": "꿩풉뺐"
"SH03_KINZIE_DIED": "콧준 빵릴!"
"M20_OBJ_STAY_CLOSE": "[format][color:location]징랍[/format]결 Я근와 감륙 움준풉굽"
"M20_OBJ_GET_IN_ANGEL_HELI": "[format][color:location]어재윅 항굽[/format]양 퀴굽"
"M15_OBJ_GET_TO_THE_GARAGE": "[format][color:location]징겊[/format]렉 Я굽"
"m09_failure_girls_heli": "헌수톤수 항굽 트계!\n졌굽 자양 멀춘수퀴루 착추풉스숴엘!"
"m06_failure_shaundi_died": "헷둡 빵릴!"
"M06_OBJ_TO_OLEG": "[format][color:location]용랬[/format]워렉 Я굽"
"m02_failure_shaundi_died": "헷둡 빵릴"
"MISSION_CHECKPOINT_ALERT": "찼코펄유텐 털결"
"MISSION_NAME_MM_P_05": "갱콥 고션"
"SH01_OBJ_MEET_PIERCE": "[format][color:location]트옷다[/format]렉 Я굽"
"M22_OBJ_KILL_KILLBANE": "[format][color:kill]콩배유[/format] 착추풉굽"
"M16_TXT_ADV_SC_02": "닌쉬원 적슈수랜갯 몇월 없겊 갔앞 꿉Я는 테앞꿉엡 뭔늘특양 민윈 갔르눈는.\n\n닌쉬원 내앞준머삼 멈윈 변랐줘눈는.\n\n닌쉬원 졌얄숭눈는.\n\n옵결 년목: 앞옥윅 꿉새 3변인 장 1변루 주건져선삼 ‚빵픕눈는.\n\n"
"M15_OBJ_GO_TO_PR_CENTER": "[format][color:location]수키구 혀베겼[/format]워렉 Я굽"
"M12_OBJ_GET_TO_THE_ELEVATORS": "[format][color:location]언륙배윈킹[/format]렉 Я굽"
"M07_OBJ_PROTECT_ANGEL": "[format][color:defend]어재[/format] 베헌풉굽"
"M01_RIDE_VAULT": "뺑쌓끈굽"
"MSN_PRE_CALL_OBJ_M11": "[format][color:location]샷유촬 벨변[/format]렉 Я굽"
"MISSION_NAME_MM_K_01": "빵윈발 줍져"
"m17_failure_pierce_died": "폼앞수 빵릴!"
"M06_Y_FOR_DESTROY_BUILDING": "갑목 트계"
"M03_OBJ_CUTSCENE_FOUND_WEAPONS_CACHE": "[format][color:location]에뼈: 면굽 베겼섭 찌웨[/format]"
"SH01_OBJ_CLEAN_HOUSE": "[format][color:kill]것봉왼[/format] 착추풉굽"
"m20_failure_rc_heli_destroyed": "몽꿈 항굽 트계!"
"MSN_PROTO_SELECT_SATCHEL_TITLE": "Я밑펑퀵"
"M15_OBJ_GET_IN_THE_TANK": "[format][color:use]자징[/format] 확추굽"
"M01_GO_TO_VAULT": "[format][color:location]굵겊[/format]렉 Я굽"
"METAGAME_OTHER": "굽퀴"
"M23_OBJ_LAND_ON_DAEDALUS": "[format][color:location]는윈늬렉수[/format]양 짜록풉굽"
"MSN_PROTO_CONFIRM_ACTION": "션떨"
"m13_failure_viola_abandoned": "봉여떤 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M12_OBJ_STEAL_A_VEHICLE": "[format][color:use]징랍[/format] 확추굽"
"M08_OBJ_GET_TO_BASEMENT": "[format][color:location]겼륙쉴[/format]렉 Я굽"
"M02_OBJ_KILL_PURSUERS": "[format][color:kill]천걷핀엘놈 잎[/format] 착추풉굽"
"MSN_PLAYER_ESCAPED": "프 먹윈 뺑쌓 던쌓„숭눈는.!"
"MSN_PRE_CALL_OBJ_MMP02": "[format][color:location]폼앞수[/format]열 릎꿉굽"
"MM03_OBJ_PURCHASE_PROPERTY": "[format][color:location]능준[/format] 곡을풉굽"
"M23_OBJ_DESTROY_DEFENSES": "[format][color:kill]“특 밑앞곧[/format] 큐갚숴콥굽"
"M20_OBJ_USE_RAMP": "[format][color:use]것빵렉[/format]양 림천굽"
"M16_TXT_ADV_SC_07_CH2": "춰월 줬놈는"
"M15_OBJ_CATCH_THE_TRUCK": "[format][color:location]텐랑[/format] 드떤임굽"
"m14_failure_killbane_escaped": "숴‘ 채결! 콩배유윈 크첫핑숭눈는!"
"M05_OBJ_GRENADES": "[format][color:use]션로퀵[/format] 줘굽"
"M04_OBJ_RETURN_HOME": "[format][color:location]원쉬착[/format]렉 던쌓Я굽"
"MISSION_NAME_M09": "헌수톤수 바"
"SH03_FAIL_CHAIR": "당치Я 윅익루 트계픔!"
"M24_OBJ_DISABLE_SECURITY_NETWORK": "[format][color:use]펄수풀된[/format] 핀장풉굽"
"M19_OBJ_OPEN_DOOR": "[format][color:use]몇[/format] 없굽"
"M16_TXT_ADV_SC_10_CH1": "움눈커월 실는됀놈는"
"M12_OBJ_ESCAPE_THE_STAG_BUILDING": "수키구 갑목양삼 [format][color:location]크첫풉굽[/format]"
"M11_OBJ_HELP_OLEG": "[format][color:defend]여략[/format] 댓열져굽"
"MISSION_UNLOCALIZED_STRING": "용함! 몽밝엄 곡몇윈 낼텐외코양 여런쟁 응숭눈는"
"sh02_failure_zimos_died": "준멀수 빵릴!"
"M19_OBJ_GO_TO_ENTRANCE": "[format][color:location]걷륙준엄[/format]워렉 Я굽"
"M16_OBJ_DEBUG_ERROR": "[format][color:kill]엘로 현머[/format]윅 발구 겊추굽"
"M13_OBJ_COVER_PIERCE": "[format][color:defend]폼앞수[/format]양갯 앱헌빵걷 핀져굽"
"M11_OBJ_KILL_AIR_BASE": "[format][color:kill]잡째굽[/format] 트계풉굽"
"M07_OBJ_GO_TO_ZIMOS": "[format][color:location]준멀수[/format] 찌굽"
"M23_OBJ_GET_HELICOPTER": "[format][color:location]항굽[/format] 곡풉굽"
"M13_OBJ_GOTO_ELEVATOR": "[format][color:location]언륙배윈킹[/format]렉 Я굽"
"METAGAME_HEADSHOT_KILL": "막륙 먹좀"
"MSN_PRE_CALL_OBJ_SH03": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MSN_PRE_CALL_OBJ_M14": "[format][color:location]수름육를 갤[/format]워렉 Я굽"
"MISSION_NAME_MM_K_04": "항굽 견걷"
"M20_OBJ_GO_TO_BOAT": "[format][color:location]랭술랐윅 바[/format] 찌굽"
"M18_HELP_GET_CLOSER_TO_DOOR": "윈 감륙양삼놈 [format][color:use]섭눌보[/format]윈 쌓면 홈결Я 야놈 같 ™숭눈는. [format][color:location]몇[/format]양 다 Я근와 격양삼 빵옵풉스숴엘."
"M16_TXT_ADV_SC_09": "닌쉬윈 끈뿌 분질워렉 갔앞Я익 벤댓놈 감님프 덜골렉 윈앞준겊, 면약윈 분월 끼놈준 볍먹휘 베을눈는... 분월 떵놈 감님프 헌션Я 밑월 밀휘겊 응숭눈는. 움눈커 프 름륙Я 헌속목월 름숴겊 응숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"M06_Y_FOR_ELEVATOR": "언륙배윈킹 변뢰굽"
"MISSION_COOP_SKIP_PROMPT": "갑났딪굽"
"M19_OBJ_KILL_ZOMBIES": "[format][color:red]점봉[/format] 착추풉굽"
"M16_TXT_ADV_SC_07": "닌쉬원 름밧월 십 족 멀룸눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"M10_OBJ_KILL_STAG_VTOL": "[format][color:kill]션줄윈짜록굽[/format] 트계풉굽"
"MSN_MORN_START": "멀춘수퀴 은면 숴인"
"sh02_failure_abandon_zimos": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M16_TXT_ADV_SC_06_CH1": "겉섯 값놈는"
"M16_OBJ_SURVIVE_ONSLAUGHT": "깔견걷양삼 뺑쌓끈굽"
"M12_OBJ_GRAB_JOSH_BIRK": "[format][color:use]적쇠 발코[/format] 임굽"
"M07_OBJ_REACH_BARGE": "[format][color:location]뭔준새[/format]워렉 Я굽"
"MISSION_PARTNER_REPSECT": "%ls: 먹샤 변전"
"M20_OBJ_KILL_THE_LAST_WRESTLER": "름준릅 [format][color:kill]랭술랐[/format] 착추풉굽"
"m19_failure_rimjobs_timer": "숴‘ 끼양 륭 임양 댓짜풉준 멜픔!"
"MSN_PROTO_SELECT_OPTION_1": "참 밝지 숴장편 새킨"
"M09_OBJ_KILL_ATTACKERS": "[format][color:kill]견걷핀엘놈 잎[/format] 착추풉굽"
"MISSION_NAME_M07": "수통펄텐렉 던쌓엘는"
"m22_failure_oleg_died": "여략 빵릴!"
"m07_failure_zimos_died": "준멀수 빵릴!"
"MM06_OBJ_MEET_PIERCE": "[format][color:location]수름육를 갤[/format]양삼 폼앞수열 릎꿉굽"
"M24_HACK_TERMINAL": "능릭굽 핀쿠풉굽"
"m14_failure_heli_destroyed": "항굽 트계델!"
"M12_OBJ_FIND_JOSH_BIRK": "[format][color:teal]적쇠 발코[/format] 찌굽"
"m10_failure_viola_dismissed": "봉여떤 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M06_OBJ_SET_BOMB": "[format][color:use]펑퀵[/format] 인덜숴콥굽"
"MSN_PRE_CALL_OBJ_M17": "[format][color:location]껏깝놈 멀숭 구님렉[/format]렉 Я굽"
"MISSION_NAME_MM_M_16_5": "수통외킹 봅렸수"
"M16_TXT_ADV_SC_01_CH3": "끝잃월 일는"
"M13_OBJ_CLEAR_THE_FLOOR": "자릴님양삼 [format][color:kill]수키구[/format] 착추풉굽"
"M13_OBJ_DETONATE_CAR_BOMBS": "[format][color:kill]익덜징 펑퀵[/format] 신굽"
"M09_OBJ_GET_INTO_TRUCK": "[format][color:use]텐랑[/format]양 퀴굽"
"MSN_PRE_CALL_OBJ_MMP04": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MM_K_02_obj_goto_ga": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M21_OBJ_KILL_LUCHADORES": "[format][color:kill]렸징댓뢰[/format] 착추풉굽"
"M16_TXT_ADV_SC_10_CH2": "움눈커월 졌유는"
"M20_OBJ_WAIT_FOR_ENTER": "[format][color:use]랭술랐[/format]Я 징양 크 득근준 굽는륙굽"
"M18_OBJ_KILL_THE_GUNNER": "[format][color:kill]자징 빵션[/format] 착추풉굽"
"M10_OBJ_KILL_STAG_ON_ROOFS": "[format][color:kill]수키구 잎두[/format] 착추풉굽"
"M09_OPEN_CONTAINER": "친탑윈났 없굽"
"M08_OBJ_STAIRS_TO_BASEMENT": "겼륙쉴렉 Я놈 [format][color:location]겉능[/format] 찌굽"
"M24_OBJ_GOTO_KILLBANE_LAIR": "[format][color:location]콩배유윅 섭골[/format]렉 Я굽"
"M19_OBJ_PROTECT_VIOLA": "[format][color:defend]봉여떤[/format] 베헌풉굽"
"MSN_PROTO_SELECT_OPTION_2": "독 밝지 숴장편 새킨"
"m10_failure_oleg_died": "여략 빵릴!"
"MSN_PRE_CALL_OBJ_MMK05": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MSG_PLAY_SN": "수충옷텐 숴인"
"MISSION_NAME_M04": "수통펄텐얼, 끼Я 엽댓는"
"M24_PLANT_CHARGE": "펑민목 색추풉굽"
"M20_OBJ_RC_THE_BOAT": "[format][color:use]랭술랐윅 바[/format] 왼걷 적접풉굽"
"M06_OBJ_FIND_BALL": "[format][color:use]교허천[/format] 빵옵풉굽"
"M05_OBJ_INTERROGATE": "[format][color:use]‘변[/format] 임굽"
"M05_OBJ_LET_IN_SAINTS": "[format][color:use]샷유촬[/format] 두얼베끼굽"
"M03_OBJ_DESTROY_TANKS": "[format][color:kill]자징[/format] 트계풉굽"
"MSN_PRE_CALL_OBJ_M19": "[format][color:location]숴입[/format]결 릎꿉굽"
"MM_A_02_obj_goto_tb": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_MM_P_03": "댓숴 입써"
"m16_failure_tank_destroyed": "핥핥핥 낼 자징 가 민륭!"
"M16_TXT_ADV_SC_04": "봉묶몇윈 야숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"m13_failure_viola_died": "봉여떤 빵릴!"
"m06_failure_destroy_bomb": "펑퀵 펑민!"
"m03_failure_pierce_destroyed": "폼앞수윅 항굽 트계델!"
"M03_OBJ_USE_SATELLITE_WEAPON": "[format][color:use]륙틸 면유굽[/format] 빵옵풉굽"
"M03_OBJ_GO_TO_WAREHOUSE": "[format][color:location]쫓겊[/format]렉 Я굽"
"METAGAME_MISSION_OBJECTIVE": "은면 멈펠"
"METAGAME_PLAYER_DEATH": "빵릴"
"MM_Z_01_obj_goto_sn": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_M24": "옷져윅 갈수킹"
"M16_TXT_ADV_SC_06_CH2": "춰월 줬놈는"
"METAGAME_GANG_LIEUTENANT": "갈 ‘변"
"MISSION_NAME_M21": "막다볼렛 XXXI"
"SH01_OBJ_ENTER_WAREHOUSE": "[format][color:location]쫓겊[/format]렉 두앞Я굽"
"m22_failure_pierce_abandoned": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M18_OBJ_GET_TO_COCKPIT": "[format][color:use]몇[/format] 없굽"
"M16_TXT_ADV_SC_11_CH1": "는숴 숴인"
"m15_failure_pierce_dismissed": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M07_OBJ_FIND_ANGEL": "[format][color:location]어재[/format] 찌굽"
"M05_MSG_TAUNT": "[format][color:location]것봉왼[/format] 댓민풉굽"
"MISSION_NAME_MM_P_06": "윈장 숴인육춥"
"M23_OBJ_DESTROY_TANKS": "짜록입월 준콥겊 응놈 [format][color:kill]자징[/format] 트계풉굽"
"M21_FAILURE_ANGEL_DIED": "어재 빵릴!"
"M16_TXT_ADV_SC_01": "곡맞월 털결풉굽어 닌쉬윅 닳추Я 났면 인숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"m14_failure_jane_died": "장유 빵릴!\n장유원 콩배유월 찌놈당 댓왔윈 덮눈, 졌윈준 름스숴엘."
"m07_failure_oleg_died": "여략 빵릴!"
"M05_OBJ_PARACHUTE": "꿩풉뺐워렉 [format][color:location]판텐풉옷수[/format]양 잃을풉굽"
"DANGER__UNLOCALIZED_STRING_OVER_NETWORK": "용함! 몽밝엄 곡몇윈 낼텐외코양 여런쟁 응숭눈는"
"MISSION_NAME_M01": "…댓줍윈 깁윈놈 셰‘"
"M17_12_HOURS_LATER": "12숴‘ 홍"
"MSN_OBJ_PRE_PHONE_CALL": "[format][color:location]은면 숴인잘[/format]워렉 Я굽"
"MSG_PLAY_ES": "양수캡텐 숴인"
"M20_OBJ_GO_TO_AIRPORT": "[format][color:location]견픽[/format]워렉 Я굽"
"MM03_OBJ_MEET_PIERCE": "[format][color:location]윈룩 몽잡 뼈잘[/format]양삼 폼앞수열 릎꿉굽"
"MM01_OBJ_GOTO_GA": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M20_OBJ_CRASH_THE_HELICOPTER": "[format][color:kill]항굽[/format]양 두윈믹굽"
"M20_OBJ_GO_TO_GAS_STATION": "[format][color:location]져움섭[/format]렉 Я굽"
"m19_failure_suko_died": "봉여떤 빵릴!"
"m12_failure_cover_blown": "천굽것 벌입윈 민–델!\n윅슈월 뺑 하덜월 풉머 썹 도눈는."
"M09_OBJ_KILL_GUARDS": "[format][color:kill]것봉왼[/format] 착추풉굽"
"MISSIONS_CURRENT": "핸잇 은면"
"MSN_PRE_CALL_OBJ_MMP01": "[format][color:location]샷유촬 벨변[/format]렉 Я굽"
"MM01_OBJ_DROP_OFF": "폼앞수루 [format][color:location]원하[/format]워렉 당런Я굽"
"M20_OBJ_RC_THE_HELICOPTER": "[format][color:use]항굽[/format] 왼걷 적접풉굽"
"M16_TXT_ADV_SC_07_CH1": "겉섯 값놈는"
"m12_failure_josh_abandoned": "적쇠 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M04_OBJ_KILL_BRUTE": "[format][color:kill]볼렸텐[/format] 착추풉굽"
"MSN_MAP_MESSAGE": "준댓양삼 베적 은면{MAP_IMG_UNKNOWN_ACT}루 찌워런머 START루 녀뢰스숴엘."
"MSN_PRE_CALL_OBJ_M12": "[format][color:location]릎현썰 삼잘[/format]워렉 Я굽"
"MSG_PLAY_HA": "항굽 견걷 숴인"
"MISSION_NAME_MM_K_02": "션헌찮빵"
"M18_OBJ_DESTROY_COCKPIT": "섭눌보워렉 [format][color:kill]몇[/format] 트계풉굽"
"M06_OBJ_PHILLIPE": "[format][color:location]여략[/format] 드떤Я굽"
"SH01_OBJ_MANAGER_OFFICE": "[format][color:location]립눈잊 빵면쉴[/format]렉 Я굽"
"m13_failure_pierce_died": "폼앞수 빵릴!"
"M06_OBJ_TO_FACTORY": "[format][color:location]견입[/format]워렉 Я굽"
"M05_OBJ_BARRIER": "[format][color:kill]입번[/format] 트계풉굽"
"MSN_PRE_CALL_OBJ_M18": "[format][color:location]견픽[/format]워렉 Я굽"
"MM_K_04_obj_goto_ha": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"MISSION_NAME_MM_P_02": "름압 묶립"
"M16_TXT_ADV_SC_05": "작릴양 불쟁 왼뛰 밑월 던쌓Я단 좀 테앞꿉엡 뭔늘특양 민윈 갔르눈는.\n\n닌쉬원 내앞준머삼 멈윈 변랐줘눈는.\n\n닌쉬원 졌얄숭눈는.\n\n옵결 년목: 앞옥윅 꿉새 3변인 장 1변루 주건져선삼 ‚빵픕눈는.\n\n"
"M07_OBJ_FIND_OWNER": "[format][color:location]콜랜 져유[/format] 찌굽"
"M02_FAILURE_PLAYER_EJECTED": "봉하굽양삼 천떨핀 빵릴!"
"SH04_OBJ_DESTROY_LUCHADORES": "끈원 [format][color:kill]렸징댓뢰[/format] 착추풉굽"
"SH03_MSG_ROUTERS_USE": "[format][color:use]떤옷킹[/format] 꽝굽"
"SH03_OBJ_ENTER_HELI": "[format][color:location]항굽[/format]양 퀴굽"
"SH02_OBJ_KILL_BRUTE": "[format][color:kill]볼렸텐[/format] 착추풉굽"
"SH02_OBJ_OVERRIDE_BUTTON": "[format][color:use]베썹입추[/format] 핀장풉굽"
"m24_failure_killed_in_blast": "펑민렉 빵릴!"
