"DROP_SPHERE": "GIVE SPHERE"
"STAT_DIVERSION_RESPECT_EARNED": "RESPECT EARNED IN DIVERSIONS"
"STAT_ENEMY_GANG_KILLED": "GANG KILLS"
"ZOMBIE_PEDS": "ZOMBIES"
"VCUST_RIM_SIZE_OPTION": "RIM SIZE"
"PCS_RETURN_MAIN": "RETURN TO MAIN MENU"
"SMASH": "VEHICLE SMASH"
"MILK_BONES_DESC": "Melee attacks are extremely deadly."
"VEHICLE_PAINT_TYPE": "PAINT TYPE"
"STAT_HUMAN_SHIELD_KILLS": "HUMAN SHIELD KILLS"
"ESCORT_NAME_30A": "BLAZING"
"RADIO_STATION_GENX": "GENERATION X"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "GIVE RC POSSESSOR"
"MASCOT_PEDS": "MASCOTS"
"STORE_GARAGE_MSG": "ACCESS YOUR GARAGE"
"STAT_GRENADE_KILLS": "GRENADE KILLS"
"STAT_MAX_HUMAN_THROWN_DIST": "MAX HUMAN THROWN DISTANCE"
"EXIT_STRONGHOLD": "EXIT STRONGHOLD"
"WPN_STORE_PURCHASE_PROMPT": "Do you wish to purchase the {0} for ${1}?"
"VCUST_SPINNERS_TITLE": "SPINNERS"
"GANG_CUST_SLOT_2": "SLOT 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "CO-OP: TANDEM DIVERSIONS COMPLETED"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "LONGEST WINDSHIELD CANNON"
"STAT_DRIVING_WINDSHIELD": "WINDSHIELD CANNON"
"ESCORT_NAME_32A": "BLOODY"
"TAXI_PURCHASE": "PURCHASE RIDE"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "PURCHASE"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "YOU HAVE REPAIRED YOUR VEHICLE"
"WPNSTOR_TITLE_WEAPON_CACHE": "WEAPON CACHE"
"STORE_TEXT_DISCARD": "Do you want to discard this item from your Wardrobe?"
"HORDE_MODE_TITLE_FINAL_FAIL": "FINAL WAVE FAILED"
"STAT_SEX_DOLLS_FOUND": "SEX DOLLS FOUND"
"STAT_RIFLE_HIT_PCT": "RIFLE HIT PERCENTAGE"
"STAT_DRIVING_WRONGWAY": "ONCOMING LANE"
"ESCORT_NAME_28B": "DOUBLE-STUFF"
"FULL_HEALTH": "FULL HEALTH"
"GANG_CUST_EXIT_PROMPT": "Exit Gang Customization\n\nAre you sure?"
"HORDE_MODE_INVULNERABILITY": "Invulnerability!"
"ESCORT_NAME_34A": "GREEK"
"OPTION_NO": "NO"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "The Load Process has failed because the default\nStorage Device is no longer available."
"ACCEPT_GAME_INVITE_TITLE": "WARNING"
"PLAYER_CREATION_LEAVE_FULL": "Do you really want to leave player creation?"
"STORE_NAME_NIGHT_CLUB": "NIGHT CLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Are you sure you want to exit the garage?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPECT EARNED FROM NEAR MISSES"
"STAT_FAVORITE_WEAPON": "FAVORITE WEAPON"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Are you sure you want to create this outfit?"
"TAXI_INVALID_DESTINATION": "You cannot purchase a ride to that location."
"DROP_FIVE0": "GIVE PEACEMAKER"
"GIVE_ALL_WEAPONS_DESC": "Gives you a full suite of weapons."
"BUSHWICK_BILL": "EVERYBODY MUST GET SHRUNK"
"NEVER_DIE": "NEVER DIE"
"HITMAN_NAME": "TARGET NAME"
"STAT_COOP_ACTIVITIES_COMPLETED": "CO-OP: ACTIVITIES COMPLETED"
"STAT_MILES_BY_CAR": "MILES TRAVELED BY CAR"
"STAT_FRAUD_DIVES_TAKEN": "INSURANCE FRAUD: DIVES TAKEN"
"STAT_BARN_FOUND": "BARNSTORM LOCATIONS FOUND"
"ESCORT_NAME_36A": "FIERY"
"UNLIMITED_CLIP_DESC": "You never have to reload because your clip runneth over forever."
"MEDIUM_RAIN": "MEDIUM RAIN"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Do you wish to replace \"%s\" with \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "PURCHASE FOR %ls"
"STAT_TOTAL_CASH_EARNED": "TOTAL CASH EARNED"
"STAT_DRIVING_BIGAIR_DISTANCE": "MOST DISTANCE"
"STAT_SHOTS_FIRED": "SHOTS FIRED"
"STAT_POLICE_NOTORIETY_TIME": "TIME AT HIGHEST POLICE NOTORIETY"
"DRUNK_PEDS_DESC": "Everybody's on the crunk juice."
"DROP_ATTRAZIONE": "GIVE ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Selecting a new preset will change any other\nchanges that you have made already!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "There is not enough free space on the default Storage Device\nto complete the Save process."
"ACT_HITMAN_LEAVE_FULL": "Do you really want to leave Hitman?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "HELI ASSAULT: TARGETS DESTROYED"
"CUST_ICON_PIERCINGS": "PIERCINGS"
"VCUST_PURCHASE_OPTION": "PURCHASE"
"VCUST_RIM_FAMILY_TITLE": "RIM FAMILY"
"STAT_DISTANCE_BY_CAR": "DISTANCE BY CAR"
"STAT_THROWN_HIT_PCT": "THROWN WEAPON HIT PERCENTAGE"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "GUARDIAN ANGEL COMPLETED"
"STAT_COMBAT_CAR": "GANG VEHICLE KILLS"
"GIVE_SWORD": "GIVE NOCTURNE"
"DROP_STILWATERMUNICIPAL": "GIVE MUNICIPAL"
"DROP_VORTEX": "GIVE VORTEX"
"VCUST_RETURN_TO_CRIB": "RETURN TO CRIB"
"GARAGE_CAT_2": "COLORS"
"STAT_SNIPER_SHOTS_FIRED": "SNIPER RIFLE SHOTS FIRED"
"STAT_MISSIONS_COMPLETED": "MISSIONS COMPLETED"
"COMERCIAL_7": "15% OFF AT IMPRESSIONS"
"GIVE_SHIELD": "GIVE RIOT SHIELD"
"TOD_Cycle": "CHANGE TIME OF DAY"
"INFINITE_AMMO_DESC": "Gives you infinite ammo for all weapons."
"ADD_GANG_NOTORIETY": "ADD GANG NOTORIETY"
"Wrath_of_God": "WRATH OF GOD"
"POC2_WEAPON_UPGRADE_2": "UPGRADE WEAPON - LEVEL 2"
"WPN_STORE_RIFLE_TITLE": "RIFLES"
"STORE_ITEM_STYLE_AWARD": "+ {0} STYLE"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "RETRIEVE"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAR"
"ESCORT_NAME_19B": "JIMMY"
"CONTROL_ZOOM_AND_ROTATE": "ZOOM/ROTATE"
"DROP_CHALLENGER": "GIVE CHALLENGER"
"GIVE_D4THBLOSSOM": "GIVE D4TH BLOSSOM"
"MUSIC_DOWNLOADABLE": "DOWNLOADED"
"STORE_EXIT_WARNING_BODY": "Exit Store\n\nAre you sure?"
"PLAYER_CREATION_SAVE_CHANGES": "Do you want to save your changes?"
"STAT_WHEELIE_LONGEST_DISTANCE": "LONGEST WHEELIE DISTANCE"
"STAT_CIVILIANS_KILLED": "CIVILIANS KILLED"
"CONTROL_YES": "YES"
"DROP_JUSTICE": "GIVE JUSTICE"
"DROP_WIDOWMAKER": "GIVE WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "PLAYER CUSTOMIZATION"
"WPN_STORE_EXIT_PROMPT": "Exit Weapon Store\n\nAre you sure?"
"VCUST_BOTH_AXLES_OPTION": "BOTH AXLES"
"STAT_DISTANCE_BY_VEHICLE": "DISTANCE BY VEHICLE"
"STAT_CASH_EARNED_PER_DAY": "EARNED PER HOUR"
"STAT_FRAUD_BEST_DIVE": "INSURANCE FRAUD: BEST DIVE"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPECT EARNED THROUGH ACTIVITIES"
"STAT_HOSPITAL_BILLS": "HOSPITAL BILLS"
"ESCORT_NAME_8B": "CORKSCREW"
"CONTROL_REMOVE": "REMOVE"
"DROP_REAPER": "GIVE REAPER"
"GARAGE_EXIT_PROMPT": "Exit Garage?"
"STAT_MORNINGSTAR_KILLED": "MORNINGSTAR KILLED"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "CHOP SHOP VEHICLES DELIVERED"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "TRAFFICKING COMPLETED"
"STAT_COMBAT_ENEMY": "GANG KILLS"
"STAT_HOLDUP_CASH": "CASH EARNED AS A STICK-UP MAN"
"STAT_BASE_JUMP": "BASE JUMPING"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "YES"
"RAINING_PEDS_DESC": "Hallelujah, it's a raining peds."
"PED_WAR": "PEDESTRIAN WAR"
"CAR_MASS_HOLE": "CAR MASS HOLE"
"SURGEON_FINISHED_FULL": "Do you really want to leave Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "GET A TATTOO"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "LONGEST STREAK AT HIGHEST POLICE NOTORIETY"
"ESCORT_NAME_15B": "LOLLIPOP"
"ESCORT_NAME_6B": "TATTOO"
"CONTROL_BTN_BACK": "THE BACK BUTTON"
"CELL_DRUG_DEALER": "DRUG DEALER"
"CRIB_SHOP_PURCHASED_TEXT": "This crib is now yours. \nYou can access your stored cash, weapons, clothes, and vehicles here. \nCustomize it to increase your Style Rank."
"WPN_STORE_PISTOL_TITLE": "PISTOLS"
"VCUST_WHEEL_SIZE_OPTION": "WHEEL SIZE"
"GARAGE_CRIB_NAME": "GARAGE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "TOTAL DISTANCE TRAVELLED"
"STAT_DIVERSIONS_COMPLETED": "DIVERSIONS COMPLETED"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTAL DAMAGE TAKEN"
"STAT_MILES_BY_AIRCRAFT": "MILES TRAVELED BY AIRCRAFT"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "SPENT ON CUSTOMIZATION ITEMS"
"STAT_MAX_STUNT_JUMP_SPIN": "MAX JUMP SPIN"
"MAP_ICON_HELI": "HELI ASSAULT"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Your vehicle is immune to damage."
"VCUST_PURCHASE_PROMPT": "Do you wish to purchase {0} for ${1}?"
"CUST_ITEM_CREATE_OUTFIT": "SAVE OUTFIT"
"GARAGE_REPAIR_TEXT": "Do you wish to repair this vehicle?"
"HORDE_MODE_TITLE_KILLS": "KILLS"
"HORDE_MODE_WAVE_TAG": "WAVE"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: CASH EARNED"
"STAT_PISTOL_SHOTS_FIRED": "PISTOL SHOTS FIRED"
"STAT_ACTIVITIES_COMPLETED": "ACTIVITIES COMPLETED"
"ESCORT_NAME_17B": "VICE GRIP"
"ESCORT_NAME_4B": "DRAGON"
"CONTROL_CHANGE_COLUMN": "CHANGE COLUMN"
"MAP_ICON_PLASTIC_SURGEON": "PLASTIC SURGEON"
"WARDROBE_LEAVE_FULL": "Do you really want to leave the wardrobe?"
"CRIB_HUD_HANGAR_PURCHASE": "PURCHASE AIRPORT HANGAR: ${0}"
"VCUST_REGION_TITLE": "REGION (1/3)"
"CUST_DIALOG_DISROBE_BODY": "This will remove all your current clothes. \nBeing nude allows you to Streak. \nAre you sure?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "You can't take any more ammo for the following item from your crib: \"%s.\""
"STAT_STAG_COMMANDOS_KILLED": "STAG COMMANDOS KILLED"
"STAT_FBI_KILLED": "FBI KILLED"
"TAXI_CANNOT_AFFORD": "You do not have enough money to purchase this trip."
"OVL_SHOP_PURCHASED_TITLE": "PURCHASED"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "SAVE"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "You can not carry any more ammo of this type."
"STORE_TITLE_INSUFFICIENT_FUNDS": "INSUFFICIENT FUNDS"
"STAT_NEIGHBORHOODS_CONTROLLED": "NEIGHBORHOODS CONTROLLED"
"ESCORT_NAME_11B": "SHOCKER"
"ESCORT_NAME_2B": "TRUMPET"
"MAP_ICON_TSS_MISSION": "3RD STREET SAINTS MISSION"
"MAP_ICON_TATTOO_PARLOR": "TATTOO PARLOR"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "YOU HAVE TO TAKE CONTROL OF THIS HOOD BEFORE YOU CAN BUY THIS STORE"
"GANG_CUST_SLOT_3": "SLOT 3"
"STAT_WEAPON_THROWN": "THROWN"
"STAT_COOP_KILLS": "CO-OP: PLAYER KILLS"
"STAT_MAYHEM_BEST_ROUND": "MAYHEM: BEST ROUND"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "GUARDIAN ANGEL: NUMBER OF CELEBRITIES PROTECTED"
"STAT_COMBAT_MOTORCYCLE": "SLICE 'N DICE KILLS"
"STAT_MILES_BY_VEHICLE": "TRAVELED BY VEHICLE"
"CONTROL_CHANGE_STORY": "CHANGE STORYLINE"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "BODYGUARDS"
"SMASH_DESC": "Your vehicle smashes other vehicles."
"DROP_STATUSQUO": "GIVE STATUS QUO"
"SUPER_EXPLOSIONS": "SUPER EXPLOSIONS"
"PLAYER_PRATFALLS": "PLAYER PRATFALLS"
"POC2_DROP_CAR": "DROP SPORTS CAR"
"VCUST_EXIT_PROMPT": "Are you sure you want to exit vehicle customization?"
"VCUST_EXTRA_HIGH_PROFILE": "EXTRA HIGH PROFILE"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "CAT & MOUSE: MOST POINTS EARNED"
"STAT_SHOTGUN_HIT_PCT": "SHOTGUN HIT PERCENTAGE"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "GUARDIAN ANGEL: NUMBER OF ATTACKERS KILLED"
"STAT_MUGGINGS_COMPLETED": "MUGGINGS COMPLETED"
"ESCORT_NAME_13B": "TWISTER"
"HIDE_HUD_DESC": "The heads up display is hidden."
"FULL_HEALTH_DESC": "Replenishes your health to full."
"INFINITE_SPRINT_DESC": "You can sprint forever."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "You cannot place a waypoint during a Mission or Activity!"
"HAIR_NO_CHOICES": "No choices for this category."
"CUST_ITEM_VIEW_OUTFITS": "VIEW OUTFITS"
"STAT_COMBAT_MELEE": "BEAT DOWN KILLS"
"STAT_MUGGINGS_CASH": "CASH EARNED AS MUGGER"
"STAT_MILES_ON_FOOT": "TRAVELED ON FOOT"
"NO_OUTFITS_DISPLAY_NAME": "NO OUTFITS"
"CONTROL_RETURN_TO_LOBBY": "RETURN TO LOBBY"
"PAUSE_MAP_WAYPOINT_REMOVE": "REMOVE WAYPOINT"
"MAP_ICON_CAR_MECHANIC": "CAR MECHANIC"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "EXIT UPGRADES?"
"GARAGE_REPAIR_PROMPT": "Do you want to repair this vehicle for ${0}?"
"VCUST_COLOR_GRID_TITLE": "COLOR GRID"
"VEHICLE_COLOR_ADVANCED": "BASIC"
"STORE_CRIB_CLOTHING_MSG": "ACCESS YOUR WARDROBE"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTAL MULTI-KILLS"
"STAT_FLASHPOINTS_COMPLETED": "GANG OPERATIONS COMPLETED"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTAL TAUNTS GIVEN"
"ESCORT_NAME_17A": "HAIRY"
"ESCORT_NAME_4A": "ANGRY"
"TINY_PLAYER_DESC": "Homie, you shrunk yourself."
"GANG_CUST_GANG_STYLE_OPT": "STYLE"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Do you want to pay %s?"
"Player_Vehicle_No_Damage": "VEHICLE NO DAMAGE"
"VCUST_PERFORMANCE_ADD": "UPGRADE"
"WPN_STORE_SHOTGUN_TITLE": "SHOTGUNS"
"WPN_STORE_MELEE_TITLE": "MELEE"
"GANG_CUST_GANG_SIGN_VOICE": "TAUNT"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "VEHICLE SURFING LONGEST TIME"
"STAT_DECKER_SPECIALISTS_KILLED": "DECKER SPECIALISTS KILLED"
"STAT_HOLDUPS_STORES_ROBBED": "STORES ROBBED"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "SPENT ON CAR CUSTOMIZATION"
"STAT_CAT_MOUSE_LOSSES": "CAT & MOUSE: LOSSES"
"STAT_DRIVING_BURNOUT_TIME": "LONGEST BURNOUT"
"ESCORT_NAME_15A": "BROWN"
"ESCORT_NAME_6A": "MUSHROOM"
"MAP_ICON_CRIB": "CRIB"
"GARAGE_LEAVE_FULL": "Do you really want to leave Rim Jobs?"
"CURRENT_AMMO": "CURRENT AMMO"
"STAT_VEHICLE_CAR": "CAR"
"STAT_TAUNT": "TAUNTING"
"STAT_WATERCRAFT_DESTROYED": "NUMBER OF WATERCRAFT DESTROYED"
"STAT_CARS_UNLOCKED": "CARS UNLOCKED"
"STAT_COMBAT_HEADSHOT": "HEADSHOTS"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "Do you really want to leave the Activity level selection?"
"STORE_FAT": "FAT {0}%%%%"
"HASH_ABE420A4": "NONE AVAILABLE YET "
"WPN_STORE_NO_WEAPONS_AVAILABLE": "NO WEAPONS AVAILABLE"
"VCUST_SPINNER_OPTION": "SPINNERS"
"VCUST_HUBCAP_NUMBER": "HUBCAPS #{0}"
"STAT_MILES_BY_WATERCRAFT": "MILES TRAVELED BY WATERCRAFT"
"STATS_NO": "NO"
"STAT_SHOT_HIT_PERCENTAGE": "SHOTS HIT"
"ESCORT_NAME_13A": "BACKDOOR"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "UNLOCKABLE"
"TATTOO_LEAVE_FULL": "Do you really want to leave Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "WHEELIES"
"STAT_UNIQUE_VEHICLES_OWNED": "UNIQUE VEHICLES OWNED"
"STATS_BLANK_OF_BLANK": "%d OF %d"
"DROP_COMMANDER": "GIVE COMMANDER"
"BLOODY_MESS": "BLOODY MESS"
"STORE_BRA_WARNING": "WARNING"
"CUST_ITEM_NOTHING": "NOTHING"
"HUD_CRIB_CUSTOMIZE": "CUSTOMIZE YOUR CRIB"
"GARAGE_CAT_4": "WHEELS"
"STAT_THROWN_WEAPON_USES": "THROWN WEAPONS USED"
"ESCORT_NAME_11A": "DRIPPING"
"ESCORT_NAME_2A": "RUSTY"
"LOW_GRAVITY_DESC": "Stilwaters' gravity generators are at quarter power."
"CUST_REMOVE_ITEM_BODY": "Are you sure you wish to remove this item?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FACTORY "
"GARAGE_HELIPORT": "HELIPORT"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Killed enemies!"
"STAT_WEAPON_RIFLE": "RIFLE"
"STAT_COOP_STRONGHOLDS_COMPLETED": "CO-OP: STRONGHOLDS COMPLETED"
"GENERAL_YOU": "YOU"
"MUSIC_ARTIST_UNKNOWN": "UNKNOWN"
"STAT_GARAGES_ACQUIRED": "GARAGES ACQUIRED"
"STAT_CAT_MOUSE_KILLS": "CAT & MOUSE: KILLS"
"STAT_RIFLE_SHOTS_FIRED": "RIFLE SHOTS FIRED"
"CUST_GANG_NAME_COLLEGE": "COLLEGE STUDENTS"
"GOD_MODE_DESC": "You are unstoppable."
"ACT_CHOP_SHOP_LEAVE_FULL": "Do you really want to leave the chop shop?"
"GARAGE_CAT_1": "BODY MODS"
"STORE_CLOTHING_STORE_MSG": "PURCHASE CLOTHING"
"STRONGHOLD_START_TEXT": "PRESS %s TO START %s STRONGHOLD"
"ADD_GANG_NOTORIETY_DESC": "Bumps Gang Notoriety one star with each use."
"Overcast": "OVERCAST"
"TAXI_CONFIRM_PURCHASE_FULL": "Do you wish to purchase this ride for %ls?"
"MENU_SWAP_WEAPONS_CACHE": "WEAPONS CACHE"
"STORE_TITLE_PURCHASING": "PURCHASING"
"STAT_VEHICLES_HIJACKED": "VEHICLES HIJACKED"
"STAT_HOSTAGE_CASH": "CASH EARNED AS KIDNAPPER"
"CONTROL_ROTATE": "ROTATE"
"DROP_SANDSTORM": "GIVE SANDSTORM"
"GIVE_DILDO": "GIVE THE PENETRATOR"
"GIVE_GRENADE": "GIVE GRENADE"
"TIME_SET_MIDNIGHT": "TIME SET MIDNIGHT"
"STORE_CHOOSE_A_CATEGORY": "CHOOSE A CATEGORY"
"STORE_ZOOM_ROTATE": "ZOOM / ROTATE"
"STAT_DRUG_PACKAGES_FOUND": "DRUG PACKAGES FOUND"
"CONTROL_EXIT_PLAYER_CREATION": "EXIT BODY"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "NEWS STATION"
"STORE_PRICE": "PRICE ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Removing this item from your wardrobe will also remove the outfit that it belongs to."
"CRIB_WARDROBE_EXIT": "Exit Wardrobe\n\nAre you sure?"
"STORE_EXIT_CLIPBOARD": "Exit Clipboard?"
"STAT_HITMAN_TARGETS_ELIMINATED": "HITMAN TARGETS ELIMINATED"
"STAT_BIKES_DESTROYED": "NUMBER OF MOTORCYCLES DESTROYED"
"STAT_MELEE_KILLS": "BEATDOWN KILLS"
"STATS_YES": "YES"
"ESCORT_NAME_8A": "GOLDEN"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "LOW GRAVITY"
"CUST_ICON_SUITS": "SUITS"
"CUST_ICON_RINGS": "RINGS"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Do you want to save your changes\nbefore exiting?"
"STAT_SMG_SHOTS_FIRED": "SMG SHOTS FIRED"
"STAT_SWAT_KILLED": "SWAT KILLED"
"CONTROL_RETURN_TO_MAIN_MENU": "RETURN TO MAIN MENU"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "PURCHASE"
"MAP_ICON_CRIB_PURCHASE": "CRIB FOR SALE"
"CHEAT_CHARACTER_DESC": "Changes your player character to this character."
"MUSIC_ELECTRONICA": "ELECTRONICA"
"POC2_WEAPON_UPGRADE_1": "UPGRADE WEAPON - LEVEL 1"
"STORE_BUILD": "BUILD"
"COMPLETION_STYLE_BONUS": "STYLE BONUS"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "TANK MAYHEM: DAMAGE DONE"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "MAX POLICE NOTORIETY TIME"
