"DLC3_OUTRO_08_TAG": "Danspaal?"
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "HEKSENLAARZEN  "
"UNL_DLC3_CUST02_VEHICLES": "VOERTUIG - DE SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "JE HEBT DE TORBITRON ACHTERGELATEN!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "JIMMY'S AUTO IS VERNIETIGD"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "OUTFIT - HEKS"
"DLC3_M01_MISSION_NAME": "WEIRD SCIENCE"
"DLC3_OUTRO_04_PLAYER": "Ik weet het, Johnny, ik weet het. Maar we kunnen het goedmaken."
"DLC3_OUTRO_02_PIERCE": "O, en nou wil je met hem praten."
"DLC3_INTRO_01_JIMMY": "Het was een donkere en stormachtige nacht..."
"DLC3_ACHIEVE_SR3_BAMF": "VUISTVECHTER"
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Laat de wereld zien dat heks zijn niet alleen een manier van leven is maar ook modieus."
"DLC3_WPN_FIREBALL": "KWARTCIRKELSTOOT"
"DLC3_OUTRO_07_PLAYER": "Kom op, makker. We brengen je naar huis."
"DLC3_INTRO_14_TAG": "Waar is Shogo?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Nu gebruikt ze haar vuisten in plaats van haar stem om haar fans knock-out te slaan."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Oog van de imker"
"DLC3_M01_INTERROGATE_GANG": "ONDERVRAAG DE [format][color:use]LUITENANT[/format]"
"DLC3_OUTRO_10_JIMMY": "En zo eindigt het verhaal van onze onverschrokken helden. Verbonden door de band die ze... ze, euh... hadden voor elkaar."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Mijn lievelingsmonster"
"UNL_DLC3_CUST02_CLOTHING": "ITEMS - HEKSEN EN WORSTEN"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS KNAL"
"DLC3_M02_FAIL_TRUCK_DEAD": "DE TORBITRON WERD VERNIETIGD!"
"DLC3_M02_PROTECT_PIERCE": "BESCHERM [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny, kom op man, ik probeer je te helpen!"
"DLC3_M02_DEFEND_STAGE": "VERDEDIG DE [format][color:defend]SET[/format]"
"DLC3_M01_LOOK_FOR_TAG": "ONDERZOEK EEN [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "Maandenlang heb ik troep zitten verzamelen. Zijn troep."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Superbliem!"
"DLC3_INTRO_19_PIERCE": "Ga verdomme zitten, Jimmy! Laat dit maar aan de experts over."
"DLC3_M02_FIND_TAG": "ZOEK [format][color:location]TAG[/format]"
"DLC3_OUTRO_05_PIERCE": "Ja, we zijn je vrienden, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "GA NAAR DE [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_OUTRO_03_TAG": "Saints...lieten me in de steek."
"CUST_ITEM_DLC_HAT_DH": "DUIVELHOORNS"
"DLC3_M02_REVIVE": "BIJBRENGEN"
"DLC3_M02_GOTO_PLANET_SAINTS": "GA NAAR [format][color:location]PLANET SAINTS[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "De enige manier voor een heks te reizen is per bezemsteel natuurlijk. Met dit voertuig krijgt iedereen die kans."
"DLC3_M03_GOTO_HELICOPTER": "STAP IN DE [format][color:location]HELIKOPTER[/format]"
"DLC3_INTRO_07_JIMMY": "Maar ik had het mis."
"CUST_ITEM_DLC_PANTS_WITCH": "HEKSENBROEK"
"DLC3_M02_RETURN_TO_TRUCK": "GA TERUG IN DE [format][color:location]TORBITRON[/format]"
"DLC3_M02_MISSION_NAME": "TOUR DE FARCE"
"DLC3_INTRO_02_JIMMY": "De hemel weende toen ik moeder Natuur bezoedelde."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "HOMIE - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Steken of gestoken worden"
"CUST_ITEM_DLC_OUTFIT_WITCH": "HEKS"
"DLC3_M03_KILL_GUARD": "DOOD DE [format][color:kill]STEELPORT-BEWAKERS[/format]"
"DLC3_M02_FAIL_FEEDBACK": "HET PUBLIEK HEEFT HET OPTREDEN VERPEST. HOU ZE MET DE SWARMITRON BIJ HET PODIUM VANDAAN."
"CUST_ITEM_DLC_HAT_HALO": "HEILIGE HALO"
"DLC3_M01_SURVIVE": "[format][color:defend]WACHT[/format] OP JIMMY"
"DLC3_INTRO_11_JIMMY": "Ja."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG IS DOOD!"
"DLC3_M03_KILL_MORNINGSTAR": "DOOD DE [format][color:kill]MORNINGSTAR[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "ZOEK TAG IN [format][color:location]DE PLANET SAINTS[/format]"
"DLC3_M03_GOTO_APARTMENT": "ZOEK TAG IN [format][color:location] HET APARTMENT[/format]"
"DLC3_M02_OBJ_MISSION_START": "GA NAAR [format][color:location]JIMMY'S HUIS[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "VERNIEL DE [format][color:kill]WEGVERSPERRING[/format]"
"DLC3_M01_PROTECT_CAR": "BESCHERM DE [format][color:defend]AUTO[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport is weer veilig. Maar wie weet wanneer er weer een beroep wordt gedaan op de Saints en hun nieuwe bondgenoten om de stad te beschermen."
"DLC3_OUTRO_09_PLAYER": "Klopt, man. Danspaal."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Tour de Farce"
"DLC3_WPN_BEE_GUN": "SWARMITRON"
"DLC3_INTRO_16_JIMMY": "Wacht, waar gaan jullie heen?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Kleding voor de ninja, hotdog, engel en duivel in je."
"DLC3_INTRO_17_PLAYER": "WIJ gaan onze vriend zoeken!"
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Zonnebril, oude kauwgum, een vettige kam."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Stuur de klonen maar"
"DLC3_M02_OBJ_CALM_TAG": "KALMEER [format][color:kill]TAG[/format] MET DE SWARMITRON"
"DLC3_M02_KILL_HELIS": "DOOD DE [format][color:kill]STEELPORT GARDE-AANVALLERS[/format]"
"DLC3_M01_GOTO_CAR": "STAP IN [format][color:location]JIMMY'S AUTO[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Publieke vijand nummer 1"
"CUST_ITEM_DLC_HOTDOG": "HOTDOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Houd {SPRINT_IMG} ingedrukt voor een supersprint.\nGooi VUURBALLEN met {ATTACK_SECONDARY_IMG}.\nMet {ATTACK_PRIMARY_IMG} deel je superkrachtige klappen uit."
"DLC3_M02_GOTO_TRUCK": "GA DE [format][color:location]TORBITRON[/format] IN"
"UNL_DESC_DLC3_STORY03_ALERT": "Er zijn nieuwe missies beschikbaar via je mobieltje."
"UNL_DLC3_CUST02_ALERT": "HEKSEN EN WORSTEN"
"DLC3_M03_GOTO_BRIDGE": "ZOEK TAG BIJ [format][color:location]DE BRUG[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "VOORTGANG"
"DLC3_INTRO_13_JIMMY": "Dat wil ik je net vertellen!"
"DLC3_INTRO_12_PLAYER": "Oké, dus waar is..."
"UNL_DESC_DLC3_CUST02_ALERT": "Nieuwe downloadbare content is beschikbaar in de garderobe en garage van je woning."
"DLC3_M02_FAIL_TAG_ESCAPE": "JE WAS NIET SNEL GENOEG, JOHNNY TAG IS ONTSNAPT!"
"DLC3_M01_GOTO_STRIP_CLUB": "GA NAAR [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "GA NAAR [format][color:location]SMILING JACK'S[/format]"
"DLC3_INTRO_09_TAG": "Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Aisha Brutella kun je vinden in het telefoonmenu van je mobieltje. Zij zal de Saints bij een gevecht helpen."
"DLC3_M02_OBJ_GET_BEE_GUN": "PAK DE [format][color:location]SWARMITRON[/format] UIT DE TRUCK"
"DLC3_M02_REVIVE_TAG": "BRENG [format][color:use]TAG[/format] WEER BIJ"
