"MENU_LEFT_MOUSE": "Souris gauche"
"PLT_MENU_AUDIO_VOICE_ENABLE": "CHAT VOCAL"
"PC_EASE_HINT": "PARCOURIR LES TYPES D'ANIMATION DE FONDU"
"PC_DELETE_CZ_HINT": "EFFACER LA ZONE CAMÉRA ACTUELLE"
"BTN_A_TXT": "TOUCHE A"
"MENU_VIDEO_RECORD_MODE": "MODE ENREGISTREMENT VIDÉO"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Impossible d'activer le mode Enregistrement de vidéo. Plus de mémoire est nécessaire."
"COMMUNITY_BLURB_HEADER": "Joins-toi à la Communauté Saints Row au SaintsRow.com "
"SAVING_CONTENT_TITLE": "Sauvegarde du contenu."
"MENU_CONTROLS_STICK": "JOYSTICK GAUCHE ACCÉL./FREINER"
"PLT_MENU_REFLECTIONS_TOOLTIP": "ACTIVER RÉLEXIONS SHADER RÉGULIER OU GÉOMÉTRIQUE"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "CONTRÔLE QUANTITÉ ET DÉTAILS DES ÉLÉMENTS DE SCÈNE"
"MULTI_GAMETYPE_1": "PARTIE LAN"
"PC_TOD_NOON": "MIDI"
"PC_TOD": "HEURE"
"PC_GS_PEOPLE": "PERSONNES"
"PC_POSITION_CAMERA_HINT": "UTTILISE LES COMMANDES POUR PLACER LA CAMÉRA"
"BTN_LTHUMB_TXT": "STICK ANALOGIQUE GAUCHE"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Le codec vidéo requis pour ce mode est présentement manquant. Réfère-toi au fichier readme pour des informations sur l'installation."
"MENU_PRIMARY_ASSIGNMENT": "ATTRIBUTION BOUTONS PRINCIPAUX"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   FREINER / INVERSER"
"PLT_MENU_SCENE_DETAIL": "    DÉTAIL SCÈNE"
"PC_OUTPUT_ONLY": "AFFICHER SORTIE UNIQUEMENT"
"PC_GS_PLAYER": "JOUEUR"
"PC_CM_FOLLOW": "SUIVI"
"PC_CAMERA_LOCKED": "CAMÉRA BLOQUÉE"
"MENU_CHANGES_MADE_TITLE": "APPLIQUER CHANGEMENTS?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   VIRAGES PLUS SERRÉS"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   REMONTER"
"PC_W_CLEAR": "DÉGAGÉ"
"PC_CAMERA_ZONE": "ZONE CAMÉRA"
"BTN_Y_TXT": "TOUCHE A"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ACTIVE OU DÉSACTIVE LES SOUS-TITRES"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} DÉPLACEMENT\nDÉPLACER SOURIS POUR REGARDER\n{SKYDIVE_FLIP_IMG} REGARDER EN HAUT OU EN BAS"
"MENU_RESTORE_ALL_DEFAULTS": "RÉINITIALISER TOUTES CATÉGORIES"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   BOUGER VERS LA GAUCHE"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "Espace insuffisant sur le disque dur.\nSi tu continues, tu ne pourras pas sauvegarder ta progression.\nContinuer?"
"PC_ZT_BLEND": "FONDU"
"PC_SAVE_HINT": "SAUVEGARDER LES MODIFICATIONS DU CLIP"
"PC_COPY_NEXT_HINT": "CRÉER UNE NOUVELLE ZONE CAMÉRA BASÉE SUR LA ZONE SUIVANTE"
"PCACTION_STRAFE_RIGHT": "PAS LATÉRAL DROIT"
"MENU_GAMEPLAY": "JEU"
"MENU_MOUSE_CONTROLS_VERT_SENS": "SENSIBILITÉ VERTICALE"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Veux-tu conserver ces paramètres?\nIls seront automatiquement réinitialisés par défaut dans 15 secondes."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "QUEL MONITEUR UTILISER EN PLEIN ÉCRAN"
"PC_DOF": "PROFONDEUR DE CHAMP"
"RECORD_MODE_WARNING_TEXT": "L'enregistrement de clips cinéma désactivera toutes les missions, activités, magasins et la musique dans le jeu jusqu'à ce que tu reviennes au menu principal. Commencer à enregistrer un clip Cinéma?"
"PC_HIDE_KEYS": "MASQUER TOUCHES"
"TUT_TITLE_SPRINT": "MODIFICATEUR"
"PC_COMMUNITY_AGE_FIELD": "ÂGE (MM.JJ.AAAA)"
"MENU_OPTIONS_REMAP": "RÉGLER TOUCHES & BOUTONS DU CLAVIER"
"CBA_OFC_ZOOM_OUT": "   ZOOM ARRIÈRE AVEC LA LUNETTE DE VISÉE"
"PLT_MENU_RESOLUTIONS": "RÉSOLUTIONS"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "TOUCHE A"
"PCACTION_WEAPON_5": "ARME 5"
"PCACTION_ATTACK_SECONDARY": "ATTAQUE SECONDAIRE"
"HUD_ZOMBIE_BITE_ESCAPE": "Appuie sur n'importe quelle touche pour t'échapper!"
"MENU_AIRPLANE_HANDLING": "AIDES PILOTAGE AVION"
"MENU_MOUSE_BUTTON_4": "Souris 4"
"CBA_GAC_GRENADE_SELECT_1": "   EMPLACEMENT GRENADE 1"
"CBA_OFC_JUMP_CLIMB": "   SAUTER / GRIMPER"
"PC_ROTATION_SENSITIVITY": "SENS. ROTATION"
"PC_SLOWMO": "VITESSE DE LECTURE"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "CHANGER POUR DIFFÉRENTES CATÉGORIES DE COMMANDES"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "VOIR LE PROFIL STEAM DU JOUEUR"
"MENU_CONTROLLER_OPTIONS": "OPTIONS MANETTE DE JEU"
"PC_EDIT_PROPS_HINT": "AFFICHER LA FENÊTRE DES PROPRIÉTÉS DE LA ZONE CAMÉRA"
"PC_ADDITIONAL_PROPS": "PROPRIÉTÉS SUPPLÉMENTAIRES"
"PC_NEW_ZONE": "NOUVELLE ZONE"
"MENU_OPTIONS_MOUSE": "COMMANDES"
"CBA_GAC_WEAPON_SELECT_5": "   EMPLACEMENT ARME 5"
"CBA_VDC_PLANE_ACCELERATE": "   ACCÉLÉRER"
"MENU_CATEGORY": "CATÉGORIE"
"PLT_MENU_ASPECT_TOOLTIP": "LE RAPPORT D'ASPECT NE PEUT ÊTRE CHANGÉ QUE DANS LE MENU PRINCIPAL"
"PC_CM_DEFAULT": "PAR DÉFAUT"
"PC_COPY_CURRENT": "COPIER ACTUELLE"
"COMMUNITY_EXISTING_FOUND_TEXT": "Nous avons trouvé un THQ ID associé à ton compte Steam. Connecte-toi à ton compte existant."
"CBA_VDC_PREV_RADIO": "   STATION RADIO PRÉC."
"PLT_MENU_POST_PROCESSING_DETAIL": "    DÉTAIL POST-PROCESSING"
"BTN_RTHUMB_TXT": "STICK ANALOGIQUE DROIT"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "RECULER"
"HASH_0AEDCF17": "Une erreur de réseau est survenue.\nRetour au Menu principal."
"PC_VIDEO_QUALITY": "QUALITÉ VIDÉO"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Maintenant, la vraie partie commence >:) \n\nAppuie sur une touche pour Continuer"
"CBA_VDC_LOOK_BEHIND": "   INVERSER CAMÉRA"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   FAIRE DEMI-TOUR"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   DEMI-TOUR ROTATION"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "LE JEU SE MET EN PAUSE AUTOMATIQUEMENT SI LE FOCUS N'EST PAS AU POINT"
"PC_ROTATION_SENSITIVITY_HINT": "LA SENSIBILITÉ DE ROTATION DE LA CAMÉRA"
"PCACTION_ATTACK_PRIMARY": "ATTAQUE PRINCIPALE"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nSprinter modifie les actions de manière incroyable. Essaye différentes combinaisons de touches avec celle de Sprint pour toutes les découvrir!"
"NOT_LOGGED_IN": "Tu dois être en mode En ligne sur Steam pour utiliser cette fonctionnalité ou reconnecte-toi à Internet pour l'utiliser."
"CBA_GAC_GRENADE_SWITCH": "   AUTRE GRENADE"
"CBA_GAC_MAP_MENU": "   PORTABLE"
"PLT_MENU_VSYNC_TOOLTIP": "SYNCHRO VERTICALE POUR ÉLIMINER L'EFFET D'ÉTIREMENT EN MODE PLEIN ÉCRAN"
"MENU_OFF": "ÉTEINTE"
"PLT_MENU_VOICE_ALWAYS_ON": "TOUJOURS ACTIVÉ"
"PLT_QUIT_GAME_WARNING": "Veux-tu vraiment quitter et revenir au bureau?"
"PC_TOD_NIGHT": "NUIT"
"PC_TOD_HINT": "LES PARAMÈTRES DE LUMIÈRE"
"PC_DOF_CLOSEUP": "RAPPROCHÉ"
"PC_OPTIONS_HINT": "AFFICHER LA FENÊTRE OPTIONS GÉNÉRALES"
"PC_SHOW_HUD": "AFFICHER ATH"
"PCACTION_HORN": "KLAXON"
"CONTROLS_FORCE_FEED": "VIBRATION"
"STATS_CORRUPT_BODY": "Tes stats sont endommagées et doivent être réinitialisées.\nCela n'affectera pas les succès que tu as déjà gagnés."
"PC_PLAY_SLOW_HINT": "RALENTIR LA LECTURE DE LA SÉQUENCE DE JEU ENREGISTRÉE"
"HASH_C407C71A": "Connexion à GOG perdue.\nRetour au menu principal."
"TUT_COMBAT_MELEE_2": "Pendant une ATTAQUE PUISSANTE, appuie sur la touche qui s'affiche pour infliger plus de dégâts et gagner plus de respect."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "CHOISIS SI LA MINI-CARTE TOURNE EN FONCTION DE LA CAMÉRA"
"CONTROL_R_STICK": "JOYSTICK DROIT"
"MENU_CHANGES_MADE_BODY": "Des modifications ont été effectuées. Veux-tu appliquer les changements en cours?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RÉSOLUTION DES TEXTURES D'OMBRE"
"PLT_MENU_REFLECTIONS": "    REFLEXIONS"
"PLT_MENU_DISPLAY_2": "MONITEUR 2"
"PC_CREATE_CHAR_HINT": "CRÉER OU IMPORTER UN NOUVEAU MODÈLE"
"PC_CAM_TILT": "INCLINAISON CAMÉRA"
"HUD_PICK_UP_MESSAGE": "RAMASSER %ls"
"MENU_DISCARD": "ABANDONNER"
"PC_CM_STATIC": "FIXE"
"PC_FOV": "CHAMP DE VISION"
"PCACTION_FINE_AIM": "VISÉE"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (DROIT)"
"CBA_GAC_GRENADE_SELECT_4": "   EMPLACEMENT GRENADE 4"
"CBA_VDC_FIREARM": "   TIRER"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "DISTANCE PDC"
"PLAYBACK_MODE_WARNING": "ÉDITER CLIPS CINÉMA"
"BTN_B_TXT": "TOUCHE A"
"PCACTION_BREAK": "FREIN À MAIN"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Impossible de sauvegarder la vidéo. Plus d'espace disque est requis."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   BOUGER VERS LA DROITE"
"MENU_CATEGORY_ONFOOT": "À PIED"
"PLT_MENU_DISPLAY_INDEX": "ÉCRAN"
"HUD_DUAL_WIELD_MESSAGE": "UTILISER DEUX %ls."
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "TOUCHE A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "CHOISIS LA VITESSE À LAQUELLE LA CAMÉRA REVIENDRA À LA VUE PAR DÉFAUT"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Le compte Steam que tu utilises n'est lié à aucun THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} TOURNER \n{ATTACK_PRIMARY_IMG} FRAPPER \nFrappe Killbane pour le faire avancer dans la direction choisie."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ACCEPTER PARAMÈTRES?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "SYNCHRO VERTICALE PENDANT LE JEU"
"PLT_MENU_WINDOWED": "FENÊTRE"
"PLT_MENU_DISPLAY_PRESET": "RÉGLAGE QUALITÉ"
"PC_DOF_RANGE": "FOCALE PDC"
"PC_FOV_HINT": "LE CHAMP DE VISION DE LA CAMÉRA"
"PC_HANDYCAM_HINT": "LE TREMBLEMENT DU CAMÉSCOPE"
"BTN_BACK_TXT": "TOUCHE A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "dans"
"CBA_VDC_BIKE_LEAN_BACK": "   SE PENCHER VERS L'ARRIÈRE EN MOTO"
"CBA_VDC_PLANE_TURN_RIGHT": "   ROULER VERS LA DROITE"
"MENU_CATEGORY_CAR": "VOITURE / MOTO / BATEAU"
"PC_W_DEFAULT": "PAR DÉFAUT"
"PC_WEATHER_HINT": "LES PARAMÈTRES MÉTÉO"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "METTRE EN PAUSE"
"COMMUNITY_SUCCESS_LINK_EXT": "Ton compte Steam actuel a été lié à ton THQ ID avec succès."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Le compte Steam que tu utilises est lié à un THQ ID différent."
"CBA_GAC_WEAPON_SELECT_3": "   EMPLACEMENT ARME 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   TIR ARME 2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   MONTER"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   PIQUER DU NEZ"
"PLT_MENU_DISPLAY_1": "MONITEUR 1"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Le disque dur est plein.\nChoisis un autre emplacement pour tes sauvegardes."
"PC_VOICE_HINT": "ACTIVER/DÉSACTIVER TOUTES LES VOIX"
"PC_ZT_CUT": "COUPURE"
"CBA_MENU_PC_TEXT_CHAT": "   CHAT TEXTE"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RÉSOLUTION DE LA LUMINOSITÉ"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Échec de la modification des paramètres vidéo. Vos modifications ont été annulées."
"PLT_MENU_VOICE_DISABLED": "DÉSACTIVÉ"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Plus d'emplacements de sauvegarde libres. Pour sauvegarder, il faut écraser une ancienne sauvegarde ou sauvegarder dans un autre emplacement."
"PC_EXPORT_LOCK": "VERROUILLAGE EXPORTATION"
"PC_EXPORT_SETTINGS": "EXPORTER PARAMÈTRES"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Es-tu certain de vouloir effacer ce clip? Cette action sera irréversible."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG}PASSER À L'ARME SUIVANTE\n{PREV_WEAPON_IMG} REVENIR À L'ARME PRÉCÉDENTE"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (ACTIVER)"
"CBA_VDC_PLANE_TURN_LEFT": "   ROULER VERS LA GAUCHE"
"PLT_ANISOTROPIC_TWO": "ANISOTROPE 2X"
"PLT_MENU_MED_DX10_ONLY": "MOYEN (DX10 ou plus)"
"PC_WATERMARK": "TATOUAGE NUMÉRIQUE"
"PC_SELECT_TARGET_HINT": "UTILISE LES COMMANDES POUR CHOISIR UNE CIBLE"
"PC_DOF_OFF": "ÉTEINTE"
"PC_AV_OPTIONS_HINT": "AFFICHER LA FENÊTRE OPTIONS ENVIRONNEMENT"
"PC_PLAY_FAST_HINT": "LECTURE ACCÉLÉRÉE DE LA SÉQUENCE DE JEU ENREGISTRÉE"
"PCACTION_CONSUME_DOWN": "CONSUMER BAS"
"PCACTION_RELOAD": "RECHARGER ARME"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "SE MET EN PAUSE AUTOMATIQUEMENT SI LA FENÊTRE DU JEU N'EST PAS LA FENÊTRE ACTIVE"
"CBA_OFC_SPRINT": "   SPRINTER (MAINTENIR)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPE 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "APPUYER POUR PARLER"
"PC_SM_FAST": "RAPIDE"
"PC_CAMERA_DONE": "TERMINÉ"
"PLAYBACK_MODE_WARNING_TEXT": "Ceci arrêtera l'enregistrement en cours et te permettra de l'éditer, le sauver et l'exporter en format vidéo. Pour enregistrer un nouveau clip Cinéma, tu dois retourner au menu principal. Passer à l'éditeur de clip Cinéma?"
"PCACTION_FORWARD": "AVANCER"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (HAUT)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "SAUVEGARDE ANNULÉE."
"STATS_CORRUPT_TITLE": "STATS ENDOMMAGÉES"
"COMMUNITY_SITE_BLURB": "Télécharge ton personnage pour obtenir un succès.\nParcours les personnages pour jouer à Saints Row: The Third.\nJoue dans une carte de la communauté en temps réel ou dans ta propre carte personnalisée.\nParticipe aux défis de la communauté.\nReçois des rabais exclusifs à la communauté sur la marchandise et contenu de jeu Saints Row."
"CBA_OFC_TAUNT_TWO": "   VANNE"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   DROITE"
"PC_PLAY_HINT": "LIRE LA SÉQUENCE DE JEU ENREGISTRÉE"
"PC_EXPORTING_VIDEO": "EXPORTATION VIDÉO"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   RECRUTER / RENVOYER"
"CBA_OFC_ATTACK_PRIMARY": "   ATTAQUE"
"CBA_VDC_HELI_UP": "   MONTER"
"MENU_CATEGORY_TANK": "TANK"
"PC_W_THUNDERSTORM": "ORAGE"
"PC_FADE_HUD": "FONDU ATH"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "ACTION"
