"CUST_ITEM_CF_HAIR_MED": "DO RAMION"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Wpływ na większy obszar."
"VEHICLE_COLOR_TINT_60": "ODCIEŃ 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "BUTY ŻOŁNIERZA PRZYSZŁOŚCI"
"CUST_TATTOO_TORSO_CHEST": "KLATKA PIERSIOWA"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "WYRAZ TWARZY"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "DŁUGOŚĆ NOZDRZY"
"RIM_SET_018": "ZESTAW FELG 18"
"HAIR_COLOR_GRAY_MATTE": "MATOWE SIWE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "KOSZULA Z KOŁNIERZYKIEM B \"MIEJSKIE SAFARI\""
"CUST_VARIANT_HOOD_AND_POCKET": "KAPTUR, KIESZEŃ"
"CUST_VARIANT_SILK": "JEDWAB"
"CUST_VARIANT_LATEX": "LATEKS"
"CUST_ITEM_IMPRESSIONS_MALE_O": "STYL MANHATTANU"
"CUST_ITEM_CM_STAG": "ELITA STAG"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "KSZTAŁT PODBRÓDKA"
"CUST_COLOR_CLOTHING_GREENS_3": "ZIELONY 3"
"SLOT_BULL_HORNS": "KLAKSONY"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "ZWYKŁY"
"CUST_SKIN_BLUE_3": "BŁĘKIT NIEBA"
"CUST_COMPLIMENT_X": "ROZWALIĆ TĘ BUDĘ"
"CUST_VARIANT_STYLE_B": "STYL 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "BUTY KOSMICZNEJ KSIĘŻNICZKI"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "OKULARY PRZECIWSŁONECZNE 5.0"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MELOMAN"
"CUST_COLOR_GRAY_3": "SZARY 3"
"CUST_VARIANT_FADE_UP_JEANS": "WYPŁOWIAŁE"
"CUST_TATTOO": "TATUAŻ"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "WIELKOŚĆ GAŁEK OCZNYCH"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "GŁĘBOKOŚĆ CZOŁA"
"CUST_TATTOO_RARM_8": "ODROBINA WSZYSTKIEGO"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MATOWY"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATOWY MATERIAŁ"
"SLOT_GRILL_COLOR": "KOLOR ATRAPY"
"SLOT_SIDE_MIRRORS": "BOCZNE LUSTERKA"
"SLOT_DECAL_2": "NAKLEJKA 2"
"CUST_VARIANT_BASIC": "PODSTAWOWE"
"CUST_CAT_MAKEUP": "MAKIJAŻ"
"CUST_COLOR_CLOTHING_BLUES_2": "NIEBIESKI 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "CZERWONOPOMARAŃCZOWY 4"
"VEHICLE_COLOR_MORPH_BROWN": "ZMIENNY BRĄZ"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STYL 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "BAWIDAMEK"
"CUST_CAT_BACKPACK": "PLECAK"
"STORE_WEAPON_LEVEL": "POZIOM {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Zwiększa szybkostrzelność i pojemność amunicyjną. Celownik laserowy zwiększa celność ostrzału z biodra."
"CUST_VARIANT_DIRTY": "BRUDNE"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "KOSZULA DO KLUBU NOCNEGO"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "TOP \"MIEJSKIE SAFARI\""
"CUST_FACIAL_ITEMS": "RÓŻNE"
"CUST_VARIANT_SMALL_HEARTS": "MAŁE SERDUSZKA"
"CUST_VARIANT_GLOSSY": "BŁYSZCZĄCE"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "SKRÓĆCIE GO O GŁOWĘ"
"CUST_EYE_COLOR": "KOLOR OCZU"
"CUST_COLOR_CLOTHING_GREENS_7": "ZIELONY 7"
"CUST_COMP_FACE_SCAR_3": "DUŻA BLIZNA 3"
"CUST_COLOR_BRUNETTE": "CIEMNY"
"LOGO_MUSEUM_ART": "MUZEUM SZTUKI"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "KOSZULKA \"MIEJSKIE SAFARI\""
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "ROCKOWA OPASKA NA NADGARSTEK"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "WIADROWA SZAROŚĆ"
"CUST_VARIANT_BOWTIE": "NORMALNY"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "BUTY \"DEATHCORE\""
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "CZYSTE"
"CUST_WEAR_UNZIPPED_HOOD_UP": "ROZPIĘTA, PODNIESIONY KAPTUR"
"cm_toilet": "SEDES"
"CUST_ITEM_BANK_HEIST": "NAPAD NA BANK"
"CUST_MENU_GLOBAL": "CIAŁO"
"PLAYER_MORPH_EAR_LOBE_TEXT": "PŁATKI USZU"
"VEHICLE_COLOR_BLUE_DARK_TINT": "ODCIEŃ CIEMNEGO BŁĘKITU"
"CUST_VARIANT_LIGHT_SILVER": "JASNE SREBRO"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "ZIOMALSKA CZAPKA"
"CUST_ITEM_CM_BASIC_PARACHUTE": "PODSTAWOWY SPADOCHRON"
"PLAYER_FAT_TEXT": "GRUBY"
"CUST_COLOR_CLOTHING_BLUES_6": "NIEBIESKI 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "GŁĘBOKA SZAŁWIOWA ZIELEŃ"
"Blonde": "BLOND"
"CUST_VARIANT_LEOPARD": "LAMPART"
"CUST_ITEM_LEATHER_LACE_MALE_O": "STRÓJ \"OD ZERA DO SETKI\""
"CUST_COMP_TEST_MUSTACHE": "PRÓBNE WĄSY"
"SLOT_ADJUSTABLE_SUSPENSION": "REGULOWANE ZAWIESZENIE"
"SLOT_DECAL_6": "NAKLEJKA 6"
"SLOT_JUNK/CLUTTER": "RUPIECIE"
"CUST_COLOR_BLUE_2": "NIEBIESKI 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "HEŁM STAG"
"COLOR_SLOT_PAINT_3": "LAKIER 3"
"COLOR_SLOT_INTERIOR_3": "WNĘTRZE 3"
"SLOT_SPINNERS_REAR": "TYLNE SPINNERY"
"COMPONENT_OPTION_C": "OPCJA C (NIE POWINNA BYĆ UŻYWANA)"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "SKÓRZANE SPODNIE MOTOCYKLOWE"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "OPASKA \"SKÓRA I KORONKA\""
"CUST_ITEM_CF_CURLERS": "GOSPODYNI DOMU Z LAT 50."
"CUST_SAMEDI_COMPLIMENT_B": "KOMPLEMENT SAMEDI 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "FIOLETOWE PŁOMIENIE"
"CUST_TATTOO_RIGHT_ARM": "CAŁA PRAWA RĘKA"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "WYSOKOŚĆ NOZDRZY"
"VEHICLE_COLOR_COPPER_OXIDE": "TLENEK MIEDZI"
"SLOT_EXHAUST": "WYDECHY"
"CUST_WEAR_LEFT_ROLLED_LOW": "LEWY PODWINIĘTY, NISKO"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "RĘKAWICZKI DOMINY"
"CUST_SKIN_SMURF": "ELFI BŁĘKIT"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "GŁĘBOKOŚĆ GRZBIETU NOSA"
"SURGEON_CAT_EXPORT": "EKSPORT"
"SLOT_GRILL": "ATRAPY CHŁODNICY"
"FEMALE_HUGE": "KOBIETA - WIELKA"
"CUST_ITEM_FEMALE_LP_BRA_4": "GLAMOWA DZIEWCZYNA"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BRANSOLETKA \"BIP BUP\""
"CUST_SKIN_RED_YELLOW_3": "RÓŻ KSIĘŻNICZKI"
"CUST_SKIN_METAL_4": "SZMARAGDOWA"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "WIELKOŚĆ TĘCZÓWKI"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "GŁĘBOKOŚĆ BRWI"
"CUST_COLOR_CLOTHING_RED_5": "CZERWONY 5"
"FEMALE_OBESE": "KOBIETA - OTYŁA"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "MARSHA"
"PLAYER_CREATION_COLOR": "KOLOR"
"IRIDESCENT_5": "OPALIZUJĄCY 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "WIELKI ZŁY WILK"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "BLUZA ŚWIĘTYCH Z OPUSZCZONYM KAPTUREM"
"STORE_WEAPON_AVAILABLE": "DOSTĘPNE"
"PLAYER_CREATION_ADVANCED": "ZAAWANSOWANE"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "BŁĘKIT GŁĘBOKIEGO OCEANU"
"VEHICLE_COLOR_BROWN_DARK_TINT": "ODCIEŃ CIEMNEGO BRĄZU"
"VEHICLE_COLOR_CARBON_STEEL": "WĘGLOWA STAL"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "LAKIER 2 I LAKIER 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "KAPELUSZ 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "MĘSKI B \"UDAWAJMY\""
"FACIAL_EXPRESSION_SURPRISED": "ZASKOCZONY"
"CUST_COLOR_YELLOW_2": "ŻÓŁTY 2"
"CUST_VARIANT_SHARKS": "REKINY"
"CUST_WEAR_AGAINST SKIN": "SKÓRA"
"CUST_TATTOO_STOMACH_1": "DROGA HONORU"
"CUST_COMP_MUSTACHE_7": "RZADKIE"
"CUST_VARIANT_STRIPES_B": "PASY 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "WYPUSZCZONA, ZAPIĘTA"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "MAFIOZO"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "MOTOCYKLOWE OKULARY PRZECIWSŁONECZNE"
"CUST_ITEM_CF_HAIR_LONGASYM": "ASYMETRYCZNE"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "SWOBODNA SPÓDNICZKA"
"CUST_GENDER": "PŁEĆ"
"CUST_TATTOO_LEGS": "NOGI"
"CUST_COMPLIMENT_T": "APACZ"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "ROZSTAW POLICZKÓW"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "FIOLETOWONIEBIESKI 3"
"CUST_VARIANT_VERTICAL": "PIONOWE PASY"
"CUST_WEAR_ZIPPED_HOOD_UP": "ZAPIĘTA, PODNIESIONY KAPTUR"
"CUST_ITEM_CM_DLC_HAT_ABOY": "MELONIK"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "PIERŚCIONKI \"STYL ŚWIĘTYCH\""
"CUST_COMP_FINGERNAILS_R": "LAKIEROWANE PRAWE"
"RIM_SET_014": "ZESTAW FELG 14"
"SLOT_LEFT_SIDE": "LEWY BOK"
"SLOT_REAR_BUMPER_EXTRAS": "MODYFIKACJE TYLNYCH ZDERZAKÓW"
"CUST_VARIANT_PATTERN_B": "STYL 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "KAPELUSZ \"ACID HOUSE\""
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "KURTKA MOTOROWEROWA"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "WZNIESIENIE UST"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "NIEBIESKOZIELONY 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Zwiększa pojemność magazynka."
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "CZERWONY 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "BLUZA Z KAPTUREM \"OG\""
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "TOP CUKIERKOWEJ DZIEWCZYNY"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "SZEROKOŚĆ CZOŁA"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "CZERWONOPOMARAŃCZOWY 8"
"SLOT_FRONT_BUMPER_EXTRAS": "MODYFIKACJE PRZEDNICH ZDERZAKÓW"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "WYPUSZCZONA, ROZPIĘTA, KRAWAT"
"CUST_ITEM_CF_RING_F_RAVERSET": "PIERŚCIONKI \"ACID HOUSE\""
"CUST_TATTOO_UPPER_ARM_LEFT": "GÓRNA CZĘŚĆ LEWEJ RĘKI"
"CUST_TATTOO_RARM_4": "RYCERZ Z TRZECIEJ ULICY"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LIZAK"
"CUST_VARIANT_THICK_EYESHADOW": "GRUBY"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "PRAWY ROZPIĘTY, WYSOKO"
"CUST_SKIN_ASIAN_02": "AZJATYCKA 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "L. PODWINIĘTY, WYSOKO"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "T-SHIRT \"STARY ROCKER\""
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "SPODENKI \"WIELKI TYŁEK\""
"FACIAL_EXPRESSION_PAIN": "BÓL"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSKULATURA"
"PLAYER_MORPH_ASIAN_TEXT": "AZJATYCKI"
"CUST_ITEM_PLASTIC_SANDALS": "PLASTIKOWE SANDAŁY"
"CUST_SKIN_CAUCASIAN_03": "KAUKASKA 3"
"CUST_GANG_BIKER": "MOTOCYKLISTA"
"CUST_COMP_MUSTACHE_24": "BALBO"
"VEHICLE_COLOR_BRASS": "MOSIĄDZ"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "PRZEDNIE SPINNERY"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "MANIACZKA ĆWICZEŃ"
"VEHICLE_COLOR_DRAGON_BLUE": "SMOCZY BŁĘKIT"
"CUST_COLOR_BRIGHT_BLUE": "JASNONIEBIESKI"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "KAPELUSZ ALFONSA \"STYL Z\""
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "SKÓRZANA KURTKA \"MAMBA\""
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "WYSOKOŚĆ PODBRÓDKA"
"CUST_TATTOO_LFORARM_6": "PANCERNA SKÓRA"
"SLOT_ROOF": "DACHY"
"SLOT_LOGO": "LOGO"
"HAIR_COLOR_REDHEAD": "RUDE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DILER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "RĘKAWICE BOHATERKI STEELPORT"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Zwiększa pojemność magazynka."
"CUST_VARIANT_LIGHT_STEEL": "JASNA STAL"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "CAŁE PLECY"
"PLAYER_MORPH_CROWN_TEXT": "CIEMIĘ"
"WARDROBE_NONE": "BRAK"
"CUST_COLOR_CLOTHING_VIOLET_5": "FIOLETOWY 5"
"CUST_COMP_EYES_GREY": "SZARE"
"SLOT_REAR_WHEELS": "TYLNE KOŁA"
"CUST_COLOR_AUBURN": "KASZTANOWY"
"CUST_VARIANT_08_DEFAULT": "WARIANT 8"
"CUST_WEAR_BACK_LEFT": "TYŁ LEWO"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "CIASTECZKOWE KORALIKI DISCO"
"CUST_ITEM_SHADES_11": "OHYDNE OKULARY PRZECIWSŁONECZNE"
"CUST_CAT_FINGERNAILS": "PAZNOKCIE"
"CUST_TATTOO_HEAD_TOP": "CZUBEK GŁOWY"
"CUST_BRO_COMPLIMENT_D": "KOMPLEMENT BRACTWA 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "ŻÓŁTY 6"
"CUST_TATTOO_RUPPARM_6": "MIŁOŚĆ DO MAMY"
"LOGO_RHOMBUS_1": "ROMB 1"
"CUST_VARIANT_HORIZONTAL": "POZIOME PASY"
"CUST_WEAR_TATTOO_MAO_DESIGN": "KRÓJ MAO"
"CUST_ITEM_CM_DECKERSHEADSET": "ZESTAW ASTRO A40 DECKERÓW"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "ULICZNA CZAPECZKA STEELPORT"
"VEHICLE_COLOR_WET_LEAF_BROWN": "BRĄZ MOKRYCH LIŚCI"
"SLOT_MUDFLAP": "CHLAPACZE"
"CUST_ITEM_FEMALE_LL_BRA_1": "ZAKOCHANA"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BRANSOLETKA \"BIP BUP\""
"PLAYER_CREATION_AGE_MIDDLE": "W ŚREDNIM WIEKU"
"PLAYER_MORPH_NOSE_YAW_TEXT": "ODCHYLENIE NOSA"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "BARDZO JASNA BIEL"
"CUST_WEAR_TATTOO_BARBED_WIRE": "DRUT KOLCZASTY"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "DŁUGOŚĆ NOSA"
"SLOT_CASKET": "TRUMNA"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "WPUSZCZONA, ZAPIĘTA, NISK. SPODNIE, SZELKI"
"CUST_ITEM_CF_RING_F_EYEBALL": "PIERŚCIONEK \"OKO\""
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "LEDWO WIDOCZNE STRINGI ŚWIĘTYCH"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "OPASKA SPORTOWA"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Celownik laserowy zwiększa celność ostrzału z biodra. Amunicja przeciwpancerna przebija pancerze."
"CUST_COMP_MUSTACHE_20": "KOZIA BRÓDKA"
"VEHICLE_PAINT_SHINY_MATERIAL": "BŁYSZCZĄCY MATERIAŁ"
"LOGO_DRAGON": "SMOK"
"CUST_VARIANT_FADEUP_JEANS": "WYPŁOWIAŁE"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "WYPUSZCZONA, GÓRNY GUZIK, KRAWAT"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "ORYGINALNA GANGSTERSKA BLUZA"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "ULICZNA WOJOWNICZKA"
"CUST_ITEM_6_LOOPS_LEFT": "6 KÓŁEK"
"CUST_WEAR_HOOP": "KÓŁKO"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "STEAMPUNKOWY WYNALAZCA"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "FAŁDA POWIEK"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "KLUCZ LILA"
"COLOR_SLOT_TRIM_1": "DODATKI 1"
"SLOT_FRONT_MODS": "MODYFIKACJE PRZODU"
"CUST_COLOR_BRIGHT_PURPLE": "JASNOFIOLETOWY"
"COMPONENT_PAINT_3": "LAKIER 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "PIĘKNOŚĆ BEZ SKAZY"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "MĘSKI C \"PLANETA ŚWIĘTYCH\""
"CUST_ITEM_BASEBALL_CAP": "CZAPECZKA BEJSBOLOWA"
"CUST_COLOR_CLOTHING_YELLOWS_2": "ŻÓŁTY 2"
"CUST_TATTOO_RUPPARM_2": "8-BITOWY GAT"
"CUST_VARIANT_LOOPS": "KÓŁKA"
"CUST_VARIANT_FLAMES": "PŁOMIENIE"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "OBCISŁY KOMBINEZON"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "KAPITAŃSKI KAPELUSZ"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "NACHYLENIE GÓRNEJ POWIEKI"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "KSZTAŁT NOSA"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "SZEROKOŚĆ GRZBIETU NOSA"
"CUST_COLOR_CLOTHING_VIOLET_1": "FIOLETOWY 1"
"HAIR_COLOR_PURPLE_MATTE": "MATOWY FIOLET"
"CUST_ITEM_CF_HAIR_PIGTAILS": "LEDWO LEGALNA"
"FACIAL_EXPRESSION_PAIN_B": "KATUSZE"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "SZEROKOŚĆ BRWI"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Zwiększa pojemność magazynka. Dwójnóg zmniejsza odrzut."
"COLOR_SLOT_WINDOW_TINT": "PRZYCIEMNIENIE OKIEN"
"LOGO_COFFEE": "KAWA"
"LOGO_SHARKS_1": "REKINY 1"
"CUST_WEAR_FORWARD_LEFT": "PRZÓD LEWO"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "CZERWONY 9"
"CUST_VARIANT_TRACK_A2": "STYL 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "WPUSZCZONA, ZAPIĘTA, NISK. SPODNIE, SZELKI, KRAWAT"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "OPASKA NA NADGARSTEK"
"CUST_ITEM_FEMALE_LL_BRA_5": "ZAKRYJ SUTKI"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "TENISÓWKI ŚWIĘTYCH"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "FIOLETOWONIEBIESKI 7"
"SLOT_KNEECAPPERS_DESC": "Dzięki chowanym ostrzom w kołach możesz ranić ludzi i uszkadzać pojazdy jadąc blisko nich."
"CUST_VARIANT_TRACK_PANTS": "JEDNOLITE"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "BUTY MODELA"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "WIELKOŚĆ CZUBKÓW"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "DŁUGOŚĆ PODBRÓDKA"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Zwiększa obrażenia."
"CUST_TATTOO_STOMACH_5": "NIETOPERZE ANARCHII"
"CUST_COMP_MUSTACHE_3": "GLINIARSKIE"
"RIM_200": "RBP STRIKER 3 ELEMENTY"
"SLOT_HUBCAPS_FRONT": "PRZEDNIE KOŁPAKI"
"CUST_COLOR_BRIGHT_RED": "JASNORUDY"
"LOGO_FIST": "PIĘŚĆ"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "CIEMNE OBCISŁE SPODNIE"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "CZAPECZKA LILA"
"CUST_COMPLIMENT_P": "SREBRNY POCISK"
"COMPONENT_ADD_SUSPENSION": "REGULOWANE ZAWIESZENIE"
"SLOT_KNEECAPPERS": "OSTRZA W KOŁACH"
"SLOT_SPEED_UPGRADE": "ZWIĘKSZENIE SZYBKOŚCI"
"CUST_COLOR_ROSE_1": "RÓŻOWY 1"
"CUST_VARIANT_HEARTS_BIG": "WIELKIE SERCA"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "MASKA SUPERBOHATERA"
"VEHICLE_COLOR_TOREADOR_RED": "TOREADORSKA CZERWIEŃ"
"RIM_SET_010": "ZESTAW FELG 10"
"CUST_VARIANT_THIN_STRIPES": "CIENKIE PASY"
"CUST_MENU_EXIT": "ROZPOCZNIJ GRĘ"
"VEHICLE_COLOR_PLATINUM": "PLATYNA"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "SWETER \"DZIKI WYBIEG\" "
