"MENU_LEFT_MOUSE": "Ratón izq."
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Cargando contenido. Espera."
"PC_ADVANCED_MODE_HINT": "PERMITE TÉCNICAS DE EDICIÓN MÁS AVANZADAS"
"BTN_LTRIGGER_TXT": "EL BOTÓN A"
"BTN_WHITE_TXT": "EL BOTÓN A"
"PCACTION_JUMP": "SALTAR"
"HASH_D889CE89": "ELEGIR RESOLUCIÓN"
"HASH_70DB6EC9": "EN LÍNEA"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} MUÑECO DE TRAPO \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} GUÍA AL PERSONAJE EN EL AIRE"
"CONTROL_L_STICK": "STICK IZQUIERDO"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (MANTENER)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   MOVER A DERECHA"
"PC_CLIP_ACTIONS": "ELEGIR UNA ACCIÓN A REALIZAR SOBRE ESTE CLIP"
"PC_CA_CLONE": "CREAR UNA COPIA"
"PC_DOF_WIDE": "LARGO PLANO"
"PC_EDIT_WARNING": "ATENCIÓN"
"PC_SHOW_KEYS": "MOSTRAR TECLAS"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "PARA SUSTITUIR %ls POR %ls"
"PCACTION_ACCELERATE": "ACELERAR"
"PCACTION_CONSUME_RIGHT": "CONSUMIR DERECHA"
"PC_RECORD_MODE_QUALITY_MED": "720p (MEDIA)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VÍDEO GUARDADO. QUIZÁS SE HAYA PERDIDO PARTE DEL CONTENIDO. CONFIGURA LA GRABACIÓN A LA CALIDAD MÁS BAJA PARA PREVENIR LA PÉRDIDA DE INFORMACIÓN."
"CBA_OFC_ATTACK_SECONDARY": "   LANZAR GRANADA"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTRÓPICO 16X"
"PC_PROPS_EXIT_HINT": "CIERRA EL CUADRO DE DIÁLOGO DE PROPIEDADES"
"HASH_342C548B": "INVITACIÓN"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Si usas trucos no podrás obtener logros ni usar la función de autoguardado. \n\n¿Sigues queriendo activar el truco?"
"CBA_VDC_PLANE_TURN_LEFT2": "   VIRAR A IZQUIERDA"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "UN SOLO CUADRO O ACUMULATIVO"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "ELIGE EL NIVEL DE RENDIMIENTO DE TU MÁQUINA"
"PC_UNBOUND_KEY": "SIN ASIGNAR"
"PLT_MENU_STANDARD": "ESTÁNDAR"
"MULTI_MENU_SYSLINK": "PARTIDA LAN"
"PC_CAM_MODE_HINT": "CÓMO SE COMPORTA LA CÁMARA EN ESTA ZONA DE CÁMARA"
"PCACTION_WEAPON_1": "ARMA 1"
"SAVE_CLIP_NAME": "Escribe un nombre para este clip."
"PLT_MENU_VIEW_GAMERCARD": "VER PERFIL DE STEAM"
"CBA_GAC_WEAPON_SELECT_1": "   RANURA DE ARMA 1"
"CBA_OFC_WALK_TOGGLE": "   ANDAR (CAMBIAR)"
"CBA_OFC_CROUCH": "   AGACHARSE (MANTENER)"
"CBA_VDC_BRAKE_REVERSE": "   FRENAR/MARCHA ATRÁS"
"PLT_MENU_VSYNC": "SINCRONIZACIÓN VERTICAL"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Se restablecerá la configuración predeterminada y elegirá una base predefinida en tu tarjeta de vídeo. ¿Quieres continuar?"
"PLT_MENU_DISPLAY_3": "TERCIARIO"
"PLT_MENU_AUDIO_VOICE_ENABLE": "CHARLA DE VOZ"
"PC_EASE_HINT": "REVISA LOS TIPOS DE MEZCLA DE ANIMACIÓN"
"PC_DELETE_CZ_HINT": "BORRA LA ZONA DE CÁMARA ACTUAL"
"BTN_A_TXT": "EL BOTÓN A"
"MENU_VIDEO_RECORD_MODE": "MODO GRABACIÓN DE VÍDEO"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Imposible activar el modo de grabación de vídeo. Se necesita más memoria."
"COMMUNITY_BLURB_HEADER": "Únete a la comunidad de Saints Row en SaintsRow.com "
"SAVING_CONTENT_TITLE": "Guardando contenido."
"MENU_CONTROLS_STICK": "ACEL./FRENAR CON STICK IZQUIERDO"
"PLT_MENU_REFLECTIONS_TOOLTIP": "ACTIVA REFLEXIONES DE SOMBRAS REGULARES O GEOMÉTRICAS"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "CONTROLA LA CANTIDAD Y EL DETALLE DE LOS ELEMENTOS EN ESCENA"
"MULTI_GAMETYPE_1": "PARTIDA LAN"
"PC_TOD_NOON": "MEDIODÍA"
"PC_TOD": "HORA DEL DÍA"
"PC_GS_PEOPLE": "PERSONAS"
"PC_POSITION_CAMERA_HINT": "USA LOS CONTROLES PARA COLOCAR LA CÁMARA"
"BTN_LTHUMB_TXT": "STICK IZQUIERDO"
"PC_RECORD_MODE_ERROR_NO_CODEC": "No se encuentra el códec de vídeo necesario para usar este modo. Consulta el archivo LÉEME para más información sobre cómo se instala."
"MENU_PRIMARY_ASSIGNMENT": "ASIGNACIÓN DEL BOTÓN PRIMARIO"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   FRENAR/MARCHA ATRÁS"
"PLT_MENU_SCENE_DETAIL": "    DETALLE DE ESCENA"
"PC_OUTPUT_ONLY": "MOSTRAR SOLO SALIDA"
"PC_GS_PLAYER": "JUGADOR"
"PC_CM_FOLLOW": "SEGUIR"
"PC_CAMERA_LOCKED": "CÁMARA BLOQUEADA"
"MENU_CHANGES_MADE_TITLE": "¿APLICAR CAMBIOS?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   GIROS BRUSCOS"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   SUBIR"
"PC_W_CLEAR": "CLARO"
"PC_CAMERA_ZONE": "ZONA DE CÁMARA"
"BTN_Y_TXT": "EL BOTÓN A"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ACTIVA O DESACTIVA LOS SUBTÍTULOS"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} MOVERSE\nMUEVE EL RATÓN PARA MIRAR\n{SKYDIVE_FLIP_IMG} VOLTEAR HACIA ARRIBA O HACIA ABAJO"
"MENU_RESTORE_ALL_DEFAULTS": "RESTABLECER A PREDETERMINADO"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   MOVER A IZQUIERDA"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "El disco duro no dispone de espacio suficiente.\nSi continúas, no podrás guardar la partida.\n¿Continuar?"
"PC_ZT_BLEND": "FUNDIR"
"PC_SAVE_HINT": "GUARDA LAS EDICIONES DE CLIP"
"PC_COPY_NEXT_HINT": "CREA UNA NUEVA ZONA DE CÁMARA BASADA EN LA SIGUIENTE ZONA"
"PCACTION_STRAFE_RIGHT": "RÁFAGA DERECHA"
"MENU_GAMEPLAY": "JUEGO"
"MENU_MOUSE_CONTROLS_VERT_SENS": "SENSIBILIDAD VERTICAL"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "¿Quieres guardar esta configuración?\nLos cambios se restablecerán en 15 segundos."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "QUÉ MONITOR USAR PARA PANTALLA COMPLETA"
"PC_DOF": "PROFUNDIDAD DE CAMPO"
"RECORD_MODE_WARNING_TEXT": "Grabar clips de cine desactivará todas las misiones, actividades, tiendas y música del juego hasta que vuelvas al menú principal. ¿Comenzar la grabación de un clip de cine?"
"PC_HIDE_KEYS": "OCULTAR TECLAS"
"TUT_TITLE_SPRINT": "BOTÓN INCREÍBLE"
"PC_COMMUNITY_AGE_FIELD": "EDAD (MM.DD.AAAA)"
"MENU_OPTIONS_REMAP": "CONFIGURAR TECLAS Y BOTONES"
"CBA_OFC_ZOOM_OUT": "   REDUCIR ALCANCE"
"PLT_MENU_RESOLUTIONS": "RESOLUCIONES"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "EL BOTÓN A"
"PCACTION_WEAPON_5": "ARMA 5"
"PCACTION_ATTACK_SECONDARY": "ATAQUE SECUNDARIO"
"HUD_ZOMBIE_BITE_ESCAPE": "¡Pulsa cualquier botón para escapar!"
"MENU_AIRPLANE_HANDLING": "MANEJO DEL AVIÓN"
"MENU_MOUSE_BUTTON_4": "Ratón 4"
"CBA_GAC_GRENADE_SELECT_1": "   RANURA DE GRANADA 1"
"CBA_OFC_JUMP_CLIMB": "   SALTAR/TREPAR"
"PC_ROTATION_SENSITIVITY": "SENSIBILIDAD ROTACIÓN"
"PC_SLOWMO": "VELOCIDAD DE REPRODUCCIÓN"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "CAMBIA A DIFERENTES TIPOS DE CONTROLES"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "VER PERFIL DEL JUGADOR DE STEAM"
"MENU_CONTROLLER_OPTIONS": "OPCIONES DEL MANDO"
"PC_EDIT_PROPS_HINT": "MUESTRA EL CUADRO DE DIÁLOGO DE PROPIEDADES DE LA ZONA DE CÁMARA"
"PC_ADDITIONAL_PROPS": "PROPIEDADES ADICIONALES"
"PC_NEW_ZONE": "NUEVA ZONA"
"MENU_OPTIONS_MOUSE": "CONTROLES"
"CBA_GAC_WEAPON_SELECT_5": "   RANURA DE ARMA 5"
"CBA_VDC_PLANE_ACCELERATE": "   ACELERAR"
"MENU_CATEGORY": "CATEGORÍA"
"PLT_MENU_ASPECT_TOOLTIP": "LA RELACIÓN DE ASPECTO SOLO SE PUEDE MODIFICAR EN EL MENÚ PRINCIPAL"
"PC_CM_DEFAULT": "PREDETERMINADO"
"PC_COPY_CURRENT": "COPIAR ACTUAL"
"COMMUNITY_EXISTING_FOUND_TEXT": "Hemos encontrado un THQ ID asociado a tu cuenta de Steam. Inicia sesión con tu cuenta."
"CBA_VDC_PREV_RADIO": "   EMISORA ANTERIOR"
"PLT_MENU_POST_PROCESSING_DETAIL": "    DETALLE POSPROCESADO"
"BTN_RTHUMB_TXT": "STICK DERECHO"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "RETROCEDER"
"HASH_0AEDCF17": "Se ha producido un error de red.\nVolviendo al menú principal..."
"PC_VIDEO_QUALITY": "CALIDAD DE VÍDEO"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Ahora es cuando comienza el verdadero juego >:)\n\nPulsa cualquier tecla para continuar"
"CBA_VDC_LOOK_BEHIND": "   INVERTIR CÁMARA"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   MEDIA VUELTA"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   ROTACIÓN COMPLETA"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "PAUSAR AUTOMÁTICAMENTE SI EL JUEGO NO ESTÁ EN FOCO"
"PC_ROTATION_SENSITIVITY_HINT": "SENSIBILIDAD DE ROTACIÓN DE LA CÁMARA"
"PCACTION_ATTACK_PRIMARY": "ATAQUE PRINCIPAL"
"TUT_SPRINT": "{SPRINT_IMG} CORRER\nCorrer modifica otras acciones de formas Increíbles. ¡Prueba distintas combinaciones de botones al correr para descubrirlas todas!"
"NOT_LOGGED_IN": "Reconéctate a Internet o usa el Modo Conectado de Steam para usar esta opción."
"CBA_GAC_GRENADE_SWITCH": "   GRANADA SIGUIENTE"
"CBA_GAC_MAP_MENU": "   TELÉFONO"
"PLT_MENU_VSYNC_TOOLTIP": "LA SINCRONIZACIÓN VERTICAL EVITA EL SECCIONAMIENTO EN PANTALLA COMPLETA "
"MENU_OFF": "DESACTIVADO"
"PLT_MENU_VOICE_ALWAYS_ON": "SIEMPRE ENCENDIDO"
"PLT_QUIT_GAME_WARNING": "¿Seguro que quieres salir al escritorio?"
"PC_TOD_NIGHT": "NOCHE"
"PC_TOD_HINT": "AJUSTES DE ILUMINACIÓN"
"PC_DOF_CLOSEUP": "PRIMER PLANO"
"PC_OPTIONS_HINT": "MUESTRA LAS OPCIONES GENERALES"
"PC_SHOW_HUD": "MOSTRAR HUD"
"PCACTION_HORN": "CLAXON"
"CONTROLS_FORCE_FEED": "VIBRACIÓN"
"STATS_CORRUPT_BODY": "Se han dañado tus estadísticas y deberás reiniciar.\nEsta acción no afectará a los logros que hayas conseguido."
"PC_PLAY_SLOW_HINT": "REPRODUCCIÓN LENTA DEL JUEGO GRABADO"
"HASH_C407C71A": "Se ha perdido la conexión con GOG.\nVolviendo al menú principal."
"TUT_COMBAT_MELEE_2": "Durante un ATAQUE POTENTE, pulsa el botón mostrado para causar más daño y obtener más respeto."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "CONFIGURA SI EL MINIMAPA GIRA DEPENDIENDO DE LA VISTA DE LA CÁMARA"
"CONTROL_R_STICK": "STICK DERECHO"
"MENU_CHANGES_MADE_BODY": "Se han hecho cambios. ¿Quieres aplicar los cambios actuales?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RESOLUCIÓN DEL MAPA DE SOMBRAS"
"PLT_MENU_REFLECTIONS": "    REFLEJOS"
"PLT_MENU_DISPLAY_2": "SECUNDARIO"
"PC_CREATE_CHAR_HINT": "CREAR O IMPORTA UN NUEVO MODELO DE PERSONAJE"
"PC_CAM_TILT": "INCLINACIÓN DE CÁMARA"
"HUD_PICK_UP_MESSAGE": "RECOGER %ls"
"MENU_DISCARD": "DESECHAR"
"PC_CM_STATIC": "ESTÁTICO"
"PC_FOV": "CAMPO DE VISIÓN"
"PCACTION_FINE_AIM": "APUNTAR CON PRECISIÓN"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (DERECHA)"
"CBA_GAC_GRENADE_SELECT_4": "   RANURA DE GRANADA 4"
"CBA_VDC_FIREARM": "   ARMA DE FUEGO"
"MENU_PC_CHAT": "CHARLA"
"PC_DOF_DIST": "DISTANCIA PDC"
"PLAYBACK_MODE_WARNING": "EDITAR CLIPS DE CINE"
"BTN_B_TXT": "EL BOTÓN A"
"PCACTION_BREAK": "FRENO DE MANO"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Imposible guardar el vídeo. Se necesita más espacio en el disco."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   MOVER A DERECHA"
"MENU_CATEGORY_ONFOOT": "A PIE"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "%ls A DOS MANOS"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "EL BOTÓN A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "CONFIGURA A QUÉ VELOCIDAD LA CÁMARA VUELVE A SU POSICIÓN NORMAL"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Tu cuenta de Steam no está asociada a un THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} DIRIGIR \n{ATTACK_PRIMARY_IMG} PUÑETAZO\nGolpea a Killbane para que siga moviéndose en la dirección elegida."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "¿ACEPTAR LA CONFIGURACIÓN?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "SINCRONIZACIÓN VERTICAL DURANTE EL JUEGO"
"PLT_MENU_WINDOWED": "VENTANA"
"PLT_MENU_DISPLAY_PRESET": "PREDETERMINADO"
"PC_DOF_RANGE": "RANGO FOCAL PDC"
"PC_FOV_HINT": "CAMPO DE VISIÓN DE LA CÁMARA"
"PC_HANDYCAM_HINT": "FUERZA DEL MOVIMIENTO DE LA HANDYCAM"
"BTN_BACK_TXT": "EL BOTÓN A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "en"
"CBA_VDC_BIKE_LEAN_BACK": "   CABALLITO EN MOTO"
"CBA_VDC_PLANE_TURN_RIGHT": "   INCLINAR A DERECHA"
"MENU_CATEGORY_CAR": "COCHE/MOTO/BARCO"
"PC_W_DEFAULT": "PREDETERMINADO"
"PC_WEATHER_HINT": "AJUSTES DE CLIMA"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "DETIENE LA REPRODUCCIÓN"
"COMMUNITY_SUCCESS_LINK_EXT": "La cuenta de Steam actual se ha asociado correctamente a tu THQ ID."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "La cuenta de Steam que estás usando está asociada a otro THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   RANURA DE ARMA 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   ARMA DE FUEGO 2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   ASCENDER"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   BAJAR"
"PLT_MENU_DISPLAY_1": "PRIMARIO"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "El disco duro está lleno.\nElige otro lugar para guardar."
"PC_VOICE_HINT": "ACTIVA/DESACTIVA TODAS LAS VOCES"
"PC_ZT_CUT": "CORTAR"
"CBA_MENU_PC_TEXT_CHAT": "   CHARLA DE TEXTO"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RESOLUCIÓN DE LUCES"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "No se ha podido cambiar la configuración de vídeo. Los cambios se han anulado."
"PLT_MENU_VOICE_DISABLED": "DESACTIVADO"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "No tienes más ranuras de guardado. Para poder guardar tendrás que usar una ranura ya en uso o guardar en otro lugar."
"PC_EXPORT_LOCK": "BLOQUEAR EXPORTACIÓN"
"PC_EXPORT_SETTINGS": "AJUSTES DE EXPORTACIÓN"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "¿Seguro que quieres eliminar este clip? No podrás deshacer esta acción."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} CAMBIAR AL ARMA SIGUIENTE\n{PREV_WEAPON_IMG} CAMBIAR AL ARMA ANTERIOR"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (CAMBIAR)"
"CBA_VDC_PLANE_TURN_LEFT": "   INCLINAR A IZQUIERDA"
"PLT_ANISOTROPIC_TWO": "ANISOTRÓPICO 2X"
"PLT_MENU_MED_DX10_ONLY": "MEDIO (DX10 O SUPERIOR)"
"PC_WATERMARK": "MARCA DE AGUA"
"PC_SELECT_TARGET_HINT": "USA LOS CONTROLES PARA SELECCIONAR UN OBJETIVO"
"PC_DOF_OFF": "DESACTIVADO"
"PC_AV_OPTIONS_HINT": "MUESTRA LAS OPCIONES DE ENTORNO"
"PC_PLAY_FAST_HINT": "REPRODUCCIÓN RÁPIDA DEL JUEGO GRABADO"
"PCACTION_CONSUME_DOWN": "CONSUMIR ABAJO"
"PCACTION_RELOAD": "RECARGAR ARMA"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "PAUSAR AUTOMÁTICAMENTE SI LA VENTANA DE JUEGO NO ESTÁ EN FOCO"
"CBA_OFC_SPRINT": "   CORRER (MANTENER)"
"PLT_ANISOTROPIC_FOUR": "ANISOTRÓPICO 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "PULSAR PARA HABLAR"
"PC_SM_FAST": "RÁPIDA"
"PC_CAMERA_DONE": "HECHO"
"PLAYBACK_MODE_WARNING_TEXT": "Esto parará tu grabación actual y te permitirá editarla, guardarla y exportarla a un vídeo. Para grabar un nuevo clip de cine, debes volver al menú principal. ¿Seguro que quieres ir al editor del clip de cine?"
"PCACTION_FORWARD": "AVANZAR"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (ALTA)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "GUARDAR CANCELADO."
"STATS_CORRUPT_TITLE": "ESTADÍSTICAS DAÑADAS"
"COMMUNITY_SITE_BLURB": "Sube tu personaje para conseguir un logro.\nVisualiza personajes para jugar en Saints Row: The Third.\nDisfruta de un mapa comunitario a tiempo real y de tu propio mapa personalizado.\nParticipa en los desafíos de la comunidad.\nRecibe promociones especiales de mercancía y contenidos de juego de Saints Row solo para la comunidad."
"CBA_OFC_TAUNT_TWO": "   PROVOCACIÓN"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   MOVER A DERECHA"
"PC_PLAY_HINT": "REPRODUCE JUEGO GRABADO"
"PC_EXPORTING_VIDEO": "EXPORTANDO VÍDEO"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   RECLUTAR/DESPEDIR"
"CBA_OFC_ATTACK_PRIMARY": "   ATAQUE"
"CBA_VDC_HELI_UP": "   SUBIR"
"MENU_CATEGORY_TANK": "TANQUE"
"PC_W_THUNDERSTORM": "TORMENTA"
"PC_FADE_HUD": "DIFUMINAR HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "ACCIÓN"
"CBA_OFC_CROUCH_TOGGLE": "   AGACHARSE (CAMBIAR)"
"CBA_VDC_NEXT_RADIO": "   EMISORA SIGUIENTE"
"PLT_MENU_ASPECT": "RELACIÓN DE ASPECTO"
"PC_ENVIRONMENT": "ENTORNO"
"PC_GS_BACKGROUND_HINT": "ALTERNA EL RENDERIZADO DEL FONDO"
"PC_DOF_RANGE_HINT": "RANGO FOCAL DE LA PROFUNDIDAD DE CAMPO"
