"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0 GLASSES"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MUSIC JUNKIE"
"CUST_COLOR_GRAY_3": "GRAY 3"
"CUST_VARIANT_FADE_UP_JEANS": "FADED"
"CUST_TATTOO": "TATTOO"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "EYEBALL SIZE"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "FOREHEAD DEPTH"
"CUST_TATTOO_RARM_8": "TOUCH OF EVERYTHING"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MATTE"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATTE MATERIAL"
"SLOT_GRILL_COLOR": "GRILL COLOR"
"SLOT_SIDE_MIRRORS": "SIDE MIRRORS"
"SLOT_DECAL_2": "DECAL 2"
"CUST_VARIANT_BASIC": "BASIC"
"CUST_CAT_MAKEUP": "MAKEUP"
"CUST_COLOR_CLOTHING_BLUES_2": "BLUE 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "RED ORANGE 4"
"VEHICLE_COLOR_MORPH_BROWN": "MORPH BROWN"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STYLE 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "LADIES' MAN"
"CUST_CAT_BACKPACK": "BACKPACK"
"STORE_WEAPON_LEVEL": "LEVEL {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Increase rate of fire and clip size. Laser sight improves hip-firing accuracy."
"CUST_VARIANT_DIRTY": "DIRTY"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "NIGHTCLUB SHIRT"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "URBAN SAFARI TANK TOP"
"CUST_FACIAL_ITEMS": "ITEMS"
"CUST_VARIANT_SMALL_HEARTS": "SMALL HEARTS"
"CUST_VARIANT_GLOSSY": "GLOSSY"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "NECK SLICE"
"CUST_EYE_COLOR": "EYE COLOR"
"CUST_COLOR_CLOTHING_GREENS_7": "GREEN 7"
"CUST_COMP_FACE_SCAR_3": "LARGE SCAR 3"
"CUST_COLOR_BRUNETTE": "BRUNETTE"
"LOGO_MUSEUM_ART": "ART MUSEUM"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI WITH TEE"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "RAWK WRISTBAND"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "WATER BUCKET GRAY"
"CUST_VARIANT_BOWTIE": "NORMAL"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "DEATHCORE BOOTS"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "CLEAN"
"CUST_WEAR_UNZIPPED_HOOD_UP": "UNZIPPED, HOOD UP"
"cm_toilet": "TOILET"
"CUST_ITEM_BANK_HEIST": "BANK HEIST"
"CUST_MENU_GLOBAL": "BODY"
"PLAYER_MORPH_EAR_LOBE_TEXT": "EAR LOBE"
"VEHICLE_COLOR_BLUE_DARK_TINT": "BLUE DARK TINT"
"CUST_VARIANT_LIGHT_SILVER": "LIGHT SILVER"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "BRO HAT"
"CUST_ITEM_CM_BASIC_PARACHUTE": "BASIC PARACHUTE"
"PLAYER_FAT_TEXT": "FAT"
"CUST_COLOR_CLOTHING_BLUES_6": "BLUE 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "DEEP SAGE GREEN"
"Blonde": "BLONDE"
"CUST_VARIANT_LEOPARD": "LEOPARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "ZERO TO SIXTY SUIT"
"CUST_COMP_TEST_MUSTACHE": "TEST MUSTACHE"
"SLOT_ADJUSTABLE_SUSPENSION": "ADJUSTABLE SUSPENSION"
"SLOT_DECAL_6": "DECAL 6"
"SLOT_JUNK/CLUTTER": "JUNK/CLUTTER"
"CUST_COLOR_BLUE_2": "BLUE 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAG HELMET"
"COLOR_SLOT_PAINT_3": "PAINT 3"
"COLOR_SLOT_INTERIOR_3": "INTERIOR 3"
"SLOT_SPINNERS_REAR": "REAR SPINNERS"
"COMPONENT_OPTION_C": "OPTION C (SHOULD NOT BE USED)"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "LEATHER BIKER PANTS"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "LEATHER AND LACE WRISTBAND"
"CUST_ITEM_CF_CURLERS": "50'S HOUSEWIFE"
"CUST_SAMEDI_COMPLIMENT_B": "SAMEDI COMPLIMENT 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "PURPLE FLAMES"
"CUST_TATTOO_RIGHT_ARM": "WHOLE RIGHT ARM"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "NOSTRIL HEIGHT"
"VEHICLE_COLOR_COPPER_OXIDE": "COPPER OXIDE"
"SLOT_EXHAUST": "EXHAUSTS"
"CUST_WEAR_LEFT_ROLLED_LOW": "LEFT ROLLED, LOW"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "DOMINATRIX GLOVES"
"CUST_SKIN_SMURF": "BLUE ELF"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "BRIDGE DEPTH"
"SURGEON_CAT_EXPORT": "EXPORT"
"SLOT_GRILL": "GRILLS"
"FEMALE_HUGE": "FEMALE HUGE"
"CUST_ITEM_FEMALE_LP_BRA_4": "GLAM GIRL"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BEEP BOOP BRACELET"
"CUST_SKIN_RED_YELLOW_3": "PRINCESS PINK"
"CUST_SKIN_METAL_4": "EMERALD"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "IRIS SIZE"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "BROW DEPTH"
"CUST_COLOR_CLOTHING_RED_5": "RED 5"
"FEMALE_OBESE": "FEMALE OBESE"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "THE MARSHA"
"PLAYER_CREATION_COLOR": "COLOR"
"IRIDESCENT_5": "IRIDESCENT 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "BIG BAD WOLF"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "SAINTS HOODIE DOWN"
"STORE_WEAPON_AVAILABLE": "AVAILABLE"
"PLAYER_CREATION_ADVANCED": "ADVANCED"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "DEEP OCEAN BLUE"
"VEHICLE_COLOR_BROWN_DARK_TINT": "BROWN DARK TINT"
"VEHICLE_COLOR_CARBON_STEEL": "CARBON STEEL"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "PAINT 2 AND PAINT 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "HAT 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND MALE B"
"FACIAL_EXPRESSION_SURPRISED": "SURPRISED"
"CUST_COLOR_YELLOW_2": "YELLOW 2"
"CUST_VARIANT_SHARKS": "SHARKS"
"CUST_WEAR_AGAINST SKIN": "SKIN"
"CUST_TATTOO_STOMACH_1": "WAY OF HONOR"
"CUST_COMP_MUSTACHE_7": "MOLESTACHE"
"CUST_VARIANT_STRIPES_B": "STRIPES 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "UNTUCKED, BUTTONED"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "MADE MAN"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "BIKER SHADES"
"CUST_ITEM_CF_HAIR_LONGASYM": "LOPSIDED"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "CASUAL SKIRT"
"CUST_GENDER": "GENDER"
"CUST_TATTOO_LEGS": "LEGS"
"CUST_COMPLIMENT_T": "APACHE"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "CHEEK SPACING"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "VIOLET BLUE 3"
"CUST_VARIANT_VERTICAL": "VERTICAL STRIPES"
"CUST_WEAR_ZIPPED_HOOD_UP": "ZIPPED, HOOD UP"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BOWLER HAT"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "SAINTS STYLE RINGS"
"CUST_COMP_FINGERNAILS_R": "NAIL POLISH RIGHT"
"RIM_SET_014": "RIM SET 14"
"SLOT_LEFT_SIDE": "LEFT SIDE"
"SLOT_REAR_BUMPER_EXTRAS": "REAR BUMPER MODS"
"CUST_VARIANT_PATTERN_B": "STYLE 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ACID HOUSE HAT"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "POCKET ROCKET JACKET"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "MOUTH ELEVATION"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "BLUE GREEN 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Increase ammo capacity. "
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "RED 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "OG HOODIE"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "CANDY GIRL TANK TOP"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "FOREHEAD WIDTH"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "RED ORANGE 8"
"SLOT_FRONT_BUMPER_EXTRAS": "FRONT BUMPER MODS"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "UNTUCKED, UNBUTTONED, TIE"
"CUST_ITEM_CF_RING_F_RAVERSET": "ACID HOUSE RINGS"
"CUST_TATTOO_UPPER_ARM_LEFT": "UPPER LEFT ARM"
"CUST_TATTOO_RARM_4": "3RD STREET KNIGHT"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LOLLIPOP"
"CUST_VARIANT_THICK_EYESHADOW": "THICK"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "RIGHT UNZIPPED, HIGH"
"CUST_SKIN_ASIAN_02": "ASIAN 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "LEFT ROLLED, HIGH"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "WASHED UP ROCKER T"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "JUNK IN THE TRUNK PANTS"
"FACIAL_EXPRESSION_PAIN": "PAIN"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSCULARITY"
"PLAYER_MORPH_ASIAN_TEXT": "ASIAN"
"CUST_ITEM_PLASTIC_SANDALS": "PLASTIC SANDALS"
"CUST_SKIN_CAUCASIAN_03": "CAUCASIAN 3"
"CUST_GANG_BIKER": "BIKER"
"CUST_COMP_MUSTACHE_24": "BALBO"
"VEHICLE_COLOR_BRASS": "BRASS"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "FRONT SPINNERS"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "GYM RAT"
"VEHICLE_COLOR_DRAGON_BLUE": "DRAGON BLUE"
"CUST_COLOR_BRIGHT_BLUE": "BRIGHT BLUE"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "Z SYTLE PIMP HAT"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "MAMBA LEATHER JACKET"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "CHIN HEIGHT"
"CUST_TATTOO_LFORARM_6": "ARMORED SKIN"
"SLOT_ROOF": "ROOFS"
"SLOT_LOGO": "LOGOS"
"HAIR_COLOR_REDHEAD": "REDHEAD"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DRUG DEALER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "STEELPORT HEROINE GLOVES"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Increase ammo capacity. "
"CUST_VARIANT_LIGHT_STEEL": "LIGHT STEEL"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "WHOLE BACK"
"PLAYER_MORPH_CROWN_TEXT": "CROWN"
"WARDROBE_NONE": "NONE"
"CUST_COLOR_CLOTHING_VIOLET_5": "VIOLET 5"
"CUST_COMP_EYES_GREY": "GREY"
"SLOT_REAR_WHEELS": "REAR WHEELS"
"CUST_COLOR_AUBURN": "AUBURN"
"CUST_VARIANT_08_DEFAULT": "VARIANT 8"
"CUST_WEAR_BACK_LEFT": "BACK LEFT"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "DISCO BISCUIT BEADS"
"CUST_ITEM_SHADES_11": "FUGLY SHADES"
"CUST_CAT_FINGERNAILS": "FINGERNAILS"
"CUST_TATTOO_HEAD_TOP": "HEAD TOP"
"CUST_BRO_COMPLIMENT_D": "BROTHERHOOD COMPLIMENT 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "YELLOW 6"
"CUST_TATTOO_RUPPARM_6": "LOVE FOR MOM"
"LOGO_RHOMBUS_1": "RHOMBUS 1"
"CUST_VARIANT_HORIZONTAL": "HORIZONTAL STRIPES"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO DESIGN"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "STEELPORT STREET CAP"
"VEHICLE_COLOR_WET_LEAF_BROWN": "WET LEAF BROWN"
"SLOT_MUDFLAP": "MUD FLAPS"
"CUST_ITEM_FEMALE_LL_BRA_1": "LOVESTRUCK"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BEEP BOOP BRACELET"
"PLAYER_CREATION_AGE_MIDDLE": "MIDDLE AGED"
"PLAYER_MORPH_NOSE_YAW_TEXT": "NOSE YAW"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "ULTRA BRIGHT WHITE"
"CUST_WEAR_TATTOO_BARBED_WIRE": "BARBED WIRE"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "NOSE LENGTH"
"SLOT_CASKET": "CASKET"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "TUCKED, BUTTONED, LOW PANT, NO SUSPENDERS"
"CUST_ITEM_CF_RING_F_EYEBALL": "PRIVATE EYE RING"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "BARELY THERE SAINTS G STRING"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "SWEATBAND"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Laser sight improves hip-firing accuracy. Armor-piercing bullets pass through armor."
"CUST_COMP_MUSTACHE_20": "GOATEE"
"VEHICLE_PAINT_SHINY_MATERIAL": "SHINY MATERIAL"
"LOGO_DRAGON": "DRAGON"
"CUST_VARIANT_FADEUP_JEANS": "FADED"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "UNTUCKED, TOP BUTTON TIE"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "OG SWEATSHIRT"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "STREET FIGHTER"
"CUST_ITEM_6_LOOPS_LEFT": "6 LOOPS"
"CUST_WEAR_HOOP": "HOOP"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "STEAMPUNK INVENTOR"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "EYELID FOLD"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "FLEUR DE KEY"
"COLOR_SLOT_TRIM_1": "TRIM 1"
"SLOT_FRONT_MODS": "FRONT MODS"
"CUST_COLOR_BRIGHT_PURPLE": "BRIGHT PURPLE"
"COMPONENT_PAINT_3": "PAINT 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "FLAWLESS BEAUTY"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS MALE C"
"CUST_ITEM_BASEBALL_CAP": "BASEBALL CAP"
"CUST_COLOR_CLOTHING_YELLOWS_2": "YELLOW 2"
"CUST_TATTOO_RUPPARM_2": "8-BIT GAT"
"CUST_VARIANT_LOOPS": "LOOPS"
"CUST_VARIANT_FLAMES": "FLAMES"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "CATSUIT"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "CAPTAIN'S HAT"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "UPPER LID SLANT"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "NOSE SHAPE"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "BRIDGE WIDTH"
"CUST_COLOR_CLOTHING_VIOLET_1": "VIOLET 1"
"HAIR_COLOR_PURPLE_MATTE": "PURPLE MATTE"
"CUST_ITEM_CF_HAIR_PIGTAILS": "BARELY LEGAL"
"FACIAL_EXPRESSION_PAIN_B": "ANGUISH"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "BROW WIDTH"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Increase ammo capacity. Bipod reduces recoil."
"COLOR_SLOT_WINDOW_TINT": "WINDOW TINT"
"LOGO_COFFEE": "COFFEE"
"LOGO_SHARKS_1": "SHARKS 1"
"CUST_WEAR_FORWARD_LEFT": "FORWARD LEFT"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "RED 9"
"CUST_VARIANT_TRACK_A2": "STYLE 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "TUCKED, BUTTONED, LOW PANT, NO SUSPENDERS, TIE"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "WRISTBAND"
"CUST_ITEM_FEMALE_LL_BRA_5": "COVER YOUR NIPS"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "SAINTS STREETWALKS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "VIOLET BLUE 7"
"SLOT_KNEECAPPERS_DESC": "With retractable blades in your tires, driving close to vehicles and people can cause damage."
"CUST_VARIANT_TRACK_PANTS": "SOLID"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "MALE MODEL SHOES"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "TIP SIZE"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "CHIN LENGTH"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Increase damage."
"CUST_TATTOO_STOMACH_5": "BATS OF ANARCHY"
"CUST_COMP_MUSTACHE_3": "COPSTASH"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "FRONT HUBCAPS"
"CUST_COLOR_BRIGHT_RED": "BRIGHT RED"
"LOGO_FIST": "FIST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "DARK SKINNIES"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "FLEUR DE SAINTS CAP"
"CUST_COMPLIMENT_P": "THE SILVER BULLET"
"COMPONENT_ADD_SUSPENSION": "ADJUSTABLE SUSPENSION"
"SLOT_KNEECAPPERS": "KNEECAPPERS"
"SLOT_SPEED_UPGRADE": "SPEED UPGRADE"
"CUST_COLOR_ROSE_1": "ROSE 1"
"CUST_VARIANT_HEARTS_BIG": "BIG HEARTS"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "SUPERHERO MASK"
"VEHICLE_COLOR_TOREADOR_RED": "TOREADOR RED"
"RIM_SET_010": "RIM SET 10"
"CUST_VARIANT_THIN_STRIPES": "THIN STRIPES"
"CUST_MENU_EXIT": "START GAME"
"VEHICLE_COLOR_PLATINUM": "PLATINUM"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "WILD RUNWAY SWEATER"
"VEHICLE_PAINT_MATTE_PAINT": "MATTE PAINT"
"SLOT_REINFORCED_FRAME_DESC": "An upgraded frame is the key to your vehicle withstanding unreal punishment before exploding into scrap metal."
"SLOT_ANTENNA": "ANTENNAS"
"CUST_VARIANT_SEMI_GLOSSY": "SEMI-GLOSSY"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "FOREHEAD HEIGHT"
"PLAYER_MORPH_CHEEKBONES_TEXT": "CHEEKBONES"
"COMPONENT_NONE": "NONE"
"CUST_VARIANT_MULTICOLOR_SMALL": "MULTICOLOR SMALL"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "HILLS PARISIAN STYLE"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "NOSE HEIGHT"
"SLOT_EXTRAS": "EXTRAS"
"Cornhole": "CORNROW"
"STRAWBERRY_BLONDE": "STRAWBERRY BLONDE"
"COLOR_SLOT_RIM_1": "COLOR SLOT RIM 1 (SHOULD NOT BE USED)"
"CUST_VARIANT_BADGELESS": "NO BADGE"
"CUST_VARIANT_STRIPES": "HORIZONTAL STRIPES"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "PINK LIGHT TINT"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "LIGHT BROWN MATTE"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "BE MY VALENTINE G STRING"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "WOMENS STYLISH JACKET"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_2": "Increase rate of fire. Tech sight improves fine-aim accuracy."
"CUST_TATTOO_UPPBACK_2": "DEATH IF CROSSED"
"CUST_ITEM_CM_HAIR_DREADS": "THE MARLEY"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "WORK ZONE BOOTS"
"LOGO_SECTION9": "SECTION 9"
"CUST_ITEM_CM_IMPB_UBDY_M_JDRSSHIRT": "DRESSED TO IMPRESS"
"CUST_ITEM_FEMALE_NLM_OUTFIT_E": "WAKE AND BAKE"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "MURDERBRAWL WRAPS"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "MOUTH HEIGHT"
"STORE_WEAPON_BUY_UPGRADE": "BUY/UPGRADE WEAPONS"
"CUST_COMP_EYE_MAKEUP_7": "WINGS"
"HAIR_COLOR_ORANGE": "ORANGE"
"LOGO_NUMBER5": "NUMBER 5"
"LOGO_KBOOM": "KBOOM WMD108"
"LOGO_SKEETERS_3": "SKEETERS 3"
"CUST_VARIANT_PETALS": "PETALS"
"LEATHER_LACE_NAME": "LEATHER & LACE"
"CUST_TATTOO_LCALF_7": "OFF THE CHAIN"
